globalid,from_level_code,l_low_hn,rwjurisdiction,pre_modifier,nonped,boroughcode,posted_speed,post_type,shape_length,collectionmethod
7607f988-20c9-4146-a5b9-a9d1cdc3e90b,13,1,3.0,,,5,,LN,113.87863552794234,
06741a74-2c94-4cfe-84c8-4f8bccd65682,13,,,,,1,,,10.980157543265388,
3c0dd278-b702-47ac-be5a-60760372424b,13,2739,,,,3,30.0,PKWY,96.16689095394926,
62c6e09d-b5e6-4ec0-80a7-50c545796ba0,13,3001,,,,3,25.0,,104.24769440361162,F
8eca30ba-008d-4540-8119-000e1142e280,13,67-001,,,,4,25.0,PL,103.93308211839522,
e2359624-4896-4fe2-8bf3-817474c4d3a8,13,18-001,,,,4,25.0,ST,104.60323397900504,
250e6900-a84b-4092-ad2d-04eb8abcfe33,13,97-001,,,,4,25.0,BLVD,102.30690775544596,F
78ce1208-d1a3-46d5-ba61-244cb4bcaae0,13,51-081,,,,4,25.0,ST,95.70444480066192,
828f32a5-d2d5-455e-83c2-963790c089e7,13,,,,,3,25.0,ST,18.397154088792107,
188b5d70-ab2f-43b2-8b73-1e9b6070d647,13,,,,,1,25.0,ST,26.4074515972254,
a39225f9-e714-4cb4-a262-b428096ef2df,13,114-051,,,,4,25.0,ST,106.88591530987836,F
ae8754ea-51b1-4256-8251-42aff87507f9,13,3081,,,,2,25.0,RD,105.39489797448708,
f7aa80e6-ccf2-4ed3-8bc6-02002478d58d,13,1661,,,,2,20.0,AVE,270.1669977304384,F
ace11b18-3984-41cc-9c19-9ca220173b7f,13,213,,,,3,25.0,AVE,103.87307689324828,
37815d04-e667-475d-8723-b545f41b95ce,13,529,,,,3,25.0,ST,190.0694305607936,F
eb1d53ff-976d-4f72-bbba-e552a3144d5e,13,94-001,,,,4,25.0,AVE,226.18268153154472,F
6b4de1f2-ea31-4547-838f-c8a0836a96b7,13,,,,,4,25.0,DR,191.2632446060532,
8e18341e-f909-456d-9b75-d8a8b6964d1f,13,519,,,,3,25.0,AVE,63.71449752169729,
eef71294-c9f8-4981-bd72-1d392bc323f3,13,,,,,2,25.0,AVE,7.500435049363398,
9c30487d-b95a-47f7-a2b1-9d8f162ab9c8,13,5301,,,,3,25.0,AVE,68.55320696058678,
8f7ca33a-14bb-44ee-bd47-76ae8ce675f9,13,,,,,1,25.0,ST,25.19101562188012,
97af7427-7310-4c35-a977-024e12f9aef2,13,98,,,,1,25.0,PL,37.4974645810514,
2dbd1062-7d34-46a6-8d88-e6aa83848c18,13,80-001,,,,4,25.0,AVE,289.01206256952383,
e3f24e21-4b25-49cd-a7ea-455684ad5e82,13,2,3.0,,,4,,CRES,72.97443712872821,F
469288c1-d921-42dc-8f14-5a02055e1591,13,87-001,,,,4,25.0,ST,372.8725538634018,
c98bcd91-238c-4946-aff7-8f92efcadf6e,13,12-035,,,,4,25.0,ST,110.29951751104387,
c24ee17b-f001-4b08-94ec-44bcfb9009f8,13,2101,,,,3,25.0,ST,232.9271228699377,
f721cf6d-2b15-40c3-bb67-ede4f2b0dd0b,13,,,,,4,25.0,PKWY,50.1383257710024,
615cbdba-3e8f-4800-8aca-b8ffd9530522,13,,,,,3,,PATH,44.85659972661094,
547d1150-c4cd-47f5-b997-f901d455cadd,13,0,,,,5,25.0,RD,25.07589225739317,
fe6ea35e-0b64-47d3-80ec-26536ba7964d,99,,,,D,2,,BLVD,11.997991463834316,
ffedbbad-7d4d-4524-9b46-c3600e6d3104,13,2,,,,1,25.0,ST,163.48849868095718,
106639dd-7a79-4357-9d34-206e8d4b2d7a,13,50,,,,1,25.0,ST,177.42101502955032,
bd21da8e-60cc-40c0-add0-486f075bc994,13,45-001,,,,4,25.0,ST,104.99189853188112,F
175f6a62-0f91-43b0-8d9a-533ccd9fae4a,13,231-001,,,,4,25.0,AVE,183.2622157465419,
03171ef1-a9ed-4dc1-853e-8025206fea74,13,0,,,,4,25.0,AVE,103.553873417897,
a73e98b2-18cd-4fc9-85fc-deb917431e4d,13,220-001,,,,4,25.0,RD,108.32453780870657,
64a12fd4-e7ea-4a62-b642-cf4a4e7d19fa,13,,,,,1,25.0,ST,102.69128832340594,
1413eef1-603d-4db6-bd96-4da14d3ff0d8,13,,,,,3,25.0,OVAL,11.527382554794928,
98b75cd4-b503-4f5f-9fb0-4ca5f1a75002,13,133-001,,,,4,25.0,AVE,174.71828163794032,
529a2c1e-7ec2-44a7-8084-6887ac3e6ccd,13,73-001,,,,4,25.0,ST,248.5463731216264,
54c76ecd-7475-489d-a7fe-14aa108c9d25,13,765,,,,3,25.0,AVE,319.24416068502,F
3fabcec6-6093-4d6a-aa10-481516ce6d60,17,,,,V,3,50.0,EXPY,105.38885925003312,
4ef57d9d-abb0-4990-b594-5cc6639ff26b,17,,,,V,4,50.0,EXPY,74.26908431185056,
06fd700f-cc44-41c1-8b0b-e3f8a858c572,13,1901,,,,3,25.0,ST,313.61948392829106,
ddd373b4-3ae4-4063-9874-9a763dc6db08,13,1001,,,,3,25.0,ST,360.317265896644,
19dd29c0-8384-466d-ae5a-95c63d2467b8,13,,,,V,4,50.0,EXPY,531.4640998210557,
a953f77d-8c71-4c8f-b864-8589566e6983,13,82-001,,,,4,25.0,ST,272.35789935242127,
7d585b77-3fec-4fee-ab30-b7d0a959d4fc,13,2013,,,,2,25.0,AVE,72.33900762315291,
49df96a9-bc6d-48a2-9484-e82e80fab9ee,13,95-001,,,,4,25.0,ST,183.76788613991937,
0da149d7-cdf2-4259-a5c6-4257d23c34aa,13,41,,,,3,30.0,PL,201.3647992128276,F
3b3d16cd-b795-46df-9ff0-7136c2ba3352,13,221,,,,1,25.0,ST,173.73041564430494,F
c8c547fd-9d94-430d-beae-14dcc15e1fbe,13,0,,,,5,25.0,AVE,396.1035503499908,
