caseno,pyincrpct3,condo_number,tenexmptrn,tenexmptot,boro,curexmptot,lline,j51_prev_exmpt_act,status,pyexmptrn
26587348,0.0,,13429080,13720050,1,13720050,1,0,A,13400010
26591535,0.0,101902.0,215686,212574,1,212574,1,0,A,214838
26587742,0.0,100308.0,126787,130172,1,130172,1,0,A,125382
26594623,0.0,100385.0,115140,123806,1,123806,1,0,A,112277
26592588,0.0,100313.0,115993,120092,1,120092,1,0,A,114376
26591435,0.0,101902.0,268151,264281,1,264281,1,0,A,267096
26589724,0.0,101623.0,233462,234235,1,234235,1,0,A,233534
26587449,0.0,100308.0,133564,137130,1,137130,1,0,A,132083
26590432,0.0,101902.0,201637,198693,1,198693,1,0,A,200834
26588305,0.0,100308.0,108812,111717,1,111717,1,0,A,107606
26588956,0.0,101623.0,198312,198968,1,198968,1,0,A,198373
26591651,0.0,101902.0,273981,270026,1,270026,1,0,A,272903
26589450,0.0,101623.0,254414,255256,1,255256,1,0,A,254492
26592642,0.0,100313.0,147292,152497,1,152497,1,0,A,145239
26593937,0.0,100385.0,123006,132265,1,132265,1,0,A,122501
26588507,0.0,100308.0,667924,685748,1,685748,1,0,A,660520
26592778,0.0,100313.0,92268,95528,1,95528,1,0,A,90981
26590787,0.0,101902.0,215686,212574,1,212574,1,0,A,214838
26591136,0.0,101902.0,233174,229810,1,229810,1,0,A,232256
26589121,0.0,101623.0,169218,169779,1,169779,1,0,A,169271
26591472,0.0,101902.0,221516,218319,1,218319,1,0,A,220645
26587862,0.0,100308.0,136006,139636,1,139636,1,0,A,134497
26593956,0.0,100385.0,106326,114509,1,114509,1,0,A,105879
26589518,0.0,101623.0,212183,212886,1,212886,1,0,A,212248
26591169,0.0,101902.0,215686,212574,1,212574,1,0,A,214838
26587357,0.0,,13024080,13257900,1,13257900,1,0,A,13280670
26592264,0.0,100313.0,113839,117863,1,117863,1,0,A,112253
26592966,0.0,100313.0,100885,104451,1,104451,1,0,A,99479
26591974,0.0,101902.0,553791,545797,1,545797,1,0,A,551614
26589857,0.0,101623.0,237500,238287,1,238287,1,0,A,237573
26587402,0.0,,24903810,25372800,1,25372800,1,0,A,24871950
26589816,0.0,101623.0,236144,236926,1,236926,1,0,A,236218
26588303,0.0,100308.0,108812,111717,1,111717,1,0,A,107606
