nyc_building_identification_number_bin,last_modified_date_property_use,hospital_general_medical_surgical_percent_that_can_be_cooled,reason_s_for_no_score,parking_partially_enclosed_parking_garage_size_ft,non_refrigerated_warehouse_gross_floor_area_ft,worship_facility_gross_floor_area_ft,data_center_pue,multifamily_housing_number_of_bedrooms,primary_property_type_self_selected,electricity_use_grid_purchase_and_generated_from_onsite_renewable_systems_kwh,hospital_general_medical_surgical_number_of_mri_machines,number_of_active_energy_meters_used_to_compute_metrics,alert_energy_meter_has_gaps,hospital_general_medical_surgical_full_time_equivalent_fte_workers,data_center_it_energy_configuration,wholesale_club_supercenter_gross_floor_area_ft,electricity_use_grid_purchase_kbtu,self_storage_facility_gross_floor_area_ft,data_center_national_median_pue,parent_property_id,municipally_supplied_potable_water_indoor_use_kgal,parking_gross_floor_area_ft,national_median_total_ghg_emissions_metric_tons_co2e,restaurant_weekly_operating_hours,alert_energy_no_meters_selected_for_metrics,office_weekly_operating_hours,weather_normalized_site_energy_use_kbtu,energy_power_station_gross_floor_area_ft,fitness_center_health_club_gym_gross_floor_area_ft,residence_hall_dormitory_gross_floor_area_ft,last_modified_date_property,temporary_values,diesel_2_use_kbtu,performing_arts_gross_floor_area_ft,energy_star_certification_eligibility,medical_office_gross_floor_area_ft,bank_branch_gross_floor_area_ft,hospital_general_medical_surgical_staffed_bed_density_number_per_1_000_sq_ft,electricity_use_generated_from_onsite_renewable_systems_and_exported_kwh,district_hot_water_use_kbtu,data_center_pdu_output_meter_kwh
3080768,08/12/2020 09:16 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,527760,Not Available,3,Ok,Not Available,Not Available,Not Available,1800717.1,Not Available,Not Available,Not Applicable: Standalone Property,857.4,Not Available,416.5,Not Available,Ok,Not Available,5932344.7,Not Available,Not Available,Not Available,05/03/2021 04:02 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1083719,01/19/2021 04:16 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Office,30372120,Not Available,3,Ok,Not Available,Not Available,Not Available,103629679.2,Not Available,Not Available,Not Applicable: Standalone Property,45054.4,Not Available,11763,40,Ok,51.11,169742485.9,Not Available,Not Available,Not Available,04/14/2021 03:02 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
4034891,08/17/2020 01:44 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,748000,Not Available,2,Ok,Not Available,Not Available,Not Available,2552176.1,Not Available,Not Available,Not Applicable: Standalone Property,154.8,Not Available,1014.9,Not Available,Ok,Not Available,8174421.3,Not Available,Not Available,Not Available,05/04/2021 02:20 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3117381,08/17/2020 04:56 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,993199.9,Not Available,3,Ok,Not Available,Not Available,Not Available,3388798.2,Not Available,Not Available,Not Applicable: Standalone Property,1455.5,Not Available,552.3,Not Available,Ok,Not Available,10842166.3,Not Available,Not Available,Not Available,05/03/2021 02:52 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"Q505-4448767, Q086-4438678",08/17/2020 03:49 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,1631224.2,Not Available,4,Ok,Not Available,Not Available,Not Available,4453848.5,Not Available,Not Available,Not Applicable: Standalone Property,1699.3,Not Available,3838.1,Not Available,Ok,Not Available,24288827.3,Not Available,Not Available,Not Available,05/05/2021 10:13 AM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,47348.4,Not Available,Not Available
4059130,08/11/2020 05:36 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,236560,Not Available,3,Ok,Not Available,Not Available,Not Available,807142.7,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,270.3,Not Available,Ok,Not Available,3158180.2,Not Available,Not Available,Not Available,05/04/2021 11:36 AM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
4002387,08/12/2020 09:16 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,681280,Not Available,3,Ok,Not Available,Not Available,Not Available,2324527.4,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,556.9,Not Available,Ok,Not Available,9690386.7,Not Available,Not Available,Not Available,04/21/2021 02:18 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3212254,08/11/2020 05:35 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,501603,Not Available,3,Ok,Not Available,Not Available,Not Available,1711469.4,Not Available,Not Available,Not Applicable: Standalone Property,120.3,Not Available,587.5,Not Available,Ok,Not Available,8123173.7,Not Available,Not Available,Not Available,05/03/2021 02:21 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1036079,01/20/2021 02:38 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Office,6962232,Not Available,4,Ok,Not Available,No IT Energy Configuration Selected (or using Estimates),Not Available,23755135.6,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,3419.9,Not Available,Ok,60.95,35379415.6,Not Available,Not Available,Not Available,05/14/2021 12:24 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,0
4206905,08/11/2020 05:35 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,352000,Not Available,3,Ok,Not Available,Not Available,Not Available,1201024,Not Available,Not Available,Not Applicable: Standalone Property,339.4,Not Available,330.3,Not Available,Ok,Not Available,5250557.8,Not Available,Not Available,Not Available,05/04/2021 11:43 AM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
5082407,08/12/2020 09:16 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,279673,Not Available,3,Ok,Not Available,Not Available,Not Available,954244.3,Not Available,Not Available,Not Applicable: Standalone Property,153.8,Not Available,185.6,Not Available,Ok,Not Available,2291256.4,Not Available,Not Available,Not Available,05/04/2021 01:02 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1036195,04/14/2021 12:50 PM EDT,Not Available,Weekly Operating Hours is outside the allowed range,Not Available,Not Available,Not Available,Not Available,Not Available,Office,5821866,Not Available,4,Ok,Not Available,UPS supports only IT Equipment (preferred) => Use UPS Output Meter,Not Available,19864207.8,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,2833.8,0,Ok,18.36,39436679.2,Not Available,Not Available,Not Available,04/14/2021 12:50 PM EDT,No,Not Available,Not Available,No,Not Available,12942,Not Available,Not Available,Not Available,0
3061235,08/11/2020 05:35 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,501103.8,Not Available,4,Ok,Not Available,Not Available,Not Available,1326585.7,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,942.4,Not Available,Ok,Not Available,5859736.9,Not Available,Not Available,Not Available,04/30/2021 02:05 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,0,Not Available,Not Available
1088749,09/11/2020 02:44 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Office,5981432,Not Available,8,Ok,Not Available,Not Available,Not Available,20408644.4,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,8802.9,98,Ok,88,Not Available,Not Available,Not Available,Not Available,03/30/2021 10:31 AM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3088734,08/12/2020 09:16 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,421600,Not Available,3,Ok,Not Available,Not Available,Not Available,1438499.2,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,468.4,Not Available,Ok,Not Available,5438763.2,Not Available,Not Available,Not Available,04/21/2021 03:23 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1034212,10/06/2020 09:40 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Financial Office,6537638,Not Available,4,Ok,Not Available,UPS supports only IT Equipment (preferred) => Use UPS Output Meter,Not Available,22306420.6,Not Available,Not Available,Not Applicable: Standalone Property,5899.1,Not Available,3380.5,Not Available,Ok,Not Available,30588189.9,Not Available,Not Available,Not Available,05/06/2021 12:53 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,0
1063928,08/11/2020 05:35 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,296800,Not Available,3,Ok,Not Available,Not Available,Not Available,1012681.6,Not Available,Not Available,Not Applicable: Standalone Property,138,Not Available,112.2,Not Available,Ok,Not Available,1877950.2,Not Available,Not Available,Not Available,05/04/2021 08:55 AM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"X091-2094683, X891-2094682",08/17/2020 03:49 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,299680,Not Available,3,Ok,Not Available,Not Available,Not Available,1022508.2,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,537.8,Not Available,Ok,Not Available,4731650,Not Available,Not Available,Not Available,04/20/2021 10:45 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1058470,08/11/2020 05:36 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,478720,Not Available,2,Ok,Not Available,Not Available,Not Available,1633392.6,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,576.1,Not Available,Ok,Not Available,6300238.1,Not Available,Not Available,Not Available,04/21/2021 02:17 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2103870,08/11/2020 05:35 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,524000,Not Available,3,Ok,Not Available,Not Available,Not Available,1787888,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,241,Not Available,Ok,Not Available,3404550.5,Not Available,Not Available,Not Available,04/20/2021 10:45 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
4147847,08/12/2020 09:16 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,683600,Not Available,2,Ok,Not Available,Not Available,Not Available,2332443.2,Not Available,Not Available,Not Applicable: Standalone Property,469.5,Not Available,841.1,Not Available,Ok,Not Available,11076157.5,Not Available,Not Available,Not Available,05/04/2021 11:56 AM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
5053571,08/17/2020 01:44 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,439200,Not Available,3,Ok,Not Available,Not Available,Not Available,1498550.4,Not Available,Not Available,Not Applicable: Standalone Property,562.1,Not Available,934.8,Not Available,Ok,Not Available,7200625.1,Not Available,Not Available,Not Available,05/04/2021 12:54 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3121871,08/17/2020 03:49 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,204320,Not Available,3,Ok,Not Available,Not Available,Not Available,697139.9,Not Available,Not Available,Not Applicable: Standalone Property,264,Not Available,224.3,Not Available,Ok,Not Available,3103516.9,Not Available,Not Available,Not Available,05/03/2021 02:37 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1036161,01/15/2021 04:11 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Office,8452516,Not Available,2,Ok,Not Available,Not Available,Not Available,28839984.9,Not Available,Not Available,Not Applicable: Standalone Property,14163.4,Not Available,4757.8,Not Available,Ok,63.83,45813959.7,Not Available,Not Available,Not Available,04/16/2021 11:15 AM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1003223,08/17/2020 03:49 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,516800,Not Available,3,Ok,Not Available,Not Available,Not Available,1763321.6,Not Available,Not Available,Not Applicable: Standalone Property,2853.1,Not Available,1038.5,Not Available,Ok,Not Available,6347171.3,Not Available,Not Available,Not Available,05/04/2021 08:49 AM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1003086,08/11/2020 05:35 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,650800,Not Available,3,Ok,Not Available,Not Available,Not Available,2220529.5,Not Available,Not Available,Not Applicable: Standalone Property,325.9,Not Available,574,Not Available,Ok,Not Available,6559485.4,Not Available,Not Available,Not Available,05/04/2021 09:40 AM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1087267,05/14/2021 07:59 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Office,2363691,Not Available,3,Ok,Not Available,UPS supports only IT Equipment (preferred) => Use UPS Output Meter,Not Available,8064914.4,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,1593.8,Not Available,Ok,62.1,11320671.1,Not Available,Not Available,Not Available,05/26/2021 10:59 AM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,0
3039906,03/31/2019 08:18 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,452300,Not Available,3,Ok,Not Available,Not Available,Not Available,1543247.7,Not Available,Not Available,Not Applicable: Standalone Property,3,Not Available,774.9,Not Available,Ok,Not Available,8609190.9,Not Available,Not Available,Not Available,05/03/2021 01:47 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3218626,08/17/2020 04:20 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,285400,Not Available,3,Ok,Not Available,Not Available,Not Available,973784.8,Not Available,Not Available,Not Applicable: Standalone Property,482.5,Not Available,613.3,Not Available,Ok,Not Available,7776965.4,Not Available,Not Available,Not Available,05/03/2021 02:17 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2027459,08/11/2020 05:35 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,1333200,Not Available,3,Ok,Not Available,Not Available,Not Available,4548878.4,Not Available,Not Available,Not Applicable: Standalone Property,2033.8,Not Available,1567.4,Not Available,Ok,Not Available,15506988.1,Not Available,Not Available,Not Available,05/05/2021 10:18 AM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1035462,05/20/2021 12:28 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Hotel,7349750,Not Available,7,Ok,Not Available,Not Available,Not Available,25077346.5,Not Available,Not Available,Not Applicable: Standalone Property,34540.5,Not Available,7506.5,Not Available,Ok,Not Available,144137095.6,Not Available,Not Available,Not Available,05/20/2021 12:32 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3175834,08/12/2020 09:17 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,360480,Not Available,3,Ok,Not Available,Not Available,Not Available,1229957.8,Not Available,Not Available,Not Applicable: Standalone Property,165.7,Not Available,569.4,Not Available,Ok,Not Available,7202578.8,Not Available,Not Available,Not Available,05/03/2021 02:11 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
4083511,08/12/2020 09:16 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,1040000,Not Available,3,Ok,Not Available,Not Available,Not Available,3548480,Not Available,Not Available,Not Applicable: Standalone Property,883.7,Not Available,820.8,Not Available,Ok,Not Available,10810677.2,Not Available,Not Available,Not Available,05/04/2021 11:48 AM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3107129,08/17/2020 01:44 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,796000,Not Available,3,Ok,Not Available,Not Available,Not Available,2715952,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,1156.2,Not Available,Ok,Not Available,6527059.5,Not Available,Not Available,Not Available,04/21/2021 03:24 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
5127910,08/25/2019 09:28 AM EDT,Not Available,Meter(s) with gaps in meter entries,Not Available,Not Available,Not Available,Not Available,Not Available,Retail Store,Not Available,Not Available,2,Possible Issue,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,330.9,Not Available,651.5,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,03/18/2021 11:13 AM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2072754,08/11/2020 05:35 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,994400,Not Available,3,Ok,Not Available,Not Available,Not Available,3392892.7,Not Available,Not Available,Not Applicable: Standalone Property,252.1,Not Available,399.1,Not Available,Ok,Not Available,4146184.7,Not Available,Not Available,Not Available,05/05/2021 09:23 AM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
4436685,08/12/2020 09:17 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,1328000,Not Available,3,Ok,Not Available,Not Available,Not Available,4531136,Not Available,Not Available,Not Applicable: Standalone Property,169.8,Not Available,1935.7,Not Available,Ok,Not Available,21297133.9,Not Available,Not Available,Not Available,05/04/2021 12:50 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
4441244,08/11/2020 05:36 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,172840,Not Available,3,Ok,Not Available,Not Available,Not Available,589730.1,Not Available,Not Available,Not Applicable: Standalone Property,396.2,Not Available,140.8,Not Available,Ok,Not Available,1993403.4,Not Available,Not Available,Not Available,05/05/2021 10:14 AM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2022544,03/31/2019 08:18 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,738400,Not Available,2,Ok,Not Available,Not Available,Not Available,2519420.9,Not Available,Not Available,Not Applicable: Standalone Property,192.3,Not Available,348.7,Not Available,Ok,Not Available,3414719.5,Not Available,Not Available,Not Available,05/05/2021 08:49 AM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1001035,03/31/2019 08:18 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,1019200,Not Available,3,Ok,Not Available,Not Available,Not Available,3477510.5,Not Available,Not Available,Not Applicable: Standalone Property,769.3,Not Available,487.5,Not Available,Ok,Not Available,10145414,Not Available,Not Available,Not Available,05/04/2021 09:06 AM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1081162,11/16/2020 12:43 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Office,5521461,Not Available,3,Ok,Not Available,"UPS supports only IT Equipment (preferred) => Use UPS Output Meter, No IT Energy Configuration Selected (or using Estimates)",Not Available,18839226.2,Not Available,Not Available,Not Applicable: Standalone Property,3124.6,Not Available,3261.1,Not Available,Ok,53.35,25223467.8,Not Available,Not Available,Not Available,05/14/2021 12:18 PM EDT,No,Not Available,Not Available,No,Not Available,8003,Not Available,Not Available,Not Available,0
2006079,08/17/2020 04:20 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,414140,Not Available,3,Ok,Not Available,Not Available,Not Available,1413045.7,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,749.7,Not Available,Ok,Not Available,7203642.8,Not Available,Not Available,Not Available,04/20/2021 10:46 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2051313,08/17/2020 03:49 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,464160,Not Available,3,Ok,Not Available,Not Available,Not Available,1583713.9,Not Available,Not Available,Not Applicable: Standalone Property,67,Not Available,1110.8,Not Available,Ok,Not Available,8435390.7,Not Available,Not Available,Not Available,05/04/2021 01:50 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1084587,08/11/2020 05:36 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,5489600,Not Available,3,Ok,Not Available,Not Available,Not Available,18730515.2,Not Available,Not Available,Not Applicable: Standalone Property,13791.8,Not Available,1890.7,Not Available,Ok,Not Available,19545715.2,Not Available,Not Available,Not Available,05/04/2021 08:53 AM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
main bldg; 4096774;  addition: 4616894,04/22/2021 04:27 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,453600,Not Available,3,Ok,Not Available,Not Available,Not Available,1547683.2,Not Available,Not Available,Not Applicable: Standalone Property,277.3,Not Available,654.4,Not Available,Ok,Not Available,6614721.3,Not Available,Not Available,Not Available,05/05/2021 09:50 AM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3246519,08/12/2020 09:16 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,246240,Not Available,3,Ok,Not Available,Not Available,Not Available,840170.9,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,245.2,Not Available,Ok,Not Available,3940890.9,Not Available,Not Available,Not Available,04/21/2021 03:24 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3143190,08/12/2020 09:16 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,344960,Not Available,3,Ok,Not Available,Not Available,Not Available,1177003.6,Not Available,Not Available,Not Applicable: Standalone Property,1.1,Not Available,566.1,Not Available,Ok,Not Available,6472995.2,Not Available,Not Available,Not Available,05/03/2021 02:41 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3028204,08/11/2020 05:35 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,470000,Not Available,3,Ok,Not Available,Not Available,Not Available,1603640,Not Available,Not Available,Not Applicable: Standalone Property,24,Not Available,892.6,Not Available,Ok,Not Available,8724224.2,Not Available,Not Available,Not Available,05/03/2021 01:48 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
5006175,08/17/2020 04:20 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,317400,Not Available,3,Ok,Not Available,Not Available,Not Available,1082968.8,Not Available,Not Available,Not Applicable: Standalone Property,646.9,Not Available,380.2,Not Available,Ok,Not Available,5745690.6,Not Available,Not Available,Not Available,05/05/2021 09:59 AM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
4233850,08/12/2020 09:17 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,321200,Not Available,3,Ok,Not Available,Not Available,Not Available,1095934.5,Not Available,Not Available,Not Applicable: Standalone Property,590.1,Not Available,412.2,Not Available,Ok,Not Available,5314776.2,Not Available,Not Available,Not Available,05/04/2021 11:52 AM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3098294,03/31/2019 08:18 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,616800,Not Available,3,Ok,Not Available,Not Available,Not Available,2104521.6,Not Available,Not Available,Not Applicable: Standalone Property,0.6,Not Available,853.4,Not Available,Ok,Not Available,7862940.2,Not Available,Not Available,Not Available,05/03/2021 04:16 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1004323,08/12/2020 09:16 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,905200,Not Available,3,Ok,Not Available,Not Available,Not Available,3088542.4,Not Available,Not Available,Not Applicable: Standalone Property,405.2,Not Available,1114.3,Not Available,Ok,Not Available,6985269.7,Not Available,Not Available,Not Available,05/04/2021 09:22 AM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
4238003,08/17/2020 04:20 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,1077600,Not Available,3,Ok,Not Available,Not Available,Not Available,3676770.8,Not Available,Not Available,Not Applicable: Standalone Property,1645.7,Not Available,1615.2,Not Available,Ok,Not Available,19455500.4,Not Available,Not Available,Not Available,05/05/2021 09:17 AM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
4258143,08/17/2020 04:20 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,370240,Not Available,4,Ok,Not Available,Not Available,Not Available,1263258.8,Not Available,Not Available,Not Applicable: Standalone Property,337.1,Not Available,579.1,Not Available,Ok,Not Available,6024604.6,Not Available,Not Available,Not Available,05/05/2021 09:56 AM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3196677,08/12/2020 09:17 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,273760,Not Available,3,Ok,Not Available,Not Available,Not Available,934069.1,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,304.3,Not Available,Ok,Not Available,3735520,Not Available,Not Available,Not Available,04/21/2021 03:23 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1001026,12/21/2020 11:51 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Office,16070050,Not Available,3,Ok,Not Available,Not Available,Not Available,54831013.7,Not Available,Not Available,Not Applicable: Standalone Property,14818.9,Not Available,11298.7,41.09,Ok,43.85,101458185.8,Not Available,Not Available,Not Available,03/15/2021 10:02 AM EDT,No,Not Available,Not Available,No,Not Available,32063,Not Available,Not Available,Not Available,Not Available
