maprojid,commit_ccnonexempt,adopt_nccother,typecategory,totalplannedcommit,adopt_nccfederal,maxdate,commit_noncitycost,commit_total,allocate_nccstate,commit_citycost,spent_total,commit_nccstate,magencyname,allocate_ccnonexempt,nccstate,magencyacro
846P-413JH72,2106210.71,0.0,Fixed Asset,1221000,0.0,2029-06-01T00:00:00.000,0.0,223098.47,0.0,223098.47,2106210.71,0.0,Department of Parks and Recreation,1220690.82,0,DPR
850C75EWNIC,21138086.43,0.0,,0,0.0,2030-06-01T00:00:00.000,0.0,436175.86,0.0,436175.86,21138086.43,0.0,Department of Design and Construction,101737.71,0,DDC
850SER200196,9770837.53,8000.0,Fixed Asset,224000,0.0,2031-06-01T00:00:00.000,0.0,243297.66,0.0,243297.66,11314038.36,0.0,Department of Design and Construction,83864.81,0,DDC
846P-202CLOT,0.0,0.0,Fixed Asset,27300000,0.0,2029-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,Department of Parks and Recreation,27300000.0,0,DPR
806HAM16CLGY,1102112.26,0.0,Fixed Asset,224000,0.0,2026-06-01T00:00:00.000,0.0,399123.28,0.0,399123.28,1102112.26,0.0,Housing Preservation and Development,14764.46,0,HPD
846P-4HOLSCS,24520.78,0.0,Fixed Asset,1473000,0.0,2032-06-01T00:00:00.000,0.0,41479.22,0.0,41479.22,24520.78,0.0,Department of Parks and Recreation,1473000.0,0,DPR
126PV278-MAD,0.0,0.0,"ITT, Vehicles, and Equipment",0,0.0,2027-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,Department of Cultural Affairs,0.0,0,DCLA
856EO26-0076,0.0,0.0,,28000,0.0,2026-06-01T00:00:00.000,0.0,375782.0,0.0,375782.0,0.0,0.0,Department of Citywide Administrative Services,28218.0,0,DCAS
850PW357ELEV,7814310.11,0.0,Fixed Asset,431000,0.0,2026-06-01T00:00:00.000,0.0,256670.52,0.0,256670.52,7814310.11,0.0,Department of Design and Construction,1869019.37,0,DDC
126PV717-IT1,0.0,0.0,,0,0.0,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,Department of Cultural Affairs,0.0,0,DCLA
850LNEM12MLB,1738728.32,0.0,Fixed Asset,309000,0.0,2026-06-01T00:00:00.000,0.0,85604.76,0.0,85604.76,1738728.32,0.0,Department of Design and Construction,684666.92,0,DDC
