development_name,lot,bin,zip,bbl,viol_desc,insp_dt
LAFAYETTE,1,3321868,11238,3019380001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE WEST WALL   IN THE  3rd ROOM  FROM NORTH LOCATED AT APT 2G, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",2025-10-21T00:00:00.000
NOSTRAND,1,3345789,11235,3074080001,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE  ENTIRE APARTMENT  LOCATED AT APT 3D, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH",2025-09-20T00:00:00.000
CLINTON,1,1078930,10029,1016370001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT THE CEILING AND ALL WALLS   IN THE  KITCHEN  LOCATED AT APT 14D, 14th STORY, 1st APARTMENT FROM NORTH AT EAST",2025-09-29T00:00:00.000
TILDEN,1,3326542,11212,3035760001,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE INTERCOM SYSTEM FROM BUILDING ENTRANCE TO TENANT'S PHONE   IN THE  ENTIRE APARTMENT  LOCATED AT APT 13F, 13th STORY, 2nd APARTMENT FROM SOUTH AT WEST",2025-09-27T00:00:00.000
HUGHES APARTMENTS,21,3333397,11212,3035260021,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE CEILING, WEST WALL AND EAST WALL  IN THE  KITCHEN  LOCATED AT APT 8H, 8th STORY, 1st APARTMENT FROM NORTH AT EAST",2025-09-29T00:00:00.000
CORSI HOUSES,45,1079357,10029,1016880045,"§ 27-2043.1 HMC INSTALL THE MISSING OR REPAIR/REPLACE THE DEFECTIVE WINDOW GUARD(S) IN ACCORDANCE WITH THE SPECIFICATIONS OF THE NEW YORK CITY HEALTH CODE SECTION 24 RCNY CHAPTER 12. WG TO INSTALL = 0, WG TO REPLACE = 0, WG TO REPAIR = 1  IN THE  ENTIRE APARTMENT  LOCATED AT APT 14G, 14th STORY, 4th APARTMENT FROM NORTH AT EAST",2025-09-25T00:00:00.000
RED HOOK EAST,1,3332228,11231,3005380001,"§ 27-2005 ADM CODE  PROPERLY SECURE THE LOOSE BASE CABINETS TO THE EAST WALL   IN THE  KITCHEN  LOCATED AT APT 6D, 6th STORY, 1st APARTMENT FROM WEST AT NORTH",2025-09-11T00:00:00.000
RED HOOK WEST,1,3323704,11231,3005570001,"§ 27-2005 HMC: REFIT… DOOR AT ENTRANCE  IN THE  3rd ROOM  FROM EAST LOCATED AT APT 2A, 2nd STORY, 2nd APARTMENT FROM SOUTH AT WEST",2025-09-19T00:00:00.000
BLAND,8,4443444,11354,4050370008,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE LOWER WINDOW SASH GLASS PANE AT NORTH WALL WINDOW   IN THE  1st ROOM  FROM EAST AT NORTH LOCATED AT APT 7B, 7th STORY, 3rd APARTMENT FROM NORTH AT EAST",2025-10-03T00:00:00.000
STRAUS,27,1019879,10016,1009080027,"§ 27-2005, 27-2007, 27-2041.1 HMC, §238, § 309; § 107 (2) ( C) MDL AND 28 RCNY §25-171: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE  HINGES   IN THE  ENTRANCE  LOCATED AT APT 7A, 7th STORY, 2nd APARTMENT FROM WEST AT NORTH",2025-09-25T00:00:00.000
WSUR (SITE A) 120 WEST 94TH STREET,42,1032540,10025,1012240042,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR WEST AND SOUTH WALLS  IN THE  KITCHEN  LOCATED AT APT 3B, 3rd STORY, 4th APARTMENT FROM WEST AT NORTH",2025-10-01T00:00:00.000
SOTOMAYOR HOUSES,1,2092808,10472,2037300001,"§ 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE VINYL TILES AT FLOOR (CAUSING TRIP HAZARD)  IN THE  KITCHEN  LOCATED AT APT 5D, 5th STORY, 2nd APARTMENT FROM SOUTH AT WEST , SECTION ""SOUTH""",2025-09-18T00:00:00.000
WAGNER,1,1081276,10035,1017970001,"§ 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT THE CEILING AND SOUTH WALL   IN THE  KITCHEN  LOCATED AT APT 2C, 2nd STORY, 1st APARTMENT FROM NORTH AT EAST",2025-10-15T00:00:00.000
BLAND,8,4443444,11354,4050370008,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE INTERCOM FROM BUILDING ENTRANCE TO   IN THE  PRIVATE HALLWAY  LOCATED AT APT 7B, 7th STORY, 3rd APARTMENT FROM NORTH AT EAST",2025-10-03T00:00:00.000
KING TOWERS,1,1083314,10026,1015960001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT ALL WALLS AND CEILING   IN THE  KITCHEN  LOCATED AT APT 3C, 3rd STORY, 4th APARTMENT FROM WEST AT NORTH",2025-11-25T00:00:00.000
RIIS,10,1077504,10009,1003620010,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE ALL LOWER SASHES ON ALL WINDOWS  IN THE  KITCHEN  LOCATED AT APT 4A, 4th STORY, 3rd APARTMENT FROM NORTH AT EAST",2025-09-19T00:00:00.000
MARBLE HILL,1,2100931,10463,2032650001,"§ 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE PORCELAIN ENAMAL FINISH BY METHOD OF REGLAZING AT BATHTUB   IN THE  BATHROOM  LOCATED AT APT 2F, 2nd STORY, 3rd APARTMENT FROM SOUTH AT WEST",2025-09-22T00:00:00.000
VLADECK,1,1077529,10002,1002600001,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE BELL BUZZER INTERCOM SYSTEM FROM THE BUILDING ENTRANCE DOOR TO THE APARTMENT PANEL AT NORTH WALL  IN THE  FOYER  LOCATED AT APT 3A, 3rd STORY, 2nd APARTMENT FROM WEST AT NORTH",2025-10-29T00:00:00.000
RED HOOK WEST,1,3332222,11231,3005380001,"§ 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT EAST AND WEST WALLS   IN THE  2nd ROOM  FROM EAST LOCATED AT APT 3E, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH",2025-09-20T00:00:00.000
DOUGLASS I,1,1079388,10025,1018550001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR CEILING AND ALL WALLS   IN THE  2nd ROOM  FROM EAST LOCATED AT APT 7H, 7th STORY, 2nd APARTMENT FROM NORTH AT EAST",2025-09-22T00:00:00.000
CONEY ISLAND I (SITES 4 & 5),14,3385303,11224,3070530014,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING AND ALL WALLS   IN THE  BATHROOM  LOCATED AT APT 416B, 4th STORY, 4th APARTMENT FROM NORTH AT EAST",2025-10-09T00:00:00.000
RED HOOK EAST,1,3332228,11231,3005380001,"§ 27-2056.7, 27-2056.8, 27-2056.9 ADM CODE - CERTIFY COMPLIANCE WITH LEAD-BASED PAINT HAZARD CONTROL REQUIREMENTS DURING PERIOD OF UNIT VACANCY BY PERFORMING ACTIVITIES NECESSARY TO ABATE PRESUMED LEAD PAINT THAT IS XRF TESTED INCONCLUSIVE AT 0.5 MG/CM2 (28 RCNY §11-07(B)) FROM REQUIRED WINDOW AND/OR DOOR FRICTION SURFACES AND MAKE FLOORS SMOOTH AND CLEANABLE, IN AN APARTMENT WITH A CHILD UNDER SIX LOCATED AT APT 6D, 6th STORY, 1st APARTMENT FROM WEST AT NORTH",2025-09-11T00:00:00.000
ATLANTIC TERMINAL SITE 4B,1,3057520,11238,3020070001,"§ 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE FIRE RETARDANT MATERIAL AT NORTH WALL  AT PUBLIC HALL, 11th STORY",2025-09-11T00:00:00.000
HUGHES APARTMENTS,21,3333397,11212,3035260021,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE CEILING,  SOUTH WALL AND WEST WALL  IN THE  BATHROOM  LOCATED AT APT 8H, 8th STORY, 1st APARTMENT FROM NORTH AT EAST",2025-09-29T00:00:00.000
RED HOOK EAST,1,3332228,11231,3005380001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE            EAST WALL IN THE  KITCHEN  LOCATED AT APT 6D, 6th STORY, 1st APARTMENT FROM WEST AT NORTH",2025-09-11T00:00:00.000
BAISLEY PARK,22,4529903,11434,4122350022,"§ 27-2045(B)(1)(B) HMC, § 12-06, § 12-07, § 12-09 RCNY REPAIR, REPLACE OR PROVIDE AN APPROVED AND OPERATIONAL CARBON MONOXIDE DETECTING DEVICE, INSTALLED IN ACCORDANCE WITH APPLICABLE LAW AND RULES DEFECTIVE   IN THE  ENTIRE APARTMENT  LOCATED AT APT 1H, 1st STORY, 2nd APARTMENT FROM EAST AT SOUTH",2025-11-13T00:00:00.000
BAISLEY PARK,22,4529903,11434,4122350022,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR CEILING AND EAST WALL   IN THE  KITCHEN  LOCATED AT APT 1H, 1st STORY, 2nd APARTMENT FROM EAST AT SOUTH",2025-11-13T00:00:00.000
CLINTON,1,1078930,10029,1016370001,"§ 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE VINYL FLOOR TILES   IN THE  PRIVATE HALLWAY  LOCATED AT APT 14D, 14th STORY, 1st APARTMENT FROM NORTH AT EAST",2025-09-29T00:00:00.000
ASTORIA,101,4430779,11102,4004900101,"§ 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE VINYL TILES FLOOR   IN THE  KITCHEN  LOCATED AT APT 6D, 7th STORY, 1st APARTMENT FROM NORTH AT EAST",2025-10-20T00:00:00.000
WAGNER,1,1081276,10035,1017970001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT THE CEILING AND ALL WALLS  IN THE  PRIVATE HALLWAY  LOCATED AT APT 7D, 7th STORY, 2nd APARTMENT FROM NORTH AT EAST",2025-09-15T00:00:00.000
SUMNER,15,3338599,11206,3017490015,"§ 27-2026 ADM CODE  REPLACE THE BROKEN OR DEFECTIVE MISSING WASH SINK AT THE NORTH WALL   IN THE  KITCHEN  LOCATED AT APT 5E, 5th STORY, 1st APARTMENT FROM SOUTH AT WEST",2025-10-08T00:00:00.000
HUGHES APARTMENTS,21,3333397,11212,3035260021,"§  27-2005 ADM CODE  PAINT METAL IN ACCORDANCE WITH DEPT. REGULATION HEAT RISER AT NORTH WALL  IN THE  4th ROOM  FROM EAST LOCATED AT APT 8H, 8th STORY, 1st APARTMENT FROM NORTH AT EAST",2025-09-29T00:00:00.000
RED HOOK WEST,1,3326974,11231,3005330001,"§ 27-2045(B)(1)(B) HMC, § 12-06, § 12-07, § 12-09 RCNY REPAIR, REPLACE OR PROVIDE AN APPROVED AND OPERATIONAL CARBON MONOXIDE DETECTING DEVICE, INSTALLED IN ACCORDANCE WITH APPLICABLE LAW AND RULES DEFECTIVE   IN THE  ENTIRE APARTMENT  LOCATED AT APT 1C, 1st STORY, 2nd APARTMENT FROM SOUTH AT WEST , SECTION ""416""",2025-10-06T00:00:00.000
SOTOMAYOR HOUSES,1,2092808,10472,2037300001,"§ 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT AT ALL WALLS AND CEILING  IN THE  KITCHEN  LOCATED AT APT 5D, 5th STORY, 2nd APARTMENT FROM SOUTH AT WEST , SECTION ""SOUTH""",2025-09-18T00:00:00.000
RED HOOK WEST,1,3332215,11231,3005380001,"§ 27-2045(B)(1)(B) HMC, § 12-06, § 12-07, § 12-09 RCNY REPAIR, REPLACE OR PROVIDE AN APPROVED AND OPERATIONAL CARBON MONOXIDE DETECTING DEVICE, INSTALLED IN ACCORDANCE WITH APPLICABLE LAW AND RULES DEFECTIVE   IN THE  ENTIRE APARTMENT  LOCATED AT APT 1D, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH",2025-10-06T00:00:00.000
DOUGLASS I,1,1081300,10025,1018360001,"§ 27-2026 ADM CODE  REPAIR THE LEAKY AND/OR DEFECTIVE FAUCETS AT BATHTUB   IN THE  BATHROOM  LOCATED AT APT 13F, 13th STORY, 4th APARTMENT FROM EAST AT SOUTH",2025-09-24T00:00:00.000
CONEY ISLAND I (SITES 4 & 5),14,3385303,11224,3070530014,"§ 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT CEILING   IN THE  BATHROOM  LOCATED AT APT 416B, 4th STORY, 4th APARTMENT FROM NORTH AT EAST",2025-10-09T00:00:00.000
ADAMS,1,2091989,10455,2026650001,"§ 27-2026 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE CONNECTION WASTE LINE DRAIN PIPE AT SINK   IN THE  KITCHEN  LOCATED AT APT 5G, 5th STORY, 1st APARTMENT FROM NORTH AT EAST",2025-10-07T00:00:00.000
JEFFERSON,1,1080706,10029,1016620001,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE  ENTIRE APARTMENT  LOCATED AT APT 3A, 3rd STORY, 2nd APARTMENT FROM SOUTH AT WEST",2025-10-20T00:00:00.000
MARCY,1,3324244,11206,3017380001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT WEST WALL  IN THE  PRIVATE HALLWAY  LOCATED AT APT 2A, 2nd STORY, 2nd APARTMENT FROM WEST AT NORTH",2025-10-09T00:00:00.000
LAFAYETTE,1,3321868,11238,3019380001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING, NORTH AND EAST WALL AT 2ND BATHROOM FROM NORTH AT WEST   IN THE  BATHROOM  LOCATED AT APT 2G, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",2025-10-21T00:00:00.000
SOTOMAYOR HOUSES,1,2092808,10472,2037300001,"§ 27-2005 ADM CODE  PROVIDE 2 ESCUTHEON PLATE AT TOP OF RISER  IN THE  2nd ROOM  FROM EAST AT SOUTH LOCATED AT APT 5D, 5th STORY, 2nd APARTMENT FROM SOUTH AT WEST , SECTION ""SOUTH""",2025-09-18T00:00:00.000
DOUGLASS I,1,1079388,10025,1018550001,"§ 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT AT NORTH WALL   IN THE  3rd ROOM  FROM NORTH AT EAST LOCATED AT APT 10A, 10th STORY, 2nd APARTMENT FROM WEST AT NORTH",2025-11-10T00:00:00.000
RANGEL,320,1084187,10039,1021060320,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR NORTH WALL   IN THE  1st ROOM  FROM EAST LOCATED AT APT 14G, 14th STORY, 1st APARTMENT FROM SOUTH AT WEST",2025-09-16T00:00:00.000
MOTT HAVEN,1,2091098,10454,2023040001,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE MORTISE LOCK AT DOOR   IN THE  ENTRANCE  LOCATED AT APT 9D, 9th STORY, 1st APARTMENT FROM SOUTH AT WEST",2025-10-20T00:00:00.000
CONEY ISLAND I (SITES 4 & 5),14,3385303,11224,3070530014,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE COUNTER BALANCE AT LOWER WINDOW SASH, 2ND WINDOW FROM SOUTH AT WEST   IN THE  2nd ROOM  FROM NORTH AT WEST LOCATED AT APT 416B, 4th STORY, 4th APARTMENT FROM NORTH AT EAST",2025-10-09T00:00:00.000
ATLANTIC TERMINAL SITE 4B,1,3057520,11238,3020070001,"§ 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT THE NORTH WALL  AT PUBLIC HALL, 11th STORY",2025-09-11T00:00:00.000
CLINTON,1,1078930,10029,1016370001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT THE CEILING AND ALL WALLS   IN THE  1st ROOM  FROM NORTH AT EAST LOCATED AT APT 14D, 14th STORY, 1st APARTMENT FROM NORTH AT EAST",2025-09-29T00:00:00.000
RANGEL,320,1084186,10039,1021060320,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING AND ALL WALLS   IN THE  1st ROOM  FROM EAST LOCATED AT APT 13E, 13th STORY, 1st APARTMENT FROM NORTH AT EAST",2025-10-09T00:00:00.000
WAGNER,1,1081282,10035,1017970001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT THE CEILING AND ALL WALLS   IN THE  KITCHEN  LOCATED AT APT 5A, 5th STORY, 3rd APARTMENT FROM NORTH AT EAST",2025-10-15T00:00:00.000
QUEENSBRIDGE SOUTH,1,4595555,11101,4004650001,"§ 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE VINYL TILES FLOOR   IN THE  PRIVATE HALLWAY  LOCATED AT APT 2D, 2nd STORY, 2nd APARTMENT FROM SOUTH AT WEST",2025-10-27T00:00:00.000
BRONX RIVER,2,2092908,10472,2038860002,"§ 27-2005, 2006, 2037 HMC: PROPERLY REPAIR AND ABATE UNSAFE ELECTRIC WIRING CONDITION CONSISTING OF EXPOSED WIRES ELECTRICAL OUTLET AT EAST WALL  IN THE  1st ROOM  FROM NORTH AT EAST LOCATED AT APT 14B, 14th STORY, 5th APARTMENT FROM WEST AT NORTH",2025-10-20T00:00:00.000
