address_1,latitude,longitude,wholesale_club_supercenter_1,_3rd_largest_property_use_1,third_party_certification_2,nyc_borough_block_and_lot,hospital_general_medical_5,medical_office_weekly,last_modified_date_electric,alert_energy_meter_has,council_district,energy_star_score,electricity_use_generated_2,source_eui_kbtu_ft,estimated_data_flag_fuel_2,multifamily_housing_number_1,multifamily_housing_number_7,multifamily_housing_total_1,property_gfa_calculated_1,fuel_oil_4_use_kbtu,hospital_general_medical_8,fuel_oil_5_6_use_kbtu,estimated_values_energy,postcode,avoided_emissions_offsite,release_date,_3rd_largest_property_use,leed_us_project_id,municipally_supplied_potable_2,data_center_pdu_input_meter,electricity_use_grid_purchase_1,construction_status,enclosed_mall_gross_floor,hospital_general_medical_11,primary_property_type,data_quality_checker_date,property_gfa_calculated,annual_maximum_demand_mm,parking_completely_enclosed,medical_office_number_of_2,convention_center_gross_floor,metered_areas_energy,supermarket_grocery_gross,municipally_supplied_potable_3,multifamily_housing_total,other_gross_floor_area_ft,national_median_source_eui
125-20 Sutphin Boulevard,40.674519,-73.789399,Not Available,Not Available,Not Available,4120510001,Not Available,Not Available,04/17/2020 12:54 PM EDT,Ok,28.0,31,Not Available,112.7,No,Not Available,Not Available,Not Available,122575.0,5463115.7,Not Available,Not Available,No,11434,0,2020-08-28T16:28:36.000,Not Available,Not Available,2851.1,Not Available,860399.9,Existing,Not Available,Not Available,K-12 School,Not Available,122575.0,10/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,93.0
2075 84th Street,40.604871,-73.995545,Not Available,Not Available,Not Available,3063290032,Not Available,Not Available,04/17/2020 10:27 AM EDT,Ok,47.0,87,Not Available,88.5,Not Available,Not Available,Not Available,Not Available,132000.0,Not Available,Not Available,Not Available,No,11214,0,2020-08-28T16:28:36.000,Not Available,Not Available,Not Available,Not Available,614399.9,Existing,Not Available,Not Available,K-12 School,Not Available,132000.0,10/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,145.6
801 Narrows Road,,,Not Available,Not Available,Not Available,5006310071,Not Available,Not Available,04/18/2020 12:21 AM EDT,Ok,,63,Not Available,188.7,Not Available,Not Available,Not Available,Not Available,67129.0,Not Available,Not Available,Not Available,No,10304,0,2020-05-01T15:17:12.000,Not Available,Not Available,4917.8,Not Available,1149599.9,Existing,Not Available,Not Available,Senior Care Community,2020-05-01,67129.0,Not Available,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,208.2
5905 Strickland Avenue,40.607524,-73.916003,Not Available,Not Available,Not Available,3084701018,Not Available,Not Available,11/20/2020 04:24 AM EST,Ok,46.0,59,Not Available,139.7,Not Available,Not Available,Not Available,Not Available,107569.0,Not Available,Not Available,Not Available,No,11234,0,2020-11-20T17:18:35.000,Not Available,Not Available,7849.8,Not Available,971599.9,Existing,Not Available,Not Available,Senior Care Community,Not Available,107569.0,Not Available,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,149.8
85 Watkins Street,40.670986,-73.908194,Not Available,Not Available,Not Available,3035070007,Not Available,Not Available,04/14/2020 02:38 PM EDT,Ok,37.0,50,Not Available,93.3,No,Not Available,Not Available,Not Available,97200.0,3627194.8,Not Available,Not Available,No,11212,0,2020-08-28T16:28:36.000,Not Available,Not Available,14754.3,Not Available,516479.9,Existing,Not Available,Not Available,K-12 School,Not Available,97200.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,93.9
86-35 235th Court,40.732112,-73.73246,Not Available,Not Available,Not Available,4079550002,Not Available,Not Available,08/18/2020 07:38 PM EDT,Ok,23.0,87,Not Available,75.9,No,Not Available,Not Available,Not Available,68400.0,2264547.3,Not Available,Not Available,No,11427,0,2020-08-28T16:28:36.000,Not Available,Not Available,5069.8,Not Available,270240,Existing,Not Available,Not Available,K-12 School,Not Available,68400.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,123.5
162-02 Hillside Avenue,40.70848,-73.800065,Not Available,Not Available,Not Available,4097680022,Not Available,Not Available,04/17/2020 12:54 PM EDT,Ok,24.0,62,Not Available,101.7,Not Available,Not Available,Not Available,Not Available,56560.0,Not Available,Not Available,Not Available,No,11432,0,2020-08-28T16:28:36.000,Not Available,Not Available,9308.6,Not Available,341680,Existing,Not Available,Not Available,K-12 School,Not Available,56560.0,07/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,115.8
1619 Boston Road,40.8359,-73.890458,Not Available,Not Available,Not Available,2029390093,Not Available,Not Available,04/10/2020 05:36 PM EDT,Ok,17.0,90,Not Available,80,Not Available,Not Available,Not Available,Not Available,171725.0,Not Available,Not Available,Not Available,No,10460,0,2020-08-28T16:28:36.000,Not Available,Not Available,8270.6,Not Available,643199.9,Existing,Not Available,Not Available,K-12 School,Not Available,171725.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,140.8
109-89 204th Street,40.70646,-73.753579,Not Available,Not Available,Not Available,4109440301,Not Available,Not Available,04/17/2020 12:54 PM EDT,Ok,27.0,78,Not Available,73.4,Not Available,Not Available,Not Available,Not Available,180125.0,Not Available,Not Available,Not Available,No,11412,0,2020-05-01T21:54:16.000,Not Available,Not Available,Not Available,Not Available,796799.9,Existing,Not Available,Not Available,K-12 School,Not Available,180125.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,102.1
2756 Reservoir Avenue,40.869835,-73.89874,Not Available,Not Available,Not Available,2032470070,Not Available,Not Available,04/10/2020 05:35 PM EDT,Ok,11.0,78,Not Available,93.7,Not Available,Not Available,Not Available,Not Available,143250.0,Not Available,Not Available,Not Available,No,10468,0,2020-05-01T21:54:16.000,Not Available,Not Available,2629.1,Not Available,593999.9,Existing,Not Available,Not Available,K-12 School,Not Available,143250.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,130.4
188 Rochester Avenue,40.672762,-73.927973,Not Available,Not Available,Not Available,3013670022,Not Available,Not Available,04/17/2020 10:28 AM EDT,Ok,36.0,76,Not Available,94,Not Available,Not Available,Not Available,Not Available,129600.0,Not Available,Not Available,Not Available,No,11213,0,2020-08-28T16:28:36.000,Not Available,Not Available,4459.6,Not Available,615999.9,Existing,Not Available,Not Available,K-12 School,Not Available,129600.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,126.5
57-12 94th Street,40.736003,-73.867478,Not Available,Not Available,Not Available,4018730050,Not Available,Not Available,04/10/2020 04:27 PM EDT,Ok,25.0,80,Not Available,119.4,Not Available,Not Available,Not Available,Not Available,120000.0,Not Available,Not Available,Not Available,No,11373,0,2020-08-28T16:28:36.000,Not Available,Not Available,Not Available,Not Available,1155999.8,Existing,Not Available,Not Available,K-12 School,Not Available,120000.0,07/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,169.8
410 East 100th Street,40.785671,-73.942548,Not Available,Not Available,Not Available,1016930001,Not Available,Not Available,08/18/2020 11:14 AM EDT,Ok,8.0,72,Not Available,114.8,Not Available,Not Available,Not Available,Not Available,138125.0,Not Available,Not Available,Not Available,No,10029,0,2020-08-28T16:28:36.000,Not Available,Not Available,Not Available,Not Available,712799.9,Existing,Not Available,Not Available,K-12 School,Not Available,138125.0,10/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,146.4
180 Wadsworth Avenue,40.85051,-73.934485,Not Available,Not Available,Not Available,1021640032,Not Available,Not Available,04/13/2020 05:46 PM EDT,Ok,10.0,28,Not Available,169.4,Not Available,Not Available,Not Available,Not Available,25260.0,Not Available,Not Available,Not Available,No,10033,0,2020-08-28T16:28:36.000,Not Available,Not Available,3402.2,Not Available,327680,Existing,Not Available,Not Available,K-12 School,Not Available,25260.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,136.3
156 West 56th Street,40.764538,-73.979813,Not Available,2063,Not Available,1-01008-7503,Not Available,Not Available,10/09/2020 09:57 AM EDT,Ok,4.0,74,Not Available,130.6,Not Available,1.59703,0,0.90498,749338.0,Not Available,Not Available,Not Available,No,10019,0,2020-10-09T10:03:07.000,Restaurant,Not Available,Not Available,Not Available,9458702.3,Existing,Not Available,Not Available,Multifamily Housing,2020-10-09,749338.0,Not Available,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,340,Not Available,173.0
1070 East 83rd Street,40.634085,-73.907925,Not Available,Not Available,Not Available,3080340001,Not Available,Not Available,08/18/2020 06:17 PM EDT,Ok,46.0,94,Not Available,65.6,Not Available,Not Available,Not Available,Not Available,105600.0,Not Available,Not Available,Not Available,No,11236,0,2020-08-28T16:28:36.000,Not Available,Not Available,10825,Not Available,378000,Existing,Not Available,Not Available,K-12 School,Not Available,105600.0,11/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,130.0
2 Penn Plaza,40.750017,-73.991345,Not Available,19664,Not Available,1007819002,Not Available,Not Available,07/20/2020 06:13 PM EDT,Ok,3.0,70,Not Available,171.3,Not Available,Not Available,Not Available,Not Available,1499148.0,Not Available,Not Available,Not Available,No,10121,0,2020-07-29T14:06:52.000,Bank Branch,Not Available,20269.2,0,21883682.7,Existing,Not Available,Not Available,Office,2020-07-29,1499148.0,Not Available,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,227.1
1925 Stuart Street,40.60665,-73.939176,Not Available,Not Available,Not Available,3084960100,Not Available,Not Available,04/17/2020 10:28 AM EDT,Ok,46.0,88,101208.2,74,No,Not Available,Not Available,Not Available,160800.0,5743800.7,Not Available,Not Available,No,11229,0,2020-08-28T16:28:36.000,Not Available,Not Available,5359.6,Not Available,572799.9,Existing,Not Available,Not Available,K-12 School,Not Available,160800.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,124.0
68-17 Austin Street,40.722707,-73.851699,Not Available,Not Available,Not Available,4031720002,Not Available,Not Available,04/17/2020 12:54 PM EDT,Ok,29.0,72,Not Available,80.3,No,Not Available,Not Available,Not Available,147725.0,6547661.9,Not Available,Not Available,No,11375,0,2020-05-01T21:54:16.000,Not Available,Not Available,3671.1,Not Available,515039.9,Existing,Not Available,Not Available,K-12 School,Not Available,147725.0,06/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,102.7
2111 Crotona Avenue,40.848472,-73.888561,Not Available,Not Available,Not Available,2030810026,Not Available,Not Available,04/10/2020 05:35 PM EDT,Ok,15.0,20,Not Available,162.2,Not Available,Not Available,Not Available,Not Available,91280.0,Not Available,Not Available,Not Available,No,10457,0,2020-08-28T16:28:36.000,Not Available,Not Available,Not Available,Not Available,496639.9,Existing,Not Available,Not Available,K-12 School,Not Available,91280.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,118.9
800 Gates Avenue,40.68832,-73.932275,Not Available,Not Available,Not Available,3016360001,Not Available,Not Available,08/20/2020 12:37 PM EDT,Ok,36.0,65,104479.3,104.1,Not Available,Not Available,Not Available,Not Available,205200.0,Not Available,Not Available,Not Available,No,11221,0,2020-08-28T16:28:36.000,Not Available,Not Available,7325.9,Not Available,1583999.8,Existing,Not Available,Not Available,K-12 School,Not Available,205200.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,122.6
126-10 Bedell Street,40.68031,-73.774432,Not Available,Not Available,Not Available,4124950065,Not Available,Not Available,04/17/2020 12:53 PM EDT,Ok,28.0,71,Not Available,90.1,No,Not Available,Not Available,Not Available,101175.0,3935867.9,Not Available,Not Available,No,11434,0,2020-05-01T21:54:16.000,Not Available,Not Available,8473.7,Not Available,527199.9,Existing,Not Available,Not Available,K-12 School,Not Available,101175.0,10/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,113.9
34-74 113th Street,40.755451,-73.855192,Not Available,Not Available,Not Available,4017560025,Not Available,Not Available,04/10/2020 04:27 PM EDT,Ok,21.0,60,Not Available,90.4,Not Available,Not Available,Not Available,Not Available,118580.0,Not Available,Not Available,Not Available,No,11368,0,2020-05-01T21:54:16.000,Not Available,Not Available,853.4,Not Available,464599.9,Existing,Not Available,Not Available,K-12 School,Not Available,118580.0,02/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,100.7
195 Sanford Street,40.693018,-73.953034,Not Available,Not Available,Not Available,3017650015,Not Available,Not Available,04/14/2020 02:37 PM EDT,Ok,33.0,66,Not Available,103.6,Not Available,Not Available,Not Available,Not Available,96000.0,Not Available,Not Available,Not Available,No,11205,0,2020-08-28T16:28:36.000,Not Available,Not Available,Not Available,Not Available,412399.9,Existing,Not Available,Not Available,K-12 School,Not Available,96000.0,11/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,123.1
140 MARSH AVE,40.580505,-74.163098,Not Available,Not Available,Not Available,5024000210,Not Available,Not Available,03/18/2020 03:57 PM EDT,Ok,51.0,63,Not Available,128.3,Not Available,Not Available,Not Available,Not Available,179200.0,Not Available,Not Available,Not Available,No,10314,0,2020-04-03T10:52:00.000,Not Available,Not Available,727.1,Not Available,2229599.9,Existing,Not Available,Not Available,Retail Store,Not Available,179200.0,Not Available,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,148.3
1375 Mace Avenue,40.862839,-73.846791,Not Available,Not Available,Not Available,2044740001,Not Available,Not Available,04/10/2020 05:36 PM EDT,Ok,13.0,68,Not Available,114.8,Not Available,Not Available,Not Available,Not Available,55080.0,Not Available,Not Available,Not Available,No,10469,0,2020-08-28T16:28:36.000,Not Available,Not Available,Not Available,Not Available,348000,Existing,Not Available,Not Available,K-12 School,Not Available,55080.0,12/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,140.2
127 East 22nd Street,40.738952,-73.985479,Not Available,Not Available,Not Available,1008780016,Not Available,Not Available,04/13/2020 05:46 PM EDT,Ok,2.0,76,Not Available,112.2,Not Available,Not Available,Not Available,Not Available,81560.0,Not Available,Not Available,Not Available,No,10010,0,2020-08-28T16:28:36.000,Not Available,Not Available,6300.3,Not Available,443200,Existing,Not Available,Not Available,K-12 School,Not Available,81560.0,06/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,151.4
15-30 Petracca Place,40.783399,-73.827742,Not Available,Not Available,Not Available,4-04125-0001,Not Available,Not Available,02/16/2020 05:55 PM EST,Ok,19.0,Not Available,Not Available,140.9,Not Available,Not Available,Not Available,Not Available,92705.0,Not Available,Not Available,Not Available,No,11357,0,2020-07-28T16:45:29.000,Not Available,Not Available,1196.1,Not Available,1013413.3,Existing,Not Available,Not Available,Vocational School,Not Available,92705.0,Not Available,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,110.4
3740 Baychester Avenue,40.884343,-73.840254,Not Available,Not Available,Not Available,2049160001,Not Available,Not Available,04/10/2020 05:35 PM EDT,Ok,12.0,53,Not Available,128.6,No,Not Available,Not Available,Not Available,105775.0,6322267.2,Not Available,Not Available,No,10466,0,2020-08-28T16:28:36.000,Not Available,Not Available,Not Available,Not Available,747399.9,Existing,Not Available,Not Available,K-12 School,Not Available,105775.0,10/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,133.5
1111 Pugsley Avenue,40.829232,-73.856734,Not Available,Not Available,Not Available,2037900040,Not Available,Not Available,04/10/2020 05:35 PM EDT,Ok,18.0,90,Not Available,68.7,No,Not Available,Not Available,Not Available,175325.0,6716817.5,Not Available,Not Available,No,10472,0,2020-08-28T16:28:36.000,Not Available,Not Available,11.3,Not Available,550399.9,Existing,Not Available,Not Available,K-12 School,Not Available,175325.0,10/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,120.3
64-20 175th Street,40.737517,-73.794031,Not Available,Not Available,Not Available,4069030001,Not Available,Not Available,04/10/2020 04:27 PM EDT,Ok,24.0,83,Not Available,83.1,No,Not Available,Not Available,Not Available,151325.0,Not Available,Not Available,Not Available,No,11365,0,2020-08-28T16:28:36.000,Not Available,Not Available,5608051.4,Not Available,623399.9,Existing,Not Available,Not Available,K-12 School,Not Available,151325.0,10/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,125.5
55 Fifth Avenue,40.734877,-73.994422,Not Available,Not Available,Not Available,1-00570-7501,Not Available,Not Available,10/03/2020 12:28 PM EDT,Ok,2.0,Not Available,Not Available,161.8,Not Available,Not Available,Not Available,Not Available,329175.0,Not Available,Not Available,Not Available,No,10003,0,2020-10-12T16:54:45.000,Not Available,1000105134,Not Available,Not Available,3629921.2,Existing,Not Available,Not Available,College/University,Not Available,329175.0,Not Available,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,180.6
419 East 66th Street,40.763736,-73.95815,Not Available,Not Available,Not Available,"M183-1014610007, M390-1014610037",Not Available,Not Available,04/13/2020 05:45 PM EDT,Ok,5.0,82,Not Available,96.2,No,Not Available,Not Available,Not Available,65287.0,Not Available,Not Available,Not Available,No,10065,0,2020-08-28T16:28:36.000,Not Available,Not Available,257.7,Not Available,412799.9,Existing,Not Available,Not Available,K-12 School,Not Available,65287.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,141.4
306 Fort Washington Avenue,40.845469,-73.940468,Not Available,Not Available,Not Available,1021420154,Not Available,Not Available,04/13/2020 05:46 PM EDT,Ok,10.0,29,Not Available,126.9,Not Available,Not Available,Not Available,Not Available,135965.0,Not Available,Not Available,Not Available,No,10033,0,2020-08-28T16:28:36.000,Not Available,Not Available,842.7,Not Available,538719.9,Existing,Not Available,Not Available,K-12 School,Not Available,135965.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,103.3
1390 Willoughby Avenue,40.707229,-73.919805,Not Available,Not Available,Not Available,3032120001,Not Available,Not Available,04/14/2020 02:37 PM EDT,Ok,34.0,58,Not Available,87.3,Not Available,Not Available,Not Available,Not Available,88800.0,Not Available,Not Available,Not Available,No,11237,0,2020-08-28T16:28:36.000,Not Available,Not Available,Not Available,Not Available,388159.9,Existing,Not Available,Not Available,K-12 School,Not Available,88800.0,10/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,95.4
420 East 12th Street,40.729589,-73.982555,Not Available,Not Available,Not Available,1004390017,Not Available,Not Available,04/13/2020 05:46 PM EDT,Ok,2.0,71,Not Available,109.6,Not Available,Not Available,Not Available,Not Available,144175.0,Not Available,Not Available,Not Available,No,10009,0,2020-08-28T16:28:36.000,Not Available,Not Available,0.6,Not Available,762799.9,Existing,Not Available,Not Available,K-12 School,Not Available,144175.0,03/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,138.9
689 FIfth Avenue,40.761131,-73.975295,Not Available,Not Available,Not Available,1012900001,Not Available,Not Available,07/28/2020 06:09 PM EDT,Ok,4.0,23,Not Available,289.7,Not Available,Not Available,Not Available,Not Available,94766.0,Not Available,Not Available,Not Available,No,10022,0,2020-07-29T16:46:19.000,Not Available,Not Available,2956,Not Available,2272103.9,Existing,Not Available,Not Available,Office,2020-07-29,94766.0,Not Available,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,204.6
976 President Street,40.669339,-73.960675,Not Available,Not Available,Not Available,3011880001,Not Available,Not Available,04/17/2020 10:27 AM EDT,Ok,35.0,54,Not Available,107.3,Not Available,Not Available,Not Available,Not Available,88800.0,Not Available,Not Available,Not Available,No,11225,0,2020-05-01T21:54:16.000,Not Available,Not Available,1515479.5,Not Available,341600,Existing,Not Available,Not Available,K-12 School,Not Available,88800.0,07/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,112.2
155 Tompkins Avenue,40.620534,-74.077266,Not Available,Not Available,Not Available,5005340075,Not Available,Not Available,04/17/2020 12:53 PM EDT,Ok,49.0,88,Not Available,103.6,No,Not Available,Not Available,Not Available,69320.0,Not Available,Not Available,Not Available,No,10304,0,2020-08-28T16:28:36.000,Not Available,Not Available,4236,Not Available,608799.9,Existing,Not Available,Not Available,K-12 School,Not Available,69320.0,06/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,173.6
561 Grand Avenue,40.678488,-73.962105,Not Available,Not Available,Not Available,3011410005,Not Available,Not Available,08/18/2020 06:53 PM EDT,Ok,35.0,84,Not Available,91.9,Not Available,Not Available,Not Available,Not Available,86330.0,Not Available,Not Available,Not Available,No,11238,0,2020-08-28T16:28:36.000,Not Available,Not Available,111.9,Not Available,653399.9,Existing,Not Available,Not Available,K-12 School,Not Available,86330.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,141.1
512 West 212st Street,40.867826,-73.917059,Not Available,Not Available,Not Available,1022290012,Not Available,Not Available,04/13/2020 05:46 PM EDT,Ok,10.0,42,Not Available,99.1,Not Available,Not Available,Not Available,Not Available,115375.0,Not Available,Not Available,Not Available,No,10034,0,2020-08-28T16:28:36.000,Not Available,Not Available,5937.1,Not Available,472399.9,Existing,Not Available,Not Available,K-12 School,Not Available,115375.0,01/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,91.7
1550 Vyse Avenue,40.834157,-73.887512,Not Available,Not Available,Not Available,2029960010,Not Available,Not Available,04/10/2020 05:35 PM EDT,Ok,17.0,70,Not Available,95.3,Not Available,Not Available,Not Available,Not Available,88900.0,Not Available,Not Available,Not Available,No,10460,0,2020-08-28T16:28:36.000,Not Available,Not Available,Not Available,Not Available,409600,Existing,Not Available,Not Available,K-12 School,Not Available,88900.0,05/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,118.7
341 East 207th Street,40.875156,-73.875217,Not Available,Not Available,Not Available,2033510001,Not Available,Not Available,04/10/2020 05:35 PM EDT,Ok,11.0,44,Not Available,147.2,Not Available,Not Available,Not Available,Not Available,96000.0,Not Available,Not Available,Not Available,No,10467,0,2020-08-28T16:28:36.000,Not Available,Not Available,Not Available,Not Available,1003200,Existing,Not Available,Not Available,K-12 School,Not Available,96000.0,06/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,139.4
62-85 Forest Avenue,40.711203,-73.905286,Not Available,Not Available,Not Available,4034920007,Not Available,Not Available,08/18/2020 07:46 PM EDT,Ok,30.0,86,Not Available,84,Not Available,Not Available,Not Available,Not Available,98500.0,Not Available,Not Available,Not Available,No,11385,0,2020-08-28T16:28:36.000,Not Available,Not Available,7806.1,Not Available,437199.9,Existing,Not Available,Not Available,K-12 School,Not Available,98500.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,134.6
152-20 11th Avenue,40.792483,-73.809741,Not Available,Not Available,Not Available,4045380001,Not Available,Not Available,04/10/2020 04:27 PM EDT,Ok,19.0,87,Not Available,64,No,Not Available,Not Available,Not Available,80580.0,2537947.4,Not Available,Not Available,No,11357,0,2020-05-01T21:54:16.000,Not Available,Not Available,6127.2,Not Available,258594,Existing,Not Available,Not Available,K-12 School,Not Available,80580.0,12/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,103.8
85-28 Britton Avenue,40.745923,-73.880205,Not Available,Not Available,Not Available,4015140001,Not Available,Not Available,04/10/2020 04:27 PM EDT,Ok,25.0,72,Not Available,106.1,Not Available,Not Available,Not Available,Not Available,159600.0,Not Available,Not Available,Not Available,No,11373,0,2020-08-28T16:28:36.000,Not Available,Not Available,Not Available,Not Available,1003599.8,Existing,Not Available,Not Available,K-12 School,Not Available,159600.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,135.3
349 Cabrini Boulevard,40.856693,-73.937093,Not Available,Not Available,Not Available,1021790365,Not Available,Not Available,04/13/2020 05:46 PM EDT,Ok,10.0,64,Not Available,104.1,Not Available,Not Available,Not Available,Not Available,80480.0,Not Available,Not Available,Not Available,No,10040,0,2020-08-28T16:28:36.000,Not Available,Not Available,44.8,Not Available,338720,Existing,Not Available,Not Available,K-12 School,Not Available,80480.0,06/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,120.9
400 Empire Boulevard,40.664007,-73.94922,Not Available,Not Available,Not Available,3013160015,Not Available,Not Available,04/17/2020 10:27 AM EDT,Ok,40.0,69,Not Available,84.8,Not Available,Not Available,Not Available,Not Available,168000.0,Not Available,Not Available,Not Available,No,11225,0,2020-05-01T21:54:16.000,Not Available,Not Available,0,Not Available,681599.9,Existing,Not Available,Not Available,K-12 School,Not Available,168000.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,104.4
1440 Story Avenue,40.821193,-73.881124,Not Available,Not Available,Not Available,2036220016,Not Available,Not Available,04/10/2020 05:34 PM EDT,Ok,17.0,76,Not Available,94.3,Not Available,Not Available,Not Available,Not Available,92100.0,Not Available,Not Available,Not Available,No,10473,0,2020-08-28T16:28:36.000,Not Available,Not Available,7162.9,Not Available,799199.9,Existing,Not Available,Not Available,K-12 School,Not Available,92100.0,10/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,127.0
528 Ridgewood Avenue,40.68618,-73.869625,Not Available,Not Available,Not Available,3041340020,Not Available,Not Available,04/14/2020 02:37 PM EDT,Ok,37.0,62,Not Available,100.4,Not Available,Not Available,Not Available,Not Available,103200.0,Not Available,Not Available,Not Available,No,11208,0,2020-08-28T16:28:36.000,Not Available,Not Available,5605635.9,Not Available,596799.9,Existing,Not Available,Not Available,K-12 School,Not Available,103200.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,114.7
712 Fifth Avenue,40.762495,-73.975193,Not Available,1205,Not Available,1-01271-0038,Not Available,Not Available,06/16/2020 05:50 PM EDT,Ok,4.0,81,Not Available,141.6,Not Available,Not Available,Not Available,Not Available,574857.0,Not Available,Not Available,Not Available,No,10019,0,2020-07-22T10:38:09.000,Data Center,1000085246,5529.4,0,7434532.4,Existing,Not Available,Not Available,Office,Not Available,574857.0,Not Available,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,226.5
1449 Shakespeare Avenue,40.842943,-73.920563,Not Available,Not Available,Not Available,2028730027,Not Available,Not Available,04/10/2020 05:36 PM EDT,Ok,16.0,58,Not Available,114.5,Not Available,Not Available,Not Available,Not Available,124900.0,Not Available,Not Available,Not Available,No,10452,0,2020-08-28T16:28:36.000,Not Available,Not Available,12595,Not Available,471039.9,Existing,Not Available,Not Available,K-12 School,Not Available,124900.0,08/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,125.3
1245 Washington Avenue,40.831827,-73.906607,Not Available,Not Available,Not Available,2023900001,Not Available,Not Available,04/10/2020 05:35 PM EDT,Ok,16.0,63,Not Available,106.3,No,Not Available,Not Available,Not Available,117725.0,7887504.3,Not Available,Not Available,No,10456,0,2020-08-28T16:28:36.000,Not Available,Not Available,27329.9,Not Available,469759.9,Existing,Not Available,Not Available,K-12 School,Not Available,117725.0,10/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,122.6
