q1_1,q10_r2_c2,q23_c3_r4,q13_1,q15_c11_r4,q10_r3_c1,q21_c2_r4,q17_c5_r1,q9_19,q23_c5_r4,q18_c2_r1,q20_c3_r4,q18_c3_r3,q3_3,q6_1,q14_c1_r2,q20_c10_r3,q20_c1_r3,q21_c11_r2,q21_c8_r2,q15_c9_r4,q17_c12_r1,q17_c3_r1,q15_c8_r2,q17_c6_r4,q18_c5_r4,q17_c11_r4,q18_c8_r1,q17_c7_r1,q9_17,q21_c13_r4,q18_c7_r3,q21_c9_r2,q15_c2_r2,q15_c6_r2,q18_c7_r1,q17_c7_r4,q18_c3_r1,q17_c6_r1,q18_c1_r3,q17_c5_r4,q15_c4_r4,q21_c7_r2,q20_c10_r4,q20_c10_r1,q17_c1_r1,q18_c10_r3,q9_16,q23_c1_r4,q12_c1_r4,q15_c10_r3,q8_r4_c2,q15_c4_r2,q18_c4_r3,q21_c4_r3,q20_c10_r2,q18_c7_r4,q11_r1_c2,q21_c10_r3,q22_1,q21_c6_r4,q15_c11_r3,q15_c12_r2,q9_9,q18_c10_r2,q11_r3_c3,q21_c10_r4,q17_c10_r3,q20_c8_r3,q18_c2_r2,q17_c10_r2,q10_r4_c2,q20_c5_r3,q15_c5_r4,q23_c1_r3,q15_c3_r3,q16_2,q21_c7_r4,q20_c2_r2,q12_c1_r2,q12_c1_r1,q18_c9_r1,q20_c5_r4,q14_c1_r1,q8_r2_c1,q17_c12_r3
Dolores,0,,0,,0,1-10 hrs,,1,,0 hrs,,1-10 hrs,0,0,,,,,,,,,,,1-10 hrs,,,,1,,1-10 hrs,,1-10 hrs,1-10 hrs,0 hrs,,0 hrs,,1-10 hrs,,1-10 hrs,,,,,,0,,1-10 hrs,,25.0,1-10 hrs,1-10 hrs,1-10 hrs,,1-10 hrs,0,,0,1-10 hrs,,,0,,0,,,,1-10 hrs,,0,,1-10 hrs,,1-10 hrs,1,,,1-10 hrs,0 hrs,,,,1.0,
Melinda,0,,0,,0,0 hrs,,1,,1-10 hrs,,0 hrs,0,0,,,,,1-10 hrs,0 hrs,,,1-10 hrs,,0 hrs,,1-10 hrs,,1,,0 hrs,1-10 hrs,1-10 hrs,1-10 hrs,1-10 hrs,,1-10 hrs,,0 hrs,,0 hrs,1-10 hrs,,,,0 hrs,0,,0 hrs,0 hrs,0.0,1-10 hrs,0 hrs,0 hrs,,0 hrs,0,0 hrs,0,0 hrs,,,0,1-10 hrs,0,0 hrs,,,1-10 hrs,,0,,0 hrs,,0 hrs,1,0 hrs,,1-10 hrs,1-10 hrs,1-10 hrs,,,0.0,
Patricia,0,,0,,0,0 hrs,,1,,0 hrs,,0 hrs,0,0,,,,,,,,,,,0 hrs,,0 hrs,,1,,0 hrs,,0 hrs,0 hrs,0 hrs,,0 hrs,,0 hrs,,0 hrs,0 hrs,,,,,0,,0 hrs,,1.0,0 hrs,0 hrs,0 hrs,,0 hrs,1,,0,0 hrs,,,0,,1,,,,0 hrs,,0,,0 hrs,,0 hrs,1,0 hrs,,0 hrs,0 hrs,,,,0.0,
Joe,0,,0,,0,,,1,,,,,1,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
,0,,0,,0,0 hrs,,0,,0 hrs,,0 hrs,1,0,,,,,,,,,,,,,,,1,,,,0 hrs,,,,0 hrs,,0 hrs,,,,,,,,0,,0 hrs,,0.0,,,,,,1,,0,,,,0,,0,,,,0 hrs,,0,,,,0 hrs,1,,,0 hrs,0 hrs,,,,1.0,
Nadia,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
linda,0,,0,,0,,,0,,0 hrs,,,1,0,,,,,,,,,,,,,,,1,,,,0 hrs,,,,,,0 hrs,,,,,,,,0,,0 hrs,,0.0,,,,,,0,,0,,,,0,,0,,,,0 hrs,,0,,,,,1,,,0 hrs,0 hrs,,,,1.0,
Janan,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,2.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
Antoinette,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,3.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Allison,0,,0,,0,71-80 hrs,,1,,1-10 hrs,,,0,1,,,,,,,,,,,,,,,0,,,,1-10 hrs,,,,,,1-10 hrs,,,,,,,,0,,71-80 hrs,,,,,,,,0,,0,,,,0,,0,,,,1-10 hrs,,0,,,,,1,,,1-10 hrs,1-10 hrs,,,,1.0,
Heather,0,,0,,0,0 hrs,,0,,1-10 hrs,,,0,0,,,,,,,,,,,,,,,0,,,,0 hrs,,,,,,0 hrs,,,,,,,,0,,1-10 hrs,,,,,,,,0,,0,,,,0,,0,,,,0 hrs,,0,,,,0 hrs,1,,,1-10 hrs,1-10 hrs,,,,1.0,
Beth,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,2.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Patricia,0,,0,,0,0 hrs,,1,,0 hrs,,0 hrs,0,0,,,,,0 hrs,,,,,,0 hrs,,0 hrs,,1,,0 hrs,,0 hrs,0 hrs,0 hrs,,0 hrs,,0 hrs,,0 hrs,0 hrs,,,,,0,,0 hrs,,0.0,0 hrs,0 hrs,0 hrs,,0 hrs,1,,0,0 hrs,,,0,,0,,,,0 hrs,,0,,0 hrs,,0 hrs,1,0 hrs,,0 hrs,0 hrs,,,,0.0,
Karen,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,1.0,,,,,,0,,0,,,,1,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Tamar,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Maria,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,1,,,,171-180 hrs,,,,,,,,,,,,,,0,,0 hrs,,1.0,,,,,,1,,0,,,,0,,0,,,,,,0,,,,,1,,,171-180 hrs,0 hrs,,,,0.0,
Linda,0,,0,,0,0 hrs,,1,,0 hrs,,1-10 hrs,1,0,,,,,,,,,,,,,,,1,,,,0 hrs,,,,0 hrs,,1-10 hrs,,,,,,,,0,,0 hrs,,3.0,,1-10 hrs,,,,0,,0,,,,0,,0,,,,0 hrs,,0,,,,0 hrs,1,,,0 hrs,11-20 hrs,,,,1.0,
Marie,0,,0,,0,0 hrs,,1,,1-10 hrs,,0 hrs,0,0,,,,,,,,,,,,,,,1,,,,0 hrs,,,,1-10 hrs,,0 hrs,,0 hrs,,,,,,0,,0 hrs,,0.0,0 hrs,0 hrs,,,,1,,0,,,,0,,0,,,,0 hrs,,0,,,,1-10 hrs,1,,,0 hrs,1-10 hrs,,,,1.0,
Andrew,0,,1,,0,,,0,,11-20 hrs,0 hrs,11-20 hrs,0,0,11-20 hrs,,11-20 hrs,,,,,11-20 hrs,,,,,,,1,,,,11-20 hrs,,,,11-20 hrs,,11-20 hrs,,,,,,11-20 hrs,,0,,0 hrs,,12.0,,,,,,1,,0,,,,0,,0,,,,11-20 hrs,,0,,,,11-20 hrs,0,,11-20 hrs,11-20 hrs,11-20 hrs,,,11-20 hrs,0.0,
David,0,1-10 hrs,1,0 hrs,0,1-10 hrs,1-10 hrs,1,1-10 hrs,0 hrs,0 hrs,0 hrs,0,0,0 hrs,0 hrs,0 hrs,0 hrs,0 hrs,0 hrs,0 hrs,1-10 hrs,0 hrs,0 hrs,1-10 hrs,0 hrs,0 hrs,0 hrs,1,,0 hrs,0 hrs,0 hrs,0 hrs,0 hrs,0 hrs,0 hrs,1-10 hrs,0 hrs,0 hrs,0 hrs,0 hrs,0 hrs,1-10 hrs,1-10 hrs,0 hrs,0,1-10 hrs,0 hrs,0 hrs,0.0,0 hrs,0 hrs,0 hrs,0 hrs,1-10 hrs,1,0 hrs,1,0 hrs,0 hrs,0 hrs,0,0 hrs,1,0 hrs,0 hrs,0 hrs,0 hrs,0 hrs,0,0 hrs,0 hrs,0 hrs,0 hrs,0,0 hrs,0 hrs,0 hrs,1-10 hrs,1-10 hrs,1-10 hrs,1-10 hrs,1.0,0 hrs
Raymond,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,1.0,,,,,,0,,0,,,,1,,0,,,,,,0,,,,,0,,,,,,,,7.0,
Suzette,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,2.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Lisa,0,,0,,0,1-10 hrs,,0,,11-20 hrs,,11-20 hrs,0,1,,,,,,,,,,,1-10 hrs,,,,1,,,,1-10 hrs,,,,11-20 hrs,,1-10 hrs,,1-10 hrs,,,,,,0,,1-10 hrs,,0.0,1-10 hrs,11-20 hrs,1-10 hrs,,,0,,0,,,,0,,1,,,,1-10 hrs,,0,,,,1-10 hrs,1,,,1-10 hrs,1-10 hrs,,,,0.0,
Helene,0,,0,,0,,,1,,,,,0,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
Elizabeth,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Katie,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,41-50 hrs,,,,,,,,0,,41-50 hrs,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,1,,,201+,51-60 hrs,,,,20.0,
Jeanne,0,21-30 hrs,1,,0,21-30 hrs,,0,,1-10 hrs,21-30 hrs,1-10 hrs,0,0,0 hrs,,0 hrs,,,,,0 hrs,,,,,,,1,,,,1-10 hrs,,,,1-10 hrs,,1-10 hrs,,,,,,0 hrs,,0,21-30 hrs,21-30 hrs,,1.0,,,,,,1,,1,,,,0,,1,,,,1-10 hrs,,0,,,0 hrs,1-10 hrs,0,,0 hrs,1-10 hrs,1-10 hrs,,,0 hrs,1.0,
Eric,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Cynthia,0,,0,,0,0 hrs,,1,,0 hrs,,11-20 hrs,0,0,,,,,,,,,,,,,,,1,,,,0 hrs,,,,0 hrs,,11-20 hrs,,0 hrs,,,,,,0,,0 hrs,,4.0,0 hrs,11-20 hrs,11-20 hrs,,,0,,0,,,,0,,0,,,,0 hrs,,0,,,,11-20 hrs,1,,,31-40 hrs,31-40 hrs,,,,2.0,
Mary,0,,0,,0,0 hrs,,0,,0 hrs,,21-30 hrs,0,0,,,,,,,,,,,,,,,1,,,,0 hrs,,,,0 hrs,,21-30 hrs,,0 hrs,,,,,,0,,0 hrs,,19.0,0 hrs,,,,,0,,0,,,,0,,1,,,,0 hrs,,0,,,,0 hrs,1,,,0 hrs,0 hrs,,,,0.0,
Katherine,0,,0,,0,0 hrs,,0,,0 hrs,,0 hrs,0,0,,,,,,,,,,,0 hrs,,,,0,,0 hrs,,0 hrs,0 hrs,41-50 hrs,,41-50 hrs,,0 hrs,,0 hrs,0 hrs,,,,,0,,0 hrs,,19.0,0 hrs,0 hrs,0 hrs,,0 hrs,1,,0,0 hrs,,,0,,0,,,,0 hrs,,0,,0 hrs,,0 hrs,1,0 hrs,,0 hrs,91-100 hrs,,,,0.0,
james,0,,0,,0,,,1,,,,,1,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,2.0,
Pnina,0,,0,,0,0 hrs,,1,,0 hrs,,0 hrs,1,0,,,,0 hrs,0 hrs,0 hrs,,,0 hrs,,0 hrs,,0 hrs,,1,0 hrs,0 hrs,0 hrs,0 hrs,0 hrs,0 hrs,,0 hrs,,0 hrs,,0 hrs,0 hrs,,,,0 hrs,0,,0 hrs,,25.0,0 hrs,0 hrs,0 hrs,,0 hrs,0,0 hrs,0,0 hrs,,,0,0 hrs,0,0 hrs,,,0 hrs,,0,,0 hrs,,0 hrs,1,0 hrs,,0 hrs,0 hrs,0 hrs,,,0.0,
Campbell,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
Penny,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Shantay,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
Carmen,0,,0,,0,0 hrs,,0,,0 hrs,,,0,0,,,,,,,,,,,,,,,1,,,,31-40 hrs,,,,,,0 hrs,,,,,,,,0,,0 hrs,,0.0,,,,,,0,,0,,,,0,,0,,,,31-40 hrs,,0,,,,,1,,,71-80 hrs,0 hrs,,,,0.0,
Brittani,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Kelly,0,,0,,0,,,0,,,,,0,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Jessica,0,,0,,0,0 hrs,,0,,0 hrs,,,0,0,,,,,,,,,,,,,,,1,,,,1-10 hrs,,,,,,0 hrs,,,,,,,,0,,0 hrs,,,,,,,,0,,0,,,,0,,0,,,,1-10 hrs,,0,,,,,1,,,1-10 hrs,0 hrs,,,,1.0,
Brigitte,0,,0,,0,0 hrs,,0,,1-10 hrs,,0 hrs,0,0,,,,,,,,,,,0 hrs,,,,1,,,,0 hrs,0 hrs,,,1-10 hrs,,0 hrs,,0 hrs,,,,,,0,,0 hrs,,1.0,0 hrs,0 hrs,0 hrs,,,1,,0,0 hrs,,,0,,0,,,,0 hrs,,0,,0 hrs,,0 hrs,1,,,0 hrs,1-10 hrs,,,,1.0,
Marie,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Medea,0,,1,,0,0 hrs,,0,,0 hrs,0 hrs,0 hrs,0,1,21-30 hrs,,0 hrs,,,,,0 hrs,,,,,,,1,,,,21-30 hrs,,,,0 hrs,,0 hrs,,,,,,0 hrs,,0,0 hrs,0 hrs,,,,,,,,1,,1,,,,0,,0,,,,21-30 hrs,,0,,,0 hrs,0 hrs,0,,21-30 hrs,21-30 hrs,0 hrs,,,0 hrs,1.0,
Aliza,0,,0,,0,,,1,,,,,1,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Val,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Evangelis,0,,0,,0,1-10 hrs,,0,,0 hrs,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,0 hrs,,,,,,,,0,,1-10 hrs,,7.0,,,,,,0,,0,,,,0,,0,,,,0 hrs,,0,,,,,1,,,1-10 hrs,1-10 hrs,,,,0.0,
Keri,0,,0,,0,0 hrs,,1,,0 hrs,,0 hrs,0,0,,,,,,,,,,,,,,,1,,,,0 hrs,,,,0 hrs,,0 hrs,,0 hrs,,,,,,0,,0 hrs,,4.0,0 hrs,,0 hrs,,,1,,0,,,,0,,0,,,,0 hrs,,0,,,,0 hrs,1,,,0 hrs,0 hrs,,,,1.0,
,0,,0,,0,0 hrs,,0,,0 hrs,,0 hrs,0,0,,,,,,,,,,,,,,,0,,,,1-10 hrs,,,,0 hrs,,0 hrs,,0 hrs,,,,,,0,,0 hrs,,0.0,1-10 hrs,0 hrs,0 hrs,,,1,,0,,,,0,,0,,,,1-10 hrs,,0,,0 hrs,,0 hrs,1,,,0 hrs,0 hrs,,,,0.0,
Jean,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
Kim ,0,31-40 hrs,1,,0,31-40 hrs,,1,,0 hrs,31-40 hrs,0 hrs,0,0,31-40 hrs,,0 hrs,,,,,0 hrs,,,,,,,0,,,,31-40 hrs,,,,0 hrs,,0 hrs,,31-40 hrs,,,,0 hrs,,0,31-40 hrs,31-40 hrs,,0.0,31-40 hrs,,0 hrs,,,0,,1,,,,0,,0,,,,31-40 hrs,,0,,,0 hrs,0 hrs,0,,31-40 hrs,31-40 hrs,0 hrs,,,0 hrs,1.0,
Laurie,0,11-20 hrs,1,,0,11-20 hrs,0 hrs,0,11-20 hrs,0 hrs,11-20 hrs,11-20 hrs,0,0,0 hrs,,0 hrs,,,,,0 hrs,,11-20 hrs,11-20 hrs,,,0 hrs,1,,,,0 hrs,0 hrs,,11-20 hrs,0 hrs,0 hrs,11-20 hrs,11-20 hrs,11-20 hrs,,,,0 hrs,,0,11-20 hrs,11-20 hrs,,0.0,0 hrs,11-20 hrs,0 hrs,,,1,,1,,,,0,,0,,,,0 hrs,,0,0 hrs,11-20 hrs,0 hrs,1-10 hrs,0,,0 hrs,0 hrs,11-20 hrs,,11-20 hrs,0 hrs,1.0,
Bernard ,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,,
Roxanne,0,,0,,0,0 hrs,,0,,0 hrs,,0 hrs,0,0,,,,,,,,,0 hrs,,0 hrs,,0 hrs,,0,,0 hrs,,0 hrs,0 hrs,0 hrs,,0 hrs,,0 hrs,,0 hrs,0 hrs,,,,,0,,0 hrs,,1.0,0 hrs,0 hrs,1-10 hrs,,0 hrs,1,,0,0 hrs,,,0,,0,,,,0 hrs,,0,,0 hrs,,0 hrs,1,0 hrs,,0 hrs,0 hrs,,,,2.0,
Deb,0,,0,,0,1-10 hrs,,0,,1-10 hrs,,1-10 hrs,1,0,,,,,,,,,,,,,,,1,,,,1-10 hrs,,,,1-10 hrs,,1-10 hrs,,1-10 hrs,,,,,,0,,1-10 hrs,,1.0,1-10 hrs,1-10 hrs,1-10 hrs,,,1,,0,,,,0,,0,,,,1-10 hrs,,0,,,,1-10 hrs,1,,,1-10 hrs,1-10 hrs,,,,2.0,
Samantha,0,,1,,0,11-20 hrs,,1,,21-30 hrs,,21-30 hrs,0,0,0 hrs,,,,,,,,,,11-20 hrs,,,,1,,,,21-30 hrs,,,,21-30 hrs,,21-30 hrs,,11-20 hrs,,,,,,0,,41-50 hrs,,1.0,21-30 hrs,21-30 hrs,51-60 hrs,,,0,,0,,,,0,,0,,,,21-30 hrs,,0,,11-20 hrs,,21-30 hrs,1,,,21-30 hrs,21-30 hrs,,,0 hrs,1.0,
Lloyd,0,,0,,0,11-20 hrs,,1,,11-20 hrs,,1-10 hrs,0,0,,,,,,,,,,,1-10 hrs,,,,0,,,,11-20 hrs,11-20 hrs,,,11-20 hrs,,1-10 hrs,,11-20 hrs,,,,,,0,,11-20 hrs,,4.0,11-20 hrs,1-10 hrs,1-10 hrs,,,1,,0,11-20 hrs,,,0,,1,,,,11-20 hrs,,0,,11-20 hrs,,1-10 hrs,1,,,11-20 hrs,1-10 hrs,,,,0.0,
Susan,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Diana,0,,0,,0,0 hrs,,1,,0 hrs,,,0,0,,,,,,,,,,,,,,,0,,,,0 hrs,,,,,,0 hrs,,,,,,,,0,,0 hrs,,0.0,,,,,,0,,0,,,,0,,0,,,,0 hrs,,0,,,,,1,,,0 hrs,0 hrs,,,,0.0,
Leonel,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Veronica,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,13.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Karen,0,31-40 hrs,1,,0,31-40 hrs,0 hrs,0,31-40 hrs,0 hrs,31-40 hrs,0 hrs,0,0,0 hrs,,0 hrs,,,,,0 hrs,,0 hrs,31-40 hrs,,,,1,,,,0 hrs,0 hrs,,,0 hrs,0 hrs,0 hrs,0 hrs,0 hrs,,,,0 hrs,,0,31-40 hrs,0 hrs,,2.0,0 hrs,0 hrs,1-10 hrs,,,0,,1,,,,0,,0,,,,0 hrs,,0,0 hrs,0 hrs,1-10 hrs,0 hrs,0,,0 hrs,0 hrs,0 hrs,,31-40 hrs,0 hrs,1.0,
Andrew,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
,0,,0,,0,11-20 hrs,,0,,0 hrs,,0 hrs,0,1,,,,,,,,,,,,,,,1,,,,0 hrs,,,,0 hrs,,0 hrs,,,,,,,,0,,1-10 hrs,,,,,,,,0,,0,,,,0,,0,,,,0 hrs,,0,,,,0 hrs,1,,,0 hrs,0 hrs,,,,1.0,
Amie,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Jennifer,0,,0,,0,,,1,,,,,0,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Clara,0,,0,,0,0 hrs,,0,,0 hrs,,1-10 hrs,0,0,,,,,,,,,,,,,,,0,,,,0 hrs,,,,0 hrs,,1-10 hrs,,,,,,,,0,,1-10 hrs,,0.0,,,,,,0,,0,,,,0,,0,,,,0 hrs,,0,,,,0 hrs,1,,,0 hrs,1-10 hrs,,,,2.0,
Jermaine,0,,0,,0,,,1,,,,,1,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
Amy,0,,0,,0,21-30 hrs,,0,,,,,0,0,,,,,,,,,,,,,,,0,,,,1-10 hrs,,,,,,1-10 hrs,,,,,,,,0,,11-20 hrs,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,1,,,1-10 hrs,1-10 hrs,,,,0.0,
Victoria,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Andrew,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,2.0,
Yvonne,0,,0,,0,0 hrs,,0,,0 hrs,,0 hrs,0,0,,,,,0 hrs,0 hrs,,,0 hrs,,0 hrs,,0 hrs,,1,,0 hrs,,0 hrs,0 hrs,0 hrs,,0 hrs,,0 hrs,,0 hrs,0 hrs,,,,,0,,0 hrs,,0.0,0 hrs,0 hrs,0 hrs,,0 hrs,1,,0,0 hrs,,,0,,0,,,,0 hrs,,0,,0 hrs,,0 hrs,1,0 hrs,,0 hrs,0 hrs,,,,1.0,
Rhonda,0,,0,,0,,,1,,1-10 hrs,,,0,0,,,,,,,,,,,,,,,1,,,,1-10 hrs,,,,,,1-10 hrs,,,,,,,,0,,1-10 hrs,,1.0,,,,,,1,,0,,,,0,,1,,,,1-10 hrs,,0,,,,,1,,,1-10 hrs,1-10 hrs,,,,1.0,
Willie,0,,0,,0,0 hrs,,0,,1-10 hrs,,1-10 hrs,0,1,,,,,,,,,,,0 hrs,,,,1,,1-10 hrs,,0 hrs,0 hrs,1-10 hrs,,1-10 hrs,,1-10 hrs,,0 hrs,,,,,,0,,0 hrs,,,0 hrs,1-10 hrs,1-10 hrs,,0 hrs,1,,0,,,,0,,1,,,,0 hrs,,0,,0 hrs,,1-10 hrs,1,,,0 hrs,1-10 hrs,,,,1.0,
