queens_cooperatives_comparable_properties_boro_block_lot,queens_cooperatives_comparable_properties_address,comparable_rental_3_expense_per_sqft,comparable_rental_1_address,comparable_rental_2_market_value_per_sqft,comparable_rental_2_gross_sqft,comparable_rental_1_market_value_per_sqft,comparable_rental_1_gross_sqft,comparable_rental_1_year_built,comparable_rental_2_estimated_gross_income,latitude,comparable_rental_3_market_value_per_sqft,comparable_rental_3_full_market_value,longitude,comparable_rental_3_distance_from_coop_in_miles,comparable_rental_1_estimated_gross_income,comparable_rental_1_full_market_value,comparable_rental_3_address,comparable_rental_2_estimated_expense,comparable_rental_3_year_built,comparable_rental_1_total_units,census_tract,comparable_rental_2_full_market_value,comparable_rental_2_boro_block_lot,queens_cooperatives_comparable_properties_gross_sqft,comparable_rental_2_year_built,queens_cooperatives_comparable_properties_net_operating_income
4-01418-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""32 89 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",5.48,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""80 41 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",31.83,217000.0,53.04,263120,1959,2482167.0,,35.92,"2,838,000",,0.28,4073098,13957000,87 35 AVENUE,1365108.0,1951,287,,6908000.0,4-01511-0001,399204,1950.0,2642730
4-08100-0002,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""42 DOUGLASTON PARKWAY"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.63,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""43 DOUGLASTON PARKWAY"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",78.2,147700.0,60.77,114402,1963,2655707.0,,78.94,"11,660,000",,1.94,1961788,6952000,16 BELL BOULEVARD,938256.0,1973,148,,11550000.0,4-05865-0112,101535,1973.0,1180852
4-07748-0400,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""75 210 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",7.71,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""245 GRND CNTRL PARKWAY"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",33.92,195000.0,48.43,263883,1966,2870589.0,,69.59,"12,866,000",,1.88,3947690,12779000,182 WEXFORD TERRACE,1501311.0,1964,240,,6615000.0,4-12051-0020,243396,1981.0,1747583
4-05185-0077,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""140 BEECH AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",7.11,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""42 KISSENA BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",49.41,60338.0,59.78,87408,1964,902707.0,40.759432,43.41,"4,515,000",-73.811777,0.05,1451432,5225000,140 ASH AVENUE,470020.0,1950,107,1187.0,2981000.0,4-05145-0001,81120,1962.0,581630
4-11459-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""155 155 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""94 ALBERT ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",37.23,17700.0,60.01,20646,1967,224771.0,, , ,, ,290531,1239000, ,114540.0, ,36,,659000.0,4-09153-0066,112500,1928.0,837000
4-09951-0011,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""182 WEXFORD TERRACE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",8.55,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""185 HILLSIDE AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",61.08,61769.0,59.38,95040,1961,1062028.0,,62.66,"3,583,000",,0.26,1566812,5643000,178 WEXFORD TERRACE,450232.0,1956,125,,3773000.0,4-09937-0042,80550,1959.0,702176
4-06668-0028,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 77 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.48,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""139 JEWEL AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",45.35,77856.0,48.28,20920,1949,1136573.0,,44.39,"1,727,000",,0.23,334391,1010000,147 75 AVENUE,504385.0,1950,24,,3531000.0,4-06680-0001,23712,1950.0,196810
4-01436-0032,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""88 34 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",5.98,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""87 35 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",31.76,90000.0,35.92,79012,1951,1035900.0,,45.33,"3,773,000",,0.2,956281,2838000,85 35 AVENUE,590400.0,1952,84,,2858000.0,4-01437-0032,73800,1930.0,488556
4-09660-0015,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""82 134 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",5.98,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""82 HOOVER AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",73.68,53600.0,76.3,64248,1952,948918.0,,71.62,"3,839,000",,0.06,1092980,4902000,82 134 STREET,398451.0,1952,84,,3949000.0,4-09660-0135,62256,1952.0,607837
4-01279-0027,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 80 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",8.51,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""37 81 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",48.13,17080.0,51.69,27200,1925,233144.0,,124.04,"778,000",,0.15,398479,1406000,37 80 STREET,108759.0,1931,32,,822000.0,4-01286-0027,14548,1923.0,105909
4-09209-0049,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 116 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",3.97,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 118 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",37.54,76188.0,49.27,74118,1954,963417.0,,50.86,"2,070,000",,0.19,1101020,3652000,84 118 STREET,467005.0,1939,79,,2860000.0,4-09206-0001,66600,1929.0,455544
4-02219-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""69 108 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",8.21,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""70 108 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",62.26,70110.0,79.76,73020,1939,1049921.0,,51.79,"3,592,000",,0.12,1337450,5824000,69 108 STREET,416095.0,1928,78,,4365000.0,4-02211-0018,77000,1929.0,583660
4-02166-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""62 108 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.98,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""105 62 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",45.46,82730.0,50.46,111520,1956,1121421.0,,43.6,"3,203,000",,0.11,1713210,5627000,62 108 STREET,553031.0,1955,128,,3761000.0,4-02146-0028,98130,1955.0,646677
4-02215-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""70 108 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.15,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""99 66 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",60.43,275197.0,37.1,338016,1939,4668060.0,,55.57,"17,386,000",,0.79,4423544,12540000,64 98 STREET,2367993.0,1938,312,,16631000.0,4-03155-0027,321400,1959.0,2574414
4-01442-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""33 94 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""94 34 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",39.07,97410.0,37.86,52040,1959,1195508.0,, , ,, ,654143,1970000, ,594847.0, ,58,,3806000.0,4-01450-0001,246480,1928.0,1575008
4-01459-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 86 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.28,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""80 41 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",32.35,117294.0,53.04,263120,1959,1394121.0,,51.11,"5,361,000",,0.1,4073098,13957000,87 37 AVENUE,578148.0,1955,287,,3795000.0,4-01458-0046,306990,1940.0,2158139
4-09266-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""120 85 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""85 120 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",50.86,40700.0,60.86,61092,1961,508750.0,, , ,, ,994021,3718000, ,161697.0, ,71,,2070000.0,4-09234-0034,49406,1939.0,444160
4-16226-0062,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""160 BEACH 117 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""180 BEACH 117 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",31.91,35159.0,25.64,50347,1960,375968.0,40.578691, , ,-73.837616, ,520190,1291000, ,178087.0, ,61,93402.0,1122000.0,4-16229-0041,67000,1957.0,326290
4-06085-0025,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""203 35 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",7.96,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""203 42 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",72.0,24140.0,66.81,20400,1948,513458.0,40.775089,77.78,"672,000",-73.750354,0.58,374019,1363000,38 213 STREET,236089.0,1931,27,1483.0,1738000.0,4-06215-0002,11124,1950.0,120362
4-05857-0002,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""13 BELL BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""42 CORPORAL"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",57.34,61968.0,38.17,208345,1951,1004657.0,, , ,, ,2608686,7953000, ,396184.0, ,219,,3553000.0,4-06277-0050,120175,1951.0,1083979
4-04410-0056,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""31 138 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""34 PARSONS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",39.01,190882.0,36.97,191330,1956,2552092.0,, , ,, ,2477724,7073000, ,1351445.0, ,172,,7447000.0,4-05040-0019,187936,1958.0,1289241
4-05002-0087,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""141 NORTHERN BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",7.05,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""36 BOWNE STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",40.13,54600.0,53.15,78000,1940,638669.0,,38.16,"2,255,000",,0.19,1211340,4146000,144 35 AVENUE,296143.0,1929,82,,2191000.0,4-04957-0044,151000,1939.0,946770
4-05020-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""142 ROOSEVELT AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.8,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""41 BOWNE STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",57.42,270499.0,55.49,166508,1961,4181556.0,,55.91,"14,960,000",,0.54,2604494,9240000,43 KISSENA BOULEVARD,1915291.0,1962,157,,15533000.0,4-05137-0012,276203,1962.0,2314581
4-05019-0101,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""136 41 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4.1,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""41 PARSONS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",37.05,38894.0,46.21,58282,1932,508410.0,,46.2,"2,717,000",,0.29,846255,2693000,143 41 AVENUE,196012.0,1930,83,,1441000.0,4-05182-0039,44962,1920.0,361045
4-03292-0036,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""110 73 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.73,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""109 QUEENS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",59.12,137500.0,68.42,90000,1939,2270096.0,,75.59,"4,681,000",,0.21,1472009,6158000,109 72 AVENUE,784152.0,1939,76,,8129000.0,4-02238-0019,98182,1939.0,1061348
4-16234-0044,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""124 OCEAN"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4.71,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""131 OCEAN"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",52.03,32000.0,31.91,35159,1957,516160.0,,52.23,"3,855,000",,4.92,375968,1122000,407 ELK DRIVE,247680.0,1957,48,,1665000.0,4-15890-0030,76595,2004.0,607399
4-09711-0125,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""139 85 DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""85 MANTON STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",45.1,109500.0,38.5,92000,1953,1481617.0,, , ,, ,1281657,3542000, ,735654.0, ,80,,4938000.0,4-09715-0146,36942,1949.0,314377
4-02184-0011,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""110 64 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""78 KEW FOREST LANE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",62.38,26306.0,31.76,43636,1920,454831.0,, , ,, ,520074,1386000, ,227547.0, ,48,,1641000.0,4-02185-0040,43824,1950.0,305453
4-08276-0002,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""242 HOR"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""56 MARATHON PARKWAY"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,,46.48,27690,1977,,, , ,, ,390932,1287000, ,, ,54,,,,149406,,1302821
4-05180-0043,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""42 UNION STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.11,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""140 ASH AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",59.39,25139.0,46.36,28000,1928,421330.0,,43.28,"559,000",,0.35,383556,1298000,43 SMART STREET,214938.0,1930,36,,1493000.0,4-05186-0019,29621,1931.0,230155
4-01280-0054,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 80 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",8.51,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""37 84 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",48.13,17080.0,40.85,180804,1926,233144.0,,124.04,"778,000",,0.14,2472383,7386000,37 80 STREET,108759.0,1931,204,,822000.0,4-01286-0027,13420,1923.0,97698
4-04603-0032,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""166 POWELLS COVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",7.02,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""16 BELL BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",56.34,58380.0,78.2,147700,1973,929352.0,40.79452,60.06,"8,800,000",-73.831318,1.44,2655707,11550000,23 WATERS EDGE DRIVE,317783.0,1969,152,945.0,3289000.0,4-04157-0002,40692,1971.0,388608
4-08353-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""60 251 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",9.07,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""224 64 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",78.3,174200.0,77.52,138500,1949,3579610.0,,77.29,"1,892,000",,1.96,2812551,10736000,87 WINCHESTER BOULEVARD,1387893.0,1965,177,,13640000.0,4-07672-0002,152286,1949.0,1827432
4-03083-0069,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""64 SAUNDERS STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4.99,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""65 SAUNDERS STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",47.07,62400.0,47.67,60000,1940,901793.0,,46.71,"2,915,000",,0,884608,2860000,64 BOOTH STREET,365734.0,1937,61,,2937000.0,4-03080-0001,69000,1939.0,592710
4-02172-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""65 108 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",8.63,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""63 108 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",43.6,73470.0,45.46,82730,1955,996649.0,,57.11,"4,906,000",,0.38,1121421,3761000,105 62 ROAD,512489.0,1956,76,,3203000.0,4-02145-0028,90816,1955.0,598477
4-01277-0050,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 77 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 75 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",21.33,103200.0,39.6,60000,1939,1004027.0,, , ,, ,813728,2376000, ,632449.0, ,59,,2201000.0,4-01278-0001,65628,1938.0,362266
4-09234-0044,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""84 118 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""84 118 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",56.8,30900.0,50.86,40700,1939,495327.0,, , ,, ,508750,2070000, ,237930.0, ,41,,1755000.0,4-03321-0111,40454,1960.0,363682
4-05007-0022,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 150 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",7.21,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""147 147 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",51.4,68250.0,56.99,105913,1960,1016660.0,,47.43,"4,675,000",,0.51,1607266,6036000,143 41 AVENUE,507616.0,1963,115,,3508000.0,4-05003-0028,102140,1951.0,850826
4-00162-0028,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""43 44 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.41,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""43 43 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",37.24,43050.0,29.68,35340,1928,650399.0,,41.85,"2,828,000",,0.05,341109,1049000,43 45 STREET,417252.0,1928,48,,1603000.0,4-00160-0018,35340,1931.0,220875
4-05300-0022,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""172 35 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",7.49,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""42 159 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",66.8,18457.0,45.9,19695,1928,276862.0,,48.34,"642,000",,0.6,288550,904000,43 165 STREET,97737.0,1927,21,,1233000.0,4-05101-0020,15419,1931.0,100223
4-05260-0044,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""191 35 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.56,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""189 37 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",31.04,17850.0,31.04,17850,1932,215924.0,,34.24,"656,000",,0.23,215924,554000,189 37 AVENUE,128753.0,1932,16,,554000.0,4-05310-0021,16200,1932.0,79218
4-07912-0002,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""80 SPRINGFIELD BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""190 HILLSIDE AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",67.81,68466.0,43.84,100116,1960,1239235.0,, , ,, ,1314699,4389000, ,594285.0, ,110,,4643000.0,4-10499-0083,107076,1950.0,808424
4-08446-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""73 260 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""67 192 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",70.1,83650.0,77.26,205744,1950,1582109.0,, , ,, ,3807831,15895000, ,765246.0, ,215,,5864000.0,4-09247-0001,145656,1941.0,1300708
4-01238-0025,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""52 39 DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""50 39 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",32.3,54490.0,37.43,378186,1931,652538.0,, , ,, ,5538796,14156000, ,297383.0, ,472,,1760000.0,4-00129-0070,441929,1953.0,2638316
4-03157-0101,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""66 WETHEROLE STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",7.09,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""101 BOOTH STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",47.67,60000.0,53.17,61242,1954,884608.0,,46.64,"5,093,000",,0.21,930184,3256000,67 BURNS STREET,367796.0,1961,62,,2860000.0,4-03086-0002,90300,1940.0,777483
4-08441-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""73 255 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""67 192 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",70.1,83650.0,77.26,205744,1950,1582109.0,, , ,, ,3807831,15895000, ,765246.0, ,215,,5864000.0,4-09247-0001,145244,1941.0,1297029
4-05146-0027,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""137 45 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""44 COLDEN STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",47.82,131187.0,49.41,60338,1962,1935008.0,, , ,, ,902707,2981000, ,1025882.0, ,71,,6273000.0,4-05146-0001,77822,1963.0,555649
4-05303-0165,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""17202 CROCHERON AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""46 BOWNE STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",52.49,20690.0,55.62,15750,1931,267523.0,40.763021, , ,-73.794032, ,260190,876000, ,104665.0, ,20,1175.0,1086000.0,4-05207-0011,18225,1928.0,118462
