queens_cooperatives_comparable_properties_address,queens_cooperatives_comparable_properties_gross_income_per_sqft,queens_cooperatives_comparable_properties_market_value_per_sqft,comparable_rental_1_neighborhood,comparable_rental_1_gross_income_per_sqft,comparable_rental_2_distance_from_coop_in_miles,comparable_rental_1_distance_from_coop_in_miles,nta,comparable_rental_3_building_classification,comparable_rental_3_boro_block_lot,bin,community_board,queens_cooperatives_comparable_properties_year_built,comparable_rental_1_boro_block_lot,comparable_rental_3_estimated_expense,comparable_rental_3_gross_sqft,comparable_rental_3_gross_income_per_sqft,community_council,queens_cooperatives_comparable_properties_total_units,comparable_rental_2_building_classification,comparable_rental_3_neighborhood
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""26 UNION STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.5,36.86,FLUSHING-NORTH,12.94,0.5,0.5,,D1-ELEVATOR,4-05025-0050,,,1954,4-04995-0064,"1,318,159","189,748",14.5,,384,D3-ELEVATOR,FLUSHING-NORTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""65 ALDERTON STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.41,57.88,REGO PARK,16.41,0.35,0.35,,D1-ELEVATOR,4-03171-0001,,,1964,4-03100-0026,"261,496","61,242",15.19,,45,D1-ELEVATOR,REGO PARK
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""65 YELLOWSTONE BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.83,52.42,FOREST HILLS,14.39,0.23,0.23,,D1-ELEVATOR,4-02135-0059,,,1949,4-02134-0001,"973,674","138,700",13,,180,D1-ELEVATOR,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""9 166 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.57,37.57,BAYSIDE,17.98,1.45,1.1,,D1-ELEVATOR,4-05958-0030,,,1958,4-05865-0112,"1,028,325","146,525",16.57,,32,D3-ELEVATOR,BAYSIDE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""158 CROSS ISLAND PKWY"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",17.3,46.73,WHITESTONE,19.02,0.61,0.81,,C1-WALK-UP,4-05236-0029,,,1951,4-04465-0175,"396,610","45,700",16.89,,12,C7-WALK-UP,FLUSHING-NORTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 172 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.0,41.45,FLUSHING-NORTH,14.65,2.08,0.73,, ,,,,1949,4-05390-0010, , , ,,20,C1-WALK-UP, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""150 71 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.99,38.45,FLUSHING-SOUTH,16.99,0.77,0.65,,D1-ELEVATOR,4-06636-0001,,,1952,4-06712-0032,"984,785","125,164",15.11,,536,D1-ELEVATOR,BRIARWOOD
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""99 64 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.78,45.25,REGO PARK,13.78,0.27,0.05,,D1-ELEVATOR,4-02121-0021,,,1947,4-02113-0034,"874,477","122,000",13.95,,98,D1-ELEVATOR,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""67 DARTMOUTH STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.41,56.83,REGO PARK,15.95,0.44,0.32,Forest Hills                                                               ,D1-ELEVATOR,4-03166-0095,,6.0,1955,4-03173-0013,"773,925","109,200",14.31,29.0,98,D1-ELEVATOR,REGO PARK
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""47 216 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.37,45.68,BAYSIDE,12.52,0.58,0.58,, ,,,,1950,4-06277-0002, , , ,,144,C9-WALK-UP, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""166 12 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.57,36.76,BAYSIDE,17.98,1.45,1.1,,D1-ELEVATOR,4-05958-0030,,,1958,4-05865-0112,"1,028,325","146,525",16.57,,32,D3-ELEVATOR,BAYSIDE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""137 KISSENA BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.9,47.41,FLUSHING-NORTH,14.96,0.08,0.0,,D1-ELEVATOR,4-05122-0022,,,1973,4-05145-0001,"286,083","51,450",14.57,,90,D1-ELEVATOR,FLUSHING-NORTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""167 CROCHERON AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",12.97,29.5,FLUSHING-NORTH,15.23,0.31,0.0,,D3-ELEVATOR,4-05330-0001,,,1938,4-05294-0006,"385,246","71,150",12.49,,96,D1-ELEVATOR,FLUSHING-NORTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""110 72 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.79,55.75,FOREST HILLS,15.79,0.09,0.0,,D1-ELEVATOR,4-02224-0016,,,1940,4-02236-0012,"371,505","65,500",13.25,,121,D1-ELEVATOR,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""140 84 DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.53,39.04,BRIARWOOD,13.53,0.14,0.0,,D1-ELEVATOR,4-09716-0126,,,1953,4-09715-0146,"820,224","116,841",12.76,,169,D1-ELEVATOR,BRIARWOOD
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""143 BARCLAY AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.2,47.8,FLUSHING-NORTH,15.78,0.14,0.14,,D7-ELEVATOR,4-05046-0006,,,1986,4-05046-0045,"266,036","41,398",14.63,,48,D3-ELEVATOR,FLUSHING-NORTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""161 JEWEL AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.99,69.77,HILLCREST,17.74,1.32,0.83,,D1-ELEVATOR,4-09666-0040,,,1954,4-06853-0006,"580,744","69,384",16.41,,383,D1-ELEVATOR,BRIARWOOD
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""249 63 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",20.0,44.12,OAKLAND GARDENS,20.31,1.37,1.35,,C9-WALK-UP,4-07943-0050,,,1952,4-07660-0002,"222,104","24,480",20.77,,108,C9-WALK-UP,QUEENS VILLAGE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""149 MELBOURNE AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.0,43.06,FLUSHING-SOUTH,15.98,0.48,0.41,,C9-WALK-UP,4-06683-0017,,,1951,4-06595-0032,"252,193","38,908",14.43,,172,C9-WALK-UP,FLUSHING-SOUTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""224 HILLSIDE AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.31,44.16,HOLLISWOOD,16.31,1.23,0.95,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      , ,,4460701.0,14.0,1951,4-10592-0150, , , ,32.0,132,C9-WALK-UP, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""195 39 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",17.59,46.67,FLUSHING-NORTH,17.59,0.22,0.22,,C9-WALK-UP,4-06206-0001,,,1950,4-05357-0033,"184,525","20,400",18.33,,11,C9-WALK-UP,BAYSIDE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""87 204 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.61,43.52,QUEENS VILLAGE,16.08,0.69,0.56,, ,,,,1954,4-10681-0056, , , ,,197,D1-ELEVATOR, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""155 SANFORD AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",12.49,47.46,FLUSHING-NORTH,12.49,0.28,0.15,,D3-ELEVATOR,4-05050-0001,,,1928,4-05330-0001,"188,058","46,837",14.16,,36,D3-ELEVATOR,FLUSHING-NORTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""224 SPRINGFIELD BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",20.0,47.28,OAKLAND GARDENS,20.31,0.63,0.78,,C9-WALK-UP,4-07943-0050,,,1950,4-07660-0002,"222,104","24,480",20.77,,120,C9-WALK-UP,QUEENS VILLAGE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""140 HOLLY AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.96,38.98,FLUSHING-NORTH,14.75,0.17,0.13,,D7-ELEVATOR,4-05145-0049,,,1960,4-05146-0001,"994,115","121,091",18.25,,92,D1-ELEVATOR,FLUSHING-NORTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""75 255 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",17.38,44.25,FRESH MEADOWS,18.51,6.49,3.51,, ,,,,1962,4-07117-0008, , , ,,40,C9-WALK-UP, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""264 LANGSTON AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",17.38,64.43,FRESH MEADOWS,18.51,6.73,3.66,, ,,,,1948,4-07117-0008, , , ,,180,C9-WALK-UP, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""81 150 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.0,44.5,FLUSHING-SOUTH,15.98,0.7,1.07,,C9-WALK-UP,4-06683-0017,,,1947,4-06595-0032,"252,193","38,908",14.43,,685,C9-WALK-UP,FLUSHING-SOUTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 71 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.0,57.12,FLUSHING-SOUTH,15.98,0.17,0.31,,C9-WALK-UP,4-06683-0017,,,1949,4-06595-0032,"252,193","38,908",14.43,,26,C9-WALK-UP,FLUSHING-SOUTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""32 91 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",12.27,35.71,JACKSON HEIGHTS,16.97,0.29,0.27,,D1-ELEVATOR,4-01432-0034,,,1952,4-01451-0012,"268,966","50,900",11.89,,330,D1-ELEVATOR,JACKSON HEIGHTS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 GRAND AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.49,52.64,ELMHURST,14.69,0.17,0.14,,D1-ELEVATOR,4-01842-0031,,,1959,4-02474-0022,"593,171","107,010",13.49,,100,D1-ELEVATOR,ELMHURST
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""110 73 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.36,68.48,FOREST HILLS,16.51,0.17,0.1,,D7-ELEVATOR,4-03258-0023,,,1937,4-02238-0019,"401,486","48,000",16.75,,71,D1-ELEVATOR,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""72 34 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",12.43,37.04,JACKSON HEIGHTS,12.43,0.2,0.16,,D1-ELEVATOR,4-01246-0035,,,1937,4-01261-0035,"332,920","49,800",13.75,,96,D3-ELEVATOR,JACKSON HEIGHTS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""162 POWELLS COVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.57,37.11,BAYSIDE,17.98,1.5,1.22,Whitestone                                                                 ,D1-ELEVATOR,4-04981-0050,,7.0,1956,4-05865-0112,"645,507","99,162",16.43,19.0,108,D1-ELEVATOR,FLUSHING-NORTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""68 YELLOWSTONE BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.7,58.12,FOREST HILLS,15.53,0.12,0.05,,D7-ELEVATOR,4-02137-0027,,,1949,4-02210-0018,"1,121,338","156,762",14.22,,131,D7-ELEVATOR,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""42 COLDEN STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.7,52.68,FLUSHING-NORTH,19.14,0.1,0.26,,D7-ELEVATOR,4-05121-0017,,,1962,4-05182-0019,"943,647","130,548",15.54,,162,D6-ELEVATOR,FLUSHING-NORTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""73 AUSTIN STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",17.36,53.48,FOREST HILLS,18.37,0.18,0.22,,D1-ELEVATOR,4-03334-0292,,,1930,4-03272-0001,"335,400","51,545",16.9,,104,D1-ELEVATOR,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""151 CROSS ISLE PARKWAY"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.92,45.08,WHITESTONE,15.92,,0.72,, ,,,,1965,4-04157-0002, , , ,,66, , 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""65 108 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.57,43.6,FOREST HILLS,16.22,0.32,0.13,,D7-ELEVATOR,4-02145-0028,,,1950,4-02153-0025,"512,489","73,470",13.57,,84,D7-ELEVATOR,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""75 255 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",17.38,44.23,FRESH MEADOWS,18.51,6.34,3.36,, ,,,,1948,4-07117-0008, , , ,,96,C9-WALK-UP, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""19 24 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.54,49.15,ASTORIA,17.05,0.92,0.48,, ,,,,1920,4-00903-0007, , , ,,193,D9-ELEVATOR, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""90 34 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11.25,35.71,JACKSON HEIGHTS,12.1,0.22,0.15,, ,,,,1958,4-01448-0032, , , ,,111,D1-ELEVATOR, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""155 84 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",12.7,37.38,OZONE PARK,14.07,0.86,0.68,,C1-WALK-UP,4-09153-0066,,,1959,4-11545-0026,"114,540","17,700",12.7,,100,C1-WALK-UP,OZONE PARK
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""158 PARSONS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.99,63.62,BRIARWOOD,15.11,1.05,1.47,Whitestone                                                                 ,D1-ELEVATOR,4-09666-0040,,7.0,1954,4-06636-0001,"580,744","69,384",16.41,19.0,793,D1-ELEVATOR,BRIARWOOD
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""143 HOOVER AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",12.87,54.83,BRIARWOOD,13.53,0.34,0.29,,D1-ELEVATOR,4-09711-0075,,,1948,4-09715-0146,"790,221","114,780",13.67,,110,D1-ELEVATOR,BRIARWOOD
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""245 62 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.12,46.54,DOUGLASTON,14.12,,0.28,, ,,,,1953,4-08276-0658, , , ,,100, , 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""103 68 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.83,52.41,FOREST HILLS,13.55,0.05,0.0,,D1-ELEVATOR,4-02134-0013,,,1953,4-02136-0033,"796,014","135,400",13.83,,107,D1-ELEVATOR,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""78 34 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.46,31.31,JACKSON HEIGHTS,14.87,0.2,0.15,, ,,,,1906,4-01268-0001, , , ,,60,D1-ELEVATOR, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""34 80 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",8.5,22.65,JACKSON HEIGHTS,8.17,0.05,0.05,,C1-WALK-UP,4-01431-0032,,,1922,4-01268-0006,"84,940","13,600",13.85,,11,C1-WALK-UP,JACKSON HEIGHTS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""149 79 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.99,44.89,FLUSHING-SOUTH,16.99,0.34,0.12,,D1-ELEVATOR,4-06636-0001,,,1955,4-06712-0032,"984,785","125,164",15.11,,182,D1-ELEVATOR,BRIARWOOD
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""50 40 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.14,46.58,SUNNYSIDE,15.14,0.18,0.11,,D1-ELEVATOR,4-00207-0001,,,1961,4-00205-0024,"787,596","114,486",15.16,,51,D1-ELEVATOR,SUNNYSIDE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 LEFFERTS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.58,58.44,KEW GARDENS,14.99,0.0,0.1,,D1-ELEVATOR,4-03322-0040,,,1932,4-03329-0054,"1,308,238","212,202",13.76,,96,D1-ELEVATOR,KEW GARDENS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""36 PARSONS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",12.64,26.59,FLUSHING-NORTH,10.91,0.06,0.0,,D1-ELEVATOR,4-05003-0023,,,1931,4-05012-0021,"416,886","59,100",13.32,,42,D1-ELEVATOR,FLUSHING-NORTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""9 162 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.57,37.57,WHITESTONE,15.92,1.21,1.33,,D1-ELEVATOR,4-05958-0030,,,1958,4-04157-0002,"1,028,325","146,525",16.57,,32,D3-ELEVATOR,BAYSIDE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""232 131 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.18,38.06,LAURELTON,17.88,2.16,0.71,,C1-WALK-UP,4-10942-0108,,,1950,4-13116-0038,"57,276","8,194",13.18,,30,C1-WALK-UP,ST. ALBANS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""84 129 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.95,54.46,KEW GARDENS,12.59,0.22,0.26,, ,,,,1969,4-03357-0012, , , ,,131,D1-ELEVATOR, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""210 41 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",17.43,59.52,BAYSIDE,16.57,1.46,1.27,, ,,,,1963,4-05958-0030, , , ,,72,D3-ELEVATOR, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""76 AUSTIN STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.9,75.14,FOREST HILLS,13.67,0.0,0.0,,D1-ELEVATOR,4-03341-0016,,,1931,4-03334-0299,"361,742","59,500",19.96,,98,D1-ELEVATOR,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""110 QUEENS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.08,53.86,FOREST HILLS,14.36,0.14,0.09,, ,,,,1965,4-02235-0047, , , ,,410,D7-ELEVATOR, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""81 LANGDALE STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",20.0,44.19,OAKLAND GARDENS,20.31,2.52,2.58,,C9-WALK-UP,4-07943-0050,,,1950,4-07660-0002,"222,104","24,480",20.77,,152,C9-WALK-UP,QUEENS VILLAGE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 BEVERLY ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",17.49,54.53,KEW GARDENS,16.03,0.15,0.24,,D1-ELEVATOR,4-09238-0001,,,1966,4-03321-0111,"265,920","36,126",18.39,,44,D1-ELEVATOR,KEW GARDENS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""166 POWELLS COVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.57,37.3,BAYSIDE,17.98,1.48,1.16,Whitestone                                                                 ,D1-ELEVATOR,4-05958-0030,,7.0,1958,4-05865-0112,"1,028,325","146,525",16.57,19.0,32,D3-ELEVATOR,BAYSIDE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 118 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.76,53.52,KEW GARDENS,16.03,0.0,0.12,,D1-ELEVATOR,4-03321-0018,,,1956,4-03321-0111,"426,000","74,118",14.85,,111,D1-ELEVATOR,KEW GARDENS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""69 35 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.62,35.71,JACKSON HEIGHTS,11.89,0.27,0.24,,D1-ELEVATOR,4-01165-0027,,,1963,4-01273-0034,"414,197","65,810",14.74,,75,D1-ELEVATOR,JACKSON HEIGHTS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""89 170 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",12.7,38.1,JAMAICA,15.34,0.0,0.12,,D3-ELEVATOR,4-09817-0030,,,1963,4-09819-0003,"833,496","99,344",16.44,,167,D1-ELEVATOR,JAMAICA
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""84 168 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.33,36.67,JAMAICA,13.33,0.42,0.37,,D1-ELEVATOR,4-09814-0006,,,1939,4-09836-0001,"1,061,114","156,240",12.91,,120,D3-ELEVATOR,JAMAICA
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""157 17 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",18.0,72.14,FLUSHING-NORTH,18.68,2.08,0.92,, ,,,,1961,4-05964-0001, , , ,,11,C9-WALK-UP, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""64 99 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11.64,33.43,REGO PARK,11.64,0.1,0.05,,D1-ELEVATOR,4-03087-0007,,,1946,4-02115-0001,"633,442","104,778",13.35,,96,D1-ELEVATOR,REGO PARK
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""110 71 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.79,57.11,FOREST HILLS,15.79,0.14,0.05,,D1-ELEVATOR,4-02235-0047,,,1956,4-02236-0012,"399,138","69,322",14.36,,188,D1-ELEVATOR,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""88 182 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.51,45.78,HOLLIS,15.0,0.77,0.77,, ,,,,1955,4-10821-0001, , , ,,65,D1-ELEVATOR, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 118 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.85,54.52,KEW GARDENS,15.76,0.12,0.12,,D1-ELEVATOR,4-03322-0014,,,1954,4-03321-0061,"647,210","83,727",14.58,,150,D1-ELEVATOR,KEW GARDENS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""162 9 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.57,37.57,WHITESTONE,15.92,1.21,1.33,,D1-ELEVATOR,4-05958-0030,,,1958,4-04157-0002,"1,028,325","146,525",16.57,,32,D3-ELEVATOR,BAYSIDE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""69 YELLOWSTONE BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.22,48.26,FOREST HILLS,14.22,0.1,0.15,,D1-ELEVATOR,4-02210-0001,,,1942,4-02137-0027,"885,248","139,052",13.86,,156,D7-ELEVATOR,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""67 108 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.06,38.95,FOREST HILLS,14.22,0.09,0.12,,D1-ELEVATOR,4-02132-0045,,,1949,4-02137-0027,"1,050,683","169,348",14.33,,204,D1-ELEVATOR,FOREST HILLS
