queens_cooperatives_comparable_properties_boro_block_lot,queens_cooperatives_comparable_properties_expense_per_sqft,comparable_rental_2_expense_per_sqft,comparable_rental_3_total_units,comparable_rental_1_expense_per_sqft,comparable_rental_2_net_operating_income,comparable_rental_1_building_classification,queens_cooperatives_comparable_properties_estimated_expense,borough,queens_cooperatives_comparable_properties_neighborhood,comparable_rental_3_net_operating_income,postcode,comparable_rental_3_estimated_gross_income,comparable_rental_1_estimated_expense,comparable_rental_2_neighborhood,comparable_rental_1_net_operating_income,comparable_rental_2_address,bbl,comparable_rental_2_gross_income_per_sqft,queens_cooperatives_comparable_properties_full_market_value,queens_cooperatives_comparable_properties_building_classification,comparable_rental_2_total_units,queens_cooperatives_comparable_properties_estimated_gross_income
4-04781-0001,7.44,8.46,84,6.39,385830.0,D1-ELEVATOR,384983,4,FLUSHING-NORTH,"509,044",,"1,016,660",313078,FLUSHING-NORTH,373181,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""145 34 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,16.58,1914000,D4-ELEVATOR,42.0,771001
4-08492-0002,8.45,9.15, ,7.76,816863.0,C9-WALK-UP,1016839,4,GLEN OAKS, ,, ,1597486,KEW GARDENS,2210345,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""84 125 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,18.91,5313000,C6-WALK-UP,103.0,2091440
4-16230-0039,5.44,7.74,68,5.07,268480.0,D1-ELEVATOR,220320,4,ROCKAWAY PARK,"436,510",11694.0,"781,204",178087,ARVERNE,197881,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""334 BEACH 54 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4162300039.0,16.13,1768000,D4-ELEVATOR,32.0,499365
4-07914-0002,4.47,6.48,48,7.3,632188.0,C9-WALK-UP,2188512,4,QUEENS VILLAGE,"309,398",11363.0,"561,591",152629,FLUSHING-SOUTH,181762,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""147 72 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.6,14732000,C6-WALK-UP,96.0,4670784
4-05135-0044,7.08,7.03,284,6.8,2250043.0,D7-ELEVATOR,1488697,4,FLUSHING-NORTH,"2,266,265",,"4,181,556",1818457,FLUSHING-NORTH,2322469,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""43 KISSENA BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15.44,8195000,D4-ELEVATOR,287.0,3250743
4-06669-0027,6.7,6.48,48,7.3,632188.0,C9-WALK-UP,213462,4,FLUSHING-SOUTH,"309,398",,"561,591",152629,FLUSHING-SOUTH,181762,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""147 72 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.6,1210000,C6-WALK-UP,96.0,477900
4-11466-0025,6.47,3.53,24,5.43,93567.0,C1-WALK-UP,479453,4,HOWARD BEACH,"110,231",,"224,771",112049,OZONE PARK,178482,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""92 SILVER ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,8.4,2772000,C6-WALK-UP,16.0,941121
4-11421-0013,7.03,6.47,21,5.43,110231.0,C1-WALK-UP,848521,4,HOWARD BEACH,"158,827",11693.0,"258,404",112049,OZONE PARK,178482,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""105 88 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,12.7,4609000,C6-WALK-UP,24.0,1697042
4-03155-0001,6.43,7.09,150,7.74,788827.0,D3-ELEVATOR,925920,4,REGO PARK,"1,069,348",,"2,056,048",1375475,REGO PARK,1490987,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""67 BURNS STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.31,8085000,D4-ELEVATOR,112.0,2322720
4-02945-0001,6.26,7.73,36,6.15,472969.0,D1-ELEVATOR,471804,4,MIDDLE VILLAGE,"200,903",,"339,712",453635,REGO PARK,700640,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""62 SAUNDERS STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.59,4722000,D4-ELEVATOR,60.0,1159914
4-00528-0050,7.03,7.81,91,6.23,512527.0,D1-ELEVATOR,3122128,4,ASTORIA,"816,990",,"1,317,623",646861,ASTORIA,825496,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""33 CRESCENT STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.47,20528000,D4-ELEVATOR,73.0,6244257
4-03907-0975,6.17,6.17,249,6.43,1612042.0,D1-ELEVATOR,1913009,4,GLENDALE,"1,613,381",,"3,434,397",902017,KEW GARDENS,1307834,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 118 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.76,11440000,D4-ELEVATOR,186.0,4266288
4-01443-0057,6.25,, ,6.25,,C1-WALK-UP,71938,4,JACKSON HEIGHTS, ,, ,84940, ,103398,,,,577000,C6-WALK-UP,,159414
4-08490-0002,8.45,9.15, ,7.76,816863.0,C9-WALK-UP,1040364,4,GLEN OAKS, ,, ,1597486,KEW GARDENS,2210345,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""84 125 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,18.91,7933000,C6-WALK-UP,103.0,2139826
4-05049-0019,6.43,6.43,83,6.04,339713.0,D1-ELEVATOR,337704,4,FLUSHING-NORTH,"389,324",,"846,255",352611,FLUSHING-NORTH,546613,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""142 41 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.63,2035000,D4-ELEVATOR,45.0,768368
4-04574-0041,7.02,6.35, ,7.02,1717451.0,D1-ELEVATOR,1053000,4,BEECHHURST, ,11357.0, ,1028325,BAYSIDE,1399185,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""16 BELL BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,17.98,5566000,D4-ELEVATOR,152.0,2485500
4-03076-0022,6.85,5.46, ,9.08,383984.0,C1-WALK-UP,366256,4,REGO PARK, ,, ,84117,REGO PARK,102923,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""95 64 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,19.22,4922000,C6-WALK-UP,32.0,1053854
4-02322-0001,6.18,6.01,77,6.97,1226965.0,D6-ELEVATOR,1792200,4,WOODSIDE,"628,638",,"987,403",343900,WOODSIDE,343900,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""47 59 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,11.14,9765000,D4-ELEVATOR,233.0,4042600
4-03907-0970,5.75,6.17,79,6.43,1612042.0,D1-ELEVATOR,981939,4,GLENDALE,"675,020",,"1,101,020",902017,KEW GARDENS,1307834,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 118 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.76,6303000,D4-ELEVATOR,186.0,2535964
4-08276-0030,5.4,, ,5.4,,C9-WALK-UP,556373,4,DOUGLASTON, ,, ,149526, ,241406,,,,6233000,C6-WALK-UP,,1454812
4-08440-0001,8.45,9.15, ,7.76,816863.0,C9-WALK-UP,952619,4,GLEN OAKS, ,, ,1597486,KEW GARDENS,2210345,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""84 125 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,18.91,7263000,C6-WALK-UP,103.0,1959352
4-00189-0025,5.87,7.14,60,5.87,468804.0,D1-ELEVATOR,314045,4,SUNNYSIDE,"455,408",,"775,763",359869,SUNNYSIDE,424437,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""41 42 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.73,2473000,D4-ELEVATOR,60.0,684265
4-00198-0019,7.03,7.8,63,4.51,335160.0,D1-ELEVATOR,337440,4,SUNNYSIDE,"495,102",,"880,005",265298,SUNNYSIDE,485019,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""47 40 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.45,2219000,D4-ELEVATOR,55.0,674880
4-05050-0020,5.64,5.64,100,7.19,1320935.0,D7-ELEVATOR,443428,4,FLUSHING-NORTH,"959,717",,"1,482,814",546687,FLUSHING-NORTH,582425,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 41 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.39,3586000,D4-ELEVATOR,161.0,1131371
4-05123-0051,6.56,7.23,180,8.0,1085142.0,D6-ELEVATOR,1153557,4,FLUSHING-NORTH,"1,012,731",,"2,154,677",1124547,FLUSHING-NORTH,1083033,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""133 SANFORD AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15.54,8140000,D4-ELEVATOR,148.0,2563460
4-07347-0007,8.0,7.97,48,7.87,2191717.0,C9-WALK-UP,235600,4,BAYSIDE,"286,440",,"508,544",1090484,OAKLAND GARDENS,1722067,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""224 69 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,20.55,2257000,C6-WALK-UP,224.0,589000
4-04591-0066,7.02,6.35,121,5.44,1717451.0,D3-ELEVATOR,285658,4,BEECHHURST,"1,399,185",,"2,427,510",317783,BAYSIDE,611569,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""16 BELL BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,17.98,1540000,D4-ELEVATOR,152.0,674266
4-08448-0001,8.45,9.15, ,7.76,816863.0,C9-WALK-UP,711152,4,GLEN OAKS, ,, ,1597486,KEW GARDENS,2210345,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""84 125 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,18.91,3718000,C6-WALK-UP,103.0,1462701
4-05314-0003,7.5,6.81, ,6.81,210191.0,C9-WALK-UP,144525,4,FLUSHING-NORTH, ,, ,132680,FLUSHING-NORTH,210191,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""40 192 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,17.59,797000,C6-WALK-UP,28.0,269780
4-03322-0135,6.12,7.73,84,6.17,573530.0,D1-ELEVATOR,918000,4,KEW GARDENS,"484,808",,"1,031,969",1308238,KEW GARDENS,1612042,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""118 METROPOLITAN AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.58,8030000,D4-ELEVATOR,84.0,2187000
4-01837-0012,7.91,7.3,194,5.54,732470.0,D1-ELEVATOR,1122856,4,ELMHURST,"1,417,354",,"2,629,810",593171,ELMHURST,849888,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 ST JAMES AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.59,5333000,D4-ELEVATOR,125.0,1929155
4-03341-0024,5.91,5.91,61,5.47,612019.0,D1-ELEVATOR,376089,4,FOREST HILLS,"621,476",,"873,936",316931,FOREST HILLS,750889,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""111 76 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,17.36,3553000,D4-ELEVATOR,60.0,1104721
4-05374-0038,8.01,5.55,101,6.88,1222286.0,D1-ELEVATOR,849997,4,FLUSHING-NORTH,"679,276",,"1,364,599",729072,FLUSHING-NORTH,878194,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 41 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,16.89,4719000,D4-ELEVATOR,137.0,1691505
4-03333-0016,5.75,5.75,90,8.07,675020.0,D3-ELEVATOR,899933,4,KEW GARDENS,"838,219",,"1,378,838",1002827,KEW GARDENS,923792,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 118 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.85,8536000,D4-ELEVATOR,79.0,2324174
4-02100-0015,7.03,7.09, ,6.09,788827.0,D1-ELEVATOR,828978,4,REGO PARK, ,, ,609557,REGO PARK,901160,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""67 BURNS STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.31,5451000,D4-ELEVATOR,112.0,1657955
4-02874-0055,6.15,7.0,65,6.15,505531.0,D1-ELEVATOR,355568,4,MIDDLE VILLAGE,"544,155",,"1,046,752",453635,REGO PARK,700640,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""92 QUEENS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.36,3190000,D4-ELEVATOR,65.0,904820
4-06485-0003,6.7,6.48,48,7.3,632188.0,C9-WALK-UP,1771346,4,FLUSHING-SOUTH,"309,398",,"561,591",152629,FLUSHING-SOUTH,181762,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""147 72 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.6,8338000,C6-WALK-UP,96.0,3965700
4-06660-0040,6.7,6.48,48,7.3,632188.0,C9-WALK-UP,160371,4,FLUSHING-SOUTH,"309,398",,"561,591",152629,FLUSHING-SOUTH,181762,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""147 72 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.6,914000,C6-WALK-UP,96.0,359040
4-05028-0007,6.88,6.88,113,5.55,878194.0,D1-ELEVATOR,785359,4,FLUSHING-NORTH,"731,409",,"1,441,939",598242,FLUSHING-NORTH,1222286,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""147 147 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15.18,4026000,D4-ELEVATOR,115.0,1732812
4-08511-0002,8.45,9.15, ,7.76,816863.0,C9-WALK-UP,947346,4,GLEN OAKS, ,, ,1597486,KEW GARDENS,2210345,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""84 125 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,18.91,7224000,C6-WALK-UP,103.0,1948507
4-05046-0010,7.7,7.7,62,6.04,286421.0,D1-ELEVATOR,507599,4,FLUSHING-NORTH,"333,208",,"709,348",352611,FLUSHING-NORTH,546613,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""142 BARCLAY AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15.2,3014000,D4-ELEVATOR,50.0,1002014
4-11446-0001,7.26,4.42,47,4.91,682269.0,D5-ELEVATOR,1151436,4,HOWARD BEACH,"270,741",,"575,738",152450,WOODHAVEN,282529,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""85 85 DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,12.44,5951000,D4-ELEVATOR,84.0,2174406
4-01435-0029,5.28,4.76,84,5.28,367401.0,D1-ELEVATOR,272606,4,JACKSON HEIGHTS,"523,011",,"956,281",268966,JACKSON HEIGHTS,336180,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""84 34 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,10.9,1848000,D4-ELEVATOR,72.0,613881
4-09807-0073,6.53,6.83, ,6.16,492378.0,D1-ELEVATOR,1007266,4,JAMAICA, ,, ,386274,JAMAICA,505903,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""88 171 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.59,5841000,D4-ELEVATOR,81.0,2136390
4-03198-0033,6.6,5.45, ,8.65,282119.0,C9-WALK-UP,287753,4,FOREST HILLS, ,, ,227547,FOREST HILLS,227284,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""78 KEW FOREST LANE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,11.92,2547000,C6-WALK-UP,48.0,636981
4-12483-0030,6.53,8.94, ,6.56,113359.0,C9-WALK-UP,334989,4,SPRINGFIELD GARDENS, ,, ,184562,LAURELTON,190953,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""136 222 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,17.88,3179000,C6-WALK-UP,24.0,801306
4-11466-0001,6.47,3.53,24,5.43,93567.0,C1-WALK-UP,503909,4,HOWARD BEACH,"110,231",,"224,771",112049,OZONE PARK,178482,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""92 SILVER ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,8.4,2948000,C6-WALK-UP,16.0,989127
4-04588-0038,7.02,6.35,121,5.44,1717451.0,D3-ELEVATOR,285658,4,BEECHHURST,"1,399,185",,"2,427,510",317783,BAYSIDE,611569,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""16 BELL BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,17.98,1529000,D4-ELEVATOR,152.0,674266
4-05872-0002,6.35,6.63,121,6.35,1877005.0,D3-ELEVATOR,3107944,4,BAYSIDE,"1,399,185",,"2,427,510",938256,BAYSIDE,1717451,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""16 BELL BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,19.34,40050000,D4-ELEVATOR,152.0,8800131
4-03321-0069,5.34,7.81,84,6.59,484808.0,D1-ELEVATOR,345583,4,KEW GARDENS,"573,530",,"1,220,740",357727,KEW GARDENS,456342,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 118 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.73,3487000,D4-ELEVATOR,84.0,953267
4-06542-0003,7.11,6.48,144,6.48,927678.0,C9-WALK-UP,1418189,4,FLUSHING-SOUTH,"929,739",,"1,686,319",756580,FLUSHING-SOUTH,943570,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""150 73 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.42,6292000,C6-WALK-UP,144.0,2836378
4-07648-0002,8.0,7.97,48,7.87,2191717.0,C9-WALK-UP,1058400,4,OAKLAND GARDENS,"286,440",,"508,544",1090484,OAKLAND GARDENS,1722067,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""224 69 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,20.55,6050000,C6-WALK-UP,224.0,2646000
4-04999-0033,6.08,6.83,68,6.39,668173.0,D1-ELEVATOR,360544,4,FLUSHING-NORTH,"467,067",,"817,632",313078,FLUSHING-NORTH,373181,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""37 147 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15.16,3335000,D4-ELEVATOR,95.0,841467
4-01907-0001,7.14,7.14,233,6.7,1480162.0,D3-ELEVATOR,1067773,4,CORONA,"1,290,198",,"2,986,479",1473865,CORONA,1551935,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""98 57 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.5,6297000,D4-ELEVATOR,224.0,2018898
4-03085-0036,6.66,4.87,56,5.3,502872.0,D1-ELEVATOR,592647,4,REGO PARK,"352,800",,"750,456",356279,REGO PARK,551870,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""64 BOOTH STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,16.71,4961000,D4-ELEVATOR,52.0,1325002
4-09715-0220,5.22,3.72, ,6.72,939294.0,D1-ELEVATOR,330739,4,BRIARWOOD, ,, ,735654,BRIARWOOD,745963,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""85 MANTON STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.93,2365000,D4-ELEVATOR,80.0,869933
4-06574-0016,6.7,6.48,48,7.3,632188.0,C9-WALK-UP,140164,4,FLUSHING-SOUTH,"309,398",,"561,591",152629,FLUSHING-SOUTH,181762,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""147 72 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.6,660000,C6-WALK-UP,96.0,313800
4-02101-0001,6.76,6.92,113,6.43,822902.0,D1-ELEVATOR,959379,4,REGO PARK,"676,243",,"1,339,055",807051,REGO PARK,873568,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""99 64 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.78,6473000,D4-ELEVATOR,132.0,1938627
4-07341-0012,8.4,6.39, ,8.4,608473.0,C9-WALK-UP,410516,4,BAYSIDE, ,, ,390398,BAYSIDE,374597,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""42 212 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,16.21,2852000,C6-WALK-UP,84.0,804417
4-01280-0057,6.37,6.37,8,7.49,124385.0,C1-WALK-UP,80389,4,JACKSON HEIGHTS,"28,595",,"81,947",1354827,JACKSON HEIGHTS,1117556,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""37 75 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.65,590000,C6-WALK-UP,27.0,172263
4-00131-0004,5.74,6.8,73,6.83,369651.0,D1-ELEVATOR,369110,4,SUNNYSIDE,"483,608",,"826,308",294750,SUNNYSIDE,334804,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""41 51 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15.37,626000,D4-ELEVATOR,42.0,474739
4-05958-0075,6.35,6.63,152,7.02,1877005.0,D1-ELEVATOR,997458,4,BAYSIDE,"1,717,451",,"2,655,707",1028325,BAYSIDE,1399185,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""16 BELL BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,19.34,9427000,D4-ELEVATOR,152.0,2824298
4-07348-0001,5.75,6.39, ,4.31,608473.0,C9-WALK-UP,678500,4,BAYSIDE, ,, ,897160,BAYSIDE,1711526,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""42 212 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,16.21,5401000,C6-WALK-UP,84.0,1695660
4-09718-0002,6.65,6.72,201,7.73,745963.0,D1-ELEVATOR,1159030,4,BRIARWOOD,"1,555,526",,"2,978,731",978247,BRIARWOOD,941547,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""141 PERSHING CRESCENT"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.53,8371000,D4-ELEVATOR,108.0,2499802
4-02252-0010,7.03,6.78,85,5.7,942912.0,D1-ELEVATOR,1674040,4,FOREST HILLS,"510,119",,"1,070,427",784152,FOREST HILLS,1485944,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""110 72 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15.79,11007000,D4-ELEVATOR,108.0,3348080
4-03355-0106,5.34,7.73,84,8.07,573530.0,D3-ELEVATOR,482058,4,KEW GARDENS,"484,808",,"1,031,969",1002827,KEW GARDENS,923792,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""118 METROPOLITAN AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.58,5850000,D4-ELEVATOR,84.0,1329721
4-04588-0052,7.02,6.35,121,5.44,1717451.0,D3-ELEVATOR,285658,4,BEECHHURST,"1,399,185",,"2,427,510",317783,BAYSIDE,611569,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""16 BELL BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,17.98,1540000,D4-ELEVATOR,152.0,674266
4-08359-0006,7.68,, ,7.54,,C9-WALK-UP,538550,4,LITTLE NECK, ,, ,1093503, ,1271868,,,,3102000,C6-WALK-UP,,1143020
4-05026-0007,6.83,9.13,20,4.78,139729.0,C1-WALK-UP,341643,4,FLUSHING-NORTH,"113,356",,"217,854",157713,FLUSHING-NORTH,313214,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 ROOSEVELT AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,19.43,2904000,C6-WALK-UP,20.0,841353
4-01280-0063,6.37,6.37,8,7.49,124385.0,C1-WALK-UP,80389,4,JACKSON HEIGHTS,"28,595",,"81,947",1354827,JACKSON HEIGHTS,1117556,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""37 75 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.65,590000,C6-WALK-UP,27.0,172263
