school_name,q2_how_much_do_you_agree_disagree_g_there_is_an_adult_at_the_whom_my_child_trus,q2e_number_strongly_agree,teacher_safety_and_respect_score,parent_engagement_score,q7_my_child_participates_in_the_following_before_or_after_school,student_safety_and_respect_score,q8_how_much_do_you_agree_disagree_my_child_s_offers_a_wide_enough_variety_of_co,enrollment,q1_number_2nd_grade,change_in_parent_engagement_score_2007_2008,q2_how_much_do_you_agree_disagree_d_the_keeps_me_inf_med_about_my_child_s_acade,q1_number_12th_grade,q2a_number_strongly_disagree,horizion_engagement_score,q1_number_5th_grade,horizion_safety_and_respect_score,q11_how_often_do_you_think_a_students_threaten_bully_other_students,teacher_horizon_safety_and_respect_score,teacher_horizon_academic_expectations_score,q2a_number_strongly_agree,teacher_respondents,student_horizon_engagement_score,q2b_number_strongly_agree,student_respondents,q5_how_much_do_you_agree_disagree_c_my_child_s_teacher_s_give_helpful_comments,communication_score,q2e_number_disagree,teacher_response_rate,q2b_number_disagree,change_in_student_academic_expectations_score_2007_2008,q13_how_satisfied_are_you_with_d_your_opp_tunities_to_be_involved_in_your_child,q2c_number_strongly_disagree,q1_number_11th_grade,q2d_number_disagree,q13_how_satisfied_are_you_with_e_the_education_your_child_has_received_this_yea,change_in_parent_academic_expectations_score_2007_2008,change_in_student_communication_score_2007_2008,total_students,q2d_number_strongly_disagree,parent_horizon_engagement_score,q11_how_often_do_you_think_e_students_use_alcohol_illegal_drugs_during_school,q10_how_much_do_you_agree_disagree_answer_this_question_only_if_your_child_s_ha,horizion_academic_expectations_score
P.S. 048 Joseph R. Drake,7.3,180,6.4,7.3,4.5,.,7.1,959,83,0.5,7.9,0,2,56.3,85,34.5,6.0,31.0,47.5,199,62.0,.,167,.,8.2,7.2,27,0.7,43,.,8.0,6,0,19,8.0,0.6,.,.,5,63.6,10.0,7.7,50.0
Academy of Business and Community Development,7.4,15,6.8,6.0,2.7,.,6.0,154,0,-0.3,7.5,0,1,41.4,0,57.6,5.1,52.1,42.6,11,6.0,.,11,.,7.7,6.1,0,0.43,5,.,7.0,0,0,5,6.8,1.1,.,149,0,36.7,10.0,6.4,40.7
Medgar Evers College Preparatory School,7.9,104,7.6,7.5,5.2,.,8.0,889,0,1.3,8.0,17,2,79.3,0,86.7,7.1,73.2,72.1,114,30.0,.,94,.,7.4,6.9,6,0.61,9,.,7.7,5,27,16,7.9,0.5,.,867,3,90.3,9.5,8.1,80.8
P.S. 007 Samuel Stern,7.5,72,7.0,6.6,3.7,6.2,6.3,462,32,-0.1,7.7,0,2,53.8,24,56.2,5.7,57.8,53.8,93,36.0,40.9,77,148,8.0,6.5,11,0.9,14,0.5,7.7,1,0,13,7.9,0.3,-0.6,150,4,41.7,9.9,7.9,54.2
P.S. 073 Bronx,7.3,96,7.1,6.9,4.6,.,6.6,819,43,1.3,7.7,0,3,62.5,24,44.8,5.4,47.6,72.5,102,22.0,.,86,.,7.7,7.4,12,0.33,23,.,7.8,4,0,20,7.9,1.3,.,.,2,45.5,10.0,8.0,65.4
Bronx Center for Science and Mathematics,7.3,36,7.2,6.9,4.7,6.5,7.0,338,0,0.9,7.6,0,1,62.1,1,70.0,7.2,63.4,55.8,35,4.0,50,30,260,7.4,6.3,6,0.18,7,-0.1,7.7,2,18,6,7.8,-0.1,0.2,328,4,71.0,9.5,7.5,65.4
P.S. 015 Roberto Clemente,7.6,38,6.5,7.2,5.3,.,6.3,261,9,0.6,7.4,0,0,46.9,25,41.4,6.3,33.3,37.5,48,11.0,.,40,.,7.8,6.2,8,0.46,7,.,8.1,1,0,8,7.7,0.8,.,.,3,59.1,10.0,8.1,38.5
P.S. 036 Margaret Douglas,8.1,56,8.1,7.8,4.1,.,8.0,543,38,0.3,8.6,0,0,58.8,0,58.3,7.8,57.9,40.5,80,38.0,.,60,.,8.8,7.5,4,0.73,4,.,8.4,1,0,8,8.5,0.5,.,.,0,65.2,9.9,8.1,46.4
P.S. 008 Issac Varian,7.2,213,8.1,7.2,4.2,.,6.9,1157,74,0.9,7.5,0,5,81.3,111,69.0,6.9,71.4,85.0,251,63.0,.,206,.,8.0,7.9,22,0.7,43,.,7.6,18,0,44,7.8,0.7,.,.,11,59.1,10.0,7.7,76.9
Manhattan International High School,7.8,23,7.5,6.7,4.5,7.6,7.5,323,0,0.6,8.4,4,1,69.0,0,86.7,9.0,70.7,55.8,21,14.0,77.3,15,300,8.2,6.5,0,0.61,0,-0.1,7.3,1,11,0,8.1,-0.2,0,316,1,64.5,9.8,7.4,69.2
