fullapplicationno,applicationdate,wheelbase,loadlength,trailermake,endstate,axle8weight,startcountyline,startzipcode,axle11space,endstreetaddress,issuedate,axle7weight,axle7space,startstate,descriptionofload,permitdateto
HAR-2023623-24187,2023-06-23T07:48:21.000Z,61.0,53.0,FONTAINE,NY,,,10017,,,2023-06-26T09:34:17.000Z,,,NY,EMPTY TRAILER,2023-06-28T00:00:00.000Z
Lea-2022310-8497,2022-03-10T09:03:28.000Z,49.06,48.0,RIVS,NY,,,11354,,150-10 132ND AVE,2022-03-14T09:04:59.000Z,,,NY,STK BED - 2 ROOM,2022-03-18T00:00:00.000Z
Con3-202332-9854,2023-03-02T10:47:30.000Z,53.06,50.0,GREAT DAME,NY,,,10462,,1550 MacDonough Place,2023-03-09T11:37:16.000Z,,,NY,TRANSPORTING  UTILITY POLE,2023-03-10T00:00:00.000Z
AND2-20211112-35517,2021-11-12T10:58:36.000Z,57.04,53.0,UTIL,NY,,,11222,,89-25 PARSONS BLVD,2021-11-12T11:46:53.000Z,,,NY,GRIP TRAILER WITH FIXED GENERATOR,2021-11-16T00:00:00.000Z
App-20231130-37911,2023-11-30T10:36:23.000Z,53.08,43.0,GREAT DANE,NY,,,11249,,4140 Broadway,2023-11-30T11:17:56.000Z,,,NY,CAMERA TRAILER with fixed Dark Room,2023-12-02T00:00:00.000Z
Amb-202328-6308,2023-02-08T11:12:32.000Z,48.0,40.0,STOU,NY,,,11205,,110 Waverly Pl,2023-02-10T09:00:49.000Z,,,NY,Film Production - Prop with 38' Rain Tower,2023-02-16T00:00:00.000Z
209-2022119-44590,2022-11-09T14:34:44.000Z,54.0,46.0,FOREST RIVER,NY,,,11354,,940 MADISON AVENUE,2022-11-10T09:05:58.000Z,,,NY,OFFICE TRAILER W/FIXED GENERATOR,2022-11-15T00:00:00.000Z
THE1-2021910-27070,2021-09-10T17:57:27.000Z,62.03,40.0,MANAC,NY,,WESTCHESTER LINE @ I-95,11111,,,2021-09-13T13:04:10.000Z,,,NY,PRECASTE CONCRETE SECTION,2021-09-15T00:00:00.000Z
Lea-2022318-9600,2022-03-18T09:42:57.000Z,49.06,48.0,RIVS,NY,,,11354,,2 E 73rd street,2022-03-18T13:26:27.000Z,,,NY,STK BED - 2 ROOM,2022-03-22T00:00:00.000Z
AND2-2023127-4282,2023-01-27T13:34:37.000Z,47.08,44.0,PLA,NY,,,11222,,837 SURF AVE,2023-01-30T14:58:42.000Z,,,NY,STAKEBED W/ 2RM CAMPER,2023-02-01T00:00:00.000Z
CBS3-2023329-14176,2023-03-29T13:39:55.000Z,52.05,40.0,GD,NY,,,11249,,360 West 123rd,2023-03-29T14:40:45.000Z,,,NY,HMU BOX,2023-03-31T00:00:00.000Z
HAR-2023127-38752,2023-12-07T09:08:25.000Z,70.06,55.0,HOBBS,NY,,GEORGE WASHINGTON BRIDGE I95,11111,,47TH ST & MADISON AVE,2023-12-08T09:50:13.000Z,,,NY,STEEL FRAME,2023-12-12T00:00:00.000Z
THE1-20211018-31901,2021-10-18T15:04:05.000Z,62.03,53.0,MANAC,NY,,NASSAU LINE @ SR24/HEMPSTEAD AVE,11111,,,2021-10-19T13:55:13.000Z,,,NY,EMPTY TRAILER W/ EMPTY TRAILER STACKED   (APP# 31898),2021-10-21T00:00:00.000Z
Gra-2021811-23117,2021-08-11T08:28:22.000Z,56.0,53.0,GRE,NY,,,11205,,130 Clermont ave,2021-08-11T10:00:54.000Z,,,NY,HONEYWAGON WITH OFFICE ROOMS,2021-08-13T00:00:00.000Z
O H-202298-34875,2022-09-08T12:57:17.000Z,56.11,53.0,GRE,NY,,,11378,,250 Graham ave,2022-09-08T13:54:55.000Z,,,NY,Honey Wagon,2022-09-10T00:00:00.000Z
HAR-2023825-29484,2023-08-25T13:14:34.000Z,65.0,53.0,GREAT DANE,NY,,,11430,,,2023-08-28T09:52:28.000Z,,,NY,EMPTY TRAILER,2023-08-30T00:00:00.000Z
New-20221216-49990,2022-12-16T15:45:50.000Z,90.01,80.0,GOLDHOFFER,NY,12000.0,NYC/NASSAU LINE @ I495,11111,,FURMAN ST & ATLANTIC AVE,2022-12-19T13:59:31.000Z,12000.0,4.11,NY,EMPTY,2022-12-20T00:00:00.000Z
Mut-2023714-26027,2023-07-14T14:30:31.000Z,68.05,34.0,Transcraft,NY,,I95 Westchester Line,11111,,223 Linden St,2023-07-18T13:25:39.000Z,,,NY,MODULAR UNIT RCM RBQ8275-3625-27,2023-07-19T00:00:00.000Z
New-20231113-36555,2023-11-13T10:53:32.000Z,57.03,53.0,FONTAINE,NY,3214.0,,11111,,,2023-11-14T09:57:06.000Z,3214.0,4.01,NY,EMPTY,2023-11-15T00:00:00.000Z
Aar-2022811-31186,2022-08-11T16:52:45.000Z,49.11,42.02,Playmaker,NY,,,11222,,38-62 11th St.,2022-08-12T13:42:23.000Z,,,NY,Shorty 40 w COVID Testing 2 Room,2022-08-14T00:00:00.000Z
