unique_id,work_id,floor_ac_receptacles,sign_total_aw_guage,from_floor,floor_detail,floor_transformers,item,sign_id,sign_lamp_wattage
001FBADB-1F90-E811-811A-005056B627E4.FF1EBADB-1F90-E811-811A-005056B627E4.0,001FBADB-1F90-E811-811A-005056B627E4,1,,3.0,3W,0,Floor Descriptions - Total Units,0,0
009A9BCA-E8D2-E811-811B-005056B627E4.0.0,009A9BCA-E8D2-E811-811B-005056B627E4,0,,,,0,Over 1/0 to 250MCM,0,0
00F91F34-2529-E811-8117-005056B627E4.0.0,00F91F34-2529-E811-8117-005056B627E4,0,,,,0,Over #2 to 1/0,0,0
00707204-1B20-E911-811E-005056B627E6.0.0,00707204-1B20-E911-811E-005056B627E6,0,,,,0,3Ø over 225 amps,0,0
00A6765E-DE15-E911-811D-8CFAEDA547D3.0.0,00A6765E-DE15-E911-811D-8CFAEDA547D3,0,,,,0,Up to 100 amps,0,0
002D56B5-315B-E911-8120-005056B627E6.0.0,002D56B5-315B-E911-8120-005056B627E6,0,,,,0,1Ø up to 20-1 or 10-2 pole breakers,0,0
00EDDF96-6D07-E811-8117-005056B627E4.0.0,00EDDF96-6D07-E811-8117-005056B627E4,0,,,,0,Up to #2 conductor,0,0
0131FDD8-8111-E811-8117-005056B627E4.0031FDD8-8111-E811-8117-005056B627E4.0,0131FDD8-8111-E811-8117-005056B627E4,0,,17.0,SUITE 1701 ABRAMS & FENSTERMAN,0,Floor Descriptions - Total Units,0,0
000188C7-3161-E911-8120-005056B627E6.81BAC337-3161-E911-8120-005056B627E6.0,000188C7-3161-E911-8120-005056B627E6,1,,,,0,Floor Descriptions - Total Units,0,0
0047EA88-1E8A-E811-811A-005056B627E4.FB996672-1D8A-E811-811A-005056B627E4.0,0047EA88-1E8A-E811-811A-005056B627E4,1,,,basement apartment,0,Floor Descriptions - Total Units,0,0
008D27F6-0B5A-E911-8120-005056B627E6.F78C27F6-0B5A-E911-8120-005056B627E6.0,008D27F6-0B5A-E911-8120-005056B627E6,0,,1.0,Install temporary lights and power from cellar floor to 6th floor,0,Floor Descriptions - Total Units,0,0
00536A79-9FEC-E711-8116-005056B627E6.0.0,00536A79-9FEC-E711-8116-005056B627E6,0,,,,0,3Ø over 225 amps,0,0
4891E-5296-E811-8119-005056B627E6.,00C4891E-5296-E811-8119-005056B627E6,0,,,,0,Up to #2 conductor,0,0
$00ECF1F4-2D14-E911-811D-8CFAEDA547D3.0.0,00ECF1F4-2D14-E911-811D-8CFAEDA547D3,0,,,,0,1Ø up to 20-1 or 10-2 pole breakers,0,0
00747FE7-416E-E811-8119-005056B627E6.FF737FE7-416E-E811-8119-005056B627E6.0,00747FE7-416E-E811-8119-005056B627E6,3,,1.0,"AP B1 NEW WIRING, NEW PANEL.",0,Floor Descriptions - Total Units,0,0
00D611FC-252A-E811-8117-005056B627E4.FED511FC-252A-E811-8117-005056B627E4.0,00D611FC-252A-E811-8117-005056B627E4,0,,,1st FLOOR,0,Floor Descriptions - Total Units,0,0
009BCECD-5FD8-E811-811A-005056B627E6.0.0,009BCECD-5FD8-E811-811A-005056B627E6,0,,,,0,Up to 100 amps,0,0
00326752-AA46-E911-8120-005056B627E4.FF316752-AA46-E911-8120-005056B627E4.0,00326752-AA46-E911-8120-005056B627E4,2,,2.0,,0,Floor Descriptions - Total Units,0,0
013005FE-ED5D-E811-8117-005056B627E4.0.0,013005FE-ED5D-E811-8117-005056B627E4,0,,,,0,Up to #2 conductor,0,0
007B8625-5DC1-E811-811A-005056B627E6.0.0,007B8625-5DC1-E811-811A-005056B627E6,0,,,,0,3Ø up to 225 amps,0,0
00B9B3BE-591A-E911-811C-005056B627E6.0.0,00B9B3BE-591A-E911-811C-005056B627E6,0,,,,0,601 to 1200 amps,0,0
008,008B3AD9-0241-E911-811F-005056B627E6,0,,,,0,101 to 200 amps,0,0
0064F325-9283-E811-811A-005056B627E4.0.0,0064F325-9283-E811-811A-005056B627E4,0,,,,0,Up to #2 conductor,0,0
0035464F-B649-E911-8120-005056B627E4.0.0,0035464F-B649-E911-8120-005056B627E4,0,,,,0,101 to 200 amps,0,0
00DADA28-D373-E811-811A-005056B627E4.A459B2D7-D273-E811-811A-005056B627E4.0,00DADA28-D373-E811-811A-005056B627E4,5,,1.0,,0,Floor Descriptions - Total Units,0,0
00FC7EA4-C194-E811-8119-005056B627E6.0.0,00FC7EA4-C194-E811-8119-005056B627E6,0,,,,0,Over 1/0 to 250MCM,0,0
0097F522-619A-E811-811B-005056B627E4.0.0,0097F522-619A-E811-811B-005056B627E4,0,,,,0,Up to #2 conductor,0,0
00BEC383-FA64-E911-8120-005056B627E6.0.0,00BEC383-FA64-E911-8120-005056B627E6,0,,,,0,1Ø over 20-1 or 10-2 pole breakers,0,0
010387C2-7F06-E811-8117-005056B627E4.0.067DFB83-7E06-E811-8117-005056B627E4,010387C2-7F06-E811-8117-005056B627E4,0,12,,,0,Signs - Shop Inspection,067DFB83-7E06-E811-8117-005056B627E4,40
000FE78B-5164-E811-8119-005056B627E4.0.0,000FE78B-5164-E811-8119-005056B627E4,0,,,,0,3Ø up to 225 amps,0,0
007E3164-5729-E911-811E-005056B627E6.0.0,007E3164-5729-E911-811E-005056B627E6,0,,,,0,Each additional 10 floors or less,0,0
005765AE-5D22-E811-8117-005056B627E4.3A934D7E-5D22-E811-8117-005056B627E4.0,005765AE-5D22-E811-8117-005056B627E4,0,,,GROUND FLOOR / LOCATED BY THE FREIGHT/ENTRANCE ELEVATOR,0,Floor Descriptions - Total Units,0,0
0030A352-A51D-E811-8117-005056B627E4.0.0,0030A352-A51D-E811-8117-005056B627E4,0,,,,0,1Ø over 20-1 or 10-2 pole breakers,0,0
012BF73A-F319-E911-811D-8CFAEDA547D3.002BF73A-F319-E911-811D-8CFAEDA547D3.0,012BF73A-F319-E911-811D-8CFAEDA547D3,0,,1.0,,0,Floor Descriptions - Total Units,0,0
0083AC4F-B9CC-E811-811B-005056B627E4.0.0,0083AC4F-B9CC-E811-811B-005056B627E4,0,,,,0,3Ø up to 225 amps,0,0
