address_1,senior_care_community_number_1,residence_hall_dormitory,state_province,worship_facility_gross_floor,supermarket_grocery_gross,census_tract,senior_care_community_number_2,energy_alerts,data_center_pdu_input_site,hotel_amount_of_laundry,estimated_data_flag_other,estimated_data_flag_natural,hospital_general_medical_5,senior_care_community_number_3,national_median_site_eui,refrigerated_warehouse_gross,site_energy_use_kbtu,weather_normalized_source,multifamily_housing_number_3,multifamily_housing_gross,supermarket_grocery_worker,supermarket_grocery_number_1,residence_hall_dormitory_4,hospital_general_medical,electricity_sourced_from,estimated_data_flag_diesel,bank_branch_worker_density,retail_store_gross_floor,multifamily_housing_maximum,k_12_school_cooking_facilities,multifamily_housing_number_4,medical_office_number_of,supermarket_grocery_percent,outdoor_water_use_all_water,hotel_gym_fitness_center,hotel_full_service_spa_floor,medical_office_percent_that,retail_store_number_of_walk,estimated_data_flag_fuel_1,supermarket_grocery_walk,supermarket_grocery_weekly,source_energy_use_kbtu,multifamily_housing_primary,bank_branch_weekly_operating,retail_store_exterior_entrance,data_center_national_median,k_12_school_refrigeration,percent_better_than_national,bank_branch_number_of_workers
1230 AV Y PLP,Not Available,Not Available,New York,Not Available,Not Available,588.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,10747224.8,117.4,145,151790,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,319,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16954227.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
191 Mauntauk Hwy.,Not Available,Not Available,New York,Not Available,42064,,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,248.7,Not Available,11682292.2,701.5,Not Available,Not Available,0.74,43,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,70,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.19,168,29212948.9,Not Available,Not Available,Not Available,Not Available,Not Available,11.7,Not Available
White Plains Rd / Turnbull Ave,Not Available,Not Available,New York,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,91.6,Not Available,575068.7,13.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1595123.3,Not Available,Not Available,Not Available,Not Available,Not Available,-94.5,Not Available
48 WEST 37TH STREET,Not Available,Not Available,New York,Not Available,Not Available,84.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,97.1,Not Available,10036055.5,154.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,25860307.3,Not Available,Not Available,Not Available,Not Available,Not Available,-36,Not Available
400 Union Blvd.,Not Available,Not Available,New York,Not Available,54188,,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,289.6,Not Available,13478592.2,545.8,Not Available,Not Available,0.74,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,70,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.18,168,29505095.6,Not Available,Not Available,Not Available,Not Available,Not Available,-14.1,Not Available
275 Pine Hollow Rd.,Not Available,Not Available,New York,Not Available,35169,,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,223.4,Not Available,9711575.2,750.1,Not Available,Not Available,0.74,41,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,70,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.17,168,25934144.5,Not Available,Not Available,Not Available,Not Available,Not Available,23.6,Not Available
1581 US Hwy. 202,Not Available,Not Available,New York,Not Available,51809,,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,243.5,Not Available,13772022,698.2,Not Available,Not Available,0.75,17,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,70,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.19,168,36179836.3,Not Available,Not Available,Not Available,Not Available,Not Available,9.2,Not Available
2865 Kingsbridge Terrace,Not Available,Not Available,New York,Not Available,Not Available,273.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,13887457.4,185.9,109,111300,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9,Not Available,192,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,21045737.3,Fuel Oil (No. 5 and No. 6),Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
143-06 BARCLAY AVE ENTM,Not Available,Not Available,New York,Not Available,Not Available,855.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,7362353.6,142.2,96,79438,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,182,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10834001.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
680 Fifth Avenue,Not Available,Not Available,New York,Not Available,Not Available,104.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,106,Not Available,16539604.4,192.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.97,41456,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,43951202.2,Not Available,53,1,Not Available,Not Available,-32.2,39
40 Wall Street,Not Available,Not Available,New York,Not Available,Not Available,7.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,117.3,Not Available,67829866,148.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,173189325.4,Not Available,Not Available,Not Available,Not Available,Not Available,-50,Not Available
40 WEST 20th STREET,Not Available,Not Available,New York,Not Available,Not Available,54.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,102.4,Not Available,8701199.8,173.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,22597578,Not Available,Not Available,Not Available,Not Available,Not Available,-34.7,Not Available
350 Hudson Street,Not Available,Not Available,New York,Not Available,Not Available,37.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,95.5,Not Available,21254488.2,183.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10424,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5,No,Not Available,Not Available,62824751.4,Not Available,Not Available,1,1.82,Not Available,-32.6,Not Available
330 Spring Street,Not Available,Not Available,New York,Not Available,Not Available,37.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,8690156.9,225.2,40,76172,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,13,Not Available,84,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17238691.2,Natural Gas,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1160 Third Avenue,Not Available,Not Available,New York,Not Available,Not Available,120.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,4491082.3,48.4,164,139626,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,12400,18,Not Available,215,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,7508805,Fuel Oil (No. 2),Not Available,1,Not Available,Not Available,Not Available,Not Available
117 Clinton Street,Not Available,Not Available,New York,Not Available,Not Available,9.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,99.8,Not Available,3825866.6,153.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9005417.6,Not Available,Not Available,Not Available,Not Available,0.05,-35.5,Not Available
1120 Avenue of the Americas,Not Available,Not Available,New York,Not Available,Not Available,96.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,125.6,Not Available,51354628.5,193.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.51,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,122082179.7,Not Available,65,Not Available,Not Available,Not Available,-34.3,39
58 West 58th Street,Not Available,Not Available,New York,Not Available,Not Available,11201.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,25715975.2,207.1,167,204841,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,32,Not Available,334,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,42299375,District Steam,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
410 WEST 53RD STREET,Not Available,Not Available,New York,Not Available,Not Available,133.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,15145653.1,162.2,219,166518,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27984367.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
30 E 40th,Not Available,Not Available,New York,Not Available,Not Available,,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,96.8,Not Available,5544633.7,226.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,240,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,15500464,Not Available,Not Available,Not Available,Not Available,Not Available,-15.1,Not Available
1160 5th Avenue,Not Available,Not Available,New York,Not Available,Not Available,16002.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,7740426.3,130.9,72,90849,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6,Not Available,174,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,13191352.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1155  Avenue  of  the  Americas,Not Available,Not Available,New York,Not Available,Not Available,119.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,119.5,Not Available,50754152.4,221.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10077,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,153028355.5,Not Available,Not Available,1,1.82,Not Available,-38.1,Not Available
1535 East 14th Street,Not Available,Not Available,New York,Not Available,Not Available,542.0,Not Available,Less than 1 year of data<br>Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,78000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
590 Madison Avenue,Not Available,Not Available,New York,Not Available,Not Available,11202.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,101.2,Not Available,105049152.7,290.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,47434,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,283894088.3,Not Available,Not Available,1,Not Available,Not Available,5.3,Not Available
140 Broadway,Not Available,Not Available,New York,Not Available,Not Available,7.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,164.8,Not Available,160761177.8,300.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,348233269.5,Not Available,Not Available,Not Available,1.82,Not Available,-16.6,Not Available
450 West 33rd Street,Not Available,Not Available,New York,Not Available,Not Available,103.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,114.2,Not Available,169663321.2,295.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,14268,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5,Not Available,Not Available,Not Available,516744774.9,Not Available,Not Available,1,1.82,Not Available,-14.7,Not Available
22-24 78th Street,Not Available,Not Available,New York,Not Available,Not Available,317.0,Not Available,Data > 120 days old<br>Temporary values used for meter entries<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,6605599.1,109.8,70,97344,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3,Not Available,108,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9977481,Natural Gas,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
885 Second Avenue,Not Available,Not Available,New York,Not Available,Not Available,90.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,142.3,Not Available,81332362.1,275.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,201681193.8,Not Available,Not Available,Not Available,1.82,Not Available,-22.1,Not Available
767 Fifth Avenue,Not Available,Not Available,New York,Not Available,Not Available,11202.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,133.9,Not Available,277032253.1,372.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.33,118472,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,686042425.8,Not Available,70,1,Not Available,Not Available,11.1,25
522 Fifth Avenue,Not Available,Not Available,New York,Not Available,Not Available,96.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,106.3,Not Available,37463271.3,200.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.66,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,110773538,Not Available,60,Not Available,1.82,Not Available,-35.6,1425
2011 Ocean Avenue,Not Available,Not Available,New York,Not Available,Not Available,546.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,3778081.6,111.6,77,50000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6,Not Available,91,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5577906.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
519 GATEWAY DR,Not Available,Not Available,New York,Not Available,Not Available,1070.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,139.6,Not Available,13808345.5,226.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,148939,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7,Not Available,Not Available,Not Available,33647627.9,Not Available,Not Available,1,Not Available,Not Available,-33.6,Not Available
1 Whitehall Street,Not Available,Not Available,New York,Not Available,Not Available,9.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,125.8,Not Available,33910054.9,244.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,78492055.5,Not Available,Not Available,Not Available,Not Available,Not Available,-18.3,Not Available
541-563 West 29th street,Not Available,Not Available,New York,Not Available,Not Available,99.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,10,Not Available,6691608.8,73.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15518886.4,Not Available,Not Available,Not Available,Not Available,Not Available,210.1,Not Available
199 Water Street,Not Available,Not Available,New York,Not Available,Not Available,1502.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,98,Not Available,69705950.3,218.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,31468,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2,Not Available,Not Available,Not Available,202566040.4,Not Available,Not Available,1,1.82,Not Available,-28,Not Available
115 East 57th Street,Not Available,Not Available,New York,Not Available,Not Available,11203.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,32092389.3,148.6,248,368540,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15161,54,Not Available,744,169,Not Available,Not Available,Not Available,Not Available,100,1,Not Available,Not Available,Not Available,77137665,Not Available,Not Available,1,Not Available,Not Available,Not Available,Not Available
4700 Northern Blvd,Not Available,Not Available,New York,Not Available,Not Available,171.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,10,24467,9448821.8,177.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,22433878.8,Not Available,Not Available,Not Available,Not Available,Not Available,649.2,Not Available
101 Barclay St,Not Available,Not Available,New York,Not Available,Not Available,21.0,Not Available,Less than 1 year of data<br>Overlapping meter entries<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,67,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,65,Not Available,Not Available,Not Available,Not Available,2827
645 5th Avenue,Not Available,Not Available,New York,Not Available,Not Available,102.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,105.4,Not Available,46964070.1,322.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,36347,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,132223822.1,Not Available,Not Available,1,Not Available,Not Available,9.3,Not Available
920 Riverside Drive,Not Available,Not Available,New York,Not Available,Not Available,247.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,5528097,97,71,83952,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6,Not Available,166,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,8254920.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
122 East 42nd Street,Not Available,Not Available,New York,Not Available,Not Available,80.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,117.8,Not Available,69828512,194.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,155688226.1,Not Available,Not Available,Not Available,Not Available,Not Available,-27.3,Not Available
1265-1269 Olmstead Ave,Not Available,Not Available,New York,Not Available,Not Available,92.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,1488050.7,62,88,63635,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6,Not Available,131,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4074972.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
311 West 50th Street,Not Available,Not Available,New York,Not Available,Not Available,133.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,5492578.4,146.2,102,77050,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7,Not Available,104,4,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,11869604.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
44 WEST 18TH STREET,Not Available,Not Available,New York,Not Available,Not Available,54.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,88.6,Not Available,10879215.1,130.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,25338,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,26774735,Not Available,Not Available,1,Not Available,Not Available,-38.3,Not Available
47-05 CENTER BOULEVARD,Not Available,Not Available,New York,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,46373694.2,191.9,Not Available,466000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,38682,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8,Not Available,Not Available,Not Available,95868735,Not Available,Not Available,1,Not Available,Not Available,Not Available,Not Available
63 West 17th Street,Not Available,Not Available,New York,Not Available,Not Available,54.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,5018937.5,151.9,17,65959,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11,Not Available,33,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11725981.2,Natural Gas,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
515 Madison Ave,Not Available,Not Available,New York,Not Available,Not Available,102.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,98.9,Not Available,23393767.6,182.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9340,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,64656111.9,Not Available,Not Available,1,Not Available,Not Available,-32.7,Not Available
302 2nd Avenue,Not Available,Not Available,New York,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,153,Not Available,226.1,Not Available,80312832.1,656.8,Not Available,Not Available,Not Available,Not Available,Not Available,286444,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,188790293.6,Not Available,Not Available,Not Available,Not Available,Not Available,24,Not Available
270-10 Grand Central Parkway,Not Available,Not Available,New York,Not Available,5700,155101.0,Not Available,The rating is not available for stores that do not have exterior entrances.<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,1.10691E+11,46446.2,1844,2400000,1.4,2,Not Available,Not Available,Not Available,Not Available,2.68,13580,33,Not Available,2297,8,90,12196.9,Not Available,Not Available,100,0,Not Available,0.88,70,1.16081E+11,District Steam,45,0,Not Available,Not Available,Not Available,9
865 Walton Avenue,Not Available,Not Available,New York,Not Available,Not Available,63.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3877571.2,113,46,48312,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1455,6,Not Available,70,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,6067588.1,Not Available,Not Available,1,Not Available,Not Available,Not Available,Not Available
80 Pine Street,Not Available,Not Available,New York,Not Available,Not Available,7.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,130.4,Not Available,129756977.2,264.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,286180003.2,Not Available,Not Available,Not Available,Not Available,Not Available,-8.2,Not Available
61 Broadway,Not Available,Not Available,New York,Not Available,Not Available,13.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,106.1,Not Available,37329548.5,166.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.55,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,109545393.9,Not Available,60,Not Available,Not Available,Not Available,-45.9,22
435 West 238th Street,Not Available,111285,New York,Not Available,Not Available,335.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,92.9,Not Available,9066443.4,122.6,Not Available,Not Available,Not Available,Not Available,95,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,13923169.9,Not Available,Not Available,Not Available,Not Available,Not Available,-12.3,Not Available
177 E. 75th Street,Not Available,Not Available,New York,Not Available,Not Available,128.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,21899421.3,184.8,99,145000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,22,Not Available,220,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,29830710.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1981-1995 Sedgwick Avenue,Not Available,Not Available,New York,Not Available,Not Available,247.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,17024686.7,153.3,222,185000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6,Not Available,282,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,26575397.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
