property_name,city,swimming_pool_location_of,retail_store_number_of_open,retail_store_worker_density,senior_care_community_gross,target_site_eui_kbtu_ft,hotel_number_of_rooms,k_12_school_weekend_operation,hospital_general_medical_3,energy_star_certification_4,electricity_use_grid_purchase_1,swimming_pool_months_in_use,multifamily_housing_number_1,energy_current_date,natural_gas_use_kbtu,supermarket_grocery_cooking,data_center_it_site_energy,fuel_oil_4_use_kbtu,district_hot_water_use_kbtu,space_alerts,office_gross_floor_area_ft,avoided_emissions_offsite,estimated_data_flag_district_2,refrigerated_warehouse_weekly,swimming_pool_approximate,energy_star_certification_2,fuel_oil_2_use_kbtu,custom_property_id_1_id,multifamily_housing_percent,hospital_general_medical_4,bank_branch_percent_that,office_computer_density_number,hotel_room_density_number,hotel_worker_density_number,office_percent_that_can_be,longitude,multifamily_housing_number_2,property_floor_area_buildings,county,year_built,natural_gas_use_therms,senior_care_community_maximum,data_center_gross_floor_area,non_refrigerated_warehouse,district_steam_use_kbtu,supermarket_grocery_number,nta,estimated_data_flag,worship_facility_computer,residence_hall_dormitory_3,multifamily_housing_number,release_date,multifamily_housing_government,worship_facility_cooking,bbl,borough,energy_star_certification,non_refrigerated_warehouse_5,non_refrigerated_warehouse_4,total_ghg_emissions_mtco2e
2 WFC,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,57210800,Not Available,Not Available,31-DEC-12,1647200,Not Available,0,Not Available,Not Available,Not Available,2100000,Not Available,No,Not Available,Not Available,No Status Available,Not Available,1000058,Not Available,Not Available,Not Available,2.26,Not Available,Not Available,100,-74.015673,Not Available,2158767,NEW YORK,1986,16472,Not Available,58767,Not Available,36461986.84,Not Available,Battery Park City-Lower Manhattan,No,Not Available,Not Available,Not Available,2013-05-29T10:50:50.000,Not Available,Not Available,1000160125.0,MANHATTAN,Not Available,Not Available,Not Available,22245.08
MFA 527 Madison LLC,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,06-JAN-12,4343369.3,Not Available,Not Available,31-JAN-13,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,246476,Not Available,Not Available,Not Available,Not Available,Application - Label Sent (20-JAN-12),Not Available,1035734,Not Available,Not Available,Not Available,3.26,Not Available,Not Available,100,-73.973415,Not Available,246476,NEW YORK,1986,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Midtown-Midtown South,No,Not Available,Not Available,Not Available,2013-05-29T06:52:33.000,Not Available,Not Available,1012890052.0,MANHATTAN,Not Available,Not Available,Not Available,1391.37
220 Central Park South,New York,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,31-MAR-13,Not Available,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1024914,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.979787,130,165078,NEW YORK,1954,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Midtown-Midtown South,No,Not Available,Not Available,130,2013-05-28T05:53:25.000,0,Not Available,1010307501.0,MANHATTAN,Not Available,Not Available,Not Available,Not Available
Western Union Building,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,91055656.5,Not Available,Not Available,31-DEC-12,7095.36,Not Available,0,Not Available,Not Available,Computer Data Centers must be <= 10% of Total Floor Space<br>Weekly operating hours is much lower than normal for Vacant Space.<br>,304212,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,Building Identification Number (BIN): 1001572,Not Available,Not Available,Not Available,0,Not Available,Not Available,25,-74.008939,Not Available,1074536,NEW YORK,1930,71,Not Available,770324,Not Available,Not Available,Not Available,SoHo-TriBeCa-Civic Center-Little Italy,No,Not Available,Not Available,Not Available,2013-04-29T03:58:32.000,Not Available,Not Available,1001440040.0,MANHATTAN,Not Available,Not Available,Not Available,30104.78
160 Fifth Avenue,New York,Not Available,0,1.58,Not Available,0,Not Available,Not Available,Not Available,Not Available,2048586.6,Not Available,Not Available,31-DEC-12,Not Available,Not Available,Not Available,2213783.31,Not Available,Using default values for Space Use attributes.<br>,123950,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1015500,Not Available,Not Available,Not Available,1.44,Not Available,Not Available,100,-73.990589,Not Available,139763,NEW YORK,1900,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Hudson Yards-Chelsea-Flatiron-Union Square,No,Not Available,Not Available,Not Available,2013-05-29T08:45:54.000,Not Available,Not Available,1008227507.0,MANHATTAN,Not Available,Not Available,Not Available,819.12
Sycamore Row,Bronx,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,432443,Not Available,0,31-DEC-12,5867900,Not Available,Not Available,873750.15,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,2008513,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.913511,0,107477,BRONX,1940,58679,Not Available,Not Available,Not Available,Not Available,Not Available,University Heights-Morris Heights,No,Not Available,Not Available,0,2013-05-31T16:08:44.000,0,Not Available,2028670108.0,BRONX,Not Available,Not Available,Not Available,514.98
33789-New York Marriott Marquis Hotel,New York City,Not Available,Not Available,Not Available,Not Available,0,1949,Not Available,Not Available,Not Available,35382039,Not Available,Not Available,31-MAR-13,9573200,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1024727,Not Available,Not Available,Not Available,Not Available,0.82,0.59,Not Available,-73.985468,Not Available,2390114,NEW YORK,1985,95732,Not Available,Not Available,Not Available,109931293.4,Not Available,Midtown-Midtown South,No,Not Available,Not Available,Not Available,2013-05-28T10:38:02.000,Not Available,Not Available,1010177501.0,MANHATTAN,Not Available,Not Available,Not Available,20522.8
712 Fifth Avenue,New York,Not Available,0,2.36,Not Available,65.3,Not Available,Not Available,Not Available,31-JUL-12,8343748.1,Not Available,Not Available,31-MAR-13,Not Available,Not Available,Not Available,Not Available,Not Available,Weekly operating hours is much lower than normal for Vacant Space.<br>,488940,Not Available,Not Available,Not Available,Not Available,Application - Label Sent (03-AUG-12),Not Available,1-01271-0038,Not Available,Not Available,Not Available,2.58,Not Available,Not Available,100,-73.975193,Not Available,574857,NEW YORK,1990,Not Available,Not Available,Not Available,Not Available,7220964.2,Not Available,Midtown-Midtown South,No,Not Available,Not Available,Not Available,2013-05-13T08:18:12.000,Not Available,Not Available,1012710038.0,MANHATTAN,Not Available,Not Available,Not Available,3242.97
Queens Boulevard,Queens,Not Available,0,1,Not Available,0,Not Available,Not Available,Not Available,Not Available,1264998,Not Available,Not Available,31-JAN-13,Not Available,Not Available,Not Available,Not Available,Not Available,Using default values for Space Use attributes.<br>,Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,4050967,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.854251,Not Available,56916,QUEENS,1952,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Forest Hills,No,Not Available,Not Available,Not Available,2013-05-28T05:53:25.000,Not Available,Not Available,4021180001.0,QUEENS,Not Available,Not Available,Not Available,405.23
114 E 90 Street,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,296680.8,Not Available,Not Available,31-DEC-12,92920.83,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1048134,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.954596,Not Available,54997,NEW YORK,1924,929.2,Not Available,Not Available,Not Available,Not Available,Not Available,Upper East Side-Carnegie Hill,No,Not Available,Not Available,38,2013-04-26T13:12:05.000,0,Not Available,1015180061.0,MANHATTAN,Not Available,Not Available,Not Available,343.79
793-797 Garden HDFC,Bronx,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,547062,Not Available,0,31-DEC-12,1704000,Not Available,Not Available,3911765.55,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,2012784,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.883167,0,87642,BRONX,1940,17040,Not Available,Not Available,Not Available,Not Available,Not Available,Belmont,No,Not Available,Not Available,0,2013-05-31T16:08:44.000,0,Not Available,2031000001.0,BRONX,Not Available,Not Available,Not Available,553.68
"Webb Avenue Company, LLC",Bronx,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,385876.7,Not Available,4,31-DEC-12,3910883.87,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,2014757,90,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.907437,0,79000,BRONX,1963,39108.8,Not Available,Not Available,Not Available,Not Available,Not Available,Kingsbridge Heights,No,Not Available,Not Available,12,2013-06-17T07:12:30.000,0,Not Available,2032190055.0,BRONX,Not Available,Not Available,Not Available,331.67
ARC,Bklyn,Not Available,Not Available,Not Available,Not Available,0,Not Available,1,Not Available,Not Available,2016000,Not Available,Not Available,31-DEC-12,10726200,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,3055116,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.961745,Not Available,109000,KINGS,1975,107262,Not Available,Not Available,Not Available,Not Available,Not Available,Clinton Hill,No,Not Available,Not Available,Not Available,2013-05-13T06:28:15.000,Not Available,Not Available,3019220001.0,BROOKLYN,Not Available,Not Available,Not Available,1216.45
1301 Avenue of the Americas,New York,Not Available,6,2.15,Not Available,117.8,Not Available,Not Available,Not Available,18-NOV-09,28280239.1,Not Available,Not Available,28-FEB-13,72848553.47,Not Available,Not Available,Not Available,Not Available,Not Available,2015832,Not Available,Not Available,Not Available,Not Available,Application - Expired (16-DEC-10),Not Available,1-01005-0029,Not Available,Not Available,Not Available,3.39,Not Available,Not Available,100,-73.979457,Not Available,2043271,NEW YORK,1963,728485.5,Not Available,Not Available,Not Available,80857118.12,Not Available,Midtown-Midtown South,No,Not Available,Not Available,Not Available,2013-05-13T08:18:12.000,Not Available,Not Available,1010050029.0,MANHATTAN,Not Available,Not Available,Not Available,19318.63
3310 NOSTRAND AVE PLPM,Brooklyn,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,598518.7,Not Available,Not Available,31-DEC-12,6368555,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,3340607,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.942495,Not Available,93118,KINGS,1961,63685.6,Not Available,Not Available,Not Available,Not Available,Not Available,Madison,No,Not Available,Not Available,Not Available,2013-05-29T08:05:34.000,0,Not Available,3073080032.0,BROOKLYN,Not Available,Not Available,Not Available,530.54
C&W Moinian 545 5th Avenue,New York,Not Available,6,3.46,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,28-FEB-13,Not Available,Not Available,Not Available,Not Available,Not Available,Using temporary values for Space Use attributes.<br>,153400,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.26,Not Available,Not Available,100,-73.979188,Not Available,161200,NEW YORK,1898,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Midtown-Midtown South,No,Not Available,Not Available,Not Available,2013-05-31T10:34:46.000,Not Available,Not Available,1012790069.0,MANHATTAN,Not Available,Not Available,Not Available,Not Available
1251 Avenue of The Americas,New York,Not Available,33,3.71,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,30-JUN-12,Not Available,Not Available,0,Not Available,Not Available,Not Available,2134868,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1022706,Not Available,Not Available,100,2.99,Not Available,Not Available,100,-73.980627,Not Available,2344074,NEW YORK,1972,Not Available,Not Available,28470,Not Available,Not Available,Not Available,Midtown-Midtown South,No,Not Available,Not Available,Not Available,2013-05-20T12:14:34.000,Not Available,Not Available,1010027501.0,MANHATTAN,Not Available,Not Available,Not Available,Not Available
