dbn,ethnicity_amerindian_pct_1,teacher_ethnicity_white_pct,n_pct_core_sci_all,val_attendance_k8_all,near_pct_asian,val_chronic_absent_ems_allem,val_pct_accel_p_all,ethnicity_pacific_pct,val_hs_9gr_credits_all,val_pct_accel_try_sci_all,qr_3_1,near_pct_amerindian,ethnicity_asian_pct_dist,val_prof_pct_watn3_mthlevel2,iep,n_pct_core_mth_all,qr_1_2,val_prof_2plus_watn3_elalevel1,n_ele_core_all,val_pct_accelerated_all,val_pct_accel_sci_all,ethnicity_white_pct_dist,val_pct_accel_try_lote_all,cap_sc_pct,val_chronic_absent_ems_alleh,teacher_ethnicity_hispanic,near_pct_pacific,median_distance,principal,val_pct_accel_p_sci_all,rr_p,val_prof_2plus_watn3_mthlevel1,val_ele_core_all,enrollment,ethnicity_hispanic_pct,val_chronic_absent_ems_alleb,eni_pct_k8,gender_female_pct,near_pct_hispanic,dates_of_review,n_prof_pct_watn3_mthlevel34,n_pct_accel_try_sci_all,ethnicity_asian_pct,n_prof_pct_watn5_elalevel2,survey_pp_se,n_pct_accel_mth_all,n_interaction_k8_all,teacher_attendance,rr_s,rating_mth_grade_5_pct_rs,hra_elig_pct
11X355,0.014,0.214,291,0.911,0.006,No Data,No Data,0.0,0.901,0,Proficient,0.01,0.066,No Data,0.262,291,Proficient,No Data,No Data,0,0,0.041,0,0.115,0.524,No Data,0.002,0.6,STEVEN COBB,No Data,2%,No Data,No Data,313,0.31,0.717,0.833,0.514,0.327,2018-11-01T00:00:00.000,No Data,92,0.019,27,No Data,92,311,0.943,1%,2.18,0.764
26Q041,0.006,0.788,No Data,0.958,0.571,No Data,No Data,0.004,No Data,No Data,No Data,0.013,0.616,No Data,0.191,No Data,Well Developed,No Data,65,No Data,No Data,0.166,No Data,0.064,0.795,No Data,0.003,0.4,Sari Latto,No Data,52%,No Data,1,471,0.183,No Data,0.353,0.495,0.186,2015-01-28T00:00:00.000,56,No Data,0.552,No Data,0.98,No Data,470,0.982,,No Data,0.272
15K010,0.004,0.622,No Data,0.947,0.094,0.911,No Data,0.0,No Data,No Data,Well Developed,0.003,0.193,0.346,0.212,No Data,Proficient,No Data,121,No Data,No Data,0.364,No Data,0.025,0.835,0.173,0.003,0.3,LAURA SCOTT,No Data,40%,No Data,0.992,956,0.257,0.795,0.305,0.491,0.264,2018-11-01T00:00:00.000,91,No Data,0.097,No Data,0.88,No Data,954,0.976,,No Data,0.217
17K770,0.013,0.615,No Data,0.937,0.012,0.839,No Data,0.004,No Data,No Data,Well Developed,0.011,0.027,No Data,0.181,No Data,Proficient,No Data,32,No Data,No Data,0.049,No Data,0.049,0.519,No Data,0.005,1.2,Jessica Saratovsky,No Data,73%,No Data,0.941,243,0.099,0.789,0.526,0.494,0.153,2017-01-01T00:00:00.000,14,No Data,0.025,No Data,0.94,No Data,246,0.978,,No Data,0.399
12X057,0.013,0.511,No Data,0.906,0.006,No Data,No Data,0.002,No Data,No Data,Proficient,0.016,0.037,0.375,0.26,No Data,Developing,0.032,91,No Data,No Data,0.015,No Data,0.112,0.618,0.2,0.002,0.1,Mary Blandino Sanche,No Data,36%,0.186,0.986,511,0.642,0.544,0.943,0.489,0.629,2018-03-01T00:00:00.000,22,No Data,0.008,No Data,No Data,No Data,512,0.969,,No Data,0.885
26Q158,0.006,0.8,1034,0.971,0.665,0.926,0.989,0.001,0.978,0.972,Proficient,0.006,0.645,No Data,0.131,1034,Proficient,No Data,No Data,0.972,0.972,0.143,0.886,0.027,0.78,No Data,0.003,0.7,HENRY SCHANDEL,1,34%,No Data,No Data,1065,0.151,0.919,0.43,0.483,0.143,2019-04-01T00:00:00.000,No Data,360,0.641,45,0.58,360,1067,0.978,95%,3.68,0.36
18K581,0.01,No Data,218,0.915,0.008,No Data,1,0.004,0.893,0.209,Proficient,0.022,0.011,No Data,0.235,218,Proficient,No Data,No Data,0.209,0.209,0.031,0,0.085,0.471,No Data,0.004,0.6,Daveida Daniel,1,0%,No Data,No Data,234,0.068,0.722,0.824,0.517,0.071,2017-05-01T00:00:00.000,No Data,67,0.004,18,0.64,67,235,0.99,32%,2.05,0.731
11X087,0.012,0.471,No Data,0.918,0.023,No Data,No Data,0.008,No Data,No Data,Proficient,0.016,0.082,0.114,0.222,No Data,Developing,0.133,93,No Data,No Data,0.061,No Data,0.082,0.531,No Data,0.005,0.3,DONNA ANAMAN,No Data,13%,0.343,0.971,513,0.234,0.768,0.732,0.489,0.211,2016-12-01T00:00:00.000,23,No Data,0.035,No Data,0.69,No Data,516,0.975,,No Data,0.676
19K677,0.017,0.256,No Data,0.9,0.038,No Data,No Data,0.011,No Data,No Data,Proficient,0.015,0.095,0.083,0.217,No Data,Developing,0.1,89,No Data,No Data,0.02,No Data,0.082,0.603,0.116,0.009,0.3,Janet Huger,No Data,56%,0.125,0.979,452,0.414,0.581,0.938,0.493,0.334,2018-05-01T00:00:00.000,18,No Data,0.051,No Data,No Data,No Data,440,0.979,,No Data,0.892
08X562,0.011,0.339,601,0.924,0.324,No Data,1,0.006,0.887,0.249,Proficient,0.029,0.06,No Data,0.219,601,Proficient,No Data,No Data,0.249,0.249,0.038,0,0.057,0.655,0.161,0.007,0.3,TYNEKA HARRINGTON,1,3%,No Data,No Data,636,0.549,0.648,0.9,0.535,0.485,2017-01-01T00:00:00.000,No Data,233,0.253,47,No Data,233,634,0.972,0%,2.52,0.832
28Q072,0.036,No Data,257,0.915,0.026,No Data,No Data,0.011,0.886,0,Proficient,0.023,0.262,No Data,0.287,257,Proficient,No Data,No Data,0,0,0.151,0,0.118,0.548,No Data,0.009,0.8,OMOTAYO CINEUS,No Data,30%,No Data,No Data,272,0.147,0.763,0.766,0.474,0.102,2017-03-01T00:00:00.000,No Data,96,0.059,34,0.57,96,281,0.973,33%,2.25,0.699
15K172,0.004,0.9,No Data,0.948,0.04,No Data,No Data,0.0,No Data,No Data,No Data,0.006,0.193,No Data,0.341,No Data,Well Developed,No Data,73,No Data,No Data,0.364,No Data,0.0,0.859,No Data,0.0,0.2,Giacomo Spatola,No Data,51%,No Data,0.985,540,0.719,0.955,0.692,0.515,0.718,2015-05-01T00:00:00.000,67,No Data,0.081,No Data,0.93,No Data,533,0.976,,No Data,0.583
10X279,0.007,0.453,370,0.935,0.014,No Data,1,0.0,0.959,0.242,Proficient,0.003,0.037,No Data,0.222,370,Proficient,No Data,No Data,0.242,0.242,0.046,0,0.085,0.783,0.293,0.004,0.1,Jean Dalton Encke,1,30%,No Data,No Data,952,0.788,0.781,0.951,0.477,0.758,2018-04-01T00:00:00.000,No Data,120,0.033,27,0.78,120,943,0.978,66%,No Data,0.866
10X207,0.007,0.5,No Data,0.916,0.029,No Data,No Data,0.009,No Data,No Data,Proficient,0.001,0.037,No Data,0.233,No Data,Proficient,No Data,No Data,No Data,No Data,0.053,No Data,0.032,0.699,0.344,0.001,0.2,TARA OBRIEN,No Data,55%,No Data,No Data,339,0.811,0.704,0.889,0.451,0.843,2018-05-01T00:00:00.000,No Data,No Data,0.032,No Data,0.78,No Data,338,0.982,,No Data,0.832
11X175,0.012,0.826,97,0.944,0.073,No Data,0.778,0.0,No Data,0.269,Proficient,0.0,0.094,No Data,0.197,97,Proficient,No Data,No Data,0.269,0.269,0.088,0,0.007,0.801,No Data,0.0,0.3,AMY LIPSON ELLIS,1,11%,No Data,No Data,300,0.453,0.767,0.502,0.507,0.396,2017-12-01T00:00:00.000,No Data,26,0.05,11,0.86,26,303,0.987,0%,No Data,0.423
29Q109,0.041,0.397,1136,0.94,0.349,No Data,0.249,0.013,0.937,0.24,Well Developed,0.073,0.154,No Data,0.158,1136,Well Developed,No Data,No Data,0.24,0.24,0.015,0,0.055,0.724,0.064,0.024,0.7,Karleen Adam Comrie,1,1%,No Data,No Data,1175,0.188,0.822,0.6,0.472,0.194,2017-03-01T00:00:00.000,No Data,366,0.289,92,0.82,366,1168,0.972,0%,2.77,0.529
11X076,0.012,0.652,No Data,0.917,0.055,No Data,No Data,0.004,No Data,No Data,Proficient,0.004,0.082,0.238,0.204,No Data,Proficient,0.132,137,No Data,No Data,0.061,No Data,0.068,0.61,0.145,0.001,0.2,LOUISE SEDOTTO,No Data,3%,0.25,0.99,839,0.455,0.773,0.833,0.491,0.457,2016-11-01T00:00:00.000,31,No Data,0.056,No Data,0.82,No Data,840,0.974,,No Data,0.765
11X462,0.014,No Data,243,0.924,0.009,No Data,No Data,0.004,0.884,0,Proficient,0.01,0.066,No Data,0.194,243,Well Developed,No Data,No Data,0,0,0.041,0,0.012,0.765,0.3,0.004,0.8,JAMAAL BOWMAN,No Data,45%,No Data,No Data,252,0.321,0.768,0.788,0.492,0.308,2018-01-01T00:00:00.000,No Data,84,0.0,21,0.69,84,250,0.982,95%,2.67,0.714
19K404,0.014,0.347,202,0.916,0.009,No Data,0,0.005,0.854,0,Proficient,0.009,0.058,No Data,0.31,202,Proficient,No Data,No Data,0,0,0.02,0.934,0.015,0.738,0.122,0.007,0.8,AADEN STERN,No Data,14%,No Data,No Data,203,0.291,0.691,0.872,0.611,0.237,2018-03-01T00:00:00.000,No Data,61,0.015,16,0.71,61,202,0.972,10%,2.36,0.751
24Q093,0.005,0.709,1130,0.942,0.059,No Data,0.32,0.002,0.941,0.309,Proficient,0.007,0.192,No Data,0.214,1130,Proficient,No Data,No Data,0.309,0.309,0.076,0.227,0.056,0.819,0.151,0.001,0.5,EDWARD SANTOS,1,,No Data,No Data,1155,0.706,0.846,0.729,0.469,0.649,2016-11-01T00:00:00.000,No Data,375,0.074,96,0.85,375,1067,0.98,,2.74,0.634
13K305,0.007,No Data,No Data,0.889,0.033,No Data,No Data,0.0,No Data,No Data,Developing,0.02,0.044,No Data,0.255,No Data,Developing,No Data,24,No Data,No Data,0.238,No Data,0.143,0.455,No Data,0.0,0.2,JULIA MORTLEY,No Data,62%,No Data,0.811,98,0.194,0.687,0.91,0.459,0.22,2017-01-01T00:00:00.000,11,No Data,0.051,No Data,0.88,No Data,106,0.984,,No Data,0.867
23K156,0.01,0.154,No Data,0.903,0.007,No Data,No Data,0.002,No Data,No Data,Proficient,0.012,0.009,0.143,0.228,No Data,Developing,0.069,95,No Data,No Data,0.014,No Data,0.086,0.514,0.135,0.002,0.3,Naiyma Moore,No Data,30%,0.15,0.909,534,0.184,0.632,0.892,0.494,0.199,2017-10-01T00:00:00.000,27,No Data,0.011,No Data,0.69,No Data,549,0.968,,No Data,0.82
10X228,0.006,0.421,264,0.979,0.015,No Data,1,0.026,0.986,0.966,Proficient,0.006,0.036,No Data,0.199,264,Well Developed,No Data,No Data,0.966,0.966,0.041,0,0.007,0.97,0.316,0.004,0.6,Brenda Gonzalez,1,79%,No Data,No Data,267,0.738,0.949,0.852,0.468,0.77,2019-04-01T00:00:00.000,No Data,87,0.045,21,0.78,87,265,0.985,91%,3.06,0.753
08X467,0.011,0.769,319,0.899,0.04,No Data,0,0.0,0.845,0,Developing,0.008,0.06,No Data,0.287,319,Developing,No Data,No Data,0,0,0.038,0,0.061,0.57,No Data,0.004,0.8,BENJAMIN BASILE,No Data,5%,No Data,No Data,342,0.728,0.644,0.835,0.485,0.685,2017-10-01T00:00:00.000,No Data,116,0.026,29,0.56,116,339,0.968,0%,2.58,0.766
14K050,0.004,0.467,316,0.926,0.072,No Data,0.838,0.003,0.907,0.823,Proficient,0.004,0.037,No Data,0.31,316,Proficient,No Data,No Data,0.823,0.823,0.126,0,0.077,0.728,0.267,0.001,1.2,Benjamin Honoroff,1,19%,No Data,No Data,326,0.727,0.747,0.877,0.448,0.582,2017-04-01T00:00:00.000,No Data,113,0.012,30,0.84,113,328,0.981,23%,2.45,0.807
09X232,0.004,No Data,436,0.909,0.007,No Data,1,0.0,0.845,0.19,Developing,0.007,0.008,No Data,0.236,436,Developing,No Data,No Data,0.196,0.19,0.012,0,0.105,0.712,0.667,0.002,0.4,Desiree Resto,1,11%,No Data,No Data,457,0.768,0.602,0.948,0.442,0.689,2016-11-01T00:00:00.000,No Data,168,0.0,28,0.62,168,459,0.976,79%,2.27,0.886
21K468,0.003,0.773,297,0.934,0.33,No Data,0,0.0,0.975,0,Well Developed,0.005,0.288,No Data,0.189,297,Well Developed,No Data,No Data,0,0,0.409,0.942,0.043,0.76,No Data,0.007,1.3,Tracee Murren,No Data,0%,No Data,No Data,301,0.402,0.792,0.771,0.482,0.249,2019-11-01T00:00:00.000,No Data,86,0.086,25,0.94,86,299,0.972,0%,2.68,0.591
10X051,0.007,0.471,No Data,0.932,0.007,No Data,No Data,0.0,No Data,No Data,Proficient,0.011,0.037,No Data,0.229,No Data,Proficient,No Data,17,No Data,No Data,0.053,No Data,0.0,0.733,0.353,0.001,0.3,Min Hong,No Data,71%,No Data,0.972,170,0.694,0.795,0.845,0.476,0.7,2017-11-01T00:00:00.000,7,No Data,0.018,No Data,0.82,No Data,167,0.975,,No Data,0.735
23K137,0.01,0.238,No Data,0.895,0.027,No Data,No Data,0.0,No Data,No Data,Proficient,0.007,0.009,No Data,0.358,No Data,Developing,No Data,33,No Data,No Data,0.014,No Data,0.115,0.483,No Data,0.015,0.3,Suzette Rose,No Data,63%,No Data,0.961,165,0.164,0.592,0.891,0.412,0.203,2018-03-01T00:00:00.000,14,No Data,0.0,No Data,No Data,No Data,163,0.978,,No Data,0.818
01M364,0.007,0.633,No Data,0.923,0.118,0.731,No Data,0.0,No Data,No Data,Well Developed,0.008,0.094,No Data,0.342,No Data,Well Developed,No Data,40,No Data,No Data,0.179,No Data,0.016,0.639,No Data,0.005,0.4,ABBE FUTTERMAN,No Data,27%,No Data,0.971,313,0.409,0.514,0.588,0.425,0.558,2018-10-01T00:00:00.000,4,No Data,0.051,No Data,0.94,No Data,313,0.981,,No Data,0.435
22K193,0.01,0.717,No Data,0.939,0.164,0.778,No Data,0.0,No Data,No Data,Proficient,0.036,0.166,0.424,0.213,No Data,Developing,0.095,122,No Data,No Data,0.31,No Data,0.062,0.713,No Data,0.003,0.5,Sheila Phillip,No Data,48%,0.367,0.978,634,0.14,0.86,0.657,0.503,0.172,2017-11-01T00:00:00.000,60,No Data,0.162,No Data,0.87,No Data,630,0.971,,No Data,0.579
28Q312,0.038,0.5,No Data,0.934,0.085,No Data,No Data,0.025,No Data,No Data,Well Developed,0.028,0.283,No Data,0.325,No Data,Well Developed,No Data,No Data,No Data,No Data,0.171,No Data,0.097,0.75,0.227,0.034,0.3,Valerie Paul,No Data,65%,No Data,No Data,237,0.245,0.812,0.825,0.451,0.24,2019-01-01T00:00:00.000,No Data,No Data,0.025,No Data,0.71,No Data,233,0.977,,No Data,0.776
07X161,0.01,0.244,No Data,0.915,0.008,No Data,No Data,0.0,No Data,No Data,Developing,0.006,0.004,No Data,0.322,No Data,Developing,No Data,55,No Data,No Data,0.014,No Data,0.105,0.688,0.561,0.002,0.2,Eliamarie Soto,No Data,42%,0.333,0.989,363,0.755,0.593,0.955,0.444,0.705,2017-03-01T00:00:00.000,17,No Data,0.003,No Data,0.78,No Data,366,0.978,,No Data,0.887
29Q131,0.042,0.837,No Data,0.948,0.748,No Data,No Data,0.009,No Data,No Data,Well Developed,0.016,0.186,0.435,0.147,No Data,Proficient,No Data,142,No Data,No Data,0.018,No Data,0.047,0.892,No Data,0.007,0.4,Veronica Depaolo,No Data,42%,0.438,0.988,703,0.115,0.966,0.662,0.519,0.12,2019-02-01T00:00:00.000,94,No Data,0.754,No Data,0.91,No Data,715,0.969,,No Data,0.576
27Q064,0.062,0.838,No Data,0.935,0.53,No Data,No Data,0.014,No Data,No Data,Proficient,0.028,0.213,0.088,0.176,No Data,Proficient,No Data,95,No Data,No Data,0.049,No Data,0.049,0.833,No Data,0.026,0.2,Elizabeth Mitchell,No Data,38%,No Data,0.989,488,0.26,No Data,0.821,0.508,0.334,2018-11-01T00:00:00.000,60,No Data,0.631,No Data,0.91,No Data,491,0.977,,No Data,0.762
01M450,0.005,0.538,310,0.958,0.207,No Data,0,0.003,0.977,0,Proficient,0.004,0.092,No Data,0.307,310,Proficient,No Data,No Data,No Data,0,0.133,0,0.038,0.886,0.231,0.004,1.0,MARK FEDERMAN,No Data,1%,No Data,No Data,316,0.522,0.786,0.621,0.443,0.343,2019-12-01T00:00:00.000,No Data,105,0.092,27,No Data,105,313,0.978,0%,3.22,0.475
11X068,0.012,0.472,No Data,0.935,0.011,No Data,No Data,0.005,No Data,No Data,Proficient,0.012,0.082,0.513,0.272,No Data,Proficient,No Data,97,No Data,No Data,0.061,No Data,0.104,0.661,0.111,0.011,0.3,AIDIMARIS SOLER,No Data,22%,0.348,0.998,558,0.203,0.818,0.762,0.48,0.201,2017-01-01T00:00:00.000,35,No Data,0.005,No Data,0.73,No Data,543,0.979,,No Data,0.706
02M124,0.003,0.404,No Data,0.975,0.926,0.938,No Data,0.002,No Data,No Data,Proficient,0.001,0.265,No Data,0.154,No Data,Proficient,No Data,89,No Data,No Data,0.445,No Data,0.002,No Data,No Data,0.001,0.2,ALICE HOM,No Data,86%,No Data,0.998,611,0.013,No Data,0.605,0.499,0.029,2017-01-01T00:00:00.000,84,No Data,0.933,No Data,0.91,No Data,612,0.985,,No Data,0.465
18K211,0.01,0.219,314,0.918,0.019,No Data,1,0.003,0.902,0.236,Proficient,0.005,0.011,No Data,0.295,314,Proficient,No Data,No Data,0.236,0.236,0.031,0,0.12,0.61,No Data,0.007,0.7,Carolyn James,1,,No Data,No Data,342,0.117,0.778,0.757,0.529,0.092,2019-10-01T00:00:00.000,No Data,123,0.012,45,No Data,123,336,0.978,,2.31,0.69
28Q310,0.036,0.404,263,0.937,0.342,No Data,0.987,0.033,0.955,0.854,Proficient,0.032,0.262,No Data,0.181,263,Proficient,No Data,No Data,0.854,0.854,0.151,0,0.07,0.778,0.106,0.012,1.8,JAIME DUBEI,1,9%,No Data,No Data,271,0.188,0.786,0.721,0.531,0.313,2018-04-01T00:00:00.000,No Data,89,0.225,30,0.71,89,268,0.969,45%,2.74,0.641
07X029,0.009,0.358,264,0.905,0.004,No Data,No Data,0.005,0.889,0,Proficient,0.006,0.005,No Data,0.264,264,Proficient,No Data,No Data,0,0,0.013,0,0.077,0.618,0.299,0.005,0.2,Danielle Presto,No Data,43%,No Data,No Data,732,0.62,0.608,0.936,0.469,0.581,2019-12-01T00:00:00.000,No Data,84,0.005,29,No Data,84,760,0.986,0%,No Data,0.881
14K071,0.004,0.483,171,0.894,0.053,No Data,0.885,0.0,0.916,0.78,Proficient,0.005,0.037,No Data,0.417,171,Proficient,No Data,No Data,0.78,0.78,0.126,0,0.083,0.646,0.19,0.001,0.7,ESTHER SHALI OGLI,1,54%,No Data,No Data,180,0.683,0.648,0.931,0.478,0.646,2018-05-01T00:00:00.000,No Data,59,0.0,16,0.84,59,184,0.967,52%,2.3,0.834
17K006,0.013,0.235,No Data,0.924,0.02,No Data,No Data,0.002,No Data,No Data,Proficient,0.011,0.027,0.061,0.231,No Data,Proficient,0.121,109,No Data,No Data,0.049,No Data,0.069,0.702,No Data,0.003,0.4,Sharon Porter,No Data,26%,0.118,0.959,605,0.217,0.729,0.873,0.493,0.264,2020-01-01T00:00:00.000,39,No Data,0.01,No Data,0.76,No Data,631,0.977,,No Data,0.812
07X500,0.008,0.342,161,0.933,0.004,No Data,0.9,0.0,0.875,0.6,Proficient,0.009,0.005,No Data,0.213,161,Developing,No Data,No Data,0.6,0.6,0.011,0.489,0.03,0.734,0.237,0.002,0.5,NICHOLAS PAARLBERG,1,4%,No Data,No Data,164,0.744,0.821,0.906,0.433,0.685,2017-02-01T00:00:00.000,No Data,45,0.012,19,0.78,45,162,0.979,11%,2.97,0.809
11X532,0.014,0.522,273,0.918,0.013,No Data,No Data,0.007,0.951,0,Proficient,0.01,0.066,No Data,0.212,273,Proficient,No Data,No Data,0,0,0.041,0,0.111,0.621,No Data,0.003,0.8,SHAWN MANGAR,No Data,,No Data,No Data,288,0.306,0.771,0.826,0.444,0.289,2017-11-01T00:00:00.000,No Data,91,0.01,21,No Data,91,287,0.963,,2.28,0.75
07X005,0.009,0.371,252,0.913,0.007,No Data,No Data,0.0,0.957,0,Proficient,0.01,0.005,No Data,0.271,252,Developing,No Data,No Data,0,0,0.013,0,0.125,0.683,0.435,0.0,0.1,DANIELLE KEANE,No Data,37%,No Data,No Data,630,0.705,0.7,0.96,0.448,0.707,2019-04-01T00:00:00.000,No Data,87,0.005,29,0.67,87,632,0.977,77%,No Data,0.895
05M670,0.011,0.143,159,0.946,0.015,No Data,No Data,0.024,0.814,0,Proficient,0.012,0.019,No Data,0.281,159,Developing,No Data,No Data,0,0,0.061,0,0.042,0.936,0.143,0.004,0.5,MAJOR FAREED,No Data,0%,No Data,No Data,167,0.281,0.848,0.858,0.569,0.372,2017-11-01T00:00:00.000,No Data,56,0.006,16,0.64,56,161,0.969,47%,2.66,0.71
06M513,0.003,0.304,No Data,0.943,0.012,No Data,No Data,0.0,No Data,No Data,Proficient,0.004,0.011,No Data,0.399,No Data,Proficient,No Data,27,No Data,No Data,0.063,No Data,0.012,0.832,0.696,0.002,0.8,Julia Zuckerman,No Data,54%,No Data,0.982,173,0.705,No Data,0.689,0.503,0.761,2017-02-01T00:00:00.000,1,No Data,0.012,No Data,0.86,No Data,173,0.985,,No Data,0.543
25Q209,0.005,0.838,No Data,0.958,0.341,No Data,No Data,0.006,No Data,No Data,No Data,0.005,0.562,No Data,0.16,No Data,Proficient,No Data,81,No Data,No Data,0.115,No Data,0.002,0.835,No Data,0.005,0.6,Dr. Mary Mc Donnell,No Data,85%,No Data,0.995,536,0.177,No Data,0.348,0.509,0.179,2014-11-19T00:00:00.000,66,No Data,0.522,No Data,0.92,No Data,553,0.968,,No Data,0.291
22K052,0.01,0.75,No Data,0.929,0.184,No Data,No Data,0.008,No Data,No Data,Well Developed,0.002,0.166,0.211,0.148,No Data,Proficient,0.105,106,No Data,No Data,0.31,No Data,0.038,0.72,0.1,0.007,0.3,KRISTIN HURLEY,No Data,58%,0.2,0.985,731,0.135,0.707,0.705,0.475,0.096,2019-03-01T00:00:00.000,54,No Data,0.157,No Data,0.91,No Data,733,0.986,,No Data,0.65
09X324,0.004,0.568,177,0.94,0.016,No Data,0,0.0,0.966,0,Proficient,0.005,0.008,No Data,0.29,177,Proficient,No Data,No Data,0,0,0.012,0,0.109,0.85,0.216,0.003,0.5,Yvette Rivera,No Data,25%,No Data,No Data,183,0.65,0.864,0.919,0.525,0.628,2017-05-01T00:00:00.000,No Data,58,0.005,33,No Data,58,177,0.971,0%,2.39,0.82
07X298,0.008,0.194,233,0.913,0.005,No Data,0,0.0,0.86,0,Proficient,0.009,0.005,No Data,0.356,233,Proficient,No Data,No Data,0,0,0.011,0,0.172,0.701,0.548,0.001,0.6,AMY ANDINO-FLOHR,No Data,0%,No Data,No Data,250,0.756,0.705,0.969,0.44,0.643,2018-11-01T00:00:00.000,No Data,86,0.0,18,0.72,86,248,0.972,94%,2.26,0.932
19K328,0.017,0.308,No Data,0.871,0.013,No Data,No Data,0.008,No Data,No Data,Proficient,0.007,0.095,No Data,0.273,No Data,Proficient,No Data,42,No Data,No Data,0.02,No Data,0.084,0.373,No Data,0.009,0.1,Barbra Gedacht,No Data,51%,0.111,0.965,249,0.373,0.522,0.955,0.474,0.372,2017-03-01T00:00:00.000,10,No Data,0.012,No Data,0.52,No Data,246,0.981,,No Data,0.892
01M539,0.006,0.679,433,0.96,0.139,0.931,1,0.003,0.981,1,Proficient,0.006,0.166,No Data,0.074,433,Proficient,No Data,No Data,1,1,0.161,0.993,0.0,0.879,0.075,0.004,3.3,MARK BERKOWITZ,1,47%,No Data,No Data,1152,0.078,0.942,0.215,0.498,0.321,2017-04-01T00:00:00.000,No Data,139,0.371,6,0.74,139,1146,0.979,92%,No Data,0.188
07X584,0.008,0.208,238,0.9,0.004,No Data,1,0.0,0.776,0.09,Proficient,0.008,0.005,No Data,0.239,238,Proficient,No Data,No Data,0.09,0.09,0.011,0,0.024,0.592,0.292,0.002,0.4,TANNIS SERTIMA,1,29%,No Data,No Data,247,0.761,0.632,0.945,0.506,0.681,2020-01-01T00:00:00.000,No Data,78,0.004,20,0.76,78,253,0.986,0%,2.15,0.83
03M452,0.004,0.6,No Data,0.947,0.167,No Data,No Data,0.003,No Data,No Data,Proficient,0.003,0.065,No Data,0.198,No Data,Proficient,No Data,39,No Data,No Data,0.378,No Data,0.003,0.746,No Data,0.002,0.4,David Parker,No Data,26%,No Data,1,358,0.168,0.786,0.289,0.458,0.266,2019-10-01T00:00:00.000,30,No Data,0.128,No Data,0.97,No Data,345,0.966,,No Data,0.212
30Q010,0.006,0.793,772,0.945,0.149,No Data,0,0.005,0.954,0,Proficient,0.005,0.19,No Data,0.196,772,Proficient,No Data,No Data,0,0,0.157,0,0.065,0.851,No Data,0.001,0.5,CLEMENTE LOPES,No Data,46%,No Data,No Data,799,0.551,0.615,0.795,0.454,0.443,2017-10-01T00:00:00.000,No Data,265,0.186,55,0.96,265,797,0.973,0%,2.76,0.73
02M267,0.003,0.767,No Data,0.952,0.149,0.955,No Data,0.002,No Data,No Data,No Data,0.0,0.265,No Data,0.153,No Data,Well Developed,No Data,46,No Data,No Data,0.445,No Data,0.0,0.898,No Data,0.003,0.2,Medea Mcevoy,No Data,31%,No Data,1,438,0.11,No Data,0.103,0.486,0.086,2016-01-15T00:00:00.000,38,No Data,0.112,No Data,0.95,No Data,442,0.973,,No Data,0.073
24Q560,0.005,0.7,159,0.971,0.218,No Data,1,0.006,0.98,1,Proficient,0.007,0.192,No Data,0.1,159,Proficient,No Data,No Data,1,1,0.076,1,0.0,0.98,0.125,0.009,2.2,Daniel Albetta,1,17%,No Data,No Data,160,0.319,No Data,0.474,0.525,0.401,2016-11-01T00:00:00.000,No Data,52,0.325,5,0.89,52,160,0.971,3%,3.8,0.51
16K628,0.011,0.409,No Data,0.94,0.033,No Data,No Data,0.012,No Data,No Data,Proficient,0.011,0.008,No Data,0.188,No Data,Proficient,No Data,23,No Data,No Data,0.03,No Data,0.004,0.71,No Data,0.006,0.5,Alexander Brunner,No Data,71%,No Data,0.952,256,0.117,0.845,0.624,0.547,0.159,2019-05-01T00:00:00.000,10,No Data,0.0,No Data,0.97,No Data,251,0.97,,No Data,0.465
24Q005,0.005,0.705,1711,0.962,0.539,No Data,0.536,0.001,0.95,0.214,No Data,0.006,0.192,No Data,0.189,1711,Proficient,No Data,No Data,0.214,0.214,0.076,0.399,0.053,0.893,0.144,0.007,0.6,Kelly Nepogoda,1,44%,No Data,No Data,1755,0.565,0.576,0.774,0.466,0.386,2016-01-05T00:00:00.000,No Data,562,0.39,142,0.68,562,1741,0.972,97%,3.07,0.713
11X106,0.012,0.525,No Data,0.929,0.372,No Data,No Data,0.007,No Data,No Data,Proficient,0.012,0.082,0.209,0.255,No Data,Proficient,0.133,135,No Data,No Data,0.061,No Data,0.068,0.699,0.263,0.004,0.2,EUGENIA MONTALVO,No Data,50%,0.208,0.991,1013,0.332,0.798,0.794,0.455,0.37,2016-12-01T00:00:00.000,66,No Data,0.378,No Data,0.86,No Data,1027,0.972,,No Data,0.733
27Q183,0.046,0.673,124,0.888,0.037,No Data,No Data,0.0,0.943,0,Proficient,0.015,0.204,No Data,0.416,124,Proficient,No Data,No Data,0,0,0.099,0,0.125,0.512,0.096,0.002,0.3,MAUREEN CAMPBELL,No Data,27%,No Data,No Data,409,0.298,0.553,0.926,0.428,0.277,2019-03-01T00:00:00.000,No Data,38,0.027,9,0.73,38,415,0.973,88%,No Data,0.888
