manhattan_cooperatives_comparable_properties_boro_block_lot,manhattan_cooperatives_comparable_properties_address,manhattan_cooperatives_comparable_properties_gross_sqft,comparable_rental_2_full_market_value,comparable_rental_2_market_value_per_sqft,comparable_rental_2_neighborhood,comparable_rental_1_total_units,census_tract,nta,comparable_rental_1_gross_sqft,manhattan_cooperatives_comparable_properties_market_value_per_sqft,comparable_rental_1_building_classification,comparable_rental_2_est_gross_income,community_board
1-01245-0013,"{'latitude': '40.626303611318', 'longitude': '-74.029462540461', 'human_address': '{""address"": ""313 82 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",7224,1500000.0,169.0,UPPER WEST SIDE (79-96),15,,,7722,158.0,C1-WALK-UP,321789.0,
1-00740-0043,"{'latitude': '40.601430440707', 'longitude': '-74.009951983285', 'human_address': '{""address"": ""320 17 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",11680,1770000.0,190.0,GREENWICH VILLAGE-WEST,12,,,5172,175.0,C5-WALK-UP,361000.0,
1-01345-0005,"{'latitude': '40.646442742177', 'longitude': '-74.015500991277', 'human_address': '{""address"": ""301 52 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",28158,5050000.0,206.0,UPPER EAST SIDE (79-96),53,,,36720,182.0,D3-ELEVATOR,1029180.0,
1-00405-0051,"{'latitude': '40.665296736473', 'longitude': '-73.981683153146', 'human_address': '{""address"": ""519 11 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",10585,1540000.0,136.0,ALPHABET CITY,12,,,10081,65.0,C4-WALK-UP,330000.0,
1-01970-0068,"{'latitude': '40.817072820644', 'longitude': '-73.953577182355', 'human_address': '{""address"": ""1463 AMSTERDAM AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",9720,1020000.0,77.0,HARLEM-WEST,19,21303.0,Manhattanville                                                             ,9720,45.8,C7-WALK-UP,271901.0,9.0
1-01902-0064,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""1947 ADAM"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",15645,1050000.0,66.0,HARLEM-CENTRAL,20,,,15895,99.0,C4-WALK-UP,279715.0,
1-01525-0021,"{'latitude': '40.773851403915', 'longitude': '-73.954674355231', 'human_address': '{""address"": ""1523 2 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",281825,57900000.0,207.0,UPPER EAST SIDE (79-96),250,138.0,Yorkville                                                                  ,277073,149.0,D6-ELEVATOR,11802904.0,8.0
1-00350-0057,"{'latitude': '40.72123365329', 'longitude': '-73.983428438089', 'human_address': '{""address"": ""309 HOUSTON STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",20837,3070000.0,145.0,LOWER EAST SIDE,33,,,18865,147.0,C7-WALK-UP,660000.0,
1-01451-0041,"{'latitude': '40.62979765841', 'longitude': '-74.02757589908', 'human_address': '{""address"": ""328 77 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",7585,1240000.0,163.0,UPPER EAST SIDE (59-79),18,,,7505,216.0,C5-WALK-UP,265576.0,
1-01162-0001,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""230 END AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",92239,15200000.0,143.0,UPPER WEST SIDE (79-96),92,,,87150,112.0,D6-ELEVATOR,3260582.0,
1-00321-0001,"{'latitude': '40.713857631341', 'longitude': '-73.979432690698', 'human_address': '{""address"": ""570 GRAND STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1231250,29900000.0,47.6,LOWER EAST SIDE,8800,1001.0,Lower East Side                                                            ,8942176,71.0,D7-ELEVATOR,14108000.0,3.0
1-01499-0051,"{'latitude': '40.781918322518', 'longitude': '-73.958037819621', 'human_address': '{""address"": ""1217 MADISON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",181011,34200000.0,188.0,UPPER EAST SIDE (59-79),182,15002.0,Upper East Side-Carnegie Hill                                              ,189612,107.0,D6-ELEVATOR,6975958.0,8.0
1-00877-0035,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""39A GRAMERCY PARK"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",9400,4240000.0,161.0,MURRAY HILL,60,68.0,Gramercy                                                                   ,40266,156.0,D1-ELEVATOR,910000.0,6.0
1-01871-0020,"{'latitude': '40.614569510989', 'longitude': '-74.035064208485', 'human_address': '{""address"": ""233 99 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",94674,7200000.0,67.0,UPPER WEST SIDE (96-116),77,,,106149,67.0,D9-ELEVATOR,1925261.0,
1-01501-0016,"{'latitude': '40.782925563191', 'longitude': '-73.957300375557', 'human_address': '{""address"": ""1240 MADISON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",156287,19400000.0,117.0,UPPER EAST SIDE (79-96),257,15002.0,Upper East Side-Carnegie Hill                                              ,170424,109.0,D7-ELEVATOR,4671669.0,8.0
1-01604-0001,"{'latitude': '40.789319742819', 'longitude': '-73.954719321333', 'human_address': '{""address"": ""1170 5 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",153064,21200000.0,141.0,UPPER EAST SIDE (79-96),159,168.0,East Harlem South                                                          ,149485,135.0,D3-ELEVATOR,4555852.0,11.0
1-01148-0056,"{'latitude': '40.630878085552', 'longitude': '-74.032125333133', 'human_address': '{""address"": ""160 77 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",53427,9620000.0,137.0,UPPER WEST SIDE (79-96),86,,,71890,158.0,D1-ELEVATOR,2064827.0,
1-00529-0005,"{'latitude': '40.726870821105', 'longitude': '-73.995503575361', 'human_address': '{""address"": ""652 BROADWAY"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",45240,7330000.0,256.0,GREENWICH VILLAGE-WEST,137,5502.0,West Village                                                               ,97290,149.0,D7-ELEVATOR,1494000.0,2.0
1-01226-0045,"{'latitude': '40.616365632726', 'longitude': '-74.036455893793', 'human_address': '{""address"": ""132 96 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",196650,19800000.0,88.0,UPPER EAST SIDE (79-96),185,,,190738,48.8,D7-ELEVATOR,4787529.0,
1-01390-0035,"{'latitude': '40.773284831037', 'longitude': '-73.962363558582', 'human_address': '{""address"": ""820 PARK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",59279,6760000.0,119.0,UPPER EAST SIDE (59-79),52,130.0,Upper East Side-Carnegie Hill                                              ,57666,149.0,D6-ELEVATOR,1633157.0,8.0
1-01413-0057,"{'latitude': '40.629644282461', 'longitude': '-74.03370155764', 'human_address': '{""address"": ""136 79 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",107231,21600000.0,205.0,UPPER EAST SIDE (59-79),112,,,113820,140.0,D3-ELEVATOR,4393565.0,
1-00523-0032,"{'latitude': '40.726583038055', 'longitude': '-73.996933497388', 'human_address': '{""address"": ""200 MERCER STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",52000,19100000.0,161.0,GREENWICH VILLAGE-WEST,17,5501.0,West Village                                                               ,23000,196.0,D5-ELEVATOR,4102063.0,2.0
1-00520-0085,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""5 KING STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",7283,1500000.0,170.0,SOHO,20,,,8755,168.0,C7-WALK-UP,321447.0,
1-00397-0025,"{'latitude': '40.573112897103', 'longitude': '-74.121319215096', 'human_address': '{""address"": ""185 2 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",13524,1670000.0,108.0,ALPHABET CITY,24,,,14400,59.0,C4-WALK-UP,404000.0,
1-01529-0045,"{'latitude': '40.786374146508', 'longitude': '-73.976033461928', 'human_address': '{""address"": ""200 84 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",130234,,,,154,,,128132,163.0,D6-ELEVATOR,,
1-01120-0022,"{'latitude': '40.639608290988', 'longitude': '-74.030182528279', 'human_address': '{""address"": ""15 67 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",64899,8760000.0,137.0,UPPER WEST SIDE (79-96),100,,,64598,168.0,D3-ELEVATOR,1880141.0,
1-00516-0007,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""140 THOMPSON STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",86018,7470000.0,169.0,SOHO,60,49.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,38880,167.0,D1-ELEVATOR,1604052.0,2.0
1-00179-0017,"{'latitude': '40.7187589364', 'longitude': '-74.008795554955', 'human_address': '{""address"": ""84 HUDSON STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",51748,8290000.0,163.0,FINANCIAL,77,33.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,52092,151.0,D1-ELEVATOR,1780000.0,1.0
1-02051-0043,"{'latitude': '40.823170224002', 'longitude': '-73.945195501042', 'human_address': '{""address"": ""676 ST NICHOLAS AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",25986,1480000.0,64.0,HARLEM-CENTRAL,30,227.0,Hamilton Heights                                                           ,25400,30.0,C1-WALK-UP,396698.0,9.0
1-02087-0050,"{'latitude': '40.823021252067', 'longitude': '-73.954193467199', 'human_address': '{""address"": ""640 139 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",76250,2620000.0,36.6,HARLEM-UPPER,49,,,60165,40.5,D1-ELEVATOR,931829.0,
1-00431-0031,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""43 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",120605,17700000.0,135.0,UPPER WEST SIDE (59-79),114,,,122813,137.0,D7-ELEVATOR,3805035.0,
1-02243-0210,"{'latitude': '40.713779475103', 'longitude': '-74.010325227376', 'human_address': '{""address"": ""55 PARK TERRACE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",87400,4310000.0,59.0,INWOOD,67,,,68592,43.6,D1-ELEVATOR,1273933.0,
1-01342-0037,"{'latitude': '40.647157850066', 'longitude': '-74.013768239157', 'human_address': '{""address"": ""336 50 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",13872,1930000.0,150.0,MIDTOWN WEST,24,,,12656,144.0,D1-ELEVATOR,415010.0,
1-01453-0017,"{'latitude': '40.62896603116', 'longitude': '-74.027185876052', 'human_address': '{""address"": ""343 78 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",8166,1950000.0,232.0,UPPER EAST SIDE (59-79),16,,,8048,168.0,C4-WALK-UP,396930.0,
1-01565-0029,"{'latitude': '40.622279722703', 'longitude': '-74.027577809041', 'human_address': '{""address"": ""436 86 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",384646,52000000.0,150.0,UPPER EAST SIDE (79-96),250,,,277073,149.0,D6-ELEVATOR,11172686.0,
1-01428-0013,"{'latitude': '40.633322413464', 'longitude': '-74.029176021913', 'human_address': '{""address"": ""225 73 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",89016,7840000.0,96.0,UPPER EAST SIDE (59-79),87,,,75854,154.0,D3-ELEVATOR,1892995.0,
1-01502-0017,"{'latitude': '40.783564081832', 'longitude': '-73.956832728102', 'human_address': '{""address"": ""1254 MADISON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",104445,20000000.0,191.0,UPPER EAST SIDE (79-96),112,15002.0,Upper East Side-Carnegie Hill                                              ,106947,158.0,D6-ELEVATOR,4068244.0,8.0
1-00622-0041,"{'latitude': '40.668768471732', 'longitude': '-73.989012636804', 'human_address': '{""address"": ""268 11 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",29725,3370000.0,151.0,GREENWICH VILLAGE-WEST,23,,,12144,169.0,D1-ELEVATOR,724200.0,
1-00888-0037,"{'latitude': '40.59771778233', 'longitude': '-73.995713583976', 'human_address': '{""address"": ""165 32 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",133749,16100000.0,168.0,MURRAY HILL,282,,,310860,157.0,D6-ELEVATOR,3457000.0,
1-01381-0038,"{'latitude': '40.767754000557', 'longitude': '-73.966401514493', 'human_address': '{""address"": ""650 PARK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",223000,37000000.0,167.0,UPPER EAST SIDE (79-96),156,122.0,Upper East Side-Carnegie Hill                                              ,223798,149.0,D6-ELEVATOR,7937971.0,8.0
1-00513-0003,"{'latitude': '40.72550385162', 'longitude': '-73.998912005852', 'human_address': '{""address"": ""132 GREENE STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",61999,5510000.0,142.0,SOHO,86,49.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,44256,154.0,D1-ELEVATOR,1182870.0,2.0
1-02010-0024,"{'latitude': '40.818006820033', 'longitude': '-73.938285003781', 'human_address': '{""address"": ""103 141 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",43178,2280000.0,54.0,HARLEM-CENTRAL,56,,,30876,63.0,D1-ELEVATOR,675178.0,
1-01576-0027,"{'latitude': '40.563613330422', 'longitude': '-74.178818162716', 'human_address': '{""address"": ""10 END AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",230473,39200000.0,162.0,UPPER EAST SIDE (79-96),213,,,227259,163.0,D6-ELEVATOR,8410425.0,
1-00539-0031,"{'latitude': '40.728831343129', 'longitude': '-73.999316700766', 'human_address': '{""address"": ""211 THOMPSON STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",55800,3680000.0,243.0,GREENWICH VILLAGE-WEST,69,65.0,West Village                                                               ,48531,220.0,D1-ELEVATOR,749000.0,2.0
1-00740-0047,"{'latitude': '40.601411118131', 'longitude': '-74.009971995953', 'human_address': '{""address"": ""328 17 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",12475,1990000.0,191.0,GREENWICH VILLAGE-WEST,18,,,10000,172.0,C7-WALK-UP,405000.0,
1-01511-0005,"{'latitude': '40.627781822393', 'longitude': '-74.035749783135', 'human_address': '{""address"": ""107 82 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",7650,1240000.0,163.0,UPPER EAST SIDE (59-79),20,,,7550,230.0,C4-WALK-UP,265576.0,
1-00928-0001,"{'latitude': '40.737428861729', 'longitude': '-73.981231334756', 'human_address': '{""address"": ""382 2 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",189616,34900000.0,245.0,KIPS BAY,213,64.0,Gramercy                                                                   ,153800,177.0,D6-ELEVATOR,7101070.0,6.0
1-02087-0078,"{'latitude': '40.823889681626', 'longitude': '-73.954224694217', 'human_address': '{""address"": ""626 RIVERSIDE DRIVE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",400800,3490000.0,28.3,HARLEM-UPPER,84,225.0,Hamilton Heights                                                           ,111420,23.43,D6-ELEVATOR,1348328.0,9.0
1-01503-0038,"{'latitude': '40.783815892', 'longitude': '-73.954683348452', 'human_address': '{""address"": ""1150 PARK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",166742,22500000.0,136.0,UPPER EAST SIDE (59-79),149,16001.0,Upper East Side-Carnegie Hill                                              ,166432,151.0,D6-ELEVATOR,4826057.0,8.0
1-01195-0048,"{'latitude': '40.628442171462', 'longitude': '-74.038735510846', 'human_address': '{""address"": ""32 82 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",55120,9620000.0,137.0,UPPER WEST SIDE (79-96),96,,,53952,120.0,D3-ELEVATOR,2064827.0,
1-01248-0041,"{'latitude': '40.622567559293', 'longitude': '-74.030763433217', 'human_address': '{""address"": ""320 87 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",57516,3730000.0,99.0,UPPER WEST SIDE (59-79),39,,,48178,91.0,D3-ELEVATOR,901148.0,
1-01396-0033,"{'latitude': '40.763113498886', 'longitude': '-73.965439239922', 'human_address': '{""address"": ""1030 3 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",254000,54700000.0,213.0,UPPER EAST SIDE (79-96),210,11402.0,Upper East Side-Carnegie Hill                                              ,243802,215.0,D6-ELEVATOR,11139781.0,8.0
1-01841-0052,"{'latitude': '40.798648228158', 'longitude': '-73.961523785268', 'human_address': '{""address"": ""50 106 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",46416,2930000.0,66.0,MANHATTAN VALLEY,82,,,54675,39.4,D1-ELEVATOR,783456.0,
1-00801-0065,"{'latitude': '40.600914928622', 'longitude': '-73.999780927387', 'human_address': '{""address"": ""142 26 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",52543,7860000.0,151.0,GRAMERCY,49,,,41423,146.0,D1-ELEVATOR,1687000.0,
1-01121-0045,"{'latitude': '40.638478087214', 'longitude': '-74.034984180512', 'human_address': '{""address"": ""26 69 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",27308,4500000.0,198.0,UPPER WEST SIDE (79-96),48,,,24840,177.0,D1-ELEVATOR,916700.0,
1-01389-0056,"{'latitude': '40.773518654765', 'longitude': '-73.96416220264', 'human_address': '{""address"": ""950 MADISON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",141160,,,,94,130.0,Upper East Side-Carnegie Hill                                              ,147534,217.0,D6-ELEVATOR,,8.0
1-01349-0009,"{'latitude': '40.644074695896', 'longitude': '-74.017590490483', 'human_address': '{""address"": ""315 56 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",45000,6600000.0,147.0,UPPER EAST SIDE (59-79),92,,,47008,112.0,D1-ELEVATOR,1416783.0,
1-02139-0517,"{'latitude': '40.848217119782', 'longitude': '-73.940415349267', 'human_address': '{""address"": ""4 PINEHURST AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",59805,2030000.0,48.1,WASHINGTON HEIGHTS LOWER,71,265.0,Washington Heights South                                                   ,58269,54.0,D7-ELEVATOR,601395.0,12.0
1-00871-0044,"{'latitude': '40.734425126151', 'longitude': '-73.986366463544', 'human_address': '{""address"": ""160 3 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",111428,23200000.0,169.0,GREENWICH VILLAGE-WEST,282,50.0,Gramercy                                                                   ,310860,159.0,D6-ELEVATOR,4987000.0,6.0
1-01229-0054,"{'latitude': '40.78565950216', 'longitude': '-73.978758199176', 'human_address': '{""address"": ""2273 BROADWAY"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",84367,9630000.0,120.0,UPPER WEST SIDE (59-79),90,167.0,Upper West Side                                                            ,96992,104.0,D6-ELEVATOR,2325584.0,7.0
1-00530-0007,"{'latitude': '40.727707190592', 'longitude': '-73.994820090619', 'human_address': '{""address"": ""682 BROADWAY"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",37380,7510000.0,174.0,GREENWICH VILLAGE-WEST,62,5502.0,West Village                                                               ,45496,168.0,D6-ELEVATOR,1612000.0,2.0
1-01614-0001,"{'latitude': '40.795830834311', 'longitude': '-73.949979894238', 'human_address': '{""address"": ""1270 5 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",212000,33900000.0,164.0,UPPER EAST SIDE (79-96),213,17401.0,East Harlem South                                                          ,227259,87.0,D6-ELEVATOR,7281014.0,11.0
1-00475-0028,"{'latitude': '40.72211340757', 'longitude': '-74.003201771932', 'human_address': '{""address"": ""66 GRAND STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",46741,8810000.0,70.0,SOHO,70,47.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,53200,140.0,D1-ELEVATOR,2356368.0,2.0
1-01513-0001,"{'latitude': '40.779022505584', 'longitude': '-73.957884934876', 'human_address': '{""address"": ""1001 PARK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",68569,6990000.0,109.0,UPPER EAST SIDE (79-96),42,14801.0,Upper East Side-Carnegie Hill                                              ,62472,176.0,D3-ELEVATOR,1688719.0,8.0
1-02079-0007,"{'latitude': '40.794606089497', 'longitude': '-73.822013307006', 'human_address': '{""address"": ""547 147 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",42528,2170000.0,51.0,HARLEM-UPPER,45,,,54000,29.6,D7-ELEVATOR,640764.0,
1-01217-0054,"{'latitude': '40.623441661941', 'longitude': '-74.034478935443', 'human_address': '{""address"": ""160 87 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",59408,9620000.0,137.0,UPPER WEST SIDE (79-96),59,,,63794,116.0,D3-ELEVATOR,2064827.0,
1-00720-0049,"{'latitude': '40.736591457382', 'longitude': '-73.978306237478', 'human_address': '{""address"": ""410 23 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",42532,2320000.0,113.0,GREENWICH VILLAGE-WEST,47,,,39782,120.0,D7-ELEVATOR,560500.0,
1-02075-0023,"{'latitude': '40.824171940333', 'longitude': '-73.949038195439', 'human_address': '{""address"": ""505 143 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",33451,1310000.0,32.9,HARLEM-UPPER,28,,,31550,25.4,D1-ELEVATOR,465860.0,
1-01896-0014,"{'latitude': '40.80681249089', 'longitude': '-73.965025017101', 'human_address': '{""address"": ""605 114 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",76500,6670000.0,96.0,UPPER WEST SIDE (96-116),94,,,83519,108.0,D3-ELEVATOR,1610240.0,
1-01043-0002,"{'latitude': '40.764930129385', 'longitude': '-73.987877324553', 'human_address': '{""address"": ""786 9 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",9336,,,,20,133.0,Clinton                                                                    ,9805,97.0,C7-WALK-UP,,4.0
1-00744-0063,"{'latitude': '40.659421197886', 'longitude': '-73.990274385133', 'human_address': '{""address"": ""342 21 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",19440,4780000.0,168.0,GRAMERCY,30,,,7750,163.0,C5-WALK-UP,1026000.0,
1-01207-0016,"{'latitude': '40.618793553389', 'longitude': '-74.038874868498', 'human_address': '{""address"": ""31 93 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",47349,3500000.0,91.0,UPPER WEST SIDE (59-79),38,,,37251,91.0,D3-ELEVATOR,846153.0,
1-01046-0042,"{'latitude': '40.644011123744', 'longitude': '-74.017601650973', 'human_address': '{""address"": ""316 56 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",18506,2660000.0,169.0,UPPER WEST SIDE (79-96),38,,,23952,168.0,D9-ELEVATOR,571984.0,
1-00595-0041,"{'latitude': '40.724424665185', 'longitude': '-74.009380114274', 'human_address': '{""address"": ""474 GREENWICH STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",25159,1720000.0,151.0,SOHO,24,39.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,11934,114.0,C5-WALK-UP,370000.0,1.0
1-01516-0042,"{'latitude': '40.62297563558', 'longitude': '-74.035616588102', 'human_address': '{""address"": ""170 88 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",50874,11400000.0,218.0,UPPER EAST SIDE (79-96),427,,,530809,163.0,D3-ELEVATOR,2328852.0,
1-02051-0045,"{'latitude': '40.823332101967', 'longitude': '-73.94512355528', 'human_address': '{""address"": ""678 ST NICHOLAS AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",25986,1120000.0,42.8,HARLEM-CENTRAL,30,227.0,Hamilton Heights                                                           ,25400,30.0,C1-WALK-UP,358167.0,9.0
1-01548-0014,"{'latitude': '40.624146935863', 'longitude': '-74.029787853239', 'human_address': '{""address"": ""333 85 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",24864,3480000.0,174.0,UPPER EAST SIDE (79-96),43,,,27000,163.0,D7-ELEVATOR,747315.0,
1-02082-0007,"{'latitude': '40.795927967203', 'longitude': '-73.816964130274', 'human_address': '{""address"": ""557 150 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",20787,1150000.0,54.0,HARLEM-UPPER,22,,,25050,31.8,C1-WALK-UP,341013.0,
1-01249-0029,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""565 END AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",155906,17300000.0,101.0,UPPER WEST SIDE (59-79),79,,,164530,96.0,D6-ELEVATOR,4183017.0,
1-01717-0002,"{'latitude': '40.803565003763', 'longitude': '-73.948460040009', 'human_address': '{""address"": ""162 LENOX AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",27709,1830000.0,67.0,HARLEM-CENTRAL,42,190.0,Central Harlem South                                                       ,32945,34.1,D7-ELEVATOR,489465.0,10.0
1-01535-0041,"{'latitude': '40.621222025269', 'longitude': '-74.034556800817', 'human_address': '{""address"": ""210 90 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",8562,1430000.0,167.0,UPPER EAST SIDE (59-79),20,,,8395,201.0,C4-WALK-UP,306507.0,
1-01535-0042,"{'latitude': '40.62125773753', 'longitude': '-74.034711553948', 'human_address': '{""address"": ""204 90 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",25264,4530000.0,161.0,UPPER EAST SIDE (59-79),64,,,24494,165.0,C4-WALK-UP,972222.0,
1-01860-0007,"{'latitude': '40.799282816596', 'longitude': '-73.964974325074', 'human_address': '{""address"": ""157 105 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",17860,1650000.0,94.0,UPPER WEST SIDE (96-116),22,,,18510,54.0,C4-WALK-UP,398644.0,
1-01121-0029,"{'latitude': '40.765384404457', 'longitude': '-73.975585542566', 'human_address': '{""address"": ""80 CENTRAL PARK"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",201052,34900000.0,171.0,MIDTOWN CBD,252,143.0,park-cemetery-etc-Manhattan                                                ,303642,158.0,D6-ELEVATOR,7495751.0,64.0
1-01249-0022,"{'latitude': '40.622645226293', 'longitude': '-74.030848239171', 'human_address': '{""address"": ""317 87 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",44256,2390000.0,77.0,UPPER WEST SIDE (79-96),29,,,29303,91.0,D3-ELEVATOR,639190.0,
1-01369-0007,"{'latitude': '40.642263997945', 'longitude': '-74.016122833373', 'human_address': '{""address"": ""419 57 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",128114,17200000.0,118.0,UPPER WEST SIDE (79-96),64,,,114696,135.0,D3-ELEVATOR,4141606.0,
