queens_cooperatives_comparable_properties_boro_block_lot,queens_cooperatives_comparable_properties_address,postcode,comparable_rental_2_gross_sqft,comparable_rental_2_market_value_per_sqft,comparable_rental_2_gross_income_per_sqft,queens_cooperatives_comparable_properties_full_market_value,comparable_rental_1_year_built,bbl,comparable_rental_2_year_built
4-04742-0022,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""158 06 CROSS ISLAND PKWY"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11357.0,13281.0,49.2,13.08,594000,1950,4047420022.0,1927.0
4-01272-0040,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""72 15 37 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11372.0,37260.0,44.0,14.35,2310000,1938,4012720040.0,1925.0
4-05291-0040,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 05 167 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11358.0,11840.0,47.0,12.5,793000,1931,4052910040.0,1931.0
4-03334-0250,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""78 14 AUSTIN STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11375.0,68040.0,35.9,10.59,2810000,1931,4033340250.0,1932.0
4-01267-0024,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""34 38 81 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,37260.0,44.0,14.35,422000,1938,,1925.0
4-01447-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 10 34 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11372.0,98492.0,71.0,17.35,5220000,1934,4014470001.0,1928.0
4-04340-0010,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""29 09 137 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11354.0,261919.0,34.7,10.28,9170000,1962,4043400010.0,1955.0
4-01442-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""33 04 94 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,231521.0,42.2,11.98,10400000,1962,,1962.0
4-05192-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""44 65 KISSENA BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11355.0,189748.0,46.7,12.44,9400000,1930,4051920001.0,1962.0
4-06715-0002,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""81 26 150 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11435.0,12580.0,30.2,9.16,33100000,1950,4067150002.0,1928.0
4-01271-0014,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 20 72 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,73197.0,65.0,16.08,3000000,1900,,1931.0
4-01281-0024,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 30 82 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,10208.0,47.0,12.5,725000,1926,,1926.0
4-06632-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""141 48 78 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11367.0,36000.0,47.5,12.63,7420000,1950,4066320001.0,1931.0
4-01261-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""74 02 34 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11372.0,322584.0,47.4,12.63,6810000,1967,4012610001.0,1952.0
4-03321-0025,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 30 118 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11415.0,68040.0,35.9,10.59,4870000,1931,4033217506.0,1932.0
4-05778-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""199 06 16 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11357.0,15263.0,51.0,13.51,4150000,1950,4057780001.0,1928.0
4-00184-0037,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""41 42 42 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,43150.0,56.0,14.17,3180000,1931,,1931.0
4-02112-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""63 61 99 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,111672.0,46.5,12.37,6430000,1942,,1943.0
4-05775-0023,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""15 20 202 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11360.0,147700.0,70.0,17.2,4520000,1969,4057750023.0,1973.0
4-07670-0002,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""223 02 65 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11364.0,12580.0,30.2,9.16,7360000,1950,4076700002.0,1928.0
4-01497-0023,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""41 50 78 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,142260.0,33.1,9.79,7000000,1956,,1946.0
4-00198-0011,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""47 39 40 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,40800.0,51.0,13.67,2050000,1937,,1937.0
4-01267-0051,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""34 37 80 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,37260.0,44.0,14.35,422000,1938,,1925.0
4-01458-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""84 02 35 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11372.0,99383.0,30.8,9.33,4240000,1927,4014580001.0,1938.0
4-01277-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""77 02 35 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11372.0,50070.0,49.1,13.1,4050000,1928,4012770001.0,1927.0
4-08489-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""269 GRAND CENTRAL PARKWAY"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11005.0,,,,325000000,2000,4084890001.0,
4-10535-0010,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""87 40"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,69312.0,39.4,11.18,8620000,1959,,1950.0
4-05049-0019,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""143 36 BARCLAY AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11355.0,67652.0,39.2,11.11,2040000,1929,4050490019.0,1925.0
4-03291-0016,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""75 02 AUSTIN STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11375.0,112800.0,64.0,15.82,7920000,1959,4032910016.0,1962.0
4-06789-0015,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""161 08 JEWEL AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11365.0,103629.0,56.0,14.09,20200000,1966,4067890015.0,1951.0
