gi_id,bbl,tree_latin,constructed_date,status_gro,row_onsite,asset_y_co,constructi,asset_area,asset_type,asset_leng,program_ar,dep_contra,sewer_type,:@computed_region_92fq_4b7q
GS2184D,4090260032.0,No Tree,2021-05-14T00:00:00.000,Constructed,ROW,188760.827,53320022-05,38.5,ROWGS,11.0,Right of Way (ROW),GK26W5-05,Combined,41
SGS743a,4066040069.0,No Tree,2021-11-02T00:00:00.000,Constructed,ROW,202648.06,GCTI10-4A,150.0,ROWSGS,30.0,Right of Way (ROW),GQTI10-04,Combined,24
436a,4025240004.0,No Tree,2017-06-30T00:00:00.000,Constructed,ROW,205442.18004,GCNC77-01,100.0,ROWB,20.0,Right of Way (ROW),GQNC77-01,Combined,34
DA10,2049050001.0,,2017-10-16T00:00:00.000,Constructed,Onsite,262333.0192,,1891.0,Rain Garden,0.0,Public Onsite,GXHP24-03,Combined,2
RGR_1,3020100010.0,,2017-07-05T00:00:00.000,Constructed,Onsite,187938.32109,,104.0,Rain Garden,0.0,Incentivized,GKRH05-01,Combined,48
H-223c,4093220043.0,Taxodium distichum,2017-12-22T00:00:00.000,Constructed,ROW,192705.264,GCJAM-01,48.0,ROWB,12.0,Right of Way (ROW),GQJA03-01,Combined,28
1012B,3041020047.0,No Tree,2021-06-29T00:00:00.000,Constructed,ROW,189254.254,53320022-02,60.0,ROWB,12.0,Right of Way (ROW),GK26W5-05,Combined,37
sgs594,2042180026.0,No Tree,2021-05-03T00:00:00.000,Constructed,ROW,250617.2,GXHP14-03,138.0,ROWSGS,23.0,Right of Way (ROW),GXHP14-03,Combined,12
1081A,4050150012.0,Transplant,2017-11-17T00:00:00.000,Constructed,ROW,217616.3564,GCTI11-01,95.0,ROWB,19.0,Right of Way (ROW),GQTI11-03,Combined,3
6234B,4022900001.0,No Tree,2017-12-19T00:00:00.000,Constructed,ROW,207971.782,GQBB09-01,44.0,ROWB,11.0,Right of Way (ROW),GQBB09-01,Combined,33
16A,4095870006.0,No Tree,2020-10-14T00:00:00.000,Constructed,ROW,191120.02,GCJA03-2A,78.0,ROWB,13.0,Right of Way (ROW),GQJA03-02,Combined,46
1557b,3039400006.0,Platanus x acerifolia,2021-06-29T00:00:00.000,Constructed,ROW,187187.53,53320022-01,96.0,ROWB,16.0,Right of Way (ROW),GK26W5-04,Combined,37
1631C,4055550001.0,Tilia tomentosa 'Sterling',2021-11-18T00:00:00.000,Constructed,ROW,213775.74677,GCTI10-02,100.0,ROWB,20.0,Right of Way (ROW),GQTI10-02,Combined,20
2-IB400c,3015800001.0,No Tree,2022-07-16T00:00:00.000,Constructed,ROW,193776.216,GNCB14-2A,72.0,ROW Infiltration Basin with Concrete Top,12.0,Right of Way (ROW),GKNC14-06,Combined,49
1795c,4063950040.0,No Tree,2021-11-02T00:00:00.000,Constructed,ROW,208521.61,GCTI10-4A,44.0,ROWRG,11.0,Right of Way (ROW),GQTI10-04,Combined,24
IB3090a,4117840040.0,,2022-06-09T00:00:00.000,Constructed,ROW,183747.9271,GCJA03-3B,65.0,ROW Infiltration Basin with Grass Top,13.0,Right of Way (ROW),GQJA03-03,Combined,46
545A,3046280036.0,No Tree,2015-12-08T00:00:00.000,Constructed,ROW,179488.62,GK26W3-03,65.0,ROWB,13.0,Right of Way (ROW),GK26W3-03,Combined,17
IB21033J,4046520006.0,No Tree,2024-06-28T00:00:00.000,Constructed,ROW,224463.898,GQTI03-23,60.5,ROW Infiltration Basin with Grass Top,11.0,Right of Way (ROW),GQTI03-01,Combined,20
511-1e,2042750001.0,No Tree,2021-05-03T00:00:00.000,Constructed,ROW,250532.83,GXHP14-03,100.0,ROWRG,20.0,Right of Way (ROW),GXHP14-03,Combined,12
1896C,4055940025.0,No Tree,2021-12-15T00:00:00.000,Constructed,ROW,210521.11,GCTI10-03,54.0,ROWB,12.0,Right of Way (ROW),GQTI10-03,Combined,3
