severity,infraction_code5,violation_description,infraction_code1,penality_imposed,amount_paid,section_law_description1,isn_dob_bis_extract,hearing_time,nan with block,172 with block,244 with block,BQ7 with block
Hazardous,,OCCUPANCY CONTRARY TO BUILDING DEPARTMENT RECORDS NOTED:A CLASS A APARTMENT HAS BEEN CREATED IN THE BASEMENT AREA LOCATION:CENTER STORAGE AREA SUPERS APARTMENT REMEDY:OBTAIN A VALID CERTIFICATE OF OCCUPANCY OR,B03,285,285,27-217                                                                      OCCUPANCY CONTRARY TO THAT ALLOWED BY THE C OF O BLDG DEPT RECORDS,1075005,830,460.0,,,
CLASS - 1,,FAILURE TO COMPLY WITH THE COMMISSIONER'S ORDER TO OBTAIN A PERMIT PERVIOLATION #34710262H-FOR WORK WITHOUT A PERMIT- INSTALLED WASTER AND WATER LINES & GAS LINE AT CELLAR LEV3EL NO RECORD OF CORRECTION IN THE,187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1530651,1050,8840.0,,,
CLASS - 1,,NO RECORD OF DAILY INSPECTION OF SIDEWALK SHED PERFORMED BY AN AUTHORIZED PERSON AT SITE NOTED SIDEWALK SHED AT EXP 1 THERE ARE NO INSPECTION RECORDS AVAILABLE FOR REVIEW AS PER SUPER REMEDY: MAINTAIN DAILY,150,2400,2400,"BC 3314.4.3.1 (2008 CODE), 27-1045(B) & BC 3314.4.3.4 (2014 CODE)           NO RECORD OF DAILY INSPECTION OF SUSPENDED SCAFFOLD PERFORMED BY AUTHO",6750,1000,620.0,,,
CLASS - 2,,52M7.70O2.52M7 PROVIDE SPIN-OUT FOR HOIST CABLES,251,0,0,28-301.1                                                                    FAILURE TO MAINTAIN BUILDING IN CODE-COMPLAINT MANNER:SERVICE EQUIPMEN,37084,1103,4426.0,,,
CLASS - 1,,FAIL TO CORRECT ECB # 34781373Z FOR ILLEGAL CLASS A APT IN BASEMENT.  NO RECORD OF CORRECTION. REMEDY: OBTAIN PERMIT.,187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1672553,830,3396.0,,,
CLASS - 1,,FAIL TO COMPLY W/THE COMM ORDER TO OBTAIN A PERMIT PER VECB#34578900H ISSUED 05/23/07 FOR WRK W/O PERMIT @ BSMT.PRIOR NOV 34792344N ISSUED 07/07/09SAME RESP.REM:COMPLY W/THE COMM ORDER OBTAIN PERMIT LEGALIZE WK,187,24000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1672647,1030,8089.0,,,
CLASS - 1,,"UNLAWFUL ACTS.FAILURE TO COMPLY W/AN ORDER OF THE COMMISSIONER.NOTED:RESP'D FAILED TO CORRECT THE CONDITIONS CITED IN THE PRIOR NOV#34686505X,HAVING CONSTRUCTED SHEET ROCK PARTITIONS & INSTALLED GAS LINE IN THE",187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1670879,1030,7778.0,,,
CLASS - 1,,FAILURE TO COMPLY W/ COMMS ORDER TOCORRECT ECB #34776482L FOR CLASS A  APT IN CELLAR NO RECORD OF CORRECTION W/ DOB REM: COMPLY W/ ORDER,187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1669966,830,4944.0,,,
CLASS - 1,,97X10 97X10 ONLY ELEVATOR  IN BLDG IS OUT OF SERVICE THEREBY CREATING CONDITIONS DANGEROUS TO HUMAN LIFE REPAIR IMMEDIATELY AND CALL DOB ELEVATOR UNIT FOR REINSPECTION 212 566-5544 41 MOTOR RM SIGN 67 EMERGENCY,151,1000,1000,28-301.1                                                                    FAILURE TO MAINTAIN BUILDING IN CODE COMPLIANT MANNER: SERVICE EQUIPME,13688,1030,5560.0,,,
CLASS - 1,,"RECURR COND/UNLAWFUL ACTS,FAILURE TO COMPLY WITH COMM-ORDER TO CORRECTCONDITIONS CITED IN 34578013L-FOR WORK DONE W/O A PERMIT AT CELLAR.RE MEDY:CORRECT CONDITIONS CITED.",187,24000,5069,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1706606,830,11627.0,,,
CLASS - 2,,WORK DOES NOT CONFORM TO APPROVED CONSTRUCTION DOCUMENTS. NOTED: WORK ONGOING UNDER ALT 1 PERMIT #320054383 RENOVATING EXISTING BLDG W/HORIZONTAL EXTENSION AT REAR YARD. PLANS APPROVED 8.20.09 BY MB OF,282,250,250,28-105.12.2                                                                 WRK DOESN'T CONFORM TO APPROV DOCS AND/OR APPROV AMENDMENTS,1504,830,260.0,,,
CLASS - 1,,FAILURE TO COMPLY W/AN ORDER OF THE COMM'S RESPONDENT FAILED TO CORRE0T CONDITIONS IN #34715716X IN CELLAR INSTALLED WASTE AND WATER LINES  PLUS GAS LINE REMEDY:COMPLY W/CODE,187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1705319,1030,10187.0,,,
CLASS - 3,,FAILURE TO MAINTAIN BLDG WALL. NOTED: AT EAST CORNER OF THE SOUTH ELEVATION VERTICAL CRACK IN MASONRY B/W TOP OF WINDOWS TO BOTTOM OF WINDOWS B/W 3RD-6TH FLR AND PARAPET. REMEDY: MAKE SAFE IMMEDIATELY. PROVIDE,304,500,200,28-302.1                                                                    FAILURE TO MAINTAIN BLDG WALL(S) OR APPURTENANCES,10282,830,3249.0,,,
CLASS - 2,,WORK W/O A PERMIT WORK NOTED REMOVED GARAGE DOOR ERECTED A MASONRY WALL INSTALL A DOOR APPROX 3X7 AND ALSO A WINDOW REMEDY: OBTAIN A PERMIT OR RESTORE TO PRIOR LEGAL CONDITION,201,4000,0,28-105.1                                                                    WORK WITHOUT A PERMIT,1756165,830,8075.0,,,
CLASS - 1,,FAILURE TO MAINTAIN BLDG WALLS OR APPURTENANCES NOTED DEFECT 3 STY WOOD FRAME FROM EXTERIOR AT 2ND FL AND 3RD FL BLDG APPEARS TO BE OUT OF PLUMBAND LEANING APPROX 23 INC TOWARD EAST REMEDY: MAINTAIN BLDG,104,1000,0,28-302.1                                                                    FAILURE TO MAINTAIN BLDG WALL(S) OR APPURTENANCES,1740186,830,3942.0,,,
CLASS - 2,,FAILURE TO SAFEGUARD ALL PERSONS & PROPERTY AFFECTED BY CONSTRUCTION OPERATIONS. OBSERVED SMOKING W/I CONSTRUCTION SITE IN VIOLATION OF N.Y.C. FIRE CODE 1404.1 SMOKING OBSERVED BY OPERATOR OF EXCAVATION MACHINE,209,1200,1200,"BC 3301.2,27-1009(A)                                                        FAIL TO SAFEGUARD PERS/PROPERTY AFFECTED BY CONSTRUCTION OP",5375,1030,1883.0,,,
CLASS - 1,,"SEC. 1906.6.1.RESHORES NOT SECURED 10FT FROM THE FACADE. NOTE: AT TI  ME OF INSPECTION AT ABOVE SITE. BUILDING UP TO 51 FLR,POURING OF CONCRETE OPERATIONS IN PROGRESS OBSERVED(RESCORES) NOT SECURED ON FLR 47&48",106,8000,8000,27-/28-/BC-MISC                                                             MISCELLANEOUS VIOLATIONS,9440,1030,148.0,,,
CLASS - 1,,FAIL TO CORRECT ECB # 34719370X FOR ILLEGAL EXTENSION AT REAR NO RECORD OF CORRECTION W/DOB. REMEDY: COMPLY W/ORDER.,187,24000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1705359,830,15966.0,,,
CLASS - 1,,"FAIL TO COMPLY W/COMMISSIONER ORDER TO FILE CERT OF CORRECTION W/DOB  FOR NOV 34623284N FOR ILLEGAL WORK ON 1ST FL, REAR. REMEDY: NO RECORD OF CORRECTION WITH DOB. REMEDY: COMPLY WITH ORDER.",187,25000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1671396,830,3197.0,,,
CLASS - 1,,"UNLAWFUL ACTS. FAILURE TO COMPLY WITH ORDER OF THE COMMISSIONER. RESPONDENT FAILED TO CORRECT CONDITIONS CITED IN PRIOR NOV # 34689401P, HAVING CONSTRUCTED PARTITION ON 1ST FL REAR & INSTALLED KITCHEN FL JOISTS",187,2400,2578,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1630274,830,1862.0,,,
CLASS - 1,,OCCUPANCY CONTRARY TO THAT ALLOWED BY THE C OF O #92882 WHICH INDICATED 2ND FLR OCCUPIED AS RECREATION ROOM 3RD THRU 5TH FLR AS 1 FAMILY DWELLING. ILLEGAL OCCUPANCY NOTED: 2ND FLR THRU 5TH FLR OCCUPIED AS CLASS,103,2400,3568,28-118.3.2                                                                  OCC CONTRARY TO THAT ALLOWED BY THE C OF O OR DOB RECORDS,21297,900,798.0,,,
Hazardous,,"FAILURE TO PROVIDE ADEQUATE HOUSEKEEPING.  BRICKS, CONCRETE BLOCK,    DIRT & EMPTY CONCRETE BAGS STORED AT SITE.  REMEDY: MAINTAIN CLEAR &  CLEAN.",B2U,350,350,27-1018                                                                     FAILURE TO PERFORM ADEQUATE HOUSEKEEPING,1369782,1030,5600.0,,,
CLASS - 1,,"UNLAWFUL ACTS.FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER TO  FILE A CERTIFICATE OF CORRECTION W.DOB FOR NOV # 34583113P ISSUED ON  6/13/07 FOR WORK W.O PERMIT. AT TIME OF INSPECTION,CERTIFICATION STATU",187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1155702,830,12804.0,,,
Hazardous,,OCCUPANCY CONTRARY TO THAT ALLOWED BY CERTIFICATE OF OCCUPANCY #101572264.HAZARDOUS.PREMISES ALLOWS MAXIMUM OCCUPANCY OF 148 PEOPLE.PREMISESOCCUPIED BY 214 PEOPLE AT INSPECTION TIME.CONSTITIUTING A HAZARDOUS,BP0,2500,0,27-217                                                                      OCCUPANCY CONTRARY TO THAT ALLOWED BY C OF O - HAZARDOUS,1079303,1030,920.0,,,
CLASS - 1,,FAILURE TO CORRECT ECB #34790786L FOR ILLEGAL WORK AT REAR YARD CREATING NEW OPENING IN FOUNDATION WALL. REMEDY: COMPLY W/ORDER.,187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1706285,830,15545.0,,,
Hazardous,,FAILURE TO SUBMIT A THIRD ROUND TECHNICAL REPORT PERIODIE INSPECTION OF EXTERIOR WALL AND APPARTENANCES AS REQUIRED BY LOCAL LAW 10OF80 OF 1980 AND THE DEPARTMENT OF BUILDINGS RULES AND REGULATIONS REMEDY FILE,B8V,400,400,"27-129                                                                      FAILURE TO SUBMIT A 3RD ROUND TECH REPORT, LL10/80",261363,830,1283.0,,,
CLASS - 1,,FAILURE TO COMPLY W/ COMM'S ORDER TO CORRECTION VIO#34639239K FOR WORKW/O PERMIT @ CELLAR INSTALLED 3PC BATH & RESID SINK W/O PERMIT  RECORDOF CORRECTION REM: COMPLY W/ COMM'S ORDER& OBTAIN PERMIT.,187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1705010,830,10546.0,,,
CLASS - 1,,"FAILURE TO MAINTAIN BLDG IN CODE-COMPLIANT MANNER: NO FIRE STOPPING PER BC 712.3;27-345. NOTED: TWO DOOR OPENINGS, APPROX 2'-6"" X 7'-0"" EACH, CONSTRUCTED THROUGH WALLS BETWEEN TWO BLDGS W/O ANY FIRE STOPPING",139,1000,1000,28-301.1                                                                    FAILURE TO MAINTAIN BUILDING IN CODE-COMPLIANT MANNER: NO FIRE STOPPIN,21171,830,1895.0,,,
CLASS - 2,,SEC.BC3307.7 STOP ALL WORK FAILURE TO PROVIDE AN ADEQUATE CONST FENCE AT TIME OF INSPECTION I DID OBSERVE AT EXP 4 FENCE FALLING DOWN REMEDY: STOP ALL WORK COMPLY WITH NOTICE OF VIO,206,0,0,27-/28-/BC-MISC                                                             MISCELLANEOUS VIOLATIONS,15360,1030,5037.0,,,
CLASS - 2,,WORK DOES NOT CONFORM TO APPROVED CONSTRUCTION DOCUMENTS AND/OR APPROVED AMENDMENTS INSP DWG 06/08/07 ON AN EXPIRED FOLDER 6/7/08 PREMISES UNDER PC JOB ALTII 402600681 APPLICATION FILED TO LEGALIZE ANTENNA ON R,282,500,508,28-105.12.2                                                                 WRK DOESN'T CONFORM TO APPROV DOCS AND/OR APPROV AMENDMENTS,24374,1030,1627.0,,,
CLASS - 1,,MISC VIOLATIONS. FAILURE TO PROVIDE 3FT 6INCH GUARDRAIL OR EQUIPMENT AROUND ALL FLRS AND OPENINGS PERIMETERS. AT TIME OF INSPECTION OBSERVEDNO GUARDRAIL AT 2ND FLR REAR OF BLDG WHERE FLR LEVEL DROPS 4FT. NO,106,1600,1600,27-/28-/BC-MISC                                                             MISCELLANEOUS VIOLATIONS,30479,830,3235.0,,,
CLASS - 1,,UNLAWFUL ACTS. FAILURE TO COMPLY W/AN ORDER OF THE COMMISSIONER. RESPONDENT FAILED TO CORRECT THE CONDITIONS CITED IN PRIOR NOV ECB 34757744Z FOR WORK W/O A PERMITT FOR ILLEGGAL ADDITION AT REAR OF BLDG APPROX,187,2400,450,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1669630,1100,8180.0,,,
CLASS - 1,,"ALTERED/CHANGED BLDG OCCUPIED W.O A VALID C OF O AS PER 28-118.3.1 &  28-118.3.2. PREMISES UNDER PC JOB ALT 401683004. C OF O # 4P0009267   EXPIRED 1993 & TEMP C OF O 400683004, EXPIRED 2008. NOTED: PREMISES UN",108,1000,1000,"28-118.3                                                                    ALTER/CHANGE BLDG OCCUP W/O VALID C/O PER 28-118.3.1,28-118.3.2",30839,830,191.0,,,
CLASS - 1,,FAILURE TO COMPLY W/AN ORDER OF THE COMMISSIONER  RESPONDENT FAILED TOCORRECT CONDITIONS IN # 34797871H IN CELLAR ERECTED HIGH PARTITIONS FOR ONE RM WATER AND WASTE FOR 3PC BATH REMEDY:COMPLY W/CODE,187,2400,1800,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1706200,830,9977.0,,,
CLASS - 2,,"42L10,17H11,17D06,10H11. 42L-DEFECTIVE DRIVE RESULTING IN SHUT DOWN DURING 5YR TEST. 17M,D- REPLACE SECURE WHERE NEEDED.10M-REPLACE.",251,0,0,28-301.1                                                                    FAILURE TO MAINTAIN BUILDING IN CODE-COMPLAINT MANNER:SERVICE EQUIPMEN,19968,1030,4393.0,,,
CLASS - 1,,UNLAWFUL ACTS. FAILURE TO COMPLY WITH COMM-ORDER TO OBTAIN A PERMIT PER VIOLATION #34555438P FOR WORK DONE W/O A PERMIT. REMEDY: CORRECT VIOLATION #34555438P.,187,2400,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1669271,830,3722.0,,,
CLASS - 2,,WORK W/O A PERMIT. NOTED: AT REAR OF BUILDING AT 2ND FLR LEVEL ERECTEDA DECK. APPROX SIZE 10'X 15'. THE STRUCTURES ARE STEEL POSTS & WOOD JOISTS THE DECK IS ATTACHED TO THE BUILDING. AT 2ND FLR REPLACED A WINDO,201,800,800,28-105.1                                                                    WORK WITHOUT A PERMIT,30729,830,3843.0,,,
CLASS - 1,,"UNLAWFUL ACATS:FAILURE TO COMPLY W/A COMMISSIONER'S ORDER TO CORRECT A HAZARDOUS VIOLATING CONDITION AS STATED IN VIO#34623510M,ISSUED ON 12/18/07 FOR THE ILLEGAL ALTERATION & OCCUPANCY FOR A DWELLING TO HAVE O",187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1725592,830,505.0,,,
CLASS - 1,,"UNLAWFUL ACTS; FAILURE TO COMPLY W/A COMMISSIONER'S ORDER TO CORRECT VIOLATION #34547830J, ISSUED 2.23.07 FOR INSTALLING WATER SUPPLY & WASTE LINES FOR A 3 PC BATHROOM & A GAS LINE FOR STOVE IN AN ATTIC W/O",187,2400,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1763379,830,149.0,,,
Non-Hazardous,,WORK W/ O PERMIT WORK NOTED SCREEN ROOM CONSTRUCTED AND WOOD DECK AT REAR OF HOUSE SCREEN ROOM APPROX 25X15 DECK APPROX 25X25 REMEDY OBTAIN A PERMIT OR RESTORE PREMISE TO PRIOR LEGAL CONDITION,B04,250,250,27-147                                                                      WORK WITHOUT A PERMIT,1690577,1030,5691.0,,,
Non-Hazardous,,GAS BEING SUPPLIED TO BUILDING (APT. A4) WITHOUT INSPECTION AND CERTI-FICATION BY THIS DEPARTMENT. FOUND GAS ON AND WHAT APPEARS TO BE NEW  LOCKWING GAS COCK IN OPEN POSITION. REMEDY: FILE FOR REQUIRED PERMITS,BC2,2500,3770,27-904                                                                      GAS SUPPLIED TO BUILDING WITH OUT INSPECT/CERT BY THIS DEPT,1369486,1030,3199.0,,,
CLASS - 2,,FAILURE TO MAINTAIN BUILDING IN CODE-COMPLIANT MANNER. NOTED: ALL DOORS ARE BROKEN OPEN-(3) LEADING INTO BLDG WINDOWS ARE BROKEN & GLASS IS SCATTERED UNTO PUBLIC WALKWAY; BLDG IS OPEN & UNGUARDED ALLOWING ACCES,202,2500,0,28-301.1                                                                    FAILURE TO MAINTAIN BLDG IN CODE-COMPLIANT MANNER,1726437,850,198.0,,,
CLASS - 1,,FAILURE TO COMPLY W/ THE COMMS ORDER TO OBTAIN A PERMIT PER VIOLATION #34651192Y ISSUED 5/23/08 FOR WORK W/O PERMIT CELLAR LVL REM: OBTAIN PERMIT,187,2400,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1705737,830,13154.0,,,
Hazardous,,EXIT PASSAGE 1 DOOR TOTAL OBSTRUCTION AT BASEMENT LEVEL EXIT PASSAGEWAY FROM STORE TOTAL OBSTRUCTION DEFECT NOTED AT EXIT DOOR BLOCKED WITH STORE MERCHANDISE ON OUTSIDE OF DOOR ON INSIDE OF DOOR SHELVER,B11,480,480,27-369                                                                      EXIT PASSAGEWAY OR CORRIDOR: TOTAL OBSTRUCTION,1652268,1030,1283.0,,,
Non-Hazardous,,ILLEGAL USE IN RESIDENTIAL DISTRICT.ILLEGAL STORAGE OF 1 UNLIC MOTOR VEHICLE UNDER GREEN TARP-AT SIDE FRONT YARD. R4 DISTRICT. REMEDY:DISCONTINUE ILLEGAL USE FORTHWITH.,B54,480,0,22-00                                                                       ILLEGAL USE IN RESIDENTAL DISTRICT,1532237,830,5579.0,,,
CLASS - 1,,"FAILURE TO COMPLY WITH THE COMMISSIONERS ORDER TO OBTAIN A PERMIT PER VIOLATION #34583945H,ISSUED 6/26/07 FOR ""WORK W/O PERMIT"" CELLAR LEVEL. SEE PRIOR NOV #34770603L ISSUED 3/28/09. REMEDY: OBTAIN PERMIT.",187,12000,2400,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1704887,830,511.0,,,
CLASS - 1,,"UNLAWFUL ACTS FAIL TO COMPLY W/AN ORDER OF THE COMM'S NOTED:RESP FAIL TO CORRECT THE CONDITIONS CITED IN THE PRIOR NOV#34778238Z, HAVING CONVERTED THE 1ST FLR OF THE BLDG INTO A STORE INVOLVING GENERAL CONSTRUC",187,0,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,19680,830,3783.0,,,
CLASS - 1,,"FAILURE TO COMPLY W/COMMISSIONER'S ORDER TO CORRECT ECB #34757630K FORILLEGAL EXTENSION AT REAR YARD. NO RECORD OF CORRECTION W/DOB. REMEDY:COMPLY W/ORDER, OBTAIN PERMIT.",187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1668494,830,1255.0,,,
CLASS - 2,,FAILURE TO MAINTAIN BLDG IN CODE COMPLIANT MANNER PROVIDE REQUIRED CORRIDOR WIDTH PER BC 1016.2 NOTE:EXIT CORRIDOR STAIRWAY TO ROOF EGESS WIDTH DECREASED BY MILK CRATES GARBAGE GABS AND MISC. ITEMS ON STAIRWELL,221,250,250,BC 1016.2                                                                   FAILURE TO MAINTAIN BUILDING IN CODE-COMPLIANT MANNER: PROVIDE  CORRID,28968,800,5037.0,,,
CLASS - 3,,WORK W/O A PERMIT WORK NOTED:AT REAR OF TEH PREMISES ERRECTED A WOODEN SHED & ATTACHED TO THE HOUSE SHED IS APPROX. 12'W X 14'L X 10'H SHED HAS SHINGLES ON THE ROOF & GUTTER & LEADER ATTACHED TO THE ROOF SHED I,301,0,0,28-105.1                                                                    WORK WITHOUT A PERMIT,20060,830,10490.0,,,
CLASS - 1,,FAILURE TO COMPLY W/ THE COMMS ORDER TO OBTAIN A PERMIT PER NOV #34654201K ISSUED 6/2/08 FOR WORK W/O PERMIT CELLAR LVL REM: OBTAIN PERMIT,187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1705703,830,13022.0,,,
Non-Hazardous,,RESIDENCE ALTERED FOR OCCUPANCY AS A DWELLING FOR MORE THAN THE LEGALLY APPROVED NUMBER OF FAMILIES. BUILDING DEPARTMENT RECORDS INDICATE RESIDENCE LEGALLY APPROVED FOR ONE FAMILY. RESIDENCE NOW ALTERED FOR OCC,BQ5,800,0,27-118.1                                                                    RESIDENCE ALTERED FOR OCCUPANCY BY MORE THAN LEGALLY APPROVED NUM,1145224,830,5390.0,,,
CLASS - 3,,"WIRE GLASS IN DOOR LIGHTS REPLACED W/ PLEXIGLASS LOCATION. C-114, C-115 REMEDY: INSTALL WIRE GLASS",302,0,0,28-301.1                                                                    FAILURE TO MAINTAIN BLDG IN CODE-COMPLIANT MANNER,393230,830,683.0,,,
CLASS - 2,,SIDEWALK SHED DOES NOT MEET CODE SPECIFICATIONS. SIDEWALK SHED ERECTEDUNDER PERMIT #110039404 HAS INOPERABLE/NOT LIT LIGHT FIXTURES AT UNDERSIDE OF SHED. NOTED: OBSERVED AT 9:20PM NO LIGHT FIXTURES INSTALLED AT,223,2400,2472,"BC 3307.6,27-1021                                                           SIDEWALK SHED DOES NOT MEET CODE SPECIFICATIONS",20653,830,1750.0,,,
CLASS - 1,,UNLAWFUL ACTS. FAILURE TO COMPLY WITH THE COMMISSIONER'S ORDER TO FILE A CERTIFICATE OF CORRECTION WITH THE DEPT OF BUILDINGS FOR NOTICE OF VIOLATION #34477564P/040805C07JG06. REMEDY: COMPLY WITH THE COMMISSION,187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1704264,1030,4541.0,,,
CLASS - 2,,OCCUPANCY CONTRARY TO C/O. ILLEGAL OCCUPANCY NOTED. C/O #108852 INDICATES OCCUPANCY AT 1ST FLR TO BE 50 PERSONS AT TIME OF INSPECTION THERE WERE APPROX: 70 PERSONS AT 1ST FLR LEVEL. REMEDY: DISCONTINUE ILLEGAL,203,0,0,28-118.3.2                                                                  OCC CONTRARY TO THAT ALLOWED BY THE C OF O OR DOB RECORDS,5418,1030,933.0,,,
CLASS - 2,,FAILURE TO FILE AN AMENDED SIXTH ROUND REPORT ACCEPTABLE TO THIS DEPT INDICATING CORRECTION OF UNSAFE CONDITIONS DESCRIBED IN INITIAL LOCAL LAW 11/98 REPORT.REMEDY:FILE AN AMENDED REPORT FOLLOWING REMEDIAL REPA,227,400,400,28-302.5                                                                    FAILURE TO FILE AN AMENDED REPORT ACCEPTABLE TO THIS DEPARTMENT INDICA,15231,1030,1602.0,,,
Non-Hazardous,,FAILURE TO COMPLY WITH COMMISSIONERS ORDER TO CORRECT VIOLATING CONDITION AND FILE A C OF C WITH NYC DOB FOR NOTICE OF ECB VIO 344855854 34485586X REMEDY: CORRECT VIOLATING CONDITION AND FILE A C OF C AS REQUIR,B9A,500,0,26-126.3(A)                                                                 FAIL TO COMPLY WITH COMM'S ORDER TO FILE C OF C WITH DOB VIOL#,1729287,1030,2089.0,,,
Non-Hazardous,,"FAILURE TO PROVIDE CONTRACTORS SIGN. NOTE: PERMIT HOLDER AT SITE OF ALTERATION/DEMOLITION NOW W/O THE REQUIRED DOB CONTRACTORS SIGN W/NAME, ADDRESS, PHONE NUMBERS OF OWNER & CONTRACTOR. REMEDY: PROVIDE",B1H,500,750,27-1009(C)                                                                  FAILURE TO PROVIDE CONTRACTOR'S SIGN,1721109,830,7154.0,,,
CLASS - 1,,UNLAWFUL ACTS FAILURE TO COMPLY W/ AN ORDER OF THE COMMISSIONER TO FILE A C OF C W/ THE DON FOR NOTICE OF VIO # 34631110N ISSUED ON 1/25/08 @ TIME OF INSPECTION CERTIFICATION STATUS W/ OVERDUE COMPLIANCE,187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1705649,830,4003.0,,,
CLASS - 1,,"FAILURE TO COMPLY W/THE COMMISSIONER'S ORDER TO OBTAIN A PERMIT PER ECB#34775932P,ISSUED ON 06/10/2009, FOR WORK W/O PERMIT:@ CELLAR,INSTALLED ROUGHING & PIPING TO SUPPORT RESIDENTIAL SINK,GAS STOVE, & 3PC BATH",187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1672486,1030,6071.0,,,
CLASS - 1,,UNLAWFUL ACTS FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER TO FILE A C OF C FOR NOTICE OF VIO # 34641895L ISSUED 3/24/08 FOR FAILURE TO MAINTAIN EXT BLDG WALL AT TIME OF INSPECTION CERTIFICATION STATUS,187,2400,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1155973,830,16185.0,,,
CLASS - 2,,WORK DOES NOT CONFORM TO APPROVED PLANS. NOTED: ALL FLOOR JOIST ARE 2  X 8 NOT 2 X 12 AS PER PLAN. NORTH WALL IS 2 X 4 NOT 2 X 6 AS PLAN. 2(2 X 12) BEAM AND 4 X 4 WOOD COLUMN NOT ON PLAN. WHICH WAS ERECTED UNDE,282,500,500,28-105.12.2                                                                 WRK DOESN'T CONFORM TO APPROV DOCS AND/OR APPROV AMENDMENTS,26811,800,7462.0,,,
CLASS - 1,,FAILURE TO COMPLY W/COMMISSIONER'S ORDER TO CORRECT VIO # 34734734N   FOR WORK W/O PERMIT AT BSMT INSTALLED 1 ILLEGAL CLASS 'A'APT NO RECORDOF CORRECTION REMEDY:COMPLY W/COMM'S ORDER AND OBTAIN PERMIT,187,2400,3000,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1704488,830,7970.0,,,
CLASS - 1,,FAILURE TO COMPLY W/COMM'S ORDER TO CORRECT CONDITIONS CITED IN NOV 34775742Y FOR WORK DONE W/O A PERMIT. CREATED APT AT CELLAR W/O A PERMIT. REMEDY: CORRECT VIOLATION,187,0,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,10903,830,3978.0,,,
