payment_id,contract_id_,revised_contract_start_date,payment_recipient,project_status,stimulus_funding,award_lead_city_agency,contract_value,contract_method,funding_source,revised_contract_end_date,actual_completion_date,_of_funds_spent,project_lead_city_agency,stimulus_tracker_id,payment_description
3051.0,9010865,,P.C. RICHARD & SON,Less than 50% completed,23724959.81,NYCHA,,Competitive Sealed Bid,Public Housing Capital Fund Recovery Grant (Formula),,,0.1,NYCHA,109004.0,ENERGY EFFICIENT REFRIGERATORS
,841 BRC270C/P,,,Less than 50% completed,30000000.0,DOT,508612678.0,Competitive Sealed Bid,Surface Transportation Program,,,0.0,DOT,101002.0,
490.0,,,SBS,Completed 50% or more,10792203.0,SBS,,,Workforce Investment Act - Adult and Dislocated Worker,,,0.05,SBS,301013.0,PS
3876.0,,,Parks Graffiti Removal Crew,Completed 50% or more,388264.0,OMB,,,Community Development Block Grant (CDBG),,,1.33,DPR,703009.0,Parks Graffiti Removal Crew  - Personnel Costs
,20101005863,,,Less than 50% completed,2525000.0,OMB,130000.0,Competitive Sealed Bid,Community Development Block Grant (CDBG),,,0.0,HPD,703001.0,
9025.0,,,,Completed 50% or more,323619.0,DFTA,,,Senior Community Service Employment Program,,,0.12,DFTA,303002.0,wages and fringes
10584.0,7105782,,"BOOKSOURCE, INCORPORATED                ",Less than 50% completed,707717837.0,DOE,110000000.0,Competitive Sealed Bid,Title 1 Grants,,,0.0,DOE,501001.0,TRADE BOOKS                             
333900.00%,7015024-0005,,"HAKS ENGINEERS AND LANDSURVEYORS, P.C.",Less than 50% completed,3811642.0,NYCHA,44704.0,Competitive Sealed Proposal (RFP),Public Housing Capital Fund Recovery Grant (Formula),,,0.96,NYCHA,109083.0, CM STAFFING 
13040.0,7000288,,ABRAMS COMPANY PUBLISHERS               ,Less than 50% completed,316603358.0,DOE,15000.0,Listing Application,Special Education (IDEA),,,0.0,DOE,501002.0,TEXTBKS/TEACHER                         
16249.0,,,ARRA Admin,Less than 50% completed,3224694.0,DYCD,,,Workforce Investment Act - Youth,,,3.82,DYCD,301014.0,Administrative Costs
14843.0,,,,Less than 50% completed,14591526.0,DOE,,,Special Education (IDEA) - Pre-School,,,3.6,DOE,501004.0,Personal Service
,,,,Less than 50% completed,13852850.0,DEP,,,Clean Water State Revolving Fund - DEP,,,0.0,DEP,107009.0,
,841 HBM1159,,,Less than 50% completed,1500000.0,DOT,16833567.0,Competitive Sealed Bid,Surface Transportation Program,,,0.0,DOT,101006.0,
