address_1,alert_meter_has_gaps,energy_star_certification_5,district_chilled_water_use,other_weekly_operating_hours,residence_hall_dormitory,green_power_onsite_kwh,avoided_emissions_offsite,multifamily_housing_gross,retail_store_percent_that,laboratory_gross_floor_area,generation_date,multifamily_housing_number_1,retail_store_walk_in,convenience_store_without,college_university_number,green_power_offsite_kwh,national_median_total_ghg,fuel_oil_no_5_and_no_6_cost,estimated_data_flag_district,fuel_oil_no_4_cost,hotel_gross_floor_area_ft,financial_office_gross_floor,financial_office_weekly,enclosed_mall_gross_floor,electricity_use_generated,office_computer_density_number,municipally_supplied_potable_2,postcode,diesel_2_use_kbtu,propane_use_kbtu,egrid_output_emissions_rate,museum_gross_floor_area_ft,percent_of_total_electricity,energy_cost_intensity_ft,source_eui_kbtu_ft,latitude,indirect_ghg_emissions_metric,other_number_of_computers,water_use_all_water_sources,site_eui_kbtu_ft,medical_office_weekly,parking_gross_floor_area,retail_store_number_of_open,district_hot_water_use_kbtu,veterinary_office_gross_floor,hospital_general_medical_10,date_property_last_modified,multifamily_housing_number_2,alert_gross_floor_area_is,weather_normalized_source_1,energy_star_certification_4,city,office_number_of_computers,number_of_buildings,percent_of_recs_retained,national_median_source_energy,adult_education_gross_floor,refrigerated_warehouse_gross,hotel_gym_fitness_center,weather_normalized_site_2
3 E 28th St,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,70,Not Available,2015-04-22T15:14:38.000,Not Available,0,Not Available,Not Available,0,556,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5.6781,Not Available,10016,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,141.8,40.744541,146.4,Not Available,Not Available,73.1,Not Available,Not Available,0,Not Available,Not Available,Not Available,11/26/2014 02:32 PM EST,Not Available,Ok,Not Available,Not Available,New York,278,1,Not Available,13711803.3,Not Available,Not Available,Not Available,23.4
721-739 Amsterdam Ave.,Ok,No,Not Available,Not Available,Not Available,Not Available,0,187427,100,Not Available,2015-05-01T19:36:39.000,Not Available,0,Not Available,Not Available,0,1414.9,Not Available,Not Available,493272.24,Not Available,5020,65,Not Available,Not Available,Not Available,Not Available,10025,Not Available,Not Available,82.9,Not Available,Not Available,2.48,202.6,40.793523,411.2,Not Available,Not Available,147.9,65,36204,1,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,Not Available,Ok,38961625.6,Not Available,New York,Not Available,1,Not Available,25486635.9,Not Available,Not Available,Not Available,7286.6
525 East 68th Street,Ok,Yes,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-06-15T16:54:49.000,Not Available,Not Available,Not Available,Not Available,0,54263.3,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10021,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,375.3,40.764149,-23794.3,Not Available,Not Available,325,Not Available,Not Available,Not Available,Not Available,Not Available,No,02/24/2015 01:42 PM EST,Not Available,Ok,1116883061,Not Available,New York,Not Available,12,Not Available,1227649553,Not Available,Not Available,Not Available,12670299.7
166-05 HIGHLAND AVE PLP,Ok,No,Not Available,Not Available,Not Available,Not Available,0,167857,Not Available,Not Available,2015-04-30T16:29:39.000,Not Available,Not Available,Not Available,Not Available,0,965.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11432,Not Available,Not Available,82.9,Not Available,Not Available,0,118.2,40.71119,204.9,Not Available,Not Available,83.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/15/2015 04:42 PM EDT,Not Available,Ok,19391243,Not Available,Queens,Not Available,1,Not Available,23476893.5,Not Available,Not Available,Not Available,111932.3
114  West  47th  st,Ok,Yes,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-30T10:24:52.000,Not Available,Not Available,Not Available,Not Available,0,4664.7,Not Available,No,Not Available,Not Available,345688,84,Not Available,Not Available,1.76459,Not Available,10036,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,164.6,40.75831,2961.2,Not Available,Not Available,67.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:15 PM EDT,Not Available,Ok,91244404.9,Not Available,Manhattan,400,1,Not Available,148391357.4,Not Available,Not Available,Not Available,Not Available
301 Park Avenue,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-06-15T17:32:43.000,Not Available,Not Available,Not Available,Not Available,0,12776.8,Not Available,No,Not Available,1600000,Not Available,Not Available,Not Available,Not Available,Not Available,128047.8,10022,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,273.2,40.756648,15943.8,Not Available,128047.8,141.2,Not Available,14000,Not Available,Not Available,Not Available,Not Available,06/09/2015 03:24 PM EDT,Not Available,Ok,432570072.3,Not Available,New York,Not Available,1,Not Available,342042250.2,Not Available,Not Available,Not Available,72674.3
230 Park Avenue,Ok,Yes,Not Available,Not Available,Not Available,Not Available,0,Not Available,100,Not Available,2015-04-17T18:18:38.000,Not Available,0,Not Available,Not Available,0,13793.6,Not Available,No,Not Available,Not Available,382323,60,Not Available,Not Available,5.86444,Not Available,10169,Not Available,Not Available,82.9,Not Available,Not Available,2.13,212.6,40.754508,9522.7,Not Available,22661,99.8,Not Available,Not Available,11,Not Available,Not Available,Not Available,09/03/2014 11:17 PM EDT,Not Available,Ok,271790086.5,Not Available,New York City,5240,1,Not Available,395929225.8,Not Available,Not Available,Not Available,12338.1
432 West 58th Street,Ok,No,Not Available,168,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-28T10:32:15.000,Not Available,Not Available,Not Available,Not Available,0,565.8,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10019,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,572.6,40.76904,2631.3,50,Not Available,360.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,Not Available,Ok,58512066.3,Not Available,New York,Not Available,0,Not Available,12905547.1,Not Available,Not Available,Not Available,0
3291 NOSTRAND AVE ENTM,Ok,No,Not Available,Not Available,Not Available,Not Available,0,89004,Not Available,Not Available,2015-04-30T16:29:39.000,Not Available,Not Available,Not Available,Not Available,0,511.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11229,Not Available,Not Available,82.9,Not Available,Not Available,0,152.6,40.603898,150.9,Not Available,Not Available,104.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/15/2015 04:42 PM EDT,Not Available,Ok,13411073.2,Not Available,Brooklyn,Not Available,1,Not Available,12647354.1,Not Available,Not Available,Not Available,73317.4
300 Baychester Avenue,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,80,Not Available,2015-07-16T17:32:06.000,Not Available,0.00746,Not Available,Not Available,0,790.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1127,10475,Not Available,Not Available,82.9,Not Available,Not Available,2.6,152.8,40.866538,528.6,Not Available,1127,50.9,Not Available,Not Available,7,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,Not Available,Ok,20516391.8,Not Available,Bronx,Not Available,1,Not Available,29315553.7,Not Available,Not Available,Not Available,3810.4
39 Broadway,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-26T12:41:39.000,Not Available,Not Available,Not Available,Not Available,0,3697.1,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.00026,Not Available,10006,Not Available,Not Available,82.9,Not Available,Not Available,1.45,186,40.706251,2661.4,Not Available,Not Available,77.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/15/2015 04:36 PM EDT,Not Available,Ok,82338172.2,Not Available,New York,895,1,Not Available,115639971.8,Not Available,Not Available,Not Available,Not Available
4 East 60th Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-05-01T11:04:19.000,Not Available,Not Available,Not Available,Not Available,0,604.5,Not Available,Yes,Not Available,57000,Not Available,Not Available,Not Available,Not Available,Not Available,6186.7,10022,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,341.2,40.76472,587.4,Not Available,6186.7,161.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,Not Available,Ok,Not Available,Not Available,New York,Not Available,1,Not Available,17658819.2,Not Available,Not Available,5700,Not Available
161 Williams St,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-28T15:12:28.000,Not Available,Not Available,Not Available,250,0,1542.2,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9.93822,Not Available,10038,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,179.3,,1053,Not Available,Not Available,72.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:18 PM EDT,Not Available,Ok,32905687.6,Not Available,New York,600,1,Not Available,49240351.2,Not Available,Not Available,Not Available,Not Available
645 5th Avenue,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-27T14:28:26.000,Not Available,Not Available,Not Available,Not Available,0,3357.7,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.03922,Not Available,10022,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,329.6,40.759133,3866.9,Not Available,Not Available,135.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,Not Available,Ok,119320584.7,Not Available,New York,1500,1,Not Available,106273008.6,Not Available,Not Available,Not Available,Not Available
188 Ludlow St.,Ok,No,Not Available,Not Available,Not Available,Not Available,0,210043,Not Available,Not Available,2015-04-28T15:24:13.000,61,Not Available,Not Available,Not Available,0,1016.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,640955.4,10002,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,128.7,40.721992,450.3,Not Available,640955.4,71.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,15,Ok,27029900.9,Not Available,New York,Not Available,1,Not Available,28761499.8,Not Available,Not Available,Not Available,95061.9
51 Madison Avenue,Ok,Yes,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-28T20:13:50.000,Not Available,Not Available,Not Available,Not Available,0,16253.3,Not Available,No,Not Available,Not Available,155006,75,Not Available,Not Available,4.83146,Not Available,10010,Not Available,Not Available,82.9,Not Available,Not Available,2.97,215.7,40.743023,11334.2,Not Available,Not Available,100.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/28/2015 08:13 PM EDT,Not Available,Ok,319796341.3,Not Available,New York,6565,1,Not Available,468209326.1,Not Available,Not Available,Not Available,Not Available
605 Park Avenue,Ok,No,Not Available,Not Available,Not Available,Not Available,0,181000,Not Available,Not Available,2015-04-29T11:36:03.000,0,Not Available,Not Available,Not Available,0,911.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10065,Not Available,Not Available,82.9,Not Available,Not Available,0,133.9,40.766228,296,Not Available,Not Available,88.3,0,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,13,Ok,23402270.5,Not Available,New York,Not Available,1,Not Available,23133501.3,Not Available,Not Available,Not Available,116897.7
8973 Bay Parkway Suite 1,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,100,Not Available,2015-04-08T15:20:31.000,Not Available,0,Not Available,Not Available,0,846.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.9,11214,Not Available,Not Available,82.9,Not Available,Not Available,2.37,168.4,40.595105,528.2,Not Available,8.5,65.6,Not Available,Not Available,0,Not Available,Not Available,Not Available,09/03/2014 11:16 PM EDT,Not Available,Ok,22221601.4,Not Available,Brooklyn,Not Available,1,Not Available,29065525.9,Not Available,Not Available,Not Available,22463.7
845 Third Avenue,Ok,No,Not Available,40,Not Available,Not Available,0,Not Available,100,Not Available,2015-04-30T12:29:27.000,Not Available,0,Not Available,Not Available,0,3333.7,Not Available,No,Not Available,Not Available,9100,45,Not Available,Not Available,3.34,3978.6,10022,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,223.8,40.756688,2698.7,0,3978.6,106.4,Not Available,Not Available,0,Not Available,Not Available,Not Available,04/29/2015 05:48 PM EDT,Not Available,Ok,75718696.6,Not Available,New York,1050,1,Not Available,94639926.6,Not Available,Not Available,Not Available,Not Available
44 Division St,Ok,No,Not Available,Not Available,Not Available,Not Available,0,1169840,Not Available,Not Available,2015-04-30T14:09:36.000,0,Not Available,Not Available,Not Available,0,4799.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10002,Not Available,Not Available,82.9,Not Available,Not Available,0,127.7,40.714138,3325.1,Not Available,Not Available,56.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,38,Ok,148987534.9,Not Available,New York,Not Available,1,Not Available,154770068.4,Not Available,Not Available,Not Available,281673.6
235 West 76th Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,165000,Not Available,Not Available,2015-04-17T13:52:50.000,76,Not Available,Not Available,Not Available,0,1182.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5375.2,10023,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,130.8,40.781948,325.9,Not Available,5375.2,81.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,6,Ok,21652553.9,Not Available,New York,Not Available,1,Not Available,24713233.6,Not Available,Not Available,Not Available,3249.5
6 East 45th St,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-20T13:31:28.000,Not Available,Not Available,Not Available,Not Available,0,549.2,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.40419,7209.2,10017,Not Available,Not Available,82.9,Not Available,Not Available,6.02,372.8,40.755219,703.6,Not Available,7209.2,185.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/20/2015 01:14 PM EDT,Not Available,Ok,25225613.2,Not Available,New York,209,0,Not Available,15753089.2,Not Available,Not Available,Not Available,35714
322 W 72 Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,107376,Not Available,Not Available,2015-04-30T14:09:49.000,16,Not Available,Not Available,Not Available,0,626.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10023,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,98.3,40.780153,124.9,Not Available,Not Available,65.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,4,Ok,10569308.9,Not Available,New York,Not Available,1,Not Available,15373898.6,Not Available,Not Available,Not Available,51240.5
110 Wall Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-30T12:29:23.000,Not Available,Not Available,Not Available,Not Available,0,2399.4,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.01025,273.3,10005,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,50.2,40.704638,671.3,Not Available,273.3,33.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/29/2015 05:08 PM EDT,Not Available,Ok,13045028.3,Not Available,New York,3,1,Not Available,52553910.7,Not Available,Not Available,Not Available,Not Available
100 West 33rd Street,Ok,No,Not Available,85,Not Available,Not Available,0,Not Available,100,Not Available,2015-04-30T19:13:23.000,Not Available,0,Not Available,Not Available,0,7498.7,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.80622,16393.3,10001,Not Available,Not Available,82.9,Not Available,Not Available,1.93,175.4,40.7493,4718.7,22,16393.3,56.4,Not Available,Not Available,0,Not Available,Not Available,Not Available,09/03/2014 11:18 PM EDT,Not Available,Ok,176518630.8,Not Available,New York,2160,0,Not Available,282087177.9,Not Available,Not Available,Not Available,Not Available
1067 Madison Avenue,Ok,No,Not Available,Not Available,Not Available,Not Available,Not Available,49822,60.87,Not Available,2015-03-18T16:22:18.000,Not Available,0,Not Available,Not Available,Not Available,208.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,10028,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,Not Available,40.777425,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,Not Available,Ok,Not Available,Not Available,New York,0,1,Not Available,6892878.5,Not Available,Not Available,Not Available,Not Available
585 Dekalb Avenue,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,70,Not Available,2015-07-10T08:54:17.000,Not Available,0,Not Available,Not Available,0,1093.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.47619,Not Available,11205,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,230.5,40.691223,882.5,Not Available,Not Available,89.6,Not Available,105000,0,Not Available,Not Available,Not Available,07/10/2015 08:49 AM EDT,Not Available,Ok,36496564.9,Not Available,Brooklyn,156,1,Not Available,37574822.2,Not Available,Not Available,Not Available,34398.4
193-15 73 Ave,Ok,No,Not Available,Not Available,Not Available,Not Available,0,16000,Not Available,Not Available,2015-04-24T12:08:25.000,Not Available,Not Available,Not Available,Not Available,0,86.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11365,Not Available,Not Available,82.9,Not Available,Not Available,4.32,594.6,40.734358,88.5,Not Available,Not Available,433.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/15/2015 04:41 PM EDT,Not Available,Ok,9511075.9,Not Available,Fresh Meadows,Not Available,1,Not Available,2046883,Not Available,Not Available,Not Available,58703.9
190-17 69 Ave,Ok,No,Not Available,Not Available,Not Available,Not Available,0,13800,Not Available,Not Available,2015-04-24T12:08:26.000,Not Available,Not Available,Not Available,Not Available,0,149.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11365,Not Available,Not Available,82.9,Not Available,Not Available,5.56,764.4,40.736053,98.1,Not Available,Not Available,557.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/15/2015 04:41 PM EDT,Not Available,Ok,10565191,Not Available,Fresh Meadows,Not Available,1,Not Available,3545751.5,Not Available,Not Available,Not Available,65084.8
111 Barrow Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,83170,Not Available,Not Available,2015-07-31T14:52:06.000,0,Not Available,Not Available,Not Available,0,356,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10014,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,115,40.731789,179.3,Not Available,Not Available,62.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,05/04/2015 03:24 PM EDT,14,Ok,Not Available,Not Available,New York,Not Available,1,Not Available,10193012.3,Not Available,Not Available,Not Available,35154.5
375 Park Avenue,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-30T12:38:27.000,Not Available,Not Available,Not Available,Not Available,0,7151.6,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.26367,Not Available,10022,Not Available,Not Available,82.9,Not Available,Not Available,2.08,497.9,40.758786,13149.3,Not Available,Not Available,218.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/15/2015 04:45 PM EDT,Not Available,Ok,394121560.7,Not Available,New York,1800,1,Not Available,215346385,Not Available,Not Available,Not Available,Not Available
395 Fort Washington Ave,Ok,No,Not Available,Not Available,Not Available,Not Available,0,66325,Not Available,Not Available,2015-04-28T16:41:41.000,Not Available,Not Available,Not Available,Not Available,0,261.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.47602,Not Available,10033,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,Not Available,40.848619,55.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,1,Ok,Not Available,Not Available,New York,2,1,Not Available,8658315.1,Not Available,Not Available,Not Available,Not Available
61-27 223 PLACE,Ok,No,Not Available,Not Available,Not Available,Not Available,Not Available,12150,Not Available,Not Available,2015-04-30T11:04:40.000,Not Available,Not Available,Not Available,Not Available,Not Available,47,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11364,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,Not Available,40.749029,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/29/2015 12:48 PM EDT,Not Available,Ok,Not Available,Not Available,Oakland Gardens,Not Available,1,Not Available,1554351.8,Not Available,Not Available,Not Available,11247.9
513 W56th St,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-05-01T23:56:23.000,Not Available,Not Available,Not Available,Not Available,0,1544.6,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.91818,Not Available,10019,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,746.8,40.768656,4122.9,Not Available,798.7,286.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/19/2015 04:58 PM EDT,Not Available,Ok,136936421.9,Not Available,New York,455,1,Not Available,51399425.8,Not Available,Not Available,Not Available,Not Available
2510 Ocean Parkway,Ok,No,Not Available,Not Available,Not Available,Not Available,0,62104,Not Available,Not Available,2015-05-18T14:10:50.000,10,Not Available,Not Available,Not Available,0,321.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3273.4,11235,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,132.8,40.5886,100.4,Not Available,3273.4,88.4,54,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,3,Ok,8193691.4,Not Available,Brooklyn,Not Available,1,Not Available,8111285.7,Not Available,Not Available,Not Available,41835.9
1919 Williamsbridge Road,Ok,No,Not Available,60,Not Available,Not Available,0,82200,100,Not Available,2015-04-30T20:24:18.000,14,0,Not Available,Not Available,0,614.8,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,14745.8,10461,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,182.1,40.852799,128.9,1,14745.8,141.1,Not Available,Not Available,0,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,40,Ok,15027480.2,Not Available,Bronx,Not Available,1,Not Available,10944427.6,Not Available,Not Available,Not Available,20139.3
150 Brighton 15th St.,Ok,No,Not Available,Not Available,Not Available,Not Available,0,62500,Not Available,Not Available,2015-05-18T14:10:49.000,0,Not Available,Not Available,Not Available,0,414.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11235,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,117.3,40.578106,59.5,Not Available,Not Available,89.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/27/2015 12:17 PM EDT,7,Ok,7188306.5,Not Available,Brooklyn,Not Available,1,Not Available,9163686.3,Not Available,Not Available,Not Available,41052.7
290 3rd Avenue,Ok,No,Not Available,63.51,Not Available,Not Available,0,180900,Not Available,Not Available,2015-04-24T11:18:52.000,166,Not Available,Not Available,Not Available,0,807.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6127.5,10010,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,111.9,40.73848,341.3,1,6127.5,62.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,0,Ok,20650985.3,Not Available,New York,Not Available,1,Not Available,22648199.2,Not Available,Not Available,Not Available,72564.8
4-12 49th Avenue,Ok,No,Not Available,Not Available,Not Available,Not Available,0,73639,Not Available,Not Available,2015-04-29T09:59:36.000,0,Not Available,Not Available,Not Available,0,404.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11101,Not Available,Not Available,82.9,Not Available,Not Available,1.56,112.5,40.743943,71.1,Not Available,Not Available,84,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,10,Ok,8020590.4,Not Available,Long Island City,Not Available,1,Not Available,9469316.5,Not Available,Not Available,Not Available,50748.7
595 West End Ave,Ok,No,Not Available,Not Available,Not Available,Not Available,0,53190,Not Available,Not Available,2015-04-30T14:09:58.000,20,Not Available,Not Available,Not Available,0,386.9,Not Available,Not Available,26256.08,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10024,Not Available,Not Available,82.9,Not Available,Not Available,0.48,154.3,40.790637,102.8,Not Available,Not Available,105.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,5,Ok,8229575.4,Not Available,New York,Not Available,1,Not Available,7407772.6,Not Available,Not Available,Not Available,1081.4
30 Rockefeller Plaza,Ok,No,-201015305.8,Not Available,Not Available,Not Available,0,Not Available,100,Not Available,2015-04-30T10:32:56.000,Not Available,0,Not Available,Not Available,0,25227.6,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6.19104,Not Available,10111,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,432.5,40.758754,34711.2,Not Available,Not Available,131.9,Not Available,Not Available,21,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,Not Available,Ok,1256269479,Not Available,New York,14187.54,1,Not Available,915185781.3,Not Available,Not Available,Not Available,Not Available
65 East 55th Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-03-12T13:04:42.000,Not Available,Not Available,Not Available,Not Available,0,5469.7,Not Available,No,Not Available,Not Available,287098,63.5,Not Available,Not Available,2.8376,Not Available,10022,Not Available,Not Available,82.9,Not Available,Not Available,5.07,217.4,40.760718,3981.2,Not Available,9878,81.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,03/12/2015 01:01 PM EDT,Not Available,Ok,133390466.5,Not Available,New York,883,1,Not Available,185054067.3,Not Available,Not Available,Not Available,Not Available
106 Columbus,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-24T09:43:28.000,Not Available,Not Available,Not Available,Not Available,Not Available,1265.3,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10023,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,Not Available,,1093.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/08/2015 11:25 AM EDT,Not Available,Ok,Not Available,Not Available,New York,Not Available,1,Not Available,41762313.2,Not Available,Not Available,Not Available,Not Available
21-66 33rd Road,Ok,No,Not Available,Not Available,Not Available,Not Available,Not Available,836530,Not Available,Not Available,2015-03-23T12:47:09.000,0,Not Available,Not Available,Not Available,Not Available,3235.8,1682081.59,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11106,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,Not Available,40.762949,Not Available,Not Available,44827.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,84,Ok,Not Available,Not Available,Long Island City,Not Available,1,Not Available,107017440.4,Not Available,Not Available,Not Available,26050
