job__,bin__,total_est_fee,owner_type,initial_cost,fee_status,sign_dist_from_highway,pre_filing_date,sign_illumination,job_description,job_type,sign_height_curb,sign_non_conforming,sign_sq_footage,sign_projection,house__
421565087,4050444,273.9,2,17082,STANDARD,0,2017-10-12T00:00:00.000,Y,"ERECT ILLUMINATED ACCESSORY BUSINESS SIGN ON WALL.  NOT WITHIN VIEW OF ARTERIAL HIGHWAY OR PUBLIC PARK 1/2 ACRE OR MORE.  NO CHANGE IN USE, EGRESS OR OCCUPANCY.",SG,224, ,146,6,97-01       
122939589,1034496,120.0,2,3276,STANDARD,0,2017-09-06T00:00:00.000,Y,"ERECT ILLUMINATED ACCESSORY INTERIOR WINDOW SIGN. NOT WITHIN VIEW/200' OF ARTERIAL HIGHWAY OR PUBLIC PARK OF 1/2 ACRE OR MORE.  NO CHANGE IN USE, EGRESS OR OCCUPANCY.",SG,114, ,28,0,38          
321624220,3133536,120.0,2,3450,STANDARD,0,2017-09-19T00:00:00.000,Y,"INSTALL ILLUMINATED DOUBLE FACED BLADE SIGN ON WALL. NO CHANGE IN OCCUPANCY, USE OR EGRESS.",SG,480, ,23,20,6401        
123159232,1047938,150.3,2,5850,STANDARD,0,2017-10-03T00:00:00.000,Y,"ERECT AN ILLUMINATED BUSINESS ACCESSORY WALL SIGN. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",SG,144, ,50,2,188         
123327970,1015201,222.4,3,12150,STANDARD,0,2017-09-11T00:00:00.000,Y,"INSTALL ILLUMINATED ACCESSORY BUSINESS SIGN ON WALL. NO CHANGE IN OCCUPANCY, USE OR EGRESS.",SG,336, ,81,5,112         
321617568,3013537,273.9,2,17452,STANDARD,0,2017-09-01T00:00:00.000,Y,"REPLACE EXISTING ILLUMINATED ACCESSORY BUSINESS SIGN ON WALL. NO CHANGE IN OCCUPANCY, USE OR EGRESS.",SG,191, ,16,8,5101        
421534209,4462612,100.0,3,1170,STANDARD,0,2017-09-08T00:00:00.000,Y,"ERECT ILLUMINATED ACCESSORY BUSINESS SIGN ON WALL.  NOT WITHIN VIEW OF ARTERIAL HIGHWAY OR PUBLIC PARK 1/2 ACRE OR MORE.  NO CHANGE IN USE, EGRESS OR OCCUPANCY.",SG,180, ,10,5,8000        
220602667,2049167,185.3,2,5700,STANDARD,0,2017-09-18T00:00:00.000,Y,"REPLACE EXISTING DOUBLE FACED ILLUMINATED ACCESSORY BUSINESS SIGN ON GROUND STRUCTURE. STRUCTURE FILED UNDER SEPARATE APPLICATION NUMBER 200910498. NO CHANGE IN OCCUPANCY, USE OR EGRESS.",SG,240, ,38,0,2007        
123327989,1015201,140.0,3,4500,STANDARD,0,2017-09-11T00:00:00.000,Y,"REFACE EXISTING ILLUMINATED DOUBLE-FACED BLADE SIGN ON WALL. NO CHANGE IN OCCUPANCY, USE OR EGRESS.",SG,552, ,30,18,112         
421543501,4597152,135.0,3,3000,STANDARD,0,2017-08-22T00:00:00.000,Y,"PROPOSED INSTALLATION OF A 7 SF INTERNALLY ILLUMINATED SHELL V-POWER GROUND SIGN. NO CHANGE TO USE, EGRESS OR OCCUPANCY.",SG,72, ,7,0,54-55       
421541326,4146186,100.0,3,1000,STANDARD,0,2017-08-16T00:00:00.000,Y,PROPOSE TO INSTALL SIGN ON EXISTING METAL CANOPY. SIGN-BP HELIOS FACING HORACE HARDING EXPRESSWAY . ALL AS PER PLANS FILED HEREWITH. NO CHANGE IN USE EGRESS OR OCCUPANCY IS PROPOSED UNDER THIS APPLICATION,SG,189, ,10,0,154-11      
321659111,3335129,212.1,11,11466,EXEMPT,0,2017-09-29T00:00:00.000,Y,"ILLUMINATED NON ADVERTISING ACCESSORY TENANT DIRECTORY SIGN - INSIDE PROPERTY LINE - BUILDING 77. NO CHANGE TO USE, EGRESS OR OCCUPANCY.",SG,201, ,98,0,63          
