unnamed_column_1,q24_in_how_many_of_your_1,q33_i_feel_like_i_belong_1,q36_my_teachers_treat_me,q30_there_is_at_least_one,q42_in_how_many_of_your,q34_my_teachers_will_always,q49_i_feel_safe_in_my_classes_1,q4_my_teachers_use_examples,q32_there_is_time_at_school,q15_during_this_school_year_1,q49_i_feel_safe_in_my_classes,q54_at_this_school_students_1,q29_my_school_expects_all_1,q11_during_this_school_year,q14_during_this_school_year,q16_during_this_school_year_1,q59_if_you_are_a_student_1,q10_i_am_presented_with,q12_during_this_school_year,q35_my_teachers_always_do_1,q44_in_how_many_of_your_1,q5_i_see_people_of_many_races_1,q47_i_feel_safe_traveling,q55_at_this_school_students,q50_at_this_school_students_1,q53_at_this_school_students_1,q64_if_you_are_a_student_1,q63_if_you_are_a_student_1,q3_my_school_encourages_and,q19_in_how_many_of_your_1,q58_if_you_are_a_student_1,q38_when_my_teachers_tell,q6_at_this_school_we_have_1,q35_my_teachers_always_do,q15_during_this_school_year,q43_in_how_many_of_your_1,q18_in_how_many_of_your_1,q8_i_feel_that_my_teachers_1,q26_in_how_many_of_your,q13_during_this_school_year,q13_during_this_school_year_1,q41_in_how_many_of_your,q24_in_how_many_of_your,q23_in_how_many_of_your,q37_most_students_treat,q36_my_teachers_treat_me_1,unnamed_column_2,q5_i_see_people_of_many_races,q20_in_how_many_of_your
Gramercy Arts High School,0.67,0.88,0.04,0.22,0.48,0.04,1.0,0.24,0.37,0.81,0.0,0.26,0.96,0.35,0.19,0.69,0.81,0.08,0.12,0.81,0.56,0.93,0.17,0.81,0.11,0.19,0.68,0.93,0.0,0.73,,0.07,0.63,0.19,0.19,0.37,0.73,0.96,0.33,0.24,0.76,0.48,0.33,0.11,0.07,0.96,0.06,0.07,0.31
Brooklyn Excelsior Charter School,0.7,0.67,0.07,0.17,0.53,0.17,0.73,0.22,0.5,0.53,0.27,0.33,0.83,0.4,0.31,0.4,,0.15,0.13,0.45,0.3,0.77,0.31,0.97,0.37,0.31,,,0.19,0.73,0.8,0.13,0.61,0.55,0.47,0.52,0.87,0.89,0.31,0.36,0.64,0.6,0.3,0.33,0.23,0.93,0.13,0.23,0.17
Stephen T. Mather Building Arts & Craftsmanship High School,0.81,0.91,0.01,0.08,0.41,0.04,1.0,0.07,0.14,0.62,0.0,0.12,0.95,0.14,0.36,0.5,0.88,0.05,0.03,0.91,0.53,0.94,0.06,0.88,0.14,0.13,0.87,0.94,0.05,0.87,,0.06,0.9,0.09,0.38,0.53,0.87,0.96,0.14,0.18,0.82,0.36,0.19,0.08,0.05,0.99,0.5,0.06,0.16
Leadership Prep Bedford Stuyvesant Uncommon Prep Charter School,0.7,0.8,0.03,0.23,0.38,0.15,0.96,0.0,0.33,0.75,0.04,0.45,0.95,0.35,0.23,0.58,0.85,0.0,0.1,0.73,0.38,1.0,0.15,0.85,0.38,0.33,0.91,0.98,0.11,0.75,,0.18,0.94,0.28,0.25,0.6,0.88,1.0,0.4,0.2,0.8,0.28,0.3,0.15,0.13,0.98,0.06,0.0,0.18
Concord High School,0.76,1.0,0.02,0.02,0.45,0.02,1.0,0.16,0.14,0.64,0.0,0.07,1.0,0.15,0.6,0.52,0.95,0.08,0.02,0.98,0.27,0.88,0.25,0.93,0.07,0.05,0.95,0.95,0.1,0.9,,0.05,0.8,0.02,0.36,0.45,0.88,0.93,0.1,0.12,0.88,0.31,0.24,0.14,0.02,0.98,0.28,0.12,0.1
The Clinton School,0.63,0.89,0.02,0.2,0.48,0.12,0.99,0.23,0.2,0.65,0.01,0.1,0.9,0.18,0.36,0.5,0.62,0.05,0.02,0.81,0.8,0.82,0.06,0.86,0.08,0.04,0.83,0.97,0.07,0.82,0.84,0.07,0.9,0.19,0.35,0.46,0.85,0.98,0.29,0.29,0.71,0.37,0.37,0.22,0.03,0.98,0.22,0.18,0.1
P.S./I.S. 266,0.52,0.85,0.07,0.25,0.43,0.23,0.93,0.27,0.55,0.71,0.07,0.3,0.91,0.22,0.25,0.48,,0.05,0.09,0.74,0.2,0.93,0.08,0.96,0.39,0.31,,,0.18,0.77,0.81,0.13,0.63,0.26,0.29,0.44,0.81,0.96,0.39,0.34,0.66,0.42,0.48,0.36,0.12,0.93,0.85,0.07,0.19
Forest Hills High School,0.46,0.83,0.03,0.24,0.44,0.14,0.93,0.17,0.45,0.83,0.07,0.31,0.93,0.37,0.22,0.69,0.73,0.07,0.09,0.79,0.31,0.91,0.16,0.63,0.35,0.26,0.71,0.89,0.14,0.77,,0.11,0.81,0.21,0.17,0.49,0.82,0.95,0.37,0.36,0.64,0.45,0.54,0.32,0.1,0.97,0.1,0.09,0.27
Union Square Academy for Health Sciences,0.62,0.8,0.02,0.14,0.48,0.07,0.95,0.13,0.33,0.85,0.05,0.11,0.95,0.29,0.25,0.7,0.86,0.04,0.06,0.82,0.35,0.92,0.2,0.91,0.12,0.09,0.79,0.93,0.05,0.78,,0.1,0.9,0.18,0.15,0.44,0.82,0.99,0.26,0.31,0.69,0.38,0.38,0.21,0.06,0.98,0.51,0.08,0.26
School for Classics High School,0.71,0.87,0.06,0.15,0.44,0.07,0.93,0.07,0.22,0.65,0.07,0.21,0.94,0.21,0.4,0.52,0.84,0.02,0.08,0.87,0.47,0.96,0.17,0.8,0.27,0.21,0.81,0.93,0.06,0.79,,0.07,0.84,0.13,0.35,0.49,0.81,0.97,0.22,0.22,0.78,0.48,0.29,0.18,0.08,0.94,0.58,0.04,0.23
Hebrew Language Academy Charter School,0.59,0.73,0.1,0.27,0.47,0.19,0.91,0.14,0.39,0.58,0.09,0.31,0.9,0.25,0.33,0.38,,0.09,0.06,0.69,0.45,0.92,0.13,0.91,0.46,0.4,,,0.2,0.74,0.82,0.17,0.78,0.31,0.42,0.48,0.81,0.95,0.32,0.33,0.67,0.56,0.41,0.35,0.19,0.9,0.82,0.08,0.25
P.S. 049 Dorothy Bonawit Kole,0.74,0.91,0.03,0.16,0.48,0.1,0.97,0.16,0.29,0.58,0.03,0.29,0.9,0.14,0.45,0.42,,0.09,0.03,0.86,0.78,0.89,0.07,0.91,0.31,0.22,,,0.13,0.88,0.93,0.08,0.8,0.14,0.42,0.47,0.95,0.95,0.22,0.17,0.83,0.42,0.26,0.14,0.12,0.97,0.35,0.11,0.11
Port Richmond High School,0.55,0.86,0.03,0.2,0.47,0.11,0.95,0.11,0.37,0.74,0.05,0.25,0.95,0.29,0.28,0.55,0.8,0.04,0.06,0.83,0.39,0.95,0.11,0.77,0.26,0.24,0.81,0.89,0.07,0.79,,0.08,0.81,0.17,0.26,0.46,0.84,0.98,0.32,0.3,0.7,0.48,0.45,0.3,0.09,0.97,0.46,0.05,0.25
"Urban Assembly Academy of Government and Law, The",0.6,0.78,0.01,0.14,0.45,0.05,0.96,0.12,0.33,0.81,0.04,0.19,0.95,0.4,0.22,0.65,0.87,0.05,0.07,0.81,0.51,0.91,0.1,0.79,0.23,0.16,0.83,0.93,0.04,0.77,,0.08,0.83,0.19,0.19,0.42,0.83,0.99,0.31,0.35,0.65,0.47,0.4,0.23,0.06,0.99,0.44,0.09,0.3
Liberation Diploma Plus,0.57,1.0,0.0,0.0,0.62,0.02,0.93,0.02,0.02,0.59,0.07,0.16,0.98,0.12,0.35,0.6,1.0,0.02,0.08,0.96,0.39,0.98,0.15,0.92,0.16,0.12,1.0,1.0,0.02,0.46,,0.02,0.98,0.04,0.41,0.44,0.55,0.98,0.46,0.15,0.85,0.52,0.43,0.44,0.04,1.0,0.31,0.02,0.5
Longwood Preparatory Academy,0.71,0.78,0.05,0.13,0.42,0.12,0.95,0.02,0.2,0.67,0.05,0.2,0.94,0.25,0.27,0.45,0.85,0.01,0.07,0.85,0.45,0.99,0.14,0.83,0.19,0.22,0.8,0.86,0.03,0.72,,0.09,0.98,0.15,0.33,0.5,0.81,0.99,0.26,0.23,0.77,0.4,0.29,0.24,0.11,0.95,0.36,0.01,0.26
P.S. 235 Janice Marie Knight School,0.6,0.81,0.03,0.4,0.45,0.17,0.93,0.19,0.33,0.67,0.07,0.25,0.95,0.32,0.28,0.4,,0.08,0.07,0.79,0.79,0.77,0.1,0.97,0.29,0.26,,,0.17,0.89,0.77,0.14,0.81,0.21,0.33,0.46,0.87,0.97,0.36,0.33,0.68,0.44,0.4,0.36,0.07,0.97,0.79,0.23,0.12
High School M560 - City As School,0.9,0.98,0.0,0.12,0.75,0.0,0.97,0.05,0.07,0.37,0.03,0.0,0.98,0.02,0.71,0.34,0.8,0.02,0.0,1.0,0.49,0.95,0.04,0.85,0.0,0.0,0.83,0.88,0.02,0.9,,0.05,0.97,0.0,0.63,0.32,0.93,0.98,0.05,0.1,0.9,0.48,0.1,0.07,0.0,1.0,0.1,0.05,0.07
M.S. 582,0.67,0.87,0.04,0.18,0.49,0.08,0.97,0.1,0.3,0.54,0.03,0.22,0.91,0.16,0.45,0.4,,0.03,0.05,0.84,0.4,0.95,0.08,0.95,0.28,0.25,,,0.06,0.87,0.9,0.11,0.91,0.16,0.46,0.48,0.85,0.98,0.2,0.17,0.83,0.42,0.33,0.29,0.07,0.96,0.71,0.05,0.22
P.S. 102 Bayview,0.7,0.88,0.02,0.16,0.55,0.08,0.96,0.13,0.29,0.67,0.04,0.23,0.89,0.17,0.38,0.49,,0.07,0.05,0.82,0.48,0.96,0.07,0.96,0.26,0.22,,,0.05,0.87,0.88,0.08,0.81,0.18,0.33,0.35,0.87,0.98,0.23,0.26,0.74,0.42,0.3,0.24,0.1,0.98,0.86,0.04,0.19
In-Tech Academy (M.S. / High School 368),0.53,0.83,0.04,0.2,0.47,0.16,0.96,0.1,0.45,0.81,0.04,0.32,0.94,0.39,0.31,0.61,0.8,0.07,0.08,0.74,0.33,0.91,0.14,0.81,0.37,0.29,0.79,0.92,0.15,0.72,0.84,0.12,0.91,0.26,0.19,0.46,0.8,0.98,0.37,0.36,0.64,0.44,0.47,0.25,0.1,0.96,0.24,0.09,0.26
New Design Middle School,0.56,0.68,0.14,0.25,0.53,0.18,0.74,0.11,0.34,0.67,0.26,0.31,0.89,0.35,0.25,0.37,,0.07,0.14,0.72,0.41,0.88,0.27,0.86,0.43,0.32,,,0.21,0.68,0.77,0.13,0.79,0.28,0.33,0.41,0.75,0.91,0.38,0.48,0.52,0.46,0.44,0.38,0.17,0.86,0.53,0.12,0.31
The East New York Arts and Civics High School,0.82,0.88,0.01,0.11,0.55,0.05,0.97,0.06,0.18,0.54,0.03,0.17,0.95,0.12,0.45,0.36,0.88,0.02,0.04,0.92,0.42,0.97,0.09,0.89,0.16,0.13,0.93,0.91,0.02,0.8,,0.01,0.91,0.08,0.46,0.4,0.91,0.99,0.18,0.14,0.86,0.45,0.18,0.1,0.04,0.99,0.69,0.03,0.24
I.S. 007 Elias Bernstein,0.68,0.91,0.03,0.14,0.49,0.08,0.96,0.19,0.39,0.53,0.04,0.23,0.93,0.14,0.41,0.36,,0.06,0.03,0.85,0.76,0.91,0.06,0.94,0.23,0.17,,,0.06,0.89,0.88,0.09,0.51,0.15,0.47,0.43,0.91,0.97,0.23,0.2,0.8,0.4,0.32,0.23,0.11,0.97,0.85,0.09,0.13
Williamsburg Charter High School,0.56,0.83,0.04,0.17,0.4,0.13,0.97,0.11,0.28,0.78,0.03,0.2,0.95,0.26,0.34,0.56,0.86,0.05,0.04,0.8,0.38,0.93,0.13,0.87,0.21,0.17,0.83,0.93,0.08,0.81,,0.11,0.9,0.2,0.22,0.51,0.84,0.97,0.31,0.22,0.78,0.4,0.44,0.25,0.1,0.96,0.41,0.07,0.26
The Brooklyn Green School,0.77,0.92,0.03,0.09,0.3,0.03,0.95,0.1,0.16,0.65,0.05,0.12,0.98,0.14,0.35,0.37,,0.01,0.09,0.85,0.67,0.93,0.12,0.98,0.07,0.14,,,0.05,0.83,0.92,0.06,0.95,0.15,0.35,0.61,0.81,0.99,0.19,0.21,0.79,0.24,0.23,0.15,0.07,0.97,0.61,0.07,0.2
P.S. 043,0.75,0.74,0.09,0.1,0.46,0.1,1.0,0.11,0.3,0.58,0.0,0.34,0.92,0.13,0.54,0.43,,0.1,0.06,0.82,0.44,0.93,0.06,0.91,0.61,0.45,,,0.05,0.86,0.89,0.01,0.88,0.18,0.42,0.43,0.89,0.98,0.17,0.29,0.71,0.46,0.25,0.23,0.13,0.91,0.31,0.07,0.2
Explore Excel Charter School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,
P.S. 126 Jacob August Riis,0.73,0.91,0.02,0.24,0.55,0.06,0.96,0.11,0.41,0.57,0.04,0.08,0.9,0.16,0.33,0.48,,0.03,0.05,0.84,0.55,0.95,0.14,1.0,0.13,0.09,,,0.03,0.88,0.91,0.05,0.89,0.16,0.43,0.42,0.9,0.99,0.24,0.27,0.73,0.47,0.27,0.26,0.05,0.98,0.76,0.05,0.1
P.S. Q255,0.85,0.92,0.0,0.0,0.62,0.0,1.0,0.0,0.0,0.38,0.0,0.08,1.0,0.0,0.77,0.46,,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.08,0.08,,,0.0,0.83,0.9,0.0,0.89,0.0,0.62,0.46,0.77,1.0,0.08,0.0,1.0,0.15,0.15,0.08,0.08,1.0,0.13,0.0,0.15
The Bronxwood Preparatory Academy,0.69,0.86,0.04,0.19,0.55,0.11,0.91,0.12,0.3,0.72,0.09,0.21,0.92,0.24,0.32,0.5,0.83,0.07,0.04,0.79,0.33,0.94,0.21,0.85,0.22,0.19,0.82,0.91,0.07,0.82,,0.07,0.78,0.21,0.28,0.34,0.9,0.98,0.22,0.19,0.81,0.54,0.31,0.21,0.06,0.96,0.52,0.06,0.15
Mott Hall Community School,0.71,0.91,0.03,0.13,0.59,0.03,0.98,0.08,0.22,0.6,0.02,0.23,0.95,0.14,0.44,0.36,,0.06,0.04,0.85,0.62,0.95,0.19,0.95,0.33,0.24,,,0.05,0.89,0.88,0.11,0.78,0.15,0.4,0.32,0.85,0.98,0.19,0.23,0.77,0.54,0.29,0.14,0.13,0.97,0.28,0.05,0.2
Urban Dove Charter School,0.86,0.92,0.03,0.05,0.42,0.08,0.98,0.02,0.07,0.62,0.02,0.37,0.93,0.19,0.41,0.55,0.92,0.02,0.09,0.95,0.63,0.98,0.15,0.7,0.31,0.22,0.96,0.9,0.04,0.81,,0.05,0.91,0.05,0.38,0.52,0.96,0.96,0.12,0.14,0.86,0.37,0.14,0.09,0.12,0.97,0.22,0.02,0.1
Esperanza Preparatory Academy,0.6,0.8,0.05,0.22,0.49,0.12,0.93,0.17,0.33,0.68,0.07,0.23,0.92,0.24,0.33,0.5,0.83,0.08,0.09,0.8,0.48,0.9,0.13,0.86,0.3,0.25,0.77,0.86,0.14,0.72,0.89,0.12,0.82,0.2,0.32,0.39,0.79,0.93,0.34,0.25,0.75,0.46,0.4,0.28,0.12,0.95,0.8,0.1,0.3
Bronx Lab School,0.79,0.85,0.03,0.1,0.33,0.03,0.93,0.04,0.15,0.73,0.07,0.11,0.99,0.13,0.33,0.51,0.96,0.01,0.07,0.92,0.63,0.99,0.09,0.95,0.16,0.12,0.93,0.93,0.03,0.83,,0.04,1.0,0.08,0.27,0.6,0.89,0.99,0.18,0.17,0.83,0.28,0.21,0.1,0.03,0.97,0.26,0.01,0.21
The Boerum Hill School for International Studies,0.52,0.81,0.04,0.24,0.4,0.16,0.97,0.18,0.44,0.78,0.03,0.2,0.87,0.34,0.25,0.58,0.83,0.03,0.06,0.71,0.51,0.93,0.06,0.8,0.23,0.19,0.81,0.93,0.11,0.72,0.69,0.16,0.88,0.29,0.22,0.51,0.74,0.97,0.39,0.38,0.62,0.41,0.48,0.28,0.09,0.96,0.6,0.07,0.29
North Queens Community High School,0.88,1.0,0.0,0.0,0.5,0.0,0.8,0.0,0.0,0.63,0.2,0.25,1.0,0.63,0.25,0.38,1.0,0.0,0.13,0.88,0.38,1.0,0.25,0.75,0.25,0.25,0.83,0.88,0.0,0.88,,0.13,1.0,0.13,0.38,0.38,0.75,1.0,0.25,0.38,0.63,0.75,0.13,0.0,0.0,1.0,0.08,0.0,0.63
Health Opportunities High School,0.7,0.94,0.01,0.08,0.38,0.02,0.97,0.04,0.19,0.77,0.03,0.16,0.97,0.24,0.22,0.58,0.93,0.04,0.07,0.89,0.41,0.98,0.08,0.81,0.22,0.19,0.89,0.95,0.06,0.83,,0.03,0.95,0.11,0.23,0.55,0.88,0.98,0.16,0.22,0.78,0.39,0.3,0.15,0.09,0.99,0.34,0.02,0.21
P.S. 150 Queens,0.87,0.98,0.03,0.1,0.64,0.0,0.95,0.13,0.26,0.59,0.05,0.25,0.93,0.13,0.48,0.47,,0.04,0.05,0.9,0.8,0.94,0.1,0.97,0.31,0.23,,,0.06,0.98,0.85,0.02,0.76,0.1,0.41,0.35,0.93,1.0,0.17,0.17,0.83,0.45,0.13,0.2,0.16,0.97,0.77,0.06,0.13
International Community High School,0.71,0.92,0.02,0.15,0.64,0.05,0.94,0.08,0.15,0.54,0.06,0.09,0.98,0.12,0.54,0.49,0.89,0.06,0.08,0.92,0.66,0.97,0.21,0.9,0.18,0.11,0.91,0.87,0.06,0.89,,0.07,0.9,0.08,0.46,0.24,0.88,0.97,0.18,0.18,0.82,0.58,0.29,0.21,0.1,0.98,0.57,0.03,0.17
Queens Preparatory Academy,0.65,0.74,0.07,0.21,0.48,0.16,0.87,0.11,0.4,0.76,0.13,0.23,0.95,0.3,0.31,0.58,0.85,0.08,0.09,0.75,0.43,0.91,0.21,0.76,0.33,0.27,0.78,0.92,0.14,0.71,,0.13,0.85,0.25,0.24,0.4,0.78,0.95,0.38,0.28,0.72,0.47,0.35,0.27,0.16,0.93,0.49,0.09,0.3
East Bronx Academy for the Future,0.67,0.82,0.03,0.08,0.67,0.09,0.95,0.15,0.43,0.73,0.05,0.25,0.96,0.3,0.31,0.59,0.96,0.09,0.11,0.81,0.47,0.93,0.28,0.79,0.41,0.32,0.88,0.98,0.12,0.73,0.81,0.13,0.86,0.19,0.27,0.4,0.83,0.89,0.3,0.25,0.75,0.48,0.33,0.21,0.14,0.98,0.12,0.07,0.28
I.S. 219 New Venture School,0.8,0.79,0.07,0.14,0.39,0.1,0.92,0.1,0.32,0.52,0.08,0.25,0.91,0.12,0.41,0.27,,0.06,0.07,0.83,0.64,0.9,0.1,0.85,0.43,0.37,,,0.08,0.88,0.87,0.09,0.81,0.17,0.48,0.49,0.86,0.95,0.23,0.2,0.8,0.42,0.2,0.17,0.18,0.93,0.43,0.1,0.27
Frederick Douglass Academy II Secondary School,0.66,0.81,0.06,0.18,0.52,0.1,0.91,0.2,0.25,0.58,0.09,0.23,0.94,0.22,0.35,0.39,0.9,0.08,0.08,0.78,0.6,0.87,0.16,0.83,0.28,0.2,0.88,0.88,0.13,0.82,0.9,0.16,0.89,0.22,0.42,0.45,0.84,0.95,0.3,0.25,0.75,0.49,0.34,0.22,0.15,0.94,0.5,0.13,0.29
Veritas Academy,0.6,0.85,0.04,0.16,0.43,0.08,0.95,0.14,0.39,0.75,0.05,0.16,0.95,0.27,0.27,0.6,0.77,0.07,0.05,0.85,0.34,0.9,0.12,0.83,0.17,0.17,0.78,0.9,0.08,0.78,,0.09,0.83,0.15,0.25,0.5,0.8,0.96,0.3,0.31,0.69,0.43,0.4,0.28,0.06,0.96,0.81,0.1,0.26
J.H.S. 098 Herman Ridder,0.61,0.71,0.07,0.29,0.54,0.15,0.86,0.22,0.46,0.61,0.14,0.3,0.88,0.29,0.34,0.57,,0.13,0.07,0.77,0.45,0.89,0.25,0.87,0.29,0.32,,,0.15,0.71,0.85,0.12,0.7,0.23,0.39,0.42,0.72,0.91,0.33,0.32,0.68,0.55,0.39,0.23,0.17,0.93,0.82,0.11,0.39
John Ericsson Middle School 126,0.67,0.89,0.01,0.12,0.47,0.09,0.91,0.08,0.3,0.5,0.09,0.17,0.95,0.19,0.33,0.35,,0.04,0.05,0.84,0.21,0.97,0.08,0.91,0.25,0.2,,,0.09,0.73,0.91,0.12,0.96,0.16,0.5,0.53,0.78,0.98,0.31,0.18,0.82,0.48,0.33,0.3,0.12,0.99,0.89,0.03,0.3
The David Marquis School of the Arts,0.71,0.86,0.0,0.14,0.83,0.17,0.75,0.0,0.0,0.33,0.25,0.17,0.86,0.14,0.5,0.33,,0.0,0.14,1.0,0.71,1.0,0.0,0.83,0.0,0.0,,,0.0,0.83,,0.14,0.5,0.0,0.67,0.17,0.86,1.0,0.14,0.17,0.83,0.33,0.29,0.14,0.0,1.0,0.05,0.0,0.0
I.S. 392,0.57,0.82,0.05,0.22,0.42,0.13,0.89,0.12,0.35,0.68,0.11,0.19,0.95,0.31,0.37,0.46,,0.06,0.09,0.79,0.7,0.92,0.22,0.97,0.22,0.19,,,0.1,0.82,0.9,0.12,0.86,0.21,0.32,0.52,0.87,0.95,0.28,0.32,0.68,0.41,0.43,0.25,0.13,0.95,0.81,0.08,0.24
Bronx Early College Academy for Teaching & Learning,0.75,0.89,0.0,0.12,0.52,0.03,1.0,0.11,0.23,0.7,0.0,0.25,0.96,0.18,0.27,0.47,0.89,0.05,0.04,0.87,0.54,0.92,0.09,0.94,0.32,0.28,0.78,0.94,0.07,0.84,0.93,0.06,0.9,0.13,0.3,0.38,0.9,0.98,0.17,0.26,0.74,0.48,0.25,0.09,0.07,1.0,0.46,0.08,0.2
I.S. 98 Bay Academy,0.61,0.89,0.03,0.22,0.5,0.12,0.97,0.12,0.4,0.6,0.03,0.27,0.94,0.19,0.41,0.5,,0.04,0.05,0.8,0.84,0.94,0.08,0.9,0.23,0.2,,,0.09,0.86,0.87,0.11,0.73,0.2,0.4,0.39,0.87,0.98,0.31,0.25,0.75,0.51,0.39,0.32,0.08,0.97,0.88,0.06,0.16
East Side Middle School,0.68,0.87,0.03,0.27,0.36,0.12,0.99,0.22,0.38,0.62,0.01,0.11,0.92,0.19,0.34,0.43,,0.04,0.04,0.8,0.83,0.88,0.07,0.96,0.07,0.05,,,0.07,0.88,0.76,0.12,0.92,0.2,0.38,0.59,0.86,0.98,0.28,0.27,0.73,0.44,0.32,0.26,0.04,0.97,0.87,0.12,0.11
The Brooklyn Academy of Global Finance,0.63,0.8,0.03,0.16,0.48,0.03,0.88,0.08,0.23,0.59,0.12,0.13,0.92,0.16,0.44,0.45,0.9,0.09,0.03,0.88,0.53,0.92,0.12,0.95,0.16,0.11,0.9,0.86,0.04,0.81,,0.05,0.85,0.12,0.41,0.44,0.75,0.97,0.2,0.25,0.75,0.42,0.37,0.28,0.11,0.97,0.52,0.08,0.35
The Judith S. Kaye School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,
The High School For Language And Diplomacy,0.51,0.76,0.0,0.1,0.45,0.04,0.97,0.04,0.2,0.76,0.03,0.2,0.92,0.28,0.37,0.69,0.82,0.08,0.08,0.8,0.27,0.96,0.03,0.88,0.22,0.16,0.8,0.92,0.08,0.67,,0.02,0.91,0.2,0.24,0.35,0.78,0.94,0.29,0.33,0.67,0.57,0.49,0.24,0.02,1.0,0.22,0.04,0.18
Brownsville Collegiate Charter School,1.0,1.0,0.0,0.14,0.71,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.86,0.14,1.0,0.0,,0.0,0.14,1.0,0.57,1.0,0.0,1.0,0.14,0.0,,,0.0,1.0,0.86,0.0,1.0,0.0,1.0,0.43,1.0,1.0,0.0,0.14,0.86,0.29,0.0,0.0,0.0,1.0,0.03,0.0,0.0
Summit Academy Charter School,0.71,0.84,0.05,0.17,0.57,0.07,0.96,0.12,0.21,0.67,0.04,0.22,0.96,0.19,0.41,0.45,0.82,0.07,0.05,0.85,0.64,0.94,0.09,0.9,0.26,0.17,0.78,1.0,0.08,0.9,0.91,0.05,0.89,0.15,0.33,0.49,0.89,0.99,0.23,0.18,0.82,0.33,0.29,0.16,0.07,0.95,0.32,0.06,0.18
Pace High School,0.67,0.88,0.04,0.17,0.39,0.11,1.0,0.09,0.26,0.74,0.0,0.15,0.96,0.36,0.28,0.63,0.86,0.06,0.06,0.85,0.68,0.95,0.09,0.88,0.16,0.16,0.85,0.93,0.09,0.76,,0.09,0.94,0.15,0.26,0.52,0.86,0.96,0.29,0.4,0.6,0.39,0.33,0.23,0.07,0.96,0.24,0.05,0.26
Lower Manhattan Community Middle School,0.74,0.89,0.03,0.14,0.49,0.06,0.98,0.07,0.14,0.62,0.02,0.15,0.88,0.19,0.34,0.44,,0.02,0.04,0.85,0.76,0.97,0.09,0.96,0.14,0.09,,,0.04,0.81,0.9,0.11,0.98,0.15,0.38,0.44,0.83,0.98,0.25,0.27,0.73,0.44,0.26,0.22,0.05,0.97,0.93,0.03,0.19
Launch Expeditionary Learning Charter School,0.75,0.88,0.05,0.13,0.39,0.09,0.92,0.07,0.27,0.6,0.08,0.29,0.94,0.18,0.42,0.37,,0.06,0.05,0.79,0.63,0.95,0.18,0.89,0.3,0.26,,,0.05,0.87,0.9,0.1,0.95,0.21,0.4,0.51,0.86,0.96,0.23,0.23,0.77,0.4,0.25,0.14,0.14,0.95,0.86,0.05,0.23
P.S. Q993,0.78,0.72,0.11,0.17,0.67,0.29,0.9,0.24,0.12,0.72,0.1,0.06,0.94,0.28,0.33,0.5,0.81,0.12,0.0,0.78,0.44,0.88,0.2,1.0,0.06,0.12,0.82,0.88,0.12,0.94,,0.17,0.8,0.22,0.28,0.33,0.94,0.81,0.22,0.24,0.76,0.33,0.22,0.0,0.0,0.89,0.05,0.13,0.11
Academy for Language and Technology,0.99,1.0,0.0,0.0,0.03,0.0,0.99,0.0,0.01,0.59,0.01,0.03,1.0,0.01,0.14,0.57,1.0,0.0,0.01,0.99,0.98,1.0,0.01,0.96,0.03,0.03,1.0,1.0,0.0,0.99,,0.0,1.0,0.01,0.41,0.96,0.99,1.0,0.01,0.01,0.99,0.01,0.01,0.01,0.0,1.0,0.6,0.0,0.01
Explore Empower Charter School,0.66,0.79,0.08,0.15,0.45,0.14,0.97,0.19,0.31,0.46,0.03,0.26,0.92,0.17,0.37,0.22,,0.09,0.06,0.78,0.52,0.91,0.15,0.93,0.24,0.2,,,0.15,0.76,0.96,0.19,0.86,0.22,0.54,0.38,0.89,0.9,0.26,0.23,0.77,0.52,0.34,0.28,0.11,0.92,0.54,0.09,0.2
I.S. 238 - Susan B. Anthony Academy,0.59,0.8,0.06,0.23,0.51,0.13,0.91,0.15,0.35,0.68,0.09,0.37,0.89,0.21,0.31,0.58,,0.06,0.1,0.78,0.32,0.92,0.17,0.81,0.48,0.37,,,0.08,0.82,0.89,0.12,0.79,0.22,0.32,0.4,0.81,0.95,0.31,0.28,0.72,0.48,0.41,0.32,0.19,0.94,0.61,0.08,0.25
Cyberarts Studio Academy,0.54,0.68,0.06,0.2,0.62,0.14,0.95,0.17,0.39,0.82,0.05,0.22,0.92,0.38,0.22,0.72,0.76,0.17,0.12,0.84,0.5,0.9,0.04,0.72,0.22,0.14,0.7,0.84,0.19,0.74,,0.14,0.71,0.16,0.18,0.36,0.72,0.96,0.34,0.41,0.59,0.52,0.46,0.32,0.1,0.94,0.22,0.1,0.32
Benjamin Franklin High School for Finance & Information Technology,0.8,0.89,0.03,0.08,0.24,0.07,0.98,0.07,0.17,0.52,0.02,0.17,0.98,0.15,0.5,0.44,0.91,0.04,0.04,0.91,0.83,0.96,0.06,0.85,0.18,0.14,0.92,0.95,0.03,0.9,,0.05,0.93,0.09,0.48,0.73,0.92,0.98,0.14,0.37,0.63,0.26,0.2,0.09,0.04,0.97,0.9,0.04,0.11
