dbn,school_name,ell_bengali_1,ell_french_1,ela_level_2_1,ell_other_2,grade_7,black_1,ell_spanish_2,special_program,math_level_1_1,ell_haitian_creole_2,ell_chinese_1,male_1,ela_level_4_1,hispanic_1,ela_level_3_2,grade_3,ela_l3_l4_1,ela_level_2_2,ela_level_4_2,grade_1,ela_l3_l4_2,total_enrollment
09X070,P.S. 070 Max Schoenfeld,s,s,No Data,s,No Data,s,100.0%,Dual Language,No Data,s,s,11,No Data,20,No Data,No Data,No Data,No Data,No Data,No Data,No Data,20
11X370,Leaders of Tomorrow,s,s,s,s,s,s,s,Dual Language,s,s,s,s,s,s,s,No Data,s,s,s,No Data,s,s
26Q173,P.S. 173 Fresh Meadows,s,s,s,s,No Data,s,s,Dual Language,s,s,30,10,s,s,s,s,s,s,s,9,s,30
24Q089,P.S. 089 Elmhurst,s,s,9,s,No Data,s,96.7%,Dual Language,6,s,s,47,s,87,s,10,s,75.0%,s,15,s,90
24Q143,P.S. 143 Louis Armstrong,s,s,14,s,No Data,s,100.0%,Dual Language,15,s,s,64,s,144,s,18,s,37.8%,s,17,s,145
01M184,P.S. 184m Shuang Wen,No Data,No Data,18,No Data,No Data,7,No Data,Dual Language,13,No Data,No Data,66,s,19,s,13,s,36.7%,s,15,s,91
14K319,P.S. 319,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,s
04M182,The Bilingual Bicultural School,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,30,No Data,67,No Data,No Data,No Data,No Data,No Data,22,No Data,67
11X103,P.S. 103 Hector Fontanez,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
03M180,P.S. 180 Hugo Newman,s,s,No Data,s,No Data,s,100.0%,Dual Language,No Data,s,s,s,No Data,7,No Data,No Data,No Data,No Data,No Data,s,No Data,7
24Q016,P.S. Q016 The Nancy DeBenedittis School,No Data,No Data,54,No Data,No Data,s,No Data,Dual Language,7,No Data,No Data,151,19,317,44.7%,55,91,33.5%,11.8%,58,56.5%,326
09X035,P.S. 035 Franz Siegel,s,s,No Data,s,No Data,s,s,Dual Language,No Data,s,s,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
15K516,Sunset Park Avenues Elementary School,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,10,No Data,No Data,No Data,No Data,No Data,s,No Data,10
15K001,P.S. 001 The Bergen,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,6,s,No Data,s,s,s,s,s,6
21K090,P.S. 90 Edna Cohen School,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,6,s,s,s,s,s,s,s,8
09X457,Sheridan Academy for Young Leaders,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,7,No Data,16,No Data,s,No Data,No Data,No Data,8,No Data,20
27Q104,P.S. 104 The Bays Water,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s
07X049,P.S. 049 Willis Avenue,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
10X310,P.S. 310 Marble Hill,s,s,s,s,No Data,s,s,Dual Language,s,s,s,s,s,s,s,No Data,s,s,s,No Data,s,s
09X457,Sheridan Academy for Young Leaders,s,s,No Data,s,No Data,s,100.0%,Dual Language,No Data,s,s,6,No Data,29,No Data,s,No Data,No Data,No Data,11,No Data,29
03M247,M.S. M247 Dual Language Middle School,No Data,No Data,9,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,15,s,No Data,s,60.0%,s,No Data,s,15
04M072,The Lexington Academy,s,s,s,s,No Data,s,100.0%,Dual Language,s,s,s,s,s,9,s,s,s,s,s,No Data,s,9
06M028,P.S. 028 Wright Brothers,s,s,s,s,No Data,s,100.0%,Dual Language,s,s,s,20,s,38,s,6,s,s,s,20,s,38
13K054,P.S. 054 Samuel C. Barnes,No Data,No Data,s,No Data,No Data,7,No Data,Dual Language,s,No Data,No Data,6,s,7,s,s,s,s,s,s,s,15
13K011,P.S. 011 Purvis J. Behan,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,s
03M163,P.S. 163 Alfred E. Smith,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,30,s,60,43.8%,10,s,s,s,13,s,67
04M096,P.S. 096 Joseph Lanzetta,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,8,s,s,s,s,s,No Data,s,10
06M132,P.S. 132 Juan Pablo Duarte,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,16,s,8,s,s,s,s,s,16
24Q110,P.S. 110,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,27,No Data,69,No Data,No Data,No Data,No Data,No Data,44,No Data,70
10X205,P.S. 205 Fiorello Laguardia,s,s,No Data,s,No Data,s,s,Dual Language,No Data,s,s,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
09X274,The New American Academy at Roberto Clemente State,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,7,No Data,12,No Data,No Data,No Data,No Data,No Data,s,No Data,14
11X103,P.S. 103 Hector Fontanez,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
25Q244,The Active Learning Elementary School,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
14K110,P.S. 110 The Monitor,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,s,s,s,s,s,s,11
13K009,P.S. 009 Teunis G. Bergen,No Data,No Data,17,No Data,No Data,66,No Data,Dual Language,17,No Data,No Data,87,18,55,34.3%,55,42,24.3%,25.7%,42,60.0%,189
09X070,P.S. 070 Max Schoenfeld,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
04M182,The Bilingual Bicultural School,s,s,No Data,s,No Data,s,100.0%,Dual Language,No Data,s,s,22,No Data,53,No Data,No Data,No Data,No Data,No Data,14,No Data,53
13K003,P.S. 003 The Bedford Village,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,s
15K094,P.S. 094 The Henry Longfellow,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,11,No Data,No Data,13,s,16,s,s,s,s,s,s,s,23
