dbn,q1_2,q16_c5_r1,q15_c9_r3,q17_c9_r1,q16_c6_r3,q17_c5_r2,q17_c8_r4,q16_c1_r4,q17_c8_r3,q14_c6_r2,q14_c8_r4,q14_c3_r4,q15_c11_r2,q17_c10_r2,q14_c11_r2,q12_r1_c1,q16_c2_r1,q12_r2_c3,q17_c7_r3,q15_c4_r1,q8_2,q14_c11_r4,q17_c7_r2,q15_c8_r2,q16_c9_r4,q15_c9_r1,q17_c8_r2,q9_r3_c2,q14_c7_r4,q15_c6_r2,q10_11,q16_c8_r2,q16_c6_r4,q10_16,q15_c10_r1,q17_c5_r4,q15_c1_r2,q16_c10_r1,q16_c3_r1,q14_c1_r2,q14_c7_r3,q16_c12_r4,q15_c3_r3,q15_c8_r1,q10_12,q17_c1_r3,q16_c9_r3,q17_c4_r1,q17_c4_r4,q15_c11_r4,q14_c11_r3,q10_4,q16_c3_r4,q12_r1_c4,q2_1,q13_c1_r4,q9_r4_c1,q14_c1_r1
15K094,Gonzalez,0 hrs,0 hrs,,0 hrs,0 hrs,0 hrs,0 hrs,0 hrs,0 hrs,0 hrs,0 hrs,,,,0,0 hrs,0,0 hrs,0 hrs,,,0 hrs,0 hrs,0 hrs,0 hrs,0 hrs,0.0,0 hrs,0 hrs,1,0 hrs,0 hrs,0,0 hrs,0 hrs,0 hrs,,0 hrs,0 hrs,0 hrs,,0 hrs,0 hrs,0,0 hrs,0 hrs,0 hrs,0 hrs,,,1,0 hrs,0,0,0 hrs,1.0,0 hrs
09X517,Howard,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,1,,,,,,,0,,0,0,,1.0,
08X320,Wilson,,,,,,,,,,,,,,,0,,0,,,,,,,,,,3.0,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,0,,,
11X106,Martz,0 hrs,,0 hrs,0 hrs,0 hrs,0 hrs,1-10 hrs,0 hrs,0 hrs,0 hrs,0 hrs,,,,0,0 hrs,0,0 hrs,0 hrs,,,0 hrs,0 hrs,,,0 hrs,1.0,0 hrs,0 hrs,1,0 hrs,1-10 hrs,0,,0 hrs,0 hrs,,0 hrs,0 hrs,0 hrs,,0 hrs,0 hrs,1,0 hrs,,11-20 hrs,0 hrs,,,1,1-10 hrs,0,0,0 hrs,1.0,0 hrs
03M492,Muscolino,,,,,,,,,,,,,,,0,,0,,,,,,,,,,1.0,,,0,,,0,,,,,,,,,,,0,,,,,,,1,,0,0,,1.0,
05M318,Moore,,,,,,,111-120 hrs,,,,,,,,0,0 hrs,0,,,,,,,,,,1.0,,,0,,,0,,,0 hrs,,,0 hrs,,,,,0,0 hrs,,,,,,1,,0,0,201+,0.0,0 hrs
03M199,Dau,0 hrs,,,0 hrs,11-20 hrs,,0 hrs,,0 hrs,,0 hrs,,,,0,0 hrs,0,,0 hrs,,,,,,,,0.0,0 hrs,0 hrs,1,,0 hrs,0,,0 hrs,0 hrs,,0 hrs,0 hrs,11-20 hrs,,1-10 hrs,,0,0 hrs,,21-30 hrs,0 hrs,,,0,0 hrs,0,0,0 hrs,1.0,0 hrs
01M696,Casey,,,,,,,,,,,,,,,0,,0,,,,,,,,,,2.0,,,0,,,0,,,,,,,,,,,1,,,,,,,0,,0,0,,1.0,
09X132,Lopez,0 hrs,,,,71-80 hrs,,0 hrs,,,,0 hrs,,,,0,0 hrs,0,,11-20 hrs,,,,,,,,0.0,,,0,,,0,,0 hrs,0 hrs,,0 hrs,0 hrs,,,0 hrs,,0,0 hrs,,0 hrs,0 hrs,,,1,0 hrs,0,0,71-80 hrs,1.0,11-20 hrs
01M142,Pyle,,,,,,,0 hrs,,,,0 hrs,,,,0,21-30 hrs,0,,,,,,,,,,0.0,,,0,,,0,,,0 hrs,,21-30 hrs,0 hrs,,,0 hrs,,0,0 hrs,,,,,,1,0 hrs,0,0,0 hrs,0.0,31-40 hrs
05M036,Santiago England,,,,,0 hrs,,0 hrs,,,,0 hrs,,,,0,0 hrs,0,,0 hrs,1.0,,,,,,,0.0,,,0,,,0,,0 hrs,0 hrs,,0 hrs,0 hrs,,,0 hrs,,0,0 hrs,,0 hrs,0 hrs,,,0,0 hrs,1,0,0 hrs,0.0,0 hrs
18K268,Erkina,,,,,,,0 hrs,,,,,,,,0,11-20 hrs,0,,,,,,,,,,0.0,,,0,,,0,,,0 hrs,,11-20 hrs,0 hrs,,,0 hrs,,1,0 hrs,,,,,,1,0 hrs,0,0,0 hrs,1.0,0 hrs
14K196,Avroch,,,,,,,0 hrs,,,,0 hrs,,,,0,0 hrs,0,,,,,,,,,,1.0,,,0,,,0,,,0 hrs,,0 hrs,0 hrs,,,0 hrs,,0,0 hrs,,,,,,0,0 hrs,0,0,0 hrs,0.0,0 hrs
02M177,Fass,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,0,,0.0,
17K408,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,1,,0.0,
04M555,Difiglia,,,,,,,,,,,,,,,0,,0,,,,,,,,,,1.0,,,0,,,0,,,,,,,,,,,1,,,,,,,0,,0,0,,0.0,
20K176,Thompson,0 hrs,0 hrs,0 hrs,0 hrs,0 hrs,31-40 hrs,31-40 hrs,0 hrs,0 hrs,1-10 hrs,1-10 hrs,0 hrs,0 hrs,,0,0 hrs,0,0 hrs,11-20 hrs,,,0 hrs,0 hrs,31-40 hrs,21-30 hrs,0 hrs,1.0,1-10 hrs,0 hrs,0,0 hrs,31-40 hrs,0,21-30 hrs,31-40 hrs,0 hrs,0 hrs,0 hrs,0 hrs,0 hrs,,0 hrs,11-20 hrs,1,0 hrs,0 hrs,0 hrs,31-40 hrs,1-10 hrs,,1,31-40 hrs,0,0,1-10 hrs,1.0,11-20 hrs
15K058,Ferreira,0 hrs,,,31-40 hrs,71-80 hrs,,31-40 hrs,,61-70 hrs,,61-70 hrs,,,,1,0 hrs,0,,11-20 hrs,,,,,,,,2.0,,31-40 hrs,0,,31-40 hrs,0,,31-40 hrs,31-40 hrs,,0 hrs,61-70 hrs,,,31-40 hrs,,0,0 hrs,,21-30 hrs,31-40 hrs,,,1,31-40 hrs,0,0,61-70 hrs,0.0,61-70 hrs
15K447,McKanna,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,1,,,,,,,1,,0,0,,1.0,
10X033,Diaz,41-50 hrs,,,0 hrs,0 hrs,0 hrs,0 hrs,0 hrs,0 hrs,0 hrs,0 hrs,,,,0,41-50 hrs,1,21-30 hrs,0 hrs,,,0 hrs,0 hrs,,,0 hrs,0.0,0 hrs,0 hrs,0,,21-30 hrs,0,,0 hrs,0 hrs,,0 hrs,0 hrs,0 hrs,,0 hrs,0 hrs,0,0 hrs,,0 hrs,0 hrs,,,1,0 hrs,0,0,21-30 hrs,1.0,0 hrs
16K026,Kinkel,,,,,,,0 hrs,,,,0 hrs,,,,0,51-60 hrs,0,,,,,,,,,,0.0,,,1,,,0,,,0 hrs,,51-60 hrs,31-40 hrs,,,0 hrs,,0,0 hrs,,,,,,0,0 hrs,0,0,0 hrs,0.0,51-60 hrs
08X448,Curiale,,,,,,,,,,,,,,,0,,0,,,,,,,,,,1.0,,,1,,,0,,,,,,,,,,,0,,,,,,,0,,0,0,,1.0,
04M206,Brooks,0 hrs,,,0 hrs,1-10 hrs,,1-10 hrs,,,,,,,,0,0 hrs,0,,,,,,,,,,1.0,,,0,,1-10 hrs,0,,1-10 hrs,,,0 hrs,,,,,,0,0 hrs,,0 hrs,1-10 hrs,,,0,1-10 hrs,0,0,,1.0,
17K241,Lindo,,,,,,,1-10 hrs,,,,1-10 hrs,,,,0,1-10 hrs,1,,1-10 hrs,0.0,,,,,,,,,,0,,,0,,,1-10 hrs,,1-10 hrs,1-10 hrs,,,1-10 hrs,,1,1-10 hrs,,,,,,1,1-10 hrs,0,0,1-10 hrs,1.0,1-10 hrs
14K318,An,,,,,,,,,,,,,,,0,,0,,,1.0,,,,,,,0.0,,,1,,,0,,,,,,,,,,,1,,,,,,,1,,0,0,,1.0,
15K051,Speth,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,0,,,0,,,,,,,,,,,1,,,,,,,1,,0,0,,0.0,
02M392,Ortaliza,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,,,,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,0,,,
17K539,Kamilar,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,0,,,0,,,,,,,,,,,0,,,,,,,1,,0,0,,,
15K038,Padilla,0 hrs,,,0 hrs,11-20 hrs,,11-20 hrs,,0 hrs,,0 hrs,,,,1,0 hrs,0,,0 hrs,,,,,,,,0.0,,,1,,11-20 hrs,0,,31-40 hrs,0 hrs,,0 hrs,0 hrs,,,0 hrs,,0,11-20 hrs,,0 hrs,31-40 hrs,,,1,11-20 hrs,0,0,11-20 hrs,1.0,11-20 hrs
12X066,Schy,0 hrs,,,0 hrs,0 hrs,,0 hrs,,0 hrs,,0 hrs,,,,1,0 hrs,0,,0 hrs,,,,,,,,1.0,,,0,,0 hrs,0,,0 hrs,0 hrs,,0 hrs,0 hrs,,,0 hrs,,0,0 hrs,,0 hrs,0 hrs,,,1,0 hrs,0,0,0 hrs,1.0,0 hrs
02M312,Adams,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,,,0.0,,,1,,,0,,,,,,,,,,,1,,,,,,,1,,0,0,,1.0,
08X366,Razzore,,,,,,,,,,,,,,,0,,0,,,,,,,,,,1.0,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,0,,0.0,
14K120,Henderson,,,,,,,0 hrs,,,,0 hrs,,,,0,1-10 hrs,0,,1-10 hrs,,,,,,,,0.0,,,0,,,0,,,91-100 hrs,,1-10 hrs,0 hrs,,,0 hrs,,0,0 hrs,,1-10 hrs,0 hrs,,,0,0 hrs,0,0,0 hrs,1.0,1-10 hrs
12X458,Swick,,,,,,,,,,,,,,,0,,0,,,,,,,,,,1.0,,,0,,,0,,,,,,,,,,,0,,,,,,,1,,0,0,0 hrs,1.0,
05M194,Lewis,,,,,,,11-20 hrs,,,,,,,,0,0 hrs,0,,,,,,,,,,0.0,,,0,,,0,,,0 hrs,,,0 hrs,,,0 hrs,,0,0 hrs,,,,,,0,,1,0,11-20 hrs,1.0,0 hrs
03M076,Hall,,,,,,,21-30 hrs,,,,,,,,0,21-30 hrs,1,,,,,,,,,,1.0,,,0,,,0,,,11-20 hrs,,,1-10 hrs,,,,,0,11-20 hrs,,,,,,0,,0,0,21-30 hrs,1.0,1-10 hrs
06M004,Lennon,11-20 hrs,,,1-10 hrs,1-10 hrs,,1-10 hrs,,1-10 hrs,,1-10 hrs,,,,0,1-10 hrs,0,,1-10 hrs,1.0,,,,,,,0.0,,1-10 hrs,0,,1-10 hrs,0,,1-10 hrs,1-10 hrs,,1-10 hrs,1-10 hrs,,,1-10 hrs,,0,1-10 hrs,,1-10 hrs,1-10 hrs,,,0,1-10 hrs,0,0,1-10 hrs,1.0,1-10 hrs
17K316,Feinstein,,,,,,,121-130 hrs,,,,111-120 hrs,,,,0,111-120 hrs,0,,,,,,,,,,0.0,,,0,,,0,,,101-110 hrs,,,121-130 hrs,,,,,0,141-150 hrs,,,,,,0,,0,0,81-90 hrs,1.0,81-90 hrs
20K185,King,,,,,,,1-10 hrs,,,,1-10 hrs,,,,0,1-10 hrs,0,,1-10 hrs,,,,,,,,0.0,,,0,,,0,,,1-10 hrs,,1-10 hrs,1-10 hrs,,,1-10 hrs,,0,1-10 hrs,,1-10 hrs,1-10 hrs,,,0,1-10 hrs,0,0,1-10 hrs,1.0,1-10 hrs
