recordid,address,y,:@computed_region_f5dn_yrer,:@computed_region_efsh_h5xi,zip_new,house_number,borough,cb_new,location,support_structure,nta_2010
729,390 GREENWICH ST,201828.2305,56.0,12076.0,10013,390.0,Manhattan,101,"{'latitude': '40.720648', 'longitude': '-74.010119'}",,MN24
734,390 GREENWICH ST,201828.2305,56.0,12076.0,10013,390.0,Manhattan,101,"{'latitude': '40.720648', 'longitude': '-74.010119'}",,MN24
297,77 SULLIVAN ST,203342.8255,57.0,12075.0,10012,77.0,Manhattan,102,"{'latitude': '40.724806', 'longitude': '-74.00375'}",,MN24
711,218 LAFAYETTE ST,202292.409,57.0,12075.0,10012,218.0,Manhattan,102,"{'latitude': '40.721923', 'longitude': '-73.99746'}",,MN24
252,83 MURRAY ST,199700.4159,56.0,11728.0,10007,83.0,Manhattan,101,"{'latitude': '40.714808', 'longitude': '-74.011115'}",Stakes / Wires,MN24
736,390 GREENWICH ST,201828.2305,56.0,12076.0,10013,390.0,Manhattan,101,"{'latitude': '40.720648', 'longitude': '-74.010119'}",,MN24
466,26 VAN DAM ST,203913.5667,57.0,12076.0,10013,26.0,Manhattan,102,"{'latitude': '40.726372', 'longitude': '-74.004927'}",,MN24
461,350 HUDSON ST,204322.5795,57.0,12077.0,10014,350.0,Manhattan,102,"{'latitude': '40.727495', 'longitude': '-74.007293'}",Guard Strangling,MN24
1004,21 SPRING ST,202133.2824,57.0,12075.0,10012,21.0,Manhattan,102,"{'latitude': '40.721486', 'longitude': '-73.995137'}",,MN24
825,350 BOWERY,203955.6076,70.0,11724.0,10012,350.0,Manhattan,102,"{'latitude': '40.726487', 'longitude': '-73.991759'}",,MN23
872,216 E 10 ST,204986.4171,70.0,11724.0,10003,216.0,Manhattan,103,"{'latitude': '40.729316', 'longitude': '-73.985718'}",,MN22
270,30 GRAND ST,202611.8269,57.0,12076.0,10013,30.0,Manhattan,102,"{'latitude': '40.722799', 'longitude': '-74.004602'}",,MN24
200,75 PARK PL,199510.5551,56.0,11728.0,10007,75.0,Manhattan,101,"{'latitude': '40.714287', 'longitude': '-74.011514'}",,MN24
160,290 BROADWAY,199680.6589,56.0,11728.0,10007,290.0,Manhattan,101,"{'latitude': '40.714754', 'longitude': '-74.005823'}",,MN24
561,100 VARICK ST,203037.7845,57.0,12076.0,10013,100.0,Manhattan,102,"{'latitude': '40.723968', 'longitude': '-74.00609'}",,MN24
739,390 GREENWICH ST,201828.2305,56.0,12076.0,10013,390.0,Manhattan,101,"{'latitude': '40.720648', 'longitude': '-74.010119'}",,MN24
402,145 Avenue of the Amer,203385.2701,57.0,12075.0,10013,145.0,Manhattan,102,"{'latitude': '40.724922', 'longitude': '-74.004183'}",,MN24
713,216 LAFAYETTE ST,202267.9582,57.0,12075.0,10012,216.0,Manhattan,102,"{'latitude': '40.721855', 'longitude': '-73.997518'}",,MN24
481,30 CHARLTON ST,204164.327,57.0,12077.0,10014,30.0,Manhattan,102,"{'latitude': '40.72706', 'longitude': '-74.004534'}",,MN24
831,102 E 10 ST,205479.0358,70.0,11724.0,10003,102.0,Manhattan,103,"{'latitude': '40.730669', 'longitude': '-73.988946'}",,MN22
781,341 E 9 ST,204791.8942,70.0,11724.0,10003,341.0,Manhattan,103,"{'latitude': '40.728782', 'longitude': '-73.986268'}",,MN22
106,323A GREENWICH ST,200667.0301,56.0,12076.0,10013,,Manhattan,101,"{'latitude': '40.717461', 'longitude': '-74.010694'}",,MN24
571,285 W BROADWAY,201986.8026,56.0,12076.0,10013,285.0,Manhattan,101,"{'latitude': '40.721084', 'longitude': '-74.004849'}",,MN24
390,160 Avenue of the Amer,203549.7858,57.0,12075.0,10013,160.0,Manhattan,102,"{'latitude': '40.725374', 'longitude': '-74.004066'}",,MN24
2,80 N MOORE ST,201649.9518,56.0,12076.0,10013,80.0,Manhattan,101,"{'latitude': '40.720159', 'longitude': '-74.010532'}",,MN24
945,138 E 14 ST,206612.6348,71.0,11724.0,10003,138.0,Manhattan,103,"{'latitude': '40.73378', 'longitude': '-73.988339'}",Stakes / Wires,MN22
990,176 ELIZABETH ST,201999.3274,57.0,12075.0,10012,176.0,Manhattan,102,"{'latitude': '40.721118', 'longitude': '-73.994779'}",,MN24
567,100 VARICK ST,203037.7845,57.0,12076.0,10013,100.0,Manhattan,102,"{'latitude': '40.723968', 'longitude': '-74.00609'}",,MN24
80,80 N MOORE ST,201649.9518,56.0,12076.0,10013,80.0,Manhattan,101,"{'latitude': '40.720159', 'longitude': '-74.010532'}",,MN24
40199,40-044 W 111 ST,1.0,,,10026,,Manhattan,110,"{'latitude': '1.0', 'longitude': '1.0'}",,MN11
34,355 GREENWICH ST,201159.5399,56.0,12076.0,10013,355.0,Manhattan,101,"{'latitude': '40.718813', 'longitude': '-74.010399'}",,MN24
785,333 E 9 ST,204820.4152,70.0,11724.0,10003,333.0,Manhattan,103,"{'latitude': '40.728861', 'longitude': '-73.986453'}",,MN22
512,52 KING ST,204439.0979,57.0,12077.0,10014,52.0,Manhattan,102,"{'latitude': '40.727815', 'longitude': '-74.004781'}",,MN24
427,229 W HOUSTON ST,204714.4958,57.0,12077.0,10014,229.0,Manhattan,102,"{'latitude': '40.728571', 'longitude': '-74.004963'}",,MN24
460,350 HUDSON ST,204322.5795,57.0,12077.0,10014,350.0,Manhattan,102,"{'latitude': '40.727495', 'longitude': '-74.007293'}",,MN24
367,66 WATTS ST,202948.8285,57.0,12076.0,10013,66.0,Manhattan,102,"{'latitude': '40.723724', 'longitude': '-74.005869'}",,MN24
94,335 GREENWICH ST,200863.4074,56.0,12076.0,10013,335.0,Manhattan,101,"{'latitude': '40.718', 'longitude': '-74.010556'}",Stakes / Wires,MN24
340,383 W BROADWAY,202984.8321,57.0,12075.0,10012,383.0,Manhattan,102,"{'latitude': '40.723823', 'longitude': '-74.002546'}",,MN24
906,200 2 AV,205692.7626,70.0,11724.0,10003,200.0,Manhattan,103,"{'latitude': '40.731255', 'longitude': '-73.985739'}",,MN22
570,285 W BROADWAY,201986.8026,56.0,12076.0,10013,285.0,Manhattan,101,"{'latitude': '40.721084', 'longitude': '-74.004849'}",,MN24
346,439 CANAL ST,202626.902,57.0,12076.0,10013,439.0,Manhattan,102,"{'latitude': '40.722841', 'longitude': '-74.006703'}",,MN24
786,325 E 9 ST,204849.2881,70.0,11724.0,10003,325.0,Manhattan,103,"{'latitude': '40.72894', 'longitude': '-73.986641'}",,MN22
242,140 PARK PL,199764.7852,56.0,11728.0,10007,140.0,Manhattan,101,"{'latitude': '40.714984', 'longitude': '-74.013076'}",,MN24
14,40 HARRISON ST,201166.9867,56.0,12076.0,10013,40.0,Manhattan,101,"{'latitude': '40.718833', 'longitude': '-74.010661'}",,MN24
316,160 Avenue of the Amer,203549.7858,57.0,12075.0,10013,160.0,Manhattan,102,"{'latitude': '40.725374', 'longitude': '-74.004066'}",,MN24
