latitude,longitude,manhattan_condominiums_comparable_properties_gross_income_per_sqft,comparable_rental_1_gross_income_per_sqft,comparable_rental_1_year_built,comparable_rental_1_gross_sqft,manhattan_condominiums_comparable_properties_year_built,comparable_rental_3_net_operating_income,comparable_rental_1_boro_block_lot,bbl,manhattan_condominiums_comparable_properties_building_classification,comparable_rental_2_gross_sqft,community_board,comparable_rental_2_year_built,comparable_rental_3_expense_per_sqft,comparable_rental_3_boro_block_lot
40.789315,-73.970954,33.69,55.17,1986,175436,1990.0,"1,112,268",1-01220-0029,1012207504.0,R4-CONDOMINIUM,83837.0,7.0,1931.0,13.98,1-01200-0005
40.706606,-74.008404,34.87,35.98,1900,58354,1893.0, ,1-00065-0010,1000417503.0,R4-CONDOMINIUM,52969.0,1.0,1930.0, ,
40.726887,-73.994646,27.17,21.86,1900,46080,1900.0,"582,726",1-00522-0014,1005297504.0,R4-CONDOMINIUM,26382.0,2.0,1900.0, ,1-00496-0012
40.74848,-73.973019,37.14,35.3,1985,835279,1967.0,"19,565,038",1-00966-0001,1009457501.0,R9-CONDOMINIUM,366200.0,6.0,1974.0,13.54,1-00934-0001
40.758819,-73.964156,48.3,52.48,1980,32500,2005.0, ,1-01424-0004,1013497502.0,R4-CONDOMINIUM,34137.0,6.0,1999.0, ,
40.751789,-73.984715,48.36,52.39,1928,147888,2001.0, ,1-00753-0056,1008397502.0,RR-CONDOMINIUM,387468.0,5.0,2008.0, ,
40.724979,-73.997168,28.15,35.25,1900,11424,1900.0, ,1-00495-0030,1005127503.0,R4-CONDOMINIUM,10500.0,2.0,1900.0, ,
40.719847,-74.007403,36.03,36.03,1940,118467,1924.0,"1,216,996",1-00527-0027,1001907505.0,R4-CONDOMINIUM,44256.0,1.0,1920.0,5.93,1-00236-0027
40.743519,-73.982634,38.97,39.58,1920,62188,1920.0, ,1-00888-0031,1008847501.0,R4-CONDOMINIUM,56670.0,5.0,1925.0, ,
40.759078,-73.976281,43.46,47.28,1948,269346,1973.0, ,1-01274-0006,1012877501.0,R4-CONDOMINIUM,303642.0,5.0,1963.0, ,
