school_name,survey_pp_es,n_chronic_absent_ems_allem,teacher_ethnicity_pacific,n_chronic_absent_ems_allep,n_pct_accel_try_all,n_pct_core_soc_all,n_chronic_absent_ems_allgf,val_prof_pct_watn3_elalevel34,n_prof_2plus_watn5_elalevel1,val_pct_accel_p_lote_all,ethnicity_black_pct,val_prof_pct_watn5_elalevel2,qr_5_1,ethnicity_hispanic_pct_dist,val_chronic_absent_ems_allea,n_prof_2plus_watn3_elalevel1,rating_ela_grade_5_pct_rs,ethnicity_white_pct,qr_4_1,val_interaction_k8_all,n_pct_accel_p_all,qr_2_2,near_pct_white,survey_pp_ct,val_pct_core_mth_all,teacher_ethnicity_black_pct,n_pct_accel_p_sci_all,n_pct_accelerated_all,n_chronic_absent_ems_all,n_prof_pct_watn3_mthlevel2,teacher_ethnicity_amerindian,n_pct_accel_sci_all,qr_1_3,val_pct_core_soc_all,n_hs_9gr_credits_all,n_attendance_k8_all,near_pct_black,n_chronic_absent_ems_allei,ethnicity_amerindian_pct,temp_housing_pct,val_pct_accel_lote_all,val_prof_2plus_watn5_elalevel1,ethnicity_pacific_pct_dist,n_pct_accel_p_lote_all,n_pct_core_ela_all,ethnicity_black_pct_dist,val_prof_pct_watn5_elalevel34,val_prof_pct_watn3_elalevel2,teach_3_more_exp,n_chronic_absent_ems_alleh,n_prof_2plus_watn5_mthlevel1
P.S. 150 Charles James Fox,0.88,No Data,0,1,No Data,No Data,355,0.31,No Data,No Data,0.21,No Data,Proficient,0.696,No Data,25,No Data,0.027,Proficient,0.838,No Data,Developing,0.012,0.92,No Data,0.254,No Data,No Data,711,44,0,No Data,Proficient,No Data,No Data,758,0.265,2,0.003,0.28,No Data,No Data,0.003,No Data,No Data,0.231,No Data,0,0.864,528,No Data
P.S. 030 Wilton,0.86,No Data,0,1,No Data,No Data,245,0.5,No Data,No Data,0.198,No Data,Proficient,0.669,No Data,16,No Data,0.016,Proficient,0.87,No Data,Proficient,0.013,No Data,No Data,0.289,No Data,No Data,478,19,0,No Data,Proficient,No Data,No Data,509,0.175,2,0.004,0.271,No Data,No Data,0.003,No Data,No Data,0.294,No Data,0,0.778,365,No Data
P.S. 161 The Crown,0.87,3,0,13,No Data,No Data,152,0.567,No Data,No Data,0.783,No Data,Proficient,0.195,No Data,10,No Data,0.019,Proficient,0.812,No Data,Developing,0.048,0.89,No Data,0.778,No Data,No Data,333,21,No Data,No Data,Proficient,No Data,No Data,346,0.697,5,0.016,0.233,No Data,No Data,0.005,No Data,No Data,0.695,No Data,0.167,0.778,47,No Data
Kappa,0.89,No Data,0,1,118,328,186,No Data,46,No Data,0.522,0.45,Proficient,0.673,No Data,No Data,2.39,0.021,Well Developed,0.847,73,Proficient,0.014,0.9,0.997,0.625,73,118,346,No Data,0,118,Well Developed,0.991,83,361,0.402,1,0.003,0.24,0,0.696,0.003,No Data,328,0.297,0.81,No Data,0.656,146,29
Park Slope Collegiate,0.92,7,0,1,79,274,123,No Data,9,0,0.217,No Data,Proficient,0.401,0.733,No Data,2.83,0.363,Proficient,0.901,79,Well Developed,0.378,0.87,0.978,0.246,78,79,299,No Data,0,79,Proficient,0.985,64,306,0.309,1,0.004,0.058,0,No Data,0.003,75,274,0.123,0.8,No Data,0.79,104,14
P.S. 310 Marble Hill,0.84,4,No Data,2,No Data,No Data,305,0.625,No Data,No Data,0.08,No Data,Proficient,0.76,No Data,15,No Data,0.024,Proficient,0.792,No Data,Proficient,0.032,0.81,No Data,0.12,No Data,No Data,594,33,No Data,No Data,Well Developed,No Data,No Data,612,0.15,1,0.002,0.294,No Data,No Data,0.002,No Data,No Data,0.134,No Data,0.194,0.8,517,No Data
Pelham Gardens Middle School,0.94,1,0,3,153,415,218,No Data,61,No Data,0.572,0.511,Proficient,0.367,0.895,No Data,2.28,0.03,Well Developed,0.851,No Data,Proficient,0.064,0.93,1,0.459,No Data,153,456,No Data,0,153,Well Developed,0.998,145,471,0.512,11,0.025,0.136,0,0.705,0.006,No Data,415,0.5,1,No Data,0.784,144,62
P.S./I.S. 119 The Glendale,0.9,16,0,7,214,665,674,No Data,25,No Data,0.016,0.607,Well Developed,0.636,0.979,No Data,No Data,0.37,Well Developed,0.939,127,Well Developed,0.471,0.97,0.995,No Data,126,214,1338,No Data,0,214,Well Developed,0.929,152,1355,0.015,11,0.008,0.036,0,0.76,0.003,No Data,665,0.018,0.933,No Data,0.863,403,23
Queens Explorers Elementary School,0.91,6,0,31,No Data,No Data,209,No Data,No Data,No Data,0.071,No Data,Well Developed,0.457,0.899,No Data,No Data,0.106,Well Developed,0.968,No Data,Proficient,0.052,0.87,No Data,No Data,No Data,No Data,428,No Data,0,No Data,Well Developed,No Data,No Data,431,0.068,17,0.04,0.019,No Data,No Data,0.012,No Data,No Data,0.196,No Data,No Data,0.788,207,No Data
P.S. 38 Roberto Clemente,0.62,3,0,2,No Data,No Data,105,No Data,No Data,No Data,0.387,No Data,Proficient,0.648,No Data,7,No Data,0.036,Proficient,0.772,No Data,Proficient,0.043,0.65,No Data,0.2,No Data,No Data,227,6,0,No Data,Well Developed,No Data,No Data,240,0.34,3,0.01,0.397,No Data,No Data,0.002,No Data,No Data,0.257,No Data,0.053,0.56,119,No Data
I. S. 381,0.97,6,0,No Data,65,279,137,No Data,26,No Data,0.58,0.667,Proficient,0.169,0.765,No Data,2.59,0.126,Well Developed,0.955,20,Proficient,0.183,0.89,0.925,No Data,19,65,297,No Data,0,65,Well Developed,0.975,85,307,0.457,2,0.007,0.098,0,0.923,0.006,No Data,279,0.36,0.968,No Data,0.682,43,18
P.S. 032 Samuel Mills Sprole,0.78,20,0,1,No Data,No Data,196,0.723,No Data,No Data,0.189,No Data,Developing,0.324,0.955,4,No Data,0.405,Proficient,0.965,No Data,Developing,0.536,0.78,No Data,0.215,No Data,No Data,423,10,0,No Data,Proficient,No Data,No Data,428,0.149,2,0.005,0.102,No Data,No Data,0.004,No Data,No Data,0.067,No Data,No Data,0.739,109,No Data
Learners and Leaders,0.83,2,0,5,No Data,No Data,255,0.708,No Data,No Data,0.014,No Data,No Data,0.687,0.806,7,No Data,0.128,No Data,0.87,No Data,Well Developed,0.13,0.86,No Data,No Data,No Data,No Data,525,24,0,No Data,No Data,No Data,No Data,535,0.015,6,0.012,0.136,No Data,No Data,0.002,No Data,No Data,0.016,No Data,0.129,0.837,408,No Data
Collaborative Arts Middle School,0.96,3,0,1,90,319,209,No Data,19,No Data,0.837,0.476,Proficient,0.161,No Data,No Data,2.52,0.006,Well Developed,0.686,15,Proficient,0.009,0.93,0.997,0.444,No Data,90,347,No Data,No Data,90,Proficient,0.997,73,362,0.866,5,0.015,0.154,0,0.421,0.009,No Data,319,0.612,0.85,No Data,0.704,44,19
Emolior Academy,0.88,No Data,0,1,95,331,160,No Data,51,No Data,0.241,0.571,Proficient,0.699,0.897,No Data,2.2,0.003,Proficient,0.954,90,Proficient,0.014,0.88,0.994,0.276,90,95,358,No Data,0,95,Proficient,0.991,96,365,0.289,3,0.009,0.218,0,0.569,0.003,No Data,331,0.25,0.8,No Data,0.517,238,47
P.S. 084 Jose De Diego,0.86,35,0,1,64,235,337,No Data,30,No Data,0.061,0.733,Proficient,0.544,0.789,No Data,No Data,0.217,Proficient,0.991,64,Proficient,0.272,0.91,1,0.084,No Data,64,693,No Data,0,64,Proficient,1,63,702,0.052,1,0.001,0.12,0,0.667,0.003,No Data,235,0.223,No Data,No Data,0.916,444,34
P.S. 335 Granville T. Woods,0.95,1,0,1,No Data,No Data,103,0.438,No Data,No Data,0.746,No Data,Developing,0.232,No Data,9,No Data,0.01,Developing,0.864,No Data,Developing,0.017,No Data,No Data,0.65,No Data,No Data,203,7,0,No Data,Proficient,No Data,No Data,218,0.787,1,0.005,0.254,No Data,No Data,0.01,No Data,No Data,0.697,No Data,No Data,0.95,47,No Data
P.S./ IS 178 Holliswood,0.71,7,0,3,64,186,272,No Data,8,0,0.058,0.611,Proficient,0.142,0.863,No Data,No Data,0.686,Well Developed,0.808,64,Well Developed,0.685,0.73,1,No Data,64,64,544,No Data,0,64,Well Developed,1,38,549,0.056,6,0.011,0.021,0,No Data,0.003,40,186,0.054,0.958,No Data,0.921,53,4
P.S. 006 West Farms,0.96,No Data,0,1,No Data,No Data,238,0.667,No Data,No Data,0.204,No Data,Proficient,0.696,No Data,20,No Data,0.008,Proficient,0.92,No Data,Proficient,0.01,0.95,No Data,0.227,No Data,No Data,497,22,0,No Data,Proficient,No Data,No Data,518,0.296,No Data,0.0,0.265,No Data,No Data,0.003,No Data,No Data,0.231,No Data,0.087,0.955,380,No Data
P.S. 047 Chris Galas,0.92,3,0,No Data,16,62,115,No Data,2,No Data,0.018,No Data,No Data,0.399,No Data,No Data,No Data,0.812,No Data,0.864,16,Proficient,0.872,0.95,1,No Data,16,16,228,No Data,0,16,No Data,1,8,228,0.0,No Data,0.0,0.063,0,No Data,0.011,No Data,62,0.232,No Data,No Data,0.889,35,1
M.S. 319 - Maria Teresa,0.93,No Data,0,No Data,139,376,183,No Data,49,No Data,0.023,0.556,No Data,0.897,No Data,No Data,2.09,0.01,No Data,1,No Data,Well Developed,0.02,0.92,1,No Data,No Data,139,391,No Data,0,139,No Data,0.979,99,402,0.119,No Data,0.0,0.194,0,0.694,0.001,No Data,376,0.064,No Data,No Data,0.781,378,31
P.S. 158 Bayard Taylor,0.9,48,0,1,No Data,No Data,356,0.821,No Data,No Data,0.022,No Data,Well Developed,0.161,0.892,No Data,No Data,0.709,Well Developed,0.97,No Data,Well Developed,0.695,No Data,No Data,0,No Data,No Data,751,8,0,No Data,Well Developed,No Data,No Data,756,0.037,5,0.007,0.012,No Data,No Data,0.002,No Data,No Data,0.06,No Data,No Data,0.66,60,No Data
James Weldon Johnson,0.46,2,0,1,83,252,341,No Data,35,No Data,0.224,0.227,Proficient,0.562,0.833,No Data,No Data,0.012,Proficient,0.933,28,Proficient,0.028,0.52,0.988,0.314,27,83,672,No Data,No Data,83,Proficient,0.98,93,701,0.28,9,0.014,0.283,0,0.771,0.004,No Data,252,0.321,0.697,No Data,0.671,469,31
P.S. 028 Mount Hope,0.95,2,0,2,No Data,No Data,289,0.486,No Data,No Data,0.21,No Data,Proficient,0.692,No Data,15,No Data,0.006,Well Developed,0.978,No Data,Proficient,0.007,No Data,No Data,0.231,No Data,No Data,688,33,0,No Data,Proficient,No Data,No Data,715,0.244,1,0.002,0.299,No Data,No Data,0.002,No Data,No Data,0.277,No Data,0.036,0.815,532,No Data
The Boerum Hill School for International Studies,0.79,21,0,No Data,152,474,247,No Data,15,No Data,0.219,No Data,Proficient,0.401,0.938,No Data,3.2,0.498,Well Developed,0.899,118,Proficient,0.377,0.81,0.964,0.224,28,152,492,No Data,0,152,Well Developed,0.941,91,499,0.227,3,0.006,0.065,0,0.533,0.003,No Data,474,0.123,0.667,No Data,0.672,89,13
School of Science & Technology,0.8,8,0,No Data,No Data,No Data,265,0.559,No Data,No Data,0.574,No Data,Proficient,0.158,0.74,18,No Data,0.032,Proficient,0.896,No Data,Developing,0.13,0.78,No Data,0.261,No Data,No Data,572,34,0,No Data,Proficient,No Data,No Data,612,0.515,3,0.005,0.138,No Data,No Data,0.006,No Data,No Data,0.334,No Data,0.2,0.891,163,No Data
P.S. 255 Barbara Reing School,0.86,8,0,No Data,No Data,No Data,440,0.759,No Data,No Data,0.023,No Data,Proficient,0.158,0.888,20,No Data,0.623,Proficient,0.975,No Data,Proficient,0.683,0.91,No Data,No Data,No Data,No Data,887,31,0,No Data,Well Developed,No Data,No Data,899,0.026,8,0.009,0.081,No Data,No Data,0.006,No Data,No Data,0.334,No Data,0.219,0.72,98,No Data
P.S. 246 Poe Center,0.71,2,0,1,No Data,No Data,301,0.6,No Data,No Data,0.078,No Data,Proficient,0.76,0.75,40,No Data,0.032,Well Developed,0.892,No Data,Proficient,0.028,0.77,No Data,0.131,No Data,No Data,655,36,0,No Data,Proficient,No Data,No Data,676,0.1,1,0.002,0.219,No Data,No Data,0.002,No Data,No Data,0.134,No Data,0.047,0.771,564,No Data
P.S. 130 The Parkside,0.94,28,No Data,2,No Data,No Data,393,0.615,No Data,No Data,0.049,No Data,Well Developed,0.324,0.859,4,No Data,0.524,Proficient,0.959,No Data,Proficient,0.552,0.94,No Data,No Data,No Data,No Data,812,22,No Data,No Data,Well Developed,No Data,No Data,830,0.042,9,0.011,0.06,No Data,No Data,0.004,No Data,No Data,0.067,No Data,0.16,0.783,173,No Data
P.S. 196,0.8,No Data,0,No Data,No Data,No Data,407,0.548,No Data,No Data,0.127,No Data,Proficient,0.696,No Data,48,No Data,0.007,Proficient,0.854,No Data,Proficient,0.01,0.84,No Data,0.232,No Data,No Data,807,41,0,No Data,Proficient,No Data,No Data,831,0.181,22,0.029,0.195,No Data,No Data,0.003,No Data,No Data,0.231,No Data,0.127,0.667,660,No Data
P.S. 97 The Highlawn,0.94,5,0,No Data,No Data,No Data,356,0.844,No Data,No Data,0.015,No Data,Proficient,0.255,0.943,31,No Data,0.253,Well Developed,0.953,No Data,Well Developed,0.282,0.94,No Data,0,No Data,No Data,758,37,0,No Data,Well Developed,No Data,No Data,771,0.011,3,0.004,0.036,No Data,No Data,0.003,No Data,No Data,0.075,No Data,0.289,0.903,162,No Data
P.S. 238 Anne Sullivan,0.85,7,0,1,53,163,280,No Data,22,No Data,0.026,0.3,Proficient,0.256,0.78,No Data,No Data,0.247,Proficient,0.884,26,Proficient,0.281,0.83,1,No Data,26,53,569,No Data,0,53,Well Developed,1,52,586,0.031,No Data,0.0,0.116,0,0.5,0.004,No Data,163,0.084,No Data,No Data,0.824,278,29
P.S. 083 Donald Hertz,0.83,12,0,11,221,654,837,No Data,52,No Data,0.059,0.604,Well Developed,0.403,0.918,No Data,No Data,0.353,Proficient,0.916,59,Proficient,0.353,0.86,0.979,0.044,29,221,1712,No Data,0,221,Well Developed,0.994,142,1761,0.046,18,0.01,0.099,0,0.808,0.005,No Data,654,0.39,0.926,No Data,0.939,794,43
Antonia Pantoja Preparatory Academy: A College Boa,0.88,No Data,0,No Data,51,160,92,No Data,23,No Data,0.137,0.55,Developing,0.673,No Data,No Data,2.41,0.006,Proficient,0.869,No Data,Developing,0.019,0.88,0.913,0.25,No Data,51,173,No Data,0,51,Proficient,0.956,73,189,0.302,2,0.012,0.199,0,0.826,0.003,No Data,160,0.212,0.789,No Data,0.861,140,24
P.S. 186 Castlewood,0.7,5,0,2,No Data,No Data,143,0.659,No Data,No Data,0.131,No Data,Proficient,0.141,0.85,5,No Data,0.271,Well Developed,0.981,No Data,Well Developed,0.27,0.77,No Data,0,No Data,No Data,355,5,0,No Data,Well Developed,No Data,No Data,362,0.091,7,0.02,0.017,No Data,No Data,0.003,No Data,No Data,0.045,No Data,No Data,0.936,70,No Data
The Math & Science Exploratory School,0.86,16,0,4,177,537,244,No Data,1,No Data,0.135,No Data,Proficient,0.401,0.971,No Data,3.4,0.479,Proficient,1,177,Proficient,0.349,0.86,1,0.088,177,177,552,No Data,0,177,Well Developed,1,168,569,0.304,1,0.002,0.035,0,No Data,0.003,No Data,537,0.123,0.947,No Data,0.895,121,2
I.S. 061 Leonardo Da Vinci,0.87,No Data,0,2,761,2197,1096,No Data,308,0,0.02,0.556,Proficient,0.699,0.931,No Data,2.21,0.018,Proficient,0.913,619,Well Developed,0.029,0.82,0.973,0.088,589,761,2321,No Data,No Data,761,Proficient,0.956,695,2419,0.056,9,0.004,0.13,0,0.731,0.003,356,2197,0.023,0.847,No Data,0.742,2102,227
M.S. 324 - Patria Mirabal,0.9,No Data,No Data,No Data,127,299,176,No Data,60,No Data,0.103,0.6,No Data,0.897,No Data,No Data,2.31,0.034,No Data,0.844,30,Well Developed,0.024,0.9,0.936,No Data,30,127,329,No Data,No Data,127,No Data,0.946,116,337,0.161,No Data,0.0,0.188,0,0.75,0.001,No Data,299,0.064,No Data,No Data,0.939,277,46
P.S. 288 The Shirley Tanyhill,0.81,No Data,0,No Data,43,152,289,No Data,36,No Data,0.61,No Data,Proficient,0.256,No Data,No Data,No Data,0.04,Well Developed,0.714,No Data,Proficient,0.08,0.75,0.993,0.3,No Data,43,590,No Data,0,43,Proficient,0.974,55,611,0.63,1,0.002,0.155,0,0.639,0.004,No Data,152,0.084,No Data,No Data,0.78,192,38
P.S. 046 Edward C. Blum,0.83,6,0,No Data,No Data,No Data,100,0.25,No Data,No Data,0.467,No Data,Proficient,0.209,No Data,9,No Data,0.01,Well Developed,1,No Data,Proficient,0.179,0.92,No Data,0.261,No Data,No Data,211,11,0,No Data,Well Developed,No Data,No Data,221,0.396,No Data,0.0,0.126,No Data,No Data,0.006,No Data,No Data,0.443,No Data,0,0.783,100,No Data
P.S. 042 Benjamin Altman,0.95,2,0,1,No Data,No Data,246,0.942,No Data,No Data,0.018,No Data,Proficient,0.161,0.942,5,No Data,0.047,Proficient,0.966,No Data,Proficient,0.08,0.95,No Data,No Data,No Data,No Data,523,11,0,No Data,Proficient,No Data,No Data,537,0.027,1,0.002,0.089,No Data,No Data,0.002,No Data,No Data,0.06,No Data,0.333,0.778,38,No Data
Ralph A. Fabrizio School,0.94,5,0,1,No Data,No Data,490,0.846,No Data,No Data,0.004,No Data,Proficient,0.247,0.954,16,No Data,0.233,Proficient,0.954,No Data,Well Developed,0.33,0.95,No Data,No Data,No Data,No Data,1049,25,0,No Data,Well Developed,No Data,No Data,1070,0.007,6,0.006,0.114,No Data,No Data,0.001,No Data,No Data,0.009,No Data,0.25,0.89,183,No Data
I.S. 206 Ann Mersereau,0.75,No Data,0,1,70,255,135,No Data,23,No Data,0.122,0.438,Developing,0.751,No Data,No Data,2.09,0.007,Developing,0.86,No Data,Proficient,0.006,0.68,0.957,No Data,No Data,70,277,No Data,0,70,Proficient,0.996,46,288,0.155,No Data,0.0,0.319,0,0.696,0.004,No Data,255,0.158,No Data,No Data,0.773,232,24
P.S. 059 William Floyd,0.95,2,No Data,2,No Data,No Data,149,0.133,No Data,No Data,0.512,No Data,Well Developed,0.503,No Data,8,No Data,0.021,Well Developed,0.778,No Data,Well Developed,0.023,0.97,No Data,0.483,No Data,No Data,309,16,No Data,No Data,Well Developed,No Data,No Data,323,0.473,3,0.01,0.225,No Data,No Data,0.003,No Data,No Data,0.207,No Data,0.05,0.793,139,No Data
P.S. 214 Michael Friedsam,0.72,No Data,0,2,No Data,No Data,383,0.638,No Data,No Data,0.11,No Data,Proficient,0.443,0.754,18,No Data,0.04,Proficient,0.85,No Data,Developing,0.032,0.83,No Data,0.164,No Data,No Data,805,31,No Data,No Data,Proficient,No Data,No Data,844,0.275,15,0.02,0.129,No Data,No Data,0.007,No Data,No Data,0.413,No Data,0.304,0.866,253,No Data
P.S. 044 Marcus Garvey,0.92,No Data,No Data,No Data,No Data,No Data,62,No Data,No Data,No Data,0.861,No Data,Proficient,0.209,No Data,1,No Data,0.028,Proficient,0.617,No Data,Proficient,0.058,0.9,No Data,0.75,No Data,No Data,114,7,No Data,No Data,Proficient,No Data,No Data,116,0.702,2,0.019,0.213,No Data,No Data,0.006,No Data,No Data,0.443,No Data,No Data,0.75,10,No Data
Dr. Susan S. McKinney Secondary School of the Arts,No Data,No Data,0,No Data,31,86,50,No Data,16,No Data,0.692,No Data,Developing,0.183,No Data,No Data,2.25,0.022,Proficient,0.57,22,Proficient,0.029,No Data,0.744,0.655,22,31,99,No Data,0,31,Proficient,No Data,27,108,0.527,No Data,0.0,0.133,0,0.625,0.012,No Data,86,0.693,No Data,No Data,1,26,17
P.S. 086 Kingsbridge Heights,0.99,2,0,2,No Data,No Data,808,0.724,No Data,No Data,0.077,No Data,Well Developed,0.76,0.78,41,No Data,0.02,Well Developed,0.878,No Data,Well Developed,0.027,0.97,No Data,No Data,No Data,No Data,1640,49,0,No Data,Well Developed,No Data,No Data,1672,0.099,9,0.006,0.249,No Data,No Data,0.002,No Data,No Data,0.134,No Data,0.141,0.73,1419,No Data
Spruce Street School,0.88,48,0,1,59,175,254,No Data,11,No Data,0.035,No Data,Well Developed,0.174,0.862,No Data,No Data,0.547,Well Developed,0.948,59,Well Developed,0.372,0.66,1,No Data,59,59,550,No Data,0,59,Well Developed,0.686,52,561,0.086,8,0.015,0.044,0,No Data,0.003,No Data,175,0.075,0.864,No Data,0.825,86,7
P.S. 235 Janice Marie Knight School,0.88,14,0,3,116,305,640,No Data,9,0,0.915,No Data,Proficient,0.067,0.842,No Data,No Data,0.011,Developing,0.958,116,Developing,0.034,0.88,1,0.313,116,116,1152,No Data,0,116,Proficient,1,84,1165,0.802,6,0.005,0.043,0,No Data,0.004,116,305,0.874,1,No Data,0.91,39,8
P.S. 236 Langston Hughes,0.89,No Data,No Data,1,No Data,No Data,155,0.444,No Data,No Data,0.208,No Data,Developing,0.692,No Data,4,No Data,0.004,Developing,0.939,No Data,Proficient,0.01,0.86,No Data,0.2,No Data,No Data,291,19,No Data,No Data,Proficient,No Data,No Data,299,0.346,1,0.004,0.244,No Data,No Data,0.002,No Data,No Data,0.277,No Data,0.174,0.9,225,No Data
P.S. 249 The Caton,0.96,6,0,2,No Data,No Data,418,0.593,No Data,No Data,0.427,No Data,No Data,0.195,0.907,1,No Data,0.037,No Data,0.911,No Data,Well Developed,0.077,0.96,No Data,0.233,No Data,No Data,829,14,0,No Data,No Data,No Data,No Data,844,0.377,10,0.012,0.091,No Data,No Data,0.005,No Data,No Data,0.695,No Data,0.16,0.683,369,No Data
The Bronx School of Young Leaders,0.95,2,0,No Data,136,425,233,No Data,67,No Data,0.24,0.654,Proficient,0.751,No Data,No Data,2.24,0.014,Proficient,0.825,13,Proficient,0.008,0.94,0.995,0.2,13,136,455,No Data,0,136,Well Developed,0.993,114,465,0.305,1,0.002,0.229,0,0.672,0.004,No Data,425,0.158,0.8,No Data,0.6,328,57
P.S. 222 Katherine R. Snyder,0.88,22,0,14,No Data,No Data,403,0.717,No Data,No Data,0.131,No Data,No Data,0.158,0.848,3,No Data,0.442,No Data,0.977,No Data,Proficient,0.468,0.96,No Data,No Data,No Data,No Data,873,17,0,No Data,No Data,No Data,No Data,887,0.099,3,0.003,0.014,No Data,No Data,0.006,No Data,No Data,0.334,No Data,0,0.936,159,No Data
P.S./I.S. 187 Hudson Cliffs,0.82,40,No Data,No Data,90,269,391,No Data,18,No Data,0.039,0.792,Proficient,0.848,0.976,No Data,No Data,0.385,Proficient,0.885,60,Proficient,0.4,0.83,0.993,No Data,No Data,90,781,No Data,No Data,90,Proficient,0.989,72,784,0.037,4,0.005,0.061,0,0.833,0.001,No Data,269,0.068,0.944,No Data,0.827,366,14
I.S. 364 Gateway,0.84,1,0,7,114,255,122,No Data,55,No Data,0.698,0.318,Proficient,0.455,No Data,No Data,2.24,0.038,Proficient,0.969,111,Proficient,0.035,0.81,0.996,0.48,111,114,273,No Data,0,114,Proficient,0.98,104,289,0.783,1,0.004,0.14,0,0.473,0.007,No Data,255,0.442,0.75,No Data,0.68,62,65
P.S. 264 Bay Ridge Elementary School For The Arts,0.77,6,0,No Data,No Data,No Data,233,0.75,No Data,No Data,0.03,No Data,Proficient,0.247,0.875,8,No Data,0.531,Proficient,0.959,No Data,Proficient,0.514,0.83,No Data,No Data,No Data,No Data,473,19,0,No Data,Well Developed,No Data,No Data,478,0.023,1,0.002,0.02,No Data,No Data,0.001,No Data,No Data,0.009,No Data,0.25,0.973,152,No Data
P.S. 097 Forest Park,0.82,5,0,No Data,No Data,No Data,319,0.582,No Data,No Data,0.025,No Data,No Data,0.457,0.861,13,No Data,0.07,No Data,0.932,No Data,Proficient,0.087,0.87,No Data,No Data,No Data,No Data,655,15,No Data,No Data,No Data,No Data,No Data,668,0.021,3,0.005,0.05,No Data,No Data,0.012,No Data,No Data,0.196,No Data,0.091,0.898,469,No Data
M.S. 035 Stephen Decatur,0.89,No Data,No Data,1,71,189,101,No Data,37,No Data,0.814,0.462,No Data,0.236,No Data,No Data,2.35,0.02,No Data,0.784,60,Well Developed,0.041,0.98,0.82,0.647,18,71,208,No Data,No Data,71,No Data,0.841,85,214,0.716,1,0.0,0.241,0,0.595,0.003,No Data,189,0.702,0.85,No Data,0.824,31,35
Riverdale Avenue Community School,0.73,No Data,0,3,No Data,No Data,148,No Data,No Data,No Data,0.745,No Data,Proficient,0.251,No Data,12,No Data,0.024,Proficient,0.612,No Data,Proficient,0.012,0.74,No Data,0.438,No Data,No Data,301,10,0,No Data,Proficient,No Data,No Data,311,0.809,4,0.01,0.314,No Data,No Data,0.004,No Data,No Data,0.706,No Data,No Data,0.625,57,No Data
P.S. 112 Lefferts Park,0.94,2,0,No Data,No Data,No Data,326,0.868,No Data,No Data,0.01,No Data,No Data,0.247,0.946,7,No Data,0.237,No Data,0.963,No Data,Well Developed,0.237,No Data,No Data,0,No Data,No Data,727,23,0,No Data,No Data,No Data,No Data,745,0.009,No Data,0.0,0.047,No Data,No Data,0.001,No Data,No Data,0.009,No Data,0.407,0.782,266,No Data
P.S. 089 Elmhurst,0.92,3,0,2,No Data,No Data,856,0.694,No Data,No Data,0.002,No Data,Proficient,0.687,0.851,31,No Data,0.016,Proficient,0.917,No Data,Well Developed,0.025,0.94,No Data,No Data,No Data,No Data,1744,81,0,No Data,Well Developed,No Data,No Data,1773,0.004,8,0.005,0.114,No Data,No Data,0.002,No Data,No Data,0.016,No Data,0.149,0.743,1303,No Data
P.S. 195 William Haberle,0.93,No Data,0,1,No Data,No Data,211,0.469,No Data,No Data,0.887,No Data,Proficient,0.165,No Data,14,No Data,0.005,Proficient,0.914,No Data,Proficient,0.007,0.92,No Data,0.457,No Data,No Data,442,17,0,No Data,Proficient,No Data,No Data,459,0.871,2,0.005,0.085,No Data,No Data,0.009,No Data,No Data,0.568,No Data,0.042,0.943,35,No Data
P.S. 121 Nelson A. Rockefeller,0.91,2,0,No Data,34,100,153,No Data,10,No Data,0.045,No Data,Well Developed,0.256,0.853,No Data,No Data,0.324,Well Developed,0.957,No Data,Well Developed,0.269,0.91,1,No Data,No Data,34,340,No Data,0,34,Well Developed,1,34,353,0.052,2,0.006,0.072,0,No Data,0.004,No Data,100,0.084,No Data,No Data,0.917,142,13
P.S. 147 Isaac Remsen,0.98,30,0,1,No Data,No Data,154,0.5,No Data,No Data,0.161,No Data,Proficient,0.503,0.737,2,No Data,0.107,Well Developed,0.899,No Data,Well Developed,0.058,0.96,No Data,No Data,No Data,No Data,302,9,0,No Data,Well Developed,No Data,No Data,309,0.232,No Data,0.0,0.171,No Data,No Data,0.003,No Data,No Data,0.207,No Data,No Data,0.741,171,No Data
I.S. 192 The Linden,1,5,0,8,180,450,231,No Data,48,No Data,0.768,0.345,Proficient,0.161,0.824,No Data,2.47,0.004,Proficient,0.993,59,Proficient,0.007,0.99,0.967,0.69,30,180,491,No Data,0,180,Well Developed,0.929,157,518,0.72,22,0.045,0.113,0,0.792,0.009,No Data,450,0.612,0.593,No Data,1,60,40
"I.S. X318 Math, Science & Technology Through Arts",0.77,No Data,No Data,No Data,71,212,102,No Data,50,No Data,0.354,0.632,Proficient,0.699,No Data,No Data,2.13,0.009,Proficient,0.891,8,Proficient,0.011,0.78,1,0.292,7,71,231,No Data,No Data,71,Proficient,1,83,244,0.308,No Data,0.0,0.274,0,0.6,0.003,No Data,212,0.25,No Data,No Data,0.5,147,47
Professor Juan Bosch Public School,0.98,6,No Data,No Data,No Data,No Data,146,No Data,No Data,No Data,0.02,No Data,No Data,0.851,No Data,2,No Data,0.164,No Data,0.957,No Data,Well Developed,0.053,1,No Data,No Data,No Data,No Data,297,9,No Data,No Data,No Data,No Data,No Data,301,0.026,No Data,0.0,0.137,No Data,No Data,0.001,No Data,No Data,0.059,No Data,No Data,0.849,233,No Data
