dbn,school_name,q9_how_much_do_you_agree_disagree_b_my_child_s_is_clean,teacher_engagement_score,q3_how_often_c_been_invited_to_a_w_kshop_program_perf_mance_other_event_at_y,change_in_teacher_academic_expectations_score_2007_2008,change_in_parent_safety_and_respect_score_2007_2008,q9_how_much_do_you_agree_disagree_c_discipline_is_enf_ced_fairly_at_my_child_s,change_in_teacher_communication_score_2007_2008,student_horizon_safety_and_respect_score,q1_number_4th_grade,parent_horizon_communication_score,q2a_number_agree,student_engagement_score,change_in_safety_and_respect_score_2007_2008,engagement_score,parent_communication_score,q2c_number_strongly_agree,q2_how_much_do_you_agree_disagree_c_my_childs_makes_it_easy_f_parents_to_atten,q3_how_often_b_received_inf_mation_on_services_f_your_child_f_you_such_as_t,q5_how_much_do_you_agree_disagree_e_answer_this_question_only_if_you_are_a_high,q2b_number_does_not_apply,q13_how_satisfied_are_you_with_c_how_well_your_child_s_communicates_with_you,total_parents,students_received_surveys,teacher_communication_score,q2_how_much_do_you_agree_disagree_a_i_feel_welcome_in_my_child_s_school,change_in_student_safety_and_respect_score_2007_2008,hor_type,q2b_number_strongly_disagree,q2_how_much_do_you_agree_disagree_b_i_am_satisfied_with_the_response_i_get_when,q2c_number_agree,principal,q2b_number_agree,parent_horizon_safety_and_respect_score,q1_number_10th_grade,q1_number_8th_grade,student_horizon_communication_score,q2c_number_disagree,q2e_number_strongly_disagree,q1_number_1st_grade,parent_horizon_academic_expectations_score,q1_number_pre_kindergarten,q2_how_much_do_you_agree_disagree_e_the_contacts_me_when_my_child_breaks_rules
10X051,P.S. 051 Bronx New School,9.0,9.1,8.6,1.4,0.5,8.7,1.7,.,29,89.5,40,.,0.6,8.5,8.3,96,8.6,6.7,.,0,8.3,235,0,8.3,8.8,.,2,0,8.6,58,Paul  Smith,58,94.7,0,0,.,4,0,11,100.0,0,8.4
02M255,M.S. 255 Salk School of Science,8.5,8.4,7.3,0.5,0.2,8.2,0.1,93.3,0,60.7,61,7.2,0.2,7.7,7.3,76,7.9,5.7,.,3,7.2,373,1,6.9,8.5,-0.1,5,0,8.1,57,Rhonda Perry,57,86.7,0,41,100,15,2,0,72.4,0,8.1
05M129,P.S. 129 John H. Finley,8.6,5.9,8.2,0.9,0.8,8.2,0.2,28.6,30,63.2,83,6.7,0.4,6.7,7.8,111,8.2,7.0,.,1,7.9,390,1,5.9,8.3,-0.6,2,1,8.1,101,Odelphia Pierre,101,63.2,0,0,54.2,8,4,33,80.0,11,7.9
07X296,South Bronx Academy for Applied Media,8.4,7.0,7.5,1.3,0.5,6.5,1.5,40,0,75.0,11,6.1,0.7,6.7,7.7,12,7.8,7.2,.,1,8.2,256,1,6.3,8.6,0.2,5,0,8.3,12,Roshone Ault,10,60.0,0,12,45.5,3,0,0,58.6,0,8.1
17K625,Paul Robeson High School,6.8,5.9,6.9,-0.2,-0.2,6.0,0,6.7,0,16.7,95,5.5,-0.2,5.8,5.9,33,6.6,5.0,5.8,1,5.9,1280,1,5.3,7.1,0.1,7,13,6.2,81,Mr. Ira C. Weston,84,12.1,43,0,25,28,8,0,21.4,0,6.9
10X045,J.H.S. 045 Thomas C. Giordano,7.6,7.1,7.3,2.1,0.7,7.6,1.8,60,0,57.1,311,6.6,0.9,6.8,7.2,182,7.5,6.4,.,6,7.4,976,1,6.5,7.9,0.4,5,9,7.5,347,Anna Marie Giordano,332,63.3,0,213,59.1,31,6,0,65.5,0,7.9
07X343,Academy of Applied Mathematics and Technology,8.2,8.2,7.8,0.4,0,8.0,0.4,70,0,67.9,48,6.9,0.2,7.5,7.5,46,8.0,6.8,.,0,7.7,250,1,7.7,8.2,0.6,5,1,8.0,45,Rose-Marie Mills,50,70.0,0,60,63.6,5,0,0,65.5,0,8.3
13K430,Brooklyn Technical High School,6.7,5.5,5.2,1,0.2,7.0,1.2,70,1,16.7,492,6.6,0.4,6.2,5.9,137,6.6,4.1,6.1,56,5.9,4302,1,5.2,7.0,0.8,7,26,6.6,452,Randy Asher,447,45.5,210,2,50,112,18,0,42.9,1,7.0
09X004,P.S./M.S. 004 Crotona Park West,7.8,6.3,8.6,0.3,0.7,6.9,0.4,55.9,25,59.1,117,6.7,0.8,6.7,7.5,66,7.1,6.9,.,3,7.6,409,1,6.1,7.8,0.7,3,4,7.4,123,Vincent Resto,120,46.2,0,25,50,27,2,18,54.2,0,7.9
16K035,M.S. 035 Stephen Decatur,7.9,7.4,8.1,1.1,1.4,7.6,0.2,76.7,0,57.1,40,7.3,1.4,7.2,7.2,13,7.2,6.8,.,1,7.2,221,1,7.2,7.7,1.4,5,1,7.2,48,Jacklyn Charles-Marcus,45,66.7,0,24,77.3,3,0,0,58.6,0,7.8
05M499,Frederick Douglass Academy,7.7,4.6,7.2,-0.2,0.6,7.4,-1.2,40,0,50.0,79,6.4,0.3,6.0,6.9,56,6.9,6.5,.,1,6.7,1315,1,4.3,7.7,0.4,7,11,6.7,83,Gregory Hodge,83,57.6,38,21,29.2,27,6,0,67.9,0,7.7
02M288,Food and Finance High School,7.0,6.9,6.6,-1.1,-0.4,6.5,-0.1,30,0,13.3,35,5.6,-0.3,6.2,5.8,16,7.2,4.2,6.1,1,5.8,388,1,6.3,7.5,-0.2,7,4,6.6,31,Roger Turgeon,34,36.4,15,0,50,8,3,0,32.1,0,7.5
21K216,P.S. 216 Arturo Toscanini,8.5,6.1,7.7,0.7,0.4,8.0,-0.3,.,54,26.3,115,.,0.2,6.5,7.1,92,7.6,5.6,.,5,7.5,359,0,5.2,7.9,.,2,1,7.6,118,Celia Kaplinsky,129,68.4,0,0,.,22,2,28,45.0,31,7.6
19K510,World Academy for Total Community Health High School,7.6,6.3,7.1,-0.1,1,7.1,0.8,26.7,0,46.7,25,5.7,0.2,6.2,6.8,15,6.9,5.5,6.5,0,6.8,353,1,5.8,7.6,-0.2,7,3,7.2,26,Kim Lawrence,26,51.5,20,0,54.2,6,0,0,46.4,0,8.1
16K026,P.S. 026 Jesse Owens,8.8,6.4,8.9,-0.2,0.9,8.2,-0.2,.,15,78.9,46,.,0.4,6.9,8.1,68,8.1,7.3,.,0,8.5,317,0,6.4,8.7,.,2,0,8.3,66,Michele Ashley,54,78.9,1,0,.,4,2,28,90.0,3,8.4
16K081,P.S. 081 Thaddeus Stevens,8.5,7.9,8.5,0.8,1,8.1,0.5,.,31,68.4,99,.,0.8,7.8,7.9,94,7.9,7.7,.,1,8.1,352,0,7.3,8.3,.,2,4,7.8,122,Cheryl Ault,127,68.4,0,0,.,9,2,46,85.0,5,8.2
16K025,P.S. 025 Eubie Blake School,7.7,6.8,8.8,0.5,2.1,7.4,-0.4,.,11,68.4,54,.,1.3,7.3,7.9,36,7.6,7.9,.,1,8.1,295,0,6.4,8.1,.,2,0,7.9,63,Ms. Carol Walcott,54,47.4,0,0,.,7,0,26,90.0,8,7.6
14K110,P.S. 110 The Monitor,8.5,8.3,8.3,0.2,0.5,8.2,0.2,.,44,73.7,124,.,0.1,8.0,8.0,167,8.2,7.1,.,2,7.9,338,0,7.9,8.5,.,2,2,8.3,137,Anna Cano Amato,131,84.2,0,0,.,12,1,58,75.0,31,8.4
22K425,James Madison High School,6.3,7.4,4.9,0.2,0.6,6.5,0.1,33.3,0,6.7,388,5.8,0.4,6.4,5.6,118,6.7,3.6,6.8,14,5.8,3493,1,7.1,6.9,0.6,7,22,6.6,360,Joseph A. Gogliormella,371,21.2,170,2,29.2,74,15,1,32.1,0,7.2
21K468,Kingsborough Early College School,8.2,9.1,7.4,0.3,0,8.2,-1.4,86.7,0,75.0,47,7,0.1,7.7,7.7,66,8.2,6.2,.,0,7.7,162,1,8.4,8.6,0,5,0,8.5,53,Connie Hamilton,50,86.7,0,0,100,5,3,0,82.8,0,8.2
10X437,Fordham High School for the Arts,6.4,2.1,8.8,-0.8,0.4,6.3,-2.1,36.7,0,40.0,28,6.1,0.4,5.0,6.6,17,7.3,6.3,6.7,0,7.0,395,1,1.5,7.4,0.4,7,2,7.0,24,Iris Blige,27,39.4,18,0,41.7,8,2,0,42.9,0,7.6
18K581,East Flatbush Community Research School,8.1,6.3,8.8,.,.,8.9,.,40,0,107.1,2,6.6,.,6.7,8.6,3,7.8,8.1,.,0,8.1,84,1,5.3,9.3,.,5,0,8.9,6,David Manning,3,76.7,0,0,72.7,0,0,0,86.2,0,9.6
21K188,P.S. 188 Michael E. Berdy,8.1,9.1,8.5,0.6,0.5,7.9,1.1,.,58,57.9,152,.,0.6,8.2,7.7,115,7.7,6.7,.,6,7.9,508,0,8.7,8.2,.,2,2,7.7,163,Frederick M.  Tudda,170,63.2,0,0,.,16,2,41,70.0,21,8.0
19K328,P.S. 328 Phyllis Wheatley,7.2,5.0,7.4,0.5,0.2,6.5,0.1,35.3,12,9.1,47,6.5,0.5,6.0,6.4,24,6.9,6.4,.,0,6.6,423,1,4.4,7.4,0.9,3,5,6.5,58,Douglas Avila,57,23.1,0,10,58.3,10,4,4,20.8,7,7.0
09X070,P.S. 070 Max Schoenfeld,7.3,6.5,7.2,0.5,0.6,7.3,-0.1,.,46,31.6,186,.,0.9,6.6,7.2,107,7.3,6.7,.,6,7.2,1089,0,6.5,7.6,.,2,9,7.2,181,Kerry Castellano,194,36.8,0,0,.,26,7,40,45.0,1,7.5
15K039,P.S. 039 Henry Bristow,8.4,7.1,9.4,-0.2,0.7,7.9,-0.3,.,37,89.5,80,.,0.2,7.5,8.3,119,8.1,8.1,.,1,8.5,312,0,7.1,8.6,.,2,4,8.5,110,Anita De Paz,84,68.4,0,0,.,9,1,36,95.0,22,8.3
14K250,P.S. 250 George H. Lindsay,8.6,6.2,8.8,0.6,0.3,8.4,-0.2,.,91,63.2,243,.,0.3,6.8,7.8,237,8.0,6.8,.,5,7.9,708,0,5.8,8.4,.,2,3,8.1,269,Nora Barnes,268,78.9,0,0,.,17,0,84,75.0,13,8.1
11X288,Collegiate Institute for Math and Science,7.7,6.7,6.5,-0.4,0.6,7.9,1.1,60,0,60.0,53,6.4,0.2,6.5,7.2,31,7.4,6.3,6.9,2,7.0,444,1,6.8,7.9,0.2,7,1,7.6,63,Estelle Hans,57,57.6,27,0,45.8,6,1,0,53.6,0,7.7
17K022,P.S. 022,7.9,4.4,8.5,0.8,0.8,7.2,0.5,.,33,5.3,60,.,0.8,5.5,6.7,30,6.9,6.0,.,2,7.1,511,0,4.7,7.1,.,2,6,6.8,58,Carlen Padmore,57,31.6,0,0,.,16,2,21,35.0,5,7.5
18K244,P.S. 244 Richard R. Green,9.0,7.4,8.4,0.6,0.6,8.4,0.7,.,86,57.9,206,.,0.6,7.4,7.7,200,7.8,6.4,.,3,8.0,736,0,7.3,8.4,.,2,4,8.2,241,Ms. Grace Alesia,232,73.7,0,0,.,30,4,71,75.0,28,8.0
12X196,P.S. 196,8.3,5.7,9.0,-0.2,0.6,8.0,-0.9,.,26,73.7,69,.,-0.1,6.5,8.0,56,7.7,7.5,.,0,8.3,423,0,6.1,8.0,.,2,1,7.7,77,Lizzette Rivera,74,68.4,0,0,.,7,0,0,70.0,2,8.2
09X303,I.S. X303 Leadership & Community Service,8.4,8.4,7.9,2,0.8,8.6,1.7,93.3,0,96.4,40,7.6,1.3,7.9,8.3,73,8.4,7.0,.,1,8.5,317,1,7.9,8.9,1.4,5,1,8.5,57,Patricia Bentley,47,83.3,0,33,86.4,4,0,0,89.7,1,8.7
03M044,J.H.S. M044 William J. O'shea,6.8,6.1,6.3,0.5,0.9,5.9,0.4,63.3,0,10.7,25,6.6,0.9,6.1,5.9,9,5.8,5.9,.,0,5.9,376,1,5.6,6.8,1.2,5,7,5.5,22,Liza Ortiz,21,20.0,0,17,50,7,4,0,-10.3,0,7.0
08X302,M.S. 302 Luisa Dessus Cruz,8.1,7.1,7.9,0.5,1.9,7.9,0.6,53.3,0,75.0,226,7.1,1.1,7.2,7.7,166,7.7,7.4,.,4,7.8,745,1,6.9,8.0,0.7,5,5,7.7,227,Angel Rodriguez,240,76.7,0,114,54.5,23,2,0,72.4,0,7.9
11X016,P.S. 016 Wakefield,8.1,7.3,8.2,1.4,0.8,8.2,1.6,.,35,73.7,78,.,1.1,7.3,8.0,95,8.2,7.2,.,0,7.9,491,0,7.3,8.4,.,2,1,8.0,84,John Morales,90,57.9,0,0,.,10,1,22,80.0,9,8.2
14K586,Lyons Community School,7.1,8.4,8.1,.,.,6.2,.,43.3,0,66.7,13,6.1,.,7.2,7.4,16,8.2,7.1,.,0,7.2,128,1,7.9,8.4,.,7,0,7.8,15,Karen Onishi-Taeko,19,51.5,0,0,54.2,1,0,0,42.9,0,8.3
02M167,J.H.S. 167 Robert F. Wagner,7.7,6.4,7.2,0.8,0.5,7.6,0.6,66.7,0,39.3,182,6.7,0.7,6.7,6.7,84,7.0,5.5,.,4,6.8,1180,1,6.0,7.6,0.5,5,4,7.3,176,Jennifer Rehn,171,63.3,0,90,59.1,33,1,0,48.3,0,7.7
09X035,P.S. 035 Franz Siegel,8.6,6.2,7.6,-1.6,0.2,8.3,-2,.,16,68.4,45,.,-0.6,6.7,7.9,40,7.8,6.9,.,0,8.2,556,0,5.6,8.2,.,2,1,8.1,48,Graciela Navarro,48,73.7,0,0,.,5,0,17,75.0,0,8.2
14K147,P.S. 147 Issac Remsen,8.8,7.1,9.5,0.8,1.1,8.3,1.1,.,38,84.2,89,.,0.4,7.5,8.2,125,8.2,8.4,.,2,8.3,253,0,6.8,8.4,.,2,5,8.0,104,Rafaela Espinal-Pacheco,99,78.9,0,0,.,13,3,24,90.0,32,8.4
04M096,P.S. 096 Joseph Lanzetta,8.3,6.7,9.4,1.1,0.5,7.9,0.3,55.9,17,72.7,56,6.6,0.4,6.9,7.8,48,7.8,7.9,.,0,7.9,518,1,6.0,8.2,0.1,3,0,8.1,63,Victor Lopez,61,69.2,0,9,50,5,0,9,75.0,9,8.0
21K153,P.S. 153 Homecrest,8.1,6.9,8.5,1.3,0.4,7.8,1.2,.,54,36.8,213,.,0.4,7.2,7.3,155,7.8,6.6,.,4,7.4,452,0,6.5,8.0,.,2,7,7.5,204,Carl Santamaria,229,68.4,0,0,.,18,5,65,35.0,19,7.8
02M114,East Side Middle School,7.9,8.2,7.2,0.1,0.2,7.9,-0.2,103.3,0,50.0,61,7.6,0.2,7.7,7.0,42,7.5,6.1,.,1,7.2,345,1,7.6,7.4,0.3,5,7,7.2,70,David Getz,55,73.3,0,41,95.5,9,0,0,79.3,0,7.9
06M128,P.S. 128 Audubon,8.5,7.9,8.8,1,0.6,8.0,1,.,29,68.4,47,.,0.8,7.8,7.9,67,8.1,7.4,.,0,7.8,643,0,7.7,8.3,.,2,3,7.9,48,Rosa Argelia Arredondo,54,73.7,0,0,.,5,2,18,65.0,1,8.3
12X129,P.S. 129 Twin Parks Upper,7.1,7.5,6.5,.,0.5,7.6,.,43.3,0,50.0,145,6.3,0.7,6.8,7.0,74,7.2,6.2,.,3,7.2,444,1,7.4,7.6,0.3,5,9,7.3,164,Yvette Beasley,144,60.0,0,82,45.5,22,6,0,62.1,0,7.7
17K289,P.S. 289 George V. Brower,7.9,7.6,9.3,1.7,0.9,6.9,1.7,.,61,36.8,205,.,1.2,7.2,7.3,82,6.7,6.8,.,1,7.2,660,0,7.3,7.4,.,2,15,6.9,196,Mr. Dennis O. Jeffers,200,26.3,0,0,.,52,7,51,60.0,11,7.4
02M412,N.Y.C. Lab School for Collaborative Studies,7.0,6.3,7.9,-0.8,0.3,7.4,-0.1,63.3,0,46.7,68,6.2,0.1,6.5,6.8,70,7.8,6.3,7.3,2,7.1,494,1,4.5,8.4,-0.3,7,4,7.2,80,Brooke Jackson,93,60.6,48,0,87.5,12,1,0,60.7,0,7.8
18K115,P.S. 115 Daniel Mucatel School,8.5,8.7,8.7,1.3,0.6,8.2,2.1,.,111,68.4,265,.,1.2,8.2,7.9,245,7.9,7.2,.,0,7.9,897,0,8.4,8.4,.,2,5,8.0,325,Mitchell Pinsky,307,68.4,0,0,.,18,1,74,80.0,20,8.3
21K239,Mark Twain I.S. 239 for the Gifted & Talented,8.3,8.6,7.2,0.2,0.3,8.3,1.1,103.3,0,64.3,483,7.6,0.3,7.7,7.4,429,7.8,6.5,.,24,7.4,1209,1,8.1,8.2,0.5,5,12,7.9,507,Carol Moore,505,83.3,0,318,68.2,63,7,1,82.8,0,8.3
01M110,P.S. 110 Florence Nightingale,8.2,7.3,8.4,-0.8,0.2,7.5,-1,.,9,52.6,61,.,-0.1,7.4,7.6,38,7.4,7.3,.,1,7.7,418,0,7.1,7.8,.,2,3,7.6,71,Irene Quvus,65,52.6,0,0,.,11,1,16,75.0,7,7.8
02M298,Pace High School,7.7,8.1,5.2,1.2,0.5,7.8,1.2,86.7,0,60.0,37,6.6,0.5,7.1,7.2,35,7.8,5.0,7.8,2,7.3,402,1,8.1,8.0,0.6,7,1,8.0,29,Yvette Sy,32,75.8,24,1,91.7,4,1,0,78.6,0,8.3
07X427,Community School for Social Justice,8.3,6.8,8.1,1.5,-0.1,6.8,1.7,56.7,0,53.3,20,6.3,0.4,6.6,7.0,14,7.5,6.9,6.6,2,7.1,340,1,5.8,7.2,0.4,7,3,7.2,20,Sue-Ann Rosch,17,51.5,15,0,70.8,3,3,0,57.1,0,7.0
10X205,P.S. 205 Fiorello Laguardia,8.5,7.5,8.7,0.1,0.5,8.3,0.2,.,102,73.7,289,.,0.3,7.5,8.0,265,7.8,7.3,.,4,8.1,765,0,7.2,8.4,.,2,4,8.0,344,Maria Pietrosanti,339,78.9,0,0,.,24,4,112,85.0,2,8.1
07X154,P.S. 154 Jonathan D. Hyatt,8.6,5.7,8.3,1.6,0.9,8.3,0.4,.,16,68.4,83,.,1.1,6.6,7.9,87,7.8,6.9,.,0,8.2,406,0,5.7,8.3,.,2,2,7.8,82,Cynthia Ballard,92,68.4,0,0,.,13,1,22,80.0,18,8.3
01M515,Lower East Side Preparatory High School,7.5,7.0,7.0,0.3,0.1,7.8,1,55.6,0,16.7,148,6.9,0.2,6.9,7.0,64,7.5,5.8,.,2,7.0,458,1,5.4,7.5,0.4,8,0,7.3,136,Martha Polin,146,50.0,93,0,40.7,9,1,0,13.0,0,7.5
12X195,P.S. 195,7.9,6.2,8.5,0.2,0.2,7.1,-0.1,.,17,21.1,44,.,0.1,6.3,7.0,25,7.3,6.8,.,0,7.2,431,0,5.8,7.7,.,2,5,7.1,44,Andrew Kavanagh,47,42.1,0,0,.,8,2,0,10.0,0,7.5
17K548,Brooklyn School for Music & Theatre,7.9,7.9,7.7,0.9,1.3,7.4,0.7,46.7,0,46.7,29,6.6,0.5,7.2,6.8,9,6.7,5.8,7.1,0,7.1,383,1,7.0,7.7,0.1,7,2,7.3,31,Pamela Randazzo-Dorcely,29,63.6,19,0,54.2,7,1,0,64.3,0,7.8
14K558,Williamsburg High School for Architecture and Design,7.3,4.2,7.7,0.7,0,6.9,0.3,16.7,0,40.0,40,5.1,0.3,5.2,6.6,15,7.2,6.1,6.9,2,6.8,375,1,3.2,7.1,-0.1,7,1,7.2,33,Steve Farina,35,33.3,18,1,29.2,5,3,0,32.1,0,7.2
02M407,Institute for Collaborative Education,7.7,9.4,8.0,0.5,0.7,8.6,0.8,96.7,0,86.7,31,7.8,0.7,8.4,8.0,66,8.1,6.2,.,0,7.8,383,1,8.7,9.1,0.5,7,5,8.0,45,John Pettinato,46,84.8,13,21,137.5,7,1,0,103.6,0,8.8
19K364,I.S. 364 Gateway,7.6,7.3,7.8,0.1,0.2,8.0,0.3,56.7,0,46.4,36,6.2,-0.1,6.8,6.9,22,7.5,6.9,.,1,7.0,379,1,7.1,8.2,0.2,5,1,7.4,46,Dale Kelly,47,73.3,0,32,54.5,4,1,0,55.2,0,8.0
12X267,Bronx Latin,7.7,6.8,5.8,-0.6,0.9,7.7,-1,46.7,0,70.0,83,6.5,0.2,6.7,7.5,42,7.1,6.4,.,2,7.6,243,1,6.0,7.7,0.1,7,1,7.4,79,Leticia Pineiro,89,72.7,0,38,79.2,14,2,0,71.4,0,8.1
17K189,P.S. 189 Lincoln Terrace,8.1,6.9,7.2,0.8,0.7,8.1,0.8,55.9,75,68.2,283,7,0.5,7.0,7.7,332,8.0,6.6,.,5,7.7,904,1,7.0,8.2,0.4,3,19,7.8,306,Ms. Berthe G. Faustin,308,69.2,0,93,54.2,28,8,55,75.0,3,8.4
13K270,P.S. 270 Johann DeKalb,8.5,6.5,9.0,1.2,0.4,7.6,0.2,.,9,84.2,56,.,0.5,7.1,8.2,75,8.3,7.7,.,2,8.1,212,0,5.6,8.2,.,2,1,8.1,58,Mitra Lutchman,58,57.9,0,0,.,6,1,29,75.0,7,8.5
09X327,Comprehensive Model School Project M.S. 327,8.7,7.8,7.5,1.2,0.8,8.4,0.7,93.3,0,89.3,61,7.2,0.6,7.3,8.1,76,8.0,7.3,.,2,8.3,203,1,7.6,8.6,0.8,5,2,8.5,76,Manuel Ramirez,58,86.7,0,37,77.3,12,0,0,93.1,0,8.9
06M325,P.S. 325,7.9,4.9,8.3,0.4,1,7.5,-1.6,35.7,28,68.4,86,6.2,0.2,6.0,7.9,88,7.8,7.5,.,0,7.8,389,1,4.6,8.1,-0.4,2,6,7.7,85,Gary H. Cruz,89,57.9,0,0,33.3,11,1,26,70.0,0,8.2
11X019,P.S. 019 Judith K. Weiss,8.8,6.4,7.6,0.1,-0.1,7.7,-0.2,85.3,10,59.1,28,7.4,0.2,7.0,7.5,54,8.1,5.7,.,0,7.8,369,1,6.2,8.9,0,3,1,8.4,37,Michael L. Schurek,33,69.2,0,13,54.2,8,2,12,83.3,0,7.9
13K412,"Brooklyn Community High School of Communication, Arts and Media",8.4,7.6,7.3,0.7,0.9,8.0,0.8,50,0,70.0,12,6.5,-0.2,7.2,7.5,14,7.4,6.3,7.2,1,7.6,213,1,6.8,8.5,.,7,0,8.3,14,James O'Brien,14,81.8,20,1,87.5,5,0,0,75.0,0,8.1
17K531,"School for Human Rights, The",7.2,6.4,7.3,2,0.9,7.1,2,26.7,0,46.7,48,5.8,1.2,6.3,6.8,31,7.1,6.0,.,1,6.9,428,1,6.3,7.7,0.1,7,7,6.8,52,Michael Alexander,56,45.5,13,18,54.2,9,5,0,28.6,0,7.9
16K304,P.S. 304 Casimir Pulaski,8.4,5.2,8.3,1.8,1.4,6.9,0,.,21,42.1,51,.,1.6,6.1,7.4,43,7.4,6.7,.,1,7.3,259,0,4.2,7.9,.,2,4,7.4,47,Laverne Robinson,51,42.1,0,0,.,15,0,10,50.0,14,7.9
17K524,International High School at Prospect Heights,8.2,7.4,6.5,0.6,0.4,8.1,-0.2,73.3,0,70.0,33,6.9,0.3,7.1,7.5,31,8.2,5.8,7.8,0,7.9,380,1,6.5,8.0,0,7,0,7.9,26,Alexandra Anormaliza,36,75.8,17,1,75,3,0,0,78.6,0,8.0
16K028,P.S. 028 The Warren,8.5,7.8,8.7,0.9,1.1,8.0,1.3,.,18,78.9,39,.,1.1,7.7,8.1,40,8.0,7.6,.,0,7.9,194,0,7.8,8.7,.,2,2,8.0,52,Sadie Silver,48,68.4,0,0,.,3,0,10,70.0,5,8.3
21K620,William E. Grady Career and Technical Education High School,7.5,5.8,6.8,0.8,0.8,7.4,0.7,30,0,46.7,57,5.8,0.4,5.9,6.8,23,6.8,6.5,6.7,0,7.1,1300,1,5.8,7.5,0.5,7,8,6.8,61,Carlston Gray,63,48.5,19,1,20.8,8,2,0,46.4,0,7.5
10X368,In-Tech Academy (M.S. / High School 368),8.7,6.6,7.3,0.3,0.8,8.1,0.8,53.3,0,56.7,125,6.2,0.4,6.6,7.1,119,7.7,5.8,.,1,7.4,849,1,6.6,8.3,0.1,7,4,7.6,129,Rose Fairweather-Clunie,134,81.8,28,62,50,25,5,0,64.3,0,8.1
20K127,P.S. 127 Mckinley Park,8.3,8.3,8.2,0.8,0.3,8.1,-0.1,.,18,47.4,66,.,0.3,7.9,7.5,55,7.8,6.6,.,1,7.8,304,0,7.5,8.3,.,2,1,8.0,73,Pauline Frank,63,73.7,0,1,.,6,0,20,45.0,0,8.1
13K509,Freedom Academy High School,7.9,5.7,7.3,-1.3,0.3,7.0,-1.7,33.3,0,16.7,18,5.6,-0.2,5.8,5.9,12,6.6,4.8,5.7,0,5.9,302,1,4.9,7.1,0.1,7,5,6.2,16,Alyson Forde,15,33.3,14,0,50,9,2,0,10.7,0,7.4
03M149,P.S. 149 Sojourner Truth,6.3,7.4,7.7,0.4,-0.2,6.2,0.2,50,15,13.6,50,6.9,0.3,6.8,6.5,19,5.9,6.0,.,2,6.8,365,1,6.9,6.3,0.3,3,17,6.2,58,Shaniquia L. Singletary,60,19.2,0,11,54.2,15,13,7,41.7,8,6.6
07X655,Samuel Gompers Career and Technical Education High School,7.0,5.4,7.3,0.4,0.7,6.7,0.4,23.3,0,30.0,87,5.7,0.6,5.8,6.3,43,6.9,5.6,6.1,1,6.4,1353,1,5.0,7.1,0.4,7,14,6.4,80,Joyce Mills Kittrell,74,33.3,40,0,25,15,7,0,25.0,3,7.6
09X328,New Millennium Business Academy Middle School,8.0,3.2,7.3,-1.8,1.7,6.9,-1.8,30,0,57.1,36,6.1,0.6,5.3,7.2,23,7.5,7.1,.,1,7.3,246,1,3.5,7.7,0.6,5,4,7.2,33,Dorald Bastian,37,53.3,0,15,50,4,3,0,48.3,0,8.0
18K232,I.S. 232 The Winthrop,7.0,5.9,6.8,0.3,0.6,6.7,-0.1,13.3,0,42.9,33,5.9,0.3,6.2,6.8,20,7.2,5.1,.,1,6.8,485,1,5.7,7.8,-0.1,5,0,7.4,30,Ingrid Thomas-Clark,30,43.3,0,28,31.8,9,0,0,34.5,0,8.4
14K318,J.H.S. 318 Eugenio Maria De Hostos,8.4,8.5,6.6,0.4,0.3,8.3,0.7,96.7,1,71.4,171,7.5,0.4,7.8,7.6,158,7.7,6.5,.,1,7.7,1380,1,7.7,8.4,0.7,5,4,8.1,214,Fred Rubino,189,83.3,1,103,54.5,21,0,0,79.3,1,8.3
13K093,P.S. 093 William H. Prescott,8.3,6.6,7.6,0,0.9,7.3,-0.1,.,15,31.6,45,.,0.4,6.7,7.2,27,7.3,6.1,.,2,7.6,356,0,6.1,7.8,.,2,2,7.3,48,Yvonne Knight,52,52.6,0,0,.,7,0,13,55.0,5,7.5
02M545,High School for Dual Language and Asian Studies,8.0,7.4,5.6,0.8,0.5,7.9,0.8,96.7,0,53.3,139,6.7,0.3,6.9,7.0,52,7.3,6.0,7.1,4,7.0,270,1,6.2,7.6,0.1,7,0,7.2,142,Li Yan,145,84.8,43,0,54.2,10,1,0,53.6,0,7.6
03M247,M.S. M247 Dual Language Middle School,9.5,6.7,9.5,0.9,1.8,9.6,0.2,103.3,0,125.0,18,8,0.8,7.8,9.1,90,9.4,8.2,.,0,9.3,170,1,6.4,9.4,0.7,5,0,9.4,20,Claudia Aguirre,19,113.3,0,42,109.1,0,0,0,120.7,0,9.4
20K187,I.S. 187,8.3,8.4,7.5,-0.1,0.3,8.3,-0.1,106.7,0,67.9,187,7.4,0.2,7.8,7.5,157,7.8,6.4,.,9,7.7,944,1,7.3,8.2,0.1,5,2,7.9,204,Justin Berman,205,86.7,0,133,45.5,21,0,1,72.4,0,8.4
01M363,Neighborhood School,8.5,9.9,9.6,1.1,-0.1,7.9,1.9,.,14,84.2,15,.,0.3,9.2,8.2,47,8.6,8.4,.,0,8.2,226,0,9.8,9.3,.,2,1,8.8,30,Judith Foster,23,68.4,0,0,.,2,0,10,70.0,3,8.2
06M008,P.S. 008 Luis Belliard,9.1,7.4,8.9,1.1,0.8,8.4,0.6,.,54,78.9,138,.,0.9,7.6,8.1,214,8.5,8.2,.,1,8.2,488,0,7.1,8.5,.,2,4,8.2,138,Mrs. Rafaela Landin,152,84.2,1,0,.,15,1,57,65.0,1,8.4
