omppropid,descriptio,nys_assemb,classorg,subcategor,proplocati,name,zipcode,shape_star,accessible,ampstype,nan with global_id,DOT with global_id,Other with global_id
XZ405,Schneider-sampson Park,82,NYCPARKS,Type 1 Greenstreet,,,10461,1995.1231842,,S,{29F67979-0975-42B8-984F-A920BD5E8A6E},,
QZ175,"Greenstreet - Broadway, Northern, 53 Pl",30,NYCPARKS,Type 1 Greenstreet,,,11377,3550.87445068,,S,,{20EE525A-9771-4977-9DDB-D6261E69138A},
BZ182,GREENSTREET-Flatbush Malls,"44, 42",NYCPARKS,Type 2 Greenstreet,,,11230,1193.37138367,,S,{67FAA13F-19D5-46E9-BD42-FF7E05D2F4A4},,
QZ1004,Jackson Avenue Medians,37,NYCPARKS,,,,11101,1888.36405945,,S,,{94618635-582F-4003-B19C-105E0F17F1E9},
BZ559,"Vanderbilt Av Pedestrian Refuges, Park to Dean",57,NYCPARKS,,,,11238,408.494491577,,S,,{30D306CC-034B-4B3E-9CAD-A3AAAEDB8276},
BZ461,Archie C Ketchum Triangle,47,NYCPARKS,Type 1 Greenstreet,,,11223,2264.70669556,,S,{76218816-7AA6-4F46-BC3C-18C40CBBCCEF},,
BZ532,"Grand Army Plaza, Bailet Fountain",52,NYCPARKS,,,,11238,630.819091797,,S,,{B2B47E9B-8C60-490A-8971-8FC5DF86D069},
QZ950,Rafferty Triangle-Greenstreet,37,NYCPARKS,,,,11101,16949.1452179,,S,{A1FFC578-71D0-4354-8785-9DA0EC0EF741},,
MZ35,GREENSTREET,65,NYCPARKS,Type 1,,,10038,2370.33706665,,S,,{24429B0A-C594-427F-8D2E-2BE4D1522A40},
MZ158,Greenstreet,71,NYCPARKS,Type 2 Greenstreet,,,10039,2171.13800049,,S,{0999AF7A-9239-41F4-9144-ECB7D4C6492D},,
QZ208,Greenstreet,36,NYCPARKS,Type 1,,,11370,1214.88008118,,S,,{9F58CE25-F179-4A72-908E-9596192CA8F5},
QZ28,Greenstreet,25,NYCPARKS,Sitting Area/Triangle/Mall,,,11365,856.983108521,,S,,{2C742D1B-EC56-447C-ADB4-D62F45DAF79A},
QZ433,Greenstreet,27,NYCPARKS,Type 1 Greenstreet,,,11415,1055.49415588,,S,,{2939F6BD-BF29-47C5-926B-522B6FCCE42B},
XZ146,Greenstreet,80,NYCPARKS,Type 1 Greenstreet,,,10467,6375.62779236,,S,{11466149-FD4E-4093-A48C-ABF3C4D9EDD9},,
QZ429,Greenstreet,27,NYCPARKS,Type 1 Greenstreet,,,11415,2750.01525879,,S,,{4E2848FE-66AA-47D0-985D-C2377470467C},
QZ716,Greenstreet,"35, 39",NYCPARKS,,,,11368,3777.79144287,,S,,{3E9D17EE-9C02-41B1-96D6-86F503CB92AE},
QZ873,Greenstreet,24,NYCPARKS,,,,11423,302.547592163,,S,,{C12C86CB-2A93-452C-BAA7-C443818A9EE5},
QZ54,Greenstreet,24,NYCPARKS,Type 1,,,11432,1642.48776245,,S,,{B98F027E-1EAC-4AAA-A6F9-4B414DBBD281},
XZ327,University Malls,77,NYCPARKS,Type 1 Greenstreet,,,10453,14717.5106049,,S,,,{CEFFE243-DECC-4064-9FD5-E8E44C9BBB1B}
QZ448,Greenstreet,23,NYCPARKS,Type 1,,,11417,3276.19450378,,S,,{940D61F0-F9AE-45C2-B622-C3BAEA8D9296},
BZ468,Triangle,59,NYCPARKS,Type 1 Greenstreet,,,11234,4515.28582764,,S,{E096F896-F5D4-4D8A-BF07-8B4849643604},,
QZ958,Hillside Ave Btw 181-182,29,NYCPARKS,,,,11432,462.215057373,,S,,{E16DE767-2AE2-450F-9BDA-4CD0F8DCFDC5},
BZ549,Park Circle Greenstreets,44,NYCPARKS,Type 1,,,11218,605.412536621,,S,,{6457FFA0-67D1-4D93-9385-E1C12A90B87C},
MZ172,Greenstreet,70,NYCPARKS,Type 1 Greenstreet,,,10030,2046.40971375,,S,{AAA97D94-2C2B-466A-ACD9-2BDCA1D2C71F},,
QZ514,Greenstreet,"29, 32",NYCPARKS,Type 1,,,11433,2458.95329285,,S,,{6EAF8AF8-F3FA-4D21-B155-BB9A83CE6F19},
MZ367,Rutger St Pedestrian Refuges,65,NYCPARKS,,,,10002,831.096725464,,S,,{8981CEA1-0865-4878-8B5A-0219E88ED8F0},
MZ234,GREENSTREET,66,NYCPARKS,Type 2,,,10012,2099.12437439,,S,,{7D1F9525-92DA-4D1D-BE39-B4C2BB067407},
BZ198,Willmohr Triangle,58,NYCPARKS,Type 1 Greenstreet,,,11212,7932.03601074,,S,{19B6B63A-0577-4C6C-9A36-E7DB444BF971},,
BZ228,Greenstreet,52,NYCPARKS,Type 1,,,11201,2507.09690857,,S,,{BA59EEF5-BFD4-41B1-96AA-15BD27AE9FBB},
XZ414,Rosedale Bus Stop,87,NYCPARKS,Type 1 Greenstreet,,,10472,5191.60173035,,S,{C99185B9-3DC3-40B7-9DF9-1827CE77DCD4},,
MZ296,GREENSTREET,74,NYCPARKS,,,,10009,1051.37513733,,S,,{C7EAFB95-6661-4E7E-836D-FE44165D1F07},
QZ554,Greenstreet,29,NYCPARKS,Type 2,,,11413,1511.754776,,S,,{ED7ED760-D5BD-4E09-8446-266951F667B7},
QZ689,Greenstreet,23,NYCPARKS,Type 2,,,11693,8692.96177673,,S,,{0D4D2ED9-9370-463A-8F15-5E12A03C0F91},
QZ503,Greenstreet,32,NYCPARKS,Type 2,,,11434,2162.5725708,,S,,{6DCF351F-CA62-4BD9-9CDC-5BD83C396370},
QZ372,Greenstreet,25,NYCPARKS,Type 2,,,11364,2604.50656128,,S,,{276E3E36-0685-4471-972D-57B2E71A67E6},
QZ116,Greenstreet,40,NYCPARKS,Type 1,,,11354,1043.4586792,,S,,{ED1A6991-4C17-4233-BDD2-1E28E2B759D9},
QZ323,Greenstreet,35,NYCPARKS,Type 1,,,11375,5796.75022888,,S,,{B04A864E-F375-48EF-8FBA-4B1BC4FFD2BA},
MZ311,Thomas Jefferson Park,68,NYCPARKS,,,,10029,903.484527588,,S,,{CF7A4C9C-9828-4E7C-BB7B-CA7D29E4F745},
MZ179,Greenstreet,70,NYCPARKS,Type 2 Greenstreet,,,10027,1902.8249054,,S,{215F856A-3DD4-4854-B39F-BE4DBD99A8B6},,
QZ76,Greenstreet,31,NYCPARKS,Type 1,,,11420,966.330780029,,S,,{5B4C3C4C-FD66-42F4-BC7A-D2839CCBBA0B},
QZ142A,Flushing Meadows Park-Greenstreet,35,NYCPARKS,Type 2,,,11368,18539.0410309,,S,,,{C60ED292-7F8C-44E4-AFAC-6AF2FD6FD161}
XZ441,JOHN MULLALY PARK-Greenstreet,84,NYCPARKS,,,,10452,394.001373291,,S,{7C2CF571-5A39-45C0-B85A-90A2B76CAE3D},,
XZ330,Greenstreet,81,NYCPARKS,Type 1,,,10471,3649.90382385,,S,{7EA3AF1E-C1DC-470E-B61F-B75B2B45B3B5},,
QZ909,Greenstreet,25,NYCPARKS,,,,11365,733.694763184,,S,,{2E53D65A-66BC-401A-8AEE-E91F5AA570EA},
QZ551,Greenstreet,29,NYCPARKS,Type 2,,,11413,3455.47787476,,S,,{28FAC42B-7833-4C6C-B28E-D59299E97813},
MZ297,GREENSTREET,74,NYCPARKS,,,,10009,1079.22868347,,S,,{828403C6-E2AD-41D6-9713-DE07F01C2455},
BZ493,Park-Greenstreet,52,NYCPARKS,Type 1 Greenstreet,,,11215,4006.90568542,,S,{B9EB1277-8E93-4CC5-9F1E-779039917084},,
QZ552,Greenstreet,29,NYCPARKS,Type 1,,,11422,2428.83132935,,S,,{776B91A0-FD6E-427F-AB3C-E93351CD8BE3},
QZ121,Greenstreet,26,NYCPARKS,Type 1,,,11361,547.355819702,,S,,{37D44841-1C26-4AFC-BAF8-8B2CB19F2BCF},
BZ183,GREENSTREET-Flatbush Malls,"44, 42",NYCPARKS,Type 2 Greenstreet,,,11230,1408.10548401,,S,{5F59E8CD-1C3E-44A3-826A-06D45A252E14},,
MZ393,Greenwich Ave & 7th Ave,66,NYCPARKS,,,,10014,114.222549438,,S,,{13B3A1F4-36B7-4DC4-B346-7C6BB4E264ED},
QZ784,Greenstreet,26,NYCPARKS,,,,11362,1454.50965881,,S,,{A04539DC-F7D4-44B5-9FDB-D6F8121C16C2},
QZ774,Greenstreet,25,NYCPARKS,,,,11365,1179.12510681,,S,,{0446EE02-BCC9-4EFC-B7A1-672ECD64DFDE},
MZ337,SEVENTH AVE CENTER PLOTS-Greenstreet,"70, 71",NYCPARKS,Type 1 Greenstreet,,,10030,2016.6269989,,S,{8A6498F0-5186-4845-8B1A-BA27EEC945A5},,
QZ799,Triangle,27,NYCPARKS,Type 1 Greenstreet,,,11415,4842.65480042,,S,{8906E35B-B4CC-434A-B7A7-D7F4A47E8D03},,
MZ314,GREENSTREET,75,NYCPARKS,,,,10011,60.032699585,,S,,{4DCB20EA-7D12-45AF-BC3E-D713D74A470F},
BZ534,Cropsey Ave,46,NYCPARKS,,,,11214,12444.0718994,,S,,{5AD8BA52-133A-40C5-BE80-6913804427D7},
MZ316,GREENSTREET,75,NYCPARKS,,,,10011,49.983215332,,S,,{205472F2-25CC-456C-A317-A7E3460C51B3},
RZ312,Woodrow Rd (Arthur Kills - Boylan) S,63,NYCPARKS,,,,10312,1854.83921051,,S,,{8A210818-7CBB-47B7-9126-7F13CF07FA80},
QZ258,Greenstreet,34,NYCPARKS,Type 2 Greenstreet,,,11372,1714.34532166,,S,,{23A99383-AD0A-471D-AA7E-7B8A0D21E286},
RZ239,Haven Esplanade-Haven Esplanade (lower),61,NYCPARKS,Type 1,,,10301,1015.12580872,,S,,{13B5697A-097C-4FF0-8420-3722E38333B8},
