school_name,q24_how_satisfied_are_you,q11_i_trust_the_principal_1,q8_i_feel_respected_by_my_1,q21_since_the_beginning_of,q18_the_principal_school,q2_teachers_work_closely,q19_the_principal_school_1,q13_my_child_s_teachers_think,q9_my_child_s_race_ethnicity_1,q4_i_feel_respected_by_my_1,q7_my_child_s_school,q22_since_the_beginning_of,q29_during_the_school_year_1,q26_how_satisfied_are_you,q40_if_you_are_a_parent_1,q37_if_you_are_a_parent_1,q6_my_child_s_school_1,q20_the_principal_school_1,q33_if_you_are_a_parent_1,q8_i_feel_respected_by_my,q35_if_you_are_a_parent_1,q32_if_you_are_a_parent_1,q19_the_principal_school,q1_school_staff_regularly,q32_if_you_are_a_parent,q28_how_satisfied_are_you_1,q42_if_you_are_a_parent,q42_if_you_are_a_parent_1
P.S. 310 Marble Hill,100%,1%,1%,97%,98%,97%,3%,97%,2%,1%,99%,98%,40%,100%,0%,18%,1%,2%,3%,99%,0%,4%,97%,97%,96%,,100%,0%
Harvest Collegiate High School,95%,7%,5%,80%,97%,85%,3%,93%,4%,5%,93%,75%,21%,92%,0%,27%,5%,6%,0%,95%,8%,0%,97%,83%,0%,,0%,0%
Mount Eden Children'S Academy,100%,1%,1%,95%,99%,97%,1%,99%,0%,1%,100%,97%,11%,97%,8%,0%,1%,0%,0%,99%,0%,1%,99%,99%,99%,,100%,0%
Bronx River High School,93%,3%,1%,77%,100%,91%,0%,98%,1%,1%,100%,82%,41%,97%,0%,24%,1%,0%,0%,99%,14%,0%,100%,85%,0%,,0%,0%
P.S. 135 Sheldon A. Brookner,96%,1%,1%,93%,92%,92%,1%,96%,3%,0%,97%,96%,19%,97%,0%,8%,1%,1%,3%,99%,0%,3%,99%,95%,97%,,,
P.S. 004 Duke Ellington,99%,1%,0%,98%,99%,99%,0%,99%,1%,1%,100%,97%,9%,98%,11%,5%,1%,0%,1%,100%,0%,3%,100%,98%,97%,,100%,0%
P.S. 026 Jesse Owens,94%,12%,12%,96%,91%,94%,6%,98%,10%,8%,92%,94%,8%,100%,0%,19%,8%,6%,6%,88%,0%,6%,94%,90%,94%,,100%,0%
J.H.S. 227 Edward B. Shallow,92%,4%,4%,69%,94%,85%,4%,93%,4%,3%,94%,85%,64%,93%,0%,10%,8%,7%,0%,96%,0%,0%,96%,85%,0%,,0%,0%
High School For Media And Communications,98%,1%,2%,93%,99%,98%,1%,99%,1%,1%,99%,95%,8%,99%,0%,4%,1%,2%,0%,98%,2%,0%,99%,98%,0%,,0%,0%
Community Health Academy Of The Heights,99%,1%,1%,96%,99%,98%,1%,98%,1%,1%,100%,96%,8%,97%,0%,2%,1%,1%,0%,100%,1%,0%,99%,99%,0%,,0%,0%
Theatre Arts Production Company School,97%,1%,3%,96%,100%,88%,0%,92%,6%,4%,99%,90%,40%,99%,0%,7%,0%,2%,0%,97%,20%,0%,100%,92%,0%,,0%,0%
Health Opportunities High School,100%,3%,2%,70%,99%,95%,1%,99%,2%,4%,100%,67%,55%,99%,0%,0%,0%,1%,0%,98%,1%,0%,99%,100%,0%,,0%,0%
Pelham Academy Of Academics And Community Engagement,97%,6%,5%,90%,95%,94%,5%,97%,4%,4%,97%,89%,25%,98%,0%,8%,4%,6%,0%,95%,0%,0%,95%,93%,0%,,0%,0%
