name_prog1,swdseats_prog10,bbl,geappsperseat_prog2,code_prog6,priority3_prog1,priority2_prog2,geappsperseat_prog3,name_prog4,othersports,priority4_prog2,bus,gefilled_prog14,geseats_prog1,swdapps_prog2,swdappsperseat_prog3,url,priority2_prog1,swdseats_prog12,community_board,geapps_prog7,swdapps_prog5,priority3_prog2,geseats_prog11,admissionsmethod_prog14,gefilled_prog1,geapps_prog10,swdappsperseat_prog10,geappsperseat_prog7,swdappsperseat_prog11,priority2_prog7,geappsperseat_prog10,priority1_prog8,code_prog13,geseats_prog14,admissionsmethod_prog9,nta,swdseats_prog15,swdseats_prog3,geseats_prog12,geseats_prog8,swdfilled_prog15,priority2_prog6
Expeditionary Learning,,4161670099.0,,,,,,,"Basketball, Flag Football, Running Club, Soccer, Tennis, Volleyball",,"Q22, Q52, Q53, QM16, QM17",,124.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/12192'},Then to Queens students and residents,,414.0,,,,,,Y,,,,,,,,,,,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,,,,,,
Spanish Newcomers Program,,2032470070.0,,,,,,,"Basketball, Soccer, Swimming, Tennis, Volleyball",,"Bx1, Bx10, Bx2, Bx22, Bx26, Bx28, Bx3, Bx32, Bx34, Bx38, Bx9, BxM3, BxM4",,48.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/10118'},Then to Bronx students and residents,,207.0,,,,,,Y,,,,,,,,,,,Van Cortlandt Village,,,,,,
School of the Future Brooklyn,,3038020015.0,,,,,,,"Basketball, Fitness Club, Flag Football, Lacrosse, Running Club, Soccer, Step, Track and Field, Yoga",,"B14, B15, B20, B83",,69.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/11138'},,,305.0,,,,,,N,,,,,,,,,,,East New York (Pennsylvania Ave),,,,,,
Zoned Program,,4012600001.0,,,,,,,"Basketball, Cheerleading, Fitness Club, Martial Arts, Soccer, Volleyball",,"Q32, Q33, Q47, Q49, Q53, Q66, Q70-SBS, QM3",,334.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/12639'},,,403.0,,,,,,N,,,,,,,,,,,Jackson Heights,,,,,,
South Bronx Academy for Applied Media,,2026550030.0,,,,,,,"Boxing, Cheerleading, Dance, Fitness Club, Soccer, Step, Yoga",,"Bx13, Bx15, Bx17, Bx19, Bx21, Bx4, Bx46, Bx4A, Bx6",,79.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/9624'},Then to Bronx students and residents,,201.0,,,,,,N,,,,,,,,,,,Melrose South-Mott Haven North,,,,,,
Andries Hudde (I.S. 240),,3076290030.0,1.0,,,,,,,,"B11, B41, B44, B44-SBS, B49, B6, B7, B82, B9, BM1, BM3, BM4",,227.0,5.0,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/11535'},Then to District 22 students and residents,,314.0,,,,,,N,,,,,,,,,,,Midwood,,,,,,
ESMT - I.S. 190,,2029390045.0,,,,,,,"Basketball, Cheerleading, Dance, Fitness Club",,"Bx11, Bx15, Bx17, Bx19, Bx21, Bx36, Bx41",,72.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/10384'},Then to Bronx students and residents,,203.0,,,,,,N,,,,,,,,,,,Crotona Park East,,,,,,
Eugenio Maria de Hostos (I.S. 318),,3022460001.0,12.0,,,,,,,,"B15, B43, B44, B44-SBS, B46, B47, B48, B57, B60",,331.0,41.0,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/10592'},,,301.0,,,,,,Y,,,,,,,,,,,Williamsburg,,,,,,
The Antonia Pantoja Preparatory Academy: A College Board School,,2036040039.0,,,,,,,"Dance, Flag Football",,"Bx22, Bx27, Bx36, Bx39, Bx5, BxM8",,45.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/9759'},Then to Bronx students and residents,,209.0,,,,,,Y,,,,,,,,,,,Soundview-Castle Hill-Clason Point-Harding Park,,,,,,
M.S. 247 Spanish Dual Language Program,,1011480014.0,,,,,,,"Basketball, Fitness Club, Running Club, Volleyball, Yoga",,"M10, M104, M106, M11, M7, M86-SBS, M96",,71.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/9165'},Then to Manhattan students and residents,,107.0,,,,,,N,,,,,,,,,,,Upper West Side,,,,,,
P.S./I.S. 113 Anthony J. Pranzo,,4038460040.0,,,,,,,Tennis,,"BM5, Q11, Q21, Q23, Q29, Q47, Q52, Q53, Q54, Q55, QM12, QM15, QM42",,83.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/11743'},Then to residents of the middle school zone,,405.0,,,,,,Y,,,,,,,,,,,Glendale,,,,,,
P.S./I.S. 66,,3081290060.0,,,,,,,,,"B17, B42, B6, B60, B8, B82",,100.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/10982'},Then to District 18 students and residents,,318.0,,,,,,N,,,,,,,,,,,Canarsie,,,,,,
Thurgood Marshall Academy for Learning and Social Change,,1019400035.0,,,,,,,"Badminton, Basketball, Cheerleading, Running Club, Track and Field, Street Squash",,"Bx15, Bx33, M1, M10, M100, M101, M102, M104, M11, M2, M3, M7",,47.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/9403'},,,110.0,,,,,,Y,,,,,,,,,,,Central Harlem North-Polo Grounds,,,,,,
P.S./I.S. 266,,4078700074.0,,,,,,,"Running Club, District 26 Basketball League - Boys & Girls",,"Q36, Q43, Q46, QM36, QM6",,70.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/12048'},Then to District 26 students and residents,,413.0,,,,,,Y,,,,,,,,,,,Bellerose,,,,,,
World Journalism Preparatory: A College Board School,,4052610001.0,,,,,,,"Step, Track and Field",,"Q12, Q13, Q16, Q28, Q31, Q76, QM3",,77.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/11932'},,,411.0,,,,,,Y,,,,,,,,,,,Auburndale,,,,,,
M.S. 219,,2029250001.0,,,Then to Bronx students and residents,,,,"Dance, Track and Field",,"Bx11, Bx15, Bx17, Bx21, Bx32, Bx35, Bx41, Bx41-SBS",,106.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/9888'},Then to District 9 students and residents,,203.0,,,,,,N,,,,,,,,,,,Claremont-Bathgate,,,,,,
Honors Program: PACE Academy,,2030690001.0,4.0,,,Then to Bronx students and residents,2.0,,Basketball,,"Bx12, Bx15, Bx17, Bx19, Bx36, Bx40, Bx41, Bx41-SBS, Bx42, Bx9",,95.0,48.0,2.0,{'url': 'https://www.myschools.nyc/en/schools/middle-school/10077'},Then to Bronx students and residents,,206.0,,,,,,Y,,,,,,,,,,,East Tremont,,25.0,,,,
The Highbridge Green School,,2025270058.0,,,Then to Bronx students and residents,,,,"Basketball, Fitness Club",,"Bx11, Bx13, Bx18, Bx35, M101, M2",,103.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/9919'},Then to District 9 students and residents,,204.0,,,,,,Y,,,,,,,,,,,Highbridge,,,,,,
The Magnet School of Global Studies & Leadership,,4067890001.0,,,Then to District 25 students and residents,,,,Running Club,,"Q17, Q25, Q34, Q64, Q65, Q88, QM4, QM44",,51.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/11907'},Then to residents of the IS 250 middle school zone,,408.0,,,,,,Y,,,,,,,,,,,Pomonok-Flushing Heights-Hillcrest,,,,,,
Raul Julia (P.S./M.S. 3),,2030620043.0,,,Then to Bronx students and residents,,,,,,"Bx12, Bx17, Bx19, Bx36, Bx40, Bx41, Bx41-SBS, Bx42, Bx9",,32.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/10031'},Then to District 10 students and residents,,206.0,,,,,,Y,,,,,,,,,,,East Tremont,,,,,,
Honors Program,,2059180376.0,,,Then to Bronx students and residents,,,,"Basketball, Cheerleading, Volleyball, Wrestling",,"Bx10, Bx20, Bx7, BxM1, BxM18, BxM2",,54.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/10078'},Priority to District 10 students and residents,,208.0,,,,,,Y,,,,,,,,,,,North Riverdale-Fieldston-Riverdale,,,,,,
Franklin Delano Roosevelt (P.S. 34),,1003810038.0,,,,,,,"Basketball, Fitness Club, Flag Football",,"M14A, M14D, M21, M23, M8, M9, X14, X2, X42, X5",,44.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/8843'},Then to District 1 students and residents,,103.0,,,,,,N,,,,,,,,,,,Lower East Side,,,,,,
