address_1,list_of_all_property_use,weather_normalized_source_1,data_quality_checker_date,parent_property_id,estimated_data_flag,net_emissions_metric_tons,estimated_data_flag_fuel_1,water_use_all_water_sources,ambulatory_surgical_center,race_track_gross_floor_area,medical_office_mri_machine,difference_from_national,library_gross_floor_area,hospital_general_medical_14,costar_property_id,district_chilled_water_use,restaurant_weekly_operating,fuel_oil_1_use_kbtu,propane_use_kbtu,fuel_oil_5_6_use_kbtu,performing_arts_gross_floor,laboratory_gross_floor_area,estimated_data_flag_district,census_tract,office_worker_density_number,data_center_pue,data_center_pdu_input_meter,fitness_center_health_club,courthouse_gross_floor_area,retail_store_percent_that,multifamily_housing_total_1,multifamily_housing_number_4,supermarket_grocery_gross,data_center_pdu_output_meter,natural_gas_use_kbtu,hospital_general_medical_15,food_service_gross_floor,weather_normalized_site,difference_from_national_2,property_gfa_epa_calculated_2,museum_gross_floor_area_ft,energy_star_certification_2,data_center_ups_output_meter,multifamily_housing_number_7,parking_gross_floor_area,multifamily_housing_total,financial_office_weekly,energy_star_certification,year_ending,default_values,office_percent_that_can_be,distribution_center_gross,retail_store_number_of_open,temporary_values,retail_store_walk_in,parent_property_name,transportation_terminal,municipally_supplied_potable_3,hospital_general_medical_13,medical_office_weekly,primary_property_type_epa,fast_food_restaurant_gross,data_center_national_median,hotel_percent_that_can_be,property_gfa_self_reported,municipally_supplied_potable_1,hospital_general_medical_3,alert_gross_floor_area_is
144 E 48th Street,Hotel,23696072.6,Not Available,Not Applicable: Standalone Property,No,736.4,Not Available,5877.8,Not Available,Not Available,Not Available,8.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,92.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3591998,Not Available,Not Available,18.6,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Hotel,Not Available,Not Available,100,100000,5877.8,Not Available,Ok
4 Times Square,"Office, Retail Store",400460689.5,Not Available,Not Applicable: Standalone Property,No,12151.6,Not Available,Not Available,Not Available,Not Available,Not Available,-2.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,119.0,1.9979,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,37789676.2,Not Available,Not Available,20.1,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,"2010, 2008, 2006, 2005, 2003, 2002, 2001",2015-12-31T00:00:00.000,Yes,100,Not Available,5,No,0.03181,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Office,Not Available,Not Available,Not Available,1601977,Not Available,Not Available,Ok
201 E 69th Street,"Multifamily Housing, Parking",47279682.3,2016-03-24,Not Applicable: Standalone Property,No,1508.3,Not Available,10160.8,Not Available,Not Available,Not Available,13.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,126.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.97812,313,Not Available,Not Available,9793599.9,Not Available,Not Available,10.7,Not Available,13220,Not Available,No,Not Available,0,13220,313,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,320000,10160.8,Not Available,Ok
58-33 246 Crescent,"Multifamily Housing, Parking",4762050.6,2016-02-24,Not Applicable: Standalone Property,No,250.1,No,Not Available,Not Available,Not Available,Not Available,-1.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,152901.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.02296,0,Not Available,Not Available,Not Available,Not Available,Not Available,5.7,Not Available,11424,Not Available,No,Not Available,0,11424,36,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,35192,Not Available,Not Available,Ok
7520 Astoria Blvd,"Financial Office, Office, Other - Entertainment/Public Assembly, Restaurant",109737541,Not Available,Not Applicable: Standalone Property,No,3378.1,Not Available,10167.1,Not Available,Not Available,Not Available,-17.1,Not Available,Not Available,Not Available,Not Available,40,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,30904.0,2.61774,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18900544.8,Not Available,Not Available,17.5,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,40,Not Available,2015-12-31T00:00:00.000,No,100,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,10167.1,Not Available,Not Available,Office,Not Available,Not Available,Not Available,480494,Not Available,Not Available,Ok
10 Hanover Square,"Bank Branch, Multifamily Housing, Other",87031508.2,Not Available,Not Applicable: Standalone Property,No,2735.7,Not Available,Not Available,Not Available,Not Available,Not Available,32.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.05126,493,Not Available,Not Available,16160423.2,Not Available,Not Available,12.8,Not Available,Not Available,Not Available,No,Not Available,0,Not Available,493,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,510613,Not Available,Not Available,Ok
1025 Esplanade,Multifamily Housing,6029300.2,2016-03-30,Not Applicable: Standalone Property,No,341.1,No,Not Available,Not Available,Not Available,Not Available,-17.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,248.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.81851,0,Not Available,Not Available,182900,Not Available,Not Available,3.4,Not Available,Not Available,Not Available,No,Not Available,0.81851,Not Available,46,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,56200,Not Available,Not Available,Ok
16-20 166th Street,"Multifamily Housing, Parking",17831610.5,2016-03-29,Not Applicable: Standalone Property,Yes,996,Not Available,Not Available,Not Available,Not Available,Not Available,133.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,296100,Not Available,Not Available,Not Available,1017.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.19725,0,Not Available,Not Available,1862850,Not Available,Not Available,13,Not Available,9729,Not Available,No,Not Available,0,3915,88,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,40050,Not Available,Not Available,Ok
69-16 / 69-10 164th Street,Multifamily Housing,Not Available,Not Available,4442823,Not Available,2.3,Not Available,3893.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.02857,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,1.02857,Not Available,72,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Second Housing Company Inc,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,70000,Not Available,Not Available,Ok
2500 Halsey Street,Office,Not Available,Not Available,Not Applicable: Standalone Property,No,Not Available,Not Available,1632.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,96.0,4.03079,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2015-12-31T00:00:00.000,No,100,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Office,Not Available,Not Available,Not Available,153816,Not Available,Not Available,Ok
325 E176th Street,Multifamily Housing,8103816.6,2016-03-27,Not Applicable: Standalone Property,No,396.4,Not Available,0,Not Available,Not Available,Not Available,4.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2112696.7,Not Available,Not Available,Not Available,23302.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.93874,0,Not Available,Not Available,2972880.5,Not Available,Not Available,4.5,Not Available,Not Available,Not Available,No,Not Available,0.93874,Not Available,57,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,60720,0,Not Available,Ok
11-13 EAST 26TH STREET,"Museum, Office",Not Available,2016-03-30,Not Applicable: Standalone Property,No,709.1,Not Available,4878.8,Not Available,Not Available,Not Available,-52.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,56.0,1.61486,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9.6,Not Available,Not Available,5924,No,Not Available,Not Available,Not Available,Not Available,Not Available,"2015, 2013, 2012",2015-12-31T00:00:00.000,No,97.73,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Office,Not Available,Not Available,Not Available,253623,Not Available,Not Available,Ok
105 West 55 St.,Multifamily Housing,10792153.7,2016-03-01,Not Applicable: Standalone Property,No,524.1,No,8766.4,Not Available,Not Available,Not Available,65.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,137.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.2,0,Not Available,Not Available,668900,Not Available,Not Available,9.6,Not Available,Not Available,Not Available,No,Not Available,0,Not Available,64.6,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,53837,Not Available,Not Available,Ok
1575 Williamsbridge Road,Multifamily Housing,9699324.1,2016-03-30,Not Applicable: Standalone Property,No,542.5,No,Not Available,Not Available,Not Available,Not Available,-5.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,256.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.90798,0,Not Available,Not Available,268600,Not Available,Not Available,4,Not Available,Not Available,Not Available,No,Not Available,0.90798,Not Available,74,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,81500,Not Available,Not Available,Ok
c/o Norwax Associates Inc.,Multifamily Housing,6447508.7,2016-03-23,Not Applicable: Standalone Property,No,251.3,Not Available,Not Available,Not Available,Not Available,Not Available,-23.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.81818,0,Not Available,Not Available,3235802.1,Not Available,Not Available,4.2,Not Available,Not Available,Not Available,Yes,Not Available,0.81818,Not Available,54,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,66000,Not Available,Not Available,Ok
