property_name,data_center_it_site_energy,district_steam_use_kbtu,alert_energy_meter_has,estimated_data_flag_1,wastewater_treatment_plant,estimated_data_flag_fuel_2,direct_ghg_emissions_metric,address_1,data_center_pdu_output_meter,food_sales_gross_floor_area,primary_property_type,number_of_active_energy_meters_2,hospital_general_medical_9,longitude,percent_of_total_electricity,green_power_onsite_and_offsite,egrid_output_emissions_rate,electricity_use_grid_purchase_1,distribution_center_gross,generation_date,college_university_gross,community_board,reason_s_for_no_score,energy_star_certification_2,latitude,wholesale_club_supercenter,alert_energy_meter_has_gaps,office_percent_that_can_be_1,council_district,default_values,nta,data_center_ups_system,weather_normalized_site,natural_gas_use_therms,supermarket_grocery_number_1,indirect_ghg_emissions,medical_office_weekly,third_party_certification_1,multifamily_housing_number_3,electricity_use_grid_purchase_2,national_median_source_eui,weather_normalized_site_3,multifamily_housing_number_5,construction_status,largest_property_use_type_1,last_modified_date_electric,target_energy_star_score,automobile_dealership_gross,property_notes,ambulatory_surgical_center,manufacturing_industrial,data_center_pue,estimated_data_flag_natural,weather_normalized_site_1,office_number_of_computers,avoided_emissions_offsite,data_center_national_median,postal_code,parking_completely_enclosed,annual_maximum_demand_kw,estimated_data_flag,census_tract,movie_theater_gross_floor,hotel_gym_fitness_center,supermarket_grocery_number,diesel_2_use_kbtu,social_meeting_hall_gross,electricity_use_generated_1,restaurant_gross_floor_area,financial_office_gross_floor,multifamily_housing_number_1,financial_office_number_of_1,office_weekly_operating_hours,_2nd_largest_property_use,outpatient_rehabilitation,municipally_supplied_potable_3
DEPM 1796 - 245 West 107th St,Not Available,Not Available,Ok,Not Available,Not Available,No,482.6,245 West 107th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.967221,Not Available,0,84.5,1205476.5,Not Available,2022-09-22T00:00:00.000,Not Available,107.0,Not Available,Not Available,40.80197,Not Available,Ok,Not Available,7.0,No,Morningside Heights,Not Available,5.6,90865.39294,14,1.7,Not Available,Not Available,16,1205477,171.3,1173254.2,0.58883,Existing,197000.0,03/07/2022 03:25 PM EST,Not Available,Not Available,1-01879-0001,Not Available,Not Available,Not Available,No,0.5,Not Available,0,Not Available,10025,Not Available,Not Available,No,195.0,Not Available,Not Available,4,Not Available,Not Available,Not Available,Not Available,Not Available,1.67513,Not Available,Not Available,Supermarket/Grocery Store,Not Available,Not Available
AKAM - 685 West End Avenue,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,602.9,685 West End Avenue,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.974485,Not Available,0,84.5,549921,Not Available,2022-09-22T00:00:00.000,Not Available,107.0,Not Available,Not Available,40.793521,Not Available,Ok,Not Available,6.0,No,Upper West Side,Not Available,3.2,8794.77171,Not Available,1.0,Not Available,Not Available,0,549921.1,112.7,537044.2,0.55781,Existing,166723.0,03/07/2022 07:27 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.1,Not Available,0,Not Available,10025,Not Available,Not Available,No,179.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.09763,Not Available,Not Available,Not Available,Not Available,Not Available
DEPM 1160 - 1050 Park Ave,Not Available,Not Available,Ok,Not Available,Not Available,No,616,1050 Park Avenue,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.95689,Not Available,0,84.5,795612,Not Available,2022-09-22T00:00:00.000,Not Available,108.0,Not Available,Not Available,40.780621,Not Available,Ok,Not Available,4.0,Yes,Upper East Side-Carnegie Hill,Not Available,3.9,2335.060641,Not Available,1.1,65,Not Available,4,795612.1,116.3,795612,0.29368,Existing,197495.0,03/07/2022 07:49 PM EST,Not Available,Not Available,1-01498-0037,Not Available,Not Available,Not Available,No,0,Not Available,0,Not Available,10028,Not Available,Not Available,No,15002.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.76964,Not Available,Not Available,Medical Office,Not Available,Not Available
Leiter Management : 552 Prospect Place,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,5.3,552 Prospect Place,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.958393,Not Available,0,84.5,157120.1,Not Available,2022-09-23T00:00:00.000,Not Available,308.0,Not Available,Not Available,40.675462,Not Available,Ok,Not Available,35.0,No,Crown Heights North,Not Available,4.3,994.9999616,Not Available,1.2,Not Available,Not Available,Not Available,157120.2,77.3,157120.1,0,Existing,36587.0,07/29/2022 08:12 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,0,Not Available,11238,Not Available,Not Available,No,305.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.65597,Not Available,Not Available,Not Available,Not Available,Not Available
AKAM - 1-5 Bond Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,124.2,1-5 Bond Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.994646,Not Available,0,84.5,585859.2,Not Available,2022-09-22T00:00:00.000,Not Available,102.0,Total Number of Residential Living Units is too small,Not Available,40.726887,Not Available,Ok,Not Available,1.0,No,West Village,Not Available,11.5,23389.54501,Not Available,3.3,Not Available,Not Available,Not Available,585859.3,118.1,585859.2,0,Existing,42602.0,03/03/2022 01:34 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.5,Not Available,0,Not Available,10012,Not Available,Not Available,No,5502.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.12671,Not Available,Not Available,Retail Store,Not Available,Not Available
DEPM 1712 - 450 East 52nd St,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,214.2,450 East 52nd Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.964151,Not Available,0,84.5,285310.3,Not Available,2022-09-22T00:00:00.000,Not Available,106.0,Total Number of Residential Living Units is too small,Not Available,40.754656,Not Available,Ok,Not Available,4.0,No,Turtle Bay-East Midtown,Not Available,4.3,443.5113632,Not Available,1.2,Not Available,Not Available,5,285310.4,118.1,285310.3,0.22356,Existing,67096.0,09/13/2022 06:08 PM EDT,Not Available,Not Available,1-01363-0026,Not Available,Not Available,Not Available,No,0,Not Available,0,Not Available,10022,Not Available,Not Available,No,8603.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.50674,Not Available,Not Available,Not Available,Not Available,Not Available
(6022) - Rego Park Owners (Campus),Not Available,Not Available,Ok,Not Available,Not Available,Not Available,2420.8,94-30 59 AVENUE,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.866231,Not Available,0,84.5,1310063.1,Not Available,2022-09-23T00:00:00.000,Not Available,404.0,Not Available,Not Available,40.734997,Not Available,Ok,Not Available,25.0,Yes,Elmhurst,Not Available,1.8,455764.9938,Not Available,0.5,Not Available,Not Available,0,1310063,119.5,1263726.2,0,Existing,699956.0,05/17/2022 03:44 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.7,Not Available,0,Not Available,11373,Not Available,Not Available,No,683.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.4,Not Available,Not Available,Not Available,Not Available,Not Available
DEPM 1042 - 130 Jane Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,68.1,130 Jane Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-74.009093,Not Available,0,84.5,305415.8,Not Available,2022-09-22T00:00:00.000,Not Available,102.0,Not Available,Not Available,40.738137,Not Available,Ok,Not Available,3.0,No,West Village,Not Available,6.3,12825.33336,Not Available,1.7,Not Available,Not Available,Not Available,305415.8,122.4,318430.2,0,Existing,50820.0,03/02/2022 01:46 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.3,Not Available,0,Not Available,10014,Not Available,Not Available,No,79.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.4758,Not Available,Not Available,Not Available,Not Available,Not Available
zzzzAKAM - 120 East 90th Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,351.4,120 East 90th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.954419,Not Available,0,84.5,629164.1,Not Available,2022-09-22T00:00:00.000,Not Available,108.0,Not Available,Not Available,40.782344,Not Available,Ok,Not Available,4.0,No,Upper East Side-Carnegie Hill,Not Available,6.3,2146.011378,Not Available,1.8,Not Available,Not Available,104,629164.2,125.2,629164.1,1.04522,Existing,99501.0,05/14/2022 07:29 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,0,Not Available,10128,Not Available,Not Available,No,14802.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.56782,Not Available,Not Available,Not Available,Not Available,Not Available
Stellar - 1071 St. Nicholas Avenue,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,174,1071 St. Nicholas Avenue,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.940064,Not Available,0,84.5,159436.2,Not Available,2022-09-26T00:00:00.000,Not Available,112.0,Not Available,Not Available,40.837292,Not Available,Ok,Not Available,7.0,No,Washington Heights South,Not Available,4.9,32755.36693,Not Available,1.4,Not Available,Not Available,Not Available,159436.2,121.4,159436.2,0,Existing,32400.0,03/08/2022 12:03 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,1.1,Not Available,0,Not Available,10032,Not Available,Not Available,No,245.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.45062,Not Available,Not Available,Not Available,Not Available,Not Available
AKAM - 500 Grand Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,111.3,500 Grand Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.982606,Not Available,0,84.5,4051776.3,Not Available,2022-09-22T00:00:00.000,Not Available,103.0,Not Available,Not Available,40.714746,Not Available,Ok,Not Available,1.0,No,Lower East Side,Not Available,13.5,20956.24193,Not Available,3.9,Not Available,Not Available,Not Available,4051777,125.5,4051776.3,0.88516,Existing,293733.0,05/14/2022 02:34 PM EDT,Not Available,Not Available,Heating use provided by central boiler plant residing on a different BBL.,Not Available,Not Available,Not Available,No,0.1,Not Available,0,Not Available,10002,Not Available,Not Available,No,12.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.51498,Not Available,Not Available,Retail Store,Not Available,Not Available
DEPM 1678 - 815 Park Ave,Not Available,Not Available,Ok,Not Available,Not Available,No,468.3,815 Park Avenue,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.96252,Not Available,0,84.5,516107.9,Not Available,2022-09-22T00:00:00.000,Not Available,108.0,Not Available,Not Available,40.772872,Not Available,Ok,Not Available,4.0,No,Upper East Side-Carnegie Hill,Not Available,5,832.4902064,Not Available,1.5,Not Available,Not Available,4,516107.9,122.2,509420.1,0.48488,Existing,101056.0,03/07/2022 07:31 PM EST,Not Available,Not Available,1-01409-0069,Not Available,Not Available,Not Available,No,0,Not Available,0,Not Available,10021,Not Available,Not Available,No,128.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.23694,Not Available,Not Available,Not Available,Not Available,Not Available
22-10 79th St,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,452.4,22-10 79th St,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.890544,Not Available,0,84.5,496828.1,Not Available,2022-09-23T00:00:00.000,Not Available,401.0,Not Available,Not Available,40.768327,Not Available,Ok,Not Available,22.0,No,Steinway,Not Available,3.8,85171.00082,Not Available,1.1,Not Available,Not Available,24,496828.2,109.5,483253.7,0,Existing,128242.0,05/13/2022 08:23 PM EDT,Not Available,Not Available,4-01010-7501,Not Available,Not Available,Not Available,No,0.7,Not Available,0,Not Available,11370,Not Available,Not Available,No,317.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.7233,Not Available,Not Available,Not Available,Not Available,Not Available
DEPM 1606 - 77 East 12th St,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,458.5,77 East 12th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.990568,Not Available,0,84.5,1073713.1,Not Available,2022-09-22T00:00:00.000,Not Available,102.0,Not Available,Not Available,40.732991,Not Available,Ok,Not Available,2.0,Yes,West Village,Not Available,8.7,86325.60936,Not Available,2.6,Not Available,Not Available,9,1073713,156.5,1038054.6,1.67384,Existing,110524.0,05/22/2022 10:37 PM EDT,Not Available,Not Available,1-00564-0054,Not Available,Not Available,Not Available,No,0.8,Not Available,0,Not Available,10003,Not Available,Not Available,No,61.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.71434,Not Available,Not Available,Retail Store,Not Available,Not Available
Jericho Walton,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,131.5,2065 Walton Ave,Not Available,Not Available,Multifamily Housing,5,Not Available,-73.906026,Not Available,0,84.5,485285.7,Not Available,2022-09-23T00:00:00.000,Not Available,205.0,Not Available,Not Available,40.853952,Not Available,Ok,Not Available,14.0,No,Mount Hope,Not Available,9.3,24753.07542,Not Available,2.6,Not Available,Not Available,0,485285.8,145.5,498952.6,1.71217,Existing,53733.0,05/26/2022 03:46 PM EDT,Not Available,Not Available,Number of Active Energy Meters - Total is greater than Number of Active Energy Meters - Used to Compute Metrics because owner accounts that represent a subset of aggregated accounts are also tracked in Portfolio Manager. Including these meters in metrics would double count energy use from this site.,Not Available,Not Available,Not Available,No,0.5,Not Available,0,Not Available,10453,Not Available,Not Available,No,241.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.71217,Not Available,Not Available,Not Available,Not Available,Not Available
AKAM - 250 West 90th Street,Not Available,Not Available,Ok,Not Available,Not Available,No,623.5,250 West 90th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.975128,Not Available,0,84.5,1401469.3,Not Available,2022-09-22T00:00:00.000,Not Available,107.0,Not Available,Not Available,40.791067,Not Available,Ok,Not Available,6.0,No,Upper West Side,Not Available,7.8,117395.8539,Not Available,2.3,Not Available,Not Available,0,1401470,124.6,1352460.7,1.03098,Existing,153253.0,03/07/2022 07:21 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.8,Not Available,0,Not Available,10024,Not Available,Not Available,No,175.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.40943,Not Available,Not Available,Retail Store,Not Available,Not Available
DEPM 7528 - 140 East 72nd St,Not Available,10746988.7,Ok,Not Available,Not Available,Not Available,8.2,140 East 72nd Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.962493,Not Available,0,84.5,1105782.6,Not Available,2022-09-22T00:00:00.000,Not Available,108.0,Not Available,Not Available,40.770533,Not Available,Ok,Not Available,4.0,Yes,Upper East Side-Carnegie Hill,Not Available,5,1538.258076,Not Available,4.8,Not Available,Not Available,19,1105783,101.8,1076138.3,0.50816,Existing,206626.0,05/22/2022 10:31 PM EDT,Not Available,Not Available,1-01406-0017,Not Available,Not Available,Not Available,No,Not Available,Not Available,0,Not Available,10021,Not Available,Not Available,No,128.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.75015,Not Available,Not Available,Retail Store,Not Available,Not Available
Salon: 285 West Broadway,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,94.2,285 W Broadway,Not Available,Not Available,Office,0,Not Available,-74.004859,Not Available,0,84.5,310447.8,Not Available,2022-09-23T00:00:00.000,Not Available,101.0,Not Available,Not Available,40.721054,Not Available,Ok,100,1.0,No,SoHo-TriBeCa-Civic Center-Little Italy,Not Available,9.8,17739.40563,Not Available,2.8,Not Available,Not Available,Not Available,310447.8,152.7,310447.8,Not Available,Existing,31785.0,05/13/2022 07:13 PM EDT,90,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.6,63.87,0,Not Available,10013,Not Available,Not Available,No,33.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,65,Not Available,Not Available,Not Available
Stellar - 547 West 142nd Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,259.6,547 West 142nd Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.95064,Not Available,0,84.5,514298.2,Not Available,2022-09-26T00:00:00.000,Not Available,109.0,Not Available,Not Available,40.824013,Not Available,Ok,Not Available,7.0,No,Hamilton Heights,Not Available,11.4,48871.27321,Not Available,3.3,Not Available,Not Available,Not Available,514298.2,118.6,503242.1,0,Existing,44298.0,09/13/2022 05:53 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,1.2,Not Available,0,Not Available,10031,Not Available,Not Available,No,229.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.35446,Not Available,Not Available,Not Available,Not Available,Not Available
Chapin Home for the Aging - 165-01 Chapin Parkway,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,312.7,165-01 Chapin Parkway,Not Available,Not Available,Senior Living Community,0,Not Available,-73.801094,Not Available,0,84.5,1140519,Not Available,2022-09-22T00:00:00.000,Not Available,408.0,Not Available,Not Available,40.714279,Not Available,Ok,Not Available,24.0,No,Briarwood-Jamaica Hills,Not Available,21.1,58873.00325,Not Available,6.1,Not Available,Not Available,Not Available,1140519,342.3,1132469.9,Not Available,Existing,53770.0,03/03/2022 11:30 PM EST,Not Available,Not Available,4-09858-0039,Not Available,Not Available,Not Available,No,1.2,Not Available,0,Not Available,11432,Not Available,Not Available,No,452.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Bob Lai,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,210,350 W 38th Street,Not Available,Not Available,Mixed Use Property,0,Not Available,-73.993077,Not Available,0,84.5,616493.8,Not Available,2022-09-22T00:00:00.000,Not Available,104.0,More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country),Not Available,40.755312,Not Available,Ok,Not Available,3.0,No,Hudson Yards-Chelsea-Flatiron-Union Square,Not Available,20.5,39532.4133,Not Available,5.9,Not Available,Not Available,Not Available,616493.9,89.3,616493.8,Not Available,Existing,15000.0,03/11/2022 01:02 PM EST,Not Available,Not Available,Not Available,Not Available,10000,Not Available,No,1.4,Not Available,0,Not Available,10018,Not Available,Not Available,No,111.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15000,Not Available,Not Available,Not Available,Not Available,Manufacturing/Industrial Plant,Not Available,Not Available
Progressive - 864 Hewitt Place,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,289.3,864 Hewitt Place,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.899852,Not Available,0,84.5,784982.8,Not Available,2022-09-22T00:00:00.000,Not Available,202.0,Not Available,Not Available,40.820085,Not Available,Ok,Not Available,17.0,No,Longwood,Not Available,7.7,54464.4897,Not Available,2.3,Not Available,Not Available,Not Available,784982.9,116.4,758615.1,0,Existing,98592.0,03/03/2022 04:49 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.6,Not Available,0,Not Available,10459,Not Available,Not Available,No,87.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.28814,Not Available,Not Available,Not Available,Not Available,Not Available
DEPM 1192 - 15 West 81st St,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,908.7,15 West 81st Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.972423,Not Available,0,84.5,1016485.8,Not Available,2022-09-22T00:00:00.000,Not Available,107.0,Not Available,Not Available,40.782336,Not Available,Ok,Not Available,6.0,Yes,Upper West Side,Not Available,3,171079.6457,Not Available,0.9,65,Not Available,10,1016486,117.2,1016485.8,0.4216,Existing,329696.0,03/07/2022 07:18 PM EST,Not Available,Not Available,1-01195-0018,Not Available,Not Available,Not Available,No,0.6,Not Available,0,Not Available,10024,Not Available,Not Available,No,165.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.01912,Not Available,Not Available,Medical Office,Not Available,Not Available
AKAM - 415 Washington Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,94.5,415 Washington Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-74.01052,Not Available,0,84.5,548044.8,Not Available,2022-09-22T00:00:00.000,Not Available,101.0,Not Available,Not Available,40.722377,Not Available,Ok,Not Available,1.0,No,SoHo-TriBeCa-Civic Center-Little Italy,Not Available,9.6,17792.07398,Not Available,2.8,Not Available,Not Available,Not Available,548044.8,126.1,536844.5,0,Existing,56205.0,05/25/2022 05:35 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.3,Not Available,0,Not Available,10013,Not Available,Not Available,No,39.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.06752,Not Available,Not Available,Not Available,Not Available,Not Available
Stellar - 522 Ocean Avenue,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,351.8,522 Ocean Avenue,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.960979,Not Available,0,84.5,482163.1,Not Available,2022-09-26T00:00:00.000,Not Available,314.0,Not Available,Not Available,40.649865,Not Available,Ok,Not Available,40.0,Yes,Flatbush,Not Available,5.5,66241.99677,Not Available,1.6,Not Available,Not Available,0,482163.2,118.9,467689.8,0,Existing,78464.0,05/22/2022 10:41 PM EDT,36,Not Available,3-05099-0106,Not Available,Not Available,Not Available,No,0.9,Not Available,0,Not Available,11226,Not Available,Not Available,No,51002.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.09604,Not Available,Not Available,Retail Store,Not Available,Not Available
AKAM - 1120 Fifth Avenue,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,395.6,1120 Fifth Avenue,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.95697,Not Available,0,84.5,849674,Not Available,2022-09-22T00:00:00.000,Not Available,108.0,Not Available,Not Available,40.786231,Not Available,Ok,Not Available,4.0,No,Upper East Side-Carnegie Hill,Not Available,4.7,74475.46826,Not Available,1.4,Not Available,Not Available,5,849674.1,130.9,822070.1,0.25982,Existing,173200.0,03/07/2022 07:12 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.5,Not Available,0,Not Available,10128,Not Available,Not Available,No,16001.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.88915,Not Available,Not Available,Not Available,Not Available,Not Available
SW - 510 East 79th Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,2814.3,510 East 79th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.949647,Not Available,0,84.5,169951.3,Not Available,2022-09-26T00:00:00.000,Not Available,108.0,Not Available,Not Available,40.77105,Not Available,Ok,Not Available,5.0,No,Lenox Hill-Roosevelt Island,Not Available,3.7,529859.967,Not Available,1.1,Not Available,Not Available,Not Available,169951.3,173,163127.8,0,Existing,44364.0,03/03/2022 01:54 PM EST,Not Available,Not Available,"The Gas Heat Account Heat services the following addresses

555 East 78th Street
1472 York Avenue
542 East 79th Street
504 East 79th Street
510 East 79th Street
532 East 79th Street
524 East 79th Street
516 East 79th Street
511 East 78th Street
519 East 78th Street
503 East 78th Street
527 East 78th Street
535 East 78th Street",Not Available,Not Available,Not Available,No,12.8,Not Available,0,Not Available,10075,Not Available,Not Available,No,132.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.29916,Not Available,Not Available,Not Available,Not Available,Not Available
Stellar - Campus West 93rd Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,1330.3,70 West 93rd Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.96792,Not Available,0,84.5,1815891.2,Not Available,2022-09-26T00:00:00.000,Not Available,107.0,Not Available,Not Available,40.790503,Not Available,Ok,100,6.0,Yes,Upper West Side,Not Available,4.8,250452.7781,Not Available,1.4,Not Available,Not Available,Not Available,1815891,113.4,1815891.2,0.87189,Existing,380780.0,Not Available,Not Available,Not Available,Heating for 70 West 93rd Street provided by 50 West 93rd Street,Not Available,Not Available,Not Available,No,0.7,3,0,Not Available,10025,Not Available,Not Available,No,177.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.15815,Not Available,65,Office,Not Available,Not Available
DEPM 2880 - 10 Gracie Sq,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,675.3,10 Gracie Square,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.94502,Not Available,0,84.5,1589443.7,Not Available,2022-09-22T00:00:00.000,Not Available,108.0,Not Available,Not Available,40.773299,Not Available,Ok,Not Available,5.0,No,Yorkville,Not Available,6,127143.1768,Not Available,1.7,Not Available,Not Available,0,1589444,133.5,1576982.3,0.16257,Existing,264500.0,03/07/2022 03:31 PM EST,Not Available,Not Available,1-01590-0030,Not Available,Not Available,Not Available,No,0.5,Not Available,0,Not Available,10028,Not Available,Not Available,No,136.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.6087,Not Available,Not Available,Not Available,Not Available,Not Available
SW - 511 East 78th Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,2.3,511 East 78th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.950276,Not Available,0,84.5,364604.1,Not Available,2022-09-26T00:00:00.000,Not Available,108.0,Not Available,Not Available,40.770444,Not Available,Ok,Not Available,5.0,No,Lenox Hill-Roosevelt Island,Not Available,8.2,430.7862894,Not Available,2.4,Not Available,Not Available,Not Available,364604.1,157.1,364604.1,0,Existing,44364.0,03/03/2022 01:55 PM EST,Not Available,Not Available,Gas Heat supplied by 510 East 79th Street (PM ID # 7530286),Not Available,Not Available,Not Available,No,0,Not Available,0,Not Available,10075,Not Available,Not Available,No,132.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.96105,Not Available,Not Available,Not Available,Not Available,Not Available
DEPM 2078 - 415 East 52nd St,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,1422.6,415 East 52nd Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.964653,Not Available,0,84.5,1814276.2,Not Available,2022-09-22T00:00:00.000,Not Available,106.0,Not Available,Not Available,40.754889,Not Available,Ok,Not Available,4.0,No,Turtle Bay-East Midtown,Not Available,3.8,267834.4863,Not Available,1.1,Not Available,Not Available,38,1814276,104.8,1755177.5,0.61853,Existing,464000.0,03/07/2022 07:08 PM EST,Not Available,Not Available,"1-01364-0005, Multiple, 399 East 52nd St, 415 East 52nd St, 404 East
53rd St",Not Available,Not Available,Not Available,No,0.6,Not Available,0,Not Available,10022,3000,Not Available,No,8603.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.91164,Not Available,Not Available,Parking,Not Available,Not Available
Progressive - 256 East 169th Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,103.1,256 East 169th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.913453,Not Available,0,84.5,157942.4,Not Available,2022-09-22T00:00:00.000,Not Available,204.0,Not Available,Not Available,40.835477,Not Available,Ok,Not Available,16.0,No,East Concourse-Concourse Village,Not Available,5.7,19402.54908,Not Available,1.7,Not Available,Not Available,Not Available,157942.4,138.1,151327.3,0,Existing,26550.0,09/07/2022 06:57 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.8,Not Available,0,Not Available,10456,Not Available,Not Available,No,17901.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.0339,Not Available,Not Available,Not Available,Not Available,Not Available
