address_1,senior_care_community_gross,performing_arts_gross_floor,estimated_data_flag,annual_maximum_demand_kw,estimated_data_flag_fuel_1,nyc_borough_block_and_lot,multifamily_housing_number_5,difference_from_national_1,supermarket_grocery_gross,estimated_values_energy,convenience_store_with_gas,medical_office_gross_floor,fuel_oil_2_use_kbtu,site_eui_kbtu_ft,electricity_use_generated,office_weekly_operating_hours,last_modified_date_gas_meters,default_values,office_gross_floor_area_ft,annual_maximum_demand_mm,weather_normalized_site_3,financial_office_number_of,indoor_water_use_all_water,postcode,weather_normalized_site_2,district_chilled_water_use,last_modified_date_property,address_2,source_energy_use_adjusted,retail_store_number_of_walk,property_gfa_calculated,other_weekly_operating_hours,source_energy_use_kbtu,multifamily_housing_gross,multifamily_housing_number_1,_2nd_largest_property_use,retail_store_gross_floor,outdoor_water_use_all_water,other_number_of_computers,_2nd_largest_property_use_1,multifamily_housing_percent,ambulatory_surgical_center,other_gross_floor_area_ft,automobile_dealership_gross,electricity_use_generated_2,fuel_oil_5_6_use_kbtu,pre_school_daycare_gross,multifamily_housing_number_6,alert_gross_floor_area_is,college_university_number,food_service_gross_floor,hotel_percent_that_can_be,third_party_certification_2,k_12_school_gross_floor_area,outpatient_rehabilitation
200 Jefferson Boulevard,Not Available,Not Available,No,47.2,Not Available,5062620012,Not Available,10.3,Not Available,No,Not Available,Not Available,276138,69.7,Not Available,Not Available,04/11/2019 11:57 AM EDT,No,Not Available,01/2018,82560,Not Available,Not Available,10312,10129.1,Not Available,04/11/2019 11:58 AM EDT,Not Available,2098849.5,Not Available,22080.0,Not Available,2098849.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,22080,Not Available
347 Baltic Street,Not Available,Not Available,No,336,Not Available,3003970011,Not Available,-45.4,Not Available,No,Not Available,Not Available,524400,47.2,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,499999.9,Not Available,Not Available,11201,33230.9,Not Available,04/09/2019 04:47 PM EDT,Not Available,8681984.1,Not Available,115466.0,Not Available,8681984.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,115466,Not Available
109-20 Union Hall Strset,Not Available,Not Available,No,232,Not Available,4121510001,Not Available,5.3,Not Available,No,Not Available,Not Available,1090338,77.9,Not Available,Not Available,04/11/2019 11:56 AM EDT,No,Not Available,09/2018,661599.9,Not Available,Not Available,11433,64210.3,Not Available,04/11/2019 11:58 AM EDT,Not Available,14259083.4,Not Available,126525.0,Not Available,14259083.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,126525,Not Available
745 Fifth Ave.,Not Available,Not Available,No,Not Available,Not Available,1-01293-0069,Not Available,-11.5,Not Available,No,Not Available,Not Available,Not Available,83,Not Available,60.95,Not Available,No,437870,Not Available,8887403.5,Not Available,Not Available,10151,Not Available,Not Available,03/15/2019 11:32 AM EDT,Not Available,102583855.1,0,537135.0,Not Available,102583855.1,Not Available,Not Available,Retail Store,66076,Not Available,Not Available,66076,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
525 Lenox Road,Not Available,Not Available,No,179.2,Not Available,3048440001,Not Available,18.3,Not Available,No,Not Available,Not Available,1117799.9,79.6,Not Available,Not Available,04/11/2019 11:57 AM EDT,No,Not Available,12/2018,600098.9,Not Available,Not Available,11203,50811.3,Not Available,04/11/2019 11:58 AM EDT,Not Available,12260365.1,Not Available,104400.0,Not Available,12260365.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,104400,Not Available
1970 West Farms Road,Not Available,Not Available,No,472,Not Available,2030210038,Not Available,-41.6,Not Available,No,Not Available,Not Available,Not Available,39.5,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,08/2018,1079300.5,Not Available,Not Available,10460,45108.9,Not Available,04/09/2019 02:09 PM EDT,Not Available,15097228.5,Not Available,207600.0,Not Available,15097228.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,207600,Not Available
455 Madison Avenue,Not Available,Not Available,Yes,Not Available,Not Available,1-01286-0021,Not Available,42.3,Not Available,Yes,Not Available,Not Available,Not Available,186.1,Not Available,Not Available,05/29/2019 02:45 PM EDT,No,Not Available,Not Available,10990479.4,Not Available,64003.6,10022,813224.1,Not Available,05/29/2019 04:27 PM EDT,Not Available,247896920.4,Not Available,893750.0,Not Available,247896920.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,100,Not Available,Not Available,Not Available
28-04 41st Avenue,Not Available,Not Available,No,49.8,Not Available,4004170016,Not Available,-23.4,Not Available,No,Not Available,Not Available,Not Available,66.8,Not Available,Not Available,04/09/2019 02:10 PM EDT,No,Not Available,09/2018,79080,Not Available,Not Available,11101,5840.9,Not Available,04/09/2019 02:10 PM EDT,Not Available,1363238.7,Not Available,12710.0,Not Available,1363238.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,12710,Not Available
179-01 90th Avenue,Not Available,Not Available,No,192.8,Not Available,4099140001,Not Available,-19.2,Not Available,No,Not Available,Not Available,924738,64.3,Not Available,Not Available,04/11/2019 11:56 AM EDT,No,Not Available,06/2018,520279.9,Not Available,Not Available,11432,45861.6,Not Available,04/11/2019 11:57 AM EDT,Not Available,10790287.7,Not Available,114325.0,Not Available,10790287.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,114325,Not Available
55 East 59th Street,Not Available,Not Available,No,Not Available,Not Available,1-01374-7501,Not Available,-4.7,Not Available,No,Not Available,Not Available,Not Available,69.2,Not Available,64.11,04/25/2019 10:29 AM EDT,No,285562,Not Available,4727941.9,Not Available,4330.8,10022,8740.5,Not Available,04/25/2019 10:54 AM EDT,Not Available,50456514.5,0,295782.0,Not Available,50459436.1,Not Available,Not Available,Fast Food Restaurant,5020,Not Available,Not Available,5200,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
100 Tompkins Avenue,Not Available,Not Available,No,272,Not Available,5005450110,Not Available,-28.2,Not Available,No,Not Available,Not Available,0,64.3,Not Available,Not Available,04/11/2019 11:57 AM EDT,No,Not Available,09/2018,527999.9,Not Available,Not Available,10304,45680.7,Not Available,04/11/2019 11:58 AM EDT,Not Available,9652960.6,Not Available,96327.0,Not Available,9652960.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,96327,Not Available
280 Hart Street,Not Available,Not Available,No,140.8,Not Available,3017730014,Not Available,-14,Not Available,No,Not Available,Not Available,4491486.1,57.6,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,443679.9,Not Available,Not Available,11206,2799,Not Available,04/09/2019 04:47 PM EDT,Not Available,9069037.2,Not Available,109200.0,Not Available,9069037.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,109200,Not Available
330 madison avenue,Not Available,Not Available,No,Not Available,Not Available,1012770014,Not Available,-24.3,Not Available,No,Not Available,Not Available,Not Available,83,Not Available,65.97,Not Available,No,797649,Not Available,14719120.5,Not Available,Not Available,10017,Not Available,Not Available,04/25/2019 08:11 PM EDT,Not Available,161623520.4,0,810475.0,Not Available,161623520.4,Not Available,Not Available,Retail Store,5863,Not Available,Not Available,5863,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
4305 fort hamilton parkway,Not Available,Not Available,No,268,No,3056030001,Not Available,-18.7,Not Available,No,Not Available,Not Available,Not Available,73.9,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,480400,Not Available,Not Available,11219,565.3,Not Available,04/09/2019 04:47 PM EDT,Not Available,10637799.9,Not Available,103200.0,Not Available,10637799.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,103200,Not Available
1919 Prospect Avenue,Not Available,Not Available,No,497.8,Not Available,2029510032,Not Available,-35.7,Not Available,No,Not Available,Not Available,6374358.1,49.6,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,1150986.5,Not Available,Not Available,10457,1082,Not Available,04/09/2019 02:10 PM EDT,Not Available,17610959.4,Not Available,210175.0,Not Available,17610959.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,210175,Not Available
19E 57th Street,Not Available,Not Available,No,Not Available,Not Available,1012930014,Not Available,31.3,Not Available,No,Not Available,Not Available,Not Available,117,Not Available,70,Not Available,No,97821,Not Available,Not Available,Not Available,2043.7,10022,Not Available,Not Available,03/27/2019 03:29 PM EDT,Not Available,26933249.5,Not Available,100994.0,70,26933249.5,Not Available,Not Available,Other,Not Available,Not Available,2,3173,Not Available,Not Available,3173,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
191 Vermont Avenue,Not Available,Not Available,No,300,Not Available,5028520001,Not Available,0.8,Not Available,No,Not Available,Not Available,1725841.8,79.5,Not Available,Not Available,04/11/2019 11:56 AM EDT,No,Not Available,08/2018,609849.9,Not Available,Not Available,10305,18038.4,Not Available,04/11/2019 11:58 AM EDT,Not Available,9421878.2,Not Available,70080.0,Not Available,9421878.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,70080,Not Available
425 McDonald Avenue,Not Available,Not Available,No,187.2,Not Available,3053340064,Not Available,-21.5,Not Available,No,Not Available,Not Available,Not Available,55.7,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,437859.1,Not Available,Not Available,11218,10867,Not Available,04/09/2019 04:46 PM EDT,Not Available,5318987,Not Available,46060.0,Not Available,5318987,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,46060,Not Available
125-10 23rd Avenue,Not Available,Not Available,No,304,Not Available,4042290014,Not Available,25.4,Not Available,No,Not Available,Not Available,779286.1,76.1,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,707199.9,Not Available,Not Available,11356,43919.9,Not Available,04/09/2019 02:10 PM EDT,Not Available,12051244.7,Not Available,98342.0,Not Available,12051244.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,98342,Not Available
1077 Remsen Avenue,Not Available,Not Available,No,300,Not Available,3081600022,Not Available,-14.3,Not Available,No,Not Available,Not Available,497766.1,61.7,Not Available,Not Available,04/11/2019 11:56 AM EDT,No,Not Available,09/2018,761099.9,Not Available,Not Available,11236,45408,Not Available,04/11/2019 11:58 AM EDT,Not Available,12611128.7,Not Available,124800.0,Not Available,12611128.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,124800,Not Available
3710 Barnes Avenue,Not Available,Not Available,No,278,No,2046750020,Not Available,2.6,Not Available,No,Not Available,Not Available,0,83.9,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,02/2018,1031599.9,Not Available,Not Available,10467,125043,Not Available,04/09/2019 02:10 PM EDT,Not Available,22568159.9,Not Available,186175.0,Not Available,22568159.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,186175,Not Available
1396 Broadway,Not Available,Not Available,No,316,Not Available,3014820001,Not Available,46.8,Not Available,No,Not Available,Not Available,Not Available,115.7,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,02/2018,717743.8,Not Available,Not Available,11221,32395.3,Not Available,04/09/2019 04:46 PM EDT,Not Available,10189302.6,Not Available,48400.0,Not Available,10189302.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,48400,Not Available
1935 Bussing Avenue,Not Available,Not Available,No,188,Not Available,2050180001,Not Available,18.6,Not Available,No,Not Available,Not Available,344999.9,68.3,Not Available,Not Available,04/09/2019 02:09 PM EDT,Yes,Not Available,09/2018,359199.9,Not Available,Not Available,10466,24461,Not Available,04/09/2019 02:10 PM EDT,Not Available,6308502.8,Not Available,58260.0,Not Available,6308502.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,58260,Not Available
333 West 17th Street,Not Available,Not Available,No,462,No,1007410010,Not Available,-33.4,Not Available,No,Not Available,Not Available,Not Available,59.4,450205.2,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,08/2018,623999.9,Not Available,Not Available,10011,672.6,Not Available,04/15/2019 02:43 PM EDT,Not Available,14626032.2,Not Available,180175.0,Not Available,14626032.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,180175,Not Available
22-25 Webster Avenue,Not Available,Not Available,No,772.8,No,2031430043,Not Available,-15.3,Not Available,No,Not Available,Not Available,Not Available,58.6,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,10/2018,2191199.7,Not Available,Not Available,10457,64566.6,Not Available,04/09/2019 02:09 PM EDT,Not Available,27696163.1,Not Available,237600.0,Not Available,27696163.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,237600,Not Available
6500 16th Avenue,Not Available,Not Available,No,304,Not Available,3055510018,Not Available,0.6,Not Available,No,Not Available,Not Available,1614737.9,69.7,Not Available,Not Available,04/11/2019 11:56 AM EDT,No,Not Available,06/2018,609599.9,Not Available,Not Available,11204,66947.2,Not Available,04/11/2019 11:58 AM EDT,Not Available,14288789.8,Not Available,146400.0,Not Available,14288789.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,146400,Not Available
79-15 Penelope Avenue,Not Available,Not Available,No,484,Not Available,4029900045,Not Available,46.2,Not Available,No,Not Available,Not Available,483552.1,88.8,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,08/2018,1616399.8,Not Available,Not Available,11379,44306.4,Not Available,04/09/2019 02:10 PM EDT,Not Available,20478062.2,Not Available,116323.0,Not Available,20478062.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,116323,Not Available
62 Park Place,Not Available,Not Available,No,254,Not Available,3009410050,Not Available,-9.6,Not Available,No,Not Available,Not Available,0,71.2,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,620399.9,Not Available,Not Available,11217,46249.6,Not Available,04/09/2019 04:47 PM EDT,Not Available,10615618.6,Not Available,92480.0,Not Available,10615618.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,92480,Not Available
1070 Castle Hill Avenue,Not Available,Not Available,No,214.3,Not Available,2038170001,Not Available,-14.9,Not Available,No,Not Available,Not Available,729882,81.3,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,399680,Not Available,Not Available,10472,49567.8,Not Available,04/09/2019 02:10 PM EDT,Not Available,9635358.7,Not Available,85260.0,Not Available,9635358.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,85260,Not Available
850 Kent Avenue,Not Available,Not Available,No,81.6,Not Available,3018970013,Not Available,-12.1,Not Available,No,Not Available,Not Available,1565609.9,67.3,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,08/2018,222960,Not Available,Not Available,11205,60534.7,Not Available,04/09/2019 04:47 PM EDT,Not Available,9911692.2,Not Available,122400.0,Not Available,9911692.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,122400,Not Available
51 Saint Edwards Street,Not Available,Not Available,No,281.6,Not Available,3020390002,Not Available,7.1,Not Available,No,Not Available,Not Available,1137257.9,98.6,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,626636.7,Not Available,Not Available,11205,104062.8,Not Available,04/09/2019 04:47 PM EDT,Not Available,18126689.8,Not Available,138125.0,Not Available,18126689.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,138125,Not Available
40-01 43rd Avenue,Not Available,Not Available,No,252,Not Available,4001850001,Not Available,2.7,Not Available,No,Not Available,Not Available,552000,87.1,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,07/2018,800130.4,Not Available,Not Available,11104,58768.6,Not Available,04/09/2019 02:10 PM EDT,Not Available,14446850.8,Not Available,104500.0,Not Available,14446850.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,104500,Not Available
120 West 231st Street,Not Available,Not Available,No,228,No,2032530141,Not Available,-17.6,Not Available,No,Not Available,Not Available,Not Available,62.6,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,07/2018,730930,Not Available,Not Available,10463,910.6,Not Available,04/09/2019 02:10 PM EDT,Not Available,14537092.9,Not Available,159775.0,Not Available,14537092.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,159775,Not Available
1550 Vyse Avenue,Not Available,Not Available,No,188.8,Not Available,2029960010,Not Available,-9.2,Not Available,No,Not Available,Not Available,4002841.8,64.5,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,05/2018,405920,Not Available,Not Available,10460,3433,Not Available,04/09/2019 02:10 PM EDT,Not Available,8281332.6,Not Available,88900.0,Not Available,8281332.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,88900,Not Available
114 Kosciusko Street,Not Available,Not Available,No,136,No,3017480020,Not Available,-26.4,Not Available,No,Not Available,Not Available,Not Available,52,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,326399.9,Not Available,Not Available,11216,3501,Not Available,04/09/2019 04:47 PM EDT,Not Available,7619498.7,Not Available,106800.0,Not Available,7619498.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,106800,Not Available
1375 Mace Avenue,Not Available,Not Available,No,184,Not Available,2044740001,Not Available,-16.9,Not Available,No,Not Available,Not Available,483000.2,75,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,357839.9,Not Available,Not Available,10469,24824.7,Not Available,04/09/2019 02:10 PM EDT,Not Available,6454630.1,Not Available,55080.0,Not Available,6454630.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,55080,Not Available
9 Power Road,Not Available,Not Available,No,92,Not Available,4153130485,Not Available,54,Not Available,No,Not Available,Not Available,1680660.7,113.4,Not Available,Not Available,Not Available,No,Not Available,01/2018,299322.6,Not Available,Not Available,11693,Not Available,Not Available,04/11/2019 11:58 AM EDT,Not Available,4610933.1,Not Available,24000.0,Not Available,4610933.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,24000,Not Available
350 5th Avenue,Not Available,Not Available,No,276,No,3009810111,Not Available,-24.7,Not Available,No,Not Available,Not Available,Not Available,53.8,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,482800,Not Available,Not Available,11215,1343,Not Available,04/09/2019 04:47 PM EDT,Not Available,10324384.5,Not Available,135600.0,Not Available,10324384.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,135600,Not Available
1580 Dean Street,Not Available,Not Available,No,216,No,3013470001,Not Available,-12.3,Not Available,No,Not Available,Not Available,Not Available,70.7,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,482879.9,Not Available,Not Available,11213,2401,Not Available,04/09/2019 04:47 PM EDT,Not Available,10839983.9,Not Available,110400.0,Not Available,10839983.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,110400,Not Available
430 E 67 St,Not Available,Not Available,No,Not Available,Not Available,1-01461-0013,Not Available,149.9,Not Available,No,Not Available,Not Available,Not Available,396.1,Not Available,Not Available,Not Available,No,Not Available,Not Available,18962494.5,Not Available,Not Available,10065,Not Available,Not Available,04/04/2019 10:10 AM EDT,Not Available,Not Available,Not Available,395857.0,Not Available,260870479.7,Not Available,Not Available,Parking,Not Available,Not Available,Not Available,67864,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
425 West 123rd Street,Not Available,Not Available,No,408,No,1019640012,Not Available,3.2,Not Available,No,Not Available,Not Available,Not Available,96.4,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,904399.9,Not Available,Not Available,10027,13,Not Available,04/09/2019 04:47 PM EDT,Not Available,21187552,Not Available,160925.0,Not Available,21187552,Not Available,Not Available,Swimming Pool,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,160925,Not Available
8101 15th Avenue,Not Available,Not Available,No,340,Not Available,3062940001,Not Available,8.7,Not Available,No,Not Available,Not Available,839730,86.1,Not Available,Not Available,04/11/2019 11:57 AM EDT,No,Not Available,09/2018,799199.9,Not Available,Not Available,11228,62453.5,Not Available,04/11/2019 11:58 AM EDT,Not Available,14823789.7,Not Available,111600.0,Not Available,14823789.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,111600,Not Available
1633 Broadway,Not Available,145192,No,Not Available,Not Available,1-01022-0043,Not Available,-10.1,Not Available,No,Not Available,Not Available,Not Available,97.5,Not Available,57.33,Not Available,No,2677596,Not Available,35621781.9,Not Available,62251.6,10019,Not Available,Not Available,04/08/2019 02:53 PM EDT,Not Available,526828129.1,Not Available,2919620.0,Not Available,526828129.1,Not Available,Not Available,Performing Arts,Not Available,Not Available,Not Available,145192,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
200 Park Ave,Not Available,Not Available,No,Not Available,Not Available,1-01280-9010,Not Available,25,Not Available,No,Not Available,Not Available,Not Available,127.8,Not Available,66.05,04/22/2019 03:50 PM EDT,No,2939280.3,Not Available,47346441.4,Not Available,Not Available,10166,72443.7,Not Available,04/23/2019 03:02 PM EDT,Not Available,717160696.8,Not Available,3062623.0,0,717160696.8,Not Available,Not Available,Parking,Not Available,Not Available,0,69235,Not Available,Not Available,8476.7,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,6418,Not Available
2750 Lafayette Avenue,Not Available,Not Available,No,396,No,2055470001,Not Available,-36.7,Not Available,No,Not Available,Not Available,Not Available,60.8,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,789347.5,Not Available,Not Available,10465,1149,Not Available,04/09/2019 02:10 PM EDT,Not Available,16172917.4,Not Available,182525.0,Not Available,16172917.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,182525,Not Available
8 Henry Street,Not Available,Not Available,No,168,Not Available,1002790040,Not Available,-14.3,Not Available,No,Not Available,Not Available,0,75.6,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,06/2018,489925,Not Available,Not Available,10038,49443.2,Not Available,04/09/2019 04:47 PM EDT,Not Available,9918025.2,Not Available,87680.0,Not Available,9918025.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,87680,Not Available
