avoided_emissions_onsite,data_center_ups_output_meter,multifamily_housing_number_4,financial_office_number_of_1,energy_power_station_gross,fuel_oil_2_use_kbtu,third_party_certification_1,data_center_it_site_energy,hotel_percent_that_can_be,non_refrigerated_warehouse,convenience_store_with_gas,water_use_all_water_sources,courthouse_gross_floor_area,count_of_buildings,data_quality_checker_run,national_median_energy_star,office_number_of_workers,temporary_values,mailing_center_post_office,senior_care_community_living,supermarket_grocery_number,wholesale_club_supercenter,latitude,data_center_pdu_input_meter,multifamily_housing_number_5,avoided_emissions_offsite,retail_store_open_or_closed,address_2,water_current_date,percent_of_recs_retained,energy_star_certification,retail_store_walk_in,alert_property_has_no_uses,multifamily_housing_number_6,office_computer_density_number,electricity_use_generated,third_party_certification_2,municipally_supplied_potable,hospital_general_medical_10,_3rd_largest_property_use_1,convenience_store_with_gas_1,retail_store_gross_floor,source_energy_use_adjusted,restaurant_weekly_operating,laboratory_gross_floor_area,hotel_room_density_number,office_number_of_computers,repair_services_vehicle_shoe,financial_office_number_of,city,multifamily_housing_gross,estimated_data_flag_1,property_gfa_calculated_2,leed_us_project_id,multifamily_housing_number_1,multifamily_housing_percent_1,_2nd_largest_property_use,propane_use_kbtu,multifamily_housing_number_3,estimated_values_water,green_power_offsite_kwh,weather_normalized_site_energy,third_party_certification,alert_individual_monthly,nyc_building_identification,hospital_general_medical_9,borough,default_values,primary_property_type_self,data_center_ups_system,alert_meter_has_less_than,hospital_general_medical_4,financial_office_gross_floor,property_name-hospital_general_medical_17
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Yes,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.75557,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8135238.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Jackson Heights,33830,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.4,Unable to Check (not enough data),0,4777710.5,Not Available,Ok,4440874,Not Available,QUEENS,Yes,Multifamily Housing,Not Available,Ok,Not Available,Not Available,82-10 Northern Blvd-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7343.6,Not Available,,Yes,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.724422,Not Available,0,0,Not Available,Not Available,12/31/2016,Not Available,Not Available,Not Available,Ok,90,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,31135726.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,New York,123500,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,0.87449,No,0,14381193.8,Not Available,Ok,1087698,Not Available,MANHATTAN,No,Multifamily Housing,Not Available,Ok,Not Available,Not Available,NY021_Avalon Bowery Place II-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3116.4,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.73937,Not Available,0,0,Not Available,Not Available,12/31/2016,Not Available,Not Available,Not Available,Ok,68,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6994312.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,New York,63500,Not Available,Not Available,Not Available,0,100,Not Available,Not Available,1.40158,No,0,4633482.2,Not Available,Ok,1014571,Not Available,MANHATTAN,No,Multifamily Housing,Not Available,Ok,Not Available,Not Available,Buchbinder: 160 W 16th St-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.691391,Not Available,0,0,Not Available,Not Available,12/31/2012,Not Available,Not Available,Not Available,Ok,133,Not Available,Not Available,Not Available,Not Available,Not Available,1200,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Jamaica,233436,Not Available,Not Available,Not Available,0,100,Other,Not Available,1.79064,No,0,Not Available,Not Available,Possible Issue,4435291,Not Available,QUEENS,No,Multifamily Housing,Not Available,Possible Issue,Not Available,Not Available,RAJRAJ11204 112-04 167th St.-Not Available
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,90,Not Available,Not Available,3527.1,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.753298,Not Available,Not Available,0,Not Available,Not Available,12/31/2016,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17605824.6,Not Available,Not Available,1.96648,Not Available,Not Available,Not Available,Long island City,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Possible Issue,4538549,Not Available,QUEENS,No,Hotel,Not Available,Ok,Not Available,Not Available,Ferruqui 39-05 29th st.-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7843,Not Available,,Yes,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.675098,Not Available,0,0,Not Available,Not Available,12/31/2016,Not Available,Not Available,Not Available,Ok,125,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,13793895.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Brooklyn,155586,Not Available,Not Available,Not Available,0,100,Not Available,Not Available,1.60683,No,0,10655587,Not Available,Ok,3030730,Not Available,BROOKLYN,No,Multifamily Housing,Not Available,Ok,Not Available,Not Available,North 751 Realty Corp 2-Not Available
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,No,50,150,No,Not Available,Not Available,Not Available,Not Available,40.746335,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,1.12406,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10537132.4,Not Available,Not Available,Not Available,100,Not Available,Not Available,Manhattan,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,3479969.5,Not Available,Not Available,1017000,Not Available,MANHATTAN,Yes,Office,Not Available,Not Available,Not Available,Not Available,148 Madison Avenue-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5.0,Yes,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.668843,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,229,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,19812345.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,BROOKLYN,253750,Not Available,Not Available,Not Available,Not Available,90,Not Available,Not Available,1.84039,Unable to Check (not enough data),0,Not Available,Not Available,Possible Issue,3084282;3328033;3328034;3328050;3328051,Not Available,BROOKLYN,No,Multifamily Housing,Not Available,Ok,Not Available,Not Available,LONG ISLAND BAPTIST HOUSES-Not Available
Not Available,Not Available,1114,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.79612,Not Available,0.74382,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,372,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,182353411.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,1497670,Not Available,Not Available,Not Available,Not Available,90,Not Available,Not Available,2.15935,Unable to Check (not enough data),0,185179916.7,Not Available,Ok,1052513;1080703;1080704;1080705;1080706;1080707;1080708;1080709;1081086;1081087;1081088;1081089;1081090;1081091;1081092;1081093;1081094;1081095;1081096,Not Available,MANHATTAN,No,Multifamily Housing,Not Available,Ok,Not Available,Not Available,JEFFERSON-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2607.1,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.772025,Not Available,0,0,Not Available,Not Available,12/31/2016,Not Available,Not Available,Not Available,Ok,16,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9740262.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,New York,82230,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,1.39998,No,0,Not Available,Not Available,Ok,1028139,Not Available,MANHATTAN,Yes,Multifamily Housing,Not Available,Ok,Not Available,Not Available,Sierra Real Estate Touro College-Not Available
Not Available,Not Available,33,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Yes,50,0,No,Not Available,Not Available,Not Available,Not Available,40.739965,Not Available,0.38057,0,0,Not Available,Not Available,Not Available,Not Available,0,Ok,0,0,Not Available,Not Available,Not Available,Not Available,3700,Not Available,3700,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Manhattan,86713,Not Available,Not Available,Not Available,33,100,Office,Not Available,1.01484,Unable to Check (not enough data),0,13298503.1,Not Available,Ok,1016227,Not Available,MANHATTAN,No,Multifamily Housing,Not Available,Ok,Not Available,Not Available,"141-147 5th Avenue, New York-Not Available"
Not Available,Not Available,92,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8911.5,Not Available,,Yes,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.767988,Not Available,0.65518,0,Not Available,Not Available,12/31/2016,Not Available,Not Available,Not Available,Ok,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11871528.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,New York,140420,Not Available,Not Available,Not Available,40,90,Not Available,Not Available,0.89375,Yes,0,7490812.9,Not Available,Not Available,1043923,Not Available,MANHATTAN,No,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,225 E 70-Not Available
Not Available,Not Available,1853,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16.0,Yes,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.795701,Not Available,0.83402,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,203,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,345128870.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,2221782,Not Available,Not Available,Not Available,0,90,Not Available,Not Available,1.86157,Unable to Check (not enough data),0,Not Available,Not Available,Possible Issue,1079365;1079375;1079388;1081297;1081298;1081299;1081300;1081301;1081302;1083820;1079336;1079347;1079350;1079356;1079408;1079419,Not Available,MANHATTAN,No,Multifamily Housing,Not Available,Ok,Not Available,Not Available,DOUGLASS I/DOUGLASS II CAMPUS-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10447,Not Available,,Yes,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.664737,Not Available,0,0,Not Available,Not Available,12/31/2016,Not Available,Not Available,Not Available,Ok,68,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8579664.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,brooklyn,84000,Not Available,7000,Not Available,0,100,Parking,Not Available,1.61905,No,0,5113764.8,Not Available,Ok,3414173,Not Available,BROOKLYN,Yes,Multifamily Housing,Not Available,Ok,Not Available,Not Available,ENY Plaza LLC-Not Available
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.671837,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Queens,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Unable to Check (not enough data),0,15880540.9,Not Available,Ok,4541230,Not Available,QUEENS,No,Mixed Use Property,Not Available,Ok,Not Available,Not Available,133-40 79th Street-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.754994,Not Available,0,0,Not Available,Not Available,12/31/2012,Not Available,Not Available,Not Available,Ok,194,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,12924316.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Flushing,200000,Not Available,10000,Not Available,0,100,Parking,Not Available,0.97,No,0,7595933.7,Not Available,Not Available,4115789,Not Available,QUEENS,No,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,First Zone:  138-15 Franklin Ave-Not Available
Not Available,Not Available,62,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.790501,Not Available,1.11901,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9824146,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Manhattan,55406,Not Available,Not Available,Not Available,0,100,Not Available,Not Available,1.11901,Unable to Check (not enough data),0,4054166.9,Not Available,Not Available,1089312,Not Available,MANHATTAN,No,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Sun Sun Group : 1635 Lexington Ave-Not Available
Not Available,Not Available,Not Available,Not Available,Not Available,3865103.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,No,50,484,No,Not Available,Not Available,Not Available,Not Available,40.752382,Not Available,Not Available,0,Not Available,Not Available,09/30/2015,Not Available,"2016, 2015",Not Available,Ok,Not Available,5.16983,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,28698037.1,Not Available,Not Available,Not Available,758,Not Available,Not Available,New York,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Food Sales,Not Available,Not Available,No,0,Not Available,Not Available,Ok,1037588,Not Available,MANHATTAN,No,Office,Not Available,Possible Issue,Not Available,Not Available,A&E_227 E 45 ST-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10815.3,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.819332,Not Available,0,0,Not Available,Not Available,12/31/2016,Not Available,Not Available,Not Available,Ok,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bronx,125125,Not Available,Not Available,Not Available,0,100,Not Available,Not Available,0.00799,No,0,13058316.2,Not Available,Ok,2086555,Not Available,BRONX,No,Multifamily Housing,Not Available,Ok,Not Available,Not Available,Archcare: 900 Intervale Avenue-Not Available
Not Available,Not Available,Not Available,Not Available,Not Available,2311500.4,Not Available,Not Available,Not Available,Not Available,Not Available,4558.3,Not Available,,Yes,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.746216,Not Available,Not Available,0,Not Available,Not Available,12/31/2016,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,New York,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,7727084,Not Available,Not Available,1088996,Not Available,MANHATTAN,Yes,Residence Hall/Dormitory,Not Available,Not Available,Not Available,Not Available,General Theological - Hoffman West Quad-Not Available
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1768.4,Not Available,,Yes,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.802964,Not Available,Not Available,0,Not Available,Not Available,12/31/2016,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,New York,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Residence Hall/Dormitory,Not Available,Not Available,No,0,3639899.5,Not Available,Ok,Not Available,Not Available,MANHATTAN,Yes,Mixed Use Property,Not Available,Ok,Not Available,Not Available,Rockfeld Group 124 LLC-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,335115.3,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.793705,Not Available,0,0,Not Available,Not Available,12/31/2016,Not Available,Not Available,Not Available,Ok,0,Not Available,Not Available,Not Available,335115.3,Not Available,Not Available,Not Available,Not Available,12324612.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NYC,102791,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,1.4,No,0,7552717,Not Available,Ok,1034114,Not Available,MANHATTAN,Yes,Multifamily Housing,Not Available,Ok,Not Available,Not Available,Terrace Court-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.740495,Not Available,0,0,Not Available,Not Available,12/31/2013,Not Available,Not Available,Not Available,Ok,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,26879837.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Elmhurst,106050,Not Available,Not Available,Not Available,0,80,Not Available,Not Available,0.70721,No,0,20789153.4,Not Available,Not Available,4038419,Not Available,QUEENS,No,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Quantum: 80-06 47 Ave-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.736593,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,45,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15111022,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Queens,174771,Not Available,Not Available,Not Available,0,100,Not Available,Not Available,1.75086,Unable to Check (not enough data),0,4675760.7,Not Available,Ok,4431757;4431758;4537843,Not Available,QUEENS,No,Multifamily Housing,Not Available,Ok,Not Available,Not Available,KWM099116 99-11 60th Ave-Not Available
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11638,Not Available,,No,50,300,No,Not Available,Not Available,Not Available,Not Available,40.745092,Not Available,Not Available,0,Not Available,Not Available,02/28/2017,Not Available,Not Available,Not Available,Ok,Not Available,1.66667,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,21710262.7,Not Available,Not Available,Not Available,300,Not Available,Not Available,New York,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,11371131.7,Not Available,Ok,1016967,Not Available,MANHATTAN,No,Office,Not Available,Ok,Not Available,Not Available,460 Park Avenue South-Not Available
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5.2,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.877517,Not Available,Not Available,0,Not Available,Not Available,12/31/2016,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bronx,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,0,2685530.4,Not Available,Ok,2124371,Not Available,BRONX,No,Strip Mall,Not Available,Ok,Not Available,Not Available,Regency 171 W 230 St-Not Available
Not Available,Not Available,200,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6376003.1,Not Available,,Yes,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.779876,Not Available,1.87901,0,Not Available,Not Available,03/31/2017,Not Available,Not Available,Not Available,Ok,0,Not Available,Not Available,Not Available,Not Available,Not Available,1955,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,New York,106439,Not Available,Not Available,Not Available,0,100,Other - Recreation,Not Available,2.00115,No,0,6261394.2,Not Available,Ok,1030522,Not Available,MANHATTAN,No,Multifamily Housing,Not Available,Ok,Not Available,Not Available,"AIMCO 240 West 73rd Street, LLC-Not Available"
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,196.5,Not Available,,Yes,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.779095,Not Available,Not Available,0,Not Available,Not Available,12/31/2016,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27644943.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,New York,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Worship Facility,Not Available,Not Available,Yes,0,14708847.4,Not Available,Not Available,1047929;1047930,Not Available,MANHATTAN,Yes,K-12 School,Not Available,Not Available,Not Available,Not Available,KJ-Not Available
Not Available,Not Available,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5.0,Yes,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.676051,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,22001318.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,BROOKLYN,127100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.79386,Unable to Check (not enough data),0,Not Available,Not Available,Possible Issue,3038518;3038519;3038520;3038671;3038674,Not Available,BROOKLYN,No,Multifamily Housing,Not Available,Ok,Not Available,Not Available,OCEAN HILL-BROWNSVILLE-Not Available
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8397,Not Available,,Yes,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.811221,Not Available,Not Available,0,Not Available,Not Available,07/31/2017,Not Available,2012,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,25470009.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,New York,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,11062051.2,Not Available,Not Available,1811388,Not Available,MANHATTAN,No,Medical Office,Not Available,Not Available,Not Available,Not Available,Harlem Health Center-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.721142,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,12,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,72,Not Available,Not Available,Not Available,Not Available,Not Available,New York,41382,Not Available,Not Available,Not Available,12,100,Restaurant,Not Available,0.65246,Unable to Check (not enough data),0,809402.2,Not Available,Not Available,1002799,Not Available,MANHATTAN,No,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Samson - 407 Greenwich Street-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,366714.4,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.786963,Not Available,0,0,Not Available,Not Available,07/31/2017,Not Available,Not Available,Not Available,Ok,20,Not Available,Not Available,Not Available,366714.4,Not Available,Not Available,Not Available,Not Available,9744187.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,New York,94148,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,1.18962,No,0,7335166.4,Not Available,Ok,1052383,Not Available,MANHATTAN,Yes,Multifamily Housing,Not Available,Ok,Not Available,Not Available,El Barrio Artspace LP-Not Available
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,263000,Not Available,1984.2,Not Available,,No,50,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,40.75728,Not Available,Not Available,0,Not Available,Not Available,12/31/2016,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,32696199.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,New York,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,28749389.4,Not Available,Ok,1012527,Not Available,MANHATTAN,Yes,Non-Refrigerated Warehouse,Not Available,Ok,Not Available,Not Available,501 10 Avenue-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.833126,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,84,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10374383.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bronx,83424,Not Available,Not Available,Not Available,0,100,Not Available,Not Available,1.66619,Unable to Check (not enough data),0,6201946.4,Not Available,Ok,2127575,Not Available,BRONX,No,Multifamily Housing,Not Available,Ok,Not Available,Not Available,1500 Hoe Avenue-Not Available
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,,Yes,50,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,40.835694,Not Available,Not Available,0,0.11719,Not Available,12/31/2016,Not Available,Not Available,0,Ok,Not Available,Not Available,Not Available,Not Available,0,Not Available,10000,Not Available,25600,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bronx,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Supermarket/Grocery Store,Not Available,Not Available,No,0,1884559,Not Available,Ok,2009624;2806358;2806357,Not Available,BRONX,Yes,Mixed Use Property,Not Available,Ok,Not Available,Not Available,Royal Third Ave RLTYCP-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5316,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.764048,Not Available,0,0,Not Available,141-02 Northern Blvd.,12/31/2016,Not Available,Not Available,Not Available,Ok,62,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4332027.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Flushing,60282,Not Available,Not Available,Not Available,0,100,Not Available,Not Available,1.06168,No,0,Not Available,Not Available,Possible Issue,4113391,Not Available,QUEENS,No,Multifamily Housing,Not Available,Ok,Not Available,Not Available,Bowne Street Building-Not Available
