unique_key,created_date,closed_date,intersection_street_2,y_coordinate_state_plane,community_board,vehicle_type,:@computed_region_yeji_bk3q,longitude
53917946,2022-04-14T00:45:00.000,2022-04-16T02:00:00.000,GRAND AVENUE,189335.0,02 BROOKLYN,,2.0,-73.96239961499376
53922673,2022-04-15T18:11:54.000,2022-04-15T19:25:31.000,ALBANY CRESCENT,258451.0,08 BRONX,,5.0,-73.90300079606398
53922061,2022-04-15T06:49:42.000,2022-04-18T08:59:50.000,8 AVENUE,208527.0,02 MANHATTAN,,4.0,-74.0025584725081
53917862,2022-04-14T18:13:26.000,2022-04-14T19:38:15.000,LINCOLN TUNNEL APPROACH,213310.0,04 MANHATTAN,,4.0,-73.99927092623828
53923127,2022-04-15T09:43:46.000,2022-04-15T11:09:16.000,,248782.0,Unspecified MANHATTAN,,4.0,-73.93359695065767
53926630,2022-04-15T16:08:20.000,2022-04-15T19:00:37.000,JAMAICA AVENUE,188994.0,05 BROOKLYN,,2.0,-73.88220304267186
53923286,2022-04-15T13:41:00.000,2022-04-18T12:00:00.000,,204320.0,06 QUEENS,,3.0,-73.85762000453174
53917340,2022-04-14T22:06:06.000,2022-04-14T22:57:15.000,QUENTIN ROAD,160334.0,11 BROOKLYN,,2.0,-73.98237107395448
53920328,2022-04-15T13:51:00.000,2022-04-15T16:53:37.000,ERSKINE STREET,175976.0,05 BROOKLYN,,2.0,-73.87430189621656
53921740,2022-04-15T11:27:52.000,2022-04-17T15:02:03.000,,210457.0,05 MANHATTAN,,4.0,-73.98265224953293
53923790,2022-04-15T09:34:45.000,2022-04-18T13:53:07.000,,159989.0,14 QUEENS,,3.0,-73.7562819290494
53920596,2022-04-15T22:07:01.000,2022-04-16T01:25:41.000,BETTY JEAN DIBIASO WAY,224187.0,01 QUEENS,,3.0,-73.9189932197366
53919728,2022-04-14T09:37:41.000,2022-10-19T11:32:26.000,,213147.0,06 MANHATTAN,,4.0,-73.97269240170475
53919642,2022-04-14T09:58:45.000,2022-04-27T15:43:27.000,,259140.0,07 BRONX,,5.0,-73.88503687258934
53917426,2022-04-14T11:55:48.000,2022-04-15T10:43:29.000,,169741.0,Unspecified BROOKLYN,,2.0,-73.9466352090427
53923961,2022-04-16T00:42:12.000,2022-04-16T02:47:28.000,34 AVENUE,214043.0,03 QUEENS,,3.0,-73.89080172101033
53927299,2022-04-15T10:44:22.000,2022-04-15T17:21:16.000,73 AVENUE,204546.0,08 QUEENS,,3.0,-73.80894369037782
53918098,2022-04-14T21:31:51.000,2022-04-14T21:33:05.000,73 STREET,212103.0,03 QUEENS,,3.0,-73.89338373116325
53917436,2022-04-14T21:56:11.000,2022-04-18T20:50:10.000,,239726.0,09 BRONX,,5.0,-73.87727744546304
53923758,2022-04-15T09:03:45.000,2022-04-15T09:29:12.000,GARDEN PLACE,191892.0,02 BROOKLYN,,2.0,-73.99639390628707
53921588,2022-04-15T20:09:19.000,2022-04-15T20:14:36.000,2 AVENUE,208991.0,06 MANHATTAN,,4.0,-73.98072989544673
53918620,2022-04-14T09:31:37.000,2022-04-28T10:52:44.000,,234160.0,10 MANHATTAN,,4.0,-73.94430072974454
53922509,2022-04-15T22:21:36.000,2022-04-15T22:43:06.000,WEST   85 STREET,225388.0,07 MANHATTAN,,4.0,-73.97301806263687
53926267,2022-04-15T23:51:36.000,2022-04-16T05:58:35.000,GRAND STREET,201963.0,02 MANHATTAN,,4.0,-74.0027056920393
53922381,2022-04-15T15:58:31.000,2022-04-15T17:29:38.000,LA GUARDIA PLACE,205275.0,02 MANHATTAN,,4.0,-73.99772330055367
53920042,2022-04-14T08:18:50.000,2022-04-14T08:49:01.000,AVENUE B,204198.0,03 MANHATTAN,,4.0,-73.98056051937894
53925479,2022-04-15T20:02:07.000,2022-04-15T20:16:50.000,BEND,135383.0,03 STATEN ISLAND,,1.0,-74.2171330134096
53918461,2022-04-14T14:29:54.000,2022-04-20T14:11:55.000,,172555.0,14 BROOKLYN,,2.0,-73.95673247294093
53922590,2022-04-16T01:24:37.000,2022-04-16T01:31:07.000,UNIVERSITY PLACE,206887.0,02 MANHATTAN,,4.0,-73.99226736786993
53930469,2022-04-16T22:57:38.000,2022-04-16T23:23:58.000,LENOX AVENUE,230726.0,10 MANHATTAN,,4.0,-73.95273871312759
53918732,2022-04-14T16:15:22.000,2022-04-19T15:49:05.000,123 AVENUE,185935.0,12 QUEENS,,3.0,-73.7930757742183
