boro_block_lot,address,building_classification,estimated_gross_income_2,gross_sqft_1,address_3,market_value_per_sqft_2,total_units_1,total_units_2,estimated_gross_income_3,market_value_per_sqft_3,market_value_per_sqft_1,boro_block_lot_1,full_market_value_3,year_built,gross_income_per_sqft,net_operating_income_1,estimated_gross_income
1-00592-0066,375 AVENUE OF THE AMERICAS,D4  -ELEVATOR,2610696,48531,154 CHRISTOPHER STREET,387.52,69,59,29828820.0,427.13,401.99,1-00593-0036,236202000.0,1929,53.94,1878635,5032117
1-00836-0064,36 WEST 35 STREET,D4  -ELEVATOR,2686681,160126,488 7 AVENUE,467.07,173,75,3597539.0,359.58,236.65,1-00835-0015,31957000.0,1930,40.56,4806983,999642
1-00577-0042,74 5 AVENUE,D0  -ELEVATOR,1822590,63943,20 5 AVENUE,212.7,88,47,7204972.0,333.0,286.0,1-00575-0077,44096000.0,1910,51.85,2252073,4842583
1-00575-0057,15 WEST 11 STREET,D4  -ELEVATOR,1178859,20797,82 WEST WASHINGTON PLACE,297.01,27,42,1400128.0,269.96,250.28,1-00573-0011,7318000.0,1923,51.65,705226,2639986
1-00454-0063,315 EAST 12 STREET,C6  -WALK-UP,424516,10310,342 EAST 13 STREET,281.83,22,20,429924.0,290.53,246.07,1-00454-0023,3206000.0,1900,38.48,253523,814929
1-01143-0039,118 WEST 72 STREET,D4  -ELEVATOR,1193193,36258,46 WEST 73 STREET,329.54,66,51,1166518.0,243.51,381.07,1-01147-0030,5549000.0,1915,48.94,1335383,1317024
1-01043-0003,788 9 AVENUE,C6  -WALK-UP,538168,11530,236 WEST 52 STREET,223.03,17,16,653889.0,289.87,192.45,1-01045-0025,4071000.0,1920,44.56,329989,493324
1-01150-0056,164 WEST 79 STREET,D4  -ELEVATOR,2912837,217281,985 5 AVENUE,377.26,71,28,4474004.0,536.97,377.56,1-01126-0029,54799000.0,1925,44.5,6218582,4142950
1-01011-0042,120 CENTRAL PARK SOUTH,D4  -ELEVATOR,6307676,269346,240 CENTRAL PARK SOUTH,219.6,325,111,20467821.0,284.95,322.54,1-01274-0006,110398000.0,1941,51.8,9149684,5101937
1-01046-0056,346 WEST 56 STREET,D4  -ELEVATOR,1992077,25482,,218.5,38,85,,,286.28,1-01041-0038,,1920,45.59,898240,2225248
1-00771-0038,188 7 AVENUE,D4  -ELEVATOR,994275,48680,225 WEST 14 STREET,308.27,70,25,1005713.0,385.9,347.27,1-00798-0066,6724000.0,1963,53.95,1992959,4368709
1-00774-0069,254 WEST 25 STREET,D4  -ELEVATOR,680443,41423,258 WEST 22 STREET,244.94,51,19,1358370.0,238.52,354.3,1-00797-0074,7245000.0,1925,45.01,1164815,920725
1-00550-0022,1 5 AVENUE,D4  -ELEVATOR,26174946,218985,,370.06,270,486,,,285.67,1-00548-0001,,1927,53.97,8341139,12894674
1-01056-0042,420 WEST 47 STREET,D4  -ELEVATOR,923580,22500,444 WEST 45 STREET,260.14,33,26,2865407.0,175.37,253.16,1-01075-0047,11507000.0,1910,43.98,660600,886637
1-00374-0065,307 EAST 4 STREET,C6  -WALK-UP,1046762,20599,181 EAST 2 STREET,203.44,17,35,615626.0,75.28,227.97,1-00392-0022,1973000.0,1900,23.86,249454,461786
1-00616-0011,54 8 AVENUE,D4  -ELEVATOR,2162702,142204,30 GREENWICH AVENUE,355.45,162,59,1912838.0,354.38,305.24,1-00618-0033,13373000.0,1960,49.97,5146362,6349788
1-00468-0015,212 EAST 13 STREET,D4  -ELEVATOR,664251,10008,254 EAST 10 STREET,345.54,19,23,572851.0,273.08,287.07,1-00468-0035,3349000.0,1930,47.48,339572,665765
1-01210-0019,127 WEST 79 STREET,D4  -ELEVATOR,2883905,19303,401 AMSTERDAM AVENUE,188.08,21,60,4219297.0,200.18,292.39,1-01196-0003,21323000.0,1926,38.2,477557,4732904
1-01046-0001,357 WEST 55 STREET,D4  -ELEVATOR,21567928,100000,911 8 AVENUE,318.13,109,322,17200804.0,223.0,296.44,1-01045-0061,72869000.0,1935,53.87,3532000,3798212
1-00588-0007,22 GROVE STREET,D4  -ELEVATOR,911802,31460,686 GREENWICH STREET,312.7,65,43,1057928.0,563.55,565.51,1-00588-0071,13731000.0,1930,42.11,980609,857781
1-01150-0055,150 WEST 79 STREET,D4  -ELEVATOR,484810,14680,,268.2,24,16,,,291.55,1-01150-0051,,1911,49.58,527012,3474566
1-01179-0019,303 WEST 66 STREET,D4  -ELEVATOR,2008269,33600,228 WEST 71 STREET,141.51,25,37,4235101.0,352.63,253.66,1-01163-0011,37703000.0,1962,40.03,970368,17071834
1-00442-0013,35 EAST 1 STREET,C6  -WALK-UP,441537,9280,41 1 AVENUE,366.27,13,17,441288.0,357.16,375.97,1-00429-0042,2893000.0,1900,54.48,348464,359840
1-00864-0041,16 PARK AVENUE,D4  -ELEVATOR,6029515,97414,20 PARK AVENUE,257.5,100,119,5297291.0,259.3,405.55,1-00887-0023,26269000.0,1924,52.29,3439688,3076796
1-00891-0003,35 PARK AVENUE,D4  -ELEVATOR,5352129,115221,20 PARK AVENUE,193.66,119,119,4433151.0,259.3,257.5,1-00892-0001,26269000.0,1955,44.13,2968093,6782472
1-01129-0050,40 WEST 77 STREET,D4  -ELEVATOR,4841394,217281,920 PARK AVENUE,536.97,71,47,7761646.0,261.98,377.56,1-01126-0029,40749000.0,1928,49.9,7218075,8117532
1-00584-0043,47 MORTON STREET,D4  -ELEVATOR,1359080,31460,60 LEROY STREET,563.55,65,42,1205961.0,283.56,565.51,1-00588-0071,6307000.0,1926,56.77,1386442,775705
1-00100-0026,138 NASSAU STREET,D4  -ELEVATOR,1021096,24610,254 FRONT STREET,338.96,13,24,1205170.0,330.6,202.76,1-00092-0017,10485000.0,1901,39.42,754542,3130815
1-00871-0030,133 EAST 15 STREET,C6  -WALK-UP,431136,8295,,266.59,16,20,,,388.07,1-00904-0033,,1900,49.81,311892,474938
1-00569-0001,43 5 AVENUE,D4  -ELEVATOR,3398856,26712,575 WEST END AVENUE,162.43,14,38,5118021.0,236.24,267.03,1-00220-0027,24791000.0,1905,48.77,740189,3131912
1-00595-0041,474 GREENWICH STREET,D4  -ELEVATOR,1497488,44256,110 SULLIVAN STREET,355.47,86,70,1757376.0,273.28,310.01,1-00506-0016,10625000.0,1900,44.37,1254657,1116305
1-00573-0043,24 5 AVENUE,D4  -ELEVATOR,6993100,37810,1 UNIVERSITY PLACE,333.0,33,115,11323714.0,285.67,376.22,1-00577-0010,62558000.0,1926,51.71,1385358,13916143
1-00542-0011,25 MINETTA LANE,D4  -ELEVATOR,1352418,20874,60 WEST 10 STREET,269.96,30,35,1038810.0,250.28,220.9,1-00543-0048,5205000.0,1940,49.89,646467,2280971
1-00094-0001,80 GOLD STREET,D4  -ELEVATOR,796517,24610,,338.96,13,24,,,202.76,1-00092-0017,,1971,31.6,490478,68113547
1-01206-0023,7 WEST 92 STREET,D4  -ELEVATOR,2326320,152765,82 MANHATTAN AVENUE,144.26,169,201,539878.0,258.44,230.45,1-01202-0001,4378000.0,1915,31.87,3195843,1434596
1-00620-0067,242 WEST 4 STREET,C6  -WALK-UP,343206,9050,54 BARROW STREET,378.13,17,13,471033.0,545.6,542.98,1-00622-0067,5085000.0,1900,50.54,302179,340134
1-01036-0014,325 WEST 45 STREET,D4  -ELEVATOR,955575,32520,,253.16,30,33,,,177.58,1-01036-0054,,1924,38.59,711212,4900930
1-00461-0024,232 EAST 6 STREET,D4  -ELEVATOR,3891816,14022,304 EAST 12 STREET,238.46,13,86,3199574.0,175.88,320.64,1-00468-0013,17905000.0,1920,42.45,553728,945192
1-01055-0047,424 WEST 46 STREET,C6  -WALK-UP,399196,9566,437 WEST 46 STREET,195.14,18,20,428935.0,433.01,293.96,1-01055-0026,4066000.0,1910,44.43,265169,379877
1-00377-0062,249 EAST 7 STREET,C6  -WALK-UP,441508,8883,286 EAST 2 STREET,405.65,12,12,950784.0,277.65,162.45,1-00379-0010,5015000.0,2001,52.2,305042,504461
1-00622-0017,398 BLEECKER STREET,C6  -WALK-UP,630917,8902,247 WEST 11 STREET,402.89,17,17,713885.0,306.62,489.33,1-00634-0067,3615000.0,1910,60.45,417592,361733
1-00893-0002,55 PARK AVENUE,D4  -ELEVATOR,5736345,101306,232 EAST 40 STREET,193.66,102,119,959805.0,164.69,259.3,1-00865-0032,3423000.0,1923,46.18,3060455,1720759
1-00837-0040,372 5 AVENUE,D0  -ELEVATOR,4373700,160126,1265 BROADWAY,262.51,173,95,2946521.0,467.07,236.65,1-00835-0015,29244000.0,1928,47.06,5549967,6007962
1-00542-0025,290 AVENUE OF THE AMERICAS,D4  -ELEVATOR,1396604,20874,60 WEST 10 STREET,269.96,30,35,1072709.0,250.28,220.9,1-00543-0048,5205000.0,1941,51.52,677988,2829684
1-00796-0013,143 WEST 20 STREET,D0  -ELEVATOR,7982602,174621,110 WEST 26 STREET,396.33,213,214,1059559.0,174.36,504.64,1-00796-0048,4538000.0,1909,40.71,5205452,1973499
1-01204-0029,300 CENTRAL PARK WEST,D4  -ELEVATOR,5004684,128194,135 CENTRAL PARK WEST,236.24,71,55,15783292.0,377.56,239.26,1-01199-0029,82036000.0,1930,47.69,3776596,29020891
1-00771-0074,234 8 AVENUE,D4  -ELEVATOR,1487770,26250,110 WEST 26 STREET,276.25,13,18,1586606.0,174.36,230.29,1-00770-0031,4538000.0,1960,60.96,1116938,785652
1-01210-0015,145 WEST 79 STREET,D4  -ELEVATOR,660163,76193,401 AMSTERDAM AVENUE,292.39,60,21,3792148.0,200.18,188.08,1-01210-0012,21323000.0,1928,34.2,1629006,2036405
