address,net_operating_income_2,net_operating_income,estimated_expense_2,estimated_gross_income_1,full_market_value,distance_from_co_op_in_miles_2,net_operating_income_3,distance_from_co_op_in_miles_1,neighborhood_2,neighborhood_1,estimated_expense_3,expense_per_sqft,year_built_2,expense_per_sqft_2,distance_from_co_op_in_miles,gross_sqft_3,gross_income_per_sqft_2,building_classification_2,report_year,building_classification_3,address_2,neighborhood_3
52 RIVERSIDE DRIVE,3122555,1551552,1922179,1595993,12601000,0.34,834288.0,0.18,UPPER WEST SIDE (59-79),UPPER WEST SIDE (59-79),465360.0,13.85,1929,14.62,0.23,33600.0,38.37,D6  -ELEVATOR,2019,D7  -ELEVATOR,360 AMSTERDAM AVENUE,UPPER WEST SIDE (59-79)
46 WEST 95 STREET,132206,664219,85449,1310001,5347000,0.39,1521545.0,0.25,UPPER WEST SIDE (79-96),UPPER WEST SIDE (79-96),963432.0,10.53,1930,11.02,0.15,91494.0,28.07,D3  -ELEVATOR,2019,D3  -ELEVATOR,4 WEST 90 STREET,UPPER WEST SIDE (79-96)
404 WEST 48 STREET,190322,348687,142809,536688,2832000,0.1,217381.0,0.1,CLINTON,CLINTON,151316.0,14.67,1901,15.78,0.05,9050.0,36.81,C4  -WALK-UP,2019,C4  -WALK-UP,450 WEST 46 STREET,CLINTON
689 COLUMBUS AVENUE,1029820,4066851,763840,8471039,32372000,0.2,3115279.0,0.67,MANHATTAN VALLEY,MANHATTAN VALLEY,2721794.0,11.69,1910,11.2,0.16,232831.0,26.3,D1  -ELEVATOR,2019,D6  -ELEVATOR,14 WEST 107 STREET,UPPER WEST SIDE (79-96)
319 EAST 24 STREET,377190,5985294,231495,6223499,48610000,,,0.26,GRAMERCY,KIPS BAY,,14.68,1998,14.03,0.16,,36.89,D3  -ELEVATOR,2019,,141 EAST 23 STREET,
115 EAST 10 STREET,449408,784592,157300,432372,6371000,0.14,454238.0,0.14,EAST VILLAGE,EAST VILLAGE,152470.0,11.25,1920,10.42,0.14,15096.0,40.19,C4  -WALK-UP,2019,C4  -WALK-UP,239 EAST 13 STREET,EAST VILLAGE
482 HUDSON STREET,911738,852285,299933,1523293,6922000,0.07,763791.0,0.14,GREENWICH VILLAGE-WEST,GREENWICH VILLAGE-WEST,289305.0,13.19,1880,12.31,0.08,22392.0,49.73,D5  -ELEVATOR,2019,D1  -ELEVATOR,686 GREENWICH STREET,GREENWICH VILLAGE-WEST
31 WEST 93 STREET,109641,635897,113519,1345261,5123000,0.4,344019.0,0.2,UPPER WEST SIDE (79-96),UPPER WEST SIDE (79-96),326480.0,14.04,1930,14.64,0.1,25056.0,28.78,D3  -ELEVATOR,2019,D1  -ELEVATOR,4 WEST 90 STREET,UPPER WEST SIDE (79-96)
234 EAST 35 STREET,233604,232134,154297,669120,1885000,0.05,562732.0,0.05,MURRAY HILL,MURRAY HILL,313814.0,22.0,1900,21.46,0.12,15675.0,53.95,C4  -WALK-UP,2019,C4  -WALK-UP,216 EAST 36 STREET,MURRAY HILL
43 AVENUE A,3229844,3381765,1389155,1564769,27465000,0.14,681605.0,0.27,EAST VILLAGE,EAST VILLAGE,302515.0,12.06,2007,12.06,0.31,23634.0,40.1,D6  -ELEVATOR,2019,D9  -ELEVATOR,21 2 AVENUE,EAST VILLAGE
460 WEST 23 STREET,250811,192823,105735,225819,1566000,0.05,299615.0,0.05,CHELSEA,CHELSEA,93051.0,13.25,1856,13.25,0.18,8820.0,44.68,C5  -WALK-UP,2019,C5  -WALK-UP,410 WEST 22 STREET,CHELSEA
212 9 AVENUE,744450,8207200,242025,4648020,66655000,,,0.23,CHELSEA,CHELSEA,,9.09,1910,9.22,0.38,,37.58,D9  -ELEVATOR,2019,,215 WEST 20 STREET,
290 WEST 11 STREET,450983,408619,167618,516405,3318000,0.16,508856.0,0.15,GREENWICH VILLAGE-WEST,GREENWICH VILLAGE-WEST,191116.0,11.85,1905,16.06,0.06,11790.0,59.27,C7  -WALK-UP,2019,C7  -WALK-UP,228 WEST 4 STREET,GREENWICH VILLAGE-WEST
325 WEST 21 STREET,225486,259257,171416,217126,2106000,0.17,233760.0,0.0,CHELSEA,CHELSEA,104665.0,16.48,1900,17.69,0.0,7805.0,40.96,C4  -WALK-UP,2019,C4  -WALK-UP,327 WEST 21 STREET,CHELSEA
547 BROADWAY,5233571,1047792,1521605,1171476,8510000,0.14,887777.0,0.35,SOHO,SOHO,294754.0,14.03,1920,12.15,0.21,20670.0,53.94,D5  -ELEVATOR,2019,D7  -ELEVATOR,80 VARICK STREET,SOHO
139 CHAMBERS STREET,61566639,833476,24122381,86377359,6769000,0.43,813114.0,0.47,TRIBECA,TRIBECA,331251.0,12.82,1983,12.82,0.13,24610.0,45.54,D6  -ELEVATOR,2019,D9  -ELEVATOR,345 SOUTH END AVENUE,SOUTHBRIDGE
815 GREENWICH STREET,565474,393900,195978,507778,3199000,0.21,322542.0,0.08,GREENWICH VILLAGE-WEST,GREENWICH VILLAGE-WEST,152764.0,13.13,1900,13.35,0.07,9050.0,51.87,C4  -WALK-UP,2019,C4  -WALK-UP,82 JANE STREET,GREENWICH VILLAGE-WEST
71 GRAND STREET,4216662,1439961,1395118,974286,11693000,0.28,720143.0,0.2,SOHO,SOHO,273671.0,11.02,1920,11.14,0.2,20670.0,44.81,D5  -ELEVATOR,2019,D7  -ELEVATOR,80 VARICK STREET,SOHO
254 EAST 7 STREET,229973,394472,143279,379482,3204000,0.19,508445.0,0.4,ALPHABET CITY,ALPHABET CITY,296759.0,16.94,1900,16.94,0.14,18062.0,44.13,C1  -WALK-UP,2019,C1  -WALK-UP,509 EAST 12 STREET,ALPHABET CITY
428 WEST 46 STREET,268604,235603,130863,425400,1913000,0.05,279822.0,0.0,CLINTON,CLINTON,149395.0,15.65,1901,14.46,0.0,9390.0,44.14,C4  -WALK-UP,2019,C4  -WALK-UP,448 WEST 46 STREET,CLINTON
160 EAST 27 STREET,1118283,1887732,612511,7260061,15331000,0.17,1571459.0,0.05,GRAMERCY,GRAMERCY,852884.0,14.92,1988,14.92,0.05,56670.0,42.16,D7  -ELEVATOR,2019,D6  -ELEVATOR,105 LEXINGTON AVENUE,GRAMERCY
79 PERRY STREET,407891,363588,154825,935719,2953000,0.13,885360.0,0.1,GREENWICH VILLAGE-WEST,GREENWICH VILLAGE-WEST,241651.0,11.6,1901,14.83,0.14,20832.0,53.9,C4  -WALK-UP,2019,C1  -WALK-UP,63 BANK STREET,GREENWICH VILLAGE-WEST
315 WEST END AVENUE,276061,1215615,103715,579150,9873000,0.0,516850.0,0.0,UPPER WEST SIDE (59-79),UPPER WEST SIDE (59-79),184732.0,13.48,1920,13.48,0.05,14254.0,49.36,D1  -ELEVATOR,2019,D1  -ELEVATOR,317 WEST 74 STREET,UPPER WEST SIDE (59-79)
139 EAST 30 STREET,441411,518999,187874,890001,4215000,0.4,2785196.0,0.28,MURRAY HILL,MURRAY HILL,800574.0,10.05,1982,12.99,0.0,90871.0,43.51,D7  -ELEVATOR,2019,D7  -ELEVATOR,655 2 AVENUE,MURRAY HILL
20 NORTH MOORE STREET,50370994,1622262,23858954,74375577,13175000,0.62,666439.0,0.73,TRIBECA,TRIBECA,328051.0,12.68,1983,12.68,0.25,24610.0,39.45,D6  -ELEVATOR,2019,D9  -ELEVATOR,345 SOUTH END AVENUE,SOUTHBRIDGE
50 CENTRAL PARK WEST,3142212,4038677,1897165,11370315,32800000,1.11,5137618.0,1.01,UPPER EAST SIDE (79-96),UPPER WEST SIDE (59-79),2927338.0,18.82,1969,18.59,0.44,155544.0,49.38,D6  -ELEVATOR,2019,D9  -ELEVATOR,985 5 AVENUE,UPPER EAST SIDE (79-96)
38 WEST 9 STREET,696946,1900548,354844,808171,15433000,0.25,488452.0,0.16,GREENWICH VILLAGE-CENTRAL,GREENWICH VILLAGE-CENTRAL,296202.0,12.8,1900,13.09,0.05,20874.0,38.8,D3  -ELEVATOR,2019,D1  -ELEVATOR,82 WEST WASHINGTON PLACE,GREENWICH VILLAGE-CENTRAL
413 WEST 50 STREET,375000,191022,125040,1204504,1552000,,,0.0,CLINTON,CLINTON,,14.39,1910,10.42,0.05,,41.67,C7  -WALK-UP,2019,,755 9 AVENUE,
334 WEST 17 STREET,359050,286099,176960,477630,2324000,0.0,262167.0,0.04,CHELSEA,CHELSEA,169309.0,19.51,1910,17.94,0.0,8590.0,54.34,C1  -WALK-UP,2019,C4  -WALK-UP,350 WEST 18 STREET,CHELSEA
666 WASHINGTON STREET,90410,442389,135207,437046,3524000,0.36,96958.0,0.29,GREENWICH VILLAGE-WEST,GREENWICH VILLAGE-WEST,147723.0,13.21,1901,14.94,0.39,9725.0,24.93,C4  -WALK-UP,2019,C4  -WALK-UP,81 PERRY STREET,GREENWICH VILLAGE-WEST
30 WEST 13 STREET,1583422,1831078,628386,1744932,14871000,0.0,1137367.0,0.19,GREENWICH VILLAGE-CENTRAL,GREENWICH VILLAGE-CENTRAL,537101.0,15.98,1923,13.62,0.05,37824.0,47.94,D9  -ELEVATOR,2019,D7  -ELEVATOR,24 WEST 9 STREET,GREENWICH VILLAGE-CENTRAL
1 WORTH STREET,71005618,690211,28950112,2889978,5606000,0.66,67343216.0,0.2,TRIBECA,TRIBECA,31310173.0,16.64,1975,14.69,0.0,1881621.0,50.72,D6  -ELEVATOR,2019,D6  -ELEVATOR,310 GREENWICH STREET,TRIBECA
35 EAST 9 STREET,1226198,3116044,864225,1151536,25307000,0.21,323110.0,0.21,GREENWICH VILLAGE-CENTRAL,GREENWICH VILLAGE-CENTRAL,183641.0,17.96,1900,20.7,0.09,10225.0,50.07,D5  -ELEVATOR,2019,D3  -ELEVATOR,115 EAST 12 STREET,GREENWICH VILLAGE-CENTRAL
208 AVENUE OF THE AMERICAS,802581,1326500,295029,1155481,10772000,0.31,1154263.0,0.22,SOHO,SOHO,237526.0,12.61,1900,13.66,0.09,26480.0,50.82,D5  -ELEVATOR,2019,D7  -ELEVATOR,508 BROOME STREET,GREENWICH VILLAGE-WEST
626 EAST 9 STREET,981833,227246,596207,750010,1846000,0.36,589156.0,0.05,ALPHABET CITY,ALPHABET CITY,344111.0,13.59,1900,13.59,0.05,26208.0,35.97,C1  -WALK-UP,2019,C4  -WALK-UP,627 EAST 9 STREET,ALPHABET CITY
306 WEST 56 STREET,1564705,2143050,829995,3307988,17405000,0.05,1228719.0,0.24,MIDTOWN WEST,MIDTOWN WEST,698381.0,17.02,1912,17.16,0.37,38542.0,49.51,D7  -ELEVATOR,2019,D1  -ELEVATOR,245 WEST 51 STREET,MIDTOWN WEST
154 PERRY STREET,333855,742066,177199,978290,6027000,0.29,352669.0,0.27,GREENWICH VILLAGE-WEST,GREENWICH VILLAGE-WEST,164125.0,16.38,1901,19.58,0.38,9320.0,56.47,C4  -WALK-UP,2019,C5  -WALK-UP,81 PERRY STREET,GREENWICH VILLAGE-WEST
105 EAST 19 STREET,1015448,895043,310772,3290928,7269000,0.17,1056564.0,0.17,GRAMERCY,GRAMERCY,401429.0,10.43,1910,10.43,0.22,32610.0,44.51,D1  -ELEVATOR,2019,D1  -ELEVATOR,140 EAST 17 STREET,GRAMERCY
3 HANOVER SQUARE,8630011,6554307,3919680,19286576,53231000,0.1,12167922.0,0.06,FINANCIAL,FINANCIAL,6538483.0,12.16,1921,12.84,0.05,473460.0,41.11,D5  -ELEVATOR,2019,D5  -ELEVATOR,67 WALL STREET,FINANCIAL
67 8 AVENUE,338431,435122,130012,537982,3534000,0.16,452130.0,0.0,GREENWICH VILLAGE-WEST,GREENWICH VILLAGE-WEST,212625.0,20.25,1910,17.51,0.16,10500.0,63.09,C5  -WALK-UP,2019,C7  -WALK-UP,316 WEST 14 STREET,GREENWICH VILLAGE-WEST
342 WEST 48 STREET,359520,283489,113505,401353,2302000,0.05,318519.0,0.05,MIDTOWN WEST,MIDTOWN WEST,156835.0,13.91,1920,10.81,0.0,11275.0,45.05,C4  -WALK-UP,2019,C4  -WALK-UP,310 WEST 49 STREET,MIDTOWN WEST
11 WEST 69 STREET,436571,1670857,111689,3499605,13570000,0.2,328964.0,0.1,UPPER WEST SIDE (59-79),UPPER WEST SIDE (59-79),84525.0,10.55,1926,9.87,0.2,8303.0,48.45,D1  -ELEVATOR,2019,D1  -ELEVATOR,27 WEST 71 STREET,UPPER WEST SIDE (59-79)
458 WEST 57 STREET,201379,171498,173470,262571,1393000,0.05,305518.0,0.05,CLINTON,CLINTON,157399.0,19.15,1920,16.72,0.0,12714.0,36.13,C4  -WALK-UP,2019,C4  -WALK-UP,416 WEST 56 STREET,CLINTON
646 9 AVENUE,813773,186163,850329,399579,1512000,0.25,185833.0,0.0,MIDTOWN WEST,MIDTOWN WEST,244360.0,21.4,1920,21.4,0.05,10250.0,41.88,C7  -WALK-UP,2019,C7  -WALK-UP,357 WEST 45 STREET,MIDTOWN WEST
32 DOWNING STREET,577336,405800,257007,1061833,3296000,0.5,734769.0,0.29,GREENWICH VILLAGE-WEST,GREENWICH VILLAGE-WEST,198956.0,7.16,1926,14.53,0.15,19260.0,47.17,D1  -ELEVATOR,2019,D1  -ELEVATOR,125 WEST WASHINGTON PLACE,GREENWICH VILLAGE-WEST
102 WEST 80 STREET,165870,992213,85705,376742,8058000,0.14,365209.0,0.23,UPPER WEST SIDE (79-96),UPPER WEST SIDE (79-96),216986.0,12.53,1900,12.53,0.16,15735.0,36.78,D3  -ELEVATOR,2019,D1  -ELEVATOR,11 WEST 82 STREET,UPPER WEST SIDE (79-96)
132 EAST 19 STREET,3570706,619082,1592610,3506617,5028000,0.09,1042562.0,0.52,KIPS BAY,GRAMERCY,370066.0,12.79,1900,14.46,0.15,29796.0,46.88,D8  -ELEVATOR,2019,D1  -ELEVATOR,339 EAST 28 STREET,GRAMERCY
263 WEST END AVENUE,1195488,6021038,303744,9940212,48900000,0.13,1730080.0,0.13,UPPER WEST SIDE (59-79),UPPER WEST SIDE (59-79),503788.0,10.55,1920,9.04,0.11,49150.0,44.62,D7  -ELEVATOR,2019,D7  -ELEVATOR,251 WEST 71 STREET,UPPER WEST SIDE (59-79)
340 WEST 19 STREET,519460,502084,215437,965850,4077000,,,0.18,CHELSEA,CHELSEA,,20.24,1904,13.23,0.22,,45.13,C1  -WALK-UP,2019,,330 WEST 15 STREET,
28 WEST 38 STREET,1837036,1584473,1081935,7090379,12868000,0.56,7923557.0,0.31,FASHION,FASHION,4788779.0,17.14,1904,17.28,0.2,279392.0,46.62,D6  -ELEVATOR,2019,D7  -ELEVATOR,1265 BROADWAY,FASHION
273 LEXINGTON AVENUE,592968,3707873,309058,4455438,30113000,0.23,9594072.0,0.19,MURRAY HILL,MURRAY HILL,5646054.0,14.87,1910,14.87,0.2,351560.0,43.4,D1  -ELEVATOR,2019,D6  -ELEVATOR,232 EAST 40 STREET,MURRAY HILL
251 EAST 32 STREET,2975998,5346250,1473874,16031136,43420000,0.29,3369062.0,0.22,MURRAY HILL,MURRAY HILL,1962214.0,15.13,1984,15.13,0.0,115221.0,45.68,D7  -ELEVATOR,2019,D6  -ELEVATOR,184 LEXINGTON AVENUE,MURRAY HILL
78 CHARLES STREET,227889,326898,99539,445803,2655000,0.15,307747.0,0.16,GREENWICH VILLAGE-WEST,GREENWICH VILLAGE-WEST,141850.0,15.22,1900,14.51,0.09,9320.0,47.73,C5  -WALK-UP,2019,C5  -WALK-UP,244 WAVERLY PLACE,GREENWICH VILLAGE-WEST
310 WEST 79 STREET,378693,1846450,179940,564057,14996000,0.3,3678301.0,0.1,UPPER WEST SIDE (59-79),UPPER WEST SIDE (59-79),1805315.0,16.52,1910,15.59,0.15,114696.0,48.4,D3  -ELEVATOR,2019,D3  -ELEVATOR,42 RIVERSIDE DRIVE,UPPER WEST SIDE (59-79)
15 WEST 67 STREET,3171347,1946970,1341159,8051166,15812000,,,1.14,UPPER WEST SIDE (79-96),UPPER EAST SIDE (59-79),,13.05,1915,12.78,1.03,,43.0,D6  -ELEVATOR,2019,,575 WEST END AVENUE,
112 EAST 19 STREET,5907857,2238292,1730511,2754453,18178000,0.25,2230531.0,0.19,GRAMERCY,GRAMERCY,729343.0,11.91,1900,11.91,0.05,56670.0,52.57,D6  -ELEVATOR,2019,D6  -ELEVATOR,295 PARK AVENUE SOUTH,GRAMERCY
135 EAST 39 STREET,1335456,900197,541255,2879304,7310000,0.46,358267.0,0.14,MURRAY HILL,MURRAY HILL,166102.0,12.87,1924,13.01,0.35,11044.0,45.11,D6  -ELEVATOR,2019,D5  -ELEVATOR,156 EAST 37 STREET,MURRAY HILL
60 GRAMERCY PARK NORTH,4725123,6014932,2355297,2558145,48850000,0.11,1769237.0,0.05,GRAMERCY,GRAMERCY,973024.0,16.21,1900,16.21,0.09,56670.0,48.73,D6  -ELEVATOR,2019,D6  -ELEVATOR,295 PARK AVENUE SOUTH,GRAMERCY
408 WEST 34 STREET,2991794,1455915,1352522,9875616,11824000,0.64,900342.0,0.06,JAVITS CENTER,JAVITS CENTER,432000.0,14.74,1929,13.82,0.15,29308.0,44.39,D6  -ELEVATOR,2019,D8  -ELEVATOR,455 WEST 34 STREET,CLINTON
21 EAST 22 STREET,3127751,5936706,1177331,5847056,48215000,0.05,344616.0,0.05,FLATIRON,FLATIRON,134709.0,14.97,1911,14.97,0.05,8300.0,54.74,D7  -ELEVATOR,2019,D6  -ELEVATOR,12 EAST 22 STREET,FLATIRON
838 GREENWICH STREET,1196459,650826,529008,933725,5286000,0.19,1011169.0,0.19,GREENWICH VILLAGE-WEST,GREENWICH VILLAGE-WEST,505317.0,15.17,1920,15.17,0.26,26694.0,49.48,D9  -ELEVATOR,2019,D1  -ELEVATOR,300 WEST 12 STREET,GREENWICH VILLAGE-WEST
320 EAST 35 STREET,326230,1039500,137647,399524,8442000,0.46,753199.0,0.46,GRAMERCY,KIPS BAY,327927.0,14.62,1968,14.62,0.06,22430.0,49.27,D3  -ELEVATOR,2019,D3  -ELEVATOR,217 EAST 25 STREET,GRAMERCY
16 EAST 11 STREET,576077,518828,340863,1000910,4214000,0.29,284971.0,0.15,GREENWICH VILLAGE-CENTRAL,GREENWICH VILLAGE-CENTRAL,155829.0,15.24,1910,16.39,0.11,10225.0,44.09,D1  -ELEVATOR,2019,D3  -ELEVATOR,60 WEST 10 STREET,GREENWICH VILLAGE-CENTRAL
7 PARK AVENUE,10961641,6236000,6219096,14877807,50646000,0.15,3464937.0,0.23,MURRAY HILL,MURRAY HILL,1979330.0,17.69,1972,17.69,0.06,110949.0,48.87,D6  -ELEVATOR,2019,D6  -ELEVATOR,471 3 AVENUE,MURRAY HILL
486 AVENUE OF THE AMERICAS,2328165,4787411,882413,1920370,38881000,0.19,5186891.0,0.05,GREENWICH VILLAGE-CENTRAL,GREENWICH VILLAGE-CENTRAL,1687031.0,14.28,1924,13.8,0.05,132420.0,50.21,D6  -ELEVATOR,2019,D6  -ELEVATOR,55 WEST 11 STREET,GREENWICH VILLAGE-CENTRAL
184 EAST 7 STREET,175849,201987,125689,625050,1568000,0.73,140880.0,0.51,LOWER EAST SIDE,ALPHABET CITY,117840.0,9.82,1930,8.67,0.29,12000.0,20.8,C7  -WALK-UP,2019,C7  -WALK-UP,129 RIVINGTON STREET,LOWER EAST SIDE
133 WEST 17 STREET,945743,1301638,411164,1769176,10571000,0.04,1025302.0,0.09,CHELSEA,CHELSEA,451992.0,13.04,1939,12.56,0.18,34662.0,41.45,D1  -ELEVATOR,2019,D1  -ELEVATOR,114 WEST 16 STREET,CHELSEA
251 WEST 74 STREET,310284,570976,130923,567737,4636000,0.63,1017200.0,0.12,UPPER WEST SIDE (59-79),UPPER WEST SIDE (59-79),416385.0,12.52,1925,11.19,0.1,37716.0,37.71,D1  -ELEVATOR,2019,D1  -ELEVATOR,306 WEST 76 STREET,UPPER WEST SIDE (59-79)
169 ALLEN STREET,1973478,290967,1576300,3177865,2327000,0.73,1180529.0,0.32,LOWER EAST SIDE,LOWER EAST SIDE,1000136.0,11.92,1982,11.43,0.5,83904.0,25.74,D1  -ELEVATOR,2019,D9  -ELEVATOR,50 NORFOLK STREET,LOWER EAST SIDE
4 LEXINGTON AVENUE,1773204,3764187,659072,6285635,30571000,0.24,1748450.0,0.11,GRAMERCY,GRAMERCY,728280.0,11.63,1925,11.63,0.05,57800.0,42.92,D6  -ELEVATOR,2019,D3  -ELEVATOR,131 EAST 23 STREET,GRAMERCY
22 WEST 14 STREET,2042979,4840425,1073603,1864789,39312000,0.24,1027263.0,0.1,GREENWICH VILLAGE-CENTRAL,GREENWICH VILLAGE-CENTRAL,404857.0,16.79,1924,16.79,0.0,30858.0,48.74,D6  -ELEVATOR,2019,D7  -ELEVATOR,55 WEST 11 STREET,GREENWICH VILLAGE-CENTRAL
90 WEST BROADWAY,799774,1262555,448556,9520494,10254000,0.59,3253605.0,0.17,CIVIC CENTER,TRIBECA,1584223.0,12.66,1930,14.47,0.44,125235.0,40.27,D6  -ELEVATOR,2019,D5  -ELEVATOR,33 WARREN STREET,SOHO
322 EAST 11 STREET,257786,315185,164414,440190,2560000,0.17,450965.0,0.0,EAST VILLAGE,EAST VILLAGE,240000.0,15.54,1900,17.45,0.0,15444.0,44.81,C7  -WALK-UP,2019,C7  -WALK-UP,334 EAST 11 STREET,EAST VILLAGE
305 WEST 55 STREET,190475,274451,155886,491253,2229000,0.44,298449.0,0.05,MIDTOWN WEST,MIDTOWN WEST,70018.0,13.4,1920,13.52,0.34,11275.0,30.04,C4  -WALK-UP,2019,C4  -WALK-UP,313 WEST 54 STREET,MIDTOWN WEST
20 WEST 72 STREET,1462587,4153614,477203,3401465,33734000,0.43,4267711.0,0.16,UPPER WEST SIDE (59-79),UPPER WEST SIDE (59-79),1083362.0,8.24,1900,14.48,0.35,131476.0,58.86,D1  -ELEVATOR,2019,D6  -ELEVATOR,301 COLUMBUS AVENUE,UPPER WEST SIDE (59-79)
105 WEST 73 STREET,1104375,1390238,410913,2989186,11291000,0.3,427482.0,0.11,UPPER WEST SIDE (59-79),UPPER WEST SIDE (59-79),131274.0,11.76,1913,11.3,0.17,14025.0,41.67,D3  -ELEVATOR,2019,D1  -ELEVATOR,115 WEST 71 STREET,UPPER WEST SIDE (59-79)
29 EAST 37 STREET,236115,206827,109411,309184,1680000,,,0.49,KIPS BAY,MURRAY HILL,,15.01,1910,13.92,0.1,,43.96,D3  -ELEVATOR,2019,,333 EAST 33 STREET,
28 WEST 74 STREET,321158,589413,121054,3042385,4787000,0.1,302246.0,0.1,UPPER WEST SIDE (59-79),UPPER WEST SIDE (59-79),118211.0,11.73,1910,11.73,0.0,9810.0,42.85,D1  -ELEVATOR,2019,D1  -ELEVATOR,12 WEST 76 STREET,UPPER WEST SIDE (59-79)
100 HUDSON STREET,67024731,2498166,23530588,2637502,20289000,0.69,63561158.0,0.22,TRIBECA,TRIBECA,26116899.0,13.88,1975,11.94,0.03,1881621.0,45.95,D6  -ELEVATOR,2019,D6  -ELEVATOR,310 GREENWICH STREET,TRIBECA
249 WEST 29 STREET,7736364,1705566,4646289,1325214,13852000,0.17,2314596.0,0.26,FASHION,FASHION,1403697.0,15.51,1930,16.63,0.0,85853.0,44.32,D7  -ELEVATOR,2019,D8  -ELEVATOR,354 WEST 34 STREET,FASHION
733 EAST 9 STREET,1173111,250794,573394,829110,2037000,0.47,703161.0,0.14,ALPHABET CITY,ALPHABET CITY,330483.0,13.07,1900,13.07,0.14,26208.0,39.81,C1  -WALK-UP,2019,C4  -WALK-UP,627 EAST 9 STREET,ALPHABET CITY
7 EAST 35 STREET,1234324,2129796,747907,3160394,17297000,0.42,1210113.0,0.16,MURRAY HILL,MURRAY HILL,630977.0,17.85,1930,18.82,0.32,35508.0,49.88,D3  -ELEVATOR,2019,D1  -ELEVATOR,9 EAST 32 STREET,MURRAY HILL
699 2 AVENUE,3443050,946230,1611071,4073747,7685000,0.1,420955.0,0.05,MURRAY HILL,MURRAY HILL,209210.0,14.44,1955,14.44,0.13,13334.0,45.3,D6  -ELEVATOR,2019,D6  -ELEVATOR,713 2 AVENUE,MURRAY HILL
27 BLEECKER STREET,493200,1072704,135900,1425369,8713000,,,0.08,GREENWICH VILLAGE-CENTRAL,GREENWICH VILLAGE-CENTRAL,,19.29,1920,12.08,0.51,,55.92,D9  -ELEVATOR,2019,,643 BROADWAY,
157 WEST 79 STREET,1274133,1210175,684070,1335821,9828000,0.23,1988698.0,0.0,UPPER WEST SIDE (79-96),UPPER WEST SIDE (79-96),1062243.0,12.34,1912,12.88,0.05,85942.0,36.87,D3  -ELEVATOR,2019,D3  -ELEVATOR,150 WEST 80 STREET,UPPER WEST SIDE (79-96)
73 AVENUE C,157344,239984,121219,705780,1913000,0.63,153120.0,0.68,LOWER EAST SIDE,ALPHABET CITY,141480.0,11.04,1900,11.04,0.38,12000.0,25.37,C7  -WALK-UP,2019,C7  -WALK-UP,209 HENRY STREET,LOWER EAST SIDE
131 AVENUE B,216829,513999,134352,428230,4174000,0.32,419959.0,0.17,ALPHABET CITY,ALPHABET CITY,250322.0,14.4,1900,14.4,0.17,17970.0,37.64,C4  -WALK-UP,2019,C4  -WALK-UP,323 EAST 10 STREET,ALPHABET CITY
303 MERCER STREET,892785,3300473,371079,2614177,26805000,0.28,811083.0,0.2,GREENWICH VILLAGE-CENTRAL,GREENWICH VILLAGE-CENTRAL,340031.0,15.89,1970,15.89,0.28,20797.0,54.12,D3  -ELEVATOR,2019,D1  -ELEVATOR,63 EAST 11 STREET,GREENWICH VILLAGE-CENTRAL
368 EAST 8 STREET,326328,454088,215715,1072980,3688000,,,0.61,LOWER EAST SIDE,ALPHABET CITY,,15.44,1930,14.88,0.28,,37.39,C7  -WALK-UP,2019,,129 RIVINGTON STREET,
129 RIDGE STREET,4664534,532058,3155654,6790500,4321000,0.09,1125422.0,0.24,LOWER EAST SIDE,LOWER EAST SIDE,647260.0,10.69,1976,11.9,0.24,57128.0,29.49,D6  -ELEVATOR,2019,D1  -ELEVATOR,460 GRAND STREET,LOWER EAST SIDE
302 LEXINGTON AVENUE,3387497,3460033,2423098,5543012,28098000,0.22,4817302.0,0.05,MURRAY HILL,MURRAY HILL,3531227.0,20.36,1950,21.03,0.0,168555.0,50.43,D6  -ELEVATOR,2019,D8  -ELEVATOR,41 PARK AVENUE,MURRAY HILL
61 IRVING PLACE,2685367,1501995,1010256,1072084,12198000,0.11,1094109.0,0.26,GRAMERCY,GRAMERCY,394797.0,13.25,1929,13.63,0.05,29796.0,49.86,D3  -ELEVATOR,2019,D1  -ELEVATOR,237 EAST 20 STREET,GRAMERCY
431 WEST 54 STREET,286815,297501,173814,489155,2416000,0.1,253399.0,0.1,CLINTON,CLINTON,149151.0,19.17,1910,18.55,0.0,8300.0,49.16,C4  -WALK-UP,2019,C4  -WALK-UP,441 WEST 56 STREET,CLINTON
219 EAST 7 STREET,364190,319309,333910,1467485,2593000,0.32,460213.0,0.09,ALPHABET CITY,ALPHABET CITY,407010.0,15.99,1900,16.21,0.09,26208.0,33.89,C4  -WALK-UP,2019,C4  -WALK-UP,374 EAST 10 STREET,ALPHABET CITY
208 THOMPSON STREET,436970,2081031,206456,636217,16901000,0.04,555625.0,0.04,GREENWICH VILLAGE-CENTRAL,GREENWICH VILLAGE-CENTRAL,219000.0,18.6,1900,21.11,0.04,12500.0,65.79,C7  -WALK-UP,2019,C7  -WALK-UP,227 SULLIVAN STREET,GREENWICH VILLAGE-CENTRAL
121 WEST 80 STREET,685674,395142,264281,482608,3209000,,,0.2,UPPER WEST SIDE (79-96),UPPER WEST SIDE (79-96),,11.17,1900,12.33,0.05,,44.32,C5  -WALK-UP,2019,,23 WEST 82 STREET,
