bronx_cooperatives_comparable_properties_address,comparable_rental_1_year_built,census_tract,comparable_rental_1_dist_from_coop_in_miles,community_board,comparable_rental_2_boro_block_lot,bronx_cooperatives_comparable_properties_est_gross_income,comparable_rental_2_full_market_value,bbl,comparable_rental_1_full_market_value,comparable_rental_2_dist_from_coop_in_miles,bronx_cooperatives_comparable_properties_gross_sqft,comparable_rental_1_market_value_per_sqft
"{'latitude': '40.850245148692', 'longitude': '-73.903860214205', 'human_address': '{""address"": ""250 178 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1937,,0.1,,2-02807-0070,674100,1340000.0,,2480000,0.2,70000,31.8
"{'latitude': '40.846072427991', 'longitude': '-73.919670483572', 'human_address': '{""address"": ""1600 NELSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1922,21502.0,0.05,5.0,2-02876-0067,241449,875000.0,2028760001.0,875000,0.05,26650,29.8
"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""1986 GRAND AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1922,243.0,0.65,5.0,2-02876-0065,163080,875000.0,2028700007.0,875000,0.65,18000,29.8
"{'latitude': '40.864337623241', 'longitude': '-73.901029548299', 'human_address': '{""address"": ""2506 DAVIDSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1930,265.0,0.45,7.0,2-03211-0042,296000,893000.0,2032010003.0,1040000,0.6,37000,24.13
"{'latitude': '40.905572914149', 'longitude': '-73.900179454102', 'human_address': '{""address"": ""5715 MOSHOLU AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1961,345.0,0.15,8.0,2-05907-0348,604500,2310000.0,2058590297.0,2980000,1.3,46500,47.6
"{'latitude': '40.865770602573', 'longitude': '-73.889241850695', 'human_address': '{""address"": ""2716 MARION AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1965,40502.0,0.55,7.0,2-03320-0044,820000,2150000.0,2032830013.0,3680000,0.4,82000,38.9
"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""3725 HENRY HUDSON PARKWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1967,30701.0,0.15,8.0,2-05920-0687,1338876,8100000.0,2059040100.0,4170000,0.25,116424,39.0
"{'latitude': '40.875084727253', 'longitude': '-73.881541766986', 'human_address': '{""address"": ""190 MOSHOLU PARKWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1939,,0.25,,2-03297-0001,620413,2260000.0,,2150000,0.3,63763,30.2
"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""1910 PELHAM PARKWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1963,300.0,0.15,10.0,,338673,,2042520017.0,1600000,,44329,27.7
"{'latitude': '40.859037775738', 'longitude': '-73.898140069093', 'human_address': '{""address"": ""254 184 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1923,,0.0,,2-03091-0003,196977,609000.0,,580000,0.75,20955,32.9
"{'latitude': '40.883055378383', 'longitude': '-73.910646098354', 'human_address': '{""address"": ""3135 JOHNSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1954,297.0,0.1,8.0,2-05732-0924,1488070,3750000.0,2057390257.0,4070000,0.25,141721,40.5
"{'latitude': '40.882448630777', 'longitude': '-73.890256831022', 'human_address': '{""address"": ""3960 SEDGWICK AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",2004,,4.05,,2-03262-0077,1913940,3920000.0,,4270000,0.45,186000,33.8
"{'latitude': '40.877088902777', 'longitude': '-73.88957359898', 'human_address': '{""address"": ""3400 PAUL AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1965,409.0,3.95,7.0,,3217437,,2032510420.0,13600000,,381213,27.8
"{'latitude': '40.849215546387', 'longitude': '-73.89173891376', 'human_address': '{""address"": ""2089 ARTHUR AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1924,37504.0,0.4,6.0,2-03119-0037,603936,6830000.0,2030690024.0,1580000,0.5,55920,38.0
"{'latitude': '40.856291140695', 'longitude': '-73.897487267605', 'human_address': '{""address"": ""2279 TIEBOUT AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1925,38301.0,0.0,5.0,2-03145-0028,123393,287000.0,2031450026.0,360000,0.0,10032,38.2
"{'latitude': '40.902813610491', 'longitude': '-73.901326684701', 'human_address': '{""address"": ""5500 FIELDSTON ROAD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1959,345.0,0.9,8.0,2-05787-0137,2921586,4070000.0,2058451825.0,9500000,1.35,263206,40.1
"{'latitude': '40.886174879493', 'longitude': '-73.908768870371', 'human_address': '{""address"": ""3512 OXFORD AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1954,295.0,0.0,8.0,2-05907-0348,569750,2310000.0,2057920422.0,4990000,0.3,43000,48.3
"{'latitude': '40.883081338019', 'longitude': '-73.896092507135', 'human_address': '{""address"": ""3840 CANNON PLACE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1928,279.0,4.05,8.0,2-03100-0065,1565516,5760000.0,2032630235.0,4900000,2.3,170350,24.95
"{'latitude': '40.874743714617', 'longitude': '-73.904613998992', 'human_address': '{""address"": ""2860 BAILEY AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1955,273.0,0.75,8.0,2-05746-0567,852249,3580000.0,2032600005.0,3750000,0.85,77760,34.4
"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""6601 BROADWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1954,343.0,1.8,8.0,2-05814-1195,1019040,2680000.0,2058731042.0,4070000,1.0,92640,40.5
"{'latitude': '40.863816236651', 'longitude': '-73.868382894818', 'human_address': '{""address"": ""2550 OLINVILLE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1954,33202.0,0.4,11.0,2-04342-0010,2534598,9830000.0,2044290001.0,2780000,0.3,232532,20.24
"{'latitude': '40.881759500512', 'longitude': '-73.919771950111', 'human_address': '{""address"": ""750 KAPPOCK STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1951,29301.0,0.15,8.0,2-05787-0137,2361600,4070000.0,2057440048.0,3580000,0.55,209920,38.6
"{'latitude': '40.891973288026', 'longitude': '-73.852809222742', 'human_address': '{""address"": ""855 233 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1959,,3.45,,2-05796-0129,1217393,4170000.0,,3440000,2.9,120534,28.0
"{'latitude': '40.886508399451', 'longitude': '-73.907495187006', 'human_address': '{""address"": ""525 236 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1940,,0.2,,2-05773-0290,927828,2820000.0,,3430000,0.4,68728,47.6
"{'latitude': '40.849028021593', 'longitude': '-73.889483192444', 'human_address': '{""address"": ""2114 BELMONT AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1909,373.0,0.1,6.0,2-03081-0045,115900,476000.0,2030810042.0,354000,0.0,12200,30.4
"{'latitude': '40.848809991318', 'longitude': '-73.883928410382', 'human_address': '{""address"": ""803 182 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1912,,0.55,,2-03111-0009,325006,1100000.0,,609000,0.2,35715,30.1
"{'latitude': '40.878091802268', 'longitude': '-73.90239117405', 'human_address': '{""address"": ""3123 BAILEY AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1936,277.0,3.25,8.0,2-03324-0077,442124,1500000.0,2032670056.0,1340000,1.0,43645,29.5
