property_name,movie_theater_gross_floor,transportation_terminal,estimated_savings_from_energy_1,estimated_data_flag,restaurant_worker_density,data_center_pue,alert_data_center_does_not,alert_property_has_no_uses,estimated_data_flag_natural,other_gross_floor_area_ft,energy_star_score,multifamily_housing_number_7,wholesale_club_supercenter,self_storage_facility_gross,multifamily_housing_percent,source_energy_use_kbtu,medical_office_percent_that_1,alert_meter_has_less_than,district_steam_cost,alert_individual_monthly,multifamily_housing_government,site_energy_use_kbtu,automobile_dealership_gross,food_sales_gross_floor_area,alert_no_meters_are_associated,electricity_grid_purchase,council_district,water_wastewater_estimated,investment_in_energy_projects,office_percent_that_can_be_1,national_median_site_energy,liquid_propane_use_kbtu,weather_normalized_site_3,natural_gas_use_kbtu,nta,urgent_care_clinic_other,multifamily_housing_resident,parent_property_name,multifamily_housing_number_4,parking_open_parking_lot,bank_branch_gross_floor_area,national_median_reference,weather_normalized_source,financial_office_number_of_1,hospital_general_medical_7,convenience_store_with_gas,hospital_general_medical_5,medical_office_percent_that,leed_us_project_id,repair_services_vehicle_shoe,investment_in_energy_projects_1,energy_star_certification,year_ending,retail_store_number_of_walk,data_center_gross_floor_area,temporary_values,data_center_cooling_equipment,distribution_center_gross,parent_property_id,hotel_percent_that_can_be,race_track_gross_floor_area,hotel_room_density_number,hospital_general_medical_13,library_gross_floor_area
522 Fifth Avenue,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Yes,5522,87,Not Available,Not Available,Not Available,Not Available,98780759.9,Not Available,Ok,Not Available,Ok,Not Available,37239838.5,Not Available,Not Available,Ok,722832.4,4.0,Not Available,0,Not Available,61608274.8,Not Available,8190359.2,498718.2,Midtown-Midtown South,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,179,1491,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,"2014, 2013, 2012, 2011, 2010",2014-12-31T00:00:00.000,Not Available,5436,No,N+1,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Trinity- 350 Hudson Street,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,85,Not Available,Not Available,Not Available,Not Available,54388014.2,Not Available,Ok,Not Available,Ok,Not Available,19001533.2,Not Available,10424,Ok,Not Available,3.0,Not Available,0,100,30946718.2,Not Available,4842806.1,26928.5,SoHo-TriBeCa-Civic Center-Little Italy,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,162.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,"2014, 2012",2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
11 Madison Avenue,Not Available,Not Available,0,No,3.21925,Not Available,Ok,Ok,No,Not Available,90,Not Available,Not Available,Not Available,Not Available,532286264.4,Not Available,Ok,1367046.98,Ok,Not Available,203026345.6,Not Available,Not Available,Ok,8371668.61,2.0,Not Available,0,100,337592868.7,Not Available,43679782.8,4170706.4,Hudson Yards-Chelsea-Flatiron-Union Square,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,201.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,"2014, 2013, 2012",2014-12-31T00:00:00.000,Not Available,118570,No,N+1,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
245 MILL RD HELM,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,92,1.03106,Not Available,Not Available,Not Available,11870513.1,Not Available,Possible Issue,Not Available,Ok,Not Available,7287908,Not Available,Not Available,Ok,0,50.0,Not Available,0,Not Available,10545166.4,Not Available,590098.9,5269625.8,Oakwood-Oakwood Beach,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,95.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
"7 World Trade Center, LLC",Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,69,Not Available,Not Available,Not Available,Not Available,409813763.1,Not Available,Possible Issue,Not Available,Ok,Not Available,163101084.8,Not Available,Not Available,Ok,Not Available,1.0,Not Available,0,100,203558699.1,Not Available,32394476.1,972190,SoHo-TriBeCa-Civic Center-Little Italy,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,2008,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
The Magellan,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Yes,Not Available,53,0,Not Available,Not Available,100,20033157.5,Not Available,Ok,Not Available,Ok,No,9751262.9,Not Available,Not Available,Ok,Not Available,4.0,Not Available,0,Not Available,9954205.2,Not Available,1352587.6,5064980,Midtown-Midtown South,Not Available,Not Available,Not Applicable: Standalone Property,167,0,Not Available,Fannie Mae Industry Survey - Multifamily,129.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
IKEA NEW YORK LLC #921,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,85,Not Available,Not Available,Not Available,Not Available,66356224.5,Not Available,Ok,Not Available,Ok,Not Available,27405750.5,Not Available,Not Available,Ok,Not Available,38.0,Not Available,0,Not Available,48503171,Not Available,5269914.5,9424800,Carroll Gardens-Columbia Street-Red Hook,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Retail Store,189.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,5,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
"120 Broadway Holdings, LLC",Not Available,Not Available,0,No,12.9108,Not Available,Ok,Ok,No,Not Available,88,Not Available,Not Available,Not Available,Not Available,327507300.5,Not Available,Ok,1168585.23,Ok,Not Available,126552387.9,Not Available,Not Available,Ok,4830414.47,1.0,Not Available,0,100,217317376.3,Not Available,26485520.7,2087159.9,Battery Park City-Lower Manhattan,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,32063,CBECS - Office & Bank/Financial,167.8,Not Available,Not Available,Not Available,Not Available,Not Available,1000005367,Not Available,0,"2014, 2013, 2010, 2008",2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
143-06 BARCLAY AVE ENTM,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,56,1.20849,Not Available,Not Available,Not Available,11911770.8,Not Available,Possible Issue,Not Available,Ok,Not Available,8733345.9,Not Available,Not Available,Ok,44001.57,20.0,Not Available,0,Not Available,9083052.7,Not Available,379609.5,7421500.1,Flushing,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,144.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
399 Park Avenue,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,7271,72,Not Available,Not Available,Not Available,Not Available,415660643.7,Not Available,Ok,Not Available,Possible Issue,Not Available,159942446.4,Not Available,1600,Ok,Not Available,4.0,Not Available,0,100,206530508.2,Not Available,Not Available,1326725.8,Turtle Bay-East Midtown,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,Not Available,36,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,25,7842,No,None of the Above,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
"ROSENBERG: 1820 Harrison Realty, L.L.C.",Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,305,98,0.94369,Not Available,Not Available,0,8600124.6,Not Available,Ok,Not Available,Ok,No,5975693.8,Not Available,Not Available,Ok,Not Available,13.0,Not Available,0,Not Available,10483523.2,Not Available,351733.8,532600,Pelham Parkway,Not Available,No specific resident population,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,103.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
3280 NOSTRAND AVE ENTM,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,Not Available,0.96652,Not Available,Not Available,Not Available,Not Available,Not Available,Possible Issue,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,46.0,Not Available,0,Not Available,5551541,Not Available,Not Available,8113269.9,Madison,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
55 Water,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,57,Not Available,Not Available,Not Available,Not Available,1041179585,Not Available,Ok,Not Available,Ok,Not Available,412755254.8,Not Available,Not Available,Ok,Not Available,1.0,Not Available,0,100,442274073.2,Not Available,82471200.6,Not Available,Battery Park City-Lower Manhattan,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,15365,CBECS - Office & Bank/Financial,285.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,66100,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
30 East 37th Street,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,88,0,Not Available,Not Available,90,8949330.5,Not Available,Ok,Not Available,Ok,No,4963988.9,Not Available,Not Available,Ok,Not Available,4.0,Not Available,0,Not Available,6761104.7,Not Available,538350.5,122575.8,Murray Hill-Kips Bay,Not Available,No specific resident population,Not Applicable: Standalone Property,104,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,94.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
40 Fulton Street,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Not Available,Not Available,63,Not Available,Not Available,Not Available,Not Available,49823503.1,Not Available,Ok,Not Available,Ok,Not Available,19433509.6,Not Available,Not Available,Ok,Not Available,1.0,Not Available,0,100,22541721.2,Not Available,4154854.5,Not Available,Battery Park City-Lower Manhattan,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,7632,CBECS - Office & Bank/Financial,197.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
165 Duane St.,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,47,0,Not Available,Not Available,100,10061175.9,Not Available,Ok,Not Available,Ok,No,5022880,Not Available,Not Available,Ok,0,1.0,Not Available,0,100,4925678.1,Not Available,656976.7,2732376.7,SoHo-TriBeCa-Civic Center-Little Italy,Not Available,No specific resident population,Not Applicable: Standalone Property,36,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,125.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Pratt Store,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,74,Not Available,Not Available,Not Available,Not Available,1449562.9,Not Available,Ok,Not Available,Possible Issue,Not Available,892091.1,Not Available,Not Available,Ok,Not Available,35.0,Not Available,0,Not Available,1255389.5,Not Available,Not Available,646700.1,Clinton Hill,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Retail Store,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,0,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
390 Park Avenue,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Not Available,Not Available,20,Not Available,Not Available,Not Available,Not Available,99062655,Not Available,Ok,596551.15,Ok,Not Available,41431114,Not Available,Not Available,Ok,0,4.0,Not Available,0,100,29399665.5,Not Available,7473010,Not Available,Midtown-Midtown South,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,349.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Winter- The Crown Building,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Not Available,Not Available,67,Not Available,Not Available,Not Available,Not Available,81781904.2,Not Available,Possible Issue,Not Available,Ok,Not Available,27960040.4,Not Available,Not Available,Ok,435658.45,4.0,Not Available,0,100,34067985.7,Not Available,7220445.5,Not Available,Midtown-Midtown South,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,208.3,300,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
45 Rockefeller Plaza (630 5th Ave) (Bld 6),Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Not Available,Not Available,34,Not Available,Not Available,Not Available,Not Available,357296397.9,Not Available,Ok,Not Available,Ok,Not Available,173023655.1,Not Available,Not Available,Ok,Not Available,4.0,Not Available,0,100,146217828.5,Not Available,23588599.7,Not Available,Midtown-Midtown South,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,290.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,2,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
61-60 223 PLACE,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Possible Issue,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,23.0,Not Available,0,Not Available,888313.3,Not Available,Not Available,1458454,Oakland Gardens,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Osse Incorporated,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,21,0,Not Available,Not Available,100,10888506.7,Not Available,Ok,Not Available,Ok,Not Available,7312644,Not Available,Not Available,Ok,Not Available,2.0,Not Available,0,Not Available,6017179.3,Not Available,448565.7,5776648.5,Murray Hill-Kips Bay,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,138.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Silk Halpern - 425 Madison Ave,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,4000,19,Not Available,Not Available,Not Available,Not Available,26242979,100,Ok,143711.71,Ok,Not Available,10543777.9,Not Available,Not Available,Ok,321143.64,4.0,Not Available,0,100,7495804.6,Not Available,2037448.7,1200,Midtown-Midtown South,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,299,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
3000 Ocean Parkway,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,22,0,Not Available,Not Available,Not Available,71958360.5,Not Available,Possible Issue,Not Available,Ok,Not Available,54061010.5,Not Available,Not Available,Ok,310191.73,48.0,Not Available,0,Not Available,44963113.8,Not Available,2124279.2,46791010.7,West Brighton,Not Available,Not Available,Not Applicable: Standalone Property,441,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,150.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
610 Fifth Avenue (Bld 2),Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Not Available,Not Available,23,Not Available,Not Available,Not Available,Not Available,34872662.2,Not Available,Ok,Not Available,Ok,Not Available,17822262.8,Not Available,Not Available,Ok,Not Available,4.0,Not Available,0,100,13076539.3,Not Available,2106511.9,Not Available,Midtown-Midtown South,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,307,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,0,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Dekalb Avenue Realty Associates LLC,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,42,0,Not Available,Not Available,100,5870115.1,Not Available,Ok,Not Available,Ok,Not Available,4536809.2,Not Available,Not Available,Ok,Not Available,11.0,Not Available,0,Not Available,4332580.5,Not Available,155816.9,4007399.9,Norwood,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,121.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,Yes,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
320 Park Avenue,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Not Available,Not Available,79,Not Available,Not Available,Not Available,Not Available,179160052.2,Not Available,Ok,576431.17,Ok,Not Available,67146288.7,Not Available,Not Available,Ok,3149864.14,4.0,Not Available,0,Not Available,94624525,Not Available,14829456.2,Not Available,Midtown-Midtown South,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,245.5,2392,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,"2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003",2014-12-31T00:00:00.000,Not Available,6320,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
65 W 90 St.,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,11380,59,0,Not Available,Not Available,100,28020967.9,Not Available,Ok,0,Ok,100% Yes,17973649.8,Not Available,Not Available,Ok,0,6.0,Not Available,0,Not Available,19082388,Not Available,982587.3,531573.4,Upper West Side,Not Available,No specific resident population,Not Applicable: Standalone Property,180,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,121.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
175 W 93 St.,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,3400,65,0,Not Available,Not Available,100,27312856.4,Not Available,Possible Issue,Not Available,Ok,No,19107597.6,Not Available,Not Available,Ok,0,6.0,Not Available,0,Not Available,21091269.3,Not Available,1024437.7,14161742.7,Upper West Side,Not Available,No specific resident population,Not Applicable: Standalone Property,175,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,114.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
68-02 CLOVERDALE BLVD,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Possible Issue,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,23.0,Not Available,0,Not Available,648349.5,Not Available,Not Available,1221286,Oakland Gardens,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
21 East 10,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,Not Available,0,Not Available,Not Available,100,Not Available,Not Available,Possible Issue,Not Available,Possible Issue,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,2.0,Not Available,0,Not Available,3633082.3,Not Available,Not Available,3547753.8,West Village,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,2,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
"Pelican: Fifth Avenue Dev. Co., LLC",Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,64,0.79252,Not Available,Not Available,90,13323373.5,Not Available,Possible Issue,Not Available,Possible Issue,No,8198875.8,Not Available,Not Available,Ok,0,4.0,Not Available,0,100,9077011.1,Not Available,664535,3636499.8,East Harlem South,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
162-15 HIGHLAND AVE ENTM,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,52,1.05706,Not Available,Not Available,Not Available,13900298.4,Not Available,Possible Issue,Not Available,Ok,Not Available,9736719.3,Not Available,Not Available,Ok,0,24.0,Not Available,0,Not Available,9872159.5,Not Available,509438.3,7977512.1,Briarwood-Jamaica Hills,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,137.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
St. Urban Apartments,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,92,0,Not Available,Not Available,90,19271288.4,Not Available,Ok,Not Available,Ok,Not Available,12420683,Not Available,Not Available,Ok,0,6.0,Not Available,0,Not Available,18096470.5,Not Available,873580.2,9440026.9,Upper West Side,Not Available,Not Available,Not Applicable: Standalone Property,48,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
LL84 135 West 50th St.,Not Available,Not Available,0,No,2.80119,Not Available,Ok,Ok,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,224923187.4,Not Available,Possible Issue,708329.76,Ok,Not Available,91570955.1,Not Available,Not Available,Ok,Not Available,4.0,Not Available,0,98.97,50774777.8,Not Available,17521839.7,9113390.4,Midtown-Midtown South,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,0,Not Available,CBECS - Office & Bank/Financial,264.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,0,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
BROADWAY LIBERTY ASSOCIATES,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,65,Not Available,Not Available,Not Available,Not Available,34679252.3,Not Available,Ok,Not Available,Ok,Not Available,16654676.2,Not Available,Not Available,Ok,Not Available,1.0,Not Available,0,100,19832418.6,Not Available,2453545,668550,Battery Park City-Lower Manhattan,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,230,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
280 Fort Washington Ave,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,98,0.56684,Not Available,Not Available,0,5921166.9,Not Available,Possible Issue,Not Available,Ok,No,4543530.9,Not Available,Not Available,Ok,Not Available,10.0,Not Available,0,Not Available,7757067.8,Not Available,167931,2793800.2,Washington Heights South,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,86.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
