latitude,longitude,parcel_name,coordinates,overlay_1,bsmt_code,census_tract,community_district,lot_type_code,residential_floor_area,police_prct,total_area,retail_floor_area,open_petroleum_spill,potential_urban_ag,health_ctr,lot,lot_front,exempt_land,proximity_code
40.764132,-73.97355,GRAND ARMY PLAZA,991577/217672,,0,112.01,105,1,0,18.0,29875,0,,Not Suitable,13.0,34,245.0,33493950,0
40.707354,-74.0135798,TRINITY PLACE LEARNING CENTER,980485/196985,,5,13.0,101,0,138018,1.0,15286,7542,,,15.0,7501,135.62,15571004,3
40.735547,-73.9821565,PS 40 PLAYGROUND (JOP),989195/207257,,0,64.0,106,3,0,13.0,22080,0,,,14.0,1,184.0,3838050,1
40.786017,-73.9447428,,999552/225649,C1-5,0,164.0,111,3,176293,23.0,30468,0,Yes,,12.0,1,364.92,14202000,2
40.725459,-73.9754559,DRY DOCK PLAYGROUND,991053/203582,,0,28.0,103,3,0,9.0,64448,0,,,14.0,50,269.0,3825000,0
40.770981,-73.9969167,PIER 95,985104/220166,,5,135.0,104,9,0,18.0,206475,0,,,15.0,10,360.67,5428800,0
40.706231,-74.0124397,,980801/196576,,2,9.0,101,4,0,1.0,13323,20398,,,15.0,24,81.83,0,3
40.757075,-73.9724049,,991895/215101,,2,100.0,105,3,0,18.0,16300,5000,,,13.0,60,111.83,0,0
40.789043,-73.9472429,"ENG 53, LAD 43",998859/226751,C1-5,2,166.0,111,3,0,23.0,28744,0,,,12.0,40,120.92,4445100,2
40.716521,-73.9839147,"ENG 15, LAD 18, BAT 4",988709/200325,,2,12.0,103,3,0,7.0,17486,0,,,14.0,60,121.33,5891850,0
40.781446,-73.9433707,,999933/223984,,0,152.0,108,9,0,,211050,0,,,,52,314.0,1367550,0
40.772973,-73.9954112,PIER 98/CON EDISON,985521/220892,,0,135.0,104,9,0,18.0,215175,0,,,15.0,25,251.75,6474150,0
40.742245,-73.9879793,MADISON SQUARE PARK,987581/209697,,0,56.0,105,1,0,13.0,305000,2300,,,15.0,1,420.0,94497750,0
40.714005,-73.9943944,"EAST BROADWAY MALL,INC",985804/199408,,0,8.0,103,3,0,5.0,18750,50706,,,14.0,44,135.75,7133400,1
40.773429,-73.9950321,PIER 99- TRANSFER STATION,985626/221058,,0,151.0,104,9,0,18.0,121300,0,,,15.0,99,156.17,14682150,0
40.792506,-73.9519169,MUSEUM OF THE CITY OF NEW YORK,997564/228012,,2,168.0,111,3,0,23.0,30274,0,,,12.0,1,201.83,6154650,2
40.757965,-73.9984369,FUTURE HUDSON PARK,984683/215424,,0,117.0,104,4,0,10.0,20300,0,,,15.0,15,109.42,2455200,0
40.74866,-73.9740074,ENG 21,991452/212035,,2,88.0,106,5,0,17.0,3291,0,,,13.0,42,33.33,640800,1
40.722416,-73.9791981,EL JARDIN DEL PARAISO PARK,990016/202473,,5,26.01,103,5,0,9.0,2404,0,,,14.0,14,25.0,346500,0
40.712734,-74.0106411,FDRL OFFICE BLDG-POST OFFICE,981300/198945,,1,21.0,101,1,0,1.0,75460,0,,,15.0,1,203.03,103643100,1
40.784073,-73.9435275,,999889/224941,,5,162.0,111,3,0,23.0,34480,0,,,12.0,3,196.67,1605600,0
40.767239,-73.9635489,"ENG 39, LAD 16",994347/218805,,0,120.0,108,5,0,19.0,13556,0,,,13.0,29,60.0,9356850,0
