address,zip_code,fire_comp,date_created,zone_dist_2,irr_lot_code,zone_dist_1,exempt_tot,year_alter_1,bldg_depth,council_district,current_uses,storage_floor_area,land_use_category,health_area,num_floors,pluto_version,lot_depth,garage_floor_area,commercial_floor_area
150 EAST 123 STREET,10035.0,L014,2025-03-14T00:00:00.000,,N,R7D,240750,,0.0,8.0,PARK,0,9.0,1600.0,0.0,24v31,100.92,0,0
313 EAST 8 STREET,10009.0,L011,2025-03-14T00:00:00.000,,N,R8B,501750,,0.0,2.0,COMMUNITY GARDEN,0,9.0,6700.0,0.0,24v31,69.83,0,0
770 10 AVENUE,10019.0,E040,2025-03-14T00:00:00.000,,Y,R8,14102550,2012.0,200.0,3.0,ELEMENTARY SCHOOL,0,8.0,4700.0,4.0,24v31,425.0,0,75875
AVENUE C,10009.0,L011,2025-03-14T00:00:00.000,,Y,R7A,242100,,0.0,2.0,COMMUNITY GARDEN,0,9.0,6300.0,0.0,24v31,83.0,0,0
PEARL STREET,10038.0,E006,2025-03-14T00:00:00.000,,Y,C6-2A,432900,,0.0,1.0,COMMUNITY GARDEN,0,9.0,7700.0,0.0,24v31,261.92,0,0
179 1 AVENUE,10003.0,E005,2025-03-14T00:00:00.000,R7A,Y,R8B,12614850,,165.0,2.0,ELEMENTARY SCHOOL,0,8.0,6200.0,2.0,24v31,358.17,0,101100
136 WEST 90 STREET,10024.0,L022,2025-03-14T00:00:00.000,,N,R7-2,1028250,,0.0,6.0,PARK,0,11.0,3220.0,0.0,24v31,100.0,0,0
34 WEST 14 STREET,10011.0,L003,2025-03-14T00:00:00.000,C6-2,Y,C6-2M,0,1986.0,206.0,2.0,ACADEMIC HIGH SCHOOL,0,5.0,5700.0,5.0,24v31,206.5,0,151541
F D R DRIVE,,,2025-03-14T00:00:00.000,,Y,R7-2,335250,,0.0,8.0,NO USE-WFT (ANY AGY);FINAL COMMITMNT-DISP,0,11.0,,0.0,24v31,312.0,0,0
1842 PARK AVENUE,10035.0,L030,2025-03-14T00:00:00.000,,N,M1-6/R9,208350,,0.0,9.0,IN USE-TENANTED;SHORT-TERM AGREEMENT,0,10.0,1600.0,0.0,24v31,69.0,0,0
SPRING STREET,10012.0,L020,2025-03-14T00:00:00.000,,Y,C6-2,6025950,,0.0,1.0,IN USE-TENANTED;FINAL COMMITMNT-DISP;SHORT-TERM AGREEMENT,0,9.0,6800.0,0.0,24v31,185.61,0,0
315 EAST 60 STREET,10022.0,L016,2025-03-14T00:00:00.000,,Y,C8-4,2750400,,0.0,5.0,ROAD/HIGHWAY,0,7.0,4900.0,0.0,24v31,200.83,0,0
170 EAST 117 STREET,10035.0,L026,2025-03-14T00:00:00.000,,N,R7A,158400,,0.0,8.0,COMMUNITY GARDEN,0,9.0,2000.0,0.0,24v31,100.92,0,0
421 EAST 42 STREET,10017.0,E021,2025-03-14T00:00:00.000,,N,C5-2,0,,0.0,4.0,TRANSIT SUBSTATION,0,7.0,5000.0,0.0,24v31,50.0,0,0
EAST 8 STREET,10009.0,L011,2025-03-14T00:00:00.000,,N,R8B,666900,,0.0,2.0,COMMUNITY GARDEN,0,9.0,6700.0,0.0,24v31,97.5,0,0
PIER 9,,,2025-03-14T00:00:00.000,,N,C4-6,11113200,,0.0,1.0,NO USE;FINAL COMMITMNT-DISP;WATERFRONT PROPERTY;NO USE-WFT (ANY AGY);FINAL COMMITMNT-DISP;ROAD/HIGHWAY,0,7.0,,0.0,24v31,604.83,0,320800
126 STANTON STREET,10002.0,L018,2025-03-14T00:00:00.000,R7A,Y,C4-4A,11198250,,231.0,1.0,ELEMENTARY SCHOOL,0,8.0,6600.0,3.0,24v31,170.0,0,107380
2238 5 AVENUE,10037.0,E059,2025-03-14T00:00:00.000,,N,R7-2,953550,,64.0,9.0,AGCY OFFICE,0,8.0,1300.0,3.0,24v31,63.0,0,24300
75 PEARL STREET,10004.0,L015,2025-03-14T00:00:00.000,,Y,C5-5,1668150,,0.0,1.0,ROAD/HIGHWAY,0,9.0,7700.0,0.0,24v31,92.39,0,0
2053 5 AVENUE,10035.0,L030,2025-03-14T00:00:00.000,,N,R7-2,1653750,1986.0,93.0,9.0,IN USE-RES STRUCTURE;FINAL COMMITMNT-DISP,0,3.0,1600.0,7.0,24v31,100.0,0,0
MANGIN STREET,10002.0,L018,2025-03-14T00:00:00.000,,N,R7-2,632700,,0.0,1.0,ROAD/HIGHWAY,0,7.0,7600.0,0.0,24v31,92.5,0,0
