property_name,green_power_onsite_kwh,electricity_use_grid_purchase,number_of_active_energy_meters_2,parking_gross_floor_area,energy_power_station_gross,estimated_data_flag_2,alert_property_has_no_uses,electricity_use_generated,laboratory_gross_floor_area,property_gfa_calculated_1,estimated_data_flag_fuel_3,indirect_location_based_ghg_1,propane_use_kbtu,indirect_location_based_ghg,self_storage_facility_gross,medical_office_number_of,other_gross_floor_area_ft,indoor_water_use_all_water,alert_data_center_issue_with,hospital_general_medical_3,annual_maximum_demand_meter,multifamily_housing_government,last_modified_date_non,food_sales_gross_floor_area,hospital_general_medical_5,nyc_borough_block_and_lot,metered_areas_water,third_party_certification_2,data_center_energy_estimates,municipally_supplied_potable_1,primary_property_type_self,total_location_based_ghg_1,multifamily_housing_total,number_of_active_energy_meters,fitness_center_health_club,supermarket_grocery_number,automobile_dealership_gross,hospital_general_medical_4,financial_office_number_of,estimated_data_flag_district,outpatient_rehabilitation,percent_of_total_electricity,data_center_it_equipment,manufacturing_industrial,supermarket_grocery_gross,medical_office_weekly,outdoor_water_use_all_water,estimated_data_flag_diesel,data_center_pdu_output_meter,data_center_gross_floor_area,alert_energy_meter_has,mailing_center_post_office,hospital_general_medical_10
Cedarcroft LLC,Not Available,20409,0,1100,Not Available,Not Available,Ok,Not Available,Not Available,48400,Not Available,0,Not Available,1.7,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,No,2023-04-26T00:00:00.000,Not Available,Not Available,4-09844-0005,Whole Property,Not Available,Not Available,6772.2,Multifamily Housing,6.5,69,3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
780 New York Ave,Not Available,927118.9,0,2242,Not Available,Not Available,Ok,Not Available,Not Available,41314,Not Available,1.9,Not Available,78.4,Not Available,Not Available,Not Available,1126,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,3048370065,Whole Property,Not Available,Not Available,1126,Multifamily Housing,2.6,39,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
33 S&P REALTY CORP.,Not Available,677183,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,75000,Not Available,0.8,Not Available,57.2,Not Available,Not Available,Not Available,2585.3,Ok,Not Available,Not Available,No,2023-04-03T00:00:00.000,Not Available,Not Available,5000050057,Whole Property,Not Available,Not Available,2585.3,Multifamily Housing,3.3,55,5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Pelican: 2160 - 2166 Matthews Ave,Not Available,1985528.2,0,9750,Not Available,Not Available,Ok,Not Available,Not Available,141622,Not Available,1.2,Not Available,167.9,Not Available,Not Available,Not Available,9345.9,Ok,Not Available,Not Available,No,2022-07-14T00:00:00.000,Not Available,Not Available,2-04323-0018,Whole Property,Not Available,Not Available,9345.9,Multifamily Housing,4.3,133,13,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
KM - 100 Ross Street,Not Available,2571470.8,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,93538,Not Available,2.3,Not Available,217.4,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,3021860001,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,5.7,81,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Malcolm X II Phase A Associates - 106/114,Not Available,1671385.2,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,103248,Not Available,1.4,Not Available,141.3,Not Available,Not Available,Not Available,8566.7,Ok,Not Available,Not Available,100.0% Yes,,Not Available,Not Available,1-02011-0038,Whole Property,Not Available,Not Available,8566.7,Multifamily Housing,4.1,91,8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Fatima Realty LLC,Not Available,593305.8,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,65500,Not Available,0.8,Not Available,50.2,Not Available,Not Available,Not Available,3670.7,Ok,Not Available,Not Available,No,,Not Available,Not Available,3-06731-0039,Whole Property,Not Available,Not Available,3670.7,Multifamily Housing,4.5,60,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
760 Parkside Avenue,Not Available,6060049.5,0,0,Not Available,Not Available,Ok,Not Available,42885,50453,Not Available,10.2,Not Available,512.3,Not Available,33,Not Available,507.9,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,3048280022,Whole Property,Not Available,Not Available,507.9,Laboratory,12.8,Not Available,3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,65,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
ADI: 53-01 32nd Ave,Not Available,4158109,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,115885,Not Available,3,Not Available,351.5,Not Available,Not Available,Not Available,5081.1,Ok,Not Available,Not Available,No,2023-04-14T00:00:00.000,Not Available,Not Available,4-01131-0001,Whole Property,Not Available,Not Available,5081.1,Multifamily Housing,6,113,5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
MGRE - 23-25 Bell Blvd. / 23-35 Bell Blvd.,Not Available,1918086.5,0,26829,Not Available,Not Available,Ok,Not Available,Not Available,163612,Not Available,1,Not Available,162.2,Not Available,12.92,Not Available,5460.3,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,4-05958-0100,Whole Property,Not Available,Not Available,5460.3,Multifamily Housing,3.8,120,10,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,38.42,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
720 West End Ave,Not Available,641394.6,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,237507,Not Available,0.2,Not Available,54.2,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1012430001,Not Available,Not Available,Not Available,Not Available,Hotel,0.2,Not Available,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Lester - 53-01 1St Ave,Not Available,530211.2,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,53149,Not Available,0.8,Not Available,44.8,Not Available,Not Available,Not Available,497.5,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,3008120001,Whole Property,Not Available,Not Available,497.5,Non-Refrigerated Warehouse,1.7,Not Available,6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Punia and Marx: 7259-61 Shore Road,Not Available,1350773.3,0,9000,Not Available,Not Available,Ok,Not Available,Not Available,163286,Not Available,0.7,Not Available,114.2,Not Available,Not Available,Not Available,4620.7,Ok,Not Available,Not Available,No,2023-04-12T00:00:00.000,Not Available,Not Available,3-05904-0002,Whole Property,Not Available,Not Available,4620.7,Multifamily Housing,3.8,132,8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
JK: 2285 Sedgwick,Not Available,860499.6,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,62287,Not Available,1.2,Not Available,72.7,Not Available,Not Available,Not Available,5677.3,Ok,Not Available,Not Available,No,,Not Available,Not Available,2-03234-0049,Whole Property,Not Available,Not Available,5677.3,Multifamily Housing,4.3,54,10,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Rocklyn Asset: 61-00 FRANCIS LEWIS BOULEVARD,Not Available,9701906,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,335192,Not Available,2.4,Not Available,820.2,Not Available,Not Available,Not Available,5812.9,Ok,Not Available,Not Available,Not Available,2022-07-12T00:00:00.000,Not Available,Not Available,4-07128-0002,Whole Property,Not Available,Not Available,5812.9,K-12 School,2.9,Not Available,2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
ENS Realty:2964 Williamsbridge Road,Not Available,797275.2,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,79200,Not Available,0.9,Not Available,67.4,Not Available,Not Available,Not Available,5154.1,Ok,Not Available,Not Available,No,2023-04-14T00:00:00.000,Not Available,Not Available,2-04550-0021,Whole Property,Not Available,Not Available,5154.1,Multifamily Housing,1.1,58,7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
109-15 72 Road,Not Available,357755,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,36248,Not Available,0.8,Not Available,30.2,Not Available,10,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,4032587503,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,1.2,23,3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,65,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
MNM: 2146 Lexington Ave,Not Available,2900455.9,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,113775,Not Available,2.2,Not Available,245.2,Not Available,Not Available,Not Available,12953.3,Ok,Not Available,Not Available,No,,Not Available,Not Available,1-01778-0006,Whole Property,Not Available,Not Available,12953.3,Multifamily Housing,6.4,146,8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
720 Fifth Avenue,Not Available,5768341.2,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,113292,Not Available,5.6,Not Available,629,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,2023-03-01T00:00:00.000,Not Available,Not Available,1012720034,Whole Property,Not Available,Not Available,Not Available,Office,5.6,Not Available,5,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
BPC: 145 Hicks Street,Not Available,1198990.4,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,121556,Not Available,0.8,Not Available,101.4,Not Available,Not Available,Not Available,2225.5,Ok,Not Available,Not Available,No,,Not Available,Not Available,3-00236-0088,Whole Property,Not Available,Not Available,2225.5,Multifamily Housing,3.8,107,5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
285 Quincy St,Not Available,246063.2,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,31065,Not Available,0.7,Not Available,20.8,Not Available,Not Available,Not Available,994.8,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,3018030072,Whole Property,Not Available,Not Available,994.8,Multifamily Housing,0.8,20,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
1730 Ocean Ave,Not Available,684969.2,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,27781,Not Available,2.1,Not Available,57.9,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,3067390057,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,2.1,34,5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
CQ- 169-04 88th Avenue,Not Available,827232.6,0,1625,Not Available,Not Available,Ok,Not Available,Not Available,40344,Not Available,1.7,Not Available,69.9,Not Available,Not Available,Not Available,6651.7,Ok,Not Available,Not Available,Not Available,2018-04-25T00:00:00.000,Not Available,Not Available,4-09823-0009,Whole Property,Not Available,Not Available,6651.7,Multifamily Housing,7.6,65,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Pelican: 939 Woodycrest Avenue,Not Available,2451924.6,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,199852,Not Available,1,Not Available,207.3,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,No,2023-04-20T00:00:00.000,Not Available,Not Available,2-02511-0022,Whole Property,Not Available,Not Available,Not Available,Multifamily Housing,4.6,169,16,1500,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Dawning: 215 Hart Blvd,Not Available,758054.3,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,69015,Not Available,0.9,Not Available,64.1,Not Available,Not Available,Not Available,3029.4,Ok,Not Available,Not Available,No,2023-04-14T00:00:00.000,Not Available,Not Available,5-00250-7501,Whole Property,Not Available,Not Available,3029.4,Multifamily Housing,6.7,63,5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
SLJ: 144-63 35th Ave,Not Available,814604.8,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,77040,Not Available,0.9,Not Available,68.9,Not Available,Not Available,Not Available,4247.4,Ok,Not Available,Not Available,No,,Not Available,Not Available,4-04995-0058,Whole Property,Not Available,Not Available,4247.4,Multifamily Housing,4.6,74,5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
1741 Pilgrim Ave,Not Available,567094.9,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,34031,Not Available,1.4,Not Available,47.9,Not Available,Not Available,Not Available,3946.5,Ok,Not Available,Not Available,No,,Not Available,Not Available,2041620041,Whole Property,Not Available,Not Available,3946.5,Multifamily Housing,1.6,44,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Standby One Associates - 1421/1425,Not Available,1184192.6,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,60000,Not Available,1.7,Not Available,100.1,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,100.0% Yes,,Not Available,Not Available,2-02833-0020,Whole Property,Not Available,Not Available,Not Available,Multifamily Housing,5.5,75,6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
700 West End Avenue,Not Available,642813,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,55840,Not Available,1,Not Available,54.3,Not Available,Not Available,Not Available,2285.9,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1012420001,Whole Property,Not Available,Not Available,2285.9,Multifamily Housing,3,66,6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
510 West 218 Street,Not Available,1409790.6,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,32499,Not Available,3.7,Not Available,119.2,Not Available,Not Available,Not Available,705.3,Ok,Not Available,Not Available,No,,Not Available,Not Available,1022430277,Whole Property,Not Available,Not Available,705.3,Multifamily Housing,23,42,7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Claret Commons Condo - 136-140 West 23rd St,Not Available,889665.4,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,35154,Not Available,2.1,Not Available,75.2,Not Available,Not Available,Not Available,1958.5,Ok,Not Available,Not Available,Not Available,2023-03-13T00:00:00.000,Not Available,Not Available,1007987503,Whole Property,Not Available,Not Available,1958.5,Multifamily Housing,5,20,8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
M&&L: 42-43 Ithaca St,Not Available,786547.8,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,62416,Not Available,1.1,Not Available,66.5,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,No,2023-04-02T00:00:00.000,Not Available,Not Available,4-01557-0033,Whole Property,Not Available,Not Available,Not Available,Multifamily Housing,3.7,67,6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
118 STREET,Not Available,443423.5,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,33113,Not Available,1.1,Not Available,37.5,Not Available,Not Available,Not Available,3236.5,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1017170022,Whole Property,Not Available,Not Available,3236.5,Multifamily Housing,4.7,39.74,2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
1329 Willoughby Avenue,Not Available,828389.2,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,37585,Not Available,1.9,Not Available,70,Not Available,Not Available,Not Available,1124.1,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,3032000035,Whole Property,Not Available,Not Available,1124.1,Retail Store,3.3,Not Available,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Campus - 200-222 East 165 Street,Not Available,1452911.5,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,55080,Not Available,2.2,Not Available,122.8,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,2023-02-09T00:00:00.000,Not Available,Not Available,2024550059; 2024550062,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,11.1,52,21,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Lexington School for the Deaf,Not Available,4954790.4,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,185992,Not Available,2.3,Not Available,418.9,Not Available,Not Available,Not Available,3458.2,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,4-01050-0002,Whole Property,Not Available,Not Available,3458.2,K-12 School,6,Not Available,3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Mosery: 35 West 35th Street,Not Available,2508915.3,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,72498,Not Available,2.9,Not Available,212.1,Not Available,Not Available,Not Available,1506.8,Ok,Not Available,Not Available,Not Available,2023-04-13T00:00:00.000,Not Available,Not Available,1-00837-0020,Whole Property,Not Available,Not Available,1506.8,Office,5.2,Not Available,6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
LaSala: 200 East 89th St,Not Available,5939882.4,0,29115,Not Available,Not Available,Ok,Not Available,Not Available,256334,Not Available,2,Not Available,502.2,Not Available,Not Available,Not Available,8475.4,Ok,Not Available,Not Available,Not Available,2022-07-13T00:00:00.000,Not Available,Not Available,1-01534-7501,Whole Property,Not Available,Not Available,8475.4,Multifamily Housing,6.9,253,6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Maxwell: 270 Broadway,Not Available,14027585.5,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,335676,Not Available,5.6,Not Available,1896.4,Not Available,Not Available,Not Available,11568.6,Ok,Not Available,Not Available,No,2023-03-27T00:00:00.000,Not Available,Not Available,1001357504,Whole Property,Not Available,Not Available,11568.6,Multifamily Housing,5.7,90,8,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
878 Brook Ave,Not Available,362903.7,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,86228,Not Available,0.4,Not Available,30.7,Not Available,Not Available,Not Available,27.7,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,2023650035,Whole Property,Not Available,Not Available,27.7,Office,0.4,Not Available,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
San Pio Realty LLC,Not Available,599686.3,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,52378,No,1,Not Available,50.7,Not Available,Not Available,Not Available,210127.8,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1-02175-0033,Whole Property,Not Available,Not Available,210127.8,Multifamily Housing,4.4,50,8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Daniel Hale: 995 Gates Ave,Not Available,3238397.5,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,119920,Not Available,2.3,Not Available,273.8,Not Available,Not Available,Not Available,16394,Ok,Not Available,Not Available,No,,Not Available,Not Available,3-01633-0060,Whole Property,Not Available,Not Available,16394,Multifamily Housing,7.5,116,3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Campus - Morton Barrow Condo,Not Available,2938346.1,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,134774,Not Available,1.8,Not Available,248.4,Not Available,Not Available,Not Available,3217.5,Ok,Not Available,Not Available,Not Available,2023-03-13T00:00:00.000,Not Available,Not Available,1005847501,Whole Property,Not Available,Not Available,3217.5,Multifamily Housing,4.7,170,40,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
SLJ: 65-36 Wetherole Street,Not Available,710903.8,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,70967,Not Available,0.8,Not Available,60.1,Not Available,Not Available,Not Available,3937,Ok,Not Available,Not Available,No,,Not Available,Not Available,4-03100-7501,Whole Property,Not Available,Not Available,3937,Multifamily Housing,5.8,64,5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Maxwell: 1831 Madison Ave,Not Available,2354576.8,0,6800,Not Available,Not Available,Ok,Not Available,Not Available,147714,Not Available,1.3,Not Available,199.1,Not Available,Not Available,Not Available,6300.9,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1017460021,Whole Property,Not Available,Not Available,6300.9,Multifamily Housing,4.7,129,6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
CFF Consulting - 575 West 159th St,Not Available,1018557.1,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,44590,Not Available,1.9,Not Available,86.1,Not Available,Not Available,Not Available,4294,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1021180001,Whole Property,Not Available,Not Available,4294,Multifamily Housing,5.9,38,12,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
LNY - 573 Isham Street,Not Available,454778.6,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,26940,Not Available,1.4,Not Available,38.4,Not Available,Not Available,Not Available,4798.2,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1022280001,Whole Property,Not Available,Not Available,4798.2,Multifamily Housing,6.2,31,9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
585 Gerard Avenue,Not Available,401752.8,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,50000,Not Available,0.7,Not Available,34,Not Available,Not Available,Not Available,118.9,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,2023520015,Whole Property,Not Available,Not Available,118.9,Manufacturing/Industrial Plant,4.5,Not Available,3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,50000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
346-HIEWall,Not Available,2015683.4,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,42560,Not Available,4,Not Available,170.4,Not Available,Not Available,Not Available,5388,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1-00039-0038,Whole Property,Not Available,Not Available,5388,Hotel,4.9,Not Available,2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Penny Lane: 1164 Cromwell Ave,Not Available,997771.1,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,81630,Not Available,1,Not Available,84.4,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,No,2023-04-21T00:00:00.000,Not Available,Not Available,2-02496-0040,Whole Property,Not Available,Not Available,Not Available,Multifamily Housing,5.6,72,9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
