nyc_building_identification,fuel_oil_1_use_kbtu,national_median_energy_star,district_chilled_water_use,restaurant_worker_density,refrigerated_warehouse_gross,annual_maximum_demand_mm,data_center_pue,green_power_offsite_kwh,_2nd_largest_property_use_1,electricity_use_generated_3,parent_property_name,parking_open_parking_lot,latitude,restaurant_weekly_operating,fuel_oil_5_6_use_kbtu,property_gfa_self_reported,office_number_of_workers,barracks_gross_floor_area,retail_store_number_of_walk,avoided_emissions_onsite_1,hotel_gross_floor_area_ft,hospital_general_medical_9,restaurant_gross_floor_area,alert_gross_floor_area_is,electricity_use_grid_purchase_1,wastewater_treatment_plant,weather_normalized_source_1,_3rd_largest_property_use,ct2020,office_percent_that_can_be_1,electricity_use_generated_1,weather_normalized_site_energy,energy_star_score,property_notes,estimated_data_flag,construction_status,office_weekly_operating_hours,medical_office_number_of_2,longitude,source_eui_kbtu_ft,hospital_general_medical_6,ambulatory_surgical_center
1015809,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.747044,Not Available,Not Available,60133,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,307245.2,Not Available,Not Available,Not Available,76.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Existing,Not Available,Not Available,-73.987123,49.1,Not Available,Not Available
2049751,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.859246,Not Available,Not Available,32620,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,145195,Not Available,3806738.8,Not Available,33201.0,Not Available,Not Available,2821545.1,73,Not Available,No,Existing,Not Available,Not Available,-73.869517,116.4,Not Available,Not Available
4017180,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,3760,Not Available,Not Applicable: Standalone Property,Not Available,40.773768,Not Available,Not Available,75191,8,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,1087688,Not Available,10458759.2,Not Available,115.0,100,Not Available,3827725.2,98,No oil consumption for 2021,No,Existing,65,175,-73.913573,140,Not Available,Not Available
1059980,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.821537,Not Available,Not Available,55320,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,200830,Not Available,7337398.8,Not Available,22301.0,Not Available,Not Available,5878718.3,41,Not Available,No,Existing,Not Available,Not Available,-73.956983,130.6,Not Available,Not Available
1062699,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.833161,Not Available,Not Available,47130,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,276687,Not Available,7917206.1,Not Available,241.0,Not Available,Not Available,6199529.4,9,Not Available,No,Existing,Not Available,Not Available,-73.94466,169.7,Not Available,Not Available
3032046,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Twin Properties LLC 2,Not Available,40.671272,Not Available,Not Available,75355,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,238570.5,Not Available,339.0,Not Available,Not Available,227210,100,The footprint of the building is 10765 Sq. Ft. times’ 6 above ground floor floors plus the basement totaling seven floors. Totaling 75355 square ft.,No,Existing,Not Available,Not Available,-73.943479,3.1,Not Available,Not Available
2084188,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.886547,Not Available,Not Available,105029,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,269812,Not Available,7014394.6,Not Available,295.0,Not Available,Not Available,5186242.8,93,Not Available,No,Existing,Not Available,Not Available,-73.908989,66.1,Not Available,Not Available
1007007,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Campus - Trenkmann,Not Available,40.720151,Not Available,Not Available,3888,7,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,96288,Not Available,899759,Not Available,45.0,100,Not Available,322155,7,Energy data is accounted for at the parent level. This property also shares energy consumption with 239 Centre Street (BBL 1004720022). Oil is consumed and entered at the parent level.,No,Existing,50,Not Available,-73.998232,237,Not Available,Not Available
2049728,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.858516,Not Available,Not Available,57678,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,207046,Not Available,5507085.2,Not Available,33201.0,Not Available,Not Available,4228181.4,84,Not Available,No,Existing,Not Available,Not Available,-73.86954,96.5,Not Available,Not Available
1029658,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.776799,Not Available,Not Available,133485,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,1132961.9,Not Available,11701681.1,Not Available,15302.0,Not Available,Not Available,4754046.8,87,Not Available,No,Existing,Not Available,Not Available,-73.981409,88.3,Not Available,Not Available
2014533,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.858418,Not Available,Not Available,40500,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,193431,Not Available,Not Available,Not Available,251.0,Not Available,Not Available,Not Available,30,Not Available,No,Existing,Not Available,Not Available,-73.906294,124.3,Not Available,Not Available
2017414,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.867298,Not Available,Not Available,37200,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,145208,Not Available,3762858.6,Not Available,40304.0,Not Available,Not Available,2778000.1,61,Not Available,No,Existing,Not Available,Not Available,-73.894929,100.5,Not Available,Not Available
1018189,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.742481,Not Available,Not Available,105244,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,537783.9,Not Available,5579231.3,Not Available,68.0,Not Available,Not Available,2325481,100,"Block and Lot Number
1-00883-0058",No,Existing,Not Available,Not Available,-73.982086,53.9,Not Available,Not Available
3001617,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.699821,Not Available,Not Available,90426,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,540368.9,Not Available,9817343.6,Not Available,1.0,Not Available,Not Available,6343410.4,76,Not Available,No,Existing,Not Available,Not Available,-73.9956,110.7,Not Available,Not Available
2013233;2013234,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.844069,Not Available,Not Available,54127,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,506517.9,Not Available,11118870.1,Not Available,363.0,Not Available,Not Available,7740221.6,7,2-03128-0029; 2-03128-0032,No,Existing,Not Available,Not Available,-73.880332,201.5,Not Available,Not Available
3034361,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.665478,Not Available,Not Available,72130,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,187499,Not Available,6715992.6,Not Available,323.0,Not Available,Not Available,5361853,66,3-01304-0024,No,Existing,Not Available,Not Available,-73.955938,91.8,Not Available,Not Available
4005311; 4547622,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Campus - Ravel Management Group,Not Available,40.753934,Not Available,Not Available,43664,Not Available,Not Available,Not Available,0,43664,Not Available,Not Available,Ok,612467.9,Not Available,8553218.6,Not Available,1903.0,Not Available,Not Available,4636693.1,63,Not Available,No,Existing,Not Available,Not Available,-73.949588,194,Not Available,Not Available
3418622,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.614506,Not Available,Not Available,27206,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,187085,Not Available,2899627.2,Not Available,440.0,Not Available,Not Available,1697659.6,Not Available,Not Available,No,Existing,Not Available,Not Available,-73.968646,105.2,Not Available,Not Available
4620008,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,Not Applicable: Standalone Property,1124,40.712686,Not Available,Not Available,41912,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,392472.9,Not Available,4312412.9,Not Available,59501.0,Not Available,Not Available,1966726,73,Gas cooking meter excluded from metric tracking,No,Existing,Not Available,Not Available,-73.905969,105.8,Not Available,Not Available
3034441,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.66543,Not Available,Not Available,30700,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,120235,Not Available,4130163.7,Not Available,321.0,Not Available,Not Available,3270016.9,39,Not Available,No,Existing,Not Available,Not Available,-73.951659,131.2,Not Available,Not Available
1003915,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,,Not Available,Not Available,41872,5,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,129601,Not Available,1527366.8,Not Available,,100,Not Available,688134.7,97,Not Available,No,Existing,45,Not Available,,34.9,Not Available,Not Available
1077762,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Campus - 188-192 6 Avenue,Not Available,40.726478,Not Available,Not Available,11310,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,53483,Not Available,509747.4,Not Available,49.0,Not Available,Not Available,186927.6,Not Available,Not Available,No,Existing,Not Available,Not Available,-74.003626,45.9,Not Available,Not Available
3398643,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.682666,Not Available,Not Available,68557,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,253793,Not Available,3135083.3,Not Available,405.0,Not Available,Not Available,1542557.5,Not Available,Not Available,No,Existing,Not Available,Not Available,-73.90612,45.4,Not Available,Not Available
2051308,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.862902,Not Available,Not Available,71014,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,213145,Not Available,7988562.8,Not Available,330.0,Not Available,Not Available,6651204.6,59,Not Available,No,Existing,Not Available,Not Available,-73.866437,113.4,Not Available,Not Available
1080097,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9 East 4th Street,Not Available,40.727988,Not Available,Not Available,31016,29,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,57.0,100,Not Available,Not Available,Not Available,This is 3 buildings all next to each other on 1 lot with shared usage. All Energy Data is on parent level.,Not Available,Existing,70,Not Available,-73.993055,Not Available,Not Available,Not Available
3179391,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,17500,Not Available,Not Applicable: Standalone Property,0,40.627709,Not Available,Not Available,159088,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,426126.9,Not Available,13735265.6,Not Available,532.0,Not Available,Not Available,10737809.7,91,"Block and Lot Number
3-06701-0064;3-06700-0026;3-06700-0038",No,Existing,Not Available,Not Available,-73.960678,85.9,Not Available,Not Available
4028336,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.745503,Not Available,Not Available,31622,50,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,729083.9,Not Available,7501527.2,Not Available,259.0,100,Not Available,3047981.6,14,Not Available,No,Existing,80,Not Available,-73.904292,238.7,Not Available,Not Available
1036458,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.756917,Not Available,Not Available,437662,Not Available,Not Available,Not Available,0,437662,Not Available,Not Available,Ok,3755610.5,Not Available,38094384.1,Not Available,100.0,Not Available,Not Available,14789998.4,89,This building is in the process of being converted from a hotel to a retail property.,No,Existing,Not Available,Not Available,-73.972044,86.9,Not Available,Not Available
2049739,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.859273,Not Available,Not Available,57164,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,189096,Not Available,2042692.6,Not Available,33201.0,Not Available,Not Available,895220.6,100,2-04340-0001,No,Existing,Not Available,Not Available,-73.870829,36.5,Not Available,Not Available
3110754,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.645259,Not Available,Not Available,25675,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,84045,Not Available,1475218.3,Not Available,826.0,Not Available,Not Available,967706.2,97,Not Available,No,Existing,Not Available,Not Available,-73.946812,58.4,Not Available,Not Available
1010086,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,2250,Not Available,Not Applicable: Standalone Property,Not Available,40.731671,Not Available,Not Available,75737,Not Available,Not Available,0,0,Not Available,Not Available,2250,Ok,762484.9,Not Available,11116882.5,Retail Store,67.0,Not Available,Not Available,6484828.9,Not Available,"Block and Lot Number
1-00589-7501

Property Manager has confirmed the space type and SQFT.",No,Existing,Not Available,Not Available,-74.001429,148.6,Not Available,Not Available
3121110,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.634745,Not Available,Not Available,90040,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,325847,Not Available,9972778.6,Not Available,520.0,Not Available,Not Available,7719954.9,46,Not Available,No,Existing,Not Available,Not Available,-73.964936,110.7,Not Available,Not Available
3245439; 3343099,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Delta Management- 10 & 40 Shore Boulevard Combined,Not Available,,Not Available,Not Available,212742,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,477992,Not Available,17045428.6,Not Available,,Not Available,Not Available,13614515,88,3-08710-7501,No,Existing,Not Available,Not Available,,79.1,Not Available,Not Available
2120525,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.842432,Not Available,Not Available,30990,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,473222,Not Available,6783396.1,Not Available,367.0,Not Available,Not Available,3885145.2,21,Number of Active Energy Meters - Total is greater than Number of Active Energy Meters - Used to Compute Metrics because owner accounts that represent a subset of aggregated accounts are also tracked in Portfolio Manager. Including these meters in metrics would double count energy use from this site.,No,Existing,Not Available,Not Available,-73.890147,222.7,Not Available,Not Available
1043872,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.766005,Not Available,Not Available,313188,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,2309364.5,Not Available,43283598.6,Not Available,118.0,Not Available,Not Available,28203365.7,30,Not Available,No,Existing,Not Available,Not Available,-73.963322,138.8,Not Available,Not Available
3211211,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.614918,Not Available,Not Available,38000,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,246803,Not Available,2519562.6,Not Available,642.0,Not Available,Not Available,996097.1,97,Not Available,No,Existing,Not Available,Not Available,-73.946368,66.2,Not Available,Not Available
2026596,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.8332,Not Available,Not Available,126054,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,92.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Test,Not Available,Not Available,-73.854481,Not Available,Not Available,Not Available
3329987 ; 3329988 ; 3338062,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.718362,Not Available,Not Available,32532,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,249843.9,Not Available,2665787.8,Not Available,515.0,Not Available,Not Available,1116340.7,97,Not Available,No,Existing,Not Available,Not Available,-73.949341,81.4,Not Available,Not Available
1007579,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.723522,Not Available,Not Available,54054,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,256516,Not Available,2426472.3,Not Available,49.0,Not Available,Not Available,889847.2,Not Available,Not Available,No,Existing,Not Available,Not Available,-73.998402,46.1,Not Available,Not Available
4044890,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.754483,Not Available,Not Available,40600,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,482692.9,Not Available,4686256.6,Not Available,39902.0,Not Available,Not Available,1708496.4,94,Not Available,No,Existing,Not Available,Not Available,-73.855479,115,Not Available,Not Available
1061186,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.829116,Not Available,Not Available,169147,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,354434,Not Available,15507296.7,Not Available,23501.0,Not Available,Not Available,13258349.1,75,1-02054-0062,No,Existing,Not Available,Not Available,-73.939876,90.5,Not Available,Not Available
Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,14000,Not Available,Not Applicable: Standalone Property,Not Available,40.741132,Not Available,Not Available,183449,400,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,56.0,100,Not Available,Not Available,Not Available,Not Available,No,Test,50,Not Available,-73.98987,Not Available,Not Available,Not Available
2087589,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,8422,Not Available,Not Applicable: Standalone Property,Not Available,40.897519,Not Available,Not Available,25266,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,194039,Not Available,3638350.2,Not Available,335.0,Not Available,Not Available,2380629.9,Not Available,Not Available,No,Existing,Not Available,Not Available,-73.907089,142.3,Not Available,Not Available
3053009,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.681695,Not Available,Not Available,61380,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,361183.9,Not Available,8912133,Not Available,245.0,Not Available,Not Available,6443670.1,24,Not Available,No,Existing,Not Available,Not Available,-73.949852,141.3,Not Available,Not Available
4002498,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,3235,Not Available,Not Applicable: Standalone Property,0,40.745349,Not Available,Not Available,70475,6,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,209823,Not Available,5613972.2,Office,18101.0,100,Not Available,4195081.5,92,Not Available,No,Existing,65,Not Available,-73.924891,79.1,Not Available,Not Available
2002724,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Campus - 200-222 East 165 Street,Not Available,40.830154,Not Available,Not Available,30240,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,234050,Not Available,2807264.1,Not Available,18302.0,Not Available,Not Available,1370844.3,78,Oil is entered at the parent level to account for 2 BBLS with shared oil usage.,No,Existing,Not Available,Not Available,-73.918508,94.4,Not Available,Not Available
1023382,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,6000,Not Available,Not Applicable: Standalone Property,Not Available,40.763684,Not Available,Not Available,85309,Not Available,Not Available,0,0,Not Available,Not Available,Not Available,Ok,649101.9,Not Available,10633811.2,Not Available,137.0,Not Available,Not Available,6512543.7,35,1-01007-0001,No,Existing,Not Available,Not Available,-73.981355,124.5,Not Available,Not Available
1234,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9400,Not Available,Not Applicable: Standalone Property,Not Available,,Not Available,Not Available,159400,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,No,Test,Not Available,Not Available,,Not Available,Not Available,Not Available
4003523,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.745056,Not Available,Not Available,52196,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,236816,Not Available,3494742.2,Not Available,17902.0,Not Available,Not Available,2012309.7,Not Available,Not Available,No,Existing,Not Available,Not Available,-73.936151,67.9,Not Available,Not Available
3001884,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.696398,Not Available,Not Available,40410,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,174277,Not Available,2528492.8,Not Available,502.0,Not Available,Not Available,1417033.2,100,Gas cooking meter excluded from metric tracking,No,Existing,Not Available,Not Available,-73.99352,62.6,Not Available,Not Available
3111267,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.642369,Not Available,Not Available,27756,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,81373,Not Available,1312377.6,Not Available,828.0,Not Available,Not Available,821680.2,100,Not Available,No,Existing,Not Available,Not Available,-73.947701,48.1,Not Available,Not Available
2096667;2096599;2096675;2096681;2096679;2096677;2096670;2096673;2096683;2096687;2096684;2096689;2096694;2096692;2096691;2096697;2096699;2096700;2096702;2096701;2096704;2096703;2096705;2096706;2096707;2096710;2096712;2096715;2096717;2096752;2096756;2096757;2096759;2096760;2096758;2096767;2096763;2096764;2096765;2096766;2096768;2096769;2096772;2096771;2096773;2096770;2096774;2096775;2096777;2096776;2096780;2096779;2096778,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,27982,Not Available,Parkchester North Campus (BBL 2039447501),Not Available,40.838834,Not Available,Not Available,3839345,Not Available,Not Available,4.18,0,Not Available,Not Available,Not Available,Ok,14873390.7,Not Available,379799502.5,Not Available,21001.0,Not Available,Not Available,253579215.2,83,2022 water data not required,Yes,Existing,Not Available,Not Available,-73.860229,97.7,Not Available,Not Available
1041234,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.769077,Not Available,Not Available,41371,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,200605,Not Available,6344943.4,Not Available,122.0,Not Available,Not Available,4381439.5,22,Not Available,No,Existing,Not Available,Not Available,-73.9674,150,Not Available,Not Available
1013652,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,1000,Not Available,Not Applicable: Standalone Property,Not Available,40.755827,Not Available,Not Available,77999,Not Available,Not Available,Not Available,0,76999,Not Available,1000,Ok,881407.9,Not Available,9620034.4,Not Available,115.0,Not Available,Not Available,4149664.1,62,Not Available,No,Existing,Not Available,Not Available,-73.99238,123.3,Not Available,Not Available
2005788,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.821096,Not Available,Not Available,33750,150,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,337336,Not Available,21905000.8,Not Available,159.0,100,Not Available,18987136.4,1,Not Available,No,Existing,70,Not Available,-73.891638,637.1,Not Available,Not Available
1007310,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,14500,Not Available,Not Applicable: Standalone Property,Not Available,40.723914,Not Available,Not Available,74536,Not Available,Not Available,0,0,Not Available,Not Available,Not Available,Ok,401089,Not Available,6967287.4,Not Available,47.0,Not Available,Not Available,4490247.4,Not Available,Not Available,No,Existing,Not Available,Not Available,-74.00246,94,Not Available,Not Available
1065027,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.870631,Not Available,Not Available,83187,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,244288,Not Available,7558546.3,Not Available,307.0,Not Available,Not Available,6048157.3,79,Not Available,No,Existing,Not Available,Not Available,-73.916296,88.8,Not Available,Not Available
1063326,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.837331,Not Available,Not Available,75852,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,246826,Not Available,2478255.7,Not Available,247.0,Not Available,Not Available,991278.8,100,Not Available,No,Existing,Not Available,Not Available,-73.946569,33.4,Not Available,Not Available
1017197,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.749878,Not Available,Not Available,71043,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,587928.9,Not Available,6125062.3,Not Available,82.0,Not Available,Not Available,2592272.3,100,Not Available,No,Existing,Not Available,Not Available,-73.981406,88.6,Not Available,Not Available
1023460,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.764688,Not Available,Not Available,128433,Not Available,Not Available,Not Available,0,128433,Not Available,Not Available,Ok,2233601.7,Not Available,25907822.6,Not Available,137.0,Not Available,Not Available,11972366.9,40,Not Available,No,Existing,Not Available,Not Available,-73.978095,200.6,Not Available,Not Available
3163920,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.604708,Not Available,Not Available,89880,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,20786,Not Available,7257795.2,Not Available,290.0,Not Available,Not Available,6793982.8,93,Not Available,No,Existing,Not Available,Not Available,-73.99095,76.9,Not Available,Not Available
4446865;4446929;4246927,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.666393,Not Available,Not Available,212616,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,775101.9,Not Available,7510128.5,Not Available,6201.0,Not Available,Not Available,2913013,100,Not Available,No,Existing,Not Available,Not Available,-73.849968,36.6,Not Available,Not Available
3114603;3814922;3114604;3814921,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,40.659576,Not Available,Not Available,257076,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Ok,1084567.9,Not Available,26422744.6,Not Available,79802.0,Not Available,Not Available,19174532.2,59,3-05026-0100,No,Existing,Not Available,Not Available,-73.960577,102.1,Not Available,Not Available
