centername,inspectionsummaryresult,programtype,facilitytype,regulationsummary,total,count,average
ASSOCIATION TO BENEFIT CHILDREN,Initial Annual Inspection - Reinspection Required,PRESCHOOL,GDC,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.,50.0,2,25.0
HEARTSHARE HUMAN SERVICES OF NEW YORK,Initial Annual Inspection - Reinspection Required; Violations corrected at time of inspection,PRESCHOOL,GDC,At time of inspection child care service facility observed Not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,50.0,2,25.0
PERRY KIDS INC.,Initial Annual Inspection - Reinspection Required; Fines pending,PRESCHOOL,GDC,At time of inspection it was determined that child care service allows staff to perform their duties that are Not healthy or are incapable of carrying out their duties. Staff medical clearances are Not maintained by child care service.,50.0,2,25.0
Gan Yisroel of Crown Heights,Initial Annual Inspection - Reinspection Required; Fines pending,ALL AGE CAMP,Camp,Commercial building regularly cleaned; kept clean and in good repair; kept free of overcrowding.,50.0,2,25.0
"OUR CHILDREN FIRST, INC",,PRESCHOOL,GDC,"Epi auto injector Not provided, Not maintained or expired.",40.0,2,20.0
CREATIVE DISCOVERY PRE-SCHOOL,Initial Annual Inspection - Reinspection Required; Fines pending,PRESCHOOL,GDC,At time of inspection it was determined that child care service allows staff to perform their duties that are Not healthy or are incapable of carrying out their duties. Staff medical clearances are Not maintained by child care service.,33.3334,2,16.6667
JOY DAYCARE INC.,Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection,PRESCHOOL,GDC,There were no new violations observed at the time of this inspection/visit.,25.0,1,25.0
Beanstalk Academy,Monitoring Inspection Non-Routine - Reinspection Required; Violations corrected at time of inspection,PRESCHOOL,GDC,Child care service failed to Notify DOHMH within 24 hours of child with vaccine preventable illness; meningitis or TB or incidence of disease outbreak.,20.0,1,20.0
"NORTHEAST BRONX DAY CARE CENTER, INC.",Monitoring Inspection Non-Routine - Reinspection Required; Program closed,PRESCHOOL,GDC,"Child care service failed to Notify DOHMH within 24 hours of child abuse allegation/indication or record of criminal activity of individuals associated with child care service; serious injury, death or loss of a child.",0.0,2,0.0
BSDC INC,Initial Annual Inspection - Reinspection Not Required,INFANT TODDLER,GDC,At time of inspection it was determined that child care service allows staff to perform their duties that are Not healthy or are incapable of carrying out their duties. Staff medical clearances are Not maintained by child care service.,0.0,2,0.0
