pivot-metric,pivot-value,time_first_observed,days_parking_in_effect,violation_precinct,date_first_observed,house_number,from_hours_in_effect,meter_number,violation_post_code
unregistered_vehicle,,,YYYYYYY,42,0,412,,,A 21
plate_id,GWJ6607,,YYYYYYY,102,0,87-48,,,34 4
unregistered_vehicle,,1225P,Y,20,20161222,685,0900A,103-8125,49 7
plate_id,83499ME,,YYYYYBB,1,0,11,0800A,-,
unregistered_vehicle,,,Y,14,0,601,0700A,,02 6
unregistered_vehicle,0.0,,BBBBBBB,62,0,8806,ALL,-,
unregistered_vehicle,,,YYYYY,14,0,200,0600A,,30
plate_id,HEJ4114,,YYYYYYY,102,0,86-11,,,36 4
unregistered_vehicle,,,Y  Y,52,0,3544,0830A,,08
unregistered_vehicle,,0900A,YYYYY,1,0,151,0700A,,014
unregistered_vehicle,,,YYYYYYY,52,0,2543,,,31
unregistered_vehicle,,,Y,67,0,1048,0830A,,C
unregistered_vehicle,,,Y  Y,63,0,2525,0300A,,A
unregistered_vehicle,0.0,,BBBBBBB,18,0,313,ALL,-,
unregistered_vehicle,,,YYYYYYY,104,0,67-08,,,C 42
plate_id,26796ME,,YYYYYYY,43,0,2262,0900P,,A
unregistered_vehicle,,,Y,13,0,57,0900A,,99
plate_id,FHM9777,,,0,0,,,,
unregistered_vehicle,0.0,,BBBBBBB,75,0,,ALL,-,
unregistered_vehicle,,,YYYYYYY,14,0,523,,,17
unregistered_vehicle,,,YYYYYYY,33,0,N,,,01
unregistered_vehicle,,,,0,0,,,,
unregistered_vehicle,,,,0,0,,,,
unregistered_vehicle,,,,0,0,,,,
plate_id,HNH6762,,YYYYYYY,79,0,414,,,CC2
plate_id,55036MB,,,23,0,445,,,CC1
plate_id,HPZ3481,,YYYYYYY,103,0,10412,,,H
unregistered_vehicle,,,YYYYYYY,19,0,344,,,29
unregistered_vehicle,,,,0,0,,,,
plate_id,PREWIRED,,,0,0,,,,
plate_id,HNH1483,,YYYYY,13,0,135,0800A,,01
plate_id,GTX1730,,YYYYYYY,18,0,153,,,26
unregistered_vehicle,,,,0,0,,,,
unregistered_vehicle,0.0,,BBBBBBB,13,0,175,ALL,-,
unregistered_vehicle,,,YYYYYYY,115,0,35-50,,,20
unregistered_vehicle,,,Y,13,0,12,0700A,,99 6
unregistered_vehicle,,,Y YY,77,0,907,0800A,,I
unregistered_vehicle,,,YYYYYYY,28,0,113,0700A,,01 7
unregistered_vehicle,,0110P,Y,115,20170511,N,0900A,412-2352,23-P
unregistered_vehicle,0.0,,BBBBBBB,49,0,2181,ALL,-,
plate_id,HEZ3837,,,0,0,,,,
plate_id,4ZLW60,,BBBBBBB,71,0,602,ALL,-,
unregistered_vehicle,,,,0,0,,,,
unregistered_vehicle,,,YYYYY,18,0,45,0700A,,14
plate_id,CWN3240,,,0,0,,,,
unregistered_vehicle,,,YYYYYYY,112,0,88-55,,,X 42
plate_id,GZJ8527,,,0,0,,,,
unregistered_vehicle,0.0,,BBBBBBB,48,0,990,ALL,-,
unregistered_vehicle,,,,0,0,,,,
plate_id,T652286C,,YYYYYYY,61,0,N,,,19
plate_id,PDB2481,,Y,84,0,306,0830A,,05
plate_id,HFB1162,1001A,Y,112,0,89-08,0900A,417-3002,03
unregistered_vehicle,,0502P,Y,19,0,1296,1000A,119-3004,56 7
plate_id,AD20931,0110P,Y,115,20170511,N,0900A,412-2352,23-P
plate_id,GEL2381,,,0,0,,,,
unregistered_vehicle,,,Y,13,0,303,0830A,,A 17
unregistered_vehicle,,,Y Y Y,45,0,1370,1200A,,F 21
plate_id,872XZF,0130P,Y,46,0,2423,0900A,201-3011,44
unregistered_vehicle,,,YYYYYYY,103,0,89-12,,,02 6
plate_id,T691810C,,BBBBBBB,70,0,675,ALL,-,
plate_id,T717553C,,,0,0,,,,
unregistered_vehicle,,,Y  Y,71,0,732,1200A,,16
plate_id,GCN8238,,YYYYY,70,0,W,0800A,,25
unregistered_vehicle,,,YYYYYYY,110,0,N,0700A,,O
unregistered_vehicle,,,YYYYYYY,103,0,10412,,,H
plate_id,HGF2491,,,106,0,114-06,,,T
unregistered_vehicle,,,,0,0,,,,
plate_id,GHE8276,,YYYYYYY,114,0,36-19,,,28
plate_id,END2848,,BBBBBBB,0,0,350,ALL,-,
plate_id,HHM3716,,YYYYYY,14,0,S,,,64 6
plate_id,M187936,,BBBBYBB,40,0,809,1200A,-,
unregistered_vehicle,,,,0,0,,,,
unregistered_vehicle,0.0,,BBBBBBB,68,0,8301,ALL,-,
unregistered_vehicle,,,,0,0,,,,
plate_id,12861KA,,BBBBBBB,34,0,452,ALL,-,
plate_id,GGF8851,,YYYYYYY,20,0,168,,,25 7
unregistered_vehicle,,1200P,YYYYYYY,14,0,34,,,99 6
unregistered_vehicle,,,,0,0,,,,
plate_id,HHU2069,1214P,Y,114,0,29-24,0900A,423-3126,29 4
unregistered_vehicle,,,,0,0,,,,
plate_id,0XZ5886,,Y,14,0,601,0700A,,02 6
unregistered_vehicle,,,Y  Y,114,0,31-19,0830A,,25 4
plate_id,57944MC,,,84,0,W,,,01 3
plate_id,83403MG,0944A,Y,19,20170331,878,0830A,118-3019,25
plate_id,GPD7665,,,0,0,,,,
plate_id,HHK9497,,YYYYYYY,10,0,N,,,99
plate_id,4257A,,YYYYYYY,7,0,265,,,95
plate_id,AHO7519,0352P,Y,7,0,262,0900A,102-3011,53 1
plate_id,AM724V,,YYYYYYY,26,0,400,,,CC8
unregistered_vehicle,,0424P,Y,104,0,58-12,0830A,409-3053,26
plate_id,HCX7304,,,0,0,,,,
plate_id,56565MB,,YYYYY,13,0,297,0800A,,A
plate_id,KGB1948,,YYYYYYY,46,0,52,,,K
unregistered_vehicle,,,,0,0,,,,
plate_id,AN986X,,YYYYYYY,19,0,348,,,C
plate_id,GHF8800,,YYYYY,6,0,40,0830A,,34
plate_id,PT2561T,,BBBBBBB,75,0,,ALL,-,
unregistered_vehicle,,,Y,68,0,310,0830A,,21 3
unregistered_vehicle,,,YYYYY,6,0,40,0830A,,34
plate_id,FHB6956,,YYYYYYY,115,0,98-02,,,21 4
plate_id,HHX7732,,Y,103,0,89-09,0900A,,12 4
plate_id,55436ME,0900A,YYYYY,1,0,151,0700A,,014
plate_id,GHV3169,,Y,13,0,57,0900A,,99
unregistered_vehicle,,,Y,52,0,2615,0800A,,27 2
unregistered_vehicle,0.0,,BBBBBBB,70,0,675,ALL,-,
unregistered_vehicle,,0318P,Y,19,0,1065,0900A,118-3051,37
unregistered_vehicle,,,Y,114,0,49-19,0930A,,52-A
unregistered_vehicle,,,YYYYYYY,28,0,100,,,K 77
unregistered_vehicle,,,,0,0,,,,
