brooklyn_cooperatives_comparable_properties_boro_block_lot,brooklyn_cooperatives_comparable_properties_address,comparable_rental_1_distance_from_coop_in_miles,comparable_rental_3_gross_income_per_sqft,comparable_rental_1_building_classification,comparable_rental_3_year_built,comparable_rental_3_address,comparable_rental_3_distance_from_coop_in_miles,comparable_rental_3_expense_per_sqft,comparable_rental_3_boro_block_lot,comparable_rental_2_neighborhood,comparable_rental_1_gross_income_per_sqft,comparable_rental_2_market_value_per_sqft,comparable_rental_2_expense_per_sqft,comparable_rental_1_expense_per_sqft,comparable_rental_2_net_operating_income,brooklyn_cooperatives_comparable_properties_gross_income_per_sqft,brooklyn_cooperatives_comparable_properties_year_built,comparable_rental_1_total_units,brooklyn_cooperatives_comparable_properties_neighborhood,bbl,comparable_rental_3_market_value_per_sqft,comparable_rental_1_estimated_gross_income
3-05363-0061,"{'latitude': '40.635913733826', 'longitude': '-73.982957513381', 'human_address': '{""address"": ""1529 42 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.28,8.88,D7-ELEVATOR,1941,"{'latitude': '40.632825252381', 'longitude': '-73.98718146131', 'human_address': '{""address"": ""4813 15 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.34,3.99,3-05447-0001,BOROUGH PARK,11.35,23.6,6.11,6.58,196579.0,10.21,1927,37,BOROUGH PARK,3053630061.0,29.19,455703
3-01152-0071,"{'latitude': '40.677304523876', 'longitude': '-73.967033755846', 'human_address': '{""address"": ""285 PROSPECT PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.16, ,C1-WALK-UP, ,, , ,,PROSPECT HEIGHTS,23.12,103.03,9.66,8.6,121358.0,23.12,1931,24,PROSPECT HEIGHTS,3011520071.0, ,395799
3-05339-0001,"{'latitude': '40.644976817393', 'longitude': '-73.974090723692', 'human_address': '{""address"": ""205 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.15,12.29,D1-ELEVATOR,1941,"{'latitude': '40.639024358298', 'longitude': '-73.973590541227', 'human_address': '{""address"": ""402 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.33,6.34,3-05374-0041,OCEAN PARKWAY-NORTH,10.29,25.63,4.32,5.87,225105.0,10.29,1963,49,KENSINGTON,3053390001.0,37.72,577000
3-01081-0038,"{'latitude': '40.700682843989', 'longitude': '-73.987626216686', 'human_address': '{""address"": ""75 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.0,16.65,D1-ELEVATOR,1920,"{'latitude': '40.670711051002', 'longitude': '-73.977282710454', 'human_address': '{""address"": ""530 2 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.16,9.29,3-01078-0016,PARK SLOPE,21.97,67.45,7.15,7.73,341353.0,16.65,1920,41,PARK SLOPE,3011170001.0,53.26,903286
3-00216-0003,"{'latitude': '40.699999552323', 'longitude': '-73.993553888777', 'human_address': '{""address"": ""55 HICKS STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.08,31,C1-WALK-UP,1855,"{'latitude': '40.696843672932', 'longitude': '-73.995138882362', 'human_address': '{""address"": ""158 HICKS STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.25,10.33,3-00235-0061,BROOKLYN HEIGHTS,31.5,155.85,11.76,9.87,141495.0,31.5,1900,12,BROOKLYN HEIGHTS,3002160003.0,154.45,249926
3-07323-0025,"{'latitude': '40.581677559705', 'longitude': '-73.987143456065', 'human_address': '{""address"": ""2060 19 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.1,10.68,D1-ELEVATOR,1941,"{'latitude': '40.602242302137', 'longitude': '-73.951850744408', 'human_address': '{""address"": ""2435 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.2,6,3-07299-0057,MADISON,13.7,25.22,5.31,7.29,283687.0,12.03,1964,64,MADISON,,28.96,703425
3-07397-0085,"{'latitude': '40.59419299503', 'longitude': '-73.958305402699', 'human_address': '{""address"": ""1200 GRAVESEND NECK ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.0,14.32,D1-ELEVATOR,1963,"{'latitude': '40.596520157961', 'longitude': '-73.953087891932', 'human_address': '{""address"": ""2222 18 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.31,7.83,3-07378-0078,SHEEPSHEAD BAY,14.18,39.92,7.18,7.42,276838.0,14.02,1963,135,SHEEPSHEAD BAY,3073970085.0,44.94,1767453
3-06485-0003,"{'latitude': '40.604044715252', 'longitude': '-74.016658740639', 'human_address': '{""address"": ""1511 INDEPENDENCE AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.24,11.24,C1-WALK-UP,1924,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""8609 BAY 16 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.64,6.52,3-06367-0037,BATH BEACH,9.9,42.98,7.03,5.45,105086.0,12.08,1950,48,BATH BEACH,3064850003.0,30.39,422895
3- 05356-0042,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""403 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.05,10.29,D1-ELEVATOR,1941,"{'latitude': '40.642985681151', 'longitude': '-73.973725132436', 'human_address': '{""address"": ""269 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.14,5.87,3-05358-0086,OCEAN PARKWAY-NORTH,11.21,32.44,6.49,6.1,331688.0,10.03,1915,54,OCEAN PARKWAY-NORTH,,26.47,576576
3-01083-0038,"{'latitude': '40.700601192899', 'longitude': '-73.986746247237', 'human_address': '{""address"": ""86 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.05,25.64,C1-WALK-UP,1920,"{'latitude': '40.668763180016', 'longitude': '-73.976608061272', 'human_address': '{""address"": ""525 4 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.05,12.1,3-01081-0001,PARK SLOPE,19.12,24.08,5.86,9.73,55294.0,19.12,1909,30,PARK SLOPE,3011170001.0,98.14,405315
3-06078-0031,"{'latitude': '40.623248417014', 'longitude': '-74.039927797595', 'human_address': '{""address"": ""8901 NARROWS AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.08,16.05,D1-ELEVATOR,1935,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""8802 RIDGE BOULEVARD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.16,7.71,3-06060-0032,BAY RIDGE,17.32,38.22,7.0,8.66,261724.0,16.05,1950,69,BAY RIDGE,3060780031.0,56.85,1156976
3-03384-0006,"{'latitude': '40.692988656805', 'longitude': '-73.912103090749', 'human_address': '{""address"": ""463 WILSON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.79,8.5,C1-WALK-UP,1931,"{'latitude': '40.69099145085', 'longitude': '-73.928380906498', 'human_address': '{""address"": ""984 GREENE AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.95,5.1,3-01622-0034,BUSHWICK,10.56,17.44,6.23,7.79,32083.0,8.5,1928,16,BUSHWICK,3033840006.0,20.29,106498
3-03367-0056,"{'latitude': '40.689515855583', 'longitude': '-73.917400167813', 'human_address': '{""address"": ""1149 PUTNAM AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",1.44, ,D1-ELEVATOR, ,, , ,,CYPRESS HILLS,10.98,26.03,6.06,5.93,187196.0,10.61,1935,154,BUSHWICK,3033670056.0, ,1437876
3-05928-0001,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""7423 RIDGE BOULEVARD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.15,13.16,D1-ELEVATOR,1930,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""7420 RIDGE BOULEVARD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.15,6.93,3-05927-0043,BAY RIDGE,15.16,43.91,7.94,7.01,319343.0,14.27,1957,43,BAY RIDGE,3059280001.0,38.17,410168
3-07475-0001,"{'latitude': '40.588605502802', 'longitude': '-73.939529242558', 'human_address': '{""address"": ""3901 NOSTRAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.98,16.09,D1-ELEVATOR,1972,"{'latitude': '40.583826901545', 'longitude': '-73.938072509694', 'human_address': '{""address"": ""3022 EMMONS AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.33,7.72,3-08815-0042,SHEEPSHEAD BAY,12.67,39.19,7.51,7.16,946318.0,13.43,1961,188,SHEEPSHEAD BAY,3074750001.0,57.05,2463389
3-07335-0068,"{'latitude': '40.601320559817', 'longitude': '-73.942029418662', 'human_address': '{""address"": ""3395 NOSTRAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.53,10.57,D1-ELEVATOR,1938,"{'latitude': '40.604842058267', 'longitude': '-73.952543946305', 'human_address': '{""address"": ""2330 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.65,6.08,3-06825-0033,MADISON,10.68,26.82,6.25,6.0,282457.0,10.68,1963,65,MADISON,3073350068.0,27.89,762224
3-08669-0073,"{'latitude': '40.577109737578', 'longitude': '-73.968021840707', 'human_address': '{""address"": ""3039 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.0,14.59,C1-WALK-UP,1928,"{'latitude': '40.578227413196', 'longitude': '-73.955681988431', 'human_address': '{""address"": ""3075 BRIGHTON 14 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.65,7.73,3-08717-0017,BRIGHTON BEACH,11.99,45.36,5.04,6.96,260872.0,11.99,1925,39,BRIGHTON BEACH,3086690073.0,47.38,407788
3-07554-0038,"{'latitude': '40.633515472022', 'longitude': '-73.951893160993', 'human_address': '{""address"": ""2610 GLENWOOD ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.0,13.19,D1-ELEVATOR,1926,"{'latitude': '40.615498826777', 'longitude': '-73.954358717978', 'human_address': '{""address"": ""1903 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",1.25,7.05,3-07674-0030,MIDWOOD,14.26,61.64,8.54,8.61,607629.0,13.71,1926,54,MIDWOOD,3075540038.0,40.8,631889
3-00202-0001,"{'latitude': '40.702594941505', 'longitude': '-73.993872166713', 'human_address': '{""address"": ""28 OLD FULTON STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.18,18.63,D1-ELEVATOR,1923,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""63 MONTAGUE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.47,7.87,3-00241-0011,BROOKLYN HEIGHTS,15.79,60.69,8.95,8.33,118734.0,15.79,1906,48,DOWNTOWN-FULTON FERRY,3002020001.0,77.32,744258
3-05374-0017,"{'latitude': '40.64040783717', 'longitude': '-73.97384433206', 'human_address': '{""address"": ""354 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.19, ,D1-ELEVATOR, ,, , ,,OCEAN PARKWAY-NORTH,12.45,37.72,6.34,6.96,344454.0,12.37,1941,98,OCEAN PARKWAY-NORTH,3053740017.0, ,1104660
3-07089-0062,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""2035 7 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.19,10.42,D1-ELEVATOR,1938,"{'latitude': '40.603601477319', 'longitude': '-73.966882440011', 'human_address': '{""address"": ""1850 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.22,4.5,3-06681-0440,MADISON,10.3,30.1,6.18,3.93,399602.0,10.42,1962,60,OCEAN PARKWAY-SOUTH,,26.37,735488
3-05392-0042,"{'latitude': '40.666324045453', 'longitude': '-73.980487963483', 'human_address': '{""address"": ""478 9 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.12,13.08,C1-WALK-UP,1924,"{'latitude': '40.64018980234', 'longitude': '-73.973191952819', 'human_address': '{""address"": ""363 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.2,6.28,3-05375-0077,OCEAN PARKWAY-NORTH,11.97,36.78,6.52,6.69,223357.0,12.32,1916,23,OCEAN PARKWAY-NORTH,,45.31,225945
3-05246-0001,"{'latitude': '40.633459543074', 'longitude': '-73.952823788604', 'human_address': '{""address"": ""2515 GLENWOOD ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.14, ,D1-ELEVATOR, ,, , ,, ,7.94,,,5.14,,7.94,1931,53,FLATBUSH-CENTRAL,3052460001.0, ,600021
3-06379-0050,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""30 BAY 29 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.05,14.01,D7-ELEVATOR,1960,"{'latitude': '40.600626681572', 'longitude': '-74.00244173821', 'human_address': '{""address"": ""8800 20 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.36,7.01,3-06441-0001,GRAVESEND,15.17,24.44,5.16,7.73,521948.0,10.0,1960,121,BATH BEACH,,46.06,1663239
3-01170-0001,"{'latitude': '40.673702710819', 'longitude': '-73.971439105265', 'human_address': '{""address"": ""50 PLAZA ST"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.15,14.57,D1-ELEVATOR,1936,"{'latitude': '40.676145109919', 'longitude': '-73.970860936377', 'human_address': '{""address"": ""214 STERLING PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.11,7.62,3-01169-0019,PROSPECT HEIGHTS,15.68,45.77,6.7,6.71,468560.0,14.57,1925,82,PROSPECT HEIGHTS,3011700001.0,44.35,1456913
3-00285-0010,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""122 ATLANTIC AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.05,19.31,C1-WALK-UP,1915,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""108 ATLANTIC AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.1,7.94,3-00284-0025,BROOKLYN HEIGHTS,29.04,168.25,13.45,13.63,274380.0,27.75,1900,16,COBBLE HILL,3002850010.0,81.46,232302
3-01178-0057,"{'latitude': '40.671662764939', 'longitude': '-73.958113616592', 'human_address': '{""address"": ""553 LINCOLN PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.0,18.76,C1-WALK-UP,1920,"{'latitude': '40.671963251969', 'longitude': '-73.959568191482', 'human_address': '{""address"": ""505 LINCOLN PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0,9.18,3-01178-0075,CROWN HEIGHTS,17.89,65.46,8.19,8.37,231647.0,11.45,1911,24,CROWN HEIGHTS,3011780057.0,68.79,392101
3-01283-0001,"{'latitude': '40.667936623711', 'longitude': '-73.948525962177', 'human_address': '{""address"": ""1238 PRESIDENT STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.74,12.35,D1-ELEVATOR,1904,"{'latitude': '40.680395646799', 'longitude': '-73.938436297983', 'human_address': '{""address"": ""15 ALBANY AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",1.06,7.67,3-01859-0006,BEDFORD STUYVESANT,12.97,30.47,6.22,6.11,866262.0,12.35,1972,16,CROWN HEIGHTS,3012830001.0,29.64,198182
3-05095-0001,"{'latitude': '40.646674618568', 'longitude': '-73.966301486921', 'human_address': '{""address"": ""1409 ALBEMARLE ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.21,11.01,D1-ELEVATOR,1937,"{'latitude': '40.64824817316', 'longitude': '-73.964756934013', 'human_address': '{""address"": ""105 BUCKINGHAM ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.13,5.53,3-05097-0060,FLATBUSH-CENTRAL,9.29,28.07,7.67,5.49,209273.0,9.99,1938,36,FLATBUSH-CENTRAL,3050950001.0,29.4,344855
3-08772-0022,"{'latitude': '40.57823742787', 'longitude': '-73.986193800974', 'human_address': '{""address"": ""2746 19 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.27, ,C1-WALK-UP, ,, , ,,BRIGHTON BEACH,14.76,47.38,7.73,7.73,172872.0,14.64,1931,43,SHEEPSHEAD BAY,, ,424037
3-00255-0025,"{'latitude': '40.69318493027', 'longitude': '-73.992900875876', 'human_address': '{""address"": ""99 CLINTON STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.11,25.72,C7-WALK-UP,1900,"{'latitude': '40.698338581365', 'longitude': '-73.993485624', 'human_address': '{""address"": ""71 PINEAPPLE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.39,10.7,3-00226-0031,BROOKLYN HEIGHTS,43.3,68.49,9.17,11.76,994444.0,16.86,1900,26,BROOKLYN HEIGHTS,3002550025.0,108.82,707275
3-00226-0018,"{'latitude': '40.69892539992', 'longitude': '-73.993146446758', 'human_address': '{""address"": ""72 ORANGE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.2, ,D1-ELEVATOR, ,, , ,,BROOKLYN HEIGHTS,21.52,77.38,7.87,9.52,432456.0,20.08,1938,36,BROOKLYN HEIGHTS,3002260018.0, ,555648
3-01803-0076,"{'latitude': '40.687095112153', 'longitude': '-73.949707782229', 'human_address': '{""address"": ""277 QUINCY STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.18, ,C1-WALK-UP, ,, , ,,BEDFORD STUYVESANT,14.53,22.87,5.62,6.16,57802.0,12.0,1931,15,BEDFORD STUYVESANT,3018030076.0, ,167366
3-00982-0025,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""404 3 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.8, ,C1-WALK-UP, ,, , ,,PARK SLOPE,17.88,67.41,9.24,6.12,104555.0,18.52,1931,16,PARK SLOPE,, ,210940
3-05268-0084,"{'latitude': '40.655404779649', 'longitude': '-73.974136379982', 'human_address': '{""address"": ""250 SEELEY STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.16, ,C7-WALK-UP, ,, , ,,FLATBUSH-CENTRAL,9.75,26.5,7.88,3.73,72351.0,10.99,1931,11,WINDSOR TERRACE,3052680084.0, ,168606
3-01179-0085,"{'latitude': '40.672919834928', 'longitude': '-73.966602342307', 'human_address': '{""address"": ""61 EASTERN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.0,19.94,D1-ELEVATOR,1920,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""781 WASHINGTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.17,11.07,3-01177-0007,PROSPECT HEIGHTS,18.2,26.61,6.42,9.64,218840.0,9.4,1930,23,PROSPECT HEIGHTS,3011790085.0,46.82,223227
3-03634-0001,"{'latitude': '40.654763762279', 'longitude': '-73.907978032491', 'human_address': '{""address"": ""1407 LINDEN BOULEVARD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.45, ,D9-ELEVATOR, ,, , ,,BROWNSVILLE,11.89,48.1,24.21,7.85,1383241.0,10.48,1958,264,BROWNSVILLE,3036340001.0, ,3554466
3-07238-0042,"{'latitude': '40.586355335546', 'longitude': '-73.966541318593', 'human_address': '{""address"": ""2610 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.05,15.19,D1-ELEVATOR,1963,"{'latitude': '40.590174016073', 'longitude': '-73.966647635164', 'human_address': '{""address"": ""20 OCEAN COURT"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.27,6.05,3-07199-0005,OCEAN PARKWAY-SOUTH,16.1,36.81,5.23,6.33,478059.0,15.19,1964,120,OCEAN PARKWAY-SOUTH,3072380042.0,62.82,1568445
3-03704-0029,"{'latitude': '40.673892923806', 'longitude': '-73.895379200226', 'human_address': '{""address"": ""236 NEW JERSEY AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.41,10.04,C1-WALK-UP,1930,"{'latitude': '40.666737326529', 'longitude': '-73.891585039971', 'human_address': '{""address"": ""733 DUMONT AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.5,5.57,3-03792-0001,CYPRESS HILLS,9.7,27.88,4.87,5.35,60843.0,9.7,1920,20,EAST NEW YORK,3037040029.0,25.44,172647
3-01103-0066,"{'latitude': '40.661945151575', 'longitude': '-73.981759390099', 'human_address': '{""address"": ""427 15 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.0,15.27,C1-WALK-UP,1905,"{'latitude': '40.665044773025', 'longitude': '-73.99207090051', 'human_address': '{""address"": ""210 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.06,7.96,3-01105-0041,PARK SLOPE,17.18,100.16,3.99,7.53,187927.0,17.18,1900,16,PARK SLOPE,,50.18,215424
3-06439-0052,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""208 BAY 22 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.0,13.52,C1-WALK-UP,1928,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""199 BAY 17 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.2,4.9,3-06435-0014,BATH BEACH,12.95,46.08,6.45,6.99,91936.0,12.52,1916,12,BATH BEACH,3064390052.0,57.04,180523
3-01158-0058,"{'latitude': '40.677011314451', 'longitude': '-73.970175717573', 'human_address': '{""address"": ""231 PARK PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3.23, ,C1-WALK-UP, ,, , ,,SUNSET PARK,23.62,61.37,5.28,15.53,126158.0,14.9,1982,16,PROSPECT HEIGHTS,3011580058.0, ,247067
3-02061-0040,"{'latitude': '40.69212888201', 'longitude': '-73.979054512296', 'human_address': '{""address"": ""122 ASHLAND PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.56, ,D3-ELEVATOR, ,, , ,,CLINTON HILL,12.92,18.03,5.81,7.48,326393.0,10.88,1958,29,FORT GREENE,3020610040.0, ,357895
3-00265-0001,"{'latitude': '40.691627803456', 'longitude': '-73.991443832969', 'human_address': '{""address"": ""75 LIVINGSTON STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.18,26.36,D7-ELEVATOR,2003,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""205 STATE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.14,11.38,3-00271-0001,BROOKLYN HEIGHTS,23.34,100.78,8.44,7.22,639422.0,20.85,1927,94,BROOKLYN HEIGHTS,3002650001.0,108.36,1704846
3-00291-0043,"{'latitude': '40.689228945323', 'longitude': '-73.996037447988', 'human_address': '{""address"": ""135 AMITY STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.0,33.86,C1-WALK-UP,1924,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""92 ATLANTIC AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.11,10.55,3-00284-0016,COBBLE HILL,29.04,110.57,11.51,13.63,131059.0,24.37,1901,16,COBBLE HILL,3002910043.0,172.92,232302
3-00226-0010,"{'latitude': '40.699061127288', 'longitude': '-73.993627204632', 'human_address': '{""address"": ""54 ORANGE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.16, ,D1-ELEVATOR, ,, , ,,BROOKLYN HEIGHTS,17.36,77.38,7.87,8.95,432456.0,18.0,1963,16,BROOKLYN HEIGHTS,3002260010.0, ,245070
3-00252-0008,"{'latitude': '40.694479152527', 'longitude': '-73.998450150256', 'human_address': '{""address"": ""2 GRACE COURT"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.14, ,D1-ELEVATOR, ,, , ,,BROOKLYN HEIGHTS,18.63,77.32,7.87,7.87,107298.0,11.16,1930,41,BROOKLYN HEIGHTS,, ,748577
3-01905-0001,"{'latitude': '40.692218661144', 'longitude': '-73.965658012154', 'human_address': '{""address"": ""185 HALL STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.43, ,D9-ELEVATOR, ,, , ,,CLINTON HILL,17.48,53.8,7.13,9.43,369435.0,16.26,1958,26,CLINTON HILL,3019050001.0, ,614880
3-03633-0001,"{'latitude': '40.654560763331', 'longitude': '-73.909356381919', 'human_address': '{""address"": ""1371 LINDEN BOULEVARD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.29,17.11,D1-ELEVATOR,1972,"{'latitude': '40.67175819078', 'longitude': '-73.896585767511', 'human_address': '{""address"": ""2060 PITKIN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",1.3,8.81,3-03737-0001,EAST NEW YORK,19.7,37.33,9.34,13.55,1378942.0,7.3,1962,385,BROWNSVILLE,3036330001.0,53.21,4837839
3-07253-0001,"{'latitude': '40.581204722363', 'longitude': '-73.967724227278', 'human_address': '{""address"": ""2830 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",0.87,18.55,D5-ELEVATOR,1975,"{'latitude': '40.575152880535', 'longitude': '-73.994259277938', 'human_address': '{""address"": ""2914 28 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",1.39,11.49,3-07052-0014,CONEY ISLAND,19.45,56.63,8.98,10.23,1428840.0,18.55,1962,63,CONEY ISLAND,3072530001.0,50.74,964944
