dbn,school_name,q3_i_feel_well_informed_by_1,q34_if_you_are_a_parent_1,q16_my_child_s_school_will_1,q20_the_principal_school,q5_staff_at_this_school_work,q24_how_satisfied_are_you_1,q43_if_you_are_a_parent,q37_if_you_are_a_parent,q17_at_this_school_my_child,q16_my_child_s_school_will,q26_how_satisfied_are_you_1,q25_how_satisfied_are_you_1,q17_at_this_school_my_child_1,q21_since_the_beginning_of_1,q35_if_you_are_a_parent,q40_if_you_are_a_parent,q38_if_you_are_a_parent,q43_if_you_are_a_parent_1,q22_since_the_beginning_of_1,q29_during_the_school_year,q39_if_you_are_a_parent_1,q30_during_the_school_year,q2_teachers_work_closely_1,q14_the_principal_school,q3_i_feel_well_informed_by,q7_my_child_s_school_1,q38_if_you_are_a_parent_1,q33_if_you_are_a_parent,q5_staff_at_this_school_work_1,q12_the_principal_school_1,q12_the_principal_school,q13_my_child_s_teachers_think_1,q31_which_of_the_following_1,total_parent_response_rate,q9_my_child_s_race_ethnicity,q31_which_of_the_following
02M305,"Urban Assembly Academy Of Government And Law, The",5%,5%,6%,100%,90%,0%,0%,,100%,94%,0%,20%,0%,14%,95%,0%,,0%,19%,52%,0%,81%,19%,100%,95%,0%,,0%,10%,0%,100%,11%,,0.06,100%,
16K005,P.S. 005 Dr. Ronald Mcnair,3%,0%,0%,100%,100%,0%,40%,100%,100%,100%,0%,3%,0%,0%,0%,100%,100%,60%,0%,77%,0%,93%,3%,97%,97%,0%,0%,83%,0%,0%,100%,0%,,0.15,100%,
06M314,Muscota,4%,0%,3%,98%,97%,1%,0%,97%,99%,97%,5%,11%,1%,15%,0%,0%,97%,0%,12%,98%,0%,98%,9%,98%,96%,1%,3%,98%,3%,2%,98%,3%,,0.57,99%,
04M555,Central Park East High School,1%,3%,5%,97%,96%,1%,0%,100%,100%,95%,4%,6%,0%,28%,96%,0%,80%,0%,18%,57%,0%,66%,11%,97%,99%,1%,20%,0%,4%,0%,100%,4%,,0.14,99%,
11X089,P.S. 089 Bronx,15%,0%,6%,90%,88%,16%,,60%,92%,94%,15%,29%,8%,6%,0%,,60%,,6%,71%,,91%,15%,90%,85%,3%,40%,80%,12%,7%,93%,3%,,0.02,94%,
12X057,P.S. 057 Crescent,1%,0%,1%,99%,99%,0%,100%,99%,99%,99%,4%,7%,1%,2%,0%,100%,95%,0%,3%,90%,0%,89%,2%,99%,99%,1%,5%,97%,1%,2%,98%,2%,,0.83,99%,
08X138,P.S. 138 Samuel Randall,8%,0%,9%,96%,92%,7%,71%,87%,95%,91%,5%,12%,5%,9%,0%,94%,84%,29%,7%,83%,6%,94%,11%,95%,92%,3%,16%,90%,8%,4%,96%,6%,,0.38,97%,
03M402,The Urban Assembly School For Green Careers,12%,0%,0%,100%,88%,0%,0%,,100%,100%,0%,0%,0%,0%,75%,0%,,0%,12%,88%,0%,100%,12%,88%,88%,0%,,0%,12%,0%,100%,0%,,0.03,100%,
12X047,P.S. 047 John Randolph,11%,0%,11%,94%,90%,5%,0%,90%,96%,89%,4%,10%,4%,7%,0%,0%,77%,0%,8%,69%,0%,91%,12%,90%,89%,7%,23%,90%,10%,7%,93%,8%,,0.32,95%,
02M411,Baruch College Campus High School,13%,8%,13%,91%,88%,7%,0%,89%,98%,87%,10%,21%,2%,38%,93%,0%,79%,0%,33%,80%,0%,80%,18%,88%,87%,1%,21%,0%,12%,10%,90%,12%,,0.28,93%,
17K548,Brooklyn School For Music & Theatre,10%,0%,0%,100%,100%,0%,0%,,89%,100%,0%,10%,11%,10%,90%,0%,,0%,0%,70%,0%,100%,10%,100%,90%,0%,,0%,0%,0%,100%,0%,,0.04,100%,
02M519,Talent Unlimited High School,7%,6%,8%,94%,89%,3%,0%,88%,99%,92%,6%,17%,1%,21%,95%,0%,75%,0%,22%,83%,0%,81%,13%,96%,93%,0%,25%,0%,11%,2%,98%,2%,,0.2,96%,
09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,18%,0%,11%,90%,88%,7%,0%,100%,93%,89%,6%,8%,7%,10%,0%,0%,89%,0%,14%,55%,0%,90%,14%,95%,82%,4%,11%,88%,12%,4%,96%,5%,,0.05,94%,
08X537,Bronx Arena High School,,,,,,,0%,0%,,,,,,,,0%,0%,0%,,,0%,,,,,,0%,0%,,,,,,0.02,,
10X228,Jonas Bronck Academy,6%,0%,4%,96%,95%,1%,0%,96%,96%,96%,1%,6%,4%,9%,0%,0%,96%,0%,8%,87%,0%,96%,8%,96%,94%,3%,4%,0%,5%,2%,98%,5%,,0.55,98%,
20K186,P.S. 186 Dr. Irving A Gladstone,2%,0%,4%,97%,96%,3%,0%,93%,98%,96%,2%,6%,2%,7%,0%,0%,93%,0%,6%,82%,0%,94%,5%,97%,98%,5%,7%,95%,4%,3%,97%,3%,,0.51,97%,
12X463,Urban Scholars Community School,4%,0%,0%,95%,100%,0%,91%,93%,95%,100%,0%,2%,5%,0%,0%,100%,80%,9%,4%,90%,0%,100%,0%,100%,96%,0%,20%,94%,0%,0%,100%,2%,,0.12,98%,
01M292,Orchard Collegiate Academy,7%,17%,7%,97%,93%,5%,0%,93%,100%,93%,8%,10%,0%,9%,90%,0%,77%,0%,16%,63%,0%,88%,7%,95%,93%,0%,23%,0%,7%,2%,98%,3%,,0.15,100%,
11X299,Astor Collegiate Academy,15%,8%,0%,92%,100%,8%,0%,,92%,100%,8%,8%,8%,15%,85%,0%,,0%,8%,77%,0%,77%,15%,92%,85%,0%,,0%,0%,8%,92%,0%,,0.03,92%,
12X217,School Of Performing Arts,2%,0%,3%,95%,98%,2%,0%,85%,100%,97%,6%,8%,0%,10%,0%,0%,82%,0%,17%,65%,0%,77%,4%,94%,98%,2%,18%,0%,2%,9%,91%,1%,,0.67,99%,
19K677,East New York Elementary School Of Excellence,7%,0%,13%,97%,93%,1%,80%,100%,92%,87%,4%,9%,8%,6%,0%,100%,94%,20%,7%,85%,0%,90%,7%,93%,93%,4%,6%,91%,7%,7%,93%,10%,,0.16,93%,
02M407,Institute For Collaborative Education,20%,31%,20%,85%,83%,16%,0%,62%,95%,80%,13%,24%,5%,20%,88%,0%,62%,0%,31%,98%,0%,96%,29%,83%,80%,6%,38%,0%,17%,17%,83%,21%,,0.1,92%,
04M610,Young Women'S Leadership School,5%,11%,2%,100%,96%,4%,0%,93%,100%,98%,0%,11%,0%,13%,81%,0%,93%,0%,15%,79%,0%,78%,15%,92%,95%,2%,7%,0%,4%,2%,98%,2%,,0.12,98%,
03M541,Manhattan / Hunter Science High School,6%,8%,7%,95%,89%,4%,0%,91%,99%,93%,8%,10%,1%,33%,89%,0%,82%,0%,28%,62%,0%,65%,13%,93%,94%,4%,18%,0%,11%,6%,94%,6%,,0.36,97%,
09X011,P.S. 011 Highbridge,0%,0%,0%,100%,100%,0%,,100%,100%,100%,6%,12%,0%,0%,0%,,100%,,6%,87%,,88%,6%,100%,100%,0%,0%,100%,0%,0%,100%,6%,,0.03,100%,
09X231,Eagle Academy For Young Men,4%,6%,7%,93%,89%,4%,0%,59%,100%,93%,19%,18%,0%,22%,89%,0%,65%,0%,13%,80%,0%,80%,20%,95%,96%,2%,35%,0%,11%,13%,87%,5%,,0.09,98%,
03M241,Stem Institute Of Manhattan,0%,0%,0%,96%,96%,4%,,88%,96%,100%,8%,4%,4%,8%,0%,,75%,,0%,64%,,88%,8%,96%,100%,0%,25%,95%,4%,0%,100%,0%,,0.23,100%,
14K478,"The High School For Enterprise, Business And Technology",17%,7%,7%,88%,85%,6%,0%,,94%,93%,9%,19%,6%,20%,95%,0%,,0%,22%,37%,0%,43%,14%,94%,83%,7%,,0%,15%,11%,89%,8%,,0.13,95%,
03M307,"Urban Assembly School For Media Studies, The",,,,,,,0%,,,,,,,,,0%,,0%,,,0%,,,,,,,0%,,,,,,0.01,,
14K132,P.S. 132 The Conselyea School,28%,0%,17%,74%,71%,16%,20%,94%,89%,83%,11%,24%,11%,10%,0%,80%,94%,80%,10%,80%,0%,96%,23%,69%,72%,13%,6%,76%,29%,28%,72%,8%,,0.17,84%,
19K662,Liberty Avenue Middle School,1%,0%,0%,100%,99%,0%,0%,100%,99%,100%,0%,0%,1%,9%,0%,0%,99%,0%,11%,28%,0%,31%,2%,100%,99%,0%,1%,0%,1%,1%,99%,0%,,0.88,100%,
20K205,P.S. 205 Clarion,4%,0%,4%,97%,97%,2%,81%,98%,98%,96%,3%,8%,2%,8%,0%,94%,94%,19%,4%,70%,6%,92%,5%,97%,96%,2%,6%,97%,3%,2%,98%,2%,,0.54,98%,
10X477,Marble Hill High School For International Studies,0%,0%,0%,93%,100%,0%,0%,,100%,100%,4%,7%,0%,7%,96%,0%,,0%,4%,82%,0%,68%,4%,100%,100%,0%,,0%,0%,4%,96%,0%,,0.06,100%,
17K397,P.S. 397 Foster-Laurie,0%,0%,0%,100%,100%,0%,89%,,100%,100%,0%,3%,0%,0%,0%,100%,,11%,0%,100%,0%,100%,0%,100%,100%,0%,,100%,0%,0%,100%,0%,,0.22,100%,
12X341,Accion Academy,2%,0%,2%,98%,100%,4%,0%,100%,95%,98%,2%,2%,5%,9%,0%,0%,75%,0%,9%,78%,0%,74%,4%,100%,98%,0%,25%,0%,0%,0%,100%,2%,,0.15,100%,
09X311,Lucero Elementary School,5%,0%,3%,98%,95%,1%,0%,96%,97%,97%,2%,5%,3%,5%,0%,0%,91%,0%,7%,86%,0%,95%,6%,95%,95%,3%,9%,95%,5%,3%,97%,5%,,0.69,98%,
15K684,Millennium Brooklyn Hs,4%,5%,5%,96%,97%,2%,0%,88%,98%,95%,3%,13%,2%,25%,94%,0%,84%,0%,26%,89%,0%,90%,14%,98%,96%,3%,16%,0%,3%,3%,97%,10%,,0.17,98%,
02M394,Emma Lazarus High School,2%,5%,3%,95%,97%,2%,0%,0%,96%,97%,1%,1%,4%,16%,96%,0%,0%,0%,18%,68%,0%,65%,2%,99%,98%,1%,0%,0%,3%,1%,99%,3%,,0.58,98%,
03M243,M.S. 243 Center School,8%,0%,3%,96%,93%,5%,0%,84%,98%,97%,4%,8%,2%,14%,0%,0%,84%,0%,10%,97%,0%,99%,15%,96%,92%,3%,16%,98%,7%,4%,96%,9%,,0.78,94%,
18K581,"The Middle School Of Media, Law And Fine Arts",18%,0%,14%,88%,86%,5%,0%,,89%,86%,11%,25%,11%,0%,0%,0%,,0%,18%,82%,0%,82%,18%,85%,82%,9%,,0%,14%,20%,80%,10%,,0.11,91%,
07X005,P.S. 5 Port Morris,9%,0%,6%,93%,92%,4%,95%,92%,96%,94%,5%,7%,4%,8%,0%,95%,90%,5%,10%,70%,5%,85%,8%,91%,91%,5%,10%,84%,8%,8%,92%,6%,,0.33,95%,
09X117,I.S. 117 Joseph H. Wade,2%,0%,2%,98%,98%,0%,0%,100%,98%,98%,0%,0%,2%,3%,0%,0%,100%,0%,2%,91%,0%,95%,3%,99%,98%,2%,0%,0%,2%,1%,99%,1%,,0.3,99%,
11X097,P.S. 097 Bronx,11%,0%,4%,96%,93%,5%,,100%,98%,96%,2%,6%,2%,5%,0%,,100%,,4%,81%,,94%,7%,93%,89%,5%,0%,95%,7%,6%,94%,4%,,0.23,94%,
14K196,P.S. 196 Ten Eyck,2%,0%,2%,98%,98%,2%,83%,91%,100%,98%,0%,2%,0%,2%,0%,100%,100%,17%,2%,97%,0%,95%,0%,98%,98%,2%,0%,94%,2%,2%,98%,0%,,0.2,100%,
16K628,Brooklyn Brownstone School,0%,0%,1%,100%,99%,0%,94%,99%,100%,99%,1%,1%,0%,0%,0%,100%,97%,6%,1%,100%,0%,100%,1%,99%,100%,0%,3%,99%,1%,1%,99%,0%,,0.97,100%,
02M130,P.S. 130 Hernando De Soto,2%,0%,4%,99%,97%,2%,95%,99%,99%,96%,5%,12%,1%,9%,0%,100%,99%,5%,7%,85%,0%,95%,6%,99%,98%,0%,1%,97%,3%,2%,98%,3%,,0.57,98%,
05M362,Columbia Secondary School,9%,7%,20%,89%,84%,5%,0%,36%,98%,80%,7%,24%,2%,29%,91%,0%,55%,0%,18%,91%,0%,90%,23%,81%,91%,3%,45%,0%,16%,12%,88%,11%,,0.16,96%,
02M475,Stuyvesant High School,5%,5%,13%,96%,92%,5%,0%,73%,99%,87%,5%,11%,1%,39%,94%,0%,80%,0%,25%,76%,0%,67%,20%,95%,95%,3%,20%,0%,8%,4%,96%,11%,,0.35,95%,
11X290,Bronx Academy Of Health Careers,16%,9%,15%,94%,83%,11%,0%,73%,91%,85%,12%,19%,9%,28%,87%,0%,82%,0%,24%,78%,0%,62%,25%,94%,84%,7%,18%,0%,17%,7%,93%,4%,,0.21,93%,
08X152,P.S. 152 Evergreen,11%,0%,6%,88%,89%,10%,,86%,100%,94%,2%,10%,0%,11%,0%,,86%,,19%,73%,,84%,10%,88%,89%,5%,14%,88%,11%,11%,89%,3%,,0.19,98%,
19K660,W. H. Maxwell Career And Technical Education High School,18%,7%,9%,91%,81%,5%,0%,77%,93%,91%,6%,7%,7%,23%,85%,0%,54%,0%,15%,58%,0%,58%,23%,90%,82%,11%,46%,0%,19%,10%,90%,15%,,0.18,93%,
15K676,Red Hook Neighborhood School,3%,0%,3%,97%,97%,0%,86%,94%,94%,97%,0%,0%,6%,5%,0%,86%,88%,14%,18%,73%,0%,92%,5%,97%,97%,3%,12%,100%,3%,3%,97%,3%,,0.36,97%,
03M084,P.S. 084 Lillian Weber,23%,0%,10%,90%,81%,18%,62%,88%,98%,90%,6%,15%,2%,8%,0%,89%,93%,38%,6%,86%,5%,96%,12%,77%,77%,6%,7%,93%,19%,19%,81%,4%,,0.65,95%,
11X418,Bronx High School For The Visual Arts,12%,10%,5%,89%,90%,8%,0%,100%,100%,95%,10%,12%,0%,24%,90%,0%,89%,0%,10%,69%,0%,74%,5%,97%,88%,5%,11%,0%,10%,5%,95%,14%,,0.09,100%,
17K546,High School For Public Service: Heroes Of Tomorrow,9%,5%,10%,93%,95%,5%,0%,82%,92%,90%,3%,7%,8%,23%,91%,0%,80%,0%,15%,68%,0%,77%,9%,94%,91%,5%,20%,0%,5%,6%,94%,9%,,0.13,94%,
02M529,Jacqueline Kennedy Onassis High School,8%,3%,3%,97%,94%,3%,0%,100%,97%,97%,11%,9%,3%,11%,94%,0%,100%,0%,5%,56%,0%,68%,14%,97%,92%,6%,0%,0%,6%,6%,94%,6%,,0.19,97%,
15K442,M.S. 442 Carroll Gardens School For Innovation,11%,0%,12%,93%,86%,8%,0%,81%,97%,88%,2%,7%,3%,15%,0%,0%,73%,0%,21%,84%,0%,92%,16%,94%,89%,2%,27%,0%,14%,4%,96%,7%,,0.24,93%,
21K216,P.S. 216 Arturo Toscanini,5%,0%,3%,97%,97%,5%,82%,97%,95%,97%,4%,7%,5%,8%,0%,100%,95%,18%,5%,87%,0%,95%,3%,97%,95%,3%,5%,95%,3%,1%,99%,3%,,0.23,98%,
13K301,Satellite East Middle School,12%,0%,0%,100%,100%,0%,0%,,100%,100%,0%,0%,0%,25%,0%,0%,,0%,0%,88%,0%,100%,12%,86%,88%,0%,,0%,0%,0%,100%,0%,,0.1,100%,
05M036,P.S. 036 Margaret Douglas,0%,0%,0%,100%,100%,0%,,,100%,100%,14%,0%,0%,0%,0%,,,,14%,57%,,100%,14%,100%,100%,0%,,100%,0%,0%,100%,0%,,0.02,100%,
10X386,School For Environmental Citizenship,14%,0%,11%,86%,86%,15%,50%,100%,93%,89%,5%,15%,7%,10%,0%,100%,92%,50%,5%,81%,0%,95%,8%,89%,86%,5%,8%,89%,14%,14%,86%,9%,,0.13,91%,
13K270,P.S. 270 Johann Dekalb,,0%,,,,,0%,,,,,,,,0%,0%,,0%,,,0%,,,,,,,,,,,,,0.02,,
13K439,Brooklyn International High School,5%,0%,8%,99%,97%,0%,0%,,100%,92%,0%,1%,0%,5%,100%,0%,,0%,12%,66%,0%,85%,7%,99%,95%,1%,,0%,3%,1%,99%,2%,,0.22,99%,
19K938,P.S. 938,2%,0%,0%,100%,98%,0%,88%,100%,100%,100%,2%,2%,0%,7%,0%,100%,100%,12%,0%,85%,0%,93%,5%,100%,98%,0%,0%,93%,2%,0%,100%,0%,,0.71,100%,
08X367,"Archimedes Academy For Math, Science And Technology Applications",16%,25%,9%,91%,83%,13%,0%,100%,94%,91%,11%,25%,6%,33%,75%,0%,83%,0%,8%,72%,0%,72%,12%,95%,84%,4%,17%,0%,17%,4%,96%,0%,,0.04,96%,
13K350,Urban Assembly School Of Music And Art,8%,10%,0%,100%,100%,8%,0%,,100%,100%,0%,0%,0%,8%,75%,0%,,0%,8%,83%,0%,83%,17%,100%,92%,0%,,0%,0%,0%,100%,0%,,0.08,100%,
11X178,P.S. 178 - Dr. Selman Waksman,8%,0%,8%,92%,88%,10%,57%,79%,95%,92%,1%,9%,5%,5%,0%,100%,83%,43%,2%,89%,0%,92%,12%,86%,92%,5%,17%,90%,12%,9%,91%,6%,,0.31,95%,
08X293,Renaissance High School For Musical Theater And The Arts,7%,11%,5%,94%,90%,5%,0%,87%,95%,95%,5%,4%,5%,9%,91%,0%,80%,0%,10%,60%,0%,65%,11%,94%,93%,4%,20%,0%,10%,3%,97%,7%,,0.17,97%,
20K939,Sunset School Of Cultural Learning,2%,0%,2%,98%,97%,0%,0%,91%,97%,98%,0%,2%,3%,6%,0%,0%,91%,0%,3%,82%,0%,92%,3%,98%,98%,2%,9%,98%,3%,2%,98%,4%,,0.98,98%,
12X286,Fannie Lou Hamer Middle School,3%,0%,8%,97%,98%,1%,0%,92%,98%,92%,4%,11%,2%,9%,0%,0%,100%,0%,11%,77%,0%,89%,5%,95%,97%,1%,0%,0%,2%,4%,96%,4%,,0.62,98%,
21K098,I.S. 98 Bay Academy,8%,0%,6%,90%,91%,3%,0%,100%,97%,94%,8%,18%,3%,23%,0%,0%,100%,0%,11%,64%,0%,75%,14%,92%,92%,3%,0%,0%,9%,7%,93%,6%,,0.1,91%,
09X204,P.S. 204 Morris Heights,3%,0%,2%,99%,97%,1%,100%,98%,98%,98%,2%,2%,2%,3%,0%,100%,97%,0%,4%,87%,0%,95%,4%,98%,97%,1%,3%,97%,3%,1%,99%,2%,,0.56,98%,
11X483,The Matilda Avenue School,0%,0%,1%,100%,100%,1%,0%,100%,98%,99%,1%,2%,2%,2%,0%,0%,93%,0%,6%,61%,0%,78%,3%,99%,100%,2%,7%,97%,0%,1%,99%,3%,,0.92,98%,
07X551,The Urban Assembly Bronx Academy Of Letters,29%,0%,15%,91%,93%,14%,0%,,100%,85%,8%,21%,0%,21%,78%,0%,,0%,21%,77%,0%,100%,14%,100%,71%,0%,,0%,7%,0%,100%,0%,,0.02,100%,
03M479,Beacon High School,9%,11%,17%,95%,84%,11%,0%,86%,96%,83%,7%,17%,4%,43%,90%,0%,79%,0%,33%,91%,0%,94%,29%,94%,91%,5%,21%,0%,16%,5%,95%,20%,,0.16,92%,
10X207,P.S. 207,9%,0%,4%,95%,93%,6%,53%,91%,95%,96%,4%,10%,5%,10%,0%,83%,93%,47%,12%,64%,6%,86%,9%,93%,91%,2%,7%,91%,7%,5%,95%,3%,,0.93,98%,
12X248,"Metropolitan High School, The",0%,12%,12%,100%,86%,14%,0%,,100%,88%,0%,0%,0%,0%,88%,0%,,0%,12%,62%,0%,62%,12%,100%,100%,0%,,0%,14%,0%,100%,0%,,0.06,100%,
02M051,P.S. 051 Elias Howe,4%,0%,11%,96%,98%,2%,75%,100%,100%,89%,0%,9%,0%,8%,0%,88%,75%,25%,8%,82%,0%,90%,4%,88%,96%,0%,25%,95%,2%,10%,90%,2%,,0.11,98%,
18K068,I.S. 068 Isaac Bildersee,0%,0%,0%,100%,100%,0%,0%,,100%,100%,0%,0%,0%,0%,0%,0%,,0%,0%,89%,0%,100%,0%,100%,100%,0%,,0%,0%,0%,100%,0%,,0.04,100%,
09X170,P.S. 170,1%,0%,1%,99%,98%,1%,100%,97%,98%,99%,0%,1%,2%,1%,0%,100%,94%,0%,2%,98%,0%,95%,1%,99%,99%,2%,6%,98%,2%,1%,99%,1%,,0.69,99%,
15K154,The Windsor Terrace School,5%,0%,7%,95%,94%,2%,0%,88%,96%,93%,3%,7%,4%,10%,0%,0%,85%,0%,5%,82%,0%,98%,10%,95%,95%,2%,15%,94%,6%,4%,96%,5%,,0.45,95%,
11X106,P.S. 106 Parkchester,6%,0%,6%,97%,93%,5%,90%,92%,96%,94%,3%,7%,4%,8%,0%,100%,90%,10%,4%,59%,0%,92%,7%,94%,94%,3%,10%,93%,7%,4%,96%,4%,,0.38,97%,
12X195,P.S. 195,5%,0%,7%,94%,97%,5%,,95%,95%,93%,9%,11%,5%,8%,0%,,95%,,6%,86%,,97%,6%,94%,95%,3%,5%,93%,3%,5%,95%,3%,,0.08,97%,
14K586,Lyons Community School,0%,0%,0%,96%,100%,0%,0%,100%,100%,100%,0%,0%,0%,10%,94%,0%,100%,0%,7%,76%,0%,93%,3%,97%,100%,0%,0%,0%,0%,3%,97%,4%,,0.08,100%,
20K069,P.S. 69 Vincent D. Grippo School,2%,0%,3%,99%,98%,2%,0%,98%,99%,97%,2%,8%,1%,13%,0%,0%,100%,0%,5%,81%,0%,94%,5%,97%,98%,1%,0%,97%,2%,1%,99%,2%,,0.49,99%,
02M393,Business Of Sports School,0%,4%,8%,100%,92%,0%,0%,88%,100%,92%,0%,5%,0%,12%,92%,0%,88%,0%,20%,80%,0%,76%,12%,92%,100%,4%,12%,0%,8%,0%,100%,14%,,0.06,100%,
09X232,I.S. 232,1%,0%,1%,99%,100%,0%,0%,98%,99%,99%,0%,2%,1%,2%,0%,0%,96%,0%,2%,84%,0%,94%,2%,99%,99%,0%,4%,0%,0%,0%,100%,1%,,0.71,100%,
06M187,P.S./I.S. 187 Hudson Cliffs,12%,0%,10%,97%,91%,7%,91%,95%,97%,90%,7%,16%,3%,14%,0%,91%,90%,9%,8%,76%,9%,93%,17%,94%,88%,3%,10%,95%,9%,5%,95%,7%,,0.44,95%,
08X146,P.S. 146 Edward Collins,10%,0%,6%,96%,93%,1%,69%,92%,97%,94%,4%,6%,3%,10%,0%,92%,82%,31%,12%,85%,0%,84%,7%,95%,90%,6%,18%,92%,7%,11%,89%,6%,,0.49,95%,
04M375,Mosaic Preparatory Academy,0%,0%,4%,96%,100%,0%,100%,100%,100%,96%,0%,0%,0%,3%,0%,100%,100%,0%,0%,82%,0%,89%,0%,93%,100%,0%,0%,100%,0%,4%,96%,0%,,0.14,96%,
17K006,Norma Adams Clemons Academy,10%,0%,20%,90%,80%,18%,,,100%,80%,9%,18%,0%,0%,0%,,,,0%,91%,,82%,0%,80%,90%,10%,,100%,20%,20%,80%,0%,,0.02,91%,
11X083,P.S. 083 Donald Hertz,9%,0%,7%,96%,92%,6%,0%,93%,95%,93%,6%,11%,5%,13%,0%,0%,88%,0%,6%,59%,0%,76%,14%,95%,91%,2%,12%,86%,8%,4%,96%,4%,,0.19,95%,
09X564,Claremont International Hs,0%,0%,0%,100%,93%,0%,0%,,85%,100%,0%,0%,15%,7%,92%,0%,,0%,14%,100%,0%,93%,0%,100%,100%,14%,,0%,7%,0%,100%,0%,,0.04,100%,
19K583,Multicultural High School,,,,,,,0%,0%,,,,,,,,0%,0%,0%,,,0%,,,,,,0%,0%,,,,,,0.01,,
20K192,P.S. 192 - The Magnet School For Math And Science Inquiry,6%,0%,4%,98%,93%,4%,67%,96%,97%,96%,4%,11%,3%,12%,0%,83%,95%,33%,9%,74%,0%,90%,6%,97%,94%,4%,5%,96%,7%,4%,96%,4%,,0.54,97%,
09X058,P.S. 058,29%,0%,28%,68%,70%,25%,25%,62%,72%,72%,25%,24%,28%,13%,0%,25%,57%,75%,12%,87%,75%,94%,29%,70%,71%,23%,43%,92%,30%,30%,70%,25%,,0.2,75%,
07X427,Community School For Social Justice,7%,4%,0%,100%,93%,0%,0%,100%,100%,100%,12%,18%,0%,7%,93%,0%,100%,0%,4%,78%,0%,100%,7%,96%,93%,4%,0%,0%,7%,2%,98%,2%,,0.14,96%,
15K429,Digital Arts And Cinema Technology High School,6%,13%,6%,98%,92%,2%,0%,100%,97%,94%,0%,6%,3%,13%,87%,0%,100%,0%,15%,81%,0%,70%,13%,94%,94%,8%,0%,0%,8%,8%,92%,2%,,0.16,96%,
11X105,P.S. 105 Sen Abraham Bernstein,4%,0%,5%,97%,93%,5%,,82%,100%,95%,2%,9%,0%,9%,0%,,82%,,9%,70%,,87%,9%,95%,96%,4%,18%,94%,7%,7%,93%,7%,,0.05,93%,
19K224,P.S. 224 Hale A. Woodruff,2%,0%,1%,100%,98%,0%,100%,100%,100%,99%,0%,0%,0%,1%,0%,100%,100%,0%,2%,98%,0%,98%,1%,99%,98%,0%,0%,100%,2%,1%,99%,1%,,0.93,100%,
02M933,City Knoll Middle School,29%,0%,5%,93%,85%,11%,0%,,100%,95%,11%,11%,0%,29%,0%,0%,,0%,29%,52%,0%,86%,24%,94%,71%,5%,,0%,15%,10%,90%,22%,,0.16,90%,
19K404,Academy For Young Writers,7%,11%,0%,100%,93%,7%,0%,,100%,100%,8%,14%,0%,7%,89%,0%,,0%,0%,86%,0%,93%,7%,93%,93%,7%,,0%,7%,0%,100%,0%,,0.03,100%,
10X243,West Bronx Academy For The Future,7%,0%,0%,84%,89%,0%,0%,86%,83%,100%,4%,12%,17%,7%,100%,0%,86%,0%,7%,93%,0%,89%,11%,100%,93%,7%,14%,0%,11%,4%,96%,0%,,0.04,96%,
10X340,P.S. 340,0%,0%,0%,100%,98%,2%,,92%,100%,100%,0%,0%,0%,0%,0%,,85%,,5%,93%,,95%,0%,100%,100%,0%,15%,98%,2%,0%,100%,0%,,0.11,100%,
20K170,Ralph A. Fabrizio School,1%,0%,1%,99%,99%,1%,0%,98%,99%,99%,1%,2%,1%,3%,0%,0%,98%,0%,1%,88%,0%,97%,1%,99%,99%,1%,2%,99%,1%,1%,99%,1%,,1.0,99%,
09X303,I.S. X303 Leadership & Community Service,3%,0%,4%,96%,94%,2%,0%,99%,95%,96%,1%,2%,5%,7%,0%,0%,94%,0%,12%,81%,0%,94%,6%,96%,97%,2%,6%,0%,6%,3%,97%,5%,,0.83,97%,
06M324,M.S. 324 - Patria Mirabal,9%,0%,0%,90%,91%,10%,0%,,90%,100%,9%,10%,10%,27%,0%,0%,,0%,27%,91%,0%,82%,0%,91%,91%,0%,,0%,9%,9%,91%,0%,,0.04,100%,
18K211,I.S. 211 John Wilson,20%,0%,20%,80%,80%,20%,0%,,,80%,20%,20%,,20%,0%,0%,,0%,0%,60%,0%,40%,20%,80%,80%,0%,,0%,20%,20%,80%,20%,,0.02,100%,
02M124,P.S. 124 Yung Wing,3%,0%,3%,97%,96%,1%,76%,98%,99%,97%,2%,10%,1%,8%,0%,100%,95%,24%,4%,81%,3%,96%,5%,97%,97%,2%,5%,99%,4%,2%,98%,2%,,0.82,98%,
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,12%,0%,7%,100%,94%,0%,0%,100%,100%,93%,6%,6%,0%,6%,100%,0%,100%,0%,12%,75%,0%,100%,0%,100%,88%,0%,0%,0%,6%,0%,100%,0%,,0.04,100%,
09X219,I.S. 219 New Venture School,5%,0%,3%,97%,97%,1%,0%,97%,99%,97%,3%,5%,1%,8%,0%,0%,93%,0%,17%,67%,0%,86%,8%,97%,95%,1%,7%,0%,3%,1%,99%,5%,,0.58,98%,
10X054,P.S./I.S. 54,9%,0%,6%,93%,93%,5%,76%,92%,95%,94%,6%,8%,5%,8%,0%,100%,89%,24%,9%,89%,0%,95%,7%,93%,91%,5%,11%,91%,7%,6%,94%,4%,,0.91,94%,
10X439,Bronx High School For Law And Community Service,0%,0%,0%,90%,100%,10%,0%,,100%,100%,0%,0%,0%,0%,100%,0%,,0%,0%,90%,0%,80%,0%,100%,100%,0%,,0%,0%,0%,100%,0%,,0.03,100%,
