bike_store_6,residence_rent_own,scooter_typical_charge_1,diary_platform,reduced_bike_1,increased_veh_5,bike_store_2,r_num_vehicles,increased_bike_997,increased_bike_1,packages,reduced_veh_2,ev_purchase_barriers_1,increased_veh_8,increased_bike_2,increased_veh_6,ev_purchase_barriers_3,participation_group,reduced_veh_3,scooter_typical_charge_6,bike_store_9,ev_typical_charge_7,scooter_typical_charge_5,num_vehicles,bike_store_3,ev_typical_charge_4,ev_typical_charge_2,hh_weight,reduced_veh_997
995,2,995,rmove,995,995,995,0,995,995,2,995,995,995,995,995,995,9,995,995,995,995,995,0,995,995,995,836.794963,995
995,1,995,rmove,995,995,995,0,995,995,1,995,995,995,995,995,995,9,995,995,995,995,995,0,995,995,995,209.8070585,995
995,2,995,rmove,995,995,995,0,995,995,2,995,995,995,995,995,995,9,995,995,995,995,995,0,995,995,995,177.2315699,995
995,2,995,rmove,0,995,995,0,995,995,1,995,995,995,995,995,995,9,995,995,995,995,995,0,995,995,995,1566.682995,995
995,2,995,call,995,995,995,0,995,995,997,995,995,995,995,995,995,5,995,995,995,995,995,0,995,995,995,177.3318217,995
995,4,995,rmove,995,995,995,1,995,995,2,995,995,995,995,995,995,9,995,995,995,995,995,1,995,995,995,2318.975043,995
995,4,995,rmove,995,995,995,1,995,995,2,995,0,995,995,995,0,9,995,995,995,995,995,1,995,995,995,151.3776901,995
995,1,995,browser,995,995,995,0,995,995,1,995,995,995,995,995,995,1,995,995,995,995,995,0,995,995,995,203.9158187,995
995,2,995,rmove,995,995,995,0,995,995,2,995,995,995,995,995,995,9,995,995,995,995,995,0,995,995,995,2773.874233,995
995,2,995,rmove,995,995,995,0,995,995,4,995,995,995,995,995,995,9,995,995,995,995,995,0,995,995,995,259.4026153,995
0,1,995,rmove,0,1,1,2,995,995,2,995,995,0,995,1,995,9,995,995,0,995,995,2,0,995,995,3113.791269,995
995,2,995,browser,995,995,995,1,995,995,1,995,995,995,995,995,995,1,995,995,995,995,995,1,995,995,995,4718.499825,995
995,2,995,call,995,995,995,0,995,995,997,995,995,995,995,995,995,5,995,995,995,995,995,0,995,995,995,217.2901104,995
0,2,995,browser,995,995,1,0,0,0,1,995,995,995,0,995,995,1,995,995,0,995,995,0,0,995,995,1797.320344,995
995,2,995,rmove,995,995,995,0,995,995,2,995,995,995,995,995,995,9,995,995,995,995,995,0,995,995,995,972.2230652,995
995,2,995,rmove,1,995,995,0,995,995,995,995,995,995,995,995,995,9,995,995,995,995,995,0,995,995,995,147.2735838,995
0,2,995,rmove,995,995,0,0,995,995,2,995,995,995,995,995,995,9,995,995,0,995,995,0,0,995,995,180.7102456,995
0,2,995,rmove,995,995,0,0,995,995,997,995,995,995,995,995,995,9,995,995,0,995,995,0,0,995,995,4391.557012,995
0,2,995,browser,995,0,1,2,995,995,2,995,995,0,995,0,995,1,995,995,0,995,995,2,0,995,995,183.8145303,995
995,2,995,rmove,995,995,995,0,995,995,1,995,995,995,995,995,995,9,995,995,995,995,995,0,995,995,995,453.5049587,995
995,2,995,call,995,995,995,0,995,995,4,995,995,995,995,995,995,5,995,995,995,995,995,0,995,995,995,8732.939507,995
995,2,995,rmove,995,995,995,1,995,995,2,995,995,995,995,995,995,9,995,995,995,995,995,1,995,995,995,67.92033811,995
0,2,995,browser,995,995,0,1,995,995,1,995,1,995,995,995,0,1,995,995,0,995,995,1,0,995,995,2328.335016,995
0,2,995,rmove,995,995,0,0,0,0,2,995,995,995,0,995,995,9,995,995,0,995,995,0,0,995,995,581.3983164,995
0,1,995,rmove,0,995,1,1,995,995,1,995,995,995,995,995,995,9,995,995,0,995,995,1,0,995,995,640.8576757,995
0,1,995,rmove,995,995,0,1,995,995,7,995,0,995,995,995,0,9,995,995,1,995,995,1,0,995,995,241.7207142,995
0,2,995,rmove,995,995,0,1,995,995,2,995,995,995,995,995,995,9,995,995,0,995,995,1,0,995,995,359.5401128,995
995,2,995,browser,995,995,995,0,995,995,997,995,995,995,995,995,995,1,995,995,995,995,995,0,995,995,995,177.3318217,995
0,2,995,rmove,995,995,0,1,995,995,995,995,0,995,995,995,0,9,995,995,0,995,995,1,0,995,995,2740.263676,995
995,2,995,rmove,0,995,995,1,995,995,2,995,0,995,995,995,1,9,995,995,995,995,995,1,995,995,995,4392.091603,995
995,1,995,rmove,995,995,995,0,995,995,1,995,995,995,995,995,995,9,995,995,995,995,995,0,995,995,995,485.8706655,995
0,2,995,rmove,995,995,1,1,995,995,7,995,1,995,995,995,0,9,995,995,0,995,995,1,0,995,995,466.4638339,995
995,2,995,rmove,995,995,995,0,995,995,1,995,995,995,995,995,995,9,995,995,995,995,995,0,995,995,995,211.6938381,995
995,2,995,rmove,995,995,995,0,995,995,2,995,995,995,995,995,995,9,995,995,995,995,995,0,995,995,995,2122.981671,995
995,2,995,rmove,995,995,995,0,995,995,2,995,995,995,995,995,995,9,995,995,995,995,995,0,995,995,995,578.9442226,995
0,2,995,rmove,995,995,0,0,995,995,1,995,995,995,995,995,995,9,995,995,0,995,995,0,0,995,995,445.2001487,995
995,2,995,browser,995,995,995,1,995,995,7,995,995,995,995,995,995,1,995,995,995,995,995,1,995,995,995,1164.052502,995
0,1,995,rmove,995,995,0,0,995,995,997,995,995,995,995,995,995,9,995,995,0,995,995,0,0,995,995,177.1652544,995
0,2,995,rmove,995,995,1,0,995,995,1,995,995,995,995,995,995,9,995,995,0,995,995,0,0,995,995,338.60749,995
0,1,995,rmove,0,995,1,3,995,995,2,1,995,995,995,995,995,9,0,995,0,995,995,3,0,995,995,3067.721756,0
995,997,995,rmove,995,995,995,0,995,995,2,995,995,995,995,995,995,9,995,995,995,995,995,0,995,995,995,253.8865968,995
0,2,995,rmove,0,995,0,0,995,995,5,995,995,995,995,995,995,9,995,995,0,995,995,0,1,995,995,540.0325099,995
0,999,995,browser,995,995,1,1,995,995,2,0,0,995,995,995,0,1,0,995,0,995,995,1,0,995,995,198.9228626,1
0,1,995,browser,995,995,0,1,995,995,2,995,995,995,995,995,995,1,995,995,0,995,995,1,0,995,995,961.095715,995
995,2,995,call,995,995,995,0,995,995,997,995,995,995,995,995,995,5,995,995,995,995,995,0,995,995,995,6740.328023,995
0,1,995,rmove,995,995,0,2,995,995,1,995,995,995,995,995,995,9,995,995,0,995,995,2,0,995,995,1447.204666,995
995,2,995,rmove,995,995,995,0,995,995,1,995,995,995,995,995,995,9,995,995,995,995,995,0,995,995,995,1878.587228,995
0,2,995,call,995,995,0,0,995,995,1,995,995,995,995,995,995,5,995,995,0,995,995,0,0,995,995,307.6877604,995
0,1,995,rmove,995,995,1,1,0,1,2,995,995,995,0,995,995,9,995,995,0,995,995,1,0,995,995,322.2121173,995
995,2,995,call,995,995,995,0,995,995,2,995,995,995,995,995,995,5,995,995,995,995,995,0,995,995,995,884.3529495,995
0,1,995,browser,995,995,1,2,995,995,2,995,995,995,995,995,995,1,995,995,0,995,995,2,0,995,995,2690.613454,995
0,2,995,rmove,995,995,1,1,0,0,2,995,995,995,0,995,995,9,995,995,0,995,995,1,0,995,995,557.8701186,995
995,1,995,rmove,995,995,995,0,995,995,1,995,995,995,995,995,995,9,995,995,995,995,995,0,995,995,995,266.260699,995
995,1,995,rmove,995,0,995,2,995,995,2,995,995,0,995,0,995,9,995,995,995,995,995,2,995,995,995,1635.89346,995
995,2,995,rmove,995,995,995,1,995,995,997,995,995,995,995,995,995,9,995,995,995,995,995,1,995,995,995,1059.723829,995
0,2,995,rmove,995,995,0,0,0,0,1,995,995,995,0,995,995,9,995,995,0,995,995,0,0,995,995,630.3611926,995
0,2,995,browser,995,995,0,1,995,995,1,995,0,995,995,995,0,1,995,995,0,995,995,1,0,995,995,5015.03184,995
995,2,995,call,995,995,995,0,995,995,1,995,995,995,995,995,995,5,995,995,995,995,995,0,995,995,995,1275.54364,995
995,1,995,browser,995,995,995,0,995,995,1,995,995,995,995,995,995,1,995,995,995,995,995,0,995,995,995,840.8435681,995
995,2,995,browser,995,995,995,0,995,995,997,995,995,995,995,995,995,1,995,995,995,995,995,0,995,995,995,1779.18591,995
0,1,995,browser,995,995,0,1,995,995,2,995,995,995,995,995,995,1,995,995,0,995,995,1,0,995,995,1659.316707,995
995,1,995,rmove,995,995,995,1,995,995,1,995,995,995,995,995,995,9,995,995,995,995,995,1,995,995,995,1708.520737,995
995,1,995,rmove,995,995,995,0,995,995,2,995,995,995,995,995,995,9,995,995,995,995,995,0,995,995,995,176.9820046,995
995,2,995,rmove,995,995,995,0,995,995,3,995,995,995,995,995,995,3,995,995,995,995,995,0,995,995,995,713.8860709,995
0,2,995,rmove,995,995,1,1,995,995,1,995,995,995,995,995,995,9,995,995,0,995,995,1,0,995,995,672.5257459,995
995,2,995,browser,995,995,995,0,995,995,5,995,995,995,995,995,995,1,995,995,995,995,995,0,995,995,995,177.5990475,995
0,1,995,rmove,995,995,0,1,995,995,3,995,995,995,995,995,995,9,995,995,0,995,995,1,0,995,995,721.466531,995
0,2,995,rmove,995,995,0,0,995,995,6,995,995,995,995,995,995,9,995,995,0,995,995,0,0,995,995,2280.522903,995
995,999,995,browser,0,995,995,0,995,995,1,995,995,995,995,995,995,1,995,995,995,995,995,0,995,995,995,3784.272056,995
0,1,1,rmove,995,995,1,3,995,995,2,995,995,995,995,995,995,9,995,0,0,995,0,3,0,995,995,3142.687276,995
995,2,995,browser,995,995,995,0,995,995,2,995,995,995,995,995,995,1,995,995,995,995,995,0,995,995,995,120.841464,995
0,2,995,rmove,995,995,0,0,995,995,6,995,995,995,995,995,995,9,995,995,0,995,995,0,0,995,995,1187.985134,995
995,1,995,rmove,995,995,995,1,995,995,2,0,995,995,995,995,995,9,1,995,995,995,995,1,995,995,995,141.572607,0
995,2,995,rmove,995,995,995,0,995,995,2,995,995,995,995,995,995,9,995,995,995,995,995,0,995,995,995,632.2427915,995
995,2,995,rmove,995,995,995,0,995,995,1,995,995,995,995,995,995,9,995,995,995,995,995,0,995,995,995,461.973032,995
995,2,995,rmove,995,995,995,0,995,995,1,995,995,995,995,995,995,9,995,995,995,995,995,0,995,995,995,3038.090966,995
0,2,995,rmove,995,995,0,0,1,0,2,995,995,995,0,995,995,9,995,995,0,995,995,0,0,995,995,203.595924,995
995,2,1,rmove,0,995,995,0,995,995,2,995,995,995,995,995,995,9,995,0,995,995,1,0,995,995,995,245.9801867,995
995,2,995,rmove,995,995,995,1,995,995,1,995,1,995,995,995,0,9,995,995,995,995,995,1,995,995,995,224.2121549,995
1,1,995,rmove,995,0,0,1,0,1,1,995,995,0,0,1,995,9,995,995,0,995,995,1,0,995,995,2740.450328,995
0,2,1,rmove,995,995,0,1,0,0,2,995,995,995,1,995,995,9,995,0,0,995,0,1,0,995,995,225.2177185,995
