brooklyn_condominiums_comparable_properties_condo_section,comparable_rental_1_building_classification,brooklyn_condominiums_comparable_properties_boro_block_lot,comparable_rental_2_full_market_value,comparable_rental_1_neighborhood,comparable_rental_2_net_operating_income,comparable_rental_2_neighborhood,brooklyn_condominiums_comparable_properties_market_value_per_sqft,comparable_rental_3_boro_block_lot,comparable_rental_3_estimated_gross_income,comparable_rental_3_address,comparable_rental_3_expense_per_sqft,comparable_rental_2_market_value_per_sqft,comparable_rental_1_gross_sqft,comparable_rental_3_distance_from_condo_in_miles,comparable_rental_1_estimated_expense,comparable_rental_2_distance_from_condo_in_miles,comparable_rental_2_estimated_gross_income,comparable_rental_1_full_market_value,comparable_rental_1_distance_from_condo_in_miles,comparable_rental_3_full_market_value,comparable_rental_2_gross_sqft
1558-R1,D9-ELEVATOR,3-00476-7501,5220000.0,GOWANUS,1484649.0,GOWANUS,103.84,3-00265-0006,"1,158,493",59 LIVINGSTON STREET,8.88,83.8,72552,1.22,645639,0.92,1805674.0,4995000,0.43,"4,296,000",62292.0
2298-R1,C1-WALK-UP,3-00393-7502,1821000.0,BOERUM HILL,250664.0,BOERUM HILL,91.58,, , , ,103.23,26084, ,248754,0.4,439765.0,2718000,0.41, ,17640.0
0144-R1,D1-ELEVATOR,3-08237-7501,2080000.0,CANARSIE,325842.0,CANARSIE,38.79,, , , ,34.75,73656, ,492778,0.48,711153.0,3967000,1.54, ,59850.0
0873-R1,D9-ELEVATOR,3-02250-7501,1059000.0,WILLIAMSBURG-SOUTH,227847.0,WILLIAMSBURG-SOUTH,92.79,3-02412-0033,"431,273",355 SOUTH 2 STREET,11.95,45.13,28800,0.59,388575,0.56,503375.0,1276000,0.59,"934,000",23467.0
2242-R1,C1-WALK-UP,3-02101-7503,1500000.0,FORT GREENE,205131.0,FORT GREENE,67.56,, , , ,87.82,14720, ,151906,0.16,380372.0,859000,0.16, ,17080.0
1969-R1,C1-WALK-UP,3-01104-7505,1566000.0,PARK SLOPE SOUTH,215573.0,PARK SLOPE SOUTH,105.98,3-01043-0001,"255,501",549 6 AVENUE,10.03,132.22,12528,0.15,101888,0.14,295635.0,938000,0.46,"1,092,000",11844.0
0994-R1,D1-ELEVATOR,3-05328-7501,2873000.0,KENSINGTON,435747.0,KENSINGTON,57.55,, , , ,42.39,32580, ,244523,0.19,936409.0,1484000,0.17, ,67776.0
1599-R1,C1-WALK-UP,3-06801-7502,676000.0,SHEEPSHEAD BAY,98476.0,MADISON,88.12,, , , ,48.63,10248, ,93366,0.5,231161.0,584000,1.44, ,13900.0
1279-R1,C1-WALK-UP,3-03023-7501,1771000.0,WILLIAMSBURG-EAST,242568.0,WILLIAMSBURG-EAST,76.65,, , , ,101.43,17240, ,159764,0.28,402332.0,1770000,0.28, ,17460.0
1073-R1,D8-ELEVATOR,3-00036-7502,9226000.0,DOWNTOWN-FULTON FERRY,1246599.0,DOWNTOWN-FULTON MALL,125.1,, , , ,192.63,28358, ,164180,0.83,1669215.0,2636000,0.41, ,47896.0
2576-R1,D3-ELEVATOR,3-06550-7501,2343000.0,BOROUGH PARK,325222.0,BOROUGH PARK,66.71,, , , ,56.96,77652, ,919709,1.17,740709.0,5100000,2.1, ,41131.0
1181-R1,D9-ELEVATOR,3-00031-7502,4497000.0,BROOKLYN HEIGHTS,614045.0,DOWNTOWN-FULTON MALL,76.2,3-02108-0021,"525,261",25 LAFAYETTE AVENUE,8.35,113.08,21040,1.18,195029,1.04,875152.0,1529000,0.89,"2,142,000",39770.0
0139-R1,D9-ELEVATOR,3-00179-7501,4497000.0,FORT GREENE,614045.0,DOWNTOWN-FULTON MALL,86.87,3-01959-0027,"2,033,930",80 GREENE AVENUE,13.03,113.08,27144,0.67,226573,0.25,875152.0,2142000,0.21,"7,926,000",39770.0
0513-R1,D9-ELEVATOR,3-01427-7501,804000.0,BEDFORD STUYVESANT,117865.0,FLATBUSH-CENTRAL,51.81,3-01148-0001,"839,187",597 GRAND AVENUE,4.55,50.0,117570,1.63,935324,1.67,256395.0,5910000,1.64,"3,014,000",16080.0
0528-R1,C1-WALK-UP,3-01515-7501,552000.0,OCEAN HILL,91453.0,OCEAN HILL,31.37,3-01500-0034,"136,950",640 MAC DONOUGH STREET,6.91,34.48,6474,0.33,49215,0.3,207874.0,231000,0.14,"357,000",16008.0
1234-R1,D9-ELEVATOR,3-01899-7505,1059000.0,WILLIAMSBURG-SOUTH,227847.0,WILLIAMSBURG-SOUTH,89.75,3-02104-0008,"827,639",299 ADELPHI STREET,9.31,45.13,20430,0.82,226216,1.0,503375.0,1059000,0.95,"3,001,000",23467.0
0154-R1,C1-WALK-UP,3-00336-7501,1021000.0,CARROLL GARDENS,139056.0,CARROLL GARDENS,84.61,3-00319-0030,"112,608",131 COLUMBIA STREET,11.95,87.26,9090,0.15,109555,0.25,245857.0,1439000,0.3,"121,000",11700.0
0272-R1,C1-WALK-UP,3-08295-7501,429000.0,CANARSIE,64593.0,CANARSIE,29.88,3-04755-0039,"208,968",597 EAST 95 STREET,5.06,42.11,10854,1.74,68027,0.73,134826.0,421000,0.38,"755,000",10187.0
2374-R1,D9-ELEVATOR,3-02340-7502,1650000.0,WILLIAMSBURG-SOUTH,230182.0,WILLIAMSBURG-SOUTH,92.76,3-02421-0018,"579,194",286 SOUTH 2 STREET,10.04,78.01,14470,0.72,221366,0.62,468052.0,711000,0.69,"2,292,000",21150.0
1536-R1,D9-ELEVATOR,3-01781-7501,1529000.0,WILLIAMSBURG-SOUTH,312732.0,WILLIAMSBURG-SOUTH,105.94,3-02425-0032,"490,898",395 HEWES STREET,9.04,59.26,23481,1.26,391101,1.26,689474.0,1628000,1.26,"1,834,000",25800.0
1930-R1,D9-ELEVATOR,3-01124-7502,7926000.0,CROWN HEIGHTS,1102334.0,FORT GREENE,66.96,3-01219-0024,"250,372",1058 BERGEN STREET,9.85,110.9,56377,0.69,256381,0.46,2033930.0,3014000,0.23,"1,048,000",71470.0
0439-R1,C1-WALK-UP,3-01103-7501,1255000.0,PARK SLOPE,171869.0,PARK SLOPE,99.83,, , , ,103.21,11524, ,139443,0.24,279048.0,1131000,0.53, ,12160.0
2383-R1,D1-ELEVATOR,3-00992-7501,4995000.0,GOWANUS,955718.0,GOWANUS,101.39,, , , ,68.85,62292, ,321025,0.47,1601357.0,5220000,0.66, ,72552.0
1694-R1,D9-ELEVATOR,3-06759-7501,3218000.0,CROWN HEIGHTS,449004.0,BENSONHURST,93.28,, , , ,62.58,54516, ,890581,1.58,1004184.0,2849000,4.28, ,51419.0
1128-R1,D9-ELEVATOR,3-01053-7501,1631000.0,FORT GREENE,225645.0,FLATBUSH-CENTRAL,95.09,3-00171-0049,"875,152",337 STATE STREET,6.57,101.43,27144,1.69,226573,1.66,429829.0,2142000,1.72,"4,497,000",16080.0
1409-R1,D9-ELEVATOR,3-00180-7501,4497000.0,FORT GREENE,614045.0,DOWNTOWN-FULTON MALL,113.07,3-02119-0010,"572,963",301 CUMBERLAND STREET,13.48,113.08,27144,0.40,226573,0.38,875152.0,2142000,0.17,"2,340,000",39770.0
1864-R1,C1-WALK-UP,3-00900-7501,1151000.0,SUNSET PARK,161148.0,SUNSET PARK,92.43,, , , ,79.58,10975, ,58168,0.9,295800.0,415000,0.05, ,14464.0
0901-R1,D9-ELEVATOR,3-02165-7503,766000.0,WILLIAMSBURG-SOUTH,108064.0,WILLIAMSBURG-SOUTH,91.22,3-02409-0008,"339,614",260 SOUTH 1 STREET,14.63,48.37,21150,0.69,237870,0.69,339614.0,1650000,0.66,"766,000",15836.0
2050-R1,D5-ELEVATOR,3-00108-7501,4273000.0,DOWNTOWN-FULTON FERRY,570349.0,BROOKLYN HEIGHTS,134.78,3-00254-0066,"333,054",110 REMSEN STREET,8.43,134.83,109875,0.61,1533558,0.46,947093.0,13272000,0.3,"1,606,000",31692.0
0993-R1,D9-ELEVATOR,3-02200-7501,1059000.0,WILLIAMSBURG-CENTRAL,227847.0,WILLIAMSBURG-SOUTH,83.38,3-02412-0033,"431,273",355 SOUTH 2 STREET,11.95,45.13,25800,0.43,204336,0.38,503375.0,1243000,0.15,"934,000",23467.0
0090-R1,C1-WALK-UP,3-01058-7501,1199000.0,PARK SLOPE,164826.0,PARK SLOPE,80.72,, , , ,106.58,12160, ,107179,0.46,272266.0,1255000,0.84, ,11250.0
0468-R2,C1-WALK-UP,3-04414-7501,341000.0,EAST NEW YORK,53447.0,EAST NEW YORK,26.57,3-04311-0023,"122,295",686 ASHFORD STREET,6.65,33.31,33600,0.70,181894,0.7,122295.0,603000,0.5,"354,000",10238.0
2234-R1,D9-ELEVATOR,3-02298-7502,904000.0,WILLIAMSBURG-SOUTH,127891.0,WILLIAMSBURG-SOUTH,92.78,3-02409-0015,"324,333",276 SOUTH 1 STREET,15.30,67.4,15836,0.53,231550,0.52,260030.0,766000,0.53,"711,000",13412.0
0878-R1,D9-ELEVATOR,3-02264-7507,1059000.0,WILLIAMSBURG-SOUTH,227847.0,WILLIAMSBURG-SOUTH,92.8,3-02412-0027,"607,117",367 SOUTH 2 STREET,13.49,45.13,20430,0.72,226216,0.68,503375.0,1059000,0.63,"1,276,000",23467.0
0037-R1,D9-ELEVATOR,3-08010-7501,398000.0,FLATBUSH-EAST,63840.0,FLATBUSH-EAST,46.31,3-05062-0026,"195,857",373 OCEAN AVENUE,6.75,23.69,15800,2.96,102226,2.3,172536.0,374000,2.3,"755,000",16800.0
0014-R2,D1-ELEVATOR,3-07440-7501,3691000.0,SHEEPSHEAD BAY,540150.0,SHEEPSHEAD BAY,56.12,, , , ,55.09,75000, ,603687,0.92,1062942.0,3879000,0.68, ,67000.0
2108-R1,C1-WALK-UP,3-05281-7501,2211000.0,WINDSOR TERRACE,373760.0,WINDSOR TERRACE,61.17,, , , ,44.73,15200, ,125003,0.68,676601.0,1326000,0.68, ,49428.0
2117-R1,D9-ELEVATOR,3-01900-7509,1098000.0,WILLIAMSBURG-SOUTH,237661.0,WILLIAMSBURG-SOUTH,92.98,3-02424-0035,"503,375",347 SOUTH 3 STREET,11.74,51.8,20430,0.99,226216,0.99,521344.0,1059000,0.94,"1,059,000",21197.0
1697-R1,C1-WALK-UP,3-07298-7501,302000.0,MADISON,203137.0,MADISON,72.28,, , , ,19.3,13900, ,132685,0.47,273875.0,676000,0.19, ,15650.0
2079-R1,C1-WALK-UP,3-00898-7501,1776000.0,SUNSET PARK,173865.0,SUNSET PARK,86.79,, , , ,106.03,10975, ,58168,0.48,285588.0,415000,0.0, ,16750.0
0943-R1,D1-ELEVATOR,3-00421-7501,1470000.0,DOWNTOWN-FULTON MALL,196915.0,BROOKLYN HEIGHTS,90.73,3-02108-0021,"525,261",25 LAFAYETTE AVENUE,8.35,148.86,39770,0.91,261107,0.63,309659.0,4497000,0.6,"2,142,000",9875.0
0940-R1,D9-ELEVATOR,3-02264-7509,1059000.0,WILLIAMSBURG-SOUTH,227847.0,WILLIAMSBURG-SOUTH,89.74,3-02412-0033,"431,273",355 SOUTH 2 STREET,11.95,45.13,24126,0.72,320801,0.68,503375.0,1050000,0.68,"934,000",23467.0
0792-R1,D9-ELEVATOR,3-08720-7501,,FLATBUSH-CENTRAL,, ,195.27,, , , ,,16080, ,204184,,,1631000,5.08, ,
0321-R1,D9-ELEVATOR,3-00207-7502,1220000.0,BROOKLYN HEIGHTS,162525.0,COBBLE HILL,123.79,3-02407-0012,"338,037",198 SOUTH 1 STREET,13.39,141.86,21040,1.89,195029,1.03,247992.0,1529000,0.66,"1,221,000",8600.0
2035-R2,C1-WALK-UP,3-02857-7504,503000.0,WILLIAMSBURG-EAST,73300.0,WILLIAMSBURG-EAST,62.76,3-03031-0012,"125,474",16 STAGG STREET,18.24,89.57,3750,0.81,27939,0.11,131478.0,277000,0.7,"432,000",5616.0
2041-R1,D9-ELEVATOR,3-06742-7501,2849000.0,FLATBUSH-CENTRAL,390592.0,CROWN HEIGHTS,101.11,3-06264-0029,"1,004,184",2160 78 STREET,10.80,52.26,16080,1.68,204184,3.94,1281173.0,1631000,2.35,"3,218,000",54516.0
2555-R1,D1-ELEVATOR,3-01986-7501,2265000.0,CLINTON HILL,380484.0,BEDFORD STUYVESANT,91.08,3-01860-0074,"672,101",57 HERKIMER STREET,9.80,92.34,21600,0.41,124834,1.42,777494.0,2132000,0.32,"2,488,000",24528.0
0049-R1,C1-WALK-UP,3-00636-7501,462000.0,SUNSET PARK,67082.0,SUNSET PARK,67.53,3-00899-0049,"136,483",281 23 STREET,8.50,52.44,10975,0.32,58168,0.32,132470.0,415000,0.45,"439,000",8810.0
0045-R2,C1-WALK-UP,3-05347-7501,715000.0,BOROUGH PARK,119302.0,OCEAN PARKWAY-NORTH,46.2,, , , ,44.69,13500, ,109428,0.24,193795.0,618000,0.2, ,16000.0
1664-R1,D9-ELEVATOR,3-01040-7501,1529000.0,SUNSET PARK,214018.0,BROOKLYN HEIGHTS,73.06,3-00263-0044,"309,659",18 SIDNEY PLACE,11.42,72.67,21173,1.70,182511,1.65,409047.0,3242000,0.54,"1,470,000",21040.0
1989-R1,C1-WALK-UP,3-02095-7502,5220000.0,FORT GREENE,1484649.0,GOWANUS,95.55,3-02119-0001,"2,087,709",313 CUMBERLAND STREET,14.61,83.8,25032,0.39,256419,0.59,1805674.0,2524000,0.05,"6,448,000",62292.0
2368-R1,C1-WALK-UP,3-08804-7505,584000.0,CONEY ISLAND,102086.0,SHEEPSHEAD BAY,107.32,3-08676-0055,"73,440",3032 BRIGHTON 7 STREET,11.13,56.99,9603,1.47,79589,0.65,195452.0,1007000,2.98,"284,000",10248.0
0268-R1,C1-WALK-UP,3-00955-7502,2567000.0,PARK SLOPE,351969.0,PARK SLOPE,75.68,3-00965-0032,"554,196",118 GARFIELD PLACE,9.22,107.86,21195,0.21,206226,0.21,557449.0,1428000,0.71,"2,068,000",23800.0
0699-R1,D9-ELEVATOR,3-02264-7504,856000.0,WILLIAMSBURG-SOUTH,197187.0,WILLIAMSBURG-SOUTH,60.88,3-02412-0025,"377,503",373 SOUTH 2 STREET,8.91,42.18,23000,0.72,229306,0.68,395336.0,934000,0.68,"795,000",20295.0
0256-R1,C1-WALK-UP,3-01969-7501,581000.0,CLINTON HILL,83779.0,CLINTON HILL,49.53,3-01948-0020,"146,660",352 LAFAYETTE AVENUE,8.40,43.57,19744,0.18,137818,0.09,188353.0,1400000,0.16,"386,000",13336.0
2163-R1,D9-ELEVATOR,3-01124-7504,1048000.0,FORT GREENE,143519.0,CROWN HEIGHTS,72.95,3-02104-0008,"827,639",299 ADELPHI STREET,9.31,96.61,71470,0.69,931596,0.69,250372.0,7926000,0.46,"3,001,000",10848.0
