address_1,national_median_energy_star_score,medical_office_number_of_mri_machines,annual_maximum_demand_kw,estimated_data_flag_natural_gas,number_of_active_energy_meters_not_used_to_compute_metrics,financial_office_gross_floor_area_ft,source_eui_kbtu_ft,estimated_data_flag_fuel_oil_no_1,supermarket_grocery_number_of_walk_in_refrigeration_freezer_units,egrid_output_emissions_rate_kgco2e_mbtu,electricity_use_grid_purchase_kwh,alert_data_center_issue_with_estimates_it_configuration_or_it_meter,parking_completely_enclosed_parking_garage_size_ft,council_district,third_party_certification_date_achieved,estimated_data_flag_fuel_oil_no_2,hotel_gym_fitness_center_floor_area_ft,office_number_of_workers_on_main_shift,default_values,courthouse_gross_floor_area_ft,retail_store_number_of_open_or_closed_refrigeration_freezer_units,financial_office_number_of_computers,green_power_onsite_kwh,year_ending,percent_of_recs_retained,total_ghg_emissions_intensity_kgco2e_ft,parking_open_parking_lot_size_ft,distribution_center_gross_floor_area_ft,data_center_it_source_energy_kbtu,water_use_all_water_sources_kgal,property_gfa_calculated_parking_ft,pre_school_daycare_gross_floor_area_ft,wholesale_club_supercenter_exterior_entrance_to_the_public,national_median_site_eui_kbtu_ft,senior_living_community_living_unit_density_number_per_1_000_sq_ft,direct_ghg_emissions_metric_tons_co2e,restaurant_worker_density_number_per_1_000_sq_ft,last_modified_date_non_electric_non_gas_energy_meters,college_university_gross_floor_area_ft,laboratory_gross_floor_area_ft,multifamily_housing_percent_that_can_be_cooled,alert_property_has_no_uses,data_center_ups_output_meter_kwh,avoided_emissions_offsite_green_power_metric_tons_co2e,office_percent_that_can_be_cooled
2580 Amsterdam Avenue,50,Not Available,360,No,0,Not Available,232.7,Not Available,Not Available,79.5,801199.9,Ok,Not Available,10.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,11.2,Not Available,Not Available,Not Available,651.5,Not Available,Not Available,Not Available,103.2,Not Available,1294.2,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
505 Park Avenue,50,Not Available,Not Available,No,0,Not Available,116,Not Available,Not Available,79.5,2393380.9,Ok,Not Available,4.0,Not Available,Not Available,Not Available,210.09,No,Not Available,3,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.6,Not Available,Not Available,Not Available,3561.4,Not Available,Not Available,Not Available,78.5,Not Available,3.1,Not Available,04/05/2021 02:35 PM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,100
560 West 169th Street,50,Not Available,196,No,0,Not Available,73.7,Not Available,Not Available,79.5,520399.9,Ok,Not Available,10.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,92.9,Not Available,328.2,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
2880 Kingsbridge Terrace,50,Not Available,208,No,0,Not Available,146.2,Not Available,Not Available,79.5,758399.9,Ok,Not Available,14.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,5,Not Available,Not Available,Not Available,150.6,Not Available,Not Available,Not Available,67.0,Not Available,131,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
99-01 34th Avenue,50,Not Available,300,No,0,Not Available,91.8,Not Available,Not Available,79.5,935199.9,Ok,Not Available,21.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,64.4,Not Available,298.8,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
74-30 Commonwealth Boulevard,50,Not Available,681.1,No,0,Not Available,210.1,Not Available,Not Available,79.5,1429999.7,Ok,Not Available,23.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,7.2,Not Available,Not Available,Not Available,730.1,Not Available,Not Available,Not Available,86.7,Not Available,240,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
1365 Fulton Avenue,50,Not Available,125.6,No,0,Not Available,23.8,Not Available,Not Available,79.5,227200,Ok,Not Available,16.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,0.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,44.8,Not Available,0,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
80-55 Cornish Avenue,50,Not Available,515,No,0,Not Available,113.8,Not Available,Not Available,79.5,1181599.9,Ok,Not Available,25.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.1,Not Available,Not Available,Not Available,478.8,Not Available,Not Available,Not Available,85.2,Not Available,298.6,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
976 Seneca Avenue,50,Not Available,600,No,0,Not Available,79.5,Not Available,Not Available,79.5,760000,Ok,Not Available,34.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.2,Not Available,Not Available,Not Available,167.6,Not Available,Not Available,Not Available,64.6,Not Available,319.3,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
2500 Nostrand Avenue,50,Not Available,238.6,No,0,Not Available,74.4,Not Available,Not Available,79.5,498479.9,Ok,Not Available,45.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,76.9,Not Available,582.9,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
520 8th AVe,50,Not Available,Not Available,No,0,Not Available,95.7,Not Available,Not Available,79.5,6827676.8,Ok,Not Available,3.0,Not Available,No,Not Available,1708.37,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,94.1,Not Available,856.5,1.74486,02/08/2021 11:25 AM EST,Not Available,Not Available,Not Available,Ok,Not Available,0,100
2163 Dean Street,50,Not Available,283.2,No,0,Not Available,105.1,Not Available,Not Available,79.5,468319.9,Ok,Not Available,41.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.3,Not Available,Not Available,Not Available,2610,Not Available,Not Available,Not Available,99.0,Not Available,279.1,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
1550 Crotona Park East,50,Not Available,145.6,No,0,Not Available,104.5,Not Available,Not Available,79.5,442879.9,Ok,Not Available,17.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,69.8,Not Available,284.7,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
230 East 105 Street,50,Not Available,86.4,No,0,Not Available,58.9,Not Available,Not Available,79.5,231360,Ok,Not Available,8.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,2.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,86.4,Not Available,123.6,Not Available,03/23/2021 09:36 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
4305 7th Avenue,50,Not Available,292,No,0,Not Available,92.1,Not Available,Not Available,79.5,577599.9,Ok,Not Available,38.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.7,Not Available,Not Available,Not Available,390.5,Not Available,Not Available,Not Available,94.9,Not Available,296.6,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
610 Henry Street,50,Not Available,180,No,0,Not Available,72.8,Not Available,Not Available,79.5,444400,Ok,Not Available,39.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.2,Not Available,Not Available,Not Available,461.5,Not Available,Not Available,Not Available,97.8,Not Available,580.4,Not Available,03/23/2021 09:39 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
92-07 175th Street,50,Not Available,363.8,No,0,Not Available,113.7,Not Available,Not Available,79.5,944799.8,Ok,Not Available,27.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,58.0,Not Available,150.6,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
5800 20th Avenue,50,Not Available,360,No,0,Not Available,73.4,Not Available,Not Available,79.5,881787.7,Ok,Not Available,44.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,346635.4,2020-12-31T00:00:00.000,100,4,Not Available,Not Available,Not Available,169.5,Not Available,Not Available,Not Available,98.0,Not Available,1132.2,Not Available,03/23/2021 04:19 PM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
100 Luten Avenue,50,Not Available,578,No,0,Not Available,60.7,Not Available,Not Available,79.5,1961356.5,Ok,Not Available,51.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,202945.8,2020-12-31T00:00:00.000,100,2.7,Not Available,Not Available,Not Available,524.5,Not Available,Not Available,Not Available,80.9,Not Available,868,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
228 Avenue S,50,Not Available,288,No,0,Not Available,87.4,Not Available,Not Available,79.5,489999.9,Ok,Not Available,47.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.8,Not Available,Not Available,Not Available,718.1,Not Available,Not Available,Not Available,81.2,Not Available,415.7,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
9301 Avenue B,50,Not Available,220,No,0,Not Available,104.4,Not Available,Not Available,79.5,604399.9,Ok,Not Available,42.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.2,Not Available,Not Available,Not Available,562.5,Not Available,Not Available,Not Available,74.7,Not Available,322.9,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
37-11 21st Avenue,50,Not Available,194,No,0,Not Available,60.2,Not Available,Not Available,79.5,267600,Ok,Not Available,22.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,2.6,Not Available,Not Available,Not Available,1111.3,Not Available,Not Available,Not Available,83.4,Not Available,306,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
165 Broadway,50,Not Available,Not Available,No,0,Not Available,143.7,Not Available,Not Available,79.5,27052579.7,Ok,Not Available,1.0,Not Available,Not Available,Not Available,3003.94,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,5,Not Available,Not Available,10203414.9,32136.2,Not Available,Not Available,Not Available,88.3,Not Available,16.9,Not Available,04/01/2021 06:45 PM EDT,Not Available,Not Available,Not Available,Ok,1068017.8,0,100
87-45 117th Street,50,Not Available,115.2,No,0,Not Available,110.6,Not Available,Not Available,79.5,255040,Ok,Not Available,29.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.1,Not Available,Not Available,Not Available,138.9,Not Available,Not Available,Not Available,65.2,Not Available,68.8,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
1307 Central Avenue,50,Not Available,509.4,No,0,Not Available,126.8,Not Available,Not Available,79.5,1126199.9,Ok,Not Available,31.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.1,Not Available,Not Available,Not Available,298.6,Not Available,Not Available,Not Available,60.8,Not Available,98,Not Available,03/23/2021 09:39 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
63-55 102nd Street,50,Not Available,264,No,0,Not Available,62.2,Not Available,Not Available,79.5,644400,Ok,Not Available,29.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,2.4,Not Available,Not Available,Not Available,77.7,Not Available,Not Available,Not Available,78.1,Not Available,293.5,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
4125 Carpenter Avenue,50,Not Available,250.4,No,0,Not Available,108.7,Not Available,Not Available,79.5,560319.9,Ok,Not Available,12.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,70.2,Not Available,306.6,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
185 Wadsworth Avenue,50,Not Available,131.3,No,0,Not Available,137.9,Not Available,Not Available,79.5,351846,Ok,Not Available,10.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,7.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,112.5,Not Available,628.4,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
1716 Southern Boulevard,50,Not Available,296,No,0,Not Available,157.5,Not Available,Not Available,79.5,1037999.9,Ok,Not Available,17.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.8,Not Available,Not Available,Not Available,485.5,Not Available,Not Available,Not Available,60.6,Not Available,58,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
121-10 Rockaway Boulevard,50,Not Available,364.4,No,0,Not Available,85.9,Not Available,Not Available,79.5,1159027.9,Ok,Not Available,28.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,135900.7,2020-12-31T00:00:00.000,100,3.3,Not Available,Not Available,Not Available,497.5,Not Available,Not Available,Not Available,89.3,Not Available,506.5,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
1070 East 104th Street,50,Not Available,32,No,0,Not Available,39,Not Available,Not Available,79.5,80400,Ok,Not Available,46.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,1.8,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,102.0,Not Available,204.8,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
130-02 115th Avenue,50,Not Available,108,No,0,Not Available,84.8,Not Available,Not Available,79.5,270400,Ok,Not Available,28.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.8,Not Available,Not Available,Not Available,6.4,Not Available,Not Available,Not Available,68.2,Not Available,326.5,Not Available,03/23/2021 09:39 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
160 E 34th Street,50,Not Available,Not Available,Not Available,0,Not Available,356.9,Not Available,Not Available,79.5,5166534.6,Ok,Not Available,2.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,11.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,60.5,Not Available,0,Not Available,05/25/2021 01:49 PM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
1860 Forest Avenue,50,Not Available,340,No,0,Not Available,102.5,Not Available,Not Available,79.5,716599.9,Ok,Not Available,49.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.9,Not Available,Not Available,Not Available,397.9,Not Available,Not Available,Not Available,62.7,Not Available,270.1,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
108 West 174th Street,50,Not Available,51.2,No,0,Not Available,55.3,Not Available,Not Available,79.5,98400,Ok,Not Available,14.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,2.7,Not Available,Not Available,Not Available,88.9,Not Available,Not Available,Not Available,79.1,Not Available,52.9,Not Available,03/23/2021 09:39 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
2525 Haring Street,50,Not Available,340,No,0,Not Available,79.3,Not Available,Not Available,79.5,541799.9,Ok,Not Available,48.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.6,Not Available,Not Available,Not Available,1356,Not Available,Not Available,Not Available,110.1,Not Available,221.6,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
16 Clarkson Street,50,Not Available,156,No,0,Not Available,80.6,Not Available,Not Available,79.5,427399.9,Ok,Not Available,3.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.6,Not Available,Not Available,Not Available,943.2,Not Available,Not Available,Not Available,106.6,Not Available,360.7,Not Available,03/23/2021 09:39 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
24-30 Skillman Avenue,50,Not Available,228,No,0,Not Available,151.7,Not Available,Not Available,79.5,887199.9,Ok,Not Available,26.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.7,Not Available,Not Available,Not Available,170.6,Not Available,Not Available,Not Available,52.7,Not Available,59.4,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
421 Lincoln Avenue,50,Not Available,109.2,No,0,Not Available,55.8,Not Available,Not Available,79.5,176656,Ok,Not Available,50.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,2.6,Not Available,Not Available,Not Available,539.4,Not Available,Not Available,Not Available,75.0,Not Available,95.5,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
81-14 257th Street,50,Not Available,204,No,0,Not Available,63.6,Not Available,Not Available,79.5,524399.9,Ok,Not Available,23.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.3,Not Available,Not Available,Not Available,78.6,Not Available,Not Available,Not Available,68.7,Not Available,383.7,Not Available,03/23/2021 09:39 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
1449 Shakespeare Avenue,50,Not Available,148.8,No,0,Not Available,102.1,Not Available,Not Available,79.5,401760,Ok,Not Available,16.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.8,Not Available,Not Available,Not Available,689.8,Not Available,Not Available,Not Available,95.5,Not Available,490.1,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
1665 St. Marks Avenue,50,Not Available,58.4,No,0,Not Available,83.2,Not Available,Not Available,79.5,98400,Ok,Not Available,41.0,Not Available,Not Available,Not Available,55,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.1,Not Available,Not Available,Not Available,53.2,Not Available,Not Available,Not Available,255.6,Not Available,28.2,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,0,100
144-80 Barclay Avenue,50,Not Available,235.2,No,0,Not Available,60.8,Not Available,Not Available,79.5,483520,Ok,Not Available,20.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.3,Not Available,Not Available,Not Available,1455.7,Not Available,Not Available,Not Available,96.3,Not Available,418,Not Available,03/23/2021 09:39 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
265 Ralph Avenue,50,Not Available,132,No,0,Not Available,83.5,Not Available,Not Available,79.5,394699.9,Ok,Not Available,41.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.7,Not Available,Not Available,Not Available,1674.8,Not Available,Not Available,Not Available,91.2,Not Available,464.2,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
50 Jefferson Street,50,Not Available,84,No,0,Not Available,89.2,Not Available,Not Available,79.5,174680,Ok,Not Available,50.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,82.1,Not Available,136.7,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
5601 16th Avenue,50,Not Available,372,No,0,Not Available,78.2,Not Available,Not Available,79.5,433599.9,Ok,Not Available,44.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.4,Not Available,Not Available,Not Available,201.3,Not Available,Not Available,Not Available,91.9,Not Available,376,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
725 East 23rd Street,50,Not Available,385,No,0,Not Available,119.9,Not Available,Not Available,79.5,1234799.8,Ok,Not Available,45.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.7,Not Available,Not Available,Not Available,159.3,Not Available,Not Available,Not Available,74.6,Not Available,536.7,Not Available,03/23/2021 09:39 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
1114 Avenue of the Americas,50,Not Available,Not Available,Yes,2,Not Available,133.8,Not Available,Not Available,79.5,16090218.2,Ok,20204,4.0,Not Available,Not Available,Not Available,2256.85,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.7,0,Not Available,Not Available,15434.2,20204,Not Available,Not Available,84.9,Not Available,259,2.36509,03/24/2021 10:56 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,100
640 West 42nd Street,50,Not Available,Not Available,No,0,Not Available,124.5,Not Available,Not Available,79.5,6126190.5,Ok,39590,3.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.8,0,Not Available,Not Available,Not Available,39590,Not Available,Not Available,89.4,Not Available,2631.6,Not Available,04/19/2021 12:46 PM EDT,Not Available,Not Available,100,Ok,Not Available,0,Not Available
300 Park Avenue,50,Not Available,Not Available,No,0,5897,124.5,Not Available,Not Available,79.5,7714078.9,Ok,Not Available,4.0,Not Available,Not Available,Not Available,787.26,No,Not Available,Not Available,10,Not Available,2020-12-31T00:00:00.000,Not Available,4.3,Not Available,Not Available,Not Available,9766.7,Not Available,Not Available,Not Available,88.9,Not Available,57.1,Not Available,02/17/2021 04:21 AM EST,Not Available,Not Available,Not Available,Ok,Not Available,0,100
131 Livingston Street,50,Not Available,251,No,0,Not Available,94.5,Not Available,Not Available,79.5,1028799.9,Ok,Not Available,33.0,Not Available,No,Not Available,500,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,119.2,Not Available,208.6,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,100
2703 Webster Avenue,50,Not Available,324,No,0,Not Available,137.9,Not Available,Not Available,79.5,1034799.8,Ok,Not Available,15.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.6,Not Available,Not Available,Not Available,885.3,Not Available,Not Available,Not Available,54.0,Not Available,139.8,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
135-21 241st Street,50,Not Available,76,No,0,Not Available,87.6,Not Available,Not Available,79.5,153440,Ok,Not Available,31.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,76.9,Not Available,147.6,Not Available,03/23/2021 09:39 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
250 Hudson Street,50,Not Available,Not Available,No,0,Not Available,119.2,Not Available,Not Available,79.5,3272556.3,Ok,Not Available,3.0,05/16/2016,No,Not Available,368.73,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.9,Not Available,Not Available,Not Available,2849.2,Not Available,Not Available,Not Available,109.0,Not Available,426.4,Not Available,05/14/2021 02:41 PM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,100
401 West 164th Street,50,Not Available,160,No,0,Not Available,79.4,Not Available,Not Available,79.5,370800,Ok,Not Available,10.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,83.8,Not Available,283.3,Not Available,03/23/2021 09:36 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
109-20 Union Hall Street,50,Not Available,192,No,0,Not Available,94.9,Not Available,Not Available,79.5,505999.9,Ok,Not Available,28.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.1,Not Available,Not Available,Not Available,2435.3,Not Available,Not Available,Not Available,80.3,Not Available,383.4,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
211-45 46th Road,50,Not Available,112,No,0,Not Available,147.4,Not Available,Not Available,79.5,524799.9,Ok,Not Available,19.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,7.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,60.6,Not Available,373,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
2360 Benson Avenue,50,Not Available,320,No,0,Not Available,100,Not Available,Not Available,79.5,788799.9,Ok,Not Available,47.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.9,Not Available,Not Available,Not Available,462.1,Not Available,Not Available,Not Available,76.4,Not Available,323.3,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
