block,owner_s__phone__,special_dist_name,professional_cert,efiling_filed,sign_height_roof,job_status_descrp,community___board,fully_permitted,non_profit,zoning_distr_2,zoning_distr_3,zoning_distr_1,approved
1317,2039472825,MID   ,Y,Y,0,APPLICATION PROCESSED - ENTIRE          ,106,,,,,C5-3        ,
2747,6318488572,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,405,2017-07-28T00:00:00.000,,,,M1-1        ,2017-07-28T00:00:00.000
3865,5163265353,,,Y,0,APPLICATION PROCESSED - ENTIRE          ,405,,,,,R5          ,
7462,9174150002,,Y,Y,0,PLAN EXAM - APPROVED                    ,315,,,,,C4-2        ,2017-08-25T00:00:00.000
2800,2123983970,,Y,Y,0,PLAN EXAM - APPROVED                    ,502,,,,,C4-3        ,2017-08-17T00:00:00.000
442,6468849866,,,Y,0,APPLICATION PROCESSED - ENTIRE          ,402,,,,,M1-4        ,
518,7182224500,,Y,Y,0,APPLICATION PROCESSED - ENTIRE          ,306,,,,,M1-1        ,
2333,6463660515,MX-8  ,Y,Y,0,APPLICATION PROCESSED - ENTIRE          ,301,,,,,M1-2/R6A    ,
16166,5163265353,,Y,Y,0,PLAN EXAM - APPROVED                    ,414,,,M1-1        ,,C8-1        ,2017-08-02T00:00:00.000
6891,9148487337,,,Y,0,APPLICATION PROCESSED - ENTIRE          ,408,,,,,R3-2        ,
2400,3129605000,,Y,Y,0,APPLICATION PROCESSED - ENTIRE          ,502,,,,,C4-1        ,
545,2123722457,,Y,Y,0,PLAN EXAM - APPROVED                    ,102,,,,,M1-5B       ,2017-09-06T00:00:00.000
7702,6099242262,SRD   ,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,503,2017-08-30T00:00:00.000,,,,R3X         ,2017-08-30T00:00:00.000
5282,2128405588,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,212,2017-10-02T00:00:00.000,,,,M2-1        ,2017-10-02T00:00:00.000
1272,6469653616,MID   ,Y,Y,0,PLAN EXAM - APPROVED                    ,105,,,C5-P        ,,C5-3        ,2017-07-28T00:00:00.000
1027,2128299998,MID   ,Y,Y,0,PLAN EXAM - DISAPPROVED                 ,105,,,,,C6-4        ,
8914,7182967000,,Y,Y,0,PLAN EXAM - DISAPPROVED                 ,409,,,R3-1        ,,R6A         ,
1171,2124881645,,Y,Y,0,APPLICATION PROCESSED - ENTIRE          ,107,,,,,C4-7        ,
1486,9179528446,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,404,2017-09-14T00:00:00.000,,,,R6B         ,2017-09-14T00:00:00.000
1243,2122066155,,Y,Y,0,APPLICATION PROCESSED - ENTIRE          ,107,,,C4-6A       ,,R9          ,
545,2123722457,,Y,Y,0,PLAN EXAM - APPROVED                    ,102,,,,,M1-5B       ,2017-09-06T00:00:00.000
9350,5163265353,,,Y,0,APPLICATION PROCESSED - ENTIRE          ,409,,,,,R5          ,
868,2126841529,MID   ,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,105,2017-10-10T00:00:00.000,,,,C5-3        ,2017-10-10T00:00:00.000
4172,7188880689,,Y,Y,0,PLAN EXAM - DISAPPROVED                 ,407,,,,,M1-1        ,
7702,6099242262,SRD   ,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,503,2017-08-30T00:00:00.000,,,,R3X         ,2017-08-30T00:00:00.000
3810,7183263300,,Y,Y,0,PLAN EXAM - APPROVED                    ,405,,,,,M1-1        ,2017-10-13T00:00:00.000
413,9176629840,,Y,Y,0,APPLICATION PROCESSED - ENTIRE          ,103,,,,,C4-4A       ,
4857,7185496808,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,212,2017-10-10T00:00:00.000,,,,R5          ,2017-10-10T00:00:00.000
539,9177577480,,Y,Y,0,PLAN EXAM - APPROVED                    ,102,,,,,R7-2        ,2017-09-22T00:00:00.000
497,2126998904,,Y,Y,0,PLAN EXAM - DISAPPROVED                 ,102,,,,,M1-5B       ,
13309,7573215683,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,413,2017-08-24T00:00:00.000,,,,R3-2        ,2017-08-24T00:00:00.000
651,7187214018,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,401,2017-09-29T00:00:00.000,,,,C4-2A       ,2017-09-29T00:00:00.000
9302,7177381010,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,409,2017-10-06T00:00:00.000,,R3-1        ,,R6A         ,2017-10-06T00:00:00.000
12168,7185517746,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,412,2017-10-06T00:00:00.000,,,,R3-2        ,2017-10-06T00:00:00.000
1138,6105855559,L     ,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,107,2017-08-01T00:00:00.000,,,,C4-7        ,2017-08-01T00:00:00.000
5709,7187865555,,Y,Y,0,PRE-FILING                              ,208,,,,,R6          ,
4357,3052341944,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,407,2017-10-13T00:00:00.000,,,,M2-1        ,2017-10-13T00:00:00.000
5232,5163121096,,Y,Y,0,PLAN EXAM - APPROVED                    ,314,,,R2          ,,R6A         ,2017-08-16T00:00:00.000
5272,9145821555,,,Y,0,APPLICATION PROCESSED - ENTIRE          ,212,,,,,M1-1        ,
816,6319622813,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,105,2017-08-21T00:00:00.000,,,,C6-4M       ,2017-08-21T00:00:00.000
