dbn,p_q4d_5,p_q5a,p_q2d_5,p_q1_7,p_q4c_3,p_q3c_4,p_q8e_2,p_q8b_4,p_q2i_5,p_q12ad,n_t,p_q4b_2,p_q4e_2,p_q11e_3,p_q11c_2,p_q11c,p_q11a,p_q2f_1,p_q9_10,p_q3d_2,p_q2e_4,p_q6_3,p_q7c_5,p_q8c_3,p_q8c_4,p_q8f,p_q2c_4,p_q3d_4,p_q1_9,p_q7b_1,p_q7d_4,p_q4b,p_q11e_2,p_q5,p_q12ab_1,p_q12aa_4,p_q5i,p_q2b_4,p_q8f_3,p_q4b_3,p_q3b_3,p_q2h_5,p_q11c_3,p_q10j,eng_tot_10,p_q2d,p_q2c_2,saf_t_10,p_q12aa_5,p_q11b_2,nr_s,p_q4c_4,p_q12ac,p_q12aa_2,p_q5f,p_q8f_4,p_q4b_1,p_q2f_4,principal,p_q4d_1,p_q3a_3,p_q2c,p_q4c,p_q11b_3,p_q3a_2,p_q11a_4,p_q9_1,p_q7a_4,p_q11e_4,p_q2d_2,studentsurvey,p_q2h_4,p_q11b_4,p_q8d_2,p_q7a,p_q7c_3,p_q2f,com_s_10,p_q11c_4,p_q7b_5,rr_s,p_q3a_4,p_q8a_4,p_q2b_5,p_q5c,p_q9_6,p_q12aa_1,p_q11a_2,p_q1_5,p_q9_4,p_q4d_4,saf_s_10,p_q3a,p_q3c_5,p_q7a_1,p_q8a_5,p_q4a_3,p_q11f_3,p_q12bd,p_q10e,p_q7d_3,p_q4a
84M337,12.0,37.0,0.0,9.0,0.0,0.0,0.0,0.0,8.0,,28.0,36.0,,0.0,36.0,8.8,9.2,84.0,9.0,25.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,85.0,0.0,9.1,23.0,8.5,22.0,4.0,11.0,0.0,0.0,0.0,24.0,0.0,0.0,59.0,9.3,9.7,24.0,8.8,52.0,19.0,,0.0,,26.0,52.0,0.0,64.0,0.0,Julie Fisher,40.0,8.0,8.9,9.2,0.0,16.0,0.0,5.0,0.0,0.0,8.0,No,0.0,4.0,4.0,9.6,0.0,9.5,,0.0,0.0,,0.0,0.0,0.0,4.0,5.0,17.0,23.0,22.0,27.0,0.0,,9.2,0.0,85.0,8.0,4.0,0.0,,4.0,0.0,8.4
03M166,5.0,82.0,2.0,12.0,8.0,4.0,0.0,1.0,3.0,,31.0,50.0,,4.0,47.0,7.9,8.3,50.0,3.0,22.0,1.0,4.0,12.0,1.0,2.0,9.9,1.0,11.0,0.0,49.0,0.0,7.8,47.0,9.5,4.0,5.0,26.0,1.0,0.0,8.0,21.0,3.0,7.0,60.0,8.2,9.0,41.0,7.8,52.0,45.0,,4.0,,24.0,65.0,1.0,39.0,0.0,Debbie J. Hand,41.0,14.0,8.1,7.9,11.0,38.0,3.0,2.0,0.0,1.0,27.0,No,1.0,1.0,16.0,8.8,5.0,8.2,,1.0,0.0,,3.0,4.0,0.0,76.0,4.0,6.0,31.0,15.0,5.0,1.0,,8.0,2.0,57.0,22.0,8.0,8.0,,23.0,10.0,7.9
08X075,3.0,46.0,1.0,22.0,2.0,4.0,3.0,3.0,4.0,,60.0,40.0,,2.0,40.0,8.3,8.7,59.0,2.0,27.0,1.0,9.0,3.0,1.0,3.0,9.7,1.0,5.0,0.0,54.0,2.0,8.6,42.0,7.6,37.0,0.0,11.0,1.0,1.0,3.0,8.0,1.0,4.0,41.0,7.5,8.7,38.0,6.9,12.0,39.0,,1.0,,45.0,26.0,1.0,55.0,1.0,Marines Arrieta-Cruz,51.0,12.0,8.2,8.8,5.0,29.0,0.0,4.0,1.0,1.0,35.0,No,2.0,0.0,7.0,8.6,3.0,8.5,,1.0,1.0,,5.0,5.0,0.0,14.0,9.0,38.0,32.0,17.0,4.0,1.0,,8.1,3.0,55.0,19.0,4.0,3.0,,5.0,5.0,8.4
11X289,7.0,9.0,1.0,0.0,6.0,11.0,10.0,4.0,5.0,,21.0,58.0,,9.0,59.0,7.3,7.8,48.0,1.0,32.0,1.0,17.0,6.0,6.0,3.0,6.8,1.0,16.0,36.0,14.0,2.0,7.9,64.0,6.5,11.0,6.0,16.0,1.0,9.0,5.0,17.0,1.0,10.0,45.0,5.9,8.2,63.0,5.7,15.0,49.0,403.0,3.0,,50.0,21.0,8.0,34.0,5.0,JEANETTE VARGAS,36.0,21.0,7.4,7.7,19.0,35.0,3.0,1.0,6.0,1.0,50.0,Yes,6.0,1.0,19.0,6.9,7.0,8.0,5.7,1.0,4.0,87.0,13.0,26.0,1.0,9.0,8.0,17.0,52.0,1.0,8.0,4.0,5.4,6.1,10.0,19.0,18.0,8.0,11.0,,13.0,7.0,7.9
12X098,8.0,51.0,0.0,0.0,0.0,4.0,1.0,0.0,4.0,,36.0,86.0,,0.0,70.0,7.7,8.0,42.0,1.0,26.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,8.0,33.0,41.0,0.0,7.8,69.0,9.0,1.0,0.0,12.0,0.0,0.0,0.0,37.0,0.0,0.0,95.0,7.4,8.4,59.0,6.6,24.0,72.0,444.0,0.0,,56.0,65.0,0.0,14.0,0.0,Claralee Irobunda,17.0,38.0,8.0,7.9,0.0,18.0,0.0,2.0,0.0,0.0,48.0,Yes,0.0,0.0,2.0,8.3,0.0,8.1,5.6,0.0,0.0,92.0,30.0,0.0,0.0,12.0,2.0,5.0,59.0,0.0,6.0,0.0,5.5,5.4,0.0,32.0,9.0,0.0,0.0,,10.0,0.0,7.8
12X195,2.0,49.0,1.0,22.0,1.0,3.0,4.0,4.0,4.0,,31.0,49.0,,2.0,49.0,8.2,8.8,55.0,0.0,31.0,0.0,10.0,5.0,1.0,1.0,9.7,0.0,3.0,0.0,43.0,0.0,8.5,48.0,7.9,32.0,3.0,5.0,1.0,1.0,3.0,14.0,0.0,1.0,55.0,7.7,8.4,46.0,7.5,13.0,50.0,,0.0,,48.0,34.0,0.0,46.0,0.0,Andrew Kavanagh,41.0,14.0,8.3,8.5,6.0,34.0,0.0,8.0,1.0,1.0,43.0,No,1.0,0.0,11.0,8.5,4.0,8.4,,1.0,1.0,,2.0,7.0,0.0,11.0,6.0,33.0,34.0,29.0,9.0,1.0,,8.0,2.0,48.0,20.0,3.0,2.0,,7.0,1.0,8.3
09X004,3.0,39.0,2.0,7.0,1.0,2.0,3.0,3.0,4.0,,52.0,41.0,,1.0,43.0,8.2,8.6,58.0,2.0,35.0,0.0,9.0,4.0,2.0,2.0,9.4,0.0,6.0,16.0,53.0,1.0,8.5,44.0,7.9,27.0,0.0,20.0,1.0,4.0,4.0,13.0,1.0,5.0,46.0,7.3,8.5,44.0,7.1,14.0,45.0,161.0,0.0,,50.0,32.0,0.0,53.0,0.0,Vincent Resto,52.0,9.0,8.4,8.8,7.0,29.0,0.0,9.0,1.0,0.0,41.0,Yes,1.0,1.0,12.0,8.5,6.0,8.5,6.2,1.0,0.0,98.0,6.0,7.0,1.0,12.0,8.0,32.0,38.0,10.0,11.0,1.0,6.3,8.1,1.0,50.0,20.0,3.0,3.0,,8.0,1.0,8.7
10X342,2.0,23.0,1.0,0.0,3.0,10.0,3.0,2.0,1.0,,15.0,33.0,30.0,2.0,32.0,8.6,8.6,68.0,1.0,23.0,1.0,4.0,3.0,1.0,2.0,9.2,1.0,8.0,10.0,64.0,1.0,8.8,43.0,6.9,47.0,1.0,31.0,1.0,2.0,3.0,11.0,1.0,3.0,53.0,7.9,9.1,34.0,7.7,8.0,44.0,480.0,1.0,,43.0,9.0,3.0,62.0,1.0,Karen Maldonado,61.0,17.0,8.5,8.7,3.0,28.0,1.0,5.0,1.0,1.0,23.0,Yes,1.0,1.0,9.0,8.8,3.0,8.8,6.7,1.0,1.0,44.0,4.0,2.0,1.0,7.0,9.0,44.0,34.0,0.0,7.0,2.0,7.6,7.8,11.0,62.0,29.0,1.0,2.0,,7.0,1.0,8.8
02M011,5.0,88.0,2.0,16.0,3.0,1.0,0.0,2.0,1.0,,43.0,37.0,,2.0,36.0,8.6,9.2,66.0,4.0,37.0,0.0,2.0,3.0,1.0,1.0,10.0,1.0,6.0,0.0,58.0,1.0,8.9,38.0,9.7,10.0,9.0,43.0,1.0,0.0,2.0,14.0,2.0,2.0,54.0,8.7,9.1,36.0,8.8,33.0,35.0,,1.0,,32.0,78.0,0.0,60.0,0.0,Robert Bender,58.0,6.0,8.6,8.8,4.0,36.0,0.0,2.0,1.0,1.0,23.0,No,0.0,1.0,9.0,8.9,3.0,8.8,,1.0,0.0,,3.0,2.0,0.0,69.0,6.0,11.0,19.0,18.0,11.0,1.0,,8.6,1.0,65.0,18.0,3.0,3.0,,30.0,3.0,8.8
01M696,0.0,46.0,1.0,1.0,3.0,6.0,28.0,0.0,3.0,,27.0,26.0,26.0,6.0,45.0,8.2,8.9,61.0,3.0,14.0,0.0,2.0,11.0,1.0,1.0,10.0,1.0,19.0,0.0,49.0,1.0,9.1,49.0,8.9,7.0,6.0,43.0,0.0,0.0,2.0,21.0,8.0,4.0,49.0,8.1,9.1,39.0,8.4,55.0,29.0,574.0,0.0,,17.0,13.0,0.0,71.0,0.0,Raymond Peterson,77.0,40.0,8.2,8.9,3.0,22.0,0.0,3.0,0.0,0.0,25.0,Yes,1.0,0.0,12.0,8.6,0.0,8.6,7.0,0.0,2.0,97.0,16.0,0.0,2.0,28.0,8.0,5.0,27.0,0.0,28.0,0.0,8.1,5.9,1.0,50.0,20.0,0.0,2.0,,32.0,4.0,9.6
19K273,2.0,49.0,1.0,24.0,3.0,2.0,1.0,2.0,3.0,,39.0,37.0,,4.0,45.0,8.2,8.7,53.0,1.0,37.0,0.0,8.0,3.0,0.0,0.0,10.0,1.0,3.0,0.0,55.0,2.0,8.5,38.0,8.4,19.0,5.0,41.0,0.0,0.0,4.0,11.0,1.0,3.0,54.0,8.1,8.7,46.0,8.4,16.0,44.0,,1.0,,46.0,59.0,0.0,55.0,0.0,Melessa Avery,56.0,11.0,8.0,8.7,6.0,41.0,2.0,3.0,0.0,0.0,38.0,No,2.0,3.0,6.0,8.6,3.0,8.3,,1.0,1.0,,3.0,4.0,0.0,15.0,4.0,25.0,27.0,14.0,10.0,1.0,,8.0,0.0,50.0,30.0,4.0,4.0,,14.0,2.0,8.8
07X655,5.0,10.0,1.0,0.0,7.0,8.0,13.0,5.0,6.0,,71.0,61.0,47.0,10.0,59.0,7.2,7.4,33.0,2.0,35.0,1.0,19.0,7.0,5.0,5.0,7.2,0.0,16.0,0.0,21.0,4.0,7.5,64.0,6.2,14.0,3.0,19.0,3.0,5.0,7.0,17.0,3.0,9.0,39.0,6.2,7.7,60.0,5.9,25.0,61.0,985.0,2.0,,49.0,35.0,8.0,26.0,3.0,Joyce Mills Kittrell,30.0,19.0,7.3,7.5,11.0,35.0,3.0,7.0,3.0,2.0,58.0,Yes,6.0,3.0,13.0,7.1,7.0,7.4,5.0,2.0,6.0,62.0,8.0,9.0,2.0,4.0,9.0,13.0,61.0,0.0,8.0,3.0,5.3,6.4,8.0,23.0,23.0,6.0,10.0,,11.0,7.0,7.6
08X452,3.0,20.0,0.0,0.0,5.0,7.0,11.0,3.0,2.0,,26.0,40.0,41.0,6.0,39.0,8.1,8.5,54.0,2.0,37.0,2.0,10.0,3.0,3.0,3.0,8.3,3.0,10.0,0.0,32.0,4.0,8.4,44.0,7.2,27.0,0.0,28.0,2.0,3.0,8.0,23.0,2.0,8.0,42.0,7.4,8.2,48.0,7.9,19.0,39.0,295.0,0.0,,46.0,30.0,5.0,52.0,2.0,Sam Decker,39.0,28.0,7.7,8.4,8.0,36.0,0.0,22.0,2.0,0.0,38.0,Yes,2.0,0.0,11.0,7.8,8.0,8.3,6.4,0.0,2.0,44.0,5.0,5.0,0.0,9.0,2.0,25.0,35.0,0.0,10.0,5.0,7.4,7.2,7.0,29.0,28.0,10.0,7.0,,8.0,6.0,8.0
02M570,6.0,19.0,0.0,0.0,2.0,14.0,10.0,2.0,0.0,,32.0,38.0,39.0,14.0,46.0,7.8,7.9,44.0,0.0,39.0,0.0,10.0,6.0,0.0,0.0,8.9,0.0,10.0,0.0,38.0,2.0,8.1,50.0,6.6,9.0,7.0,15.0,0.0,4.0,10.0,16.0,0.0,10.0,48.0,6.6,8.4,60.0,7.4,36.0,49.0,740.0,0.0,,30.0,25.0,2.0,48.0,0.0,STEVEN ZBAIDA,48.0,25.0,7.8,8.4,10.0,33.0,0.0,8.0,0.0,0.0,42.0,Yes,0.0,0.0,14.0,7.9,6.0,7.9,6.2,0.0,4.0,49.0,8.0,4.0,2.0,6.0,0.0,14.0,55.0,0.0,8.0,2.0,7.1,5.9,14.0,40.0,35.0,4.0,10.0,,17.0,0.0,8.5
05M670,2.0,30.0,2.0,0.0,7.0,10.0,6.0,4.0,3.0,,25.0,45.0,43.0,5.0,51.0,7.6,7.9,49.0,0.0,31.0,0.0,12.0,3.0,2.0,2.0,9.4,0.0,13.0,21.0,52.0,1.0,8.3,57.0,7.5,19.0,6.0,28.0,1.0,2.0,5.0,20.0,1.0,9.0,43.0,7.0,8.4,50.0,7.1,13.0,51.0,546.0,1.0,,41.0,30.0,1.0,48.0,1.0,Sandye Johnson,44.0,17.0,8.0,8.0,8.0,34.0,1.0,5.0,0.0,1.0,43.0,Yes,2.0,0.0,8.0,8.6,5.0,8.1,6.0,1.0,1.0,79.0,12.0,5.0,0.0,7.0,13.0,22.0,54.0,0.0,11.0,2.0,7.0,6.5,5.0,50.0,25.0,1.0,7.0,,12.0,4.0,8.7
18K589,0.0,42.0,2.0,0.0,2.0,17.0,5.0,5.0,0.0,,17.0,67.0,52.0,7.0,57.0,7.7,7.7,38.0,0.0,34.0,0.0,11.0,9.0,2.0,0.0,6.3,0.0,9.0,0.0,20.0,6.0,8.3,59.0,7.4,9.0,12.0,16.0,0.0,5.0,0.0,36.0,0.0,7.0,49.0,7.0,7.5,57.0,7.0,18.0,58.0,201.0,0.0,,39.0,33.0,14.0,33.0,0.0,ROBERT HALL,33.0,24.0,7.9,8.1,7.0,38.0,2.0,8.0,7.0,0.0,55.0,Yes,2.0,2.0,9.0,6.9,9.0,7.9,6.1,0.0,2.0,82.0,9.0,20.0,0.0,2.0,4.0,9.0,58.0,0.0,12.0,0.0,5.9,6.7,31.0,16.0,18.0,4.0,2.0,,20.0,9.0,8.6
20K658,4.0,29.0,4.0,0.0,4.0,22.0,8.0,0.0,8.0,,34.0,52.0,48.0,4.0,59.0,7.6,7.4,42.0,0.0,29.0,0.0,4.0,4.0,8.0,0.0,8.2,0.0,17.0,0.0,29.0,0.0,7.9,71.0,6.7,10.0,0.0,17.0,0.0,17.0,4.0,48.0,4.0,0.0,29.0,7.5,7.6,57.0,8.0,14.0,67.0,184.0,0.0,,76.0,33.0,0.0,35.0,0.0,Michael Ragucci,29.0,9.0,7.7,7.9,0.0,52.0,4.0,6.0,0.0,4.0,52.0,Yes,0.0,4.0,17.0,8.5,0.0,8.1,6.9,5.0,4.0,66.0,17.0,0.0,4.0,4.0,0.0,10.0,67.0,0.0,18.0,0.0,8.4,6.1,17.0,46.0,30.0,4.0,8.0,,8.0,0.0,7.8
20K048,15.0,36.0,2.0,19.0,6.0,12.0,2.0,2.0,9.0,,42.0,50.0,,6.0,66.0,7.5,8.0,37.0,1.0,22.0,1.0,13.0,3.0,0.0,0.0,9.9,0.0,16.0,0.0,40.0,1.0,7.7,66.0,7.3,15.0,1.0,10.0,0.0,0.0,6.0,23.0,3.0,4.0,54.0,7.3,7.7,59.0,8.2,19.0,62.0,,0.0,,56.0,14.0,0.0,31.0,0.0,Diane Picucci,32.0,25.0,7.7,8.0,8.0,29.0,1.0,3.0,0.0,0.0,57.0,No,1.0,1.0,6.0,8.6,2.0,7.8,,1.0,1.0,,11.0,1.0,2.0,11.0,10.0,16.0,48.0,17.0,7.0,1.0,,6.7,7.0,44.0,25.0,5.0,5.0,,14.0,1.0,7.7
02M150,5.0,91.0,1.0,19.0,8.0,0.0,1.0,1.0,3.0,,11.0,46.0,,7.0,47.0,7.9,8.6,51.0,2.0,21.0,0.0,5.0,8.0,1.0,1.0,10.0,2.0,10.0,0.0,66.0,0.0,8.1,45.0,9.8,6.0,3.0,41.0,1.0,0.0,7.0,10.0,3.0,6.0,55.0,8.3,9.3,39.0,8.9,52.0,53.0,,1.0,,28.0,74.0,0.0,44.0,2.0,Maggie Siena,40.0,15.0,7.5,8.1,7.0,37.0,1.0,0.0,0.0,2.0,19.0,No,3.0,1.0,8.0,9.3,8.0,8.2,,1.0,0.0,,3.0,1.0,0.0,78.0,4.0,3.0,32.0,17.0,2.0,1.0,,7.9,0.0,73.0,14.0,8.0,7.0,,21.0,0.0,7.9
11X076,2.0,47.0,1.0,20.0,5.0,4.0,1.0,2.0,4.0,,77.0,36.0,,4.0,37.0,8.4,8.9,61.0,0.0,27.0,0.0,8.0,3.0,2.0,2.0,9.8,0.0,8.0,0.0,60.0,1.0,8.8,39.0,7.8,28.0,2.0,12.0,1.0,0.0,3.0,16.0,1.0,4.0,39.0,7.6,8.8,41.0,7.4,13.0,38.0,,1.0,,46.0,20.0,1.0,60.0,1.0,Louise Sedotto,58.0,17.0,8.4,8.6,6.0,27.0,1.0,3.0,0.0,1.0,33.0,No,2.0,1.0,7.0,8.9,3.0,8.6,,1.0,0.0,,6.0,5.0,0.0,16.0,9.0,32.0,26.0,18.0,9.0,2.0,,7.7,3.0,61.0,24.0,1.0,4.0,,10.0,1.0,8.9
04M112,4.0,70.0,0.0,0.0,3.0,1.0,1.0,0.0,4.0,,58.0,39.0,,2.0,39.0,8.4,8.8,62.0,3.0,23.0,0.0,3.0,2.0,1.0,1.0,9.9,1.0,5.0,0.0,60.0,1.0,8.8,38.0,9.2,29.0,1.0,14.0,0.0,0.0,3.0,9.0,1.0,3.0,53.0,8.3,8.7,43.0,8.0,17.0,37.0,,0.0,,50.0,65.0,0.0,57.0,0.0,Eileen Reiter,58.0,9.0,8.3,8.8,3.0,29.0,1.0,3.0,1.0,1.0,33.0,No,1.0,0.0,7.0,8.8,2.0,8.6,,1.0,1.0,,4.0,3.0,0.0,78.0,6.0,27.0,28.0,1.0,13.0,0.0,,8.5,1.0,57.0,22.0,2.0,1.0,,13.0,1.0,8.7
14K250,6.0,61.0,1.0,20.0,4.0,3.0,1.0,1.0,5.0,,40.0,44.0,,4.0,46.0,8.1,8.7,52.0,1.0,30.0,0.0,9.0,4.0,1.0,1.0,9.9,0.0,11.0,0.0,51.0,1.0,8.5,46.0,7.9,19.0,2.0,16.0,0.0,0.0,3.0,17.0,2.0,5.0,51.0,7.5,8.5,44.0,8.0,21.0,48.0,,1.0,,47.0,29.0,0.0,50.0,0.0,Nora Barnes,51.0,14.0,8.3,8.5,5.0,34.0,0.0,4.0,1.0,0.0,41.0,No,2.0,1.0,7.0,8.8,3.0,8.3,,0.0,1.0,,8.0,3.0,0.0,14.0,4.0,18.0,33.0,18.0,12.0,1.0,,7.5,2.0,58.0,26.0,3.0,3.0,,11.0,3.0,8.5
09X413,4.0,19.0,3.0,0.0,7.0,13.0,6.0,2.0,5.0,,28.0,41.0,35.0,4.0,51.0,7.9,8.3,60.0,1.0,23.0,0.0,14.0,6.0,2.0,2.0,8.2,0.0,14.0,10.0,50.0,2.0,8.6,58.0,6.7,21.0,4.0,14.0,2.0,2.0,4.0,19.0,2.0,6.0,54.0,7.1,8.7,43.0,7.5,14.0,53.0,439.0,0.0,,46.0,10.0,6.0,54.0,1.0,William Quintana,54.0,22.0,8.2,8.3,7.0,31.0,0.0,11.0,2.0,1.0,35.0,Yes,2.0,0.0,12.0,8.0,10.0,8.5,5.2,0.0,4.0,94.0,8.0,6.0,1.0,10.0,10.0,29.0,50.0,0.0,10.0,0.0,5.8,6.3,9.0,42.0,24.0,2.0,2.0,,8.0,3.0,8.8
09X132,2.0,30.0,0.0,20.0,4.0,4.0,2.0,2.0,3.0,,47.0,40.0,,6.0,30.0,8.4,8.9,56.0,1.0,28.0,0.0,13.0,4.0,1.0,2.0,9.8,1.0,5.0,0.0,56.0,0.0,8.4,33.0,6.8,26.0,3.0,15.0,1.0,0.0,5.0,16.0,1.0,7.0,38.0,7.5,8.3,39.0,7.4,12.0,34.0,,1.0,,50.0,27.0,0.0,52.0,1.0,Anissa Chalmers,52.0,15.0,8.2,8.6,7.0,26.0,0.0,3.0,0.0,0.0,38.0,No,2.0,0.0,7.0,8.9,3.0,8.3,,2.0,1.0,,7.0,6.0,0.0,21.0,15.0,30.0,25.0,11.0,9.0,1.0,,7.6,3.0,61.0,29.0,3.0,5.0,,9.0,1.0,8.5
12X692,3.0,47.0,1.0,0.0,10.0,12.0,10.0,3.0,6.0,,31.0,60.0,42.0,11.0,64.0,7.2,7.6,43.0,0.0,29.0,0.0,20.0,7.0,2.0,3.0,7.9,0.0,17.0,0.0,33.0,1.0,7.5,66.0,6.9,15.0,3.0,24.0,0.0,6.0,12.0,21.0,2.0,8.0,47.0,7.0,8.1,51.0,7.4,15.0,63.0,448.0,1.0,,53.0,10.0,3.0,27.0,1.0,Richard J. Massel,29.0,21.0,7.8,7.6,11.0,31.0,0.0,5.0,3.0,2.0,52.0,Yes,3.0,0.0,18.0,7.7,8.0,7.9,5.4,2.0,7.0,81.0,6.0,8.0,3.0,3.0,11.0,24.0,61.0,0.0,12.0,0.0,6.2,6.1,19.0,31.0,33.0,6.0,7.0,,4.0,5.0,7.8
19K615,5.0,8.0,2.0,1.0,9.0,14.0,10.0,1.0,8.0,,85.0,52.0,46.0,11.0,54.0,6.9,7.5,35.0,0.0,24.0,1.0,15.0,9.0,3.0,1.0,6.9,1.0,18.0,0.0,23.0,0.0,7.6,61.0,6.7,10.0,4.0,29.0,3.0,9.0,8.0,23.0,3.0,17.0,42.0,6.5,7.9,60.0,6.6,13.0,58.0,1452.0,1.0,,54.0,44.0,6.0,33.0,3.0,Larry Kalvar,34.0,23.0,7.5,7.5,16.0,25.0,1.0,5.0,2.0,3.0,56.0,Yes,5.0,2.0,16.0,7.4,7.0,7.3,5.2,1.0,3.0,75.0,14.0,7.0,1.0,4.0,13.0,12.0,61.0,0.0,3.0,1.0,5.3,5.5,16.0,25.0,32.0,6.0,13.0,,15.0,7.0,8.0
06M132,2.0,35.0,0.0,17.0,4.0,8.0,1.0,2.0,5.0,,67.0,45.0,,4.0,48.0,8.1,8.5,53.0,0.0,28.0,1.0,10.0,2.0,0.0,1.0,9.8,1.0,8.0,0.0,43.0,0.0,8.4,51.0,7.6,28.0,3.0,14.0,1.0,1.0,4.0,14.0,1.0,3.0,52.0,7.1,8.6,45.0,6.8,10.0,43.0,,1.0,,52.0,37.0,1.0,49.0,1.0,Xiomara Nova,48.0,13.0,8.1,8.4,8.0,32.0,1.0,9.0,1.0,1.0,40.0,No,1.0,2.0,4.0,8.6,5.0,8.3,,1.0,3.0,,6.0,3.0,0.0,13.0,9.0,25.0,35.0,14.0,5.0,3.0,,7.7,3.0,50.0,24.0,3.0,5.0,,9.0,2.0,8.3
09X241,4.0,36.0,1.0,0.0,3.0,19.0,6.0,4.0,1.0,,29.0,44.0,35.0,6.0,49.0,7.5,8.2,54.0,1.0,17.0,1.0,15.0,2.0,1.0,1.0,9.5,1.0,13.0,22.0,68.0,2.0,8.4,56.0,7.5,23.0,2.0,32.0,2.0,1.0,2.0,20.0,3.0,9.0,53.0,7.1,8.5,36.0,8.2,23.0,49.0,499.0,2.0,,42.0,7.0,1.0,50.0,2.0,Kenneth Baum,51.0,33.0,8.2,8.3,5.0,25.0,1.0,2.0,0.0,2.0,33.0,Yes,3.0,1.0,13.0,8.8,4.0,8.2,6.1,3.0,1.0,88.0,13.0,4.0,2.0,42.0,12.0,23.0,49.0,0.0,12.0,0.0,6.7,5.6,18.0,53.0,24.0,1.0,4.0,,8.0,3.0,8.7
12X217,7.0,32.0,1.0,0.0,6.0,8.0,1.0,2.0,5.0,,28.0,63.0,,5.0,62.0,7.2,7.7,44.0,1.0,25.0,1.0,10.0,12.0,1.0,3.0,8.4,1.0,15.0,38.0,32.0,2.0,7.7,58.0,6.7,14.0,3.0,13.0,3.0,4.0,6.0,16.0,1.0,6.0,47.0,6.6,8.1,60.0,5.7,22.0,59.0,337.0,0.0,,50.0,13.0,3.0,27.0,1.0,Seth Litt,32.0,23.0,7.6,8.0,9.0,33.0,3.0,5.0,4.0,2.0,47.0,Yes,4.0,3.0,14.0,7.5,6.0,7.9,5.6,3.0,4.0,93.0,10.0,10.0,0.0,13.0,10.0,15.0,55.0,0.0,7.0,1.0,5.7,5.8,13.0,26.0,30.0,6.0,9.0,,3.0,4.0,7.7
03M541,2.0,30.0,2.0,0.0,7.0,9.0,5.0,2.0,4.0,,25.0,51.0,40.0,9.0,58.0,7.4,7.9,43.0,1.0,28.0,1.0,11.0,5.0,1.0,2.0,9.6,0.0,15.0,0.0,38.0,1.0,8.0,58.0,7.9,14.0,5.0,38.0,1.0,1.0,7.0,22.0,1.0,10.0,46.0,7.7,8.3,52.0,9.0,17.0,60.0,427.0,2.0,,51.0,22.0,1.0,38.0,0.0,Susan Kreisman,39.0,24.0,7.9,7.8,6.0,30.0,0.0,5.0,0.0,1.0,45.0,Yes,2.0,0.0,9.0,8.3,2.0,7.8,6.4,1.0,3.0,90.0,14.0,1.0,1.0,9.0,10.0,14.0,57.0,1.0,7.0,0.0,7.2,6.6,10.0,43.0,28.0,1.0,3.0,,13.0,3.0,8.5
21K095,8.0,57.0,2.0,14.0,5.0,10.0,2.0,2.0,15.0,,53.0,54.0,,6.0,56.0,7.6,8.3,40.0,0.0,30.0,1.0,12.0,8.0,1.0,2.0,9.6,1.0,13.0,4.0,35.0,2.0,7.9,63.0,8.7,14.0,2.0,12.0,1.0,2.0,6.0,23.0,3.0,6.0,46.0,6.8,7.9,53.0,6.5,20.0,51.0,172.0,1.0,,54.0,49.0,0.0,34.0,1.0,Carolyn Telesmanich,35.0,21.0,7.8,8.1,8.0,33.0,1.0,4.0,1.0,0.0,50.0,Yes,2.0,1.0,11.0,8.3,3.0,7.8,6.3,1.0,3.0,99.0,12.0,4.0,1.0,42.0,8.0,15.0,44.0,12.0,8.0,1.0,6.7,6.6,5.0,41.0,26.0,5.0,5.0,,14.0,3.0,7.7
10X504,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,15.0,67.0,20.0,11.0,33.0,8.9,8.1,60.0,0.0,60.0,0.0,30.0,0.0,0.0,0.0,9.3,0.0,0.0,0.0,22.0,0.0,7.8,33.0,5.7,20.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,60.0,7.3,7.8,75.0,8.0,17.0,33.0,205.0,0.0,,67.0,10.0,0.0,22.0,0.0,,40.0,0.0,7.1,7.8,11.0,56.0,0.0,0.0,0.0,0.0,67.0,Yes,0.0,0.0,0.0,7.5,0.0,8.7,5.8,0.0,11.0,57.0,0.0,10.0,0.0,0.0,0.0,17.0,56.0,0.0,0.0,0.0,7.0,8.6,25.0,30.0,50.0,0.0,0.0,,20.0,0.0,7.5
09X114,4.0,36.0,1.0,0.0,3.0,3.0,2.0,1.0,8.0,,60.0,41.0,,4.0,39.0,8.4,8.8,61.0,0.0,24.0,0.0,8.0,3.0,1.0,1.0,9.9,0.0,9.0,0.0,54.0,0.0,8.6,43.0,7.1,31.0,3.0,12.0,1.0,0.0,2.0,9.0,1.0,5.0,52.0,7.4,8.6,39.0,6.9,13.0,42.0,,1.0,,45.0,24.0,0.0,54.0,1.0,Olivia Francis-Webber,53.0,16.0,8.4,8.7,5.0,26.0,0.0,6.0,1.0,0.0,37.0,No,0.0,1.0,6.0,8.6,6.0,8.6,,0.0,1.0,,6.0,5.0,1.0,23.0,12.0,34.0,33.0,19.0,6.0,1.0,,7.7,2.0,54.0,29.0,2.0,3.0,,5.0,3.0,8.4
