unique_squirrel_id,tail_twitches,runs_from,running,kuks,:@computed_region_yeji_bk3q,foraging,specific_location,color_notes,hectare
37E-PM-1006-06,False,False,False,False,4,True,,,37E
40E-AM-1014-03,False,False,False,False,4,True,,,40E
38G-PM-1020-01,False,True,True,False,4,False,,,38G
33C-PM-1007-03,True,False,False,False,4,True,,,33C
31E-PM-1006-02,False,False,False,False,4,True,under bushes,,31E
20B-PM-1013-08,False,True,True,False,4,False,,(very brown),20B
8B-PM-1012-02,False,True,False,False,4,True,hiding in bushes,,08B
29C-AM-1007-02,False,True,True,False,4,False,,,29C
32D-PM-1006-03,True,False,False,False,4,False,,,32D
14F-AM-1007-02,False,False,False,False,4,True,,,14F
39B-PM-1014-02,False,False,False,False,4,True,,,39B
9A-PM-1010-04,False,False,True,False,4,False,,,09A
14E-AM-1008-08,False,True,True,False,4,True,,,14E
35A-PM-1013-06,False,True,True,False,4,False,,,35A
12A-PM-1013-04,False,False,False,False,4,False,,,12A
33E-AM-1014-09,False,False,False,False,4,False,,,33E
9B-PM-1013-02,True,False,False,False,4,True,,,09B
7E-AM-1006-06,False,False,True,False,4,False,,,07E
22F-PM-1014-05,False,False,False,False,4,False,,,22F
22D-PM-1012-01,False,False,False,True,4,False,,,22D
12H-PM-1007-02,False,False,False,False,4,False,in tree,,12H
9C-PM-1006-01,False,True,False,False,4,True,,,09C
1C-AM-1012-01,False,True,True,False,4,False,,"Gray, Black, & Cinnamon selected as Primary. Cinnamon & White selected as Highlights. Made executive adjustments.",01C
42C-AM-1007-04,False,False,False,False,4,False,,young adult,42C
33H-AM-1019-02,False,False,False,False,4,False,,,33H
9F-PM-1014-03,False,False,False,False,4,True,,,09F
14E-AM-1008-07,False,False,False,False,4,True,,,14E
21D-AM-1008-02,True,False,False,False,4,True,,,21D
16G-AM-1010-02,False,False,False,False,4,True,,,16G
5F-AM-1007-04,False,False,False,False,4,True,rocks,,05F
37H-PM-1006-04,False,False,False,False,4,False,tree,,37H
27A-PM-1006-01,False,False,False,False,4,True,on a tree,,27A
1F-AM-1010-01,False,False,False,False,4,False,,,01F
38G-PM-1020-10,False,True,True,False,4,False,,,38G
7H-AM-1006-04,False,False,False,False,4,True,,,07H
2F-AM-1006-01,True,False,False,False,4,True,walking along path,,02F
38E-AM-1010-02,False,False,False,False,4,False,,,38E
41D-AM-1014-05,False,False,False,False,4,True,,,41D
2D-AM-1007-06,False,False,False,False,4,True,,,02D
33I-AM-1008-03,False,False,False,False,4,False,98th @ edge of park,,33I
3B-PM-1007-11,False,False,False,False,4,False,in tree,,03B
32E-AM-1007-13,False,False,False,False,4,False,,,32E
11E-AM-1013-04,False,False,False,False,4,True,,,11E
10H-AM-1014-05,False,False,False,False,4,True,,,10H
31D-AM-1014-03,False,True,False,False,4,True,Undergrowth,,31D
22C-AM-1013-01,False,False,False,False,4,False,,,22C
32E-PM-1017-03,False,False,False,False,4,False,bottom of tree,,32E
38C-PM-1014-09,False,False,False,False,4,False,,,38C
14F-PM-1012-01,False,False,True,False,4,True,,,14F
9G-AM-1007-04,False,False,False,False,4,False,,,09G
14E-PM-1017-04,False,False,False,False,4,True,,,14E
17C-PM-1013-05,False,False,False,False,4,False,,,17C
6B-PM-1017-04,False,False,True,False,4,True,,,06B
14D-AM-1014-03,False,False,False,False,4,True,,,14D
12I-AM-1013-01,True,True,False,False,4,False,on tree roots,,12I
5A-AM-1006-05,False,True,False,False,4,True,near 65th St arch,,05A
39G-AM-1018-01,False,False,False,False,4,False,,,39G
31F-PM-1007-04,False,True,False,False,4,True,,,31F
16D-PM-1010-06,False,False,True,False,4,True,,,16D
36F-PM-1012-04,False,True,False,False,4,True,,,36F
32E-AM-1007-01,False,True,False,False,4,False,,,32E
8D-AM-1007-04,False,False,False,False,4,False,,,08D
38D-AM-1017-03,False,False,False,False,4,True,,,38D
10A-PM-1014-04,False,True,True,False,4,False,,,10A
