activitydetailid,lotid,area,civilian_hrs,fivedayletterno,lotdupinspectionrequestid,streetaddress,lotcleaningtotal,crossstreettwo,used_house1,total_tonnage,activitystatusdate,firstname,old_status_rea_dd,isdeleted,segmentid,ccuno,coordinatex,operatorid_detail,lotno,zone,requestconversion_notes,dumpsiteid,l_tires
87354,41841,39.0,0,,,,,,,0.0,2010-11-02T14:55:54.000,,,0,,610853,,579,50,7.0,PB STATUS = ASSIGNED TO INTAKE,,0
232228,131159,39.0,60,,,,,,,3.0,2010-11-02T14:55:57.000,,,0,,9902570,,694,62,1.0,PB STATUS = ASSIGNED TO INTAKE,,0
271494,182361,0.0,28,,,VALENTINE AVENUE,0.0,EAST 180 STREET,2127,1.44,2012-03-12T10:05:10.000,,,0,78435.0,1205908,1012044.0,694,101,7.0,,0.0,0
207388,32165,,0,,,,,,,598.22,2010-11-02T14:55:57.000,,,0,,9707270,,619,84,6.0,PB STATUS = ASSIGNED TO INTAKE,,0
251351,147281,39.0,124,,,,,,,15.0,2010-11-02T14:55:57.000,,,0,,206717,,694,52,7.0,PB STATUS = ASSIGNED TO INTAKE,,0
272147,181903,0.0,0,,,ANDROVETTE AVENUE,0.0,AMBOY ROAD,28,0.65,2012-03-27T09:15:08.000,,,0,2680.0,1205477,930684.0,694,84,11.0,,0.0,0
273053,182954,0.0,0,,,164 STREET,0.0,104 ROAD,104-59,0.02,2012-04-16T11:23:02.000,,,0,60201.0,1206388,1041818.0,694,49,9.0,,0.0,0
229533,134747,39.0,0,,,,,,,85.0,2010-11-02T14:55:59.000,,,0,,103908,,694,33,6.0,PB STATUS = ASSIGNED TO INTAKE,,0
313987,204033,0.0,0,,,EDGEMERE AVENUE,0.0,BEACH 38 STREET,,0.0,2015-03-16T11:38:58.000,,,0,0.0,1410738,0.0,694,75,10.0,,0.0,0
68187,31105,39.0,0,,,,,,,0.0,2010-11-02T14:55:54.000,,,0,,514051,,694,22,2.0,PB STATUS = ASSIGNED TO INTAKE,,0
6023,152654,39.0,0,,,,,,,10.0,2010-11-02T14:55:59.000,,,0,,209592,,694,15,7.0,PB STATUS = ASSIGNED TO INTAKE,,0
75616,8132,,0,,,,,,,308.2,2010-11-02T14:55:54.000,,,0,,9803742,,664,56,10.0,PB STATUS = ASSIGNED TO INTAKE,,0
41719,7338,39.0,0,,,,,,,2.0,2010-11-02T14:55:56.000,,,0,,406755,,693,35,7.0,PB STATUS = ASSIGNED TO INTAKE,,0
178565,75266,39.0,0,,,,,,,194.1,2010-11-02T14:55:59.000,,,0,,9901577,,619,1,8.0,PB STATUS = ASSIGNED TO INTAKE,,0
43862,13967,40.0,0,,,,,,,2.91,2010-11-02T14:55:56.000,,,0,,411211,,554,69,9.0,PB STATUS = ASSIGNED TO INTAKE,,0
319864,207691,0.0,0,,,AVENUE J,0.0,EAST   85 STREET,8515,0.0,2015-07-21T09:07:56.000,,,0,42826.0,1506670,1009894.0,694,3,1.0,,0.0,0
324940,209541,0.0,6,,,FULTON STREET,0.0,HULL STREET,2012,9.41,2015-11-23T12:42:55.000,,,0,167593.0,1509128,1007101.0,694,19,2.0,,0.0,0
231882,134136,39.0,0,,,,,,,35.89,2010-11-02T14:55:59.000,,,0,,103489,,694,33,6.0,PB STATUS = ASSIGNED TO INTAKE,,0
