property_name,largest_property_use_type,borough,energy_star_certification,hospital_general_medical_5,district_steam_use_kbtu,alert_energy_meter_has_single,national_median_total_ghg,hospital_general_medical_10,city,data_center_cooling_equipment,source_eui_kbtu_ft,hospital_general_medical_12,irrigated_area_ft,green_power_onsite_kwh,indirect_ghg_emissions_metric,medical_office_percent_that,primary_property_type_self,data_center_ups_system,data_center_pdu_input_meter,water_score_multifamily_only,hospital_general_medical_6,kerosene_use_kbtu,estimated_data_flag_1,data_quality_checker_run,_3rd_largest_property_use_1,hotel_room_density_number,third_party_certification_1,electricity_use_grid_purchase_1,multifamily_housing_total_1,primary_property_type,office_number_of_workers,office_number_of_computers,municipally_supplied_potable_2,worship_facility_gross_floor,district_hot_water_use_kbtu,direct_ghg_emissions_metric,laboratory_gross_floor_area,residence_hall_dormitory,municipally_supplied_potable,other_number_of_workers_on,avoided_emissions_offsite,last_modified_date_electric,energy_star_certification_2,water_use_intensity_all_water,medical_office_weekly,hotel_gym_fitness_center,generation_date,hospital_general_medical_9,hospital_general_medical_1,energy_power_station_gross,energy_star_score,social_meeting_hall_gross,costar_property_id,data_center_pdu_output_meter,data_quality_checker_date,bank_branch_gross_floor_area
R018-0500085,K-12 School,STATEN IS,Not Available,Not Available,Not Available,Ok,472,Not Available,Staten Island,Not Available,93.5,Not Available,Not Available,Not Available,165.5,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,572679.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,217.4,Not Available,Not Available,Not Available,Not Available,0,04/11/2019 11:54 AM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:16.000,Not Available,Not Available,Not Available,69,Not Available,Not Available,Not Available,Not Available,Not Available
Q045-0400040,K-12 School,QUEENS,Not Available,Not Available,Not Available,Ok,272.4,Not Available,Queens,Not Available,89.4,Not Available,Not Available,Not Available,77.7,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,268880,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,191.3,Not Available,Not Available,Not Available,Not Available,0,04/11/2019 11:55 AM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:19.000,Not Available,Not Available,Not Available,51,Not Available,Not Available,Not Available,Not Available,Not Available
M180-0100153,K-12 School,MANHATTAN,Not Available,Not Available,Not Available,Ok,560.4,Not Available,New York,Not Available,110.2,Not Available,Not Available,Not Available,163.6,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,566079.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,302.9,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:43.000,Not Available,Not Available,Not Available,67,Not Available,Not Available,Not Available,Not Available,Not Available
1301 Avenue of the Americas,Office,MANHATTAN,"2018, 2017, 2009",Not Available,113654371.9,Ok,18146.1,Not Available,New York,N+1,203.6,Not Available,Not Available,Not Available,13719.8,Not Available,Office,N+1,0,Not Available,Not Available,Not Available,Not Available,No,18349,Not Available,Not Available,21363967,Not Available,Office,4657,6052,Not Available,Not Available,Not Available,3666.9,Not Available,Not Available,Not Available,Not Available,0,03/18/2019 09:02 AM EDT,No,16.87,Not Available,Not Available,2019-03-20T12:05:07.000,Not Available,Not Available,Not Available,53,Not Available,Not Available,0,Not Available,Not Available
M646-0100189,K-12 School,MANHATTAN,Not Available,Not Available,Not Available,Ok,520.9,Not Available,New York,Not Available,156.4,Not Available,Not Available,Not Available,306.4,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,1060399.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,387.8,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:44.000,Not Available,Not Available,Not Available,22,Not Available,Not Available,Not Available,Not Available,Not Available
Q194-0400198,K-12 School,QUEENS,Not Available,Not Available,Not Available,Ok,773.2,Not Available,Queens,Not Available,73.2,Not Available,Not Available,Not Available,178.6,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,618239.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,390.9,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:52.000,Not Available,Not Available,Not Available,76,Not Available,Not Available,Not Available,Not Available,Not Available
2 Park Avenue,Office,MANHATTAN,"2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009",Not Available,17776925.1,Ok,6115,Not Available,New York,Not Available,151.7,Not Available,Not Available,Not Available,4739.3,Not Available,Office,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,13106,Not Available,Not Available,12316449.8,Not Available,Office,2735,2735,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,47,0,04/01/2019 09:29 AM EDT,No,15.65,Not Available,Not Available,2019-04-24T10:40:07.000,Not Available,Not Available,Not Available,68,Not Available,Not Available,Not Available,2019-04-24,13106
M019-0100040,K-12 School,MANHATTAN,Not Available,Not Available,Not Available,Ok,497.8,Not Available,New York,Not Available,80.9,Not Available,Not Available,Not Available,100.1,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,346400,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,250.8,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:17.000,Not Available,Not Available,Not Available,79,Not Available,Not Available,Not Available,Not Available,Not Available
K465-0300352,K-12 School,BROOKLYN,Not Available,Not Available,Not Available,Ok,2612.2,Not Available,Brooklyn,Not Available,117.6,Not Available,Not Available,Not Available,613.5,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,2123199.7,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,1805.7,Not Available,Not Available,Not Available,Not Available,0,04/11/2019 11:54 AM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:41.000,Not Available,Not Available,Not Available,57,Not Available,Not Available,Not Available,Not Available,Not Available
K057-0300077,K-12 School,BROOKLYN,Not Available,Not Available,Not Available,Ok,796.4,Not Available,Brooklyn,Not Available,92.7,Not Available,Not Available,Not Available,219.4,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,759199.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,406.9,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:41.000,Not Available,Not Available,Not Available,72,Not Available,Not Available,Not Available,Not Available,Not Available
K044-0300066,K-12 School,BROOKLYN,Not Available,Not Available,Not Available,Ok,357.4,Not Available,Brooklyn,Not Available,89.3,Not Available,Not Available,Not Available,134.3,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,464800,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,219.7,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:21.000,Not Available,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available
K099-0300109,K-12 School,BROOKLYN,Not Available,Not Available,Not Available,Ok,490,Not Available,Brooklyn,Not Available,90.3,Not Available,Not Available,Not Available,97,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,335760,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,291.7,Not Available,Not Available,Not Available,Not Available,0,04/11/2019 11:54 AM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:39.000,Not Available,Not Available,Not Available,71,Not Available,Not Available,Not Available,Not Available,Not Available
R008-0500034,K-12 School,STATEN IS,Not Available,Not Available,Not Available,Ok,333.3,Not Available,Staten Island,Not Available,89.6,Not Available,Not Available,Not Available,68.2,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,236000,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,224.5,Not Available,Not Available,Not Available,Not Available,0,04/11/2019 11:54 AM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:38.000,Not Available,Not Available,Not Available,62,Not Available,Not Available,Not Available,Not Available,Not Available
K415-0300372,K-12 School,BROOKLYN,Not Available,Not Available,Not Available,Ok,1723.4,Not Available,Brooklyn,Not Available,106.5,Not Available,Not Available,Not Available,346.5,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,1199200,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,1087.7,Not Available,Not Available,Not Available,Not Available,0,04/11/2019 11:54 AM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:25.000,Not Available,Not Available,Not Available,67,Not Available,Not Available,Not Available,Not Available,Not Available
M052-0100066,K-12 School,MANHATTAN,Not Available,Not Available,Not Available,Ok,1009.1,Not Available,New York,Not Available,118.7,Not Available,Not Available,Not Available,257.5,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,891199.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,813.5,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:28.000,Not Available,Not Available,Not Available,44,Not Available,Not Available,Not Available,Not Available,Not Available
K316-0300306,K-12 School,BROOKLYN,Not Available,Not Available,Not Available,Ok,507.7,Not Available,Brooklyn,Not Available,118.9,Not Available,Not Available,Not Available,147,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,508800,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,511.5,Not Available,Not Available,Not Available,Not Available,0,04/11/2019 11:55 AM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:44.000,Not Available,Not Available,Not Available,25,Not Available,Not Available,Not Available,Not Available,Not Available
R061-0500338,K-12 School,STATEN IS,Not Available,Not Available,Not Available,Ok,925.2,Not Available,Staten Island,Not Available,60.8,Not Available,Not Available,Not Available,198.8,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,687999.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,434,Not Available,Not Available,Not Available,Not Available,0,04/11/2019 11:54 AM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:27.000,Not Available,Not Available,Not Available,81,Not Available,Not Available,Not Available,Not Available,Not Available
K308-0300303,K-12 School,BROOKLYN,Not Available,Not Available,Not Available,Ok,843.6,Not Available,Brooklyn,Not Available,86.5,Not Available,Not Available,Not Available,212.7,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,736199.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,374.5,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:27.000,Not Available,Not Available,Not Available,80,Not Available,Not Available,Not Available,Not Available,Not Available
M970-0101509,K-12 School,MANHATTAN,Not Available,Not Available,Not Available,Ok,450.2,Not Available,New York,Not Available,163.6,Not Available,Not Available,Not Available,341.2,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,1180799.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,172.7,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:53.000,Not Available,Not Available,Not Available,36,Not Available,Not Available,Not Available,Not Available,Not Available
M048-0101323,K-12 School,MANHATTAN,Not Available,Not Available,Not Available,Ok,490.4,Not Available,New York,Not Available,143.7,Not Available,Not Available,Not Available,383.2,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,1325999.8,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,206.7,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:25.000,Not Available,Not Available,Not Available,31,Not Available,Not Available,Not Available,Not Available,Not Available
X015-0200274,K-12 School,BRONX,Not Available,Not Available,Not Available,Ok,800.4,Not Available,Bronx,Not Available,198.2,Not Available,Not Available,Not Available,760.1,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,2630399.7,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,354,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:42.000,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available
M630-0100178 (closed),K-12 School,MANHATTAN,Not Available,Not Available,Not Available,Ok,1021.6,Not Available,New York,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,01/31/2018 12:42 PM EST,No,Not Available,Not Available,Not Available,2019-05-01T15:12:37.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
M066-0100074,K-12 School,MANHATTAN,Not Available,Not Available,Not Available,Ok,307.5,Not Available,New York,Not Available,80.9,Not Available,Not Available,Not Available,102.6,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,355200,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,113.6,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:30.000,Not Available,Not Available,Not Available,80,Not Available,Not Available,Not Available,Not Available,Not Available
90 Park,Office,MANHATTAN,Not Available,Not Available,43261807.3,Ok,7300.6,Not Available,New York,Not Available,198.3,Not Available,Not Available,Not Available,6609.6,Not Available,Office,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,13733,Not Available,Not Available,12932907.1,Not Available,Office,3118,3518,Not Available,Not Available,Not Available,29.5,Not Available,Not Available,Not Available,53,0,04/04/2019 08:42 PM EDT,No,20.63,Not Available,Not Available,2019-04-26T17:13:37.000,Not Available,Not Available,Not Available,57,Not Available,Not Available,Not Available,Not Available,13411
X068-0200105,K-12 School,BRONX,Not Available,Not Available,Not Available,Ok,636.4,Not Available,Bronx,Not Available,148.5,Not Available,Not Available,Not Available,204.6,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,707919.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,537.8,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:40.000,Not Available,Not Available,Not Available,34,Not Available,Not Available,Not Available,Not Available,Not Available
X150-0200194,K-12 School,BRONX,Not Available,Not Available,Not Available,Ok,514,Not Available,Bronx,Not Available,66.4,Not Available,Not Available,Not Available,134.2,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,464399.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,233.3,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:35.000,Not Available,Not Available,Not Available,78,Not Available,Not Available,Not Available,Not Available,Not Available
Q017-0400018,K-12 School,QUEENS,Not Available,Not Available,Not Available,Ok,634.9,Not Available,Queens,Not Available,73.7,Not Available,Not Available,Not Available,130.1,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,450399.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,324.1,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:31.000,Not Available,Not Available,Not Available,78,Not Available,Not Available,Not Available,Not Available,Not Available
M002-0100027,K-12 School,MANHATTAN,Not Available,Not Available,3412451.9,Ok,609.3,Not Available,New York,Not Available,80.7,Not Available,Not Available,Not Available,365.7,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,481599.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,5.9,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:25.000,Not Available,Not Available,Not Available,87,Not Available,Not Available,Not Available,Not Available,Not Available
K377-0300327,K-12 School,BROOKLYN,Not Available,Not Available,Not Available,Ok,454.4,Not Available,Brooklyn,Not Available,73.3,Not Available,Not Available,Not Available,161.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,560399.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,196.5,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:54.000,Not Available,Not Available,Not Available,71,Not Available,Not Available,Not Available,Not Available,Not Available
Q400-0400227,K-12 School,QUEENS,Not Available,Not Available,Not Available,Ok,1731.5,Not Available,Queens,Not Available,93.9,Not Available,Not Available,Not Available,317.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,1100079.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,1169.7,Not Available,Not Available,Not Available,Not Available,0,04/11/2019 11:54 AM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:15.000,Not Available,Not Available,Not Available,64,Not Available,Not Available,Not Available,Not Available,Not Available
124110 - 1370 Avenue of the Americas,Office,MANHATTAN,Not Available,Not Available,26622613.9,Ok,2364.2,Not Available,New York,Not Available,222.1,Not Available,Not Available,Not Available,3134,Not Available,Office,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,12211,Not Available,Not Available,4728366.3,Not Available,Office,195,412,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,04/02/2019 04:37 PM EDT,No,20.76,Not Available,Not Available,2019-04-12T12:25:21.000,Not Available,Not Available,Not Available,28,Not Available,Not Available,Not Available,2019-04-12,12211
K214-0300218,K-12 School,BROOKLYN,Not Available,Not Available,Not Available,Ok,525.7,Not Available,Brooklyn,Not Available,89.5,Not Available,Not Available,Not Available,114.1,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,394800,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,296.9,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:28.000,Not Available,Not Available,Not Available,72,Not Available,Not Available,Not Available,Not Available,Not Available
K191-0300193,K-12 School,BROOKLYN,Not Available,Not Available,Not Available,Ok,570.1,Not Available,Brooklyn,Not Available,132.7,Not Available,Not Available,Not Available,132.2,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,457599.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,528.6,Not Available,Not Available,Not Available,Not Available,0,04/11/2019 11:54 AM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:25.000,Not Available,Not Available,Not Available,35,Not Available,Not Available,Not Available,Not Available,Not Available
29WFC-Sheraton New York Hotel & Towers,Hotel,MANHATTAN,Not Available,Not Available,Not Available,Ok,8318,Not Available,New York,Not Available,201.6,Not Available,Not Available,Not Available,4391.6,Not Available,Hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Not Available,1.50644,Not Available,15197774.7,Not Available,Hotel,Not Available,Not Available,Not Available,Not Available,Not Available,4536.5,Not Available,Not Available,Not Available,Not Available,0,03/11/2019 06:48 PM EDT,No,53.21,Not Available,Not Available,2019-03-13T16:22:26.000,Not Available,Not Available,Not Available,41,Not Available,Not Available,Not Available,2019-03-13,Not Available
Q021-0400022,K-12 School,QUEENS,Not Available,Not Available,Not Available,Ok,582.9,Not Available,Queens,Not Available,93,Not Available,Not Available,Not Available,222.8,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,771199.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,300.6,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:46.000,Not Available,Not Available,Not Available,60,Not Available,Not Available,Not Available,Not Available,Not Available
Q111-0400098,K-12 School,QUEENS,Not Available,Not Available,Not Available,Ok,474.8,Not Available,Queens,Not Available,100.8,Not Available,Not Available,Not Available,123.1,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,426160,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,326.7,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:29.000,Not Available,Not Available,Not Available,55,Not Available,Not Available,Not Available,Not Available,Not Available
"R460, R462-0500088",K-12 School,STATEN IS,Not Available,Not Available,Not Available,Ok,2384.8,Not Available,Staten Island,Not Available,91.9,Not Available,Not Available,Not Available,620.1,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,2145799.7,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,1226.2,Not Available,Not Available,Not Available,Not Available,0,04/11/2019 11:55 AM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:22.000,Not Available,Not Available,Not Available,73,Not Available,Not Available,Not Available,Not Available,Not Available
M090-0101345,K-12 School,MANHATTAN,Not Available,Not Available,Not Available,Ok,997.7,Not Available,New York,Not Available,105.3,Not Available,Not Available,Not Available,413.3,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,1430399.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,339.1,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:39.000,Not Available,Not Available,Not Available,75,Not Available,Not Available,Not Available,Not Available,Not Available
Q139-0400125,K-12 School,QUEENS,Not Available,Not Available,Not Available,Ok,378.3,Not Available,Queens,Not Available,97.1,Not Available,Not Available,Not Available,119.2,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,412639.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,213.5,Not Available,Not Available,Not Available,Not Available,0,04/11/2019 11:54 AM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:32.000,Not Available,Not Available,Not Available,62,Not Available,Not Available,Not Available,Not Available,Not Available
K262-0300266,K-12 School,BROOKLYN,Not Available,Not Available,Not Available,Ok,615.2,Not Available,Brooklyn,Not Available,81.2,Not Available,Not Available,Not Available,91.1,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,315200,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,370.2,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:28.000,Not Available,Not Available,Not Available,75,Not Available,Not Available,Not Available,Not Available,Not Available
M490-0100198,K-12 School,MANHATTAN,Not Available,Not Available,17172108.9,Ok,2795,Not Available,New York,Not Available,125,Not Available,Not Available,Not Available,2497.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,4698399.4,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,4,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:21.000,Not Available,Not Available,Not Available,60,Not Available,Not Available,Not Available,Not Available,Not Available
M043-0100059,K-12 School,MANHATTAN,Not Available,Not Available,Not Available,Ok,793.9,Not Available,New York,Not Available,102.6,Not Available,Not Available,Not Available,227.2,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,786399.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,424.6,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:37.000,Not Available,Not Available,Not Available,68,Not Available,Not Available,Not Available,Not Available,Not Available
K008-0300035,K-12 School,BROOKLYN,Not Available,Not Available,Not Available,Ok,319.4,Not Available,Brooklyn,Not Available,118.5,Not Available,Not Available,Not Available,171.2,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,592399.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,145.4,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:16.000,Not Available,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available
Q075-0400067,K-12 School,QUEENS,Not Available,Not Available,Not Available,Ok,336.5,Not Available,Queens,Not Available,83.9,Not Available,Not Available,Not Available,102.3,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,353999.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,129.8,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:50.000,Not Available,Not Available,Not Available,81,Not Available,Not Available,Not Available,Not Available,Not Available
R007-0500032,K-12 School,STATEN IS,Not Available,Not Available,Not Available,Ok,885.2,Not Available,Staten Island,Not Available,60.4,Not Available,Not Available,Not Available,179.8,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,622399.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,417.2,Not Available,Not Available,Not Available,Not Available,0,04/11/2019 11:55 AM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:20.000,Not Available,Not Available,Not Available,82,Not Available,Not Available,Not Available,Not Available,Not Available
