school_name,q117_in_planning_my_last_1,q69_the_principal_assistant_1,q75_the_performance_of_the_1,q154_how_many_adults_at_this,q106_in_planning_my_last,q100_in_planning_my_last_1,q10_i_am_able_to_empower_1,q4_how_many_teachers_at_this,q36_the_principal_school,q80_in_planning_my_last_1,q128_in_planning_my_last,q169_it_s_a_priority_at_this_1,q88_in_planning_my_last,q125_in_planning_my_last_1,q47_at_this_school_once_we,q46_at_this_school_the_1,q81_in_planning_my_last_1,q29_i_would_recommend_this_1,q8_i_am_able_to_ensure_1,q52_at_this_school_teachers_1,q49_at_this_school_teachers,q134_in_planning_my_last_1,q142_how_many_students_in_1,q46_at_this_school_the,q135_how_many_students_in_1,q8_i_am_able_to_ensure,q121_in_planning_my_last_1,q130_in_planning_my_last_1,q136_how_many_students_in_1,q57_overall_my_professional_1,q131_in_planning_my_last_1,q135_how_many_students_in,q111_in_planning_my_last,q108_in_planning_my_last,q30_i_feel_respected_by_the_1,q123_in_planning_my_last_1,q106_in_planning_my_last_1,q43_at_this_school_there_1,q115_in_planning_my_last,q70_the_principal_school_1,q48_at_this_school_it_is,q31_the_principal_school_1,q87_in_planning_my_last_1,q127_in_planning_my_last_1,q48_at_this_school_it_is_1,q34_at_this_school_it_s_ok,q43_at_this_school_there,q17_central_doe_employees,q165_my_students_are_safe_1,q100_in_planning_my_last,q125_in_planning_my_last,q7_i_am_able_to_modify,q165_my_students_are_safe,q90_in_planning_my_last,q61_the_principal_school_1,q117_in_planning_my_last,q38_the_principal_and,q101_in_planning_my_last,q1_how_many_teachers_at_this,q126_in_planning_my_last,q130_in_planning_my_last,q57_overall_my_professional,q145_how_many_students_in_1,q61_the_principal_school,q14_i_am_able_to_monitor,q103_in_planning_my_last_1,q45_at_this_school_students_1,q44_this_school_has_well_1,q85_in_planning_my_last_1,q129_in_planning_my_last,q169_it_s_a_priority_at_this,q38_the_principal_and_1,q173_adults_at_this_school,q15_i_am_able_to_distinguish,q112_in_planning_my_last_1,q86_in_planning_my_last,q131_in_planning_my_last,q79_in_planning_my_last,q114_in_planning_my_last,q91_in_planning_my_last,q60_overall_my_professional,q122_in_planning_my_last,q143_how_many_students_in,q101_in_planning_my_last_1,q72_how_much_influence_do_1,q147_how_many_students_in_1,q2_how_many_teachers_at_this_1,q40_i_feel_respected_by_1,q140_discipline_is_applied,q146_how_many_students_in,q150_how_many_adults_at_this,q110_in_planning_my_last_1,q171_adults_at_this_school_1,q33_i_trust_the_principal_1,q105_in_planning_my_last,q132_in_planning_my_last_1,total_teacher_response_rate,q56_at_this_school_school_1,q86_in_planning_my_last_1,q23_teachers_in_this_school,q34_at_this_school_it_s_ok_1,q63_the_principal_school_1,q21_i_usually_look_forward,q62_the_principal_school,q12_i_am_able_to_apply_my,q23_teachers_in_this_school_1,q154_how_many_adults_at_this_1,q114_in_planning_my_last_1,q14_i_am_able_to_monitor_1,q27_i_feel_respected_by_other_1,q40_i_feel_respected_by,q175_adults_at_this_school_1,q11_i_am_able_to_design_1,q78_in_planning_my_last_1,q110_in_planning_my_last,q167_my_students_are_safe_1,q45_at_this_school_students,q88_in_planning_my_last_1,q3_how_many_teachers_at_this,q11_i_am_able_to_design,q65_the_principal_assistant,q129_in_planning_my_last_1,q32_the_principal_school_1,q104_in_planning_my_last_1
P.S. 041 Gun Hill Road,0.08,0.21,0.26,0.89,1.0,0.0,0.06,0.94,0.68,,0.84,0.0,0.83,0.16,0.82,0.17,0.33,0.14,0.06,0.02,0.94,0.12,0.02,0.83,0.36,0.94,0.08,0.12,0.45,0.14,0.04,0.64,1.0,1.0,0.14,0.08,0.0,0.08,1.0,0.17,0.8,0.19,0.17,0.08,0.2,0.7,0.92,,0.43,1.0,0.84,0.96,0.57,0.83,0.12,0.92,0.85,1.0,0.92,0.88,0.88,0.86,0.06,0.88,0.96,0.0,0.29,0.04,0.17,0.96,1.0,0.15,0.0,0.96,0.0,0.83,0.96,,0.92,0.83,0.9,1.0,0.7,0.0,0.38,0.13,0.2,0.08,0.87,0.7,0.93,0.0,0.0,0.27,1.0,0.12,0.85,0.06,0.17,0.83,0.3,0.16,0.86,0.86,0.92,0.17,0.11,0.08,0.04,0.0,0.92,0.0,0.04,,1.0,0.0,0.71,0.17,0.76,0.96,0.85,0.04,0.23,0.0
Academy For Conservation And The Environment,,0.24,0.36,0.86,,,0.05,0.82,0.75,0.0,,0.0,1.0,,0.82,0.18,0.0,0.15,0.05,0.06,0.88,,0.07,0.82,0.27,0.95,,,0.2,0.12,,0.73,,,0.15,,,0.12,,0.24,0.88,0.15,0.0,,0.12,0.75,0.88,,0.0,,,1.0,0.0,1.0,0.0,,1.0,,0.89,,,0.88,0.0,1.0,0.95,,0.12,0.12,0.0,,0.0,0.0,1.0,1.0,,1.0,,0.0,,1.0,0.82,,0.87,,0.0,0.13,0.23,0.18,0.8,0.67,1.0,,0.0,0.16,,,0.85,0.06,0.0,0.9,0.25,0.06,0.85,1.0,1.0,0.1,0.14,,0.05,0.1,0.82,0.0,0.0,0.0,,0.0,0.88,0.0,0.73,1.0,0.82,,0.2,
M.S. 302 Luisa Dessus Cruz,0.0,0.04,0.12,0.88,1.0,,0.0,0.93,1.0,0.0,1.0,0.0,,0.0,0.96,0.0,,0.0,0.0,0.0,1.0,0.0,0.2,1.0,0.2,1.0,0.0,0.11,0.2,0.08,0.0,0.8,1.0,0.92,0.0,0.0,0.0,0.04,1.0,0.0,1.0,0.0,,0.0,0.0,0.96,0.96,,0.0,,1.0,1.0,0.0,,0.0,1.0,1.0,,0.96,1.0,0.89,0.92,0.12,1.0,1.0,0.0,0.08,0.0,,0.89,1.0,0.0,0.0,1.0,0.0,,1.0,0.0,1.0,,0.92,1.0,0.76,,0.04,0.2,0.07,0.0,1.0,0.54,0.92,0.08,0.0,0.0,1.0,0.0,0.7,0.0,,0.89,0.04,0.0,0.96,1.0,0.96,0.11,0.12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.92,0.0,0.92,,0.85,1.0,0.92,0.11,0.0,0.0
Mott Hall Bronx High School,,0.27,0.38,0.62,1.0,0.0,0.05,0.74,0.96,0.0,1.0,0.0,,0.0,0.52,0.13,,0.13,0.18,0.04,0.82,0.0,0.2,0.87,0.52,0.82,,0.17,0.52,0.55,0.33,0.48,0.71,0.86,0.04,,0.0,0.09,,0.68,0.5,0.27,,0.0,0.5,1.0,0.91,,0.0,1.0,1.0,0.91,0.0,,0.35,,0.78,0.8,0.81,0.83,0.83,0.45,0.3,0.65,0.59,0.0,0.43,0.39,,1.0,0.0,0.22,0.95,0.86,0.14,,0.67,0.0,,,0.78,,0.35,0.2,0.04,0.5,0.48,0.0,0.71,0.3,0.77,0.43,0.05,0.36,0.86,0.0,0.79,0.09,,0.61,0.0,0.18,0.87,0.55,0.71,0.39,0.38,,0.41,0.09,1.0,0.19,0.17,0.0,0.57,0.0,0.57,,0.52,0.83,0.78,0.0,0.04,0.0
"Metropolitan High School, The",,0.35,0.44,0.65,0.5,,0.1,0.64,0.76,0.0,0.6,0.0,0.83,0.17,0.52,0.38,0.33,0.62,0.05,0.19,0.9,0.17,0.25,0.62,0.65,0.95,,0.4,0.6,0.2,0.5,0.35,0.5,0.5,0.24,,0.5,0.38,,0.1,0.57,0.29,0.33,0.33,0.43,0.71,0.62,,0.0,,0.83,0.95,0.0,0.67,0.3,,0.48,,0.86,0.67,0.6,0.8,0.4,0.7,0.85,0.5,0.1,0.33,0.5,0.8,0.0,0.52,0.74,0.95,0.5,0.67,0.5,0.0,,0.67,0.7,,0.35,,0.4,0.65,0.36,0.24,0.42,0.42,0.85,0.67,0.05,0.33,0.67,0.33,0.81,0.14,0.33,0.62,0.29,0.35,0.55,0.65,0.9,0.38,0.35,,0.15,0.14,0.76,0.15,0.1,0.0,0.33,0.0,0.9,0.17,0.68,0.9,0.7,0.2,0.33,0.5
Bronx Health Sciences High School,,0.0,,1.0,,,0.0,1.0,0.8,0.0,0.0,0.0,,0.0,1.0,0.0,,0.0,0.0,0.0,0.6,0.0,0.0,1.0,0.3,1.0,,0.0,0.5,0.3,0.0,0.7,,,0.1,,,0.1,,0.1,0.8,0.1,,0.0,0.2,0.7,0.9,,0.0,,0.0,1.0,0.0,,0.0,,1.0,,1.0,0.0,0.0,0.7,0.11,1.0,0.9,,0.1,0.0,,0.0,0.0,0.0,1.0,0.9,,,0.0,0.0,,,0.9,,0.7,,0.0,0.1,0.0,0.0,1.0,0.8,1.0,,0.0,0.2,,0.0,0.5,0.0,,0.9,0.3,0.0,0.9,0.9,0.7,0.1,0.0,,0.1,0.1,1.0,0.0,0.1,0.0,,0.0,0.9,,0.8,0.9,0.9,0.0,0.0,
Walkabout Bronx High School,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,
"Ps/Ms 20 P.O.George J. Werdann, Iii",0.67,0.37,0.51,0.8,1.0,0.2,0.04,0.82,0.57,0.25,0.88,0.1,0.67,0.16,0.52,0.48,0.33,0.39,0.07,0.06,0.86,0.07,0.29,0.52,0.61,0.93,0.5,0.08,0.55,0.37,0.16,0.39,0.91,1.0,0.32,0.33,0.0,0.22,0.33,0.24,0.56,0.49,0.33,0.12,0.44,0.53,0.78,,0.13,0.8,0.84,0.95,0.87,0.67,0.37,0.33,0.46,0.8,0.77,0.92,0.92,0.63,0.47,0.63,0.93,0.0,0.71,0.18,0.33,0.88,0.9,0.54,0.0,0.93,0.09,0.67,0.84,0.88,0.33,1.0,0.63,0.5,0.49,0.2,0.56,0.51,0.42,0.17,0.51,0.37,0.83,0.18,0.0,0.43,1.0,0.12,0.81,0.0,0.33,0.68,0.47,0.35,0.8,0.58,0.89,0.32,0.2,0.67,0.07,0.07,0.83,0.0,0.04,0.25,0.82,0.12,0.29,0.33,0.57,0.96,0.65,0.12,0.43,0.0
P.S. 226,0.0,0.21,0.17,0.86,,,0.0,0.87,0.71,,0.92,0.0,,0.08,0.79,0.14,,0.29,0.0,0.0,0.93,0.08,0.14,0.86,0.43,1.0,0.0,0.08,0.5,0.07,0.08,0.57,,,0.21,0.0,,0.07,0.0,0.21,0.86,0.29,,0.08,0.14,0.79,0.93,,0.1,,0.92,1.0,0.9,,0.14,0.0,0.71,,0.93,0.92,0.92,0.93,0.14,0.86,0.93,,0.29,0.07,,0.92,1.0,0.29,0.0,0.93,,,0.92,,0.0,,0.86,0.0,0.79,,0.14,0.21,0.27,0.15,0.69,0.69,0.86,,0.0,0.21,,0.08,0.5,0.0,,0.79,0.21,0.14,0.79,0.86,1.0,0.21,0.14,0.0,0.07,0.14,0.85,0.0,0.07,,,0.0,0.71,,0.93,0.93,0.86,0.08,0.31,
J.H.S. 143 Eleanor Roosevelt,0.0,0.05,0.18,0.91,1.0,,0.05,0.91,0.95,,1.0,0.05,1.0,0.17,0.91,0.0,0.0,0.05,0.09,0.05,0.95,0.0,0.19,1.0,0.41,0.91,0.0,0.0,0.32,0.09,0.0,0.59,1.0,1.0,0.05,0.0,0.0,0.05,1.0,0.14,0.95,0.05,0.0,0.0,0.05,0.95,0.95,,0.0,,0.83,0.9,0.0,1.0,0.0,1.0,1.0,,0.91,1.0,1.0,0.91,0.09,1.0,0.86,0.0,0.23,0.05,0.0,1.0,0.95,0.0,0.0,0.91,0.0,1.0,1.0,,1.0,1.0,0.95,1.0,0.77,,0.05,0.18,0.09,0.05,0.95,0.59,0.95,0.0,0.0,0.05,1.0,0.0,0.85,0.05,0.0,0.95,0.05,0.05,0.95,0.95,0.95,0.05,0.09,0.0,0.14,0.0,0.95,0.0,0.05,,1.0,0.0,0.77,0.0,0.83,0.95,0.95,0.0,0.05,0.0
P.S. 047 John Randolph,0.11,0.03,0.28,0.84,1.0,0.0,0.0,0.89,0.86,,0.92,0.06,1.0,0.06,0.86,0.04,0.12,0.09,0.0,0.04,0.94,0.06,0.16,0.96,0.38,1.0,0.11,0.04,0.45,0.07,0.06,0.62,1.0,0.92,0.04,0.12,0.0,0.01,0.89,0.07,0.86,0.07,0.0,0.0,0.14,0.86,0.99,,0.12,1.0,0.94,1.0,0.88,1.0,0.06,0.89,0.84,1.0,0.85,0.94,0.96,0.93,0.14,0.94,0.97,0.08,0.42,0.04,0.12,0.98,0.94,0.16,0.0,0.99,0.0,1.0,0.94,,0.89,1.0,0.88,0.89,0.7,0.0,0.34,0.25,0.3,0.06,0.77,0.55,0.85,0.0,0.0,0.07,1.0,0.02,0.91,0.01,0.0,0.81,0.14,0.14,0.96,0.96,1.0,0.19,0.16,0.11,0.03,0.14,0.94,0.0,0.0,,1.0,0.04,0.58,0.0,0.76,1.0,0.97,0.02,0.1,0.0
P.S. 159 Luis Munoz Marin Biling,,0.0,0.0,1.0,,,0.0,1.0,1.0,,1.0,0.0,,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.29,1.0,,0.0,0.36,0.0,0.0,0.71,,,0.0,,,0.0,,0.07,1.0,0.0,,0.0,0.0,1.0,1.0,,0.11,,1.0,1.0,0.89,,0.0,,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,0.0,0.0,,1.0,1.0,0.0,0.0,1.0,,,1.0,,,,1.0,,0.93,,0.21,0.29,0.0,0.0,1.0,0.69,1.0,,0.0,0.0,,0.0,0.93,0.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,,,0.0,1.0,,0.92,1.0,1.0,0.0,0.0,
Millennium Art Academy,0.0,0.16,0.24,0.9,1.0,0.0,0.0,0.94,0.94,0.0,1.0,0.0,,0.0,0.91,0.06,,0.03,0.0,0.0,0.97,0.0,0.12,0.94,0.26,1.0,0.0,0.0,0.19,0.06,0.0,0.74,1.0,1.0,0.06,0.0,0.0,0.0,1.0,0.23,0.88,0.15,,0.0,0.12,0.91,1.0,,0.0,1.0,1.0,1.0,0.0,,0.12,1.0,0.84,0.83,1.0,0.92,1.0,0.94,0.12,0.88,1.0,0.0,0.1,0.06,,1.0,0.0,0.16,0.97,1.0,0.0,,1.0,0.0,1.0,,0.97,1.0,0.81,0.17,0.09,0.09,0.15,0.06,0.97,0.81,0.9,0.0,0.0,0.15,1.0,0.0,0.94,0.0,,0.94,0.09,0.06,0.97,0.88,1.0,0.06,0.1,0.0,0.0,0.06,0.94,0.03,0.0,0.0,1.0,0.0,0.9,,0.82,1.0,0.84,0.0,0.06,0.0
Health Opportunities High School,,0.15,0.61,0.79,1.0,0.0,0.07,0.79,0.78,0.0,0.86,0.0,0.83,0.14,0.74,0.11,0.17,0.23,0.07,0.11,0.93,0.14,0.26,0.89,0.56,0.93,,0.14,0.48,0.2,0.14,0.44,1.0,1.0,0.15,,0.0,0.04,,0.19,0.7,0.35,0.17,0.14,0.3,0.85,0.96,,0.0,1.0,0.86,0.93,0.0,0.83,0.15,,0.88,1.0,0.85,0.86,0.86,0.8,0.3,0.85,0.92,0.0,0.41,0.11,0.17,0.86,0.0,0.12,0.88,0.96,0.0,0.83,0.86,0.0,,0.67,0.84,,0.67,0.0,0.22,0.22,0.21,0.08,0.81,0.52,0.8,0.0,0.08,0.26,1.0,0.17,0.85,0.04,0.17,0.78,0.15,0.33,0.85,0.7,0.96,0.22,0.21,,0.08,0.15,0.92,0.08,0.07,0.0,1.0,0.0,0.59,0.17,0.71,0.93,0.85,0.14,0.3,0.0
P.S. 006 Lillie D. Blake,0.0,0.16,0.21,0.95,1.0,,0.04,1.0,0.96,,1.0,0.05,,0.0,0.72,0.0,,0.04,0.04,0.04,0.96,0.0,0.05,1.0,0.23,0.96,0.0,0.07,0.41,0.2,0.07,0.77,1.0,1.0,0.08,0.0,0.0,0.0,1.0,0.04,0.84,0.12,,0.0,0.16,0.88,1.0,,0.0,,1.0,1.0,1.0,,0.04,1.0,1.0,,0.92,1.0,0.93,0.8,0.0,0.96,1.0,0.0,0.04,0.0,,1.0,0.95,0.0,0.0,1.0,0.0,,0.93,,1.0,,0.92,1.0,1.0,,0.16,0.0,0.24,0.04,0.84,1.0,0.95,0.0,0.0,0.12,1.0,0.0,0.64,0.04,,0.92,0.12,0.04,1.0,0.84,0.88,0.08,0.05,0.0,0.0,0.0,0.96,0.0,0.0,,1.0,0.0,0.96,,0.72,1.0,1.0,0.0,0.04,0.0
Bronx Engineering And Technology Academy,0.0,0.03,0.04,0.9,1.0,0.0,0.03,0.97,0.97,0.0,1.0,0.0,1.0,0.0,0.97,0.0,0.0,0.03,0.03,0.0,0.91,0.0,0.12,1.0,0.22,0.97,0.0,0.0,0.26,0.0,0.0,0.78,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.06,0.97,0.0,0.2,0.0,0.03,1.0,1.0,,0.0,1.0,1.0,0.94,0.0,0.8,0.0,1.0,1.0,1.0,0.94,1.0,1.0,1.0,0.06,1.0,0.97,0.0,0.03,0.06,0.2,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.91,0.0,0.0,0.06,0.03,0.09,0.97,0.84,0.97,0.0,0.03,0.0,1.0,0.0,1.0,0.0,0.0,0.94,0.0,0.0,0.97,1.0,0.97,0.06,0.1,0.0,0.03,0.0,0.91,0.0,0.06,0.0,1.0,0.0,0.97,0.0,0.97,0.94,1.0,0.0,0.0,0.0
The Children'S Workshop School,0.0,0.14,0.33,0.86,,0.0,0.07,0.87,0.93,0.0,1.0,0.0,,0.0,0.86,0.07,,0.14,0.07,0.07,0.86,0.0,0.07,0.93,0.0,0.93,,0.0,0.0,0.07,0.0,1.0,,,0.14,,,0.0,,0.14,0.86,0.14,,0.0,0.14,0.86,1.0,,0.08,0.0,1.0,0.93,0.92,,0.14,0.0,0.8,0.0,0.87,1.0,1.0,0.93,0.14,0.86,0.93,,0.07,0.14,,1.0,1.0,0.2,0.0,0.93,,,1.0,1.0,,,0.92,,0.86,0.0,0.07,0.14,0.2,,1.0,0.78,0.86,,0.0,0.14,,0.0,0.56,0.0,,0.86,0.14,0.07,0.93,0.86,0.93,0.14,0.14,,0.07,0.14,,0.0,0.07,0.0,,0.0,0.93,,0.73,0.93,0.86,0.0,0.07,
P.S. 040 Augustus Saint-Gaudens,,0.33,0.14,0.95,,,0.05,0.96,0.68,,0.81,0.0,,0.0,0.57,0.09,,0.04,0.09,0.0,0.95,0.0,0.0,0.91,0.32,0.91,,0.11,0.36,0.1,0.12,0.68,,,0.3,,,0.0,,0.36,0.77,0.09,,0.07,0.23,0.68,1.0,,0.0,,1.0,1.0,1.0,,0.18,,0.59,,1.0,1.0,0.89,0.9,0.05,0.82,0.81,,0.09,0.0,,1.0,1.0,0.41,0.0,0.91,,,0.88,,,,0.76,,0.77,,0.41,0.14,0.04,0.05,0.85,0.89,0.95,,0.0,0.27,,0.0,0.61,0.05,,1.0,0.32,0.32,0.68,0.77,0.77,0.0,0.05,,0.19,0.0,0.95,0.0,0.04,,,0.0,0.91,,0.87,0.96,0.73,0.0,0.35,
I.S. 318 Eugenio Maria De Hostos,0.08,0.16,0.39,0.87,0.91,0.0,0.0,0.94,0.94,0.0,1.0,0.07,1.0,0.0,0.81,0.06,0.0,0.05,0.01,0.01,0.91,0.0,0.05,0.94,0.2,0.99,0.08,0.0,0.25,0.09,0.0,0.8,0.86,0.95,0.05,0.0,0.09,0.04,0.85,0.18,0.91,0.06,0.0,0.0,0.09,0.91,0.96,,0.0,1.0,1.0,1.0,0.0,1.0,0.05,0.92,0.85,0.9,0.89,1.0,1.0,0.91,0.09,0.95,0.94,0.14,0.1,0.06,0.1,1.0,0.93,0.15,0.0,0.96,0.09,1.0,1.0,0.0,1.0,1.0,0.92,0.92,0.83,0.1,0.16,0.15,0.15,0.16,0.91,0.81,0.87,0.09,0.0,0.19,0.91,0.0,0.84,0.01,0.0,0.99,0.09,0.03,0.97,0.95,0.96,0.01,0.13,0.0,0.06,0.01,0.84,0.0,0.05,0.0,0.91,0.0,0.9,0.0,0.83,0.95,0.87,0.0,0.01,0.05
The Clinton School,0.6,0.3,0.44,0.87,0.88,0.0,0.0,0.92,0.95,0.0,1.0,0.08,1.0,0.1,0.68,0.08,0.0,0.05,0.05,0.08,0.84,0.0,0.13,0.92,0.22,0.95,0.0,0.1,0.27,0.08,0.1,0.78,1.0,0.88,0.03,0.0,0.12,0.05,1.0,0.37,0.82,0.05,0.0,0.1,0.18,0.95,0.95,,0.0,1.0,0.9,1.0,0.0,1.0,0.11,0.4,0.92,0.88,0.95,0.9,0.9,0.92,0.08,0.89,0.87,0.0,0.45,0.05,0.0,0.9,0.92,0.08,1.0,0.84,0.0,1.0,0.9,0.0,1.0,1.0,0.92,1.0,0.68,0.12,0.03,0.18,0.2,0.05,0.59,0.95,0.92,0.0,0.0,0.05,0.88,0.09,0.71,0.13,0.0,0.84,0.05,0.08,0.95,0.92,0.85,0.16,0.13,0.0,0.13,0.05,0.95,0.04,0.08,0.0,1.0,0.0,0.55,0.0,0.78,0.92,0.82,0.1,0.05,0.0
Bronx Center For Science And Mathematics,0.2,0.26,0.44,0.82,,,0.05,1.0,0.74,0.0,,0.0,,,0.58,0.32,,0.11,0.16,0.26,0.68,,0.17,0.68,0.68,0.84,0.0,,0.67,0.26,,0.32,,,0.11,0.2,,0.32,1.0,0.42,0.63,0.37,,,0.37,0.53,0.68,,0.0,,,0.9,0.0,,0.16,0.8,0.68,,0.86,,,0.74,0.22,0.84,0.58,,0.32,0.05,,,0.0,0.32,1.0,0.8,,,,0.0,1.0,,0.79,1.0,0.5,,0.05,0.56,0.19,0.0,0.56,0.39,1.0,,0.0,0.37,,,0.62,0.16,,0.58,0.47,0.37,0.89,0.68,0.76,0.42,0.18,0.0,0.42,0.0,1.0,0.0,0.21,0.0,,0.0,0.68,,0.81,0.79,0.68,,0.11,
M.S. 113 Ronald Edmonds Learning Center,,0.0,0.29,0.67,,,0.0,0.75,0.93,0.0,1.0,0.0,,0.0,0.87,0.07,,0.07,0.0,0.07,0.8,0.0,0.4,0.93,0.33,1.0,,0.0,0.53,0.21,0.0,0.67,,,0.07,,,0.07,,0.13,0.73,0.07,,0.0,0.27,0.87,0.93,,0.0,,1.0,1.0,0.0,,0.07,,1.0,,0.8,1.0,1.0,0.79,0.27,0.93,1.0,,0.4,0.07,,1.0,1.0,0.0,0.0,1.0,,,1.0,0.0,,,0.79,,0.6,,0.13,0.33,0.25,0.07,0.8,0.53,0.87,,0.0,0.07,,0.0,0.52,0.0,,0.93,0.13,0.13,0.86,0.93,1.0,0.07,0.33,,0.0,0.0,0.93,0.0,0.0,0.0,,0.0,0.6,,0.62,1.0,0.93,0.0,0.07,
Dr. Susan S. Mckinney Secondary School Of The Arts,,0.08,0.38,0.82,1.0,,0.0,0.87,0.85,0.0,,,,,0.83,0.08,,0.15,0.0,0.08,0.77,,0.25,0.92,0.5,1.0,,,0.5,0.25,,0.5,1.0,0.83,0.08,,0.0,0.08,,0.08,0.83,0.08,,,0.17,0.85,0.92,,0.0,,,1.0,0.0,,0.15,,0.91,,0.79,,,0.75,0.33,0.85,1.0,0.0,0.38,0.08,,,,0.09,1.0,0.87,0.17,,,0.0,,,0.85,,0.67,,0.23,0.42,0.2,0.0,0.55,0.5,0.75,0.17,0.0,0.15,1.0,,0.5,0.08,,0.85,0.15,0.15,1.0,0.85,0.93,0.15,0.18,,0.0,0.08,1.0,0.14,0.0,0.0,0.83,0.0,0.62,,0.6,1.0,0.85,,0.08,0.0
P.S. 070 Max Schoenfeld,0.33,0.14,0.41,0.74,1.0,0.2,0.02,0.84,0.88,,0.94,0.09,,0.03,0.7,0.21,,0.14,0.02,0.12,0.81,0.12,0.24,0.79,0.42,0.98,0.17,0.09,0.51,0.23,0.13,0.58,1.0,1.0,0.09,0.17,0.0,0.05,0.67,0.23,0.77,0.14,,0.06,0.23,0.81,0.95,,0.4,0.8,0.97,1.0,0.6,,0.1,0.67,0.83,0.8,0.72,0.97,0.91,0.77,0.23,0.9,0.93,0.14,0.43,0.1,,0.97,0.91,0.17,0.0,0.95,0.0,,0.87,,0.5,,0.86,0.83,0.58,0.2,0.53,0.42,0.36,0.15,0.68,0.38,0.76,0.0,0.0,0.11,0.86,0.12,0.52,0.07,,0.57,0.19,0.05,0.89,0.88,0.96,0.43,0.26,0.5,0.07,0.14,0.85,0.0,0.02,,1.0,0.02,0.57,,0.64,0.98,0.86,0.03,0.09,0.14
Beacon High School,,0.55,0.62,0.76,1.0,,0.03,0.87,0.68,0.0,1.0,0.0,0.86,0.0,0.57,0.27,0.0,0.19,0.0,0.1,0.67,0.0,0.1,0.73,0.21,1.0,,0.0,0.17,0.33,0.0,0.79,0.83,0.83,0.23,,0.0,0.1,,0.66,0.6,0.23,0.0,0.0,0.4,0.74,0.9,,0.0,,1.0,0.87,0.0,0.86,0.38,,0.5,,0.8,1.0,1.0,0.67,0.03,0.62,0.79,0.0,0.27,0.23,0.0,1.0,0.0,0.5,1.0,0.85,0.5,1.0,1.0,0.0,,1.0,0.63,,0.9,,0.03,0.21,0.32,0.25,0.79,0.86,0.83,0.17,0.0,0.19,1.0,0.0,0.38,0.07,0.0,0.65,0.26,0.14,0.77,0.66,0.86,0.35,0.24,,0.21,0.13,0.75,0.03,0.22,0.0,0.83,0.0,0.73,0.14,0.74,0.78,0.69,0.0,0.23,0.17
P.S. 149 Danny Kaye,,0.0,0.09,0.92,,,0.02,0.9,0.98,0.0,0.97,0.0,,0.0,0.98,0.02,,0.02,0.05,0.0,1.0,0.0,0.15,0.98,0.15,0.95,,0.03,0.27,0.07,0.0,0.85,,,0.0,,,0.0,,0.0,1.0,0.02,,0.0,0.0,0.98,1.0,,0.07,,1.0,0.98,0.93,,0.0,,1.0,,0.9,1.0,0.97,0.93,0.07,1.0,1.0,,0.1,0.0,,1.0,1.0,0.0,0.0,0.98,,,1.0,1.0,,,0.98,,0.85,,0.2,0.17,0.14,0.02,0.94,0.69,0.92,,0.0,0.02,,0.0,0.98,0.0,,0.93,0.02,0.0,0.98,1.0,0.98,0.07,0.08,,0.0,0.0,0.98,0.0,0.02,0.0,,0.0,0.9,,0.86,0.98,0.98,0.0,0.02,
The East Village Community School,0.0,0.43,0.43,0.95,0.0,0.0,0.0,0.91,0.82,,1.0,0.0,0.0,0.11,0.59,0.09,0.0,0.14,0.05,0.04,0.82,0.05,0.27,0.91,0.32,0.95,0.0,0.05,0.45,0.45,0.2,0.68,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.38,0.73,0.17,0.0,0.0,0.27,0.59,1.0,,0.0,0.0,0.89,0.95,1.0,0.0,0.27,0.0,0.95,0.0,0.83,0.9,0.95,0.55,0.14,0.73,0.79,0.0,0.13,0.27,0.0,1.0,1.0,0.05,0.0,1.0,0.0,0.0,0.8,,0.0,0.0,0.76,0.0,0.77,0.0,0.13,0.27,0.22,0.0,0.63,0.7,0.78,0.0,0.0,0.09,0.0,0.05,0.96,0.0,0.0,0.91,0.41,0.09,0.96,0.91,1.0,0.09,0.05,0.0,0.21,0.09,1.0,0.0,0.1,,0.0,0.0,0.87,0.0,0.7,0.9,0.81,0.0,0.04,0.0
