facility_name,retail_number_of_open_or,last_modified_date,other_number_of_pcs,total_indoor_and_outdoor,release_date,retail_number_of_walk_in,medical_office_number_of,supermarkets_grocery_number_1,other_workers_on_main_shift,current_direct_ghg_emissions,parking_enclosed_floor_area,latitude,multifamily_home_total_number,difference_from_national,office_gross_floor_area_sq,county,parking_gross_floor_area,longitude,current_indirect_ghg_emissions,office_office_air_conditioned,bin,fuel_oil_2_use_kbtu,k_12_school_high_school_y,council_district,diesel_2_use_kbtu,total_floor_space_sq_ft,bank_financial_institution_1,retail_percent_cooled,bank_financial_institution,current_total_site_energy,community_board,electricity_use_kbtu,retail_pc_density,weather_normalized_site_eui,retail_open_closed_refrig,rating
United - 150 Crown St,0.0,2011-05-24T00:00:00.000,,,2011-07-28T10:54:15.000,0.0,,,,487.77,,40.666554,112.0,,,KINGS,,-73.955829,171.31,,3034092.0,,,35.0,,127000.0,,100.0,,10993226.2,309.0,1824587.47,0.2,91.5,0.0,0.0
Stellar 44-50 WEST 28 STREET,,2011-05-05T00:00:00.000,,,2011-07-28T10:54:01.000,,,,,300.73,,40.745556,,-69.7,141830.0,NEW YORK,,-73.989386,215.32,100.0,1015707.0,,,3.0,,141830.0,,,,6089789.9,105.0,2293339.48,,41.9,,99.0
ABRO 109-10 CENTRAL AVE.,,2011-04-08T00:00:00.000,,,2011-07-28T10:52:02.000,,,,,312.97,4950.0,,95.0,,2000.0,QUEENS,4950.0,,180.53,100.0,,,,,,94050.0,,,,7805814.5,,1922840.3,,86.8,,0.0
Stellar 106-16 Vermilyea Avenue,,2011-04-08T00:00:00.000,,,2011-07-28T10:53:56.000,,,,,453.17,,40.866276,66.0,,3140.0,NEW YORK,,-73.921942,77.73,100.0,1064920.0,,,10.0,,86570.0,,,,6548826.0,112.0,827955.92,,75.6,,0.0
ABRO 1261 CENTRAL AVE.,,2011-04-08T00:00:00.000,,,2011-07-28T10:52:03.000,,,,,1143.36,8000.0,40.608142,305.0,,,QUEENS,8000.0,-73.748353,257.09,,4297973.0,,,31.0,,152000.0,,,,17172025.5,414.0,2738268.68,,112.5,,0.0
RH - Antenucci Pavilion,,2011-01-11T00:00:00.000,50.0,,2011-07-21T09:08:40.000,,,,50.0,,,40.76904,,,,NEW YORK,,-73.986299,,,1026893.0,,,3.0,,104820.0,,,,,104.0,,,,,0.0
DE 1946- 480 Park Avenue,0.0,2011-05-04T00:00:00.000,,,2011-07-28T10:52:31.000,0.0,,,,1319.32,,40.809096,325.0,,,NEW YORK,,-73.936105,748.52,,1000000.0,,,9.0,,375000.0,,100.0,,24627709.0,111.0,7972545.24,0.2,64.5,0.0,0.0
milstein 761-779 7th ave,0.0,2011-03-24T00:00:00.000,,,2011-07-28T10:54:32.000,0.0,,,,2461.12,,40.761184,455.0,,305.0,NEW YORK,,-73.983186,1164.22,100.0,1022710.0,,,4.0,,578814.0,,100.0,,43469414.6,105.0,12400163.36,0.2,75.1,0.0,0.0
RY- 300 Rector Place,0.0,2011-04-11T00:00:00.000,,,2011-07-28T10:53:34.000,0.0,,,,370.35,,40.709097,154.0,,,NEW YORK,,-74.017104,283.63,,1065321.0,,,1.0,,163863.0,,100.0,,9982354.4,101.0,3020973.79,0.2,63.2,0.0,0.0
Pinnacle - 9905 63rd,,2011-03-28T00:00:00.000,,,2011-07-28T10:53:29.000,,,,,2411.76,29700.0,40.73257,1134.0,,,QUEENS,29700.0,-73.856696,329.23,,4050630.0,,,29.0,,470526.0,,,,48840437.3,406.0,3506611.46,,108.3,,0.0
Pinnacle - 137-143 west 141st,,2011-03-31T00:00:00.000,,,2011-07-28T10:53:07.000,,,,,400.4,,40.818268,143.0,,,NEW YORK,,-73.938939,59.92,,1060085.0,5442631.29,,9.0,,52290.0,,,,6080866.4,110.0,638235.07,,115.8,,0.0
Pinnacle - 147-47/27,,2011-03-28T00:00:00.000,,,2011-07-28T10:53:08.000,,,,,284.34,,,126.0,,,QUEENS,,,85.93,,,,,,,58392.0,,,,6259971.4,,915261.74,,114.1,,0.0
215 Equities,,2011-04-07T00:00:00.000,,,2011-07-08T11:24:44.000,,,,,948.76,,40.791748,,,,NEW YORK,,-73.972802,92.66,,1033612.0,,,6.0,,223179.0,,,,13019699.9,107.0,986886.74,,58.3,,0.0
Vantage- 701 West 175th Street,0.0,2011-03-25T00:00:00.000,,,2011-07-28T10:54:21.000,0.0,,,,539.86,,,153.0,,,NEW YORK,,,101.18,,,,,,,71596.0,,100.0,,8415894.5,,1077641.46,0.2,117.5,0.0,0.0
Brodsky - 360 W 43rd Street,0.0,2011-04-01T00:00:00.000,,,2011-07-28T10:52:07.000,0.0,,,,1303.59,18105.0,40.758594,244.0,,,NEW YORK,18105.0,-73.990947,255.11,,1086106.0,,,3.0,,230947.0,,100.0,,27220796.5,104.0,2717228.75,0.2,121.7,0.0,0.0
ABRO 131 EAST 23 STREET,0.0,2011-04-08T00:00:00.000,,,2011-07-28T10:52:03.000,0.0,,,,381.71,,40.739644,44.0,,,NEW YORK,,-73.985039,108.22,,1018040.0,,,2.0,,54000.0,,100.0,,5971346.3,105.0,1152659.45,0.2,110.6,0.0,0.0
DE3 7584 - 250 E 63 St,0.0,2011-07-20T00:00:00.000,,,2011-07-28T10:52:46.000,0.0,3.0,,,1132.25,8888.0,40.76357,222.0,,,NEW YORK,8888.0,-73.963623,225.86,,1043845.0,,,4.0,,235412.0,,100.0,,16699128.5,108.0,2405631.7,0.2,70.4,0.0,0.0
Pinnacle - 2840 sedgwick,,2011-03-25T00:00:00.000,,,2011-07-28T10:53:16.000,,,,,571.23,,40.873293,136.0,,,BRONX,,-73.901866,110.09,,2015397.0,,,14.0,,98238.0,,,,8937326.8,208.0,1172600.5,,91.0,,0.0
Hotel Beacon,0.0,2011-04-11T00:00:00.000,,,2011-07-28T10:52:57.000,0.0,,,,834.43,,40.780737,,19.4,,NEW YORK,,-73.981379,1113.82,,1030727.0,,,6.0,,241186.0,,100.0,,22397187.3,107.0,11863317.08,0.2,90.6,0.0,31.0
ABRO 481 Fort Washington Ave,,2011-04-08T00:00:00.000,,,2011-07-28T10:52:05.000,,,,,332.43,,40.851435,74.0,,,NEW YORK,,-73.938095,80.89,,1064341.0,,,10.0,,53000.0,,,,5058171.0,112.0,861597.8,,95.4,,0.0
Pinnacle - 4015 hampton,,2011-03-28T00:00:00.000,,,2011-07-28T10:53:19.000,,,,,312.51,,40.746746,64.0,,,QUEENS,,-73.882307,79.68,,4037151.0,,,25.0,,57000.0,,,,6723031.5,404.0,848705.72,,125.5,,0.0
The 366 W11 Street Condominium,,2011-05-02T00:00:00.000,,,2011-05-04T15:11:35.000,,,,,249.7,,40.735368,142.0,,,,,-74.009367,191.97,,1067886.0,,,3.0,,60200.0,,,,6738205.5,102.0,2044628.08,,116.1,,0.0
SW - 33-24 parsons,,2011-04-13T00:00:00.000,,,2011-07-28T10:53:43.000,,,,,362.57,12680.0,40.767754,121.0,,1150.0,QUEENS,12680.0,-73.824136,202.81,100.0,4112563.0,,,20.0,,107704.0,,,,7322097.4,407.0,2160123.55,,67.6,,0.0
Gold - 999 E 163 St,0.0,2011-05-12T00:00:00.000,,,2011-07-28T10:52:57.000,0.0,,,,608.8,,,146.0,,,BRONX,,,144.04,,,,,,,113000.0,,100.0,,9809556.4,,1534171.68,0.2,86.8,0.0,0.0
RA COHEN 140 WEST 86TH ST,,2011-04-04T00:00:00.000,,,2011-07-28T10:53:29.000,,,,,333.83,,40.787167,101.0,,4264.0,NEW YORK,,-73.973808,90.87,100.0,1032170.0,,,6.0,,66614.0,,,,5182139.2,107.0,967815.78,,77.5,,0.0
ABRO 211 WEST 106TH STREET,,2011-04-08T00:00:00.000,,,2011-07-28T10:52:03.000,,,,,501.65,,40.800839,152.0,,,NEW YORK,,-73.966637,93.3,,1056635.0,,,7.0,,65000.0,,,,7326578.6,107.0,993772.3,,112.3,,0.0
Gold - 131-10 Guy Brewer Blvd,,2011-05-12T00:00:00.000,,,2011-07-28T10:52:52.000,,,,,145.82,24360.0,40.675556,112.0,,208.0,QUEENS,24360.0,-73.777336,271.33,100.0,4266168.0,,,28.0,,76392.0,,,,5630949.7,412.0,2889923.94,,76.1,,0.0
TKR - Evan 200 West 24th St,0.0,2011-04-15T00:00:00.000,,,2011-07-28T10:54:10.000,0.0,,,,174.73,,40.744923,40.0,,,NEW YORK,,-73.995561,75.55,,1087068.0,,,3.0,,29170.0,,100.0,,4088999.0,104.0,804686.08,0.2,150.8,0.0,0.0
Chestnut-2176 Grand Ave,,2011-03-18T00:00:00.000,,,2011-07-28T10:52:14.000,,,,,322.87,,40.857361,91.0,,,BRONX,,-73.906704,67.19,,2014184.0,,,14.0,,62700.0,,,,5104409.4,205.0,715687.25,,81.0,,0.0
TKR Enrique - 475 Sterling Pl,,2011-07-19T00:00:00.000,,,2011-07-28T10:54:11.000,,,,,204.59,2700.0,40.674404,54.0,,,KINGS,2700.0,-73.962277,95.83,,3393503.0,,,35.0,,50837.0,,,,4866346.9,308.0,1020643.67,,100.8,,0.0
"Bronxwood Towers, Inc",,2011-01-12T00:00:00.000,,,2011-03-31T10:18:26.000,,,,,849.14,,40.89194,,,,BRONX,,-73.852775,249.06,,2068251.0,,,12.0,,120534.0,,,,13605315.9,212.0,2652702.05,,111.2,,0.0
Pinnacle - 10920 queens blvd,,2011-03-28T00:00:00.000,,,2011-07-28T10:53:05.000,,2.0,,,288.09,,40.720245,60.0,,,QUEENS,,-73.841282,95.86,,4078025.0,,,29.0,,52328.0,,,,6436180.9,406.0,1021035.72,,129.9,,0.0
Caran Prop.333 E 45th St,,2011-04-12T00:00:00.000,,,2011-07-28T10:52:10.000,,,,,,8179.0,40.751391,168.0,,,NEW YORK,8179.0,-73.969917,389.07,,1076276.0,,,4.0,,101882.0,,,,4143973.1,106.0,4143973.06,,38.0,,0.0
Vantage-9-23 Thayer Street,,2011-03-31T00:00:00.000,,,2011-07-28T10:54:25.000,,,,,536.71,,40.86175,197.0,,,NEW YORK,,-73.925967,104.68,,1064215.0,7295536.37,,10.0,,85704.0,,,,8410521.4,112.0,1114985.03,,97.7,,0.0
E&M - 3065 Grand Concourse,,2011-05-19T00:00:00.000,,,2011-07-28T10:52:49.000,,,,,284.58,,40.874344,112.0,,,BRONX,,-73.886667,62.88,,2017311.0,,,11.0,,63836.0,,,,4262321.4,207.0,669749.4,,66.8,,0.0
Pinnacle - 2255-65 grand concourse,0.0,2011-03-23T00:00:00.000,,,2011-07-28T10:53:13.000,0.0,,,,659.27,,40.856445,99.0,,516.0,BRONX,,-73.90055,122.48,100.0,2013770.0,,,14.0,,81450.0,,100.0,,9627159.1,205.0,1304582.82,0.2,118.2,0.0,0.0
Pinnacle - 143 linden,,2011-03-25T00:00:00.000,,,2011-07-28T10:53:07.000,,,,,346.3,,40.652445,66.0,,,KINGS,,-73.953668,70.82,,3116660.0,,,40.0,,59916.0,,,,7263762.8,317.0,754304.71,,129.3,,0.0
DE 2144 - 250 mercer,0.0,2011-05-03T00:00:00.000,,,2011-07-28T10:52:32.000,0.0,,,,1424.67,,40.728427,259.0,,,NEW YORK,,-73.995378,525.03,,1008629.0,,,1.0,,346000.0,,100.0,,23577088.5,102.0,5592074.29,0.2,68.1,0.0,0.0
RY- 255 Hudson Street,,2011-04-11T00:00:00.000,,,2011-07-28T10:53:34.000,,,,,227.89,,40.724842,83.0,,,NEW YORK,,-74.007742,301.87,,1087494.0,,,3.0,,92000.0,,,,7498775.6,102.0,3215204.65,,82.8,,0.0
Vantage-86 Fort Washington Ave,0.0,2011-03-23T00:00:00.000,,,2011-07-28T10:54:25.000,0.0,,,,491.92,,40.838148,179.0,,,NEW YORK,,-73.943857,97.77,,1063365.0,,,7.0,,72090.0,,100.0,,7251370.3,112.0,1041310.26,0.2,100.6,0.0,0.0
Samson - 247 east 28th,0.0,2011-03-22T00:00:00.000,,,2011-07-28T10:53:50.000,0.0,,,,579.77,,40.741273,160.0,,,NEW YORK,,-73.979185,240.57,,1019898.0,,,2.0,,103105.0,,100.0,,9881305.4,106.0,2562333.63,0.2,95.8,0.0,0.0
RA COHEN 45 BAY 19TH STREET,,2011-04-04T00:00:00.000,,,2011-07-28T10:53:30.000,,,,,245.59,,40.605886,100.0,,,KINGS,,-74.002877,92.29,,3166653.0,,,47.0,,64900.0,,,,5526041.3,311.0,982934.68,,89.1,,0.0
930 St. Nicholas Owners Corp.,,2011-01-11T00:00:00.000,,,2011-03-31T10:18:26.000,,,,,314.55,,40.832015,,,,NEW YORK,,-73.940993,92.9,,1062488.0,4139811.85,,7.0,,52542.0,,,,5317181.6,112.0,989440.71,,100.0,,0.0
250 E. 39th Street,0.0,2011-04-19T00:00:00.000,,,2011-05-04T13:55:20.000,0.0,,,,433.01,1000.0,40.74826,165.0,,,NEW YORK,1000.0,-73.974419,162.19,,1020359.0,,,4.0,,118947.0,,100.0,,7613368.7,106.0,1727485.36,0.2,62.2,0.0,0.0
DE 2432-3 - 1019 Van Siclen,,2011-05-04T00:00:00.000,,,2011-07-28T10:52:35.000,,,,,1913.62,,40.65504,888.0,,,KINGS,,-73.882321,773.88,,3324259.0,,,42.0,,455900.0,,,,44212812.2,305.0,8242631.56,,100.8,,0.0
DE 7532-2 - 78-11 main,,2011-04-13T00:00:00.000,,,2011-07-28T10:52:41.000,,,,,550.96,4920.0,40.719769,207.0,,,QUEENS,4920.0,-73.818188,167.5,,4440143.0,,,24.0,,115654.0,,,,12140531.4,408.0,1784073.38,,110.9,,0.0
DE2 7632 - 50 W 67 St,,2011-05-18T00:00:00.000,,,2011-07-28T10:52:44.000,,,,,306.52,,40.773623,147.0,,,NEW YORK,,-73.979706,79.91,,1028234.0,,,6.0,,84062.0,,,,4720656.9,107.0,851157.52,,56.2,,0.0
RY- 754 Brady Ave,,2011-05-06T00:00:00.000,,,2011-07-28T10:53:35.000,,,,,412.98,,40.852358,101.0,,,BRONX,,-73.865413,73.26,,2090368.0,,,13.0,,75260.0,,,,5993761.2,211.0,780340.47,,79.6,,0.0
Stellar 1140-44 6 AVENUE,,2011-05-05T00:00:00.000,,,2011-07-28T10:53:57.000,,,,,,,40.75623,,-32.1,207654.0,NEW YORK,,-73.98309,1386.61,100.0,1034217.0,,,4.0,,207654.0,,,,15771442.7,105.0,9469510.71,,76.5,,80.0
DE 2460 - 60 east 88th,,2011-05-03T00:00:00.000,,,2011-07-28T10:52:35.000,,31.0,,,133.81,,40.78187,59.0,,,NEW YORK,,-73.957197,144.59,,1046927.0,,,4.0,,60977.0,,,,4055288.1,108.0,1540062.33,,69.8,,0.0
96 Owners Arden corp.,,2011-03-15T00:00:00.000,,,2011-07-08T11:24:46.000,,,,,295.37,,40.864107,,,,NEW YORK,,-73.928539,16.38,,1064223.0,,,10.0,,58904.0,,,,3938989.9,112.0,174421.44,,66.9,,0.0
20 Jay Street,0.0,2011-06-29T00:00:00.000,,,2011-08-01T19:21:51.000,0.0,,,,631.2,40000.0,40.704313,,-58.7,432000.0,KINGS,40000.0,-73.986587,1136.32,100.0,3000010.0,,,33.0,,474403.0,,100.0,,23967646.4,302.0,12103046.4,1.38,52.8,0.0,97.0
DE 1104 - 300 CPW,,2011-05-04T00:00:00.000,,,2011-07-28T10:52:19.000,,17.0,,,3314.2,20614.0,40.788063,518.0,,360.0,NEW YORK,20614.0,-73.967315,1101.93,100.0,1031607.0,,,6.0,,626467.0,,,,53575158.4,107.0,11736663.64,,84.6,,0.0
Vantage-34-15 Parsons Ave,0.0,2011-03-23T00:00:00.000,,,2011-07-28T10:54:23.000,0.0,,,,988.28,13700.0,,454.0,,,QUEENS,13700.0,,314.39,,,,,,,177632.0,,100.0,,15824688.3,,3348583.91,0.2,88.8,0.0,0.0
DE 1542 - 133 east 64th,0.0,2011-05-04T00:00:00.000,,,2011-07-28T10:52:26.000,0.0,,,,389.62,,40.765608,84.0,,7800.0,NEW YORK,,-73.96647,96.94,100.0,1042355.0,,,4.0,,94104.0,,100.0,,5951056.7,108.0,1032526.23,0.2,63.1,0.0,0.0
DE3 7680 - 308 E 79 St,,2011-07-20T00:00:00.000,,,2011-07-28T10:52:47.000,,,,,414.91,,40.773124,208.0,,,NEW YORK,,-73.95457,229.21,,1045264.0,,,5.0,,196400.0,,,,7679104.1,108.0,2441283.8,,39.1,,0.0
Witkoff 95 West 95th St,0.0,2011-04-14T00:00:00.000,,,2011-07-28T10:54:32.000,0.0,,,,,20000.0,40.792106,372.0,,,NEW YORK,20000.0,-73.967804,1697.63,,1088109.0,,,6.0,,278247.0,,100.0,,21195477.6,107.0,1623429.6,0.2,80.4,0.0,0.0
