property_name,alert_meter_has_overlaps,year_built,_3rd_largest_property_use,multifamily_housing_number_3,financial_office_gross_floor,multifamily_housing_government,hospital_general_medical_8,college_university_gross,medical_office_number_of_1,alert_meter_has_gaps,office_gross_floor_area_ft,avoided_emissions_onsite,metered_areas_energy,energy_power_station_gross,hospital_general_medical_11,address_2,national_median_source_eui,financial_office_number_of_1,municipally_supplied_potable,alert_data_center_does_not,movie_theater_gross_floor,energy_star_certification_1,percent_of_total_electricity,weather_normalized_site_1,weather_normalized_site_eui,office_percent_that_can_be_1,nta,college_university_number,outpatient_rehabilitation,convention_center_gross_floor,bank_branch_number_of,longitude,energy_star_score,wholesale_club_supercenter,fuel_oil_4_use_kbtu,metered_areas_water,weather_normalized_site_2,retail_store_gross_floor,property_gfa_epa_calculated_1,number_of_buildings,retail_store_open_or_closed,office_number_of_computers,adult_education_gross_floor,other_number_of_computers,hotel_gym_fitness_center,medical_office_number_of,district_hot_water_use_kbtu,_2nd_largest_property_use_1,multifamily_housing_number_6,national_median_total_ghg,site_energy_use_kbtu,weather_normalized_site_3,estimated_data_flag_1,automobile_dealership_gross,data_center_it_source_energy,outdoor_water_use_all_water,postcode,diesel_2_use_kbtu,avoided_emissions_offsite,council_district,multifamily_housing_number_2,worship_facility_gross_floor
200-210 Brighton 15th Street,Ok,1951,Not Available,1.4,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,119.1,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.4,50.8,Not Available,Brighton Beach,Not Available,Not Available,Not Available,Not Available,-73.955064,99,Not Available,Not Available,Not Available,40421,Not Available,96600.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,22.18,510.8,4924586.1,174056.2,Not Available,Not Available,Not Available,Not Available,11235,Not Available,0,48.0,Not Available,Not Available
Fifth Hsg Bldg #2,Ok,1966,Not Available,1.71306,Not Available,100% Yes,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,147.2,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0,46.8,Not Available,Pomonok-Flushing Heights-Hillcrest,Not Available,Not Available,Not Available,Not Available,-73.808685,53,Not Available,Not Available,Whole Building,2600.1,Not Available,145938.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,574,6855747.3,1924568,Not Available,Not Available,Not Available,Not Available,11365,Not Available,0,24.0,10,Not Available
2510 Ocean Parkway,Ok,1962,Not Available,1.27206,Not Available,No,Not Available,Not Available,5,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,127.9,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.6,77.4,Not Available,Gravesend,Not Available,Not Available,Not Available,Not Available,-73.965717,Not Available,Not Available,Not Available,Whole Building,38315.2,Not Available,63404.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1300,62,319.4,4796708.5,315448,Not Available,Not Available,Not Available,Not Available,11235,Not Available,0,47.0,3,Not Available
(5144) - Wisteria Plaza,Ok,1983,Not Available,1.74978,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,142.6,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.2,37.7,Not Available,Murray Hill,Not Available,Not Available,Not Available,Not Available,-73.819332,99,Not Available,Not Available,Whole Building,18496.5,Not Available,91440.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,432.7,3461280.6,468923.3,Not Available,Not Available,Not Available,Not Available,11354,Not Available,0,20.0,10,Not Available
3500 Snyder Ave,Ok,1957,Not Available,1.50992,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,124.3,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.7,108.6,Not Available,East Flatbush-Farragut,Not Available,Not Available,Not Available,Not Available,-73.944431,30,Not Available,2336146.1,Whole Building,86054.6,Not Available,115900.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,42,666,12307290.1,480668.9,Not Available,Not Available,Not Available,Not Available,11203,Not Available,0,45.0,0,Not Available
1630 Undercliff Ave - 38870,Ok,1928,Not Available,1.60954,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,139,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.7,77,Not Available,University Heights-Morris Heights,Not Available,Not Available,Not Available,Not Available,-73.921977,85,Not Available,Not Available,Whole Building,43804.7,Not Available,67100.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,54,391.8,5185416.6,230730.4,Not Available,Not Available,Not Available,Not Available,10453,Not Available,0,16.0,0,Not Available
200 Clinton Street,Ok,1923,Restaurant,1.25807,Not Available,No,Not Available,Not Available,6.34,Ok,1315,Not Available,Whole Building,Not Available,Not Available,Not Available,127.9,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.5,74.7,100,Brooklyn Heights-Cobble Hill,Not Available,Not Available,Not Available,Not Available,-73.994295,Not Available,Not Available,Not Available,Whole Building,43639.5,960,80566.0,1,1.04167,6,Not Available,Not Available,Not Available,Not Available,Not Available,2880,77,387.1,5992283.4,484343,Not Available,Not Available,Not Available,Not Available,11201,Not Available,0,33.0,10,Not Available
Third Hsg Bldg #12,Ok,1953,Not Available,2.05714,Not Available,100% Yes,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,150.6,Not Available,3772.4,Ok,Not Available,Not Available,Not Available,Not Available,96.5,Not Available,,Not Available,Not Available,Not Available,Not Available,,91,Not Available,Not Available,Whole Building,Not Available,Not Available,70000.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,73,774.4,7327510.4,Not Available,Not Available,Not Available,Not Available,Not Available,11365,Not Available,Not Available,,8,Not Available
1257 Yeled Vyalda Childhood Center,Ok,2006,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,177.8,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.3,85.6,Not Available,Borough Park,Not Available,Not Available,Not Available,Not Available,-73.986599,33,Not Available,Not Available,Not Available,20902.8,Not Available,70000.0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,373.9,5969795.3,1144209.5,Not Available,Not Available,Not Available,Not Available,11218,Not Available,0,39.0,Not Available,Not Available
Crown,Ok,1924,Not Available,1.94556,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,129.3,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.6,Not Available,Not Available,Crown Heights South,Not Available,Not Available,Not Available,Not Available,-73.939342,57,Not Available,Not Available,Whole Building,30825.7,Not Available,52684.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,288.5,4452879.7,249460.4,Not Available,Not Available,Not Available,Not Available,11213,Not Available,0,35.0,10,Not Available
Villa Hermosa Apartments,Ok,1981,Not Available,1.82303,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,144.5,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0,Not Available,Not Available,East Harlem South,Not Available,Not Available,Not Available,Not Available,-73.948922,91,Not Available,Not Available,Not Available,11887.9,Not Available,303890.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,272,2858.9,27100497.4,455580.7,Not Available,Not Available,Not Available,Not Available,10029,Not Available,0,9.0,0,Not Available
140 Clarkson Ave - 40242,Ok,1931,Not Available,1.16431,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,125.6,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.6,67,Not Available,Prospect Lefferts Gardens-Wingate,Not Available,Not Available,Not Available,Not Available,-73.955004,88,Not Available,Not Available,Not Available,43122.8,Not Available,76440.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,59,400.9,5077348.5,236380.9,Not Available,Not Available,Not Available,Not Available,11226,Not Available,0,40.0,2,Not Available
south 4 Condos LLC,Ok,2005,Not Available,0.73103,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,115,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.3,38.1,Not Available,North Side-South Side,Not Available,Not Available,Not Available,Not Available,-73.96082,100,Not Available,Not Available,Whole Building,20601.1,Not Available,72500.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8500,0,320.5,2772290.3,205125.7,Not Available,Not Available,Not Available,Not Available,11211,Not Available,0,34.0,0,Not Available
Bronx Parking - 950 River Avenue,Ok,1975,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,1.6,Not Available,West Concourse,Not Available,Not Available,Not Available,Not Available,-73.924572,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,268200.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,429038.6,125744,Not Available,Not Available,Not Available,Not Available,10452,Not Available,0,8.0,Not Available,Not Available
Instrata Nomad,Ok,1999,Not Available,1.31516,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,134.4,Not Available,10000,Ok,Not Available,Not Available,Not Available,0.6,92.4,Not Available,Midtown-Midtown South,Not Available,Not Available,Not Available,Not Available,-73.986164,23,Not Available,Not Available,Whole Building,232983.8,Not Available,374098.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,1815.3,34520251.6,3302032.7,Not Available,Not Available,Not Available,Not Available,10016,Not Available,0,4.0,Not Available,Not Available
Deepdale Gardens J16,Ok,1953,Not Available,1.93804,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,134.3,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,1,120.7,Not Available,Douglas Manor-Douglaston-Little Neck,Not Available,Not Available,Not Available,Not Available,-73.727181,19,Not Available,Not Available,Not Available,65247.4,Not Available,63982.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5020,0,359.5,7667150.7,350623.3,Not Available,Not Available,Not Available,Not Available,11362,Not Available,0,23.0,4,Not Available
500 Kappock Street,Ok,1950,Not Available,1.14118,Not Available,100% Yes,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,117.9,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0,69.8,Not Available,Spuyten Duyvil-Kingsbridge,Not Available,Not Available,Not Available,Not Available,-73.91785,78,Not Available,Not Available,Whole Building,3707.4,Not Available,85000.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,38,541.4,5961012.2,289864.1,Not Available,Not Available,Not Available,Not Available,10463,Not Available,0,11.0,4,Not Available
86-10 Grand Ave.,Ok,1959,Not Available,1.49423,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,150.5,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.5,70.1,Not Available,Elmhurst,Not Available,Not Available,Not Available,Not Available,-73.880097,88,Not Available,Not Available,Whole Building,35371.1,Not Available,66924.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,386.1,4651358.1,337764.1,Not Available,Not Available,Not Available,Not Available,11373,Not Available,0,25.0,8,Not Available
"Towne Associates, LLC",Ok,1930,Not Available,0.68468,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,129.1,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.1,142.2,Not Available,Murray Hill-Kips Bay,Not Available,Not Available,Not Available,Not Available,-73.978941,4,Not Available,12188079.7,Whole Building,12643.7,Not Available,118000.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7000,0,822.5,16828638.9,854796,Not Available,Not Available,Not Available,Not Available,10016,Not Available,0,4.0,12,Not Available
"Rockford Associates, LLC",Ok,1947,Not Available,1.74,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,147.6,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,135.7,Not Available,Bedford Park-Fordham North,Not Available,Not Available,Not Available,Not Available,-73.882632,56,Not Available,6526199.3,Not Available,Not Available,Not Available,50000.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,63,525.1,6684775.5,46476,Not Available,Not Available,Not Available,Not Available,10458,Not Available,0,11.0,4,Not Available
30 Park Avenue,Ok,1955,Not Available,2.11573,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,151.8,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,81.8,Not Available,Murray Hill-Kips Bay,Not Available,Not Available,Not Available,Not Available,-73.980598,80,Not Available,Not Available,Not Available,Not Available,Not Available,236325.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,237,1861.2,19414867.1,1245161.4,Not Available,Not Available,Not Available,Not Available,10016,Not Available,0,4.0,8,Not Available
Treeline 175 Remsen LLC,Ok,1900,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,122770,Not Available,Whole Building,Not Available,Not Available,Not Available,261.3,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.3,67.8,100,Brooklyn Heights-Cobble Hill,Not Available,Not Available,Not Available,Not Available,-73.991634,88,Not Available,Not Available,Not Available,39840.5,6750,129520.0,1,0,300,Not Available,Not Available,Not Available,Not Available,Not Available,6750,Not Available,1067.9,8813373,1406942.6,Not Available,Not Available,Not Available,Not Available,11201,Not Available,0,33.0,Not Available,Not Available
11 West 30th Street,Ok,1927,Not Available,1.4,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,121.1,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.1,90.9,Not Available,Midtown-Midtown South,Not Available,Not Available,Not Available,Not Available,-73.987098,22,Not Available,3848413.9,Whole Building,3214,Not Available,62091.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,360,5718623.1,441879.9,Not Available,Not Available,Not Available,Not Available,10001,Not Available,0,4.0,Not Available,Not Available
33789-New York Marriott Marquis Hotel,Ok,1985,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,229.9,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.3,149.5,Not Available,Midtown-Midtown South,Not Available,Not Available,Not Available,Not Available,-73.985468,14,Not Available,Not Available,Whole Building,515167,Not Available,1825000.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,13888.4,273290075,42122081.1,Not Available,Not Available,Not Available,Not Available,10036,Not Available,0,3.0,Not Available,Not Available
550 West 45th Street,Ok,2013,Not Available,1.84423,Not Available,100% Yes,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,153.9,Not Available,2636284.7,Ok,Not Available,Not Available,Not Available,0.6,95.4,Not Available,Clinton,Not Available,Not Available,Not Available,Not Available,-73.995805,32,Not Available,Not Available,Whole Building,293477.4,15000,478607.2,1,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15000,192,2604.9,45945610.3,4774012.2,Not Available,Not Available,Not Available,Not Available,10036,Not Available,0,3.0,5,Not Available
130 Ave P LLC,Ok,1932,Not Available,0.93519,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,120.9,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.4,53.5,Not Available,Bensonhurst East,Not Available,Not Available,Not Available,Not Available,-73.983336,96,Not Available,Not Available,Not Available,47933.1,Not Available,108000.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,88,535,5653847.7,287803.8,Not Available,Not Available,Not Available,Not Available,11204,Not Available,0,44.0,4,Not Available
3400 Wayne Ave,Ok,1928,Not Available,1.30405,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,130.4,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0,32.8,Not Available,Norwood,Not Available,Not Available,Not Available,Not Available,-73.877961,100,Not Available,Not Available,Whole Building,4308.9,Not Available,148000.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,103,873.9,4866806.9,435325.1,Not Available,Not Available,Not Available,Not Available,10467,Not Available,0,11.0,19,Not Available
HSS-ERPB,Ok,1907,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,389.8,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,92.8,Not Available,Lenox Hill-Roosevelt Island,Not Available,Not Available,Not Available,Not Available,-73.953163,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,53677.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,552.6,5087204.7,1459859.6,Not Available,Not Available,Not Available,Not Available,10021,Not Available,0,5.0,Not Available,Not Available
25 West 31st Street,Ok,1912,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,60600,Not Available,Whole Building,Not Available,Not Available,Not Available,205.1,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0,Not Available,91.67,Midtown-Midtown South,Not Available,Not Available,Not Available,Not Available,-73.987123,83,Not Available,2068235.9,Whole Building,5.1,5050,65650.0,1,0,153,Not Available,Not Available,Not Available,Not Available,Not Available,5050,Not Available,513.1,4142909.7,595124.6,Not Available,Not Available,Not Available,Not Available,10001,Not Available,0,4.0,Not Available,Not Available
JEMB - 150 Broadway,Ok,1600,Medical Office,Not Available,Not Available,Not Available,Not Available,Not Available,46.22,Ok,232453,Not Available,Whole Building,Not Available,Not Available,Not Available,250.6,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,66.2,100,Battery Park City-Lower Manhattan,Not Available,Not Available,Not Available,Not Available,-74.010392,81,Not Available,Not Available,Not Available,Not Available,22536,276000.0,1,0,464.91,Not Available,Not Available,Not Available,Not Available,Not Available,22536,Not Available,2177.6,18498283,3434748.2,Not Available,Not Available,Not Available,Not Available,10038,Not Available,0,1.0,Not Available,Not Available
Deepdale Gardens F20,Ok,1952,Not Available,1.90761,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,132.5,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.8,94.6,Not Available,Douglas Manor-Douglaston-Little Neck,Not Available,Not Available,Not Available,Not Available,-73.725566,39,Not Available,Not Available,Not Available,47265.7,Not Available,62906.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5789,0,331.1,5918761.4,359176.9,Not Available,Not Available,Not Available,Not Available,11362,Not Available,0,23.0,4,Not Available
304 W. 92nd St Realty Assoc.,Ok,1920,Not Available,1.65625,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,172.4,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.7,94.9,Not Available,Upper West Side,Not Available,Not Available,Not Available,Not Available,-73.975348,58,Not Available,Not Available,Whole Building,42076.9,Not Available,64000.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,128,403.5,6101016,546041.9,Not Available,Not Available,Not Available,Not Available,10025,Not Available,0,6.0,10,Not Available
235 West 22nd (W57),Ok,1974,Not Available,1.4,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,158.6,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Hudson Yards-Chelsea-Flatiron-Union Square,Not Available,Not Available,Not Available,Not Available,-73.99716,87,Not Available,Not Available,Whole Building,Not Available,Not Available,96500.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,20000,150,551.8,6569303.2,Not Available,Not Available,Not Available,Not Available,Not Available,10011,Not Available,0,3.0,Not Available,Not Available
141 EAST 21ST STREET,Ok,1944,Not Available,1.59908,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,139.6,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.6,81.1,Not Available,Flatbush,Not Available,Not Available,Not Available,Not Available,-73.960138,79,Not Available,657438,Whole Building,44153,Not Available,75043.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,76,452.4,6041831.5,295877,Not Available,Not Available,Not Available,Not Available,11226,Not Available,0,40.0,0,Not Available
Beech Hills 3-2,Ok,1953,Not Available,2.08277,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,132.7,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,104,Not Available,Douglas Manor-Douglaston-Little Neck,Not Available,Not Available,Not Available,Not Available,-73.73719,29,Not Available,3706634.8,Not Available,Not Available,Not Available,44172.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,312.6,4645089.5,267426.5,Not Available,Not Available,Not Available,Not Available,11362,Not Available,0,23.0,0,Not Available
Third Hsg Bldg #3,Ok,1953,Not Available,2.05714,Not Available,100% Yes,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,150.6,Not Available,4608,Ok,Not Available,Not Available,Not Available,Not Available,61.1,Not Available,,Not Available,Not Available,Not Available,Not Available,,100,Not Available,Not Available,Whole Building,Not Available,Not Available,70000.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,73,774.4,4173533.6,Not Available,Not Available,Not Available,Not Available,Not Available,11365,Not Available,Not Available,,10,Not Available
3210 Arlington Ave.,Ok,1955,Not Available,1.9625,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,148.9,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.5,76.3,Not Available,Spuyten Duyvil-Kingsbridge,Not Available,Not Available,Not Available,Not Available,-73.912359,89,Not Available,Not Available,Whole Building,37835.7,Not Available,80000.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,531.8,6119434.1,306091.7,Not Available,Not Available,Not Available,Not Available,10463,Not Available,0,11.0,8,Not Available
Farbod Realty Co,Ok,1923,Not Available,1.41675,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,138,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.2,64.5,Not Available,Midtown-Midtown South,Not Available,Not Available,Not Available,Not Available,-73.985637,26,Not Available,Not Available,Not Available,12552.5,Not Available,60110.0,1,Not Available,Not Available,Not Available,5,Not Available,Not Available,Not Available,10701,56,246.4,3910525.3,768811,Not Available,Not Available,Not Available,Not Available,10016,Not Available,0,4.0,0,Not Available
355 Properties Corp.,Ok,1930,Not Available,0.92124,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,117.7,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.6,66.7,Not Available,Prospect Lefferts Gardens-Wingate,Not Available,Not Available,Not Available,Not Available,-73.949369,87,Not Available,Not Available,Not Available,51906.7,Not Available,89010.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,66,452,5876510.9,217495.6,Not Available,Not Available,Not Available,Not Available,11225,Not Available,0,40.0,0,Not Available
941 Washington Avenue,Ok,1925,Not Available,1.4,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,118.8,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.7,93.2,Not Available,Crown Heights South,Not Available,Not Available,Not Available,Not Available,-73.961553,21,Not Available,Not Available,Whole Building,46252.1,Not Available,65000.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11.78,301.2,6091453.4,420003.9,Not Available,Not Available,Not Available,Not Available,11225,Not Available,0,35.0,Not Available,Not Available
(7220) - 230 Park Owners,Ok,1937,Not Available,1.03061,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,121.1,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.4,54.5,Not Available,Prospect Heights,Not Available,Not Available,Not Available,Not Available,-73.97038,94,Not Available,Not Available,Whole Building,49686.7,Not Available,114495.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,82,553.3,6211068,371708.6,Not Available,Not Available,Not Available,Not Available,11238,Not Available,0,35.0,6,Not Available
353 Ocean Ave,Ok,1930,Not Available,1.4,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,121.1,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.5,70.6,Not Available,Flatbush,Not Available,Not Available,Not Available,Not Available,-73.961783,58,Not Available,Not Available,Whole Building,26592.1,Not Available,50567.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,232.1,3604676.4,267182.7,Not Available,Not Available,Not Available,Not Available,11226,Not Available,0,40.0,Not Available,Not Available
Deepdale Gardens C6,Ok,1951,Not Available,1.98261,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,134.4,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,1,123.8,Not Available,Douglas Manor-Douglaston-Little Neck,Not Available,Not Available,Not Available,Not Available,-73.727115,12,Not Available,Not Available,Whole Building,53407,Not Available,52456.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4017,0,287.9,6457194.2,337788.6,Not Available,Not Available,Not Available,Not Available,11362,Not Available,0,23.0,3,Not Available
200 Varick Associates,Ok,1919,Other,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,380972,Not Available,Whole Building,Not Available,Not Available,Not Available,288.6,Not Available,Not Available,Ok,7000,Not Available,Not Available,0.1,79.6,100,SoHo-TriBeCa-Civic Center-Little Italy,Not Available,Not Available,Not Available,13,-74.005343,80,Not Available,Not Available,Whole Building,21223.7,Not Available,420972.0,1,Not Available,1502,Not Available,42,Not Available,Not Available,Not Available,20000,Not Available,3985.6,34132785,6333420.8,Not Available,Not Available,Not Available,Not Available,10014,Not Available,0,3.0,Not Available,Not Available
