address_1,latitude,longitude,hospital_general_medical_2,electricity_use_grid_purchase_1,generation_date,weather_normalized_site,k_12_school_gross_floor_area,stadium_closed_gross_floor,manufacturing_industrial,primary_property_type_self,electricity_use_generated,occupancy,municipally_supplied_potable_3,nyc_borough_block_and_lot,date_property_last_modified,refrigerated_warehouse_gross,hospital_general_medical_8,outpatient_rehabilitation,financial_office_number_of,hospital_general_medical_4,hospital_general_medical_14,water_use_all_water_sources,fitness_center_health_club,nta,national_median_reference,district_steam_cost,pre_school_daycare_gross,bank_branch_gross_floor_area,community_board,office_percent_that_can_be,food_service_gross_floor,indoor_water_use_all_water,other_number_of_workers_on,convenience_store_with_gas,fuel_oil_2_use_kbtu,estimated_data_flag,retail_store_open_or_closed,national_median_site_eui,hospital_general_medical_12,personal_services_health,weather_normalized_source,roller_rink_gross_floor_area,indoor_arena_gross_floor,social_meeting_hall_gross,multifamily_housing_percent,hospital_general_medical_1,urgent_care_clinic_other,worship_facility_gross_floor
1669-75 University Avenue,40.848568,-73.918117,Not Available,1169973.1,2014-05-02T17:31:16.000,53436.1,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,0.7780378,2-02878-0090,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6352.7,Not Available,University Heights-Morris Heights,,Not Available,Not Available,Not Available,205.0,Not Available,Not Available,6352.7,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,94.1,Not Available,Not Available,Not Available,30,Not Available,Not Available,Not Available
20 Rockefeller Plaza,40.758348,-73.978988,Not Available,14845325.4,2014-05-01T15:28:10.000,916.4,Not Available,Not Available,Not Available,Other - Entertainment/Public Assembly,Not Available,100,Not Available,1-01264-0005,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Midtown-Midtown South,"PBA - 13, Public assembly",Not Available,Not Available,Not Available,105.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,27.2,Not Available,Not Available,299.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1825 Riverside Drive,40.865663,-73.928707,Not Available,741961.6,2014-04-28T09:35:52.000,1343.8,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,0,1-02246-0110,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2275.3,Not Available,Washington Heights North,,Not Available,Not Available,Not Available,112.0,Not Available,Not Available,2275.3,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
785 West End Avenue,40.796762,-73.972483,Not Available,Not Available,2014-05-01T10:06:12.000,920,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,0,1018880015,02/06/2014 06:31 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2894.9,Not Available,Upper West Side,,Not Available,Not Available,Not Available,107.0,Not Available,Not Available,2894.9,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
28 Marine Avenue,40.619912,-74.037682,Not Available,199077.6,2014-04-23T10:24:58.000,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,0.4325695,3061000028,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2145.9,Not Available,Bay Ridge,,Not Available,Not Available,Not Available,310.0,Not Available,Not Available,2145.9,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,9.6,Not Available,Not Available,Not Available,15,Not Available,Not Available,Not Available
127 JOHN STREET,40.707218,-74.005316,Not Available,20676853.1,2014-04-29T14:32:20.000,139197.5,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1000750001,04/08/2014 03:19 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Battery Park City-Lower Manhattan,,Not Available,Not Available,Not Available,101.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,1.16667,Not Available,Not Available,Not Available,146.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"3940,3960 Broadway",,,Not Available,13814642.1,2014-04-29T10:47:16.000,227897.7,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1021240043,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,,100,Not Available,Not Available,Not Available,Not Available,345002.8,No,Not Available,80.7,Not Available,Not Available,971.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
31 West 52nd St.,40.760492,-73.977937,Not Available,Not Available,2014-04-08T11:50:19.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,0,1-01268-7501,09/24/2013 04:15 PM EDT,Not Available,Not Available,Not Available,600,Not Available,Not Available,16561.2,Not Available,Midtown-Midtown South,"CBECS combination - 2, Bank_LG+Office",0,Not Available,Not Available,105.0,100,Not Available,16561.2,11,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
84 Fifth Avenue,40.736112,-73.993552,Not Available,4160865.8,2014-05-01T13:16:35.000,49997.6,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1008160037,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Hudson Yards-Chelsea-Flatiron-Union Square,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,105.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,115.7,Not Available,Not Available,145.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
100 Park Terrace West,40.871943,-73.916497,Not Available,829627.1,2014-05-01T17:26:54.000,1945.8,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,0,1022430289,02/06/2014 06:31 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2175.3,Not Available,Marble Hill-Inwood,,Not Available,Not Available,Not Available,112.0,Not Available,Not Available,2175.3,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,103.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
450 Park Avenue,40.761396,-73.97092,Not Available,24101088.5,2014-04-30T11:30:22.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1-01292-0037,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Midtown-Midtown South,"CBECS combination - 2, Bank_LG+Office",327778.5515,Not Available,Not Available,105.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,126.1,Not Available,Not Available,274.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
61-20 Grand Central Parkway,40.738412,-73.846767,Not Available,10807745.4,2014-04-22T08:16:41.000,424181.7,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,4021620122,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Forest Hills,,Not Available,Not Available,Not Available,406.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10,Not Available,Not Available,Not Available
3000 Ocean Parkway,40.576998,-73.968383,Not Available,7744421.1,2014-05-01T11:03:40.000,399002.2,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,3072740035,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,West Brighton,,Not Available,Not Available,Not Available,313.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,140.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
419 Park Ave South,40.743799,-73.983721,Not Available,8918886.1,2014-05-01T18:08:17.000,39767.2,Not Available,Not Available,Not Available,Office,Not Available,100,0,1-00884-0084,02/06/2014 06:31 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2182.3,Not Available,Murray Hill-Kips Bay,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,105.0,100,Not Available,2182.3,Not Available,Not Available,Not Available,No,Not Available,139.6,Not Available,Not Available,209.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
308 West104,,,Not Available,588273.8,2014-04-07T08:49:58.000,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1018900064,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
32 Gramercy Park South,40.737011,-73.984646,Not Available,3761767.5,2014-05-01T23:03:42.000,3823.9,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1008750047,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Gramercy,,300768.6249,Not Available,Not Available,106.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,153.9,Not Available,Not Available,Not Available,10,Not Available,Not Available,Not Available
522 West End Ave,40.788406,-73.978195,Not Available,1090470.4,2014-04-30T13:50:18.000,1453,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1012330002,04/15/2014 09:33 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Upper West Side,,Not Available,Not Available,Not Available,107.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,95.5,Not Available,Not Available,Not Available,5,Not Available,Not Available,Not Available
1020 Grand Concourse,40.830314,-73.920785,Not Available,10485645.8,2014-04-30T13:50:03.000,19226.5,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,2024610094,04/15/2014 09:37 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,East Concourse-Concourse Village,,Not Available,Not Available,Not Available,204.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,204.1,Not Available,Not Available,Not Available,4,Not Available,Not Available,Not Available
455 East 51st Street,40.753893,-73.964228,Not Available,952562.8,2014-05-01T23:04:37.000,806.6,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1013630020,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Turtle Bay-East Midtown,,Not Available,Not Available,Not Available,106.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,55.2,Not Available,Not Available,Not Available,20,Not Available,Not Available,Not Available
11-13 EAST 26TH STREET,40.743188,-73.98755,Not Available,9908997.3,2014-04-29T12:03:22.000,4.1,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1008560009,03/28/2014 10:29 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3795.9,Not Available,Hudson Yards-Chelsea-Flatiron-Union Square,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,105.0,97.73,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,100.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1550 E 13th,,,Not Available,688243.7,2014-04-28T11:46:38.000,46516.8,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,3-06759-0026,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,120,Not Available,Not Available,Not Available,10,Not Available,Not Available,Not Available
17 Gramercy Park South,40.737679,-73.986234,Not Available,642118.6,2014-05-01T16:19:04.000,Not Available,Not Available,Not Available,Not Available,Residence Hall/Dormitory,Not Available,100,Not Available,1008750067,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Gramercy,"PBA PLUS - 37, Dormitory/fraternity/sorority",Not Available,Not Available,Not Available,106.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
22-24 78th Street,40.768051,-73.89144,Not Available,643171.6,2014-04-29T14:02:59.000,36121.5,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,4009497501,04/29/2014 10:00 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Steinway,,Not Available,Not Available,Not Available,401.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,120.6,Not Available,Not Available,Not Available,38,Not Available,Not Available,Not Available
395 Fort Washington Ave,40.848619,-73.939215,Not Available,705853.4,2014-04-07T08:49:58.000,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,0,1021770023,02/06/2014 06:32 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6036.7,Not Available,Washington Heights South,,Not Available,Not Available,Not Available,112.0,100,Not Available,6036.7,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
160-170 Varick Street,40.726615,-74.005617,Not Available,19482912.4,2014-04-09T16:40:58.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,0,1-00506-7501,04/09/2014 08:22 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3957.9,Not Available,SoHo-TriBeCa-Civic Center-Little Italy,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,102.0,100,Not Available,3957.9,Not Available,Not Available,Not Available,No,Not Available,134.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
57 E 11th St,40.732925,-73.992397,Not Available,1760128.7,2014-04-21T14:29:16.000,803.3,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1005630046,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,West Village,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,102.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,111.9,Not Available,Not Available,141.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
199 Water Street,40.70727,-74.004314,Not Available,43804586.7,2014-04-30T09:57:31.000,0,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1000747501,04/11/2014 06:10 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Battery Park City-Lower Manhattan,"CBECS combination - 2, Bank_LG+Office",0,Not Available,Not Available,101.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.25423,104.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
100 Manhattan Ave,40.797533,-73.962286,Not Available,1571086.4,2014-04-30T13:50:23.000,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1018407501,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Upper West Side,,Not Available,Not Available,Not Available,107.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10,Not Available,Not Available,Not Available
610 West End Ave,40.791076,-73.975739,Not Available,3171555,2014-04-30T13:50:19.000,45801.9,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1012370061,04/15/2014 06:29 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Upper West Side,,Not Available,Not Available,Not Available,107.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,115.1,Not Available,Not Available,Not Available,7,Not Available,Not Available,Not Available
12 East 97th Street,40.788067,-73.95408,Not Available,1624472.3,2014-05-01T17:23:53.000,29003.3,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1-01602-0060,04/29/2014 04:06 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3544.3,Not Available,East Harlem South,,Not Available,Not Available,Not Available,111.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,104.9,Not Available,Not Available,Not Available,15,Not Available,Not Available,Not Available
3463 third ave,40.829837,-73.906407,Not Available,Not Available,2014-04-30T12:57:28.000,72347.1,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,0,2-02372-0041,02/06/2014 06:31 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11103.4,Not Available,Claremont-Bathgate,,Not Available,Not Available,Not Available,203.0,Not Available,Not Available,11103.4,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,20,Not Available,Not Available,Not Available
516 W 34th Street,40.754985,-74.000119,Not Available,18383200.9,2014-04-21T12:50:56.000,6787.4,Not Available,Not Available,Not Available,Office,Not Available,100,0,1007050046,02/06/2014 06:31 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2513.5,Not Available,Hudson Yards-Chelsea-Flatiron-Union Square,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,104.0,100,Not Available,2513.5,Not Available,Not Available,Not Available,No,Not Available,113.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
180 Grand Ave,40.691674,-73.963673,Not Available,350896.9,2014-04-29T09:40:12.000,Not Available,10000,Not Available,Not Available,K-12 School,Not Available,100,0,3-01920-0001,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,19.4,Not Available,Clinton Hill,"CBECS combination - 4, K12",Not Available,Not Available,Not Available,302.0,Not Available,Not Available,19.4,Not Available,Not Available,Not Available,No,Not Available,69.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
251 West 81st St. aka 2261 Broadway,40.785351,-73.979439,Not Available,2286282.3,2014-04-22T15:42:39.000,102116.2,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1-01229-0008,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Upper West Side,,Not Available,Not Available,Not Available,107.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.38961,Not Available,Not Available,Not Available,387,Not Available,Not Available,Not Available,20,Not Available,Not Available,Not Available
22-24 78th Street,40.768051,-73.89144,Not Available,1995089.5,2014-04-29T14:02:57.000,88372.9,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,4010087501,04/29/2014 10:01 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Steinway,,Not Available,Not Available,Not Available,401.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,124.7,Not Available,Not Available,Not Available,29,Not Available,Not Available,Not Available
1740 Broadway,40.765098,-73.982095,Not Available,26110524.5,2014-04-30T15:47:45.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,0,1010270020,02/10/2014 12:55 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7383.1,Not Available,Midtown-Midtown South,"CBECS combination - 2, Bank_LG+Office",610176.997,Not Available,Not Available,105.0,100,Not Available,7383.1,Not Available,Not Available,Not Available,No,0.66823,164.6,Not Available,Not Available,185.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3510 Bainbridge Avenue,40.881313,-73.878395,Not Available,1199488.6,2014-04-30T06:38:26.000,3329.7,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,0,2-03344-0005,04/21/2014 07:50 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4862,Not Available,Norwood,,Not Available,Not Available,Not Available,207.0,Not Available,Not Available,4862,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,207.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
445 West 153rd Street,40.829724,-73.942618,Not Available,272602.4,2014-05-02T14:55:29.000,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1020680013,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Hamilton Heights,,Not Available,Not Available,Not Available,109.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,12.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1995 Broadway,40.77524,-73.982186,Not Available,6876889.4,2014-04-29T14:59:06.000,381.1,Not Available,Not Available,Not Available,Office,Not Available,100,0,1011397502,02/06/2014 06:32 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5530.3,Not Available,Lincoln Square,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,107.0,100,Not Available,5530.3,Not Available,Not Available,Not Available,No,Not Available,135.8,Not Available,Not Available,308.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
225 Varick St,40.729165,-74.00525,Not Available,16984553.9,2014-04-09T16:40:56.000,97596.1,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1-00581-0063,04/09/2014 08:02 AM EDT,Not Available,Not Available,Not Available,20,Not Available,Not Available,Not Available,Not Available,West Village,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,102.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,103.4,Not Available,Not Available,165.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
350 Hudson Street,40.727548,-74.007274,Not Available,14047555.4,2014-04-09T16:40:57.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1-00580-0039,04/09/2014 08:22 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,SoHo-TriBeCa-Civic Center-Little Italy,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,102.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,1.15119,50.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
175 West 13th Street,40.737487,-73.999264,Not Available,2312760.1,2014-05-01T23:04:23.000,3288.3,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1006090001,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,West Village,,0,Not Available,Not Available,102.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,123.2,Not Available,Not Available,Not Available,10,Not Available,Not Available,Not Available
24-01 44th Road,40.748206,-73.943731,Not Available,17902764,2014-05-01T12:16:57.000,71497.5,Not Available,Not Available,Not Available,Office,Not Available,100,0,4004350001,04/14/2014 10:53 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5994,Not Available,Hunters Point-Sunnyside-West Maspeth,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,402.0,100,Not Available,4176.1,Not Available,Not Available,Not Available,No,Not Available,58.3,Not Available,Not Available,231.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
119 West 40th Street,40.753977,-73.986028,Not Available,16844429.8,2014-04-30T17:19:51.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1009930022,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Midtown-Midtown South,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,105.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,64.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
114  West  47th  st,40.75831,-73.982504,Not Available,24561684.6,2014-04-30T11:03:33.000,Not Available,Not Available,Not Available,Not Available,Financial Office,Not Available,100,Not Available,1009990019,09/15/2013 04:28 PM EDT,Not Available,Not Available,Not Available,600,Not Available,Not Available,Not Available,Not Available,Midtown-Midtown South,"CBECS combination - 2, Bank_LG+Office",0,Not Available,Not Available,105.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,58.3,Not Available,Not Available,159.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
481 8th Avenue,40.752295,-73.993402,Not Available,39518910,2014-04-10T14:29:45.000,644907.3,Not Available,Not Available,Not Available,Hotel,Not Available,100,0,1007580037,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,56677.6,Not Available,Hudson Yards-Chelsea-Flatiron-Union Square,"CBECS combination - 7, Hotel",0,Not Available,Not Available,104.0,100,Not Available,56677.6,Not Available,Not Available,Not Available,No,Not Available,113,Not Available,Not Available,188.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1780 Grand Concourse,40.846497,-73.909275,Not Available,4246169.2,2014-04-30T10:00:36.000,29410.9,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,2-02795-0014,04/03/2014 12:16 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Mount Hope,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,205.0,100,Not Available,Not Available,Not Available,Not Available,220800,No,Not Available,119.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
527 Madison Avenue,40.760035,-73.973415,Not Available,15059244.1,2014-04-17T17:06:07.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,0.1108297,1-01289-0052,11/04/2013 01:09 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2693.9,Not Available,Midtown-Midtown South,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,105.0,100,Not Available,2693.9,Not Available,Not Available,Not Available,No,Not Available,88.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
4 Times Square,40.756181,-73.986244,Not Available,104995940.6,2014-04-30T11:03:33.000,604996.9,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1009950005,09/15/2013 04:28 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Midtown-Midtown South,"CBECS combination - 2, Bank_LG+Office",0,Not Available,Not Available,105.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.07954,62.6,Not Available,Not Available,246.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
