job_description,job_status,owner_s__house__,applicant_professional_title,owner_s__phone__,pc_filed,zip_code,other_description,doc__,initial_cost,building_type,zoning_distr_3,approved
"MODIFICATION TO EXISTING TELECOMMUNICATIONS SITE.  INSTALL/REPLACE ANTENNAS WITH RELATED RRH UNITS AND INSTALL GPS ANTENNA ON ROOF.  ALL WORK IN CONFORMANCE WITH TPPN #5/98.  NO CHANGE IN USE, EGRESS, OR OCCUPANCY.                            ",R,6           ,PE,5164663588, ,11021,ANTENNA        ,1,12000.0,OTHER,,2014-12-24T00:00:00.000
"REMOVAL OF EXISTING TELECOMMUNICATIONS ROOM IN BASEMENT.  REMOVAL OF RELATED     ANTENNAS ON ROOF.  ALL WORK IN COMPLIANCE WITH TPPN 5/98.  NO CHANGE TO          OCCUPANCY, USE, OR EGRESS.                                                      ",R,31-10       ,PE,7182670729, ,11101,ANTENNA        ,1,20000.0,OTHER,,2013-07-08T00:00:00.000
"INSTALL NEW TELECOMMUNICATIONS CABINETS, RELATED DUNNAGE AND RELATED ANTENNAS ON ROOF IN CONFORMANCE WITH TPPN # 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.     RELATED RAIN CANOPY ON ROOF.                                                    ",R,18-35       ,PE,2123722384, ,11375,ANTENNA        ,1,77000.0,OTHER,,2013-12-06T00:00:00.000
INSTALLATION OF NEW ANTENNA SECTORS ON ROOF ALL WORK IN COMPLIANCE WITH          TPPN 5/98 NO CHANGE IN USE EGRESS OR OCCUPANCY                                  ,R,499         ,PE,2123981000, ,10018,ANTENNA        ,1,30000.0,OTHER,,2014-02-20T00:00:00.000
"INSTALLATION OF NEW TELECOMMUNICATION ANTENNA COMPONENTS ON THE ROOF.    ALL WORK IN COMPLIANCE WITH TPPN 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",R,165         ,PE,9733974814, ,10002,ANTENNA        ,1,10000.0,OTHER,,2015-08-28T00:00:00.000
"MODIFICATION TO EXISTING TELECOMMUNICATIONS SITE. REPLACE EXISTING ANTENNAS ON   ROOF IN CONFORMANCE WITH TPPN # 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.    ",R,441         ,PE,2125030919, ,10017,ANTENNA        ,1,3300.0,OTHER,,2013-07-10T00:00:00.000
"MODIFICATION OF EXISTING TELECOMMUNICATION SITE.  REPLACE (3) ANTENNAS WITH      RELATED RRH UNITS AND INSTALL (2) GPS ANTENNAS ON ROOF.  ALL WORK IN CONFORMANCE WITH TPPN #5/98.  NO CHANGE IN USE, EGRESS, OR OCCUPANCY.                       ",R,695         ,PE,2127724460, ,10065,ANTENNA        ,1,5300.0,OTHER,,2014-09-24T00:00:00.000
"REMOVAL OF EXISTING TELECOMMUNICATIONS EQUIPMENT SHELTER AND RELATED DUNNAGE ON  THE ROOF. REMOVAL OF EXISTING PATCH ANTENNA ON THE FA?ADE.  ALL WORK IN          COMPLIANCE WITH TPPN 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.               ",R,410         ,PE,2016484016, ,10022,ANTENNA        ,1,15000.0,OTHER,,2015-02-10T00:00:00.000
"INSTALLATION AND REPLACEMENT OF TELECOMMUNICATION ANTENNAS ON THE ROOF. REMOVAL  OF EXISTING ANTENNA ON THE ROOF.    ALL WORK IN COMPLIANCE WITH TPPN 5/98. NO    CHANGE IN USE, EGRESS OR OCCUPANCY.                                             ",R,150         ,PE,9143320080, ,10591,ANTENNA        ,1,10000.0,OTHER,,2014-08-22T00:00:00.000
"INSTALL NEW TELECOMMUNICATIONS CABINETS, RELATED DUNNAGE AND RELATED ANTENNAS ON ROOF IN CONFORMANCE WITH TPPN # 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.    ",R,9           ,PE,5164828600, ,11021,ANTENNA        ,1,77000.0,OTHER,,2014-09-09T00:00:00.000
"INSTALL NEW TELECOMMUNICATIONS CABINETS, RELATED DUNNAGE AND RELATED ANTENNAS ON ROOF IN CONFORMANCEW WITH TPPN # 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.   ",R,450         ,PE,2127595000, ,10022,ANTENNA        ,1,77000.0,OTHER,,2013-08-28T00:00:00.000
"MODIFICATION OF EXISTING ANTENNA SITE. REPLACE (9) AND ADD (3) ANTENNAS ON THE   ROOF. ALL WORK IS IN CONFORMANCE WITH TPPN # 5/98. NO CHANGE IN USE, EGRESS, OR  OCCUPANCY.                                                                      ",R,1261        ,PE,2125646662, ,10001,ANTENNA        ,1,12900.0,OTHER,,2013-11-04T00:00:00.000
"REPLACEMENT OF ONE EQUIPMENT CABINET ON PENTHOUSE WALL ON ROOF.INSTALLATION OF   ANTENNAS OF ROOF.ALL IN CONFORMANCE WITH TPPN#5/98.NO CHANGE IS USE,EGRESS OR    OCCUPANCY.                                                                      ",R,1407        ,PE,2126956666, ,10018,ANTENNA        ,1,6500.0,OTHER,,2014-04-03T00:00:00.000
"INSTALL NEW TELECOMMUNICATIONS CABINETS, RELATED DUNNAGE WITH RAIN CANOPY AND    RELATED ANTENNAS ON ROOF IN CONFORMANCE WITH TPPN # 5/98. NO CHANGE IN USE,      EGRESS OR OCCUPANCY.                                                            ",R,101         ,PE,2128743401, ,10023,ANTENNA        ,1,87000.0,OTHER,,2014-02-19T00:00:00.000
"INSTALLATION OF ADDITIONAL TELECOMMUNICATIONS ANTENNAS ON FA ADE.  INSTALLATION OF RRH UNITS IN EXISTING TELECOMMUNICATIONS ROOM ON 1ST FLOOR.  ALL WORK IN COMPLIANCE WITH TPPN 5/98.  NO CHANGE TO OCCUPANCY, USE, OR EGRESS.",R,5550        ,PE,5165572398, ,11758,ANTENNA        ,1,10000.0,OTHER,,2016-02-23T00:00:00.000
"INSTALLATION OF (1) RRH UNIT ON ROOF.  ALL IN CONFORMANCE WITH TPPN 5/98. NO     CHANGE IN USE, EGRESS, OR OCCUPANCY.                                            ",R,14          ,PE,9083980520, ,7054,ANTENNA        ,1,1000.0,OTHER,,2014-08-04T00:00:00.000
"INSTALLATION OF RRH UNITS ON ROOF. INSTALLATION OF ANTENNA ON THE ROOF.  ALL WORK IN COMPLIANCE WITH TPPN 5/98.  NO CHANGE TO OCCUPANCY, USE, OR EGRESS.",R,4           ,PE,9733974814, ,7054,ANTENNA        ,1,15000.0,OTHER,,2015-12-03T00:00:00.000
"INSTALLING (1) NEW GPS ANTENNA, REPLACING (2) TELECOMMUNICATIONS ANTENNAS WITH   RELATED RRH UNITS, AND INSTALLING (1) EQUIPMENT CABINET IN EXISTING EQUIPMENT    ROOM ON ROOF. ALL IN CONFORMANCE WITH TPPN 5/98. NO CHANGE IN USE, EGRESS, OR    OCCUPANCY.                                                                      ",R,165         ,PE,2125955565, ,10023,ANTENNA        ,1,9700.0,OTHER,,2014-07-28T00:00:00.000
"MODIFICATION TO EXISTING TELECOMMUNICATIONS SITE. REPLACE (12) ANTENNAS WITH     RELATED RRH UNITS AND INSTALL (2) GPS ANTENNAS ON ROOF. ALL IN CONFORMANCE WITH  TPPN 5/98. NO CHANGE IN USE, EGRESS, OR OCCUPANCY.                              ",R,4422        ,PE,2129421700, ,10040,ANTENNA        ,1,15200.0,OTHER,,2014-12-30T00:00:00.000
MODIFICATION TO EXISTING ANTENNA SITE INSTALLING (3) ADDITIONAL ANTENNAS ON THE  ROOF INSTALLING (1) ADDITIONAL CABINET ON EXISTING STEEL PLATAFORM ON THE ROOF   ALL WORK IS IN CONFORMANCE WITH TPPM # 5/98 NO CHANGE IN USE EGRESS OR OCCUPANCY,R,172-90      ,PE,7187554262, ,11432,ANTENNA        ,1,9500.0,OTHER,,2014-08-04T00:00:00.000
"REMOVAL OF EXISTING TELECOMMUNICATIONS SHELTER AND DUNNAGE ON ROOF.  REMOVAL OF  RELATED ANTENNAS ON ROOF.  ALL WORK IN COMPLIANCE WITH TPPN 5/98.  NO CHANGE TO  OCCUPANCY, USE, OR EGRESS.                                                      ",R,950         ,PE,2127595000, ,10022,ANTENNA        ,1,20000.0,OTHER,,2013-09-27T00:00:00.000
"MODIFICATION OF EXISTING ANTENNA SITE. RELOCATE AND REPLACE 2 ANTENNAS ON THE ROOF, REPLACE 4 ANTENNAS ON EXISTING MOUNTS ON THE ROOF. ALL WORK IS IN CONFORMANCE WITH TPPN # 5/98. NO CHANGE IN USE, EGRESS, OR OCCUPANCY.",R,4           ,PE,9733974800, ,7054,ANTENNA        ,1,12000.0,OTHER,,2018-06-07T00:00:00.000
"INSTALL NEW TELECOMMUNICATIONS CABINETS, RELATED DUNNAGE AND RELATED ANTENNAS ON ROOF IN CONFORMANCE WITH TPPN # 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.    ",R,403         ,PE,2129671644, ,10018,ANTENNA        ,1,79000.0,OTHER,,2014-10-06T00:00:00.000
"REMOVAL OF EXISTING TELECOMMUNICATIONS SHELTER AND DUNNAGE ON ROOF.  REMOVAL OF  RELATED ANTENNAS ON ROOF AND FA?ADE.  ALL WORK IN COMPLIANCE WITH TPPN 5/98.  NO CHANGE TO OCCUPANCY, USE, OR EGRESS.                                            ",R,301         ,PE,2124916663, ,10039,ANTENNA        ,1,20000.0,OTHER,,2013-07-26T00:00:00.000
"INSTALL NEW TELECOMMUNICATIONS CABINETS, RELATED DUNNAGE AND RELATED ANTENNAS ON ROOF IN CONFORMANCE WITH TPPN # 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.    ",R,46          ,PE,2127974600, ,10006,ANTENNA        ,1,87000.0,OTHER,,2013-09-23T00:00:00.000
"MODIFICATION OF EXISTING ANTENNA SITE. REPLACE AN EXISTING CABINET AND ADD AN    ADDITIONAL CABINET ON EXISTING PLATFORM ON THE ROOF. REPLACE (6) AND ADD (15)    ANTENNAS ON THE ROOF. ALL WORK IS IN CONFORMANCE WITH TPPN #5/98. NO CHANGE IN   USE, EGRESS, OR OCCUPANCY.                                                      ",R,75          ,PE,2126522118, ,10011,ANTENNA        ,1,32600.0,OTHER,,2014-03-03T00:00:00.000
"INSTALLATION OF TELECOMMUNICATION ANTENNA COMPONENTS ON THE ROOF. ALL WORK IS IN COMPLIANCE WITH TPPN 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.               ",R,4           ,PE,9733974814, ,7054,ANTENNA        ,1,10000.0,OTHER,,2015-05-06T00:00:00.000
"ANTENNA MODIFICATION OF EXISTING SITE. RETROFIT AN EXISTING AND INSTALL A NEW    CABINET ON EXISTING STEEL PLATFORM ON THE ROOF. REPLACE AND ADD ANTENNAS ON THE  ROOF. ALL WORK IS IN CONFORMANCE WITH TPPN #5/98. NO CHANGE IN USE, EGRESS, OR   OCCUPANCY.                                                                      ",R,44          ,PE,9176536627, ,10006,ANTENNA        ,1,25400.0,OTHER,,2013-11-06T00:00:00.000
"MODIFICATION OF EXISTING ANTENNA SITE. INSTALLING (1) ADDITIONAL CABINET AND     RETROFITTING (1) EXISTING CABINET ON THE ROOF. INSTALLING (6) ADDITIONAL         ANTENNAS ON THE ROOF, REPLACING (3) ANTENNAS ON THE ROOF. ALL WORK IS IN         CONFORMANCE WITH TPPN # 5/98. NO CHANGE IN USE IN EGRESS, OR OCCUPANCY.         ",R,641         ,PE,2123195000, ,10065,ANTENNA        ,1,18300.0,OTHER,,2015-02-05T00:00:00.000
"REMOVAL OF EXISTING TELECOMMUNICATIONS SHELTER ON ROOF.  REMOVAL OF RELATED      ANTENNAS ON ROOF.  ALL WORK IN COMPLIANCE WITH TPPN 5/98.  NO CHANGE TO          OCCUPANCY, USE, OR EGRESS.                                                      ",R,370         ,PE,2122797600, ,10001,ANTENNA        ,1,20000.0,OTHER,,2013-09-25T00:00:00.000
"INSTALLATION OF RRU UNITS ON TO A EXISTING TELECOMMUNICATION SITE ON THE ROOF. INSTALLATION OF AN ADDITIONAL EQUIPMENT CABINET ON THE EXISTING STEEL PLATFORM ON THE ROOF. ALL WORK IN COMPLIANCE WITH TTPN 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",R,42          ,PE,9733974814, ,11030,ANTENNA        ,1,20000.0,OTHER,,2015-07-29T00:00:00.000
"INSTALLATION OF TELECOMMUNICATION EQUIPMENT CABINET ON THE EQUIPMENT PLATFORM ON THE ROOF.  INSTALLATION OF RRUS ON THE ROOF.     ALL WORK IN COMPLIANCE WITH TPPN 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",R,517         ,PE,9733974814, ,10032,ANTENNA        ,1,20000.0,OTHER,,2015-09-14T00:00:00.000
"REPLACEMENT OF EXISTING TELECOMMUNICATIONS ANTENNAS ON ROOF.  ALL WORK IN        COMPLIANCE WITH TPPN 5/98.  NO CHANGE TO OCCUPANCY, USE, OR EGRESS.             ",R,1855        ,PE,2015710700, ,10023,ANTENNA        ,1,25000.0,OTHER,,2013-06-14T00:00:00.000
"MODIFICATION OF EXISTING ANTENNA SITE. INSTALLING (3) ADDITIONAL ANTENNAS ON THE ROOF. INSTALLING (1) ADDITIONAL CABINET WITHIN EXISTING TELECOM ROOM IN THE      BASEMENT. ALL WORK IS IN CONFORMANCE WITH TPPN #5/98. NO CHANGE IN USE, EGRESS,  OR OCCUPANCY.                                                                   ",R,4           ,PE,2123684471, ,10027,ANTENNA        ,1,9500.0,OTHER,,2014-04-23T00:00:00.000
"REPLACE TELECOMMUNICATIONS ANTENNAS ON THE ROOF.ALL IN CONFORMANCE WITH TPPN#    5/98.NO CHANGE IN USE,EGRESS OR OCCUPANCY. INSTALL ELEC. EQUIPMENT IN EXISTING   TELECOMMUNICATIONS SHELTER ON ROOF.                                             ",R,696         ,PE,6464351897, ,10458,ANTENNA        ,1,11000.0,OTHER,,2014-02-19T00:00:00.000
"REPLACEMENT OF ANTENNAS ON THE ROOF. INSTALLATION OF ANTENNA COMPONENTS ON THE   ROOF AND IN THE EQUIPMENT ROOM ON THE ROOF.    ALL WORK IN COMPLIANCE WITH TPPN  5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.                                    ",R,250         ,PE,2129299404, ,10001,ANTENNA        ,1,15000.0,OTHER,,2014-05-05T00:00:00.000
"INSTALL NEW TELECOMMUNICATIONS ANTENNAS ON ROOF IN CONFORMANCE WITH TPPN 5/98.   NO CHANGE IN USE, EGRESS OR OCCUPANCY.                                          ",R,1536        ,PE,2127727550, ,10028,ANTENNA        ,1,13500.0,OTHER,,2013-10-22T00:00:00.000
"CREATING A DUAL HOST WIRELESS NETWORK WITH IN THE BUILDING. INSTALLATION OF A    BASE STATION EQUIPMENT BUILDING. INSTALLATION OF BASE STATION EQUIPMENT WITHIN   EXISTING 33RD FLOOR MECHANICAL ROOM. RELATED COOL COIL POWERED HVAC LOCATED IN   EXISTING MECHANICAL ROOM. GPS ANTENNAS ON THE ROOF. NO CHANGE IN USE, EGRESS, OR OCCUPANCY.                                                                      ",R,110         ,PE,2123123824, ,10038,ANTENNA        ,1,254000.0,OTHER,,2013-04-23T00:00:00.000
INSTALLATION OF NEW ANTENNA SECTORS ON THE ROOF INSTALLATION OF NEW              EQUIPMENT CABINETS ON STEEL PLATFORM ON THE ROOF ALL WORK IN CONPLIANCE WITH     TPPN 5/98. NO CHANGE IN USE EGRESS OR OCCUPANCY                                 ,R,156         ,PE,2124060030, ,10038,ANTENNA        ,1,100000.0,OTHER,,2015-04-13T00:00:00.000
"INSTALL NEW TELECOMMUNICATIONS CABINETS, RELATED DUNNAGE AND ANTENNAS ON ROOF IN CONFORMANCE WITH TPPN #5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.             ",R,6           ,PE,5164394001, ,11021,ANTENNA        ,1,57000.0,OTHER,,2014-04-25T00:00:00.000
"INSTALLATION OF (3) ADDITIONAL RRH UNITS ON ROOF. ALL IN CONFORMANCE WITH TPPN   5/98. NO CHANGE IN USE, EGRESS, OR OCCUPANCY.                                   ",R,14          ,PE,9083980520, ,7054,ANTENNA        ,1,3000.0,OTHER,,2014-08-28T00:00:00.000
"INSTALL NEW EQUIPMENT IN THE CELLAR. RELATED GPS ON ROOF. ALL IN CONFORMANCE WITH TPPN # 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",R,60          ,PE,2123191200, ,10023,ANTENNA        ,1,50000.0,OTHER,,2016-04-18T00:00:00.000
"INSTALL TELEPHONE CONDUIT FROM EQUIPMENT ROOMN IN THE BASEMENT THRU ROOF. NO     CHANGE IN USE, EGRESS OR OCCUPANCY.                                             ",R,421         ,PE,2125647250, ,10001,ANTENNA        ,1,15000.0,OTHER,,2013-08-16T00:00:00.000
MODIFICATION TO EXISTING TELECOMMUNICATIONS SITE.  REPLACING SIX (6) ANTENNAS ON ROOF.                                                                           ,R,11          ,PE,2126964955, ,7632,ANTENNA        ,1,6600.0,OTHER,,2013-06-11T00:00:00.000
"INSTALLATION OF ANTENNAS AND RRU UNITS ON TO AN EXISTING TELECOMMUNICATION SITE  ON THE ROOF. RELOCATION OF EXISTING DISH ANTENNA ON THE ROOF. ALL WORK IN        COMPLIANCE WITH TTPN 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.               ",R,1428        ,PE,9733974814, ,11218,ANTENNA        ,1,15000.0,OTHER,,2015-06-17T00:00:00.000
"MODIFICATION OF EXISTING ANTENNA SITE. INSTALLING (3) ADDITIONAL ANTENNAS ON THE ROOF. INSTALLING (1) ADDITIONAL CABINET ON EXISTING STEEL PLATFORM ON THE ROOF.  ALL WORK IS IN CONFORMANCE WITH TPPN #5/98. NO CHANGE IN USE, EGRESS, OR         OCCUPANCY.                                                                      ",R,27          ,PE,7324969966, ,7746,ANTENNA        ,1,9500.0,OTHER,,2014-09-10T00:00:00.000
"INSTALLATION OF ADDITIONAL TELECOMMUNICATIONS CABINET ON EXISTING DUNNAGE        ON ROOF.  INSTALLATION OF RELATED ANTENNAS ON FACADE.  ALL WORK IN               COMPLIANCE WITH TPPN 5/98.  NO CHANGE TO OCCUPANCY, USE OR EGRESS               ",R,395         ,PE,2015710700, ,10014,ANTENNA        ,1,25000.0,OTHER,,2011-08-11T00:00:00.000
"INSTALLATION OF NEW TELECOMMUNICATIONS ANTENNA COMPONENTS ON THE LOWER ROOF.     ALL WORK IN COMPLIANCE WITH TPPN 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.   ",R,29          ,PE,9733974814, ,10006,ANTENNA        ,1,10000.0,OTHER,,2015-07-02T00:00:00.000
"MODIFICATION TO EXISTING TELECOMMUNICATIONS SITE. REPLACEMENT AND INSTALLATION OF ANTENNAS WITH RELATED RRH UNITS ON THE ROOF. ALL IN CONFORMANCE WITH TPPN 5/98. NO CHANGE IN USE, EGRESS, OR OCCUPANCY.",R,4           ,PE,9733974800, ,7054,ANTENNA        ,1,3200.0,OTHER,,2017-01-20T00:00:00.000
"REPLACING (6) EXISTING ANTENNAS ON ROOF. ALL WORK IS IN CONFORMANCE WITH TPPN    #5/98. NO CHANGE IN USE, EGRESS, OR OCCUPANCY.                                  ",R,5420        ,RA,2123605008, ,11219,ANTENNA        ,1,6600.0,OTHER,,2014-05-23T00:00:00.000
"INSTALLATION OF (3) ADDITIONAL RRH UNITS ON ROOF. ALL IN CONFORMANCE WITH TPPN   5/98. NO CHANGE IN USE, EGRESS, OR OCCUPANCY.                                   ",R,14          ,PE,9083980520, ,7054,ANTENNA        ,1,3000.0,OTHER,,2014-07-29T00:00:00.000
"MODIFICATION OF EXISTING ANTENNA SITE. INSTALLING (3) ADDITIONAL ANTENNAS ON THE ROOF. INSTALLING (1) ADDITIONAL CABINET ON EXISTING STEEL PLATFORM ON THE ROOF.  ALL WORK IS IN CONFORMANCE WITH TPPN #5/98. NO CHANGE IN USE, EGRESS, OR         OCCUPANCY.                                                                      ",R,PIER        ,PE,2123366857, ,10011,ANTENNA        ,1,9500.0,OTHER,,2014-05-12T00:00:00.000
"INSTALL NEW TELECOMMUNICATIONS CABINETS, RELATED DUNNAGE AND RELATED ANTENNAS ON ROOF IN CONFORMANCE WITH TPPN # /98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.     ",R,377         ,PE,2122132500, ,10016,ANTENNA        ,1,77000.0,OTHER,,2013-09-20T00:00:00.000
"INSTALL NEW TELECOMMUNICATIONS ANTENNAS ON ROOF IN CONFORMANCE WITH TPPN # 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.                                          ",R,6           ,PE,5164394001, ,11021,ANTENNA        ,1,4000.0,OTHER,,2013-11-04T00:00:00.000
INSTALL TELECOMMUNICATIONS EQUIPMENT ON THE 3RD FLOOR. RELATED CONDUITS ON THE   10TH FLOOR. RELATED GPS ANTENNAS ON ROOF. ALL IN CONFORMANCE WITH TPPN # 5/98.   NO CHANGE IN USE. EGRESS OR OCCUPANCY.                                          ,R,150         ,PE,2123700928, ,10017,ANTENNA        ,1,52000.0,OTHER,,2014-10-29T00:00:00.000
"INSTALLATION OF RRU UNITS ON THE ROOF.   ALL WORK IN COMPLIANCE WITH TPPN 5/98.NO CHANGE OF USE, EGRESS, OR OCCUPANCY.",R,PO BOX      ,PE,9733974814, ,10002,ANTENNA        ,1,10000.0,OTHER,,2015-10-22T00:00:00.000
"INSTALL NEW TELECOMMUNICATIONS CABINETS, RELATED DUNNAGE AND RELATED ANTENNAS ON ROOF IN CONFORMANCE WITH TPPN # 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.    ",R,641         ,PE,4152358494, ,10022,ANTENNA        ,1,77000.0,OTHER,,2013-09-30T00:00:00.000
"MODIFICATION TO EXISTING TELECOMMUNICATIONS SITE. INSTALLING ADDITIONAL          TELECOMMUNICATIONS CABINETS ON PLATFORM ON ROOF.INSTALLING RELATED ANTENNAS ON   ROOF. ALL IN CONFORMANCE WITH TPPN # 5/98. NO CHANGE IN USE, EGRESS OR           OCCUPANCY.                                                                      ",R,872         ,PE,2127449644, ,10016,ANTENNA        ,1,14900.0,OTHER,,2013-12-27T00:00:00.000
"INSTALLATION OF RRU UNITS ON THE ROOF. RELOCAATION OF ANTENNA SECTOR ON THE ROOF. INSTALLATION OF CABLE TRAY CROSS OWER ON THE ROOF. INSTALLATION OF STEEL GRATING MOUNTED TO EXISTING STEEL DUNNAGE ON THE ROOF. ALL WORK IS IN COMPLIA NCE WITH TPPN 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",R,4           ,PE,9733974814, ,7054,ANTENNA        ,1,10000.0,OTHER,,2017-12-01T00:00:00.000
