dbn,location,p_q11b,p_q11f_1,p_q8f_1,p_q9,p_q10b,p_q2d_1,p_q7c_1,p_q7d_5,p_q8b_5,p_q10l,p_q2g_5,p_q11b_1,nr_p,p_q2i_4,p_q11a_3,p_q12aa_3,p_q5b,p_q8c_2,p_q1_4,p_q2h_3,aca_p_10,p_q8f_5,aca_tot_10,p_q4a_5,p_q8e_5,p_q12bb,p_q2i_3,p_q8e_4,p_q4e_5,p_q6_4,p_q4e_1,com_p_10,p_q5h,p_q3c_1,p_q11f_2,p_q2f_2,p_q3b,p_q2g_1,p_q2a_5,p_q4d_3,p_q8d_4,p_q1_12,p_q7b,p_q3d,p_q5g,sch_type,p_q2c_1,p_q3a_5,p_q2b_2,p_q11d_2,p_q7a_2,p_q7b_2,p_q8b_3,p_q9_3,p_q2a_2,p_q10k,p_q2a_4,p_q7a_5,p_q2c_5,p_q7b_4,p_q8e_3,borough,saf_tot_10,rr_t,p_q7d_1,p_q2g_4,p_q10i,p_q2g,p_q3a_1,p_q1_10,p_q3c_2,p_q8d_5,p_q2f_5,p_q8a_3,p_q4e_3,p_q3d_3,p_q5j,p_q2e_3,p_q10d,p_q11d_1,p_q4c_5,p_q2d_3,com_t_10,saf_p_10,p_q7d,p_q7d_2,p_q1_1,p_q8c_1,p_q7b_3,rr_p,p_q12aa,p_q2e_5,p_q9_9,p_q10,p_q4b_4,com_tot_10,p_q12ab,eng_p_10
11X041,P.S. 041 Gun Hill Road,8.1,57.0,67.0,,30.0,61.0,47.0,5.0,26.0,2.0,4.0,52.0,748,1.0,2.0,9.0,25.0,5.0,16.0,7.0,8.6,28.0,8.6,2.0,24.0,,4.0,1.0,,2.0,,8.3,44.0,51.0,39.0,36.0,7.3,55.0,0.0,2.0,2.0,0.0,8.7,,8.0,Elementary School,51.0,3.0,46.0,40.0,41.0,44.0,2.0,17.0,41.0,3.0,1.0,1.0,1.0,1.0,1.0,BRONX,8.2,95,53.0,1.0,5.0,8.5,46.0,0.0,31.0,29.0,0.0,9.0,,15.0,18.0,2.0,66.0,55.0,1.0,2.0,8.2,8.7,8.4,38.0,1.0,63.0,1.0,75,,24.0,10.0,,1.0,8.3,,8.1
02M077,P.S. 77 Lower Lab School,7.9,59.0,90.0,,96.0,76.0,40.0,17.0,13.0,0.0,39.0,46.0,306,1.0,4.0,17.0,90.0,6.0,18.0,16.0,8.5,9.0,8.3,2.0,11.0,,4.0,0.0,,0.0,,8.1,80.0,51.0,36.0,42.0,7.8,33.0,0.0,2.0,0.0,0.0,7.9,,11.0,Elementary School,52.0,0.0,37.0,48.0,46.0,59.0,2.0,9.0,35.0,7.0,1.0,0.0,0.0,1.0,0.0,MANHATTAN,8.5,90,24.0,0.0,3.0,8.4,38.0,0.0,35.0,19.0,0.0,3.0,,40.0,34.0,2.0,66.0,45.0,1.0,0.0,6.9,8.7,7.2,48.0,0.0,76.0,7.0,82,,40.0,1.0,,0.0,7.5,,8.6
17K543,"Science, Technology and Research Early College High School at Erasmus",8.4,58.0,62.0,,63.0,65.0,60.0,1.0,14.0,10.0,3.0,56.0,464,0.0,1.0,7.0,41.0,6.0,0.0,6.0,8.8,24.0,8.3,0.0,21.0,,2.0,2.0,5.0,1.0,65.0,8.6,66.0,52.0,38.0,33.0,8.7,62.0,0.0,1.0,1.0,13.0,8.8,,32.0,Middle / High School,57.0,2.0,39.0,40.0,37.0,36.0,1.0,9.0,36.0,2.0,0.0,1.0,1.0,0.0,2.0,BROOKLYN,7.7,78,62.0,0.0,13.0,8.7,58.0,11.0,19.0,18.0,0.0,7.0,2.0,15.0,34.0,2.0,48.0,55.0,1.0,0.0,7.3,9.0,8.6,33.0,0.0,74.0,3.0,65,,34.0,24.0,,1.0,7.5,,8.6
02M550,Liberty High School Academy for Newcomers,8.2,50.0,73.0,,18.0,54.0,51.0,5.0,8.0,2.0,0.0,49.0,356,1.0,1.0,11.0,30.0,11.0,0.0,5.0,8.2,23.0,7.7,4.0,19.0,,5.0,1.0,9.0,2.0,36.0,8.0,39.0,17.0,46.0,41.0,6.8,60.0,0.0,3.0,1.0,22.0,8.6,,16.0,High School,51.0,3.0,52.0,51.0,40.0,38.0,1.0,15.0,46.0,2.0,0.0,1.0,0.0,1.0,1.0,MANHATTAN,8.2,91,44.0,0.0,6.0,8.6,24.0,0.0,37.0,14.0,1.0,3.0,6.0,24.0,30.0,4.0,41.0,45.0,3.0,6.0,5.9,8.9,8.1,50.0,0.0,71.0,3.0,79,,20.0,16.0,,1.0,6.6,,7.7
08X125,J.H.S. 125 Henry Hudson,7.1,35.0,50.0,,35.0,47.0,31.0,5.0,20.0,3.0,12.0,34.0,638,5.0,5.0,9.0,33.0,6.0,0.0,15.0,7.4,32.0,7.2,6.0,32.0,,5.0,4.0,,3.0,,7.4,47.0,33.0,54.0,46.0,6.9,40.0,1.0,10.0,5.0,0.0,7.3,,21.0,Middle School,37.0,12.0,53.0,51.0,41.0,47.0,5.0,9.0,49.0,3.0,1.0,1.0,2.0,6.0,0.0,BRONX,6.7,100,41.0,2.0,6.0,7.8,29.0,36.0,33.0,26.0,1.0,14.0,,27.0,35.0,7.0,40.0,32.0,3.0,2.0,6.2,7.8,7.8,47.0,0.0,58.0,10.0,34,,22.0,24.0,,4.0,6.4,,7.6
08X014,P.S. X014 Senator John Calandra,8.3,57.0,86.0,,50.0,61.0,50.0,3.0,13.0,1.0,8.0,54.0,476,1.0,2.0,12.0,34.0,4.0,19.0,8.0,8.6,12.0,7.4,0.0,14.0,,2.0,0.0,,2.0,,8.3,56.0,51.0,39.0,39.0,7.7,50.0,0.0,3.0,0.0,0.0,8.8,,10.0,Elementary School,47.0,2.0,41.0,46.0,31.0,39.0,3.0,18.0,40.0,2.0,1.0,1.0,1.0,1.0,0.0,BRONX,7.9,64,60.0,0.0,6.0,8.4,43.0,0.0,37.0,17.0,0.0,8.0,,26.0,25.0,2.0,75.0,50.0,0.0,1.0,4.8,9.0,8.7,36.0,0.0,78.0,2.0,63,,29.0,9.0,,1.0,6.5,,8.3
02M625,High School of Graphic Communication Arts,7.1,30.0,24.0,,48.0,41.0,20.0,8.0,24.0,3.0,5.0,26.0,1673,4.0,7.0,13.0,18.0,15.0,0.0,15.0,7.1,31.0,7.4,7.0,35.0,,12.0,9.0,13.0,3.0,22.0,6.9,48.0,21.0,60.0,54.0,5.8,35.0,1.0,9.0,7.0,26.0,6.6,,15.0,High School,26.0,19.0,60.0,61.0,52.0,53.0,8.0,10.0,61.0,1.0,2.0,7.0,3.0,5.0,6.0,MANHATTAN,6.7,91,27.0,3.0,6.0,7.4,20.0,0.0,28.0,30.0,0.0,18.0,15.0,24.0,38.0,8.0,35.0,23.0,6.0,4.0,7.3,6.8,7.0,52.0,0.0,43.0,15.0,31,,26.0,17.0,,4.0,6.6,,7.0
09X232,I.S. 232,8.3,60.0,57.0,,18.0,65.0,55.0,4.0,15.0,2.0,1.0,56.0,396,2.0,3.0,2.0,5.0,9.0,0.0,7.0,8.6,32.0,7.7,4.0,24.0,,3.0,0.0,,3.0,,8.5,56.0,59.0,35.0,32.0,8.3,65.0,0.0,3.0,1.0,0.0,8.7,,5.0,Middle School,60.0,6.0,39.0,36.0,37.0,40.0,2.0,9.0,36.0,2.0,1.0,4.0,0.0,1.0,1.0,BRONX,7.2,89,57.0,1.0,5.0,8.7,58.0,39.0,23.0,22.0,0.0,8.0,,11.0,43.0,3.0,54.0,58.0,1.0,1.0,6.7,8.7,8.5,36.0,0.0,67.0,1.0,91,,12.0,13.0,,1.0,6.9,,8.3
17K548,Brooklyn School for Music & Theatre,6.9,24.0,35.0,,46.0,46.0,23.0,6.0,28.0,6.0,3.0,23.0,374,3.0,6.0,16.0,55.0,9.0,0.0,13.0,7.4,42.0,7.4,2.0,40.0,,8.0,1.0,10.0,2.0,28.0,7.3,46.0,27.0,64.0,48.0,6.0,46.0,0.0,7.0,2.0,26.0,6.9,,13.0,High School,24.0,9.0,62.0,57.0,63.0,58.0,7.0,13.0,54.0,3.0,2.0,5.0,3.0,5.0,3.0,BROOKLYN,6.9,100,29.0,1.0,7.0,8.1,27.0,1.0,38.0,33.0,1.0,14.0,9.0,30.0,28.0,3.0,35.0,27.0,4.0,1.0,6.9,7.7,7.0,50.0,0.0,55.0,14.0,41,,28.0,12.0,,0.0,6.7,,7.4
08X119,P.S. 119,7.6,44.0,63.0,,29.0,46.0,38.0,7.0,24.0,1.0,7.0,41.0,737,3.0,3.0,11.0,15.0,7.0,16.0,10.0,8.0,33.0,7.4,6.0,28.0,,9.0,0.0,,5.0,,7.7,51.0,35.0,50.0,50.0,6.6,41.0,0.0,4.0,2.0,0.0,8.3,,30.0,Elementary School,41.0,6.0,55.0,53.0,50.0,51.0,2.0,20.0,49.0,2.0,2.0,2.0,1.0,1.0,1.0,BRONX,7.9,47,44.0,1.0,6.0,8.0,38.0,0.0,33.0,31.0,0.0,8.0,,25.0,33.0,6.0,67.0,39.0,1.0,3.0,5.3,8.6,8.1,47.0,8.0,60.0,4.0,59,,29.0,20.0,,1.0,6.5,,7.6
11X144,J.H.S. 144 Michelangelo,7.1,31.0,41.0,,29.0,40.0,27.0,5.0,19.0,3.0,3.0,28.0,976,1.0,8.0,17.0,21.0,18.0,0.0,22.0,7.4,30.0,7.7,2.0,27.0,,14.0,1.0,,2.0,,7.1,63.0,16.0,58.0,50.0,6.4,34.0,0.0,12.0,3.0,0.0,7.7,,21.0,Middle School,31.0,10.0,58.0,62.0,61.0,62.0,10.0,8.0,56.0,5.0,0.0,2.0,1.0,1.0,5.0,BRONX,7.1,62,34.0,1.0,3.0,7.4,21.0,34.0,44.0,23.0,1.0,14.0,,24.0,36.0,9.0,48.0,25.0,3.0,7.0,7.0,7.6,7.5,52.0,0.0,49.0,8.0,55,,19.0,13.0,,1.0,6.9,,7.3
05M195,I.S. 195 Roberto Clemente,7.1,14.0,14.0,,38.0,19.0,12.0,3.0,56.0,1.0,2.0,17.0,520,1.0,2.0,18.0,39.0,5.0,0.0,5.0,7.4,60.0,7.2,2.0,59.0,,2.0,1.0,,0.0,,7.1,77.0,19.0,83.0,79.0,6.1,18.0,0.0,2.0,3.0,0.0,7.7,,41.0,Middle School,21.0,2.0,77.0,84.0,79.0,84.0,3.0,12.0,74.0,3.0,1.0,2.0,1.0,1.0,2.0,MANHATTAN,6.3,60,12.0,0.0,4.0,7.2,17.0,47.0,19.0,57.0,1.0,6.0,,56.0,57.0,1.0,72.0,14.0,2.0,1.0,5.9,7.6,6.9,82.0,0.0,33.0,1.0,75,,7.0,2.0,,1.0,6.2,,7.2
08X530,Banana Kelly High School,7.9,46.0,71.0,,18.0,74.0,58.0,2.0,8.0,1.0,0.0,44.0,426,1.0,3.0,15.0,23.0,17.0,0.0,3.0,8.1,12.0,7.5,2.0,10.0,,1.0,0.0,2.0,2.0,39.0,8.5,45.0,32.0,49.0,29.0,7.8,71.0,0.0,3.0,1.0,21.0,9.1,,17.0,High School,68.0,3.0,31.0,51.0,34.0,34.0,2.0,6.0,29.0,2.0,0.0,1.0,0.0,0.0,1.0,BRONX,7.8,81,61.0,1.0,6.0,9.0,34.0,0.0,53.0,9.0,0.0,3.0,3.0,13.0,16.0,1.0,19.0,44.0,1.0,1.0,5.4,9.0,8.6,35.0,0.0,73.0,0.0,73,,8.0,8.0,,1.0,6.7,,8.3
09X035,P.S. 035 Franz Siegel,7.7,51.0,81.0,,26.0,54.0,45.0,4.0,17.0,3.0,7.0,43.0,576,0.0,1.0,12.0,41.0,10.0,13.0,9.0,8.3,17.0,7.8,4.0,15.0,,6.0,0.0,,3.0,,8.1,38.0,45.0,45.0,44.0,7.3,47.0,0.0,3.0,3.0,0.0,8.6,,14.0,Elementary School,45.0,3.0,47.0,48.0,45.0,47.0,3.0,24.0,47.0,3.0,1.0,1.0,0.0,0.0,0.0,BRONX,8.0,48,50.0,0.0,7.0,8.3,41.0,0.0,30.0,22.0,0.0,9.0,,20.0,24.0,3.0,64.0,46.0,2.0,1.0,5.4,8.8,8.3,43.0,0.0,72.0,3.0,42,,28.0,8.0,,0.0,6.7,,8.0
03M250,M.S. 250 West Side Collaborative Middle School,8.0,56.0,76.0,,49.0,67.0,62.0,8.0,18.0,3.0,7.0,53.0,174,1.0,1.0,14.0,18.0,2.0,0.0,8.0,8.5,22.0,8.8,3.0,21.0,,1.0,0.0,,1.0,,8.3,53.0,38.0,40.0,35.0,6.9,56.0,0.0,4.0,1.0,0.0,9.0,,16.0,Middle School,60.0,4.0,38.0,48.0,39.0,39.0,0.0,27.0,27.0,1.0,0.0,0.0,0.0,0.0,1.0,MANHATTAN,8.8,91,49.0,0.0,11.0,8.5,40.0,34.0,43.0,19.0,0.0,3.0,,20.0,12.0,2.0,43.0,48.0,1.0,0.0,8.5,9.0,8.1,36.0,0.0,76.0,0.0,53,,27.0,18.0,,1.0,8.0,,8.3
16K040,P.S. 040 George W. Carver,7.3,30.0,77.0,,27.0,40.0,27.0,0.0,28.0,3.0,3.0,27.0,308,0.0,3.0,3.0,13.0,5.0,12.0,6.0,7.7,18.0,8.3,2.0,12.0,,1.0,0.0,,1.0,,7.7,69.0,44.0,67.0,68.0,7.7,32.0,0.0,2.0,0.0,0.0,9.2,,8.0,Elementary School,45.0,2.0,64.0,69.0,51.0,29.0,1.0,11.0,52.0,3.0,1.0,1.0,0.0,0.0,1.0,BROOKLYN,8.3,85,42.0,1.0,11.0,7.6,27.0,0.0,42.0,37.0,0.0,7.0,,16.0,51.0,2.0,77.0,30.0,1.0,0.0,7.9,8.7,8.1,58.0,3.0,65.0,1.0,47,,18.0,4.0,,0.0,7.8,,8.0
05M499,Frederick Douglass Academy,7.1,35.0,35.0,,66.0,43.0,30.0,6.0,28.0,2.0,4.0,31.0,1459,8.0,8.0,18.0,22.0,11.0,0.0,25.0,7.5,43.0,7.1,2.0,42.0,,12.0,5.0,14.0,4.0,28.0,6.8,53.0,25.0,52.0,45.0,6.2,39.0,0.0,4.0,6.0,13.0,7.3,,16.0,Middle / High School,30.0,16.0,51.0,57.0,52.0,56.0,9.0,13.0,53.0,2.0,1.0,2.0,1.0,3.0,5.0,MANHATTAN,6.4,25,28.0,3.0,5.0,7.5,23.0,12.0,27.0,34.0,1.0,16.0,15.0,28.0,58.0,7.0,40.0,21.0,4.0,4.0,5.1,7.2,7.0,54.0,0.0,45.0,11.0,13,,38.0,9.0,,2.0,5.7,,7.2
02M655,Life Sciences Secondary School,7.4,29.0,37.0,,47.0,32.0,30.0,7.0,20.0,2.0,1.0,32.0,635,4.0,5.0,16.0,47.0,9.0,0.0,23.0,7.4,45.0,6.9,1.0,39.0,,9.0,1.0,13.0,5.0,17.0,6.9,43.0,16.0,63.0,64.0,5.4,36.0,0.0,5.0,2.0,14.0,7.6,,12.0,Middle / High School,24.0,14.0,60.0,59.0,58.0,67.0,7.0,6.0,62.0,1.0,0.0,1.0,1.0,1.0,4.0,MANHATTAN,6.5,45,37.0,1.0,4.0,7.6,20.0,13.0,25.0,32.0,0.0,11.0,18.0,26.0,24.0,6.0,19.0,28.0,5.0,1.0,5.5,7.8,7.7,51.0,0.0,61.0,8.0,15,,33.0,8.0,,0.0,5.9,,7.2
05M410,THE URBAN ASSEMBLY INSTITUTE FOR NEW TECHNOLOGIES,7.9,38.0,57.0,,63.0,50.0,25.0,0.0,38.0,0.0,0.0,38.0,62,0.0,0.0,0.0,13.0,0.0,0.0,0.0,8.4,43.0,7.1,13.0,43.0,,0.0,0.0,,0.0,,8.4,13.0,50.0,63.0,63.0,7.8,50.0,0.0,0.0,0.0,0.0,8.4,,13.0,Middle School,57.0,0.0,50.0,75.0,50.0,63.0,13.0,20.0,50.0,13.0,0.0,13.0,0.0,0.0,0.0,MANHATTAN,6.6,50,63.0,0.0,13.0,8.3,63.0,0.0,38.0,43.0,0.0,29.0,,0.0,50.0,0.0,13.0,25.0,13.0,0.0,3.3,8.6,8.8,38.0,0.0,71.0,0.0,13,,0.0,0.0,,0.0,5.9,,8.0
03M402,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,8.8,47.0,36.0,,44.0,50.0,46.0,12.0,28.0,3.0,14.0,67.0,96,3.0,0.0,10.0,13.0,3.0,0.0,0.0,8.4,50.0,8.0,3.0,48.0,,0.0,0.0,15.0,0.0,33.0,8.3,44.0,32.0,53.0,28.0,7.5,52.0,0.0,0.0,0.0,0.0,8.5,,6.0,High School,50.0,0.0,38.0,55.0,30.0,50.0,3.0,10.0,31.0,0.0,3.0,7.0,0.0,0.0,0.0,MANHATTAN,7.0,90,64.0,3.0,6.0,8.4,30.0,0.0,32.0,31.0,0.0,17.0,4.0,10.0,28.0,0.0,19.0,45.0,0.0,3.0,7.2,8.5,9.1,24.0,0.0,62.0,3.0,33,,32.0,52.0,,0.0,7.3,,8.0
03M163,P.S. 163 Alfred E. Smith,7.6,49.0,76.0,,68.0,64.0,33.0,8.0,16.0,2.0,25.0,43.0,541,3.0,3.0,15.0,71.0,13.0,14.0,16.0,8.1,21.0,8.2,0.0,19.0,,4.0,0.0,,2.0,,7.9,71.0,60.0,45.0,48.0,7.3,35.0,0.0,5.0,4.0,0.0,8.2,,11.0,Elementary School,49.0,2.0,47.0,49.0,49.0,50.0,4.0,18.0,35.0,4.0,1.0,1.0,0.0,1.0,0.0,MANHATTAN,8.2,80,52.0,0.0,11.0,8.0,40.0,0.0,24.0,28.0,0.0,10.0,,24.0,35.0,3.0,64.0,40.0,1.0,2.0,7.3,8.4,8.5,38.0,3.0,59.0,6.0,47,,31.0,7.0,,2.0,7.6,,8.2
07X547,New Explorers High School,6.8,32.0,38.0,,33.0,51.0,36.0,6.0,28.0,3.0,12.0,22.0,283,3.0,11.0,21.0,2.0,19.0,0.0,10.0,7.3,47.0,7.6,9.0,41.0,,7.0,0.0,24.0,3.0,24.0,7.7,55.0,40.0,53.0,33.0,7.5,53.0,2.0,10.0,0.0,30.0,8.0,,8.0,High School,32.0,16.0,55.0,55.0,52.0,55.0,8.0,27.0,43.0,3.0,2.0,12.0,3.0,0.0,5.0,BRONX,7.8,79,36.0,2.0,8.0,8.3,39.0,0.0,37.0,36.0,2.0,17.0,10.0,22.0,42.0,2.0,23.0,31.0,9.0,0.0,6.7,8.0,7.6,53.0,0.0,52.0,5.0,21,,38.0,16.0,,2.0,7.1,,7.5
09X028,P.S. 028 Mount Hope,7.5,35.0,72.0,,10.0,44.0,29.0,3.0,15.0,1.0,1.0,31.0,592,2.0,1.0,7.0,2.0,9.0,18.0,1.0,7.9,23.0,7.5,2.0,21.0,,2.0,0.0,,4.0,,8.0,29.0,42.0,62.0,52.0,7.8,40.0,0.0,2.0,0.0,0.0,8.1,,26.0,Elementary School,42.0,0.0,58.0,65.0,65.0,67.0,0.0,46.0,58.0,2.0,1.0,2.0,0.0,1.0,0.0,BRONX,7.7,51,18.0,1.0,9.0,7.9,33.0,0.0,48.0,23.0,1.0,2.0,,7.0,13.0,2.0,31.0,32.0,0.0,1.0,6.2,8.5,5.1,30.0,7.0,69.0,1.0,41,,12.0,4.0,,0.0,7.1,,8.0
08X140,P.S. X140 The Eagle School,7.7,51.0,73.0,,27.0,57.0,38.0,7.0,17.0,3.0,3.0,43.0,457,2.0,4.0,9.0,19.0,5.0,15.0,12.0,8.2,26.0,8.1,3.0,20.0,,7.0,0.0,,3.0,,8.0,60.0,58.0,46.0,40.0,7.2,46.0,1.0,4.0,1.0,0.0,8.6,,12.0,Elementary School,48.0,6.0,47.0,45.0,49.0,49.0,6.0,23.0,43.0,3.0,1.0,2.0,1.0,0.0,0.0,BRONX,8.2,90,50.0,1.0,16.0,8.1,43.0,1.0,23.0,26.0,0.0,4.0,,18.0,29.0,4.0,67.0,49.0,1.0,1.0,7.3,8.7,8.3,41.0,6.0,68.0,1.0,38,,21.0,14.0,,1.0,7.6,,8.0
08X650,Jane Addams High School for Academic Careers,6.9,28.0,30.0,,34.0,34.0,22.0,6.0,30.0,2.0,4.0,25.0,1169,6.0,7.0,11.0,7.0,9.0,0.0,11.0,7.1,46.0,7.2,5.0,43.0,,9.0,4.0,8.0,3.0,26.0,7.0,51.0,31.0,56.0,55.0,6.6,32.0,1.0,8.0,4.0,29.0,7.4,,17.0,High School,31.0,5.0,62.0,50.0,48.0,58.0,7.0,11.0,61.0,2.0,2.0,7.0,1.0,2.0,3.0,BRONX,6.7,84,30.0,2.0,3.0,7.3,24.0,1.0,31.0,36.0,1.0,12.0,14.0,25.0,28.0,7.0,22.0,29.0,3.0,6.0,5.9,7.5,7.1,48.0,1.0,44.0,11.0,16,,28.0,20.0,,4.0,6.3,,7.2
03M256,M.S. 256 Academic & Athletic Excellence,10.0,99.0,99.0,,86.0,70.0,95.0,0.0,0.0,0.0,0.0,99.0,181,0.0,0.0,0.0,3.0,0.0,0.0,0.0,9.8,0.0,7.6,0.0,0.0,,0.0,0.0,,0.0,,9.4,21.0,86.0,1.0,24.0,9.6,76.0,0.0,1.0,0.0,0.0,9.9,,10.0,Middle School,75.0,0.0,22.0,1.0,6.0,5.0,0.0,7.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,MANHATTAN,7.1,94,50.0,0.0,1.0,9.2,88.0,40.0,13.0,0.0,0.0,0.0,,0.0,23.0,0.0,12.0,99.0,0.0,0.0,5.6,9.6,6.9,13.0,0.0,100.0,0.0,98,,1.0,7.0,,0.0,6.9,,9.1
02M408,Professional Performing Arts High School,7.0,29.0,66.0,,89.0,60.0,23.0,12.0,22.0,1.0,22.0,32.0,430,3.0,7.0,18.0,51.0,8.0,0.0,23.0,7.2,29.0,7.6,2.0,36.0,,6.0,4.0,13.0,5.0,26.0,7.2,10.0,36.0,61.0,38.0,5.2,39.0,1.0,10.0,1.0,21.0,7.5,,19.0,Middle / High School,33.0,14.0,46.0,54.0,48.0,66.0,3.0,13.0,48.0,2.0,1.0,2.0,2.0,2.0,4.0,MANHATTAN,7.8,93,40.0,0.0,2.0,8.1,34.0,6.0,32.0,27.0,0.0,3.0,17.0,47.0,28.0,4.0,22.0,27.0,5.0,0.0,7.7,8.2,7.8,41.0,0.0,63.0,8.0,38,,54.0,20.0,,3.0,7.0,,7.5
17K006,P.S. 006,7.1,43.0,58.0,,42.0,57.0,46.0,2.0,32.0,6.0,16.0,34.0,558,2.0,7.0,8.0,14.0,5.0,12.0,17.0,7.9,41.0,8.1,3.0,40.0,,9.0,0.0,,6.0,,7.6,37.0,50.0,43.0,47.0,7.5,36.0,0.0,7.0,2.0,0.0,8.7,,9.0,Elementary School,40.0,11.0,57.0,43.0,50.0,42.0,4.0,27.0,39.0,4.0,1.0,2.0,1.0,0.0,0.0,BROOKLYN,8.5,42,42.0,1.0,10.0,7.9,31.0,0.0,33.0,49.0,1.0,9.0,,24.0,59.0,4.0,82.0,42.0,4.0,3.0,7.4,8.7,7.9,52.0,0.0,49.0,3.0,20,,28.0,10.0,,2.0,7.5,,7.8
02M158,P.S. 158 Bayard Taylor,8.0,50.0,75.0,,87.0,55.0,32.0,7.0,23.0,1.0,29.0,50.0,605,1.0,4.0,12.0,64.0,9.0,15.0,18.0,8.1,23.0,7.9,2.0,30.0,,6.0,0.0,,2.0,,7.6,74.0,42.0,42.0,47.0,6.8,31.0,0.0,7.0,2.0,0.0,8.1,,9.0,Elementary School,36.0,1.0,50.0,44.0,47.0,54.0,4.0,15.0,46.0,5.0,3.0,0.0,0.0,1.0,0.0,MANHATTAN,7.9,32,32.0,0.0,5.0,7.8,45.0,0.0,35.0,29.0,1.0,10.0,,38.0,23.0,1.0,66.0,44.0,0.0,1.0,5.2,8.3,7.1,47.0,0.0,57.0,6.0,54,,38.0,0.0,,3.0,6.4,,7.9
14K018,P.S. 018 Edward Bush,8.3,56.0,88.0,,23.0,68.0,62.0,1.0,13.0,5.0,8.0,56.0,177,0.0,1.0,12.0,20.0,1.0,10.0,8.0,8.6,12.0,8.3,2.0,7.0,,3.0,0.0,,4.0,,8.3,41.0,45.0,40.0,35.0,7.3,55.0,0.0,2.0,1.0,0.0,8.8,,8.0,Elementary School,52.0,2.0,35.0,43.0,33.0,35.0,1.0,17.0,31.0,1.0,2.0,1.0,2.0,1.0,0.0,BROOKLYN,8.6,86,64.0,1.0,6.0,8.5,40.0,0.0,36.0,15.0,0.0,2.0,,20.0,30.0,1.0,66.0,54.0,4.0,1.0,7.1,9.2,8.8,34.0,8.0,86.0,2.0,100,,24.0,12.0,,1.0,7.7,,8.3
02M429,Legacy School for Integrated Studies,7.5,35.0,39.0,,46.0,52.0,32.0,8.0,23.0,3.0,3.0,35.0,339,2.0,5.0,12.0,31.0,6.0,0.0,19.0,7.6,41.0,7.3,3.0,39.0,,8.0,3.0,13.0,6.0,33.0,7.4,12.0,36.0,55.0,45.0,6.6,55.0,0.0,7.0,2.0,29.0,8.4,,12.0,High School,41.0,15.0,45.0,56.0,55.0,52.0,4.0,19.0,45.0,4.0,2.0,6.0,1.0,1.0,3.0,MANHATTAN,7.2,79,32.0,3.0,8.0,8.2,24.0,0.0,34.0,28.0,0.0,10.0,16.0,21.0,31.0,4.0,30.0,29.0,7.0,0.0,6.0,8.0,7.4,51.0,0.0,63.0,2.0,29,,29.0,12.0,,4.0,6.4,,7.3
14K132,P.S. 132 The Conselyea School,7.9,49.0,80.0,,64.0,54.0,45.0,5.0,17.0,1.0,13.0,44.0,609,0.0,3.0,11.0,60.0,8.0,13.0,11.0,8.3,18.0,8.2,2.0,19.0,,6.0,0.0,,1.0,,8.0,70.0,49.0,46.0,48.0,7.6,37.0,0.0,6.0,1.0,0.0,8.6,,13.0,Elementary School,41.0,3.0,53.0,50.0,44.0,42.0,1.0,16.0,43.0,5.0,1.0,1.0,2.0,1.0,1.0,BROOKLYN,8.4,100,50.0,0.0,5.0,8.0,55.0,0.0,37.0,24.0,0.0,5.0,,24.0,27.0,3.0,63.0,43.0,2.0,2.0,7.6,8.8,8.3,42.0,12.0,69.0,4.0,63,,30.0,10.0,,1.0,7.8,,8.2
19K677,EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE,8.4,68.0,54.0,,30.0,68.0,46.0,4.0,23.0,3.0,7.0,55.0,260,2.0,1.0,10.0,26.0,5.0,12.0,4.0,8.8,37.0,8.0,2.0,31.0,,2.0,0.0,,4.0,,8.5,60.0,47.0,28.0,38.0,6.9,61.0,0.0,4.0,1.0,0.0,8.5,,9.0,Early Childhood School,58.0,4.0,33.0,36.0,44.0,42.0,2.0,19.0,30.0,2.0,0.0,3.0,0.0,1.0,1.0,BROOKLYN,7.8,100,45.0,0.0,7.0,8.8,54.0,1.0,31.0,28.0,0.0,15.0,,16.0,20.0,2.0,60.0,60.0,1.0,1.0,7.1,8.7,8.1,47.0,16.0,64.0,3.0,54,,19.0,4.0,,1.0,7.8,,8.5
07X334,International Community High School,8.1,49.0,42.0,,21.0,58.0,48.0,7.0,22.0,6.0,1.0,46.0,292,1.0,0.0,6.0,13.0,4.0,1.0,6.0,8.2,48.0,7.7,8.0,44.0,,3.0,0.0,17.0,0.0,43.0,8.3,55.0,31.0,49.0,39.0,6.9,59.0,0.0,2.0,3.0,30.0,8.9,,18.0,High School,47.0,5.0,46.0,50.0,43.0,37.0,1.0,21.0,47.0,6.0,1.0,5.0,1.0,1.0,0.0,BRONX,7.5,92,47.0,0.0,9.0,8.6,37.0,0.0,28.0,34.0,1.0,9.0,6.0,24.0,27.0,10.0,46.0,39.0,2.0,1.0,6.0,8.7,8.2,41.0,0.0,66.0,1.0,29,,23.0,25.0,,0.0,6.8,,7.7
